,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.5,tone,blur,cubcol.0.5,cubrow.0,movement,staticness,cubcol.0.3,cubcol.0.6,uhdhdsim,temporal,cubrow.0.3,fft,cubcol.0,blockiness,cubrow.0.6,color_fulness,noise,cubcol.1.0,contrast,saturation,cubrow.1.0
10,110,69.604,13.6219,53,15.5173,0,138,126,6,129,6,1.00205,72.28903,0.0,0.0,10.85714,8.463,11.98966,0.0,0.0,131.0,67.20687,0.0,0.43,1.682,-1.0,0.001251,0.2969982763412315,0.4947674214901955,46005.036115623974,0.14074845487467474,0.16821162003324625,8.034963348765432,303.99234567298356,0.23365432847906253,0.10644150827765558,95.12743827989638,5.785129690308889,0.2803520135901684,65494.181162736044,0.20192762002418674,1.9442411193399916,0.2420892406500374,99.33020903351915,0.41587306093308163,0.20308852605297611,87.48417172581253,15.562360975477429,0.23430504458621362
11,111,69.6002,13.6749,53,15.498,0,138,126,6,129,6,1.00066,72.27022,0.0,0.0,9.82143,8.457,11.81239,0.0,0.0,131.0,67.20724,0.0,0.43,1.616,-1.0,0.001301,0.29701322211621495,0.4943391112464431,46003.64602908998,0.1398882913627023,0.1694803294869036,9.054880401234568,303.26463252500525,0.23545020411029288,0.10631570221353635,95.12074761209198,5.76462976329533,0.2801335852437682,65353.45683221889,0.19920120797183333,1.3944083817278503,0.24301631926804662,99.73660161721665,0.41587306093308457,0.20439672982927995,87.5634070921944,15.602665465555074,0.23365411658757682
12,112,69.642,13.3425,53,15.6346,0,138,126,6,129,6,0.998,72.33706,0.0,0.0,9.71429,8.45,11.8553,0.0,0.0,132.0,67.20872,0.0,0.42,1.729,-1.0,0.001896,0.29673708204500165,0.4946655672249129,46126.98644774382,0.1388353519102836,0.1710391807001846,8.58420138888889,302.5133010660475,0.23674364935931128,0.10597752762423492,95.12675761198733,5.772580600796793,0.28030852920006905,65345.140195661486,0.19829361696222308,1.8519591719694417,0.2438580134483717,98.9607157103083,0.4158730609330837,0.20477411380595195,87.50904265314776,15.590866465627412,0.2328874651049231
13,113,69.7559,13.535,53,15.39,0,138,126,6,129,6,0.99893,72.43462,0.0,0.0,8.64286,8.451,11.57089,0.0,0.0,131.0,67.23578,0.0,0.42,1.661,-1.0,0.001466,0.29661117820871796,0.4946655672249129,46443.00401800074,0.13744191772998635,0.1730414091600769,7.235291280864198,301.7679442968415,0.23742975924976345,0.10547824255486717,95.11286906284559,5.740897431964037,0.28052871258930256,65469.06158119464,0.20225325634043795,1.8955696903542685,0.24480046386893986,99.37377949619845,0.4158730609330858,0.20569054590231042,90.42852903881224,15.57958984375,0.23156021371793054
14,114,69.5391,14.092,53,15.2915,0,138,126,6,129,6,0.99976,72.21518,0.0,0.0,10.5,8.461,11.73702,0.0,0.0,129.0,67.2088,0.0,0.42,1.503,-1.0,0.001868,0.2959398489394493,0.49430254817685443,45942.916724070696,0.13591386123525787,0.1743047570666088,7.09008487654321,301.03283265017063,0.23869945819931587,0.10549512913609732,95.13910421494701,5.760123812125788,0.281126481992966,65407.17673210151,0.20496119987263747,1.4389343605948617,0.24525777805765672,99.22978903716455,0.41587306093308385,0.20632731774300525,88.46997406668449,15.605714209285784,0.2296839856650642
15,115,69.6515,14.1943,53,15.6164,0,138,126,6,129,6,1.00034,72.35865,0.0,0.0,9.42857,8.471,12.22315,0.0,0.0,130.0,67.23607,0.0,0.43,1.568,-1.0,0.002472,0.2952541837418246,0.4946269267081886,46136.54482421883,0.13458466917554007,0.17483066277279538,8.350887345679013,300.30620036643995,0.2394470252661904,0.10564115513428107,95.11665006728052,5.820505806267372,0.2816699699267461,65407.27012551909,0.20513006106885776,1.4013145948264805,0.24616874154247312,98.9461662234881,0.4158730609330807,0.2069193502464271,89.22196870969746,15.642700760452835,0.2279332978720441
16,116,69.5574,14.2182,53,16.8308,0,138,125,6,129,6,1.00116,72.27538,0.0,0.0,10.35714,8.465,12.30989,0.0,0.0,129.0,67.24277,0.0,0.42,1.669,0.12526,0.000801,0.29489391733588244,0.49485740462898814,45976.52736892502,0.1335109109971669,0.1758686066171501,9.644483024691358,299.57302544300524,0.2396349987752575,0.1058598195057197,95.11867345179525,5.839124866936565,0.28256403487243714,65369.12033690333,0.2067145640644303,1.3518521534748267,0.246541052267181,99.47789643053179,0.41587306093308474,0.20679356040387947,89.29647595612292,15.609945038218557,0.22674551443437227
17,117,69.5804,13.9077,53,16.8162,0,138,126,6,129,6,0.99712,72.28988,0.0,0.0,8.85714,8.481,12.328,0.0,0.0,130.0,67.24227,0.0,0.43,1.657,-1.0,0.000862,0.294771866039067,0.4946862229850052,46060.36028137859,0.13242752045868522,0.17632159710217388,9.705150462962964,298.82662659521844,0.23975321279030237,0.10598139878946754,95.11747816990125,5.848934370931423,0.28395457164241084,65387.3103794263,0.20957470479073886,1.7875037526818927,0.2471254500566974,99.25650599298774,0.4158730609330836,0.2065486992108081,89.24126449283169,15.652246357482158,0.22613070717180278
18,118,69.6279,13.6821,54,16.1143,0,138,125,6,129,6,0.99517,72.32894,0.0,0.0,9.10714,8.457,12.06396,0.0,0.0,130.0,67.2418,0.0,0.43,1.71,-1.0,0.002176,0.29524185127669117,0.49460162933763874,46118.34388216228,0.1315295395357888,0.17550766851225458,9.468605324074074,298.0895687643117,0.23888309996358545,0.10650514211785539,95.1205047553948,5.81095319643715,0.28461659242835796,65389.6524077545,0.21030823589572067,1.3857997760342593,0.24756019997653514,99.01848607780249,0.41587306093308435,0.20648140416048003,89.31694058028988,15.666431756667148,0.22538138409018033
19,119,69.7241,13.7919,54,15.9857,0,138,125,6,129,6,0.99977,72.43461,0.0,0.0,11.14286,8.45,11.87324,0.0,0.0,131.0,67.25466,0.0,0.43,1.715,-1.0,0.001641,0.29629889317610003,0.49486642668512054,46330.120967871066,0.1309576057406625,0.17456790287111063,9.148630401234568,297.33361700318943,0.238434771472354,0.10695446821098091,95.10575486725094,5.795496710210054,0.2843465620137339,65367.956391812266,0.21043619798152657,1.5966675189074175,0.2480257992696524,99.23728284032362,0.4158730609330848,0.20632387778475803,86.27621435265385,15.6533314269266,0.2248320627609803
20,120,69.6669,13.809,54,15.3543,0,138,125,6,129,6,1.00469,72.40342,0.0,0.0,9.78571,8.453,11.96956,0.0,0.0,131.0,67.25134,0.0,0.42,1.671,-1.0,0.001236,0.2976639468033204,0.4946655672249129,46244.289517768644,0.13050260205195452,0.17459355820966083,10.624710648148149,296.5690549070545,0.23827528608124005,0.10739490711373276,95.11117851545079,5.791560084284419,0.2840745223770202,65417.89668886345,0.21153373305463025,1.4281304120491012,0.24884061534227794,98.84843352819328,0.415873060933085,0.20615079951850518,86.40809793403797,15.656203846872588,0.2249685258498679
21,121,69.6342,14.1883,54,16.3633,0,138,125,6,129,6,1.00425,72.39492,0.0,0.0,8.46429,8.444,11.98591,0.0,0.0,130.0,67.25156,0.0,0.42,1.739,-1.0,0.00099,0.29871630044329245,0.4946862229850052,46233.043271129274,0.13009764498400345,0.17475668281203358,10.879967206790123,295.8309268887264,0.23865387626758752,0.10829387952590162,95.11285040767942,5.796751919733158,0.28376174479076943,65579.72492468341,0.21520004620818034,1.6218171081478256,0.25016135553448704,99.28796929802726,0.4158730609330843,0.20609250070286717,86.316233874547,15.658711939682195,0.22526340242712095
22,122,69.737,14.4588,54,16.6133,0,138,126,6,129,6,0.99631,72.4655,0.0,0.0,7.32143,8.436,12.31614,0.0,0.0,131.0,67.23399,0.0,0.42,1.589,-1.0,0.000902,0.300284718587964,0.4945214517493266,46357.25135691479,0.12964988431787605,0.17491276202427014,10.971595293209877,295.1026274347656,0.23907581111333862,0.10943449479312144,95.10659947860687,5.843905749338383,0.283199812193765,65605.1327318924,0.2186229810763818,1.584772848086416,0.2523120685677644,99.00958903552151,0.41587306093308346,0.20600368152558726,86.3020885886825,15.653388694480613,0.2251151550613317
23,123,69.8481,14.0282,54,16.9913,0,138,126,6,129,6,0.99321,72.59035,0.0,0.0,7.57143,8.436,12.55304,0.0,0.0,131.0,67.23424,0.0,0.43,1.588,-1.0,0.000752,0.3016756218260274,0.49467672608381336,46660.42669942427,0.12917962865765997,0.17551317079933204,11.066743827160494,294.36190157434186,0.2395032312618788,0.1103476647294422,95.08706459082322,5.895421410052809,0.28297743216155147,65554.98800962753,0.22158470549986384,1.1434956914204746,0.2551351818508574,99.66952216207315,0.41587306093308335,0.205883627902406,88.84484070815898,15.658841733579282,0.2249600214510734
24,124,69.8921,14.4209,54,15.9376,0,138,125,6,129,6,0.99519,72.67235,0.0,0.0,8.03571,8.391,12.1745,0.0,0.0,130.0,67.26242,0.0,0.43,1.585,0.125,0.001935,0.30286113077501986,0.4949851379500186,46814.88067214026,0.1287675523553246,0.17595404532221393,11.537519290123457,293.6345279778599,0.24015575001309272,0.1113768794613343,95.07789961064259,5.854312981454366,0.2831548269480928,65508.02411668447,0.2236387413567508,1.252099573579664,0.2581440043833073,99.33872631062225,0.41587306093308474,0.2057809310701004,89.3378435575905,15.736934897340374,0.22466536378664778
25,125,69.8364,14.9825,54,16.9173,0,138,126,6,129,6,0.9991,72.58781,0.0,0.0,8.21429,8.423,12.51234,0.0,0.0,131.0,67.2288,0.0,0.43,1.777,-1.0,0.001396,0.3040366829442163,0.49452833700269067,46549.75939951612,0.12819157891528424,0.17629684529775036,12.706741898148149,292.8962094641189,0.2405549691408687,0.11259799277597497,95.09386854703955,5.8970462778615484,0.283122092125155,65516.38823466585,0.2253384147442606,1.0622643560413552,0.26117620075769205,99.41133564362036,0.4158730609330843,0.20615608890963424,86.21696837593711,15.708340491777584,0.22452206874714448
26,126,69.7391,15.1372,54,17.5188,0,138,126,6,129,6,0.99722,72.52299,0.0,0.0,7.0,8.456,13.0022,0.0,0.0,131.0,67.23061,0.0,0.43,1.551,-1.0,0.000525,0.30458517877784674,0.49452833700269067,46386.565176606455,0.1277516673743776,0.1765903939294875,13.002555941358025,292.1431451598724,0.24075829174060623,0.11382939432651422,95.10173388699968,5.959921858844192,0.28311535953623446,65831.43119624547,0.22691272802002255,1.0842605807178616,0.2637168939731883,98.93626988878299,0.41587306093308557,0.20657239531668187,86.31138482224185,15.741646472318674,0.22412750030278514
27,127,69.7062,15.1005,54,17.6972,0,138,126,6,129,6,0.99724,72.51305,0.0,0.0,10.46429,8.47,13.13661,0.0,0.0,130.0,67.22488,0.0,0.43,1.553,-1.0,0.000712,0.3043908035226968,0.49486642668512054,46321.9674713673,0.1275479727933737,0.17675459427597728,13.151282793209877,291.41053119883446,0.241276573544025,0.11458735267577595,95.10119650145933,5.973977549427155,0.283248190038556,66016.4703026002,0.22770851103124273,1.095275086865646,0.2656617177795406,98.56027724620158,0.4158730609330849,0.20700903228318504,88.76161415144793,15.762418205355422,0.22364840391240903
28,128,69.8126,14.6372,54,17.0678,0,138,125,6,129,6,1.0019,72.64534,0.0,0.0,10.03571,8.439,13.10036,0.0,0.0,131.0,67.20107,0.0,0.43,1.648,-1.0,0.001329,0.303959629816338,0.49484577092502824,46526.69503188327,0.12723640156877924,0.17743822138542664,13.247781635802468,290.6653266857013,0.24177727947761363,0.11521898725947717,95.09049698928834,5.988367697357532,0.2830968279564368,65791.06409651715,0.22886631311308586,1.408220841589962,0.2671363340942981,99.5888320615109,0.4158730609330861,0.2071568166144885,88.77107859837774,15.76610819498698,0.22304359166563323
29,129,69.9801,14.906,54,16.909,0,138,125,6,129,6,1.0074,72.81419,0.0,0.0,9.5,8.45,12.7018,0.0,0.0,131.0,67.20713,0.0,0.43,1.564,-1.0,0.001586,0.3038854258986915,0.4987007547880029,46895.872130208045,0.1269946348326177,0.1785181321623686,13.857735339506172,289.9198864400573,0.2423124713038863,0.11563999105960415,95.08538888818278,5.952337968319226,0.2829713237384682,65618.76228203098,0.23022344807333572,1.2193790978970203,0.26853247081123033,99.10221928507175,0.4158730609330856,0.207745333936338,85.36944921577287,15.794437926492574,0.22275949291742767
30,130,69.9227,15.6016,54,16.5492,0,138,125,6,129,6,1.00111,72.78122,0.0,0.0,9.46429,8.426,12.93451,0.0,0.0,130.0,67.1898,0.0,0.43,1.758,-1.0,0.000857,0.304029580864415,0.49945746583314105,46687.50644266077,0.12696335245587587,0.17881600406746168,14.46190200617284,289.1699862136715,0.24270757225305672,0.1156638480735532,95.08840909813492,5.978100842760516,0.2831746249179885,65704.27587732337,0.23149169529748873,1.4385222998787943,0.27000144499433604,99.19273988861059,0.41587306093308546,0.20808586745194038,86.41062306451744,15.775408521110629,0.22271670136856078
31,131,69.9513,15.7538,54,17.2154,0,138,125,6,129,6,0.99474,72.84132,0.0,0.0,7.28571,8.449,13.53597,0.0,0.0,130.0,67.18756,0.0,0.43,1.782,-1.0,0.000668,0.30412315249316046,0.5037676573379469,46773.62217051754,0.12652464596671895,0.17922439731839904,14.672646604938272,288.4154655652929,0.24331074997376345,0.11573626004317179,95.06573952718311,6.058043563276646,0.2834771606408332,65787.36265051273,0.23275767718497034,1.3965992381616998,0.2715652523886241,98.67528173538292,0.41587306093308607,0.20789618818612346,85.66516584939033,15.83457984453366,0.22263297258776593
32,132,69.8395,16.26,54,18.0195,0,138,125,6,129,6,0.99645,72.74873,0.0,0.0,11.10714,8.451,13.67286,0.0,0.0,131.0,67.15595,0.0,0.43,1.583,0.125,0.000692,0.3041626844188939,0.5035869225928489,46445.985051054486,0.12594728518852702,0.17975508767370474,14.81886574074074,287.662117880595,0.2439015872323691,0.11579506969548639,95.06764474254042,6.062558347370999,0.28366310736870526,65717.41341169963,0.23223644247211872,1.3454995681344595,0.273026669035673,98.87690213485075,0.41587306093308424,0.20809045955069644,88.90479767587657,15.842193980275848,0.2223813977830869
33,133,69.8985,15.6788,54,17.7697,0,138,125,6,129,6,1.00109,72.83203,0.0,0.0,10.17857,8.435,14.10812,0.0,0.0,132.0,67.15252,0.0,0.43,1.686,-1.0,0.000815,0.30428966467886037,0.5042576817839287,46583.86037907472,0.12524370009132568,0.17972454538871685,15.195360725308642,286.930371305631,0.24397954546247796,0.11576054298408753,95.05942617723252,6.119178072076165,0.2843778934089146,65612.7073677846,0.23172518438468445,1.1271167761288152,0.2742870235903766,98.85257005562838,0.4158730609330852,0.20774971107828227,88.9302723246104,15.871818636670525,0.22225089498612946
34,134,70.0376,15.2766,54,18.5814,0,138,125,6,129,6,1.00396,73.00517,0.0,0.0,8.46429,8.447,13.60738,0.0,0.0,131.0,67.15862,0.0,0.43,1.62,-1.0,0.001928,0.3045888375232679,0.5042318030049975,46912.559260476606,0.12463727317447229,0.17957553747308708,15.645543981481481,286.1961327962544,0.2439755387404975,0.11583818255080448,95.0426751929897,6.095810720467243,0.2857640933049551,65680.92149190069,0.23248840514974548,1.3979306857149212,0.27559978810378943,98.99316336402887,0.4158730609330851,0.20752466526044683,88.9768644429719,15.905414722583913,0.22216872475296062
35,135,69.9893,15.587,54,18.0261,0,138,125,6,129,6,1.00063,73.003,0.0,0.0,9.32143,8.423,13.25286,0.0,0.0,130.0,67.12863,0.0,0.43,1.589,-1.0,0.001029,0.30484936483567754,0.5128314955786234,46728.45526270347,0.12409831087416529,0.17974730305520564,16.007667824074073,285.48265773761204,0.2437418731674654,0.115954901761469,95.06908915489774,6.061883268023563,0.28694488555251924,65593.53567056578,0.2326887015458664,1.4801228556094177,0.276686515870849,99.06778146180437,0.4158730609330883,0.2068155104581236,85.37961001903265,15.955543612256463,0.22225552648878397
36,136,70.0745,15.6704,54,17.5834,0,138,125,6,129,6,1.00008,73.09968,0.0,0.0,6.46429,8.444,13.52972,0.0,0.0,130.0,67.10355,0.0,0.43,1.612,-1.0,0.001361,0.3050596168855882,0.5123496501345637,46938.005644115394,0.12374963536286972,0.1795901918575946,16.18243634259259,284.76811107943917,0.24341140524478977,0.11607589385921316,95.05558618734256,6.101047967159602,0.28718773516263024,65482.167263326024,0.2319255435206875,1.4270524608138861,0.27725891453875323,99.36978308335674,0.41587306093308873,0.20641856842031697,85.77568997613517,15.934218418451005,0.22257683861086372
37,137,70.042,16.7552,54,17.5142,0,138,125,6,129,6,1.00137,73.0938,0.0,0.0,6.71429,8.442,13.60067,0.0,0.0,130.0,67.08896,0.0,0.43,1.545,-1.0,0.000653,0.3050742228127731,0.5126929027297193,46804.79622620977,0.12377419968020237,0.17933874444591122,16.221981095679013,284.0580538310381,0.24302335769693575,0.11632767031475225,95.0373086374654,6.103780641314361,0.2872022083742035,65600.8575164626,0.2319278175508546,2.0127226657726247,0.2776174637219324,98.8379187668138,0.4158730609330914,0.20615140745080968,89.57383438510514,15.95466067467207,0.2228001647752643
38,138,69.9889,16.6163,55,18.2364,0,138,125,6,129,6,0.99985,73.04379,0.0,0.0,8.82143,8.409,14.53876,0.0,0.0,131.0,67.03923,0.0,0.43,1.611,-1.0,0.000718,0.3045550004759772,0.5120319261822376,46697.398631344215,0.1237846656457547,0.17926570654059523,16.655430169753085,283.36512849503373,0.24266162309702943,0.11654828221803265,95.0414031102639,6.210595756153168,0.28762467608038245,65786.80657612356,0.23183161941689895,1.6659754119795176,0.27785654338278226,98.69876223229546,0.41971410191214414,0.20611171722121682,88.39394880876372,16.003989514009454,0.22283527527233166
39,139,70.1944,15.972,55,18.6008,0,138,125,6,129,6,0.99539,73.26931,0.0,0.0,8.46429,8.41,14.41641,0.0,0.0,131.0,67.02757,0.0,0.43,1.689,-1.0,0.001544,0.3038976495841903,0.5119640753556325,47129.97366786662,0.12368068192788136,0.17922474905982252,17.05637538580247,282.6738507998156,0.24218599884338818,0.11679509732107356,95.01242106421942,6.193383444365473,0.28851524874833356,65673.96986079348,0.231330254664743,1.6854262614827824,0.27816734568067175,99.157298785231,0.4166847684010077,0.20635199365435494,88.98257259336324,16.025468425986208,0.2226368883958538
40,140,70.1765,15.9849,55,19.2962,0,138,125,6,129,6,0.99379,73.28412,0.0,0.0,9.14286,8.425,13.85857,0.0,0.0,131.0,67.02027,0.0,0.43,1.583,0.12526,0.001359,0.30332470746813,0.5214700512848901,47092.71954805623,0.1236156600893088,0.17951092368718097,17.396797839506174,281.99654110522425,0.24170470073836037,0.11752233166319895,95.01464975106279,6.167992772204177,0.2892566466633156,65560.80654235641,0.2306088738595313,1.2454901893204229,0.2787400573616119,98.35945257291172,0.41587306093308585,0.2067586343690314,88.85327053116347,16.062149801372012,0.2222877539330366
41,141,70.1654,16.1353,55,18.5187,0,138,125,6,129,6,0.99465,73.31803,0.0,0.0,6.64286,8.417,13.8627,0.0,0.0,131.0,67.00428,0.0,0.43,1.748,-1.0,0.001039,0.30284237538829595,0.5261802597923869,47120.22631308073,0.12346648045585022,0.18011926410365747,17.62109375,281.3388757164952,0.24128800276198653,0.11796047940229268,95.02517296986125,6.175223329253142,0.29005604169263616,65529.28644413946,0.2296756704087133,1.0096972716106198,0.2793437650828063,99.09668272620013,0.415873060933089,0.2069878179060064,89.55850338791919,16.096662921670042,0.2218949301103706
42,142,70.2134,16.4713,55,18.1793,0,138,125,6,129,6,0.99539,73.36751,0.0,0.0,7.0,8.434,13.99729,0.0,0.0,131.0,66.98034,0.0,0.43,1.665,-1.0,0.000767,0.3024162654650264,0.5263067050057665,47168.6558234766,0.12329211561432278,0.18107333211058751,17.871961805555557,280.6837664822091,0.24083173297570895,0.11832041715723687,95.0285740079342,6.195355952492675,0.290499770219473,65529.46032172141,0.22862812643790295,0.9656144866869999,0.2799209586520526,98.41724219276591,0.41971410191215036,0.2072962208768176,89.6073499646291,16.12657391583478,0.22151920510323547
43,143,70.0777,16.886,55,18.3188,0,138,125,6,129,6,0.99651,73.25237,0.0,0.0,6.78571,8.454,14.27949,0.0,0.0,130.0,66.95842,0.0,0.43,1.732,-1.0,0.000557,0.3020020104657003,0.5258585831695496,46839.628987284595,0.12313676876857757,0.181229129054093,18.21826774691358,280.0430350428684,0.24020185496543198,0.11871387195472909,95.03120500952764,6.218428709362674,0.29065873361444616,65486.666005902574,0.22760489588703928,1.031079616508809,0.2804893884653722,98.83087852834933,0.4197141019121478,0.20718662068606505,85.17868223972988,16.13215693721065,0.22105243190256466
44,144,70.0739,16.9833,55,18.0559,0,138,125,6,129,6,0.99808,73.26419,0.0,0.0,10.92857,8.43,14.64246,0.0,0.0,130.0,66.95528,0.0,0.42,2.047,-1.0,0.000989,0.30158999545593485,0.5263287064728945,46816.321843121565,0.12290926779451147,0.18117900924150762,18.464072145061728,279.4003199766383,0.23979375211382845,0.11900270230807579,95.02140435291317,6.257748823002576,0.2906818609194849,65562.74599361686,0.22674458649557655,1.5412485503390672,0.28110128014050273,98.63250786257447,0.4180906869763159,0.2072713919562496,88.44600472337252,16.144236246744793,0.22066473061201436
