,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,staticness,blur,uhdhdsim,tone,saturation,blockiness,contrast,temporal,color_fulness,fft,cubrow.0.6,cubcol.0,cubrow.0.5,cubrow.1.0,cubrow.0,cubrow.0.3,cubcol.0.3,cubcol.1.0,noise,cubcol.0.5,cubcol.0.6,movement
10,10,73.2987,14.249,97,16.5905,0,115,121,41,131,34,1.0279,77.49968,0.0,0.0,0.92857,3.115,12.32192,0.0,0.0,131.0,59.73812,0.00941,2.68,1.683,-1.0,0.0,471.7600806687048,42318.76390129567,81.07368922185593,0.9045490196078432,39.92653853804977,2.9115447555116574,92.98641128896537,6.415894827416609,142.77550888515873,77100.54858054922,0.2483863813034069,0.09284413807576401,0.24291115986771028,0.30954905549378464,0.26825451270216905,0.21662977122031948,0.1707978963096476,0.1410053694574596,2.88909438448565,0.34048639883025333,0.24343694400430954,2.9577546296296298
11,11,72.9369,14.3177,96,16.4358,0,115,121,41,131,34,1.02932,77.13695,0.0,0.0,0.78571,3.113,12.44552,0.0,0.0,130.0,59.66469,0.00917,2.68,1.707,-1.0,0.0,470.74005861157093,41656.223177728476,81.11449659288682,0.9038551568627451,39.91270804699557,2.880799191173313,94.13197958012977,6.434646589338149,143.1007352911422,77098.15976071535,0.24842154475427183,0.09257292162259897,0.24342216264868988,0.3082213512833851,0.26497051093677854,0.2173000334241639,0.1727292192672506,0.14062702579858727,2.880223880312721,0.33908184409292746,0.24064505292379543,3.190007716049383
12,12,72.9584,14.3684,96,16.984,0,115,121,41,131,34,1.02649,77.09975,0.0,0.0,0.89286,3.097,12.51963,0.0,0.0,130.0,59.61751,0.00924,2.69,1.714,-1.0,0.0,469.71999386014045,41656.215947725614,81.07785804925179,0.9037980392156864,40.08855278109327,2.573164819607218,93.10539842589147,6.4533872189124235,142.8741521153225,77244.93998999162,0.2484880597177151,0.09261120118508782,0.24373152437086643,0.30694453755270346,0.25877098558656225,0.2177557871998128,0.17407027580647538,0.1406817273156169,2.8701649539250105,0.33783751185982613,0.23959577260829334,2.923755787037037
13,13,72.9487,14.4407,96,16.6922,0,115,121,41,131,34,1.03192,77.05114,0.0,0.0,0.60714,3.082,12.55574,0.0,0.0,131.0,59.53983,0.00934,2.69,1.709,-1.0,0.0,468.5787900121175,41806.81489623353,81.06915169866903,0.9031239215686274,40.00508381407938,2.365580661947973,91.28989533412575,6.461870758124279,142.82021245685831,77351.54857175217,0.24863609278546295,0.09263917117289434,0.24374506899157516,0.30550425720688956,0.25430377887545325,0.21869786831616292,0.17499560924784724,0.14075046607212938,2.885688336227633,0.3353313564093904,0.23881012837179588,2.603732638888889
14,14,73.2605,14.5098,96,17.5904,0,115,121,41,131,34,1.02999,77.29581,0.0,0.0,0.67857,3.06,12.6299,0.0,0.0,131.0,59.49698,0.00942,2.66,1.657,-1.0,0.0,467.38110467531,42376.52364399776,81.03539060831073,0.9031082352941177,40.058866524402006,2.4319043180689532,92.93808703323394,6.466913990652729,142.70195743406595,77468.15839505722,0.24860873281176496,0.09231063964844193,0.243732586543495,0.3038311009700585,0.2504121516611513,0.2195388869326218,0.1754981610795701,0.14054512530403535,2.888935166099294,0.33553039319047,0.23769492860603825,3.540798611111111
15,15,73.0048,14.6589,96,17.6914,0,115,121,41,131,34,1.02532,77.03095,0.0,0.0,0.82143,3.068,12.69981,0.0,0.0,131.0,59.42044,0.00912,2.68,1.631,-1.0,0.0,466.1330267963278,41833.997129525866,81.04266403302816,0.902958431372549,40.047188652886284,2.6844371578645077,92.17322337055133,6.4752011777182545,142.80682828824084,77843.37239499156,0.24881792886588375,0.09235987742318556,0.24401706185650918,0.3024474564940132,0.24702220013481518,0.22005454422913265,0.17565321853632385,0.1406063063276811,2.890558581035125,0.3368921291492184,0.23545853355267582,4.8960744598765435
16,16,72.5604,14.8705,95,18.0273,0,115,121,41,131,33,1.02213,76.61005,0.0,0.0,0.82143,3.063,12.83212,0.0,0.0,131.0,59.33349,0.00928,2.69,1.621,0.125,0.0,464.8640635606393,41139.54985290972,81.12298327528225,0.9018643137254903,39.961643737039445,3.2841778973845934,92.59239341112824,6.487684176560557,142.84425588949534,77548.86984577368,0.2488239605219514,0.09217225891246653,0.24429446877039288,0.3015399155103427,0.24474261909354095,0.22076822769452972,0.1746579121148149,0.14054995911742613,2.881847295248562,0.33725910901826883,0.23362503154532094,5.745756172839506
17,17,72.3643,15.0257,95,19.2387,0,115,121,41,131,33,1.02206,76.41174,0.0,0.0,0.5,3.049,13.02054,0.0,0.0,130.0,59.2676,0.00906,2.71,1.611,-1.0,0.0,463.58275550996325,40522.04937157463,81.14472911823783,0.9005450980392157,40.017849769121334,3.0920574640055185,93.79984906325546,6.5151725098477735,143.02363099663665,77447.86386389691,0.2487534562710633,0.09221784237357526,0.24438947253178905,0.3016073266204311,0.24185323381108115,0.2214771999573554,0.17452691481173085,0.1408135871825801,2.8949938331215868,0.33605179300102295,0.23225380396536327,5.732397762345679
18,18,72.7251,15.4519,95,18.9251,0,115,121,41,131,33,1.02456,76.79112,0.0,0.0,0.60714,3.047,13.1503,0.0,0.0,131.0,59.20805,0.00867,2.69,1.678,-1.0,0.0,462.33665739840393,40769.983989887885,81.05905270524036,0.9003439215686275,40.1127596254702,3.494707452622993,92.56154999300239,6.527252933983601,143.0176500216245,77365.2409904883,0.248593182589004,0.09214419400709017,0.24474591595109205,0.30198319984293087,0.24031687573377938,0.22190331257361479,0.17464100486000494,0.14089015576621788,2.887905962270851,0.33516483999585883,0.23154763279071253,5.747685185185185
19,19,73.1705,15.7067,96,19.4947,0,115,121,41,131,33,1.02655,77.22938,0.0,0.0,0.85714,3.032,13.52434,0.0,0.0,131.0,59.14395,0.00876,2.68,1.588,-1.0,0.0,461.05610535053063,41061.91424594235,81.01308084598654,0.8999418039215663,40.01773636429398,2.791868676277153,92.49511771477532,6.548339746842097,143.16683485164103,77319.00546974063,0.24853851666057486,0.0921801001355351,0.24474095551268016,0.30150379009701406,0.24004599914931582,0.22266539860818463,0.174464077980216,0.1408295137813263,2.8917470032499133,0.3342325154050984,0.2297013080640249,5.790702160493828
20,20,73.37,15.8945,96,21.0658,0,115,121,41,131,33,1.01683,77.38841,0.0,0.0,1.39286,3.023,13.74924,0.0,0.0,130.0,59.06331,0.00845,2.67,1.575,-1.0,0.0,459.78906262132926,40993.86838848073,80.97032024354463,0.8996129411764707,40.054513436776624,2.44933363895803,90.11949040280341,6.562945004998266,143.24932003940998,77153.01570061255,0.24858157588797522,0.09202166013465599,0.24483686784904443,0.3008588732246727,0.23872910718319554,0.2236785551430063,0.17458341939314767,0.14077105375481233,2.895588044228985,0.33403216137374453,0.22806190653336092,6.670476466049383
21,21,73.4318,16.3571,95,22.1499,0,115,121,41,131,33,1.02159,77.36746,0.0,0.0,0.82143,2.985,13.92805,0.0,0.0,131.0,58.94675,0.009,2.68,1.541,-1.0,0.0,458.5450374866336,40573.973001468155,80.90618300483881,0.8985231372549021,39.7843825728805,2.8235134822255135,91.74347341519143,6.581272618073601,143.20319574454612,77854.7275546959,0.24847933086611093,0.09203936868297835,0.24493890633388557,0.3002745667213468,0.2368254561521439,0.22440936485175353,0.17400775741419114,0.14070741515129032,2.886876758442428,0.3339854423195488,0.22639434042747053,6.463252314814815
22,22,73.6175,17.1015,95,20.2243,0,115,121,40,131,33,1.01936,77.52101,0.0,0.0,1.03571,2.976,14.32709,0.0,0.0,132.0,58.84142,0.00961,2.98,1.584,-1.0,0.0,457.40636531187886,40472.76149497753,80.87695760040482,0.8975235294117648,39.81284266342352,3.41001097469235,93.69515525485728,6.6008230913681585,143.28915099963288,77504.56230613607,0.24857973404915723,0.09197332898352388,0.24494093558852562,0.2997755785737933,0.23587198342285193,0.2250853576483677,0.17388734743220297,0.14066140274823133,2.8895293772066886,0.3336522497124876,0.2252711628943388,6.524257330246914
23,23,73.7117,18.384,96,21.1994,0,115,121,40,131,33,1.02557,77.62835,0.0,0.0,1.14286,2.984,14.97723,0.0,0.0,132.0,58.81864,0.00887,2.69,1.488,-1.0,0.0,456.32566889789115,40423.28040722995,80.86371404107493,0.8976898039215687,39.707964485074264,3.0619536548156203,91.38437292996406,6.6145933824167855,143.3340132239618,76605.1292241041,0.24868880460816462,0.09198990668650725,0.24476136477593158,0.2996978706944079,0.23435905349730457,0.22559211153403702,0.1742383534141169,0.14064520484256243,2.8824415063559634,0.3313446883139931,0.22439461908829808,6.091001157407407
24,24,73.7921,18.1492,96,22.5807,0,116,121,40,131,33,1.02263,77.71734,0.0,0.0,1.75,2.988,16.09407,0.0,0.0,131.0,58.89404,0.00892,2.7,1.495,0.125,0.0,455.27017242809427,40562.38450593838,80.88064085601685,0.8994991764705869,39.46655386465567,2.941030156327839,90.39007091864022,6.6056165892891,143.56075284053904,76077.6825914997,0.24863905920226337,0.09198698905016935,0.24466597062789547,0.29983691172037535,0.2326368492100133,0.2259518953354993,0.1736022740189368,0.14065394563793568,2.8774120431620935,0.3294337438062811,0.22396947603544806,6.02001350308642
25,25,73.1212,16.4179,95,21.0554,0,116,121,40,131,33,1.02295,77.14484,0.0,0.0,2.25,2.968,15.90451,0.0,0.0,130.0,58.83774,0.00899,2.94,1.574,-1.0,0.0,454.2919383050089,38906.60342558714,80.94609165263486,0.8993643137254902,39.544572053132235,3.9777313847657303,93.40003551017656,6.566520789607674,143.56273816491858,76200.94429420374,0.24870202027427313,0.09192444435798716,0.24464455108224445,0.29991543435037277,0.22999321603879896,0.22664415962302137,0.17314438419406822,0.14070246283579024,2.8850941251202293,0.32672178978026745,0.22351630379397686,6.098186728395062
26,26,72.4301,15.7916,95,20.6099,0,116,121,40,131,33,1.02308,76.4694,0.0,0.0,3.21429,2.97,14.37796,0.0,0.0,130.0,58.79458,0.00957,2.96,1.598,-1.0,1e-06,453.3665699932208,36980.038804001095,80.95161793280491,0.900216470588234,39.75035245918933,3.1382239023514815,93.49244227126992,6.521717475953903,143.62963100223303,75786.46539500689,0.24872211780285203,0.09195898749521318,0.24465560237951992,0.2988131915648217,0.22804186355945047,0.22729778233352274,0.17248352867668829,0.14056111534811727,2.880658873033765,0.3245668450200656,0.22265687901897457,6.050154320987654
27,27,72.0529,15.8819,95,18.8446,0,115,121,40,131,33,1.02281,76.15331,0.0,0.0,2.07143,2.984,13.80257,0.0,0.0,130.0,58.92587,0.00968,2.7,1.551,-1.0,0.0,452.43031470985795,35957.28044680818,80.9819917932326,0.9023149019607843,39.7030726303289,3.050473409706596,92.4147965707223,6.5104371357702915,143.8321031064937,75647.68394869725,0.24863203550074006,0.0919780342461017,0.24478502733112184,0.2981610340203771,0.22569318462589807,0.22784113911745438,0.17231878629344333,0.14044463745875366,2.8907177994214854,0.32268669373448955,0.22180570758689097,6.5754726080246915
28,28,71.9092,15.7282,95,19.8513,0,116,121,40,131,33,1.02265,76.02351,0.0,0.0,1.21429,2.965,13.87217,0.0,0.0,130.0,58.85396,0.00917,2.95,1.689,-1.0,0.0,451.5187166332998,35442.02096309709,80.98797269739958,0.9010309803921569,39.595107090326,3.678924668106149,91.39791624325676,6.531800929763527,144.07773508614994,75525.267951057,0.24854585603398716,0.09194525718795117,0.2448662658630715,0.29679179392469196,0.22378364194012215,0.2282538634322596,0.17305232113209698,0.1403829907727331,2.8864417657213757,0.32100246574211205,0.22160931843028056,7.2525559413580245
29,29,72.415,15.8493,95,20.584,0,116,121,40,131,33,1.02562,76.48276,0.0,0.0,1.53571,2.946,13.69503,0.0,0.0,129.0,58.73179,0.00917,2.68,1.549,-1.0,0.0,450.7074226346318,35597.433452598685,80.93364198534304,0.9007752941176471,39.41118028428819,2.8027864857554814,93.60145979570922,6.558079983184379,144.22047443608153,75282.25919373441,0.24855139000106424,0.09200565250881917,0.24488131845263683,0.2961070842897923,0.22452163692463836,0.22874109119351183,0.17375165978213603,0.14038451535336158,2.8846591323991952,0.31886735437949343,0.22122423924230675,8.079330632716049
30,30,72.5492,15.212,95,19.6446,0,116,121,40,131,33,1.02526,76.61548,0.0,0.0,0.85714,2.96,13.77314,0.0,0.0,129.0,58.84733,0.00897,2.69,1.559,-1.0,0.0,449.94864071139915,36016.70231512347,80.91978274931148,0.9033161176470588,39.5028711012852,2.794078407383684,89.95914527171644,6.577091252238924,144.16012248977208,75298.78233293885,0.2486179347615184,0.09198385557855884,0.24498468099375062,0.2959511858636048,0.22278507231821418,0.22930481759199442,0.17394186096898534,0.14050582498691747,2.872976791075638,0.3164004069110613,0.22077715994901156,8.440152391975309
31,31,72.7008,15.009,95,18.8844,0,116,121,40,131,33,1.0214,76.77724,0.0,0.0,0.96429,2.95,13.23181,0.0,0.0,130.0,58.85531,0.00934,2.69,1.692,-1.0,0.0,449.33409699319765,36195.200351578846,80.97138629965285,0.9045551764705883,39.540210111641585,3.612004657879199,94.03968565813956,6.555449585713656,144.3738382411849,75457.70979221624,0.2486154838945699,0.09202053739032685,0.24509237395092964,0.2954274740130684,0.22078642623622283,0.22963765090573807,0.17497104543528144,0.14047202611167758,2.875788628226266,0.3139821603291008,0.22051550036506726,7.78197337962963
32,32,73.4461,14.9669,96,18.9572,0,116,121,41,131,33,1.02237,77.46237,0.0,0.0,0.78571,2.94,13.05503,0.0,0.0,130.0,58.83011,0.00931,2.97,1.547,0.125,0.0,448.8584411238623,37270.799796578234,80.82447355684624,0.9049,39.46127733772183,3.5504265197322806,92.3561264870224,6.539721564442335,144.65743036427966,75504.76017601005,0.2488224872439588,0.09201826097850185,0.24530671632061002,0.29449258553430685,0.21970735553028542,0.23010325025444073,0.17654695589151095,0.14050014657005078,2.878006254269509,0.31212590987264316,0.22060353162309748,7.231143904320987
33,33,73.5861,15.4701,96,20.1806,0,116,121,41,131,33,1.02747,77.6095,0.0,0.0,0.35714,2.945,13.02696,0.0,0.0,130.0,58.8274,0.00924,2.96,1.523,-1.0,0.0,448.5371598364497,37809.92565279764,80.79661030149643,0.9041705882352928,39.468655433183834,3.6116645345524647,93.8332857134366,6.527754826594799,144.85519743126915,75718.62844708608,0.24897877922051742,0.09204881546898394,0.24548581562710403,0.2938687381269971,0.21917017885450574,0.2304700039994356,0.1780840041459896,0.140515326612401,2.878600465376896,0.3102916269373685,0.22090761068010567,7.040750385802469
34,34,73.4522,15.7931,96,20.2785,0,116,121,41,131,33,1.0288,77.53949,0.0,0.0,0.46429,2.952,13.46328,0.0,0.0,130.0,58.72351,0.00937,2.96,1.613,-1.0,0.0,448.2696850486208,37902.05783317015,80.80178730671874,0.9012866666666667,39.51920817810812,3.171437934637923,92.4702056232044,6.55486147897022,144.93843639128636,75738.55222708374,0.24903475582301274,0.0920294622134144,0.24549914015430496,0.29346259554957,0.2195925553236154,0.23084207603861406,0.17885248561509923,0.1404698869297328,2.893370418185762,0.30831710029352205,0.2209410628947216,7.069637345679013
35,35,73.1849,15.5732,96,20.8695,0,116,121,41,131,33,1.01894,77.23811,0.0,0.0,0.42857,2.95,13.73545,0.0,0.0,130.0,58.59869,0.00931,2.96,1.663,-1.0,0.0,448.0656878888847,37141.894216163266,80.83426790540514,0.8987349019607844,39.66386262870129,3.408964058271648,93.91104039198254,6.573549401174458,144.7697750539895,75470.78495680305,0.24915915384976278,0.0919769754890914,0.24561241860892905,0.29274492049971723,0.21897748684122004,0.23126530555246436,0.17947785007741082,0.1404804756275194,2.888500173378247,0.30669442417914244,0.22104630308638537,7.161313657407407
36,36,72.4755,15.8115,95,20.0041,0,116,121,41,131,33,1.02581,76.67797,0.0,0.0,0.39286,2.97,13.51554,0.0,0.0,130.0,58.58352,0.00951,2.96,1.621,-1.0,0.0,447.8686050833591,36500.89045518018,80.92614006859097,0.8976250980392158,39.638905466338734,3.601218868465214,92.50275349660416,6.605719126152058,144.48436751601074,75218.01685193885,0.24928697635944386,0.09193810638389771,0.24559938077744065,0.2925791846590201,0.2183497773368315,0.2315401612007183,0.17944035013711276,0.14043955868377042,2.8973706775511716,0.30533836871698034,0.22073974539798602,6.750819830246914
37,37,71.923,15.211,95,19.7453,0,116,121,40,131,33,1.02681,76.22141,0.0,0.0,0.5,2.974,13.72405,0.0,0.0,130.0,58.52187,0.0097,2.97,1.587,-1.0,0.0,447.6834385008771,35853.620687284725,80.98349161114355,0.8957285490196009,39.75320208514178,3.4707592384869237,92.37770873743452,6.595846835187354,144.43783162836428,75328.49183126994,0.24940390229048098,0.09195209212323023,0.24550757280151683,0.2924174762222712,0.21696586443997323,0.2318147554281824,0.17973407050548568,0.14047091309690485,2.903429344573464,0.3041251664449606,0.22051624169552655,6.15697337962963
38,38,71.664,14.8121,95,19.088,0,116,121,40,131,33,1.03034,75.98949,0.0,0.0,1.0,2.994,13.21589,0.0,0.0,130.0,58.47908,0.009,2.97,1.559,-1.0,0.0,447.42768536781716,35543.38487448343,81.00022824517153,0.8942917647058825,39.68438042534722,3.353431864008422,93.57440001480406,6.565997745117561,144.37374786856105,75259.56554454344,0.24930893497102888,0.091967678913009,0.2452897111908721,0.2928451431473349,0.2153261739094256,0.2319685369535591,0.17986479736725414,0.14040735837186338,2.895588044228983,0.30319500677490396,0.21987929187948502,5.6118344907407405
39,39,71.5793,14.6112,95,19.5118,0,115,121,40,131,33,1.03508,75.86045,0.0,0.0,0.42857,2.966,12.87826,0.0,0.0,130.0,58.53616,0.0091,2.97,1.582,-1.0,0.0,447.0697656031912,35739.16215676529,80.97596267331375,0.8941121568627453,39.67640441141011,3.2706225292485085,91.52489161720149,6.546463086892438,144.26878980608353,75383.2012950706,0.24935285124365042,0.09191181249560168,0.24516265010133373,0.2932245014569799,0.21429465112343662,0.23224689251621106,0.1801902639649281,0.14038644112650828,2.900617507422839,0.302868759030256,0.21904871606308363,5.762635030864198
40,40,71.882,14.1403,95,19.7949,0,115,121,40,131,33,1.03195,76.12037,0.0,0.0,1.0,2.978,12.71269,0.0,0.0,129.0,58.61233,0.00908,2.68,1.596,0.125,0.0,446.63616350554184,35821.994274244214,80.96304766643419,0.8943223529411765,39.63719177246094,3.3188231649025277,90.7935268291596,6.533740553848156,143.99313187302872,75623.87566808502,0.2494039346295906,0.09196447090487185,0.24498872304078873,0.29361017923179283,0.2127960642460065,0.23245302992398537,0.1810803056368612,0.14034959493576182,2.9012913277234254,0.30268111245072055,0.21868768634966088,6.035542052469136
41,41,71.476,14.4074,95,18.4701,0,116,121,40,131,33,1.03267,75.73284,0.0,0.0,0.96429,2.978,12.30249,0.0,0.0,129.0,58.48946,0.00932,2.69,1.578,-1.0,0.0,446.23134152182945,35091.26757375079,81.02060993308969,0.8925690980392126,39.42846171061198,3.8350892103011125,93.55488176817121,6.516947045786264,144.19272631233866,75248.11864589235,0.249405705954237,0.09195219857473791,0.24474850752369387,0.2941131350515778,0.2114043630974432,0.23272572767354588,0.181929298261429,0.14037856003884971,2.8989940924870083,0.30262475602623573,0.21802302357772962,6.2279128086419755
42,42,71.0708,14.1358,95,20.2479,0,116,121,40,131,33,1.02773,75.37634,0.0,0.0,0.75,3.003,12.53479,0.0,0.0,129.0,58.48303,0.00937,2.95,1.704,-1.0,0.0,445.85258620911526,34631.338665093106,81.09009341992706,0.8921839215686276,39.34801210003135,3.1753775822843777,93.43851416099045,6.520512493093031,144.30460109763192,75372.27367545651,0.24948782721155444,0.09193083544015405,0.24465613788488663,0.29465155858920095,0.20999563745213592,0.23301897753793002,0.18268483065889976,0.14035013538836635,2.9006175074228433,0.3019640046840536,0.21722099077743393,6.321132330246914
43,43,71.3956,13.9663,95,18.8512,0,116,121,40,131,33,1.03273,75.59541,0.0,0.0,0.60714,3.004,12.30393,0.0,0.0,129.0,58.57354,0.00899,2.95,1.639,-1.0,0.0,445.441214086713,35025.74487247712,81.04231941741489,0.893173294117647,39.387806456766015,3.2033728919404294,90.74322815363143,6.502885347548748,144.30487353052078,75341.52700661162,0.2495862200732679,0.09191589515430353,0.24461856698791362,0.29527031772422646,0.2088022604229876,0.23321290795197624,0.18416439499050652,0.14031558756265194,2.8935296365721057,0.3014000217151334,0.21649485839234356,6.317563657407407
44,44,71.6969,14.5942,95,18.0706,0,116,121,40,131,33,1.02728,75.85408,0.0,0.0,0.25,2.994,12.16523,0.0,0.0,129.0,58.53744,0.00915,2.95,1.73,-1.0,0.0,445.03154588227204,35117.64941292387,81.0730997232159,0.8924666666666667,39.13521698374807,3.3419141334260405,92.28884163101759,6.497580456907131,144.68282156090692,75262.95105015441,0.2496821017564642,0.09189441295584998,0.24462540252225604,0.29617049411827673,0.20746833607528983,0.23352301659749047,0.18503482470236898,0.14040467776403862,2.8791946764842926,0.30068007485366294,0.2157764616126059,6.503231095679013
