,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.1.0,fft,cubcol.0,saturation,blur,movement,cubrow.0.3,cubrow.0,cubcol.0.6,cubcol.1.0,blockiness,uhdhdsim,noise,cubcol.0.5,staticness,color_fulness,temporal,contrast,cubrow.0.6,tone,cubrow.0.5,cubcol.0.3
10,10,70.3991,15.9428,54,15.2048,0,114,123,15,130,12,0.99197,72.71763,0.0,0.0,2.35714,4.402,13.35792,0.0,0.0,126.0,46.59211,0.00012,1.34,1.621,-1.0,0.0,0.13197843606351853,68142.47897679904,0.14458344514896113,31.811421712239586,44339.83154200306,5.547935956790123,0.2808927531989942,0.11774528573836925,0.17508114223176266,0.18929606141885305,4.599558161585464,91.72717408899973,0.5546495225574596,0.19732574784181814,404.9633478407021,112.6493325746939,4.978630549938184,89.3453769869563,0.24348828009026025,0.694118431372549,0.3045237322894081,0.24576873767916702
11,11,70.3931,16.23,54,16.4514,0,114,123,15,131,12,0.99284,72.72616,0.0,0.0,2.10714,4.4,13.67562,0.0,0.0,126.0,46.68298,0.00015,1.35,1.731,-1.0,0.0,0.13235110258270974,68096.16919191617,0.14786938592917823,31.868099636501736,44177.44687042806,6.244695216049383,0.28049505216504533,0.11792984415066106,0.17502083346119904,0.1876567435014717,4.868519621019459,91.70165874658863,0.5559758319395952,0.194637568734968,403.986726006364,111.77427654668895,5.042103003131456,85.2385475649291,0.2419986059233181,0.6951003921568627,0.30465478660730716,0.24474523877603868
12,12,70.3021,16.2532,54,16.6853,0,114,123,15,131,12,0.99113,72.61781,0.0,0.0,2.42857,4.379,13.922,0.0,0.0,126.0,46.6366,0.00017,1.35,1.684,-1.0,1e-06,0.13246555865809706,68026.89369687748,0.14877516230181523,31.911482069227432,43794.82461932138,5.887152777777778,0.2800631786506584,0.11755268302810572,0.17511096958420436,0.18775963924702938,3.7356741443485952,91.7163966005608,0.5537582058963709,0.19368595306798847,403.0532986438952,111.38337288195069,5.043531198562619,85.76457442442214,0.2408725338477206,0.6946549019607844,0.30463385920760255,0.2440933202016998
13,13,70.355,16.3988,54,16.844,0,114,123,15,131,12,0.99907,72.65722,0.0,0.0,2.92857,4.396,13.94379,0.0,0.0,126.0,46.57399,0.00015,1.34,1.644,-1.0,0.0,0.13231259059197994,67971.7360827586,0.15076860440096124,31.940447960370854,43555.722105489614,5.452932098765432,0.2798393058289002,0.11750761676959248,0.1747996468257092,0.18808569907518913,3.558588955784311,91.68248324034259,0.5559758319395928,0.19097264952683485,402.20109237855195,110.94640715760143,5.049720094461415,85.47086680388965,0.23971847312378328,0.6943564705882354,0.3042575702629111,0.24302831550728532
14,14,70.8188,16.6252,54,17.5313,0,114,123,15,131,13,0.99513,73.06503,0.0,0.0,2.67857,4.387,14.07204,0.0,0.0,126.0,46.63483,0.00019,1.33,1.617,-1.0,0.0,0.13184971088201666,68042.31233034738,0.15447244792489506,32.07515669457706,43725.28301116834,5.361352237654321,0.2793691654346447,0.11710612335885766,0.17459574957480012,0.1884434639554583,3.32371493973793,91.59361522810454,0.5575992468754308,0.18704547472925523,401.5294025331399,110.30846862324972,5.069880229239883,87.62249985041795,0.23873390013352733,0.6954129411764706,0.3040737361484032,0.24050379452555296
15,15,71.109,16.7856,54,17.7347,0,114,123,15,131,13,0.99604,73.31691,0.0,0.0,2.60714,4.399,14.26596,0.0,0.0,126.0,46.5384,0.00015,1.34,1.625,-1.0,0.0,0.13123204404997482,68065.93675991496,0.1577814062317718,32.09540680308401,43735.95339955148,6.537760416666667,0.27888678651193394,0.1170057339351998,0.17467993914639754,0.1886778024099603,3.4829225493426423,91.52728063000693,0.5559758319395957,0.1834098999243618,400.8738849027309,110.633706249387,5.078356432681342,90.08130462728681,0.23790504552196304,0.6949823529411765,0.30430154278865373,0.23850302277720314
16,16,71.4342,16.9702,54,17.2048,0,114,123,15,131,13,1.00011,73.61215,0.0,0.0,2.92857,4.405,14.40386,0.0,0.0,126.0,46.44788,0.00011,1.34,1.759,0.12886,0.0,0.13075210870530807,68016.09197541581,0.16166365262346155,31.877690067997683,43689.50166007849,7.234230324074074,0.2780351363845738,0.11684400549777835,0.1744431283285792,0.18866540005789337,3.3048437367043952,91.43604075453393,0.5598168729186582,0.1805174082112942,400.20959684303443,110.97501495245099,5.107476030966078,87.58603356290698,0.23675605962320234,0.694855294117647,0.3042946356460775,0.23668936159928766
17,17,71.8885,17.3536,54,17.8971,0,114,123,15,131,13,1.00019,74.04988,0.0,0.0,2.53571,4.395,14.56391,0.0,0.0,126.0,46.48393,0.00015,1.33,1.642,-1.0,0.0,0.12935039937105175,68024.93853372082,0.1658570388722444,32.14350815761237,44205.75598658316,7.42602237654321,0.2773522317400635,0.11679810348175641,0.17421914279591053,0.18866591716713824,3.6655591030729946,91.39086219747158,0.5598168729186611,0.17787782256494558,399.46532101943984,110.59419200127316,5.1424645343089646,85.5362037031149,0.2356259244885103,0.6962682352941176,0.3037828360934198,0.2351078406733229
18,18,72.1949,17.6792,54,17.4197,0,114,123,15,131,12,0.99936,74.28043,0.0,0.0,2.25,4.393,14.89324,0.0,0.0,126.0,46.45879,0.00012,1.34,1.671,-1.0,0.0,0.12823605459353776,68021.89310720771,0.16871279564269864,31.916788360218945,44317.02915181312,7.482156635802469,0.2767773979550821,0.11700508982950852,0.17422416360999557,0.1871970567947016,2.3927927488569334,91.36329442102898,0.5598168729186631,0.1757278188668269,398.5079503387324,110.26851379811703,5.187002213460928,86.80635010753058,0.2344642453037315,0.6971988235294116,0.30331818820138406,0.2318121404207478
19,19,72.3363,18.0921,54,18.4849,0,114,123,15,131,12,0.99722,74.38313,0.0,0.0,2.57143,4.404,15.1768,0.0,0.0,126.0,46.3746,0.00014,1.34,1.647,-1.0,1e-06,0.12714121690340544,67993.8461262791,0.17066270626999547,32.048075923213254,44378.95240256789,7.423707561728395,0.27605822932913215,0.11699636972631249,0.17434238413419043,0.18645898419098153,3.70258641485997,91.28661095915851,0.5559758319396022,0.17407774994269057,397.297594619302,110.23097351498915,5.263631580855701,89.26292166573671,0.23344596667271342,0.6980392156862746,0.3024403969965133,0.22933074770521333
20,20,72.7078,18.3267,54,18.3843,0,113,123,15,131,12,1.00248,74.72447,0.0,0.0,1.71429,4.432,15.53139,0.0,0.0,126.0,46.47283,0.00015,1.35,1.586,-1.0,0.0,0.12561456235405163,68079.14486446134,0.17336681400439455,32.35892364125193,44917.286358505764,8.882137345679013,0.2756189463864414,0.11703752777871454,0.17445885606154438,0.18601190134572654,3.8648849316193363,91.24719132479623,0.5559758319395985,0.17119381272067039,395.9466608217223,109.66669354539715,5.305557782503896,88.63150551223399,0.23280108473631186,0.7002188235294118,0.30186328130408857,0.22811133851886797
21,21,73.2853,18.5474,54,18.8469,0,113,123,14,131,12,1.00401,75.30803,0.0,0.0,1.64286,4.459,15.72959,0.0,0.0,126.0,46.57124,0.00012,1.33,1.624,-1.0,0.0,0.12439576624007279,68212.86810795324,0.17603917688003412,32.3152569429374,46049.25524427577,9.38184799382716,0.27524071035937475,0.11702090822934975,0.17475412751805222,0.18657991570330512,2.7631043915403217,91.18243566720794,0.5598168729186631,0.1695294387965392,394.5067914018894,109.61942971744871,5.290797962621113,85.56832054251507,0.23221953923803051,0.7032113725490197,0.3012319847125865,0.22677994769966828
22,22,73.8127,18.792,55,19.7955,0,113,123,15,131,13,1.00581,75.83198,0.0,0.0,1.57143,4.484,15.9197,0.0,0.0,126.0,46.71484,0.0001,1.33,1.598,-1.0,0.0,0.12327452787473919,68217.39219547603,0.1785193129060352,32.51298579463252,46953.8341309103,9.766493055555555,0.2749690811377535,0.11676105130681595,0.17531838827834084,0.18734360736023095,4.172156790515468,91.08652910538024,0.5559758319395999,0.1682523638906388,393.1112865776349,110.549618726875,5.339708284906698,86.26134489056017,0.2312860398997641,0.7088145098039216,0.30021058308894855,0.2256304162106985
23,23,74.2488,18.7911,55,18.678,0,113,123,15,131,13,1.00752,76.25263,0.0,0.0,1.07143,4.511,16.13153,0.0,0.0,126.0,47.03461,0.00012,1.33,1.633,-1.0,0.0,0.12293654579819827,68210.25377831471,0.18085574009384783,32.82078213161893,47798.02754545769,10.11670524691358,0.2748224736105993,0.11679019754303156,0.17591925915597256,0.18593879847218656,4.5789750217612095,91.00042099917911,0.5598168729186624,0.16765368129524666,391.7459577706947,109.46262869933665,5.3782155391491395,85.7079722318267,0.23036530738545372,0.7147509411764678,0.29935078180512825,0.22513682901482465
24,24,74.4862,19.0066,55,20.0633,0,113,123,15,131,13,1.01467,76.42328,0.0,0.0,1.46429,4.531,16.1282,0.0,0.0,126.0,47.31166,0.00013,1.34,1.594,0.12912,0.0,0.12243591919784615,68179.58609024214,0.1826124475706331,32.94927771297502,48620.540127123066,10.765480324074074,0.2748873438824502,0.11641644368798108,0.17660565983642357,0.18416169680828964,3.9504441802797947,90.93753998400166,0.5598168729186629,0.16922410492269885,390.2881128756791,109.43808215041095,5.450545980481176,87.04259832978717,0.22966260067007938,0.720356862745098,0.29813553405586435,0.224384322067936
25,25,74.6074,19.1691,55,21.0157,0,113,123,15,131,13,1.0136,76.52648,0.0,0.0,1.78571,4.548,16.31672,0.0,0.0,126.0,47.53464,0.00011,1.34,1.645,-1.0,1e-06,0.12234059104564345,68195.70912538657,0.18530009318211638,33.14434192798756,48912.88839859935,12.190489969135802,0.27481426828003747,0.11598232613891914,0.17679314857572345,0.18508221709010597,4.453603707109661,90.84158707718112,0.5559758319395995,0.16925964594186413,388.74307579028357,109.48053094216283,5.5926314345904045,85.73876723373083,0.22899611432758255,0.7254313725490196,0.2969047053137275,0.22327940035503524
26,26,75.0251,19.7585,55,20.4462,0,113,123,15,131,13,1.01386,77.06891,0.0,0.0,1.21429,4.575,16.45526,0.0,0.0,126.0,47.93889,0.00021,1.34,1.768,-1.0,0.0,0.12228350574162435,68182.23519451344,0.18748539038048667,33.47504604009934,49477.56054203398,13.010561342592593,0.27477588332202585,0.11577331348521096,0.17670500453130367,0.1889587041342172,4.076381681805619,90.66164031027972,0.558193457982831,0.17150965583801733,387.1696783574535,109.02380067953365,5.636016062005424,85.04853468483168,0.22874834434977195,0.732723137254902,0.2959284660982638,0.22153154696427474
27,27,75.3265,20.0895,55,22.5087,0,113,123,15,131,13,1.01934,77.61598,0.0,0.0,1.14286,4.567,16.96049,0.0,0.0,126.0,48.20613,0.0003,1.35,1.705,-1.0,3e-06,0.12245054409744346,68050.28278818476,0.18954653564858703,33.54270125024112,49421.691111807704,13.879243827160494,0.2747260224414013,0.1154630179410129,0.17577031510997804,0.19473784835213873,4.543041271312665,90.4555057008755,0.559816872918661,0.17138210258897424,385.4493252577306,108.82409186124067,5.6433675170832505,87.2451668052833,0.2282051110140464,0.7390266666666667,0.2945966179881092,0.21891773585788568
28,28,76.0051,20.3227,56,23.7873,0,113,123,15,131,13,1.01856,78.46961,0.0,0.0,1.57143,4.595,17.24713,0.0,0.0,126.0,48.31285,0.00032,1.34,1.655,-1.0,0.0,0.12298804699471266,67883.80157435688,0.19172059444568246,33.77315587173273,49319.11116182168,14.474488811728396,0.2743568964764583,0.11525236113491752,0.17427368607723895,0.2048305774144866,3.852106234604299,90.13767968364242,0.5598168729186611,0.17159643179371745,383.823443721274,108.83979640757019,5.663082903618048,86.28268648607224,0.22775677911998982,0.7419745098039217,0.2930938868984009,0.21726001498811479
29,29,76.4669,20.1415,56,22.8164,0,114,123,15,131,13,1.0211,79.0342,0.0,0.0,1.75,4.618,17.44873,0.0,0.0,126.0,48.37104,0.00034,1.35,1.681,-1.0,1e-06,0.12314675474727305,67820.75231912493,0.1943162132943262,33.91831405074508,48863.25867644195,15.191116898148149,0.2738654518408309,0.11485472837233063,0.172232286511688,0.21301836494186496,4.471688105426214,89.87474579991681,0.5598168729186676,0.17205773318348175,382.4677730565564,108.51834766637387,5.695876033914738,88.97815227613413,0.227156253344037,0.746443137254902,0.29178998219999,0.2161243194281908
30,30,75.6942,20.2825,55,22.8626,0,114,123,15,131,13,1.01889,78.32567,0.0,0.0,2.03571,4.658,17.29384,0.0,0.0,126.0,48.29618,0.00043,1.35,1.718,-1.0,5e-06,0.12316110617923924,67687.86305409476,0.1948926240346795,34.253023124035494,47378.73295285684,16.003086419753085,0.27323797672729805,0.11460824082027594,0.17016760808910128,0.21177076350521445,4.382007006407353,89.9332469295592,0.5598168729186624,0.17203659782969272,381.2193902471947,108.10012531462229,5.811042521039332,85.68717664222385,0.2265934618545814,0.747620294117646,0.290326966192065,0.21400203629119371
31,31,73.8148,20.9018,54,23.8836,0,114,123,15,131,13,1.02448,76.49807,0.0,0.0,1.64286,4.74,17.41209,0.0,0.0,126.0,48.14821,0.00066,1.33,1.768,-1.0,1e-06,0.12323490315591537,67687.17885602608,0.19550427890791608,34.1929709352093,45581.1567200894,16.391203703703702,0.2726776416764196,0.11434572122681745,0.16828146237523425,0.21020479418962623,3.461019908113215,90.29770863790232,0.5598168729186631,0.1715588200453224,380.12639220895267,109.3718869623179,5.950758655964206,88.66916181843294,0.22610931196661102,0.7465721568627451,0.2886690326352168,0.2124005392336469
32,32,72.0892,21.167,54,24.6699,0,114,123,15,132,13,1.02361,74.74129,0.0,0.0,0.85714,4.759,17.94235,0.0,0.0,126.0,48.1519,0.00048,1.33,1.837,0.12809,0.0,0.12340195388714087,67819.56683706274,0.19630170650948608,34.728871851791574,44335.645961335096,17.13556134259259,0.272353289875319,0.11419800082303849,0.16645220818115028,0.20945134665987564,3.265568421609362,90.7669518013232,0.5559758319396029,0.17136852225094681,379.27720586284585,109.52851790482936,6.005474691741541,88.46116250837831,0.22524896921627477,0.7499945098039217,0.2870048008156779,0.21091456786085516
33,33,70.5577,21.0885,53,25.7179,0,114,123,15,132,14,1.02519,73.21702,0.0,0.0,1.60714,4.831,18.17155,0.0,0.0,126.0,47.94799,0.0003,1.32,1.808,-1.0,5e-06,0.12376171633566764,67677.41155283301,0.19673395972986868,34.75421688880449,42433.16779003325,17.706693672839506,0.27207513132846894,0.1140386536660435,0.1650628575897936,0.20846126658537947,4.722397169856393,91.11038482760111,0.5559758319395992,0.17162305989972274,378.6492416912794,110.78876117297736,6.029901486272921,85.10904304709888,0.224338272248174,0.7503427450980392,0.2855922603235176,0.20968830591017504
34,34,69.197,20.7296,52,24.3542,0,114,123,15,132,14,1.02161,71.94729,0.0,0.0,1.57143,4.838,18.11138,0.0,0.0,126.0,47.59737,0.00029,1.33,1.795,-1.0,8e-06,0.12379253394371806,67638.07238289928,0.19711341475157376,35.11308326250241,40524.84042036914,18.694974922839506,0.27181202413769373,0.11387201311436582,0.16383230896809267,0.20653963875086204,4.741000945185863,91.24897449604015,0.5559758319395955,0.1723074524656323,378.22324083484745,112.1058644938263,6.10060801705259,87.52730134423061,0.22343969820069542,0.7490866666666668,0.2838349577140293,0.20864403823451275
35,35,68.2195,20.2918,52,25.43,0,114,122,15,132,14,1.02271,71.04146,0.0,0.0,3.07143,4.815,17.79976,0.0,0.0,126.0,47.30401,0.00029,1.33,1.691,-1.0,0.0,0.12382799026698563,67545.94748795037,0.19719690212728067,35.30803275402681,39351.79099535783,19.30666473765432,0.2717583859856216,0.11366935502049538,0.16308630506318675,0.20558933222899653,4.448425576232599,91.42456328945542,0.5559758319395941,0.17298840356187542,378.00341068276447,112.74159740516478,6.16973351593605,85.81932156554703,0.22262584264862176,0.7485627450980392,0.2823452251362848,0.2079774690743708
36,36,67.1277,20.2737,51,25.0139,0,114,122,15,132,14,1.02638,70.15872,0.0,0.0,2.32143,4.825,17.42389,0.0,0.0,126.0,46.92261,0.00035,1.33,1.842,-1.0,1e-06,0.1243404536550039,67514.99401758605,0.19728906740231456,35.36361279899691,37471.92621856982,19.4140625,0.27175078175606165,0.11353235115628553,0.16160279847119655,0.20591298058950352,5.5904660919614555,91.55062373413855,0.5537582058963649,0.17333807201957,377.89888413865134,112.95624587726232,6.22233466798611,88.60238590013581,0.22172231811579662,0.7457498039215672,0.2809582615916749,0.20750344389546652
37,37,65.9833,20.3093,51,26.513,0,114,122,15,132,14,1.01765,69.34902,0.0,0.0,1.92857,4.792,17.40962,0.0,0.0,126.0,46.42731,0.0004,1.33,1.907,-1.0,0.0,0.12483441529992464,67247.96856234771,0.19742962029891126,35.578569577064044,35186.24871293557,19.42115162037037,0.271661866044093,0.11340722625747733,0.16072700033998386,0.20683129878023263,5.749735037907769,91.52970528447293,0.5537582058963646,0.1737990387467287,377.99199957498183,114.74063963138019,6.243944481579189,88.38313627468729,0.22087260624246813,0.7426874509803922,0.2798507719237834,0.20765259704817599
38,38,65.0543,20.5262,51,28.0578,0,114,122,15,132,14,1.01772,68.7653,0.0,0.0,2.46429,4.77,17.43497,0.0,0.0,126.0,45.98636,0.00041,1.33,1.877,-1.0,1e-06,0.12584350199951785,66845.8325641346,0.19843722056908714,35.830110149619024,33065.66620062152,19.502411265432098,0.2715308070422329,0.11325084234819294,0.1597962857633432,0.20725279021723164,5.577774204341834,91.57572489017525,0.5559758319395999,0.17420986158132484,378.2325884173515,115.1133969541598,6.2406556947579155,88.0248304838519,0.22009770149092456,0.7407564705882352,0.2788099968457028,0.20795055869207016
39,39,64.6334,21.1601,51,27.7408,0,114,122,15,132,14,1.01771,68.71349,0.0,0.0,2.60714,4.789,17.61976,0.0,0.0,126.0,45.57263,0.00042,1.35,1.85,-1.0,0.0,0.12565092593160315,66695.60012421315,0.19960436649912336,35.92964059335214,31876.653055969935,20.12644675925926,0.2714916533842984,0.11321948195795999,0.15963390278205045,0.20717716459699329,5.833919975518115,91.44652700278348,0.5559758319395981,0.17464280626498227,378.47468721754024,115.29211735069748,6.286655370785709,86.86017004504406,0.21941170805668034,0.7384388235294117,0.2778662945505184,0.2086622933961946
40,40,64.7882,21.7072,52,29.6255,0,114,123,15,133,14,1.01597,69.15189,0.0,0.0,3.0,4.753,18.17318,0.0,0.0,126.0,45.12812,0.00054,1.34,1.966,0.1286,0.0,0.12528315246959196,66474.42460324745,0.20061576185593183,35.953812775788485,31465.706665114853,21.039110725308642,0.2714139154895423,0.11331853602977093,0.1599144258984982,0.20770167296864478,4.648938635525954,91.41983655266509,0.55981687291866,0.17506855345306954,378.57860775850247,116.31009072367907,6.388233410416927,90.14870498184897,0.2186991522537663,0.7349333333333334,0.2769418984890954,0.20940859975139908
41,41,65.2741,22.4162,52,29.5647,0,114,122,15,133,14,1.01138,69.81633,0.0,0.0,2.78571,4.817,18.638,0.0,0.0,126.0,44.88925,0.00051,1.35,1.761,-1.0,0.0,0.12529821676613218,66376.06989731599,0.20171496773165873,36.32461962287808,32128.35056766006,21.502555941358025,0.2712707507947928,0.11326082932079655,0.16149268656037513,0.20683053933066362,4.685139509368633,91.32779222849823,0.5598168729186664,0.17553714547239999,378.5019446924411,116.13697200780499,6.455425843942915,86.58471283988703,0.21796969007863398,0.73188,0.2757194074461831,0.21000509864445324
42,42,65.3509,23.0051,52,30.7346,0,113,122,15,133,14,1.01439,70.01305,0.0,0.0,2.39286,4.821,19.24683,0.0,0.0,126.0,44.59417,0.00049,1.35,1.578,-1.0,0.0,0.12493280504140439,66269.60277657435,0.2027508436899901,36.3321866635923,32068.04651397439,22.181230709876544,0.27125498678034143,0.11301370245724761,0.16299968375806584,0.20386033777820864,4.554200538039135,91.25550572105314,0.5598168729186663,0.17608682634851108,378.167033971168,115.46193121204863,6.482214521212842,88.94159378245904,0.21719338502003135,0.7258043137254904,0.2746063354336319,0.21044806493329485
43,43,65.647,23.3635,52,30.5132,0,113,122,14,133,14,1.00632,70.33158,0.0,0.0,2.85714,4.786,19.75977,0.0,0.0,126.0,44.30339,0.00048,1.33,1.494,-1.0,0.0,0.1245655196899273,66297.46685644788,0.2036948573311899,36.52343731161989,32286.074508008915,23.27618634259259,0.27132719460919513,0.11284919685100119,0.16453143132890843,0.20242590297646357,4.119755774094943,91.19851261277086,0.5598168729186669,0.17661237416787146,377.5445901738363,115.61069467542367,6.534510958131003,87.3871903055789,0.2164128223483526,0.7235545098039216,0.27370797047321804,0.21099865762442457
44,44,66.2159,23.6541,52,31.2991,0,113,122,14,133,14,0.99892,70.89795,0.0,0.0,2.60714,4.745,20.05968,0.0,0.0,126.0,44.17862,0.00063,1.35,1.605,-1.0,1.3e-05,0.12450983630770784,66299.7538181035,0.2045651160524043,36.56310074417679,32920.19093647385,24.403935185185187,0.27144392655146904,0.11270599215295457,0.1658931341881014,0.20069300990582972,4.486834368427784,91.16192716841672,0.5598168729186699,0.17736162710849154,376.6458888602607,115.3487481303395,6.566928045085562,86.94498252050886,0.21563125657883678,0.7233612156862743,0.27273808365198804,0.21156479662733177
