,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0,movement,color_fulness,cubcol.0,blur,noise,blockiness,tone,uhdhdsim,cubcol.1.0,contrast,cubcol.0.6,cubrow.0.3,saturation,cubrow.0.5,cubrow.0.6,staticness,fft,cubcol.0.3,cubrow.1.0,temporal,cubcol.0.5
13,13,50.7368,17.7798,35,18.7885,0,118,113,15,137,16,1.00394,48.15773,0.0,0.0,5.0,5.266,16.00651,0.0,0.0,127.0,27.478,2e-05,0.47,1.793,-1.0,0.518037,0.2552760944230144,6.483555169753086,76.60646703884503,0.08083163135511214,21666.075357405258,0.38498551471421916,1.3893338815533463,0.40230474509803926,95.89297467573046,0.10023675013055615,89.02212350000941,0.09245185766426481,0.1974220641279573,62.077534428349246,0.11053954165727126,0.10132572651362594,498.0029123531094,66997.21082619765,0.1291260885077841,0.08718524438201518,4.641325076920405,0.08896797397651013
14,14,51.5129,17.6268,35,18.4291,0,118,113,15,138,16,1.00256,48.83782,0.0,0.0,5.42857,5.321,15.26315,0.0,0.0,126.0,27.54357,3e-05,0.47,1.617,-1.0,0.563085,0.25518474022501697,6.1734182098765435,76.70993463470887,0.0812067614889168,22769.1207553932,0.384985514714219,1.2669138490674174,0.40489294117647057,95.77256098512404,0.10499470077190659,90.18840109006187,0.0984528000429129,0.19773083778690162,62.15071727611401,0.10899747461708217,0.10076712213890626,496.02081035722995,67165.13897896078,0.12936783318592487,0.08747897203547914,4.334668004336541,0.09047021361594011
15,15,51.7522,17.8675,35,17.9548,0,117,113,15,138,17,1.00125,49.1016,0.0,0.0,3.78571,5.31,15.13103,0.0,0.0,125.0,27.55019,5e-05,0.47,1.761,-1.0,0.502922,0.25516073509078024,7.092881944444445,77.66283564228057,0.0814387589300787,23069.972136677552,0.384985514714224,1.3555339653903693,0.40738862745098037,95.71437942635663,0.10437519597575734,83.99230165039569,0.0955309438161568,0.19814875504675086,62.484718040183736,0.10764837397685727,0.10012227977524525,494.37430821113713,66886.61244928555,0.12900457828168338,0.08759076355535562,4.388724248259781,0.09105678897691367
16,16,51.8703,16.8552,35,17.0296,0,117,113,15,138,17,1.00275,49.19599,0.0,0.0,5.35714,5.342,15.33859,0.0,0.0,125.0,27.63628,5e-05,0.47,1.761,0.23637,0.532888,0.2552263173406749,7.7434413580246915,78.74443203694251,0.0817478373609741,23185.572267030922,0.38498551471422066,0.96742011775825,0.41118135294117647,95.69082207677656,0.10430255345739772,88.26224378632418,0.09462508975365261,0.19889450865127484,62.70617487401138,0.10668653212296489,0.09980475657575337,493.0064529542013,66976.20436797106,0.12877874014165727,0.08801660005067213,4.29279793013019,0.09172017885809497
17,17,53.9613,17.13,36,21.2975,0,117,113,15,138,18,0.99958,51.08749,0.0,0.0,3.57143,5.325,14.47988,0.0,0.0,125.0,28.02693,9e-05,0.48,1.775,-1.0,0.525009,0.25540069256809794,7.975935570987654,79.85982721432919,0.08197617393837449,26195.476928690623,0.3872031407574443,1.3672571074837614,0.41410952941176465,95.40195550089922,0.10224830946978995,88.64725398398146,0.09389138387394715,0.19953395042502176,63.042867966640145,0.10917268806003072,0.09970768565340675,491.95803772238514,67674.95805185611,0.1287823369895697,0.08868968656118034,4.494556464062052,0.09830517241511752
18,18,52.6965,17.2648,36,19.3273,0,117,113,15,138,18,1.00389,49.96211,0.0,0.0,5.46429,5.392,14.71652,0.0,0.0,125.0,28.28169,3e-05,0.47,1.658,-1.0,0.51543,0.2555086852694684,7.939380787037037,80.8715758220358,0.08227720962475395,24245.795054094244,0.38498551471422177,1.3306970013456254,0.4227401568627417,95.56107264642465,0.10131504768553233,88.60192466203804,0.09382220738177773,0.2003543608138066,63.197230209538965,0.1074896241236592,0.09932176272747417,491.3378336967743,67206.07015724339,0.1290585349416525,0.09038914483984993,4.351125093226267,0.1005622126144066
19,19,52.2171,18.2806,36,19.2733,0,117,113,15,138,18,1.00196,49.55097,0.0,0.0,5.35714,5.33,14.82916,0.0,0.0,125.0,28.39072,5e-05,0.48,1.67,-1.0,0.502734,0.25551717983725347,8.129484953703704,81.42553842980209,0.08244768648259722,23664.128233964428,0.38720314075744566,1.437460546126967,0.4346831960784312,95.59875487671826,0.10015366303002046,86.67163651726334,0.09424261752487044,0.20111478935591745,63.230079745068956,0.10635988827220608,0.09859722814729256,490.8845735029777,67132.7571039491,0.12905960381690948,0.09179358500098826,4.392255781199386,0.09811016112608369
20,20,52.0199,19.1278,35,19.0292,0,116,113,15,138,18,1.00216,49.41122,0.0,0.0,6.64286,5.323,15.69679,0.0,0.0,125.0,28.36378,8e-05,0.47,1.725,-1.0,0.49129,0.25562596478742433,10.025559413580247,81.65420436178027,0.08257851895780198,23685.24697448736,0.387203140757445,1.175167427876177,0.4350929411764707,95.62425242946861,0.09889211965175947,88.33531828143623,0.0958539089116875,0.2014756952230867,63.16706678602431,0.10541466696894587,0.09788316933156173,490.34434910669324,67117.5881295415,0.12920758400559995,0.09292206736449646,4.528420483809923,0.09669693826084708
21,21,51.8333,19.5505,35,19.5725,0,116,114,15,138,19,1.0024,49.27111,0.0,0.0,5.32143,5.278,16.4243,0.0,0.0,125.0,28.3579,5e-05,0.48,1.665,-1.0,0.473921,0.25560344041827726,10.611979166666666,81.87084403888574,0.08262917025374782,23587.694552108926,0.3872031407574474,1.1026751034474644,0.4322658431372548,95.62141592628917,0.09844656447557966,90.05949920263494,0.0949041038140309,0.20206483437342196,63.09794428319107,0.10463433097839772,0.09734606994802887,489.9056683413506,66977.82550096001,0.12920820081823123,0.09298323936085369,4.71035976003214,0.09632609111392278
22,22,51.4792,19.4955,35,19.5181,0,116,114,15,138,19,0.99875,48.99697,0.0,0.0,4.35714,5.27,16.78015,0.0,0.0,125.0,28.39475,2e-05,0.48,1.591,-1.0,0.512466,0.25565747168802894,11.17896412037037,82.11520773100057,0.08254452487754434,23082.67684788374,0.3872031407574407,1.5134438834364827,0.43131021568627304,95.64046717870994,0.09789675726660144,87.1937813869304,0.09466265194219463,0.2020138638952932,63.197359061535494,0.10416419320939678,0.09679120882444295,489.5609159682405,66915.29646503754,0.12913949343896974,0.09292332751444855,4.839469717075386,0.09572580187189156
23,23,51.204,19.6973,35,20.2451,0,116,114,15,138,19,1.00129,48.74421,0.0,0.0,3.75,5.262,16.73226,0.0,0.0,125.0,28.31397,3e-05,0.48,1.516,-1.0,0.527446,0.2556899127301344,11.67920524691358,82.03984870770594,0.08263815150306397,22655.87629861102,0.3855797258216211,1.149522978839865,0.43130360784313737,95.70869876209073,0.09851740598116357,90.15610073557845,0.09361140215436071,0.20215083092340502,63.05674235026042,0.10382457330946583,0.09634204743858366,489.0830004235999,66851.82520200897,0.12908281181672807,0.09269551743929616,4.778316850240919,0.0954860265204937
24,24,51.0096,20.1792,35,21.0068,0,116,114,15,138,18,0.99867,48.57949,0.0,0.0,5.14286,5.254,16.90434,0.0,0.0,125.0,28.21621,6e-05,0.48,1.601,0.23701,0.518534,0.2556212016830354,12.243971836419753,81.90589486044429,0.08275238628272297,22415.05875357223,0.38720314075744655,1.1132923805548973,0.4288109803921568,95.7466916791748,0.09747486752789959,89.02607781580016,0.0929379795357762,0.20220368482356446,62.81673610357591,0.10310367945394293,0.09588739664905387,488.31784311137244,66902.32335103105,0.12893782154844258,0.09215719586152012,4.954791309300956,0.09583022992579233
25,25,51.0621,20.8323,35,22.5848,0,116,114,15,138,18,1.00115,48.62799,0.0,0.0,3.32143,5.212,17.31402,0.0,0.0,125.0,28.25162,5e-05,0.48,1.658,-1.0,0.495609,0.2555166503013905,13.211612654320987,82.06984933936562,0.08282632035599051,22538.80897847409,0.3872031407574495,0.89228025340828,0.43072274509803926,95.74133190651906,0.09707719393530036,87.10881136395375,0.09318013408678527,0.2022228605520393,62.71798046724296,0.10267894844497119,0.09557023751387426,487.3361403391977,66967.0240563426,0.12882047637724,0.09173970756947965,4.909624160841659,0.09967080650895567
26,26,51.2797,21.4941,35,21.8734,0,116,114,14,138,18,1.00015,48.82667,0.0,0.0,4.39286,5.212,17.87442,0.0,0.0,126.0,28.40277,4e-05,0.48,1.704,-1.0,0.484828,0.25558867453150313,13.581597222222221,82.18927454742735,0.0828803032334618,22886.804433149537,0.3872031407574545,1.0779788585079082,0.4345203921568629,95.73762165814777,0.09662618467360799,89.71261916041946,0.09375832432956686,0.20240944390873372,62.5065394272039,0.10263143970224493,0.09526088499375754,486.2659949434139,67057.33512584046,0.12856628000273032,0.09136893099126968,5.007283002757249,0.09791706014951371
27,27,51.2998,22.0863,35,22.69,0,116,114,14,138,18,1.0005,48.83417,0.0,0.0,4.78571,5.202,18.44474,0.0,0.0,125.0,28.53708,2e-05,0.48,1.712,-1.0,0.494234,0.2555628729405103,13.771315586419753,82.02960851041757,0.08298589497813885,22957.569477343954,0.3872031407574541,1.000485849832603,0.43766431372549014,95.74133276815787,0.09629754715529842,87.79304605444067,0.09368506907758577,0.20246152823302804,62.2667187349296,0.10187716480732538,0.09491826227552405,485.00899308951006,67180.82838283406,0.12827469768266087,0.09137054089578399,5.099549231042397,0.09742528375511834
28,28,50.6557,22.5102,34,24.5871,0,116,114,14,138,18,1.00135,48.24891,0.0,0.0,3.78571,5.204,18.95238,0.0,0.0,125.0,28.61637,3e-05,0.48,1.675,-1.0,0.502823,0.2556345071467066,14.008101851851851,81.78609684545782,0.08304343691659898,22388.029064559898,0.3894207668006812,1.2056514929102602,0.4398172549019608,95.78027996689953,0.09620699627794083,87.07953622248252,0.09385082247839188,0.20262354066596644,62.22564659589602,0.10134439022789075,0.09477402690297651,483.6901657291105,67125.64622183681,0.1286396520496669,0.09138306995580112,5.138057240012619,0.0969232906124305
29,29,50.0794,22.966,34,25.1177,0,116,114,14,138,18,0.99792,47.70475,0.0,0.0,5.46429,5.243,19.32032,0.0,0.0,125.0,28.6874,5e-05,0.48,1.656,-1.0,0.504803,0.25572028839335564,15.20606674382716,81.7357268995446,0.08310031503125181,21817.18723513353,0.3932618077797443,1.325875115707978,0.44093017647058697,95.83517418177314,0.09627015898712889,85.38447289317276,0.09375138248001834,0.20299040060175308,61.9999223873939,0.10088411727557857,0.09459652064705493,482.52263711969357,67175.37308899045,0.12796193541812748,0.09123692449209218,5.236085598965257,0.09649354534748562
30,30,49.6679,23.1364,34,25.0511,0,116,114,14,138,18,1.00078,47.32015,0.0,0.0,3.82143,5.224,19.70515,0.0,0.0,124.0,28.78713,4e-05,0.48,1.519,-1.0,0.540127,0.25576704780657633,15.490692515432098,81.97413548166836,0.08307612123603919,21362.11947063491,0.3872031407574523,1.2109737249649137,0.447473725490196,95.91151454376705,0.09700593875026516,84.3702362278472,0.0934376233164626,0.20335454441198575,61.950712227527006,0.1004233640635501,0.094637577950967,481.4915575855146,67178.97729207296,0.12763520011643278,0.09105668777094333,5.2712091342388145,0.09594844849921373
31,31,49.847,23.2546,34,24.1052,0,117,114,14,138,18,0.99713,47.47986,0.0,0.0,5.60714,5.183,19.85815,0.0,0.0,123.0,28.81143,6e-05,0.47,1.513,-1.0,0.545497,0.2558479309594101,15.638117283950617,81.83940396177962,0.08309741379802893,21455.589436219536,0.38720314075745693,1.2849889409221773,0.4530305882352941,95.8950294039772,0.09807690791919194,89.66216643167917,0.0928760677109228,0.2035265448966092,61.710639859423225,0.09993227337427936,0.09476669713514806,480.50231962545035,67051.65536184635,0.1274586219529067,0.09063154268254621,5.294725196347342,0.09539025293037204
32,32,50.2858,23.5072,34,25.3465,0,117,114,14,138,18,1.00123,47.89804,0.0,0.0,5.28571,5.127,19.96548,0.0,0.0,121.0,28.83674,6e-05,0.47,1.68,0.21001,0.546956,0.25594484533378514,15.452739197530864,81.56655946967152,0.08299837087881543,22081.266295049332,0.38942076680068255,1.3804220211227598,0.45814,95.88966164085795,0.09855428583226616,89.32901524699037,0.092582785089901,0.20379944362260322,61.60317390347705,0.09938470481771593,0.09500828009386231,479.45604061429555,67045.9116335394,0.12729144556785155,0.09015634777227809,5.3647188044743075,0.09501278858150274
33,33,50.4525,20.0941,34,25.5153,0,117,114,14,138,18,0.99833,48.09584,0.0,0.0,5.42857,5.142,20.18103,0.0,0.0,124.0,29.21428,4e-05,0.47,1.701,-1.0,0.520814,0.2560582296250882,15.82349537037037,82.78852721293543,0.08289567503162201,22058.76249961366,0.39488522271557497,1.1731169867074944,0.4686389215686275,95.90499234896251,0.09878509704449005,90.67579217197164,0.09219257933167295,0.204016648497667,61.72522933394821,0.09864746210614568,0.09519109246021638,478.5929434609528,66987.13375397389,0.12725911580584323,0.09078094631412237,5.289819489620368,0.09465083557415659
34,34,50.0224,22.2781,34,24.2948,0,118,114,14,138,18,0.99978,47.67895,0.0,0.0,5.21429,5.086,17.2586,0.0,0.0,125.0,29.22494,5e-05,0.47,1.607,-1.0,0.535786,0.2558588499110708,15.620322145061728,82.17302908157231,0.08274193522991762,21385.067064235798,0.3894207668006781,1.3093663380045517,0.46596968627450835,95.96783656587627,0.09908799755745643,86.74906420707126,0.09180061529461456,0.20403922725877435,61.56673290111401,0.09808381105945506,0.09540668572886378,477.8254367095621,66845.80543485032,0.1270957623503828,0.09052826899677216,5.366691483173394,0.0942248145388292
35,35,48.7892,22.1033,33,26.5093,0,118,114,14,138,18,0.99856,46.47481,0.0,0.0,4.53571,5.138,19.12101,0.0,0.0,125.0,29.14363,5e-05,0.47,1.625,-1.0,0.524504,0.255626195613119,15.009114583333334,81.26778749032322,0.08259578939368308,20212.727020170085,0.3872031407574474,1.029949912273815,0.4583647058823529,96.17525959629937,0.0989742183540067,89.7937470725438,0.09174202940081548,0.20316846781535686,61.7282319245515,0.09766332882874917,0.09565527728536481,477.11758315108915,66837.41501347409,0.12706002728998222,0.09096548855696932,5.28825759610647,0.09391897334704905
36,36,47.2786,21.5801,32,25.5641,0,118,114,14,138,18,0.99781,45.02673,0.0,0.0,4.96429,5.214,18.97326,0.0,0.0,125.0,29.14695,6e-05,0.48,1.576,-1.0,0.545392,0.2554088617679905,14.140046296296296,81.03993392108852,0.08244802546479618,18679.63403305846,0.3872031407574427,1.3717381359368241,0.4527223529411766,96.38266159243302,0.09900155788099292,88.81795111354414,0.09147684503683114,0.2014685667406504,62.03848869417921,0.09748826519518611,0.09598078693140497,476.53755547441847,66531.89011690948,0.12698455221550523,0.0913161563485519,5.121937318842173,0.09363725014997563
37,37,46.1065,21.194,32,23.1415,0,117,113,13,138,18,1.00047,43.89238,0.0,0.0,4.0,5.304,18.52739,0.0,0.0,125.0,29.19138,5e-05,0.47,1.647,-1.0,0.527797,0.2551943848324096,13.501109182098766,81.15428447581465,0.08238981215101995,17448.307176446833,0.38498551471421666,1.1971684226562525,0.44612901960784324,96.54500676439352,0.09929290174975537,89.60348454135217,0.091075487539845,0.1993249772189557,62.35551772882909,0.09743870024388648,0.0965907081872378,476.07439913677496,66310.6958446416,0.1270105634271217,0.09053287242122189,5.035666115224741,0.09328132241164508
38,38,46.5603,20.6674,32,19.4053,0,117,113,13,138,18,0.99641,44.24528,0.0,0.0,3.64286,5.284,18.19382,0.0,0.0,125.0,29.22488,4e-05,0.47,1.631,-1.0,0.546753,0.2550904342889374,12.939187885802468,80.76489269391078,0.08233646784538445,18088.529478928307,0.38498551471421383,1.1415916180431513,0.4447572549019607,96.51556972600335,0.09929684301791955,90.9421114396152,0.09077513562617082,0.19750434977960976,62.49588954595872,0.09748643647173552,0.09698173283114365,475.6297967156352,66399.22474419345,0.12697386297584357,0.09022294963960065,4.8441338955795255,0.09296811849098881
39,39,47.5103,19.7685,32,20.6396,0,117,113,13,138,17,0.99958,45.10006,0.0,0.0,3.96429,5.142,17.74207,0.0,0.0,125.0,28.96465,4e-05,0.47,1.449,-1.0,0.528488,0.25513873913862795,12.220293209876543,80.01805292049121,0.08227690877066791,19070.408950902824,0.3827678886709888,1.0772544368427246,0.43890766666666625,96.30911963629914,0.0989847295786656,91.15888700606453,0.09047392784317937,0.19630156466105522,62.380222461841726,0.09735665946244708,0.09740953394984578,475.0434730438301,66657.68822764531,0.12685512923929426,0.0899577601241463,4.742844726483995,0.09259852687886491
40,40,48.1622,18.7815,33,22.8733,0,117,113,14,138,17,0.99597,45.73213,0.0,0.0,5.57143,5.157,16.97328,0.0,0.0,125.0,28.68772,3e-05,0.48,1.41,0.19213,0.52224,0.2550138738458317,11.848958333333334,79.60112258286024,0.08231024834732574,19364.681538999317,0.38498551471421755,1.1810887020070144,0.4328611764705883,96.22641585729878,0.09885477842998813,91.60333371028315,0.09018371613727075,0.19551555952531868,62.20434118200231,0.09710011958652269,0.09767996914741459,474.32343981215047,66581.17865799787,0.12699125321696744,0.08951030778225785,4.935017526554199,0.09217623589843786
41,41,49.1229,18.4233,33,22.3754,0,117,113,14,138,17,0.99825,46.64291,0.0,0.0,7.39286,5.218,16.12231,0.0,0.0,125.0,28.5942,6e-05,0.48,1.435,-1.0,0.524993,0.2549710270117798,11.476224922839506,79.73951609431202,0.08237130406932366,20191.025082548345,0.3849855147142185,1.0263867960026694,0.429329568627451,96.16150867317961,0.09829697469981497,88.83811529301254,0.08993402268919948,0.19498879406975816,62.08441199785397,0.09691689453746175,0.09802218021894692,473.48257731150375,66593.5370073842,0.12753903002575137,0.08922163700000066,4.832137264205504,0.09183171080304209
42,42,50.1912,18.6213,34,20.9744,0,117,113,14,138,17,1.00126,47.61444,0.0,0.0,5.82143,5.106,15.80866,0.0,0.0,125.0,28.33688,7e-05,0.48,1.574,-1.0,0.57307,0.25501557410775777,11.560281635802468,80.15867260969452,0.08256767828742763,21481.42435133555,0.3849855147142174,1.3455260890398695,0.4245823529411764,96.0204348699682,0.0977730300033221,87.6190776635976,0.08974221123830503,0.19487651779885967,62.2163149986738,0.09684287832385191,0.09872694479886877,472.5765476449581,66724.38053406039,0.1270323026960747,0.08911751462676061,4.743338950917611,0.09149284408592706
43,43,50.9068,18.3548,34,19.8906,0,117,113,14,138,17,1.00016,48.24074,0.0,0.0,5.17857,5.101,15.98132,0.0,0.0,125.0,28.05081,4e-05,0.48,1.608,-1.0,0.555658,0.25498658459860973,11.686921296296296,80.36002673125259,0.08278367836646107,22471.50820001716,0.3849855147142174,1.4564727939516975,0.421095294117647,95.91665271460784,0.09732844937170057,85.64151436185911,0.08955599419381419,0.19483490223954172,62.484007093641495,0.09669732212272909,0.09863255086052691,471.644028081228,67024.67043594367,0.12670584072698138,0.088911948227369,4.887413037442167,0.09116484159869358
44,44,51.5522,18.1038,34,20.7911,0,117,113,14,138,17,1.00054,48.76841,0.0,0.0,6.07143,5.086,15.75697,0.0,0.0,125.0,27.79018,6e-05,0.47,1.558,-1.0,0.56177,0.2551037682480264,11.940634645061728,80.74881604973342,0.0829478462780008,23456.56425607184,0.3849855147142165,1.2785433454717194,0.4211839215686276,95.88971645368004,0.09819855593202131,86.41149641005467,0.08942848209696069,0.1948222898953755,62.84480813108845,0.09667289665586422,0.09853857323886941,470.7540335529771,67234.9157121806,0.12638259187010725,0.08872069619946876,4.80718011704641,0.09086311594191769
