,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0,blockiness,movement,cubrow.0.3,uhdhdsim,cubcol.1.0,cubcol.0.3,cubrow.0,cubrow.0.6,blur,noise,cubcol.0.5,contrast,fft,saturation,temporal,cubcol.0.6,staticness,cubrow.1.0,color_fulness,tone,cubrow.0.5
10,10,90.5191,13.4257,100,15.4609,0,104,125,29,127,19,0.97686,91.8173,0.0,0.0,6.89286,3.511,11.83715,0.0,0.0,124.0,45.70638,0.00365,0.52,4.507,-1.0,0.07759,0.4095268033242878,2.124401091644749,3.505787037037037,0.32486019750706985,81.27369053647,0.21659285180443605,0.2737865764011327,0.30700064783100234,0.2578320428954123,66331.29333536055,0.7887412416027176,0.3461129942365435,94.43319328763808,74083.54848603129,31.558109989872683,4.39955749227456,0.312624760461133,317.24305944020284,0.16254412571878774,162.66310398023433,0.6198082352941177,0.2777570880161839
11,11,90.5414,13.292,100,14.6575,0,104,125,29,127,19,0.98729,91.83135,0.0,0.0,5.28571,3.51,11.53882,0.0,0.0,125.0,45.68707,0.00317,0.51,4.246,-1.0,0.075457,0.4041773623512015,2.1131390583917624,4.058207947530864,0.32284206246471436,81.24946648381521,0.21693586361037456,0.2734350309839711,0.30660794712428885,0.2570473129441818,66370.52230524465,0.7903646565385506,0.3475048809063745,90.94486384505878,73978.23369760775,31.541714138454864,4.0709831103902046,0.3108820462432295,315.8394447398994,0.16183158838860578,162.6946862286605,0.6198082352941177,0.2770225238198633
12,12,90.5097,13.6896,100,14.3396,0,104,125,29,127,19,0.98235,91.79074,0.0,0.0,5.53571,3.531,11.41874,0.0,0.0,125.0,45.67227,0.00329,0.51,4.546,-1.0,0.071645,0.3999490617906294,2.120468770234948,3.656057098765432,0.32096328566815346,81.23528156940608,0.21738247501872193,0.27369013847880436,0.30640901923085806,0.25690242180337625,66210.7332114839,0.7881470304953156,0.3470972011594255,90.9259624597573,74028.85072194575,31.522758578076775,3.88387933790685,0.3101896841365771,314.495034004136,0.1612160829640509,162.7669531544302,0.6198082352941177,0.27716475806423263
13,13,90.4299,13.9212,100,16.1269,0,104,125,29,127,19,0.99809,91.70678,0.0,0.0,5.35714,3.522,11.75977,0.0,0.0,125.0,45.65131,0.00333,0.51,5.098,-1.0,0.083517,0.3988471869334187,2.370554542651831,3.1475212191358026,0.3199731244715547,81.24713569825713,0.21807495172042599,0.27484206550683654,0.3063262157204637,0.2568958700612244,66002.63451801112,0.7865236155594858,0.346768892204455,97.20837116022318,73885.36218045262,31.519867885259934,4.317792552865201,0.30857893420977534,313.19695631819854,0.16004409898719432,162.76056653942686,0.6198082352941177,0.27703382240887203
14,14,90.4314,13.1344,100,15.8972,0,104,125,29,127,19,1.00182,91.70178,0.0,0.0,4.89286,3.517,11.95787,0.0,0.0,125.0,45.61888,0.00363,0.52,4.52,-1.0,0.063723,0.39530814534586306,2.424704115909424,3.2066936728395063,0.31946915530767606,81.23590443899099,0.21825889099130708,0.2749505867640668,0.30679866326908467,0.25643741883460613,65947.45104691332,0.7865236155594859,0.34752729406708727,97.18295005900488,73966.68941110437,31.470463505497687,4.517880144264828,0.3077992600244501,311.90520226408256,0.1586800793708934,162.77199561851634,0.6197643137254902,0.27661447056195004
15,15,90.4422,13.1276,100,15.6207,0,104,125,29,127,19,1.00255,91.70032,0.0,0.0,5.14286,3.525,11.28218,0.0,0.0,124.0,45.58359,0.00343,0.52,4.933,-1.0,0.073648,0.3932035580429587,3.1247744895928493,3.89429012345679,0.3193680109093483,81.24955163792558,0.21871488607233822,0.27525102946134017,0.3074106260162889,0.2562117410839594,66023.0556011692,0.7865236155594856,0.3487060458180344,97.24551738957689,74090.2549264713,31.44602796766493,3.874764445913696,0.3080660006593493,310.6120882491619,0.1572673886006773,162.78234677708787,0.6195105882352941,0.27711196572029034
16,16,90.4467,13.1124,100,15.5114,0,104,125,29,127,19,0.99103,91.71684,0.0,0.0,3.46429,3.522,11.27222,0.0,0.0,124.0,45.56254,0.00322,0.52,4.824,0.1286,0.080537,0.39167415936486255,3.2733817648734433,4.019241898148148,0.3192097396180561,81.24628409087407,0.21916519215580169,0.2753316034347503,0.3075823123510799,0.25529548987247747,66025.9612425074,0.7881470304953183,0.3495800141707319,90.14163311445719,73698.99855508216,31.448285703305846,4.12871738284013,0.309050375142221,309.3679387609094,0.15620347819297992,162.82370029835633,0.6193172549019608,0.27723309796385104
17,17,90.4762,12.9722,100,14.8846,0,104,125,29,127,19,0.98639,91.73717,0.0,0.0,3.71429,3.51,11.26027,0.0,0.0,125.0,45.54115,0.00369,0.52,4.837,-1.0,0.074254,0.38772552862860266,3.402399196793312,3.8861400462962963,0.3189123753355085,81.26008824735936,0.21957582106839246,0.27533380091709586,0.30767432953486473,0.254048610634442,66314.53862453863,0.7865236155594856,0.34993704260295755,93.73081478891562,74043.02977237159,31.455505559473863,4.121466094424375,0.31042391324303115,308.1513914322692,0.15539412360506055,162.80840617175102,0.6190368627450981,0.2783001856679394
18,18,90.3946,13.0326,100,13.6291,0,104,125,29,127,19,0.9905,91.65294,0.0,0.0,4.42857,3.53,11.13854,0.0,0.0,125.0,45.51376,0.00352,0.52,4.177,-1.0,0.072054,0.3842012673713485,3.4981061474582837,3.8549864969135803,0.3189685840231413,81.26736045317406,0.22005319746871765,0.27537428980959583,0.3076386533553192,0.2527110462439274,66058.17408558812,0.7865236155594871,0.3495144579120802,93.76048028568773,73974.15439899574,31.39216820987654,3.85103651671682,0.3119458360022076,306.920828519277,0.15436101108505013,162.7802755738321,0.6186631372549021,0.27904596805022525
19,19,90.3881,12.8739,100,15.1305,0,104,125,29,127,19,0.98647,91.62712,0.0,0.0,4.71429,3.522,11.19042,0.0,0.0,125.0,45.49491,0.00336,0.52,4.456,-1.0,0.073738,0.38278191883837775,3.388513585192308,3.7543885030864197,0.3192999726602709,81.25544162274304,0.2207345641622136,0.275432460680281,0.3075411500692086,0.2522656618618208,66222.7483252445,0.7865236155594867,0.3496640665977042,93.94813467052556,73896.61579360071,31.36036550262828,3.9776716537415986,0.3130791128896051,305.7013704298508,0.15327383272236103,162.802301512829,0.6181060196078431,0.2800887632168733
20,20,90.3362,12.7823,100,14.7306,0,104,125,29,127,19,0.99444,91.56868,0.0,0.0,4.0,3.52,11.05602,0.0,0.0,125.0,45.47703,0.00331,0.52,4.689,-1.0,0.07751,0.3813460295096389,3.775412050667244,4.600453317901234,0.31968210714761486,81.24076404759015,0.22122233635052513,0.2753046096062752,0.3075920408442693,0.2515297314981002,65964.77430888609,0.7881470304953216,0.34852052085123547,93.86254136522045,73925.00925837409,31.331829118139947,3.811746134905238,0.3143434908246552,304.49166683702686,0.1522915439335687,162.84182560970362,0.6179341176470589,0.2804913518956161
21,21,90.3383,12.7168,100,14.1971,0,104,125,29,127,19,0.98962,91.56199,0.0,0.0,4.71429,3.526,10.97347,0.0,0.0,125.0,45.46308,0.00362,0.52,4.351,-1.0,0.076069,0.3795285711035798,4.3525351038304185,4.643952546296297,0.3201399743578032,81.25131668444011,0.22208651675633628,0.2752299286374972,0.3075001680844723,0.2511163200744387,66194.83676427088,0.7881470304953169,0.3482186256443948,93.99377864321761,74063.82072546991,31.287662082248264,3.892267815315639,0.3156135244412421,303.3217963987776,0.1515174023489374,162.77843657711958,0.6176279215686274,0.2806639274392982
22,22,90.3486,12.7021,100,14.6505,0,104,125,29,127,19,0.98718,91.56643,0.0,0.0,6.39286,3.526,10.92024,0.0,0.0,125.0,45.45011,0.00341,0.51,4.6,-1.0,0.076933,0.3790164583094685,3.5018530282454257,4.620563271604938,0.3206164069549978,81.29728877438137,0.22277728387023185,0.27505011070013297,0.3072498933755816,0.25073939879915086,66233.6733026864,0.7881470304953178,0.34617512146598345,97.60706616055013,74072.98539442322,31.266766018337673,3.848620905831128,0.316828826839336,302.16313520111305,0.1507875750289648,162.76638732166225,0.617576862745098,0.28150544438722097
23,23,90.2837,12.5964,100,14.6932,0,104,125,29,127,19,0.98231,91.48594,0.0,0.0,4.71429,3.532,10.90719,0.0,0.0,125.0,45.4415,0.00369,0.51,4.72,-1.0,0.068706,0.378761796886273,3.7732689702896463,4.546537422839506,0.32097903141217526,81.29104350227608,0.22382029996989378,0.2754329796905952,0.30710373388007456,0.2502269411844735,66185.11045581417,0.7865236155594854,0.3441184914874586,97.56941268035385,74104.66323022194,31.218949682918595,3.787907023077987,0.31809777463775557,301.02228341682235,0.15012504644812444,162.7472787159059,0.6170403921568627,0.2827336506684647
24,24,90.2514,12.3912,100,14.6575,0,104,125,29,127,19,0.99376,91.43294,0.0,0.0,5.21429,3.521,10.82226,0.0,0.0,125.0,45.42887,0.00391,0.51,4.944,0.12989,0.082112,0.3754658249076558,4.196955516299766,4.689139660493828,0.32131966115188415,81.29872722528674,0.2244331955528384,0.2759348492832638,0.3069350021070345,0.2500456062626454,66005.69456727391,0.786523615559485,0.34236335362381715,94.04409782259471,74075.32436470677,31.167549981011284,3.817428234676232,0.319361747971555,299.89172963907004,0.14975373016830185,162.75729238296097,0.6172898039215687,0.2837632999278938
25,25,90.2805,12.4493,100,14.0413,0,104,125,29,127,19,0.99141,91.45241,0.0,0.0,4.75,3.527,10.63985,0.0,0.0,125.0,45.4183,0.00346,0.51,4.421,-1.0,0.073902,0.37346393758546265,3.0927113530710564,5.179060570987654,0.3217000299393214,81.28493743799127,0.2249992163981331,0.27619355296306636,0.30689471668698615,0.24974917196784988,66195.56166212699,0.7865236155594842,0.34138940935139556,97.60510844519823,74082.67383751772,31.14003857271171,3.738895488512969,0.3210847344678891,298.7977230265739,0.14900635521750422,162.7302327115989,0.6171596078431373,0.2841607667690202
26,26,90.2656,12.442,100,14.0715,0,104,125,29,127,19,0.99801,91.43031,0.0,0.0,5.17857,3.512,10.68835,0.0,0.0,125.0,45.40699,0.00347,0.51,4.897,-1.0,0.071883,0.37150918565280117,4.193807962720317,5.17139274691358,0.3221602937701349,81.24478956150078,0.22581367054827295,0.2758050889752418,0.30682008369250213,0.2502786159894946,66194.94218795987,0.7854944117310513,0.3411597290397995,91.71982299374609,74080.2918362321,31.097896811402876,3.7717765770006446,0.3229574910272121,297.74188822077616,0.148095122012263,162.75775673614936,0.6167199999999999,0.2851957745612086
27,27,90.2587,12.41,100,14.2357,0,104,125,29,127,19,0.98721,91.42466,0.0,0.0,5.21429,3.519,10.67874,0.0,0.0,125.0,45.40017,0.00349,0.52,4.505,-1.0,0.067758,0.3699996689706062,3.68642204016135,5.1040219907407405,0.32248032719283604,81.29839249129773,0.22644020461782108,0.2755495630474297,0.30657538665532985,0.2502819094175605,66278.81005782199,0.7843059895162555,0.34140579204909327,90.32594897097785,74057.55457471842,31.06092043276186,3.9996254526610455,0.3252937878638114,296.71018248520375,0.14724158575768254,162.74519820580758,0.6167199999999999,0.28485609641680076
28,28,90.2616,12.6225,100,14.2091,0,104,125,28,127,19,0.98398,91.4317,0.0,0.0,4.28571,3.52,10.65018,0.0,0.0,125.0,45.39386,0.00343,0.51,4.836,-1.0,0.066387,0.36857663454070644,3.4493899348855592,5.092592592592593,0.32291101731136274,81.27484998078057,0.2272507212546538,0.27534671376737924,0.3064447228640935,0.24999393517251567,66278.20665556354,0.7865236155594856,0.3406370891864463,90.17545786958279,74053.33746790003,31.026136421862944,3.800125362583153,0.3275315826162004,295.7206694625535,0.1464569959891898,162.70237556488726,0.6167129411764706,0.284709313531455
29,29,90.2488,12.6092,100,15.516,0,104,125,29,127,19,0.99207,91.43368,0.0,0.0,5.57143,3.517,10.83516,0.0,0.0,125.0,45.38946,0.00326,0.51,4.468,-1.0,0.076527,0.3672811858853041,3.215866487429167,5.393566743827161,0.32303939729135656,81.25777227024605,0.2279049820256831,0.27530338373599805,0.306368453418197,0.24967654507414674,66157.62362286524,0.7865236155594847,0.3392103398829025,90.02794453609641,74037.16266437477,31.012988997094425,3.92443645039505,0.32963985664378054,294.74601636297257,0.14616845896495773,162.76798392535247,0.6169580392156863,0.28453401484972374
30,30,90.2748,13.0661,100,14.6644,0,104,125,29,127,19,0.99137,91.48748,0.0,0.0,5.0,3.541,10.82308,0.0,0.0,125.0,45.41531,0.00346,0.51,4.365,-1.0,0.073134,0.3664983722397649,2.440469521871627,5.8581211419753085,0.3230418030794337,81.26203355472525,0.2282775773805085,0.2752846541832161,0.306181464331419,0.24975516792852465,66438.86055748012,0.7887412416027161,0.3378310847126993,93.27213265628691,74105.31228148635,31.014625831886573,3.842717730001663,0.33119508841035816,293.795229988332,0.14667626371293424,162.77570698721408,0.6175496666666614,0.28460015705535846
31,31,90.3261,13.4069,100,14.8381,0,104,125,28,127,19,0.98356,91.56385,0.0,0.0,6.78571,3.53,11.21511,0.0,0.0,125.0,45.42516,0.00365,0.5,4.319,-1.0,0.070169,0.36543377394999516,3.643781686934195,6.012683256172839,0.32314836443184614,81.26658660064322,0.22884373993941154,0.27542155521675576,0.30604931661021545,0.24930558663364394,66494.90983020348,0.7887412416027156,0.3366810147377779,92.26497618638666,74076.99547750261,31.013200547960068,4.013303073840798,0.3329374939486579,292.84850986915814,0.14680587289371094,162.86688756565124,0.6176960784313726,0.28447868798284714
32,32,90.2943,13.6789,100,16.4752,0,104,125,28,127,19,0.99367,91.55433,0.0,0.0,4.64286,3.53,11.50729,0.0,0.0,125.0,45.44408,0.00339,0.51,4.222,0.12963,0.066463,0.3643777600857864,2.8629550655622644,6.164592978395062,0.32306129599771527,81.23980747755171,0.22952282629321674,0.2754105914092581,0.30585469912094554,0.24864630591422374,66465.71961870567,0.7887412416027161,0.33585938849786545,94.25611741568859,74099.44911195182,31.057488900643808,3.9702792855733304,0.33443509405055233,291.93980264513266,0.14697362107376613,162.89758957280324,0.6176885294117636,0.2841118332342822
33,33,90.2292,13.9414,100,15.6009,0,104,125,28,127,19,0.98325,91.52527,0.0,0.0,4.42857,3.54,11.74326,0.0,0.0,124.0,45.48043,0.00355,0.5,4.394,-1.0,0.070483,0.3637081750744603,2.888378224708123,6.331741898148148,0.3228732702235175,81.25215865093679,0.23000293195811822,0.2752002136398478,0.30570401243973716,0.2480923716027655,66290.4305199082,0.7903646565385493,0.3355936484362738,96.13312115343855,73791.74405701713,31.052403391143425,4.059435097422446,0.3364947883902625,291.04686501930496,0.14670174703215433,162.9985780062222,0.6179121568627451,0.2842169749309354
34,34,90.2259,13.9986,100,16.5683,0,104,125,28,127,18,0.98675,91.52386,0.0,0.0,7.10714,3.549,11.96616,0.0,0.0,125.0,45.52913,0.00377,0.51,4.338,-1.0,0.073521,0.3626825934827076,3.707727616642753,6.609471450617284,0.3225504954806238,81.26575457490632,0.23025931837440386,0.2749998117725285,0.3055730560374915,0.24754776362793987,66355.00298363129,0.7903646565385487,0.33552931596780405,96.19459837923782,73861.70989648855,31.04821588963638,4.142848260759372,0.33844111352599143,290.1647027674752,0.14706705474480075,163.00426409923622,0.6181792156862745,0.28451722202491175
35,35,90.3093,13.715,100,15.7108,0,104,125,28,127,18,0.99234,91.62563,0.0,0.0,5.82143,3.525,12.01427,0.0,0.0,125.0,45.49398,0.00326,0.51,4.388,-1.0,0.072994,0.36150276470912546,2.2683015768040318,6.878279320987654,0.3221495027061042,81.2493889295666,0.23053569003129162,0.2749188307664459,0.3053487935925254,0.24732081246983112,66666.35844907143,0.7903646565385501,0.33577328775888754,93.21409505406558,74011.31937256061,31.078626656237944,4.271372971026198,0.34020014207261484,289.32374260832086,0.1470453877577467,163.02873999590008,0.6178596078431372,0.28426674195415697
36,36,90.2427,14.0966,100,16.3803,0,104,125,28,127,18,0.98211,91.60135,0.0,0.0,5.35714,3.512,11.76971,0.0,0.0,125.0,45.48873,0.00326,0.51,4.308,-1.0,0.067374,0.360529513778204,2.9314823336255014,7.0883005401234565,0.32182966893715603,81.23867672873557,0.23086116512197236,0.2748082003541092,0.30516093730733057,0.24689585683871715,66187.87764326624,0.7903646565385567,0.3361101510196534,91.45396059874864,73914.23539181055,31.099537602177374,4.223646145280789,0.3423138202747622,288.49388641761664,0.14679639583295195,163.14336544454335,0.6175533333333333,0.2840398651736811
37,37,90.2626,14.0537,100,17.9601,0,104,125,28,127,18,0.98218,91.64637,0.0,0.0,5.39286,3.539,12.09761,0.0,0.0,125.0,45.54928,0.00367,0.51,4.448,-1.0,0.06816,0.3601009302477142,3.582788562900517,7.158420138888889,0.32151944371013597,81.2687726184098,0.2310446856764438,0.2748458413909459,0.3051022902892663,0.24650375681106337,66370.23214363263,0.7931764936891779,0.33598131791375685,97.58449136101902,74009.63684114747,31.120920063536843,4.330154323435064,0.34449606519343,287.6946025517971,0.14669708259675404,163.14821885131602,0.6180443137254902,0.2837878677899101
38,38,90.3135,14.1422,101,16.6907,0,104,125,28,127,18,0.98561,91.71612,0.0,0.0,4.28571,3.511,12.06211,0.0,0.0,125.0,45.57383,0.00375,0.51,4.843,-1.0,0.068459,0.35949603458937074,2.569595387386599,7.340904706790123,0.32122993244467785,81.2347868908046,0.23121844589947543,0.27484187202858246,0.30508094973323957,0.24645687519663867,66407.56019019676,0.7970175346682384,0.3356175669872071,93.51588531106393,73975.72235170087,31.168072359061533,4.058218442583684,0.3461965040773507,286.91437837264976,0.14661616167217964,163.17852300592708,0.6178964705882353,0.28343464186877726
39,39,90.2551,15.1971,101,17.2591,0,104,125,28,127,18,0.97894,91.6902,0.0,0.0,4.28571,3.513,12.13967,0.0,0.0,125.0,45.58283,0.00361,0.51,4.683,-1.0,0.062185,0.3592068915113587,3.502499854255131,7.543740354938271,0.320841972015951,81.23643513184373,0.23144373171522056,0.274733278784754,0.3050560809052261,0.24574263985205722,66376.59704150227,0.7980467384966744,0.3353039485387418,96.58040171345957,74019.53094971817,31.20551234115789,4.113725883465028,0.34687174482663546,286.1445025070034,0.14637753199003645,163.20094000880263,0.6178520784313715,0.2830788530721951
40,40,90.1687,14.3074,100,19.6044,0,104,125,28,127,19,0.98862,91.59664,0.0,0.0,4.67857,3.525,13.04506,0.0,0.0,125.0,45.58398,0.00354,0.52,4.665,0.13143,0.061257,0.35880295277830965,3.0058566191582323,7.72583912037037,0.32043977164950715,81.31088041479293,0.2315239086120743,0.27464287662631437,0.3050192627869968,0.24514885998689923,66260.87500824708,0.7959883308398045,0.33513857101101535,96.57193900794854,74078.5449950301,31.22219829794801,4.818450188962031,0.34783210272259735,285.4012946706612,0.14601408592004347,163.19026628106622,0.6180202745098035,0.2829421125211333
41,41,90.1612,14.7171,100,16.9372,0,104,125,28,127,19,0.98967,91.58536,0.0,0.0,4.5,3.498,12.28046,0.0,0.0,125.0,45.57538,0.00325,0.51,4.42,-1.0,0.064406,0.3583312243686656,2.6246544300079253,7.749131944444445,0.3201157690812882,81.27754858954998,0.23180030366327972,0.27469661198450457,0.3051353366716802,0.2447266111446363,65959.65127906359,0.7958291124534461,0.3355416336992127,96.58112288052514,73823.61409933986,31.18558379750193,4.0759093351589915,0.3494282873497689,284.6695211874658,0.14574211185834698,163.21818291675677,0.6178482352941177,0.28240947414104517
42,42,90.1223,14.4095,100,19.7928,0,104,125,28,127,19,0.98078,91.56043,0.0,0.0,3.35714,3.513,12.63569,0.0,0.0,125.0,45.56126,0.00387,0.51,4.207,-1.0,0.060296,0.35792090529556025,2.599285772649442,7.760320216049383,0.3196447940065254,81.25910459385948,0.23199666970353144,0.2745898319179735,0.3050828980513935,0.24430462791695526,65978.9762714228,0.7964233235608414,0.3360709158137789,97.18794507853899,73885.46438300192,31.1640672095028,4.789213425268025,0.34962531657817464,283.9579751800403,0.14539780878922443,163.19054910825227,0.6175164705882353,0.281864162837059
43,43,90.152,14.1499,101,17.5995,0,104,125,28,127,19,0.99006,91.60993,0.0,0.0,5.75,3.516,12.36777,0.0,0.0,125.0,45.555,0.00367,0.51,4.339,-1.0,0.058768,0.35805388353757556,2.7842958933736965,7.850067515432099,0.3192143831565715,81.24890803166377,0.23216125170506152,0.2745513524372917,0.30507847319672465,0.24381145836402116,65959.37910595533,0.7996701534325061,0.3360255494493891,94.18346096596878,73912.2090753714,31.1444361180435,4.33882066281661,0.3497392033530402,283.26609292411473,0.14503433474910365,163.1682601283183,0.6167207843137255,0.28181306269950224
44,44,90.0659,14.2478,100,16.3139,0,104,125,28,127,18,0.9866,91.52437,0.0,0.0,4.35714,3.495,12.15444,0.0,0.0,125.0,45.54377,0.00349,0.51,4.801,-1.0,0.064864,0.35714661749567617,3.1833763661416925,7.872974537037037,0.31880539773044825,81.26817811756541,0.2323547123831714,0.27442601658160454,0.3050811199191671,0.24350687033707497,65608.95879391377,0.798046738496681,0.336145967493532,97.52249143769838,73760.87252654832,31.130668545946662,4.213646356609671,0.34987282959302024,282.58759551890256,0.14484067299329997,163.0964201093815,0.6167129411764706,0.2812192844861929
