,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.6,fft,cubcol.0.3,cubrow.0.3,cubcol.0.5,staticness,tone,saturation,color_fulness,blur,cubcol.0,movement,blockiness,uhdhdsim,noise,cubcol.1.0,cubcol.0.6,contrast,cubrow.0.5,temporal,cubrow.0,cubrow.1.0
10,210,39.0267,7.63817,37,9.50114,0,110,119,12,139,10,0.98973,45.65947,0.0,0.0,1.46429,8.314,6.93525,0.0,0.0,124.0,43.93522,0.0,1.46,3.606,-1.0,0.000358,0.16292647901966784,64497.13890563705,0.10718887357745051,0.11359979458696667,0.12736930195985965,615.6999296023794,0.6534286274509804,56.42565220962336,68.85876615888475,13232.01246634796,0.13198680907144142,3.071807484567901,1.368855855262987,98.32605172111525,0.4445429811087202,0.11869936656178162,0.144537800443402,86.43589065119538,0.11891022782909097,5.143967991745563,0.14247358021042605,0.14534887351738507
11,211,38.77,7.4632,36,9.31735,0,110,119,12,139,10,0.99329,45.41747,0.0,0.0,1.60714,8.316,6.59243,0.0,0.0,124.0,44.02162,0.0,1.45,3.622,-1.0,0.000504,0.16313219778554308,64497.941454467786,0.10743001665905029,0.11343822788010105,0.12527297740295296,616.2080847300587,0.6553701960784314,56.66033125512394,69.1235874865347,13026.373932916717,0.13311205707170012,3.2385706018518516,1.4687227461339363,98.36601401142863,0.4445429811087191,0.1186505899610363,0.14526028304571384,87.70893070916861,0.12016061518263689,5.12167542160067,0.14339226925920898,0.1444829252909841
12,212,38.9056,7.24108,37,8.56942,0,110,119,11,139,10,0.99896,45.57727,0.0,0.0,2.14286,8.326,6.46281,0.0,0.0,124.0,44.06229,0.0,1.44,3.299,-1.0,0.000273,0.16316469743552128,64541.71457819391,0.10741475585597224,0.11332261975633505,0.1239297664298662,616.6022751328594,0.6566247058823529,56.59958545072578,69.27179993064574,13158.249252956815,0.13511234794528754,3.0049672067901234,1.4581173110739498,98.35024705205493,0.4445429811087201,0.11837914860446275,0.14535510331993415,87.662309222227,0.12168583933013012,5.078474659535199,0.14480821275848313,0.1439684628966436
13,213,38.9316,7.18263,37,8.57952,0,110,119,12,139,10,1.00212,45.65876,0.0,0.0,1.57143,8.291,6.25883,0.0,0.0,123.0,44.11334,0.0,1.46,3.546,-1.0,0.000397,0.16315267936665032,64545.09328235801,0.10753944996827808,0.11319829885525423,0.12291377946045096,616.9233762275677,0.6580918039215684,56.86833266270014,69.54023912230274,13184.367841900961,0.13661082427122823,2.629002700617284,1.6127280848270382,98.34393811713575,0.44454298110871954,0.11794321303607135,0.14520239155638978,88.70972718666351,0.12303758529177503,5.118013671998079,0.1458903727401326,0.14399916211971955
14,214,38.8728,7.25952,37,8.75485,0,110,119,12,139,10,1.00411,45.63064,0.0,0.0,1.60714,8.274,6.21611,0.0,0.0,122.0,44.13653,0.0,1.45,2.869,-1.0,7.8e-05,0.16297484067934567,64499.50814984617,0.10767561180883846,0.1131217779263598,0.12190986385089808,617.1556639091409,0.6589165294117644,56.65489969135803,69.60323438326442,13132.698091221784,0.1366087191888419,2.6513310185185186,1.10778343818186,98.32395676476796,0.44454298110871954,0.11766664389405082,0.14493696614330728,84.48450030837151,0.12421678321849168,5.103611395848571,0.14662722155739472,0.14403028787146152
15,215,38.9252,7.08601,37,8.45153,0,110,119,12,139,10,0.99955,45.68389,0.0,0.0,1.92857,8.267,6.29132,0.0,0.0,123.0,44.14246,0.0,1.43,2.838,-1.0,0.000221,0.16274397417682518,64482.90758363574,0.10779745301053499,0.11290967852759637,0.12106118472659272,617.2936109180413,0.6585388235294118,56.759111946011764,69.81850786584026,13195.660625848768,0.13585688417549077,4.2292148919753085,1.2488659376885725,98.33454010349672,0.4445429811087204,0.11784662517438681,0.14465394900671763,84.46579665937621,0.12544513553390102,5.084226593116629,0.14703744138207112,0.14504304657509695
16,216,38.9566,6.956,37,8.5159,0,110,119,12,139,10,0.99868,45.71273,0.0,0.0,2.07143,8.212,6.13338,0.0,0.0,122.0,44.12865,0.0,1.45,2.401,0.125,0.000197,0.1624893341921865,64401.62543555604,0.10795941709101292,0.11280864938803634,0.12029957211651868,617.3428617217228,0.6581666666666666,56.775937115704565,69.86665963251264,13222.900462793546,0.1352172604415513,4.176215277777778,1.5272175324705213,98.33403758740175,0.44454298110872,0.11800099059245933,0.14413915047784673,84.52941048936535,0.12642892167671416,5.091373296795777,0.14708755667727264,0.14615796174932572
17,217,39.0373,7.1619,37,8.34281,0,110,119,12,139,10,0.99996,45.80093,0.0,0.0,1.67857,8.213,6.02217,0.0,0.0,122.0,44.1331,0.0,1.45,2.862,-1.0,0.000297,0.16259782771839965,64455.835802585396,0.10809746538125305,0.11274125916233002,0.11980827989910071,617.3330199593604,0.6587576470588234,56.87952545542776,69.90848798391504,13300.80460535655,0.1357933475964708,3.943238811728395,1.404440246567357,98.3175491275088,0.444542981108719,0.11804188838964418,0.1434044856334501,87.10882960843921,0.12760911702633282,5.055169176576248,0.14726407426038396,0.14704675173115966
18,218,39.039,7.06384,37,8.6655,0,110,119,12,139,10,1.00001,45.80148,0.0,0.0,1.53571,8.297,6.20881,0.0,0.0,122.0,44.10572,0.0,1.44,2.809,-1.0,0.00062,0.16248607391330025,64456.30263878293,0.10830351988839737,0.11273811648431672,0.11961940396543151,617.2958980784754,0.6591490196078431,56.80773247612847,70.06574774808588,13302.846557168396,0.1370695729611312,3.787663966049383,1.4018229992077043,98.3057942395659,0.4445429811087182,0.11786472678103331,0.14274455669909378,90.56901325042982,0.12883248462575767,5.068411408571025,0.1470345245596501,0.14744018403080683
19,219,38.8449,6.88894,37,8.5802,0,110,119,12,139,10,0.99712,45.67787,0.0,0.0,1.25,8.276,6.12779,0.0,0.0,121.0,44.09226,0.0,1.45,2.941,-1.0,8.8e-05,0.1626688821799235,64432.33177750093,0.10947313709706508,0.11269089822271666,0.11943181087500203,617.2264531485865,0.6592596078431372,56.9520088478371,70.17483632462458,13154.975633856177,0.13792329503317188,3.517795138888889,1.4800130688001518,98.34120568037562,0.44454298110871915,0.11746532128586423,0.1419245020112507,84.97781748372417,0.12989076864173568,5.036144195745343,0.14688148708519375,0.147348994483306
20,220,38.9024,6.92573,37,8.8927,0,110,119,12,139,10,0.99603,45.70475,0.0,0.0,1.5,8.278,5.95802,0.0,0.0,121.0,44.07977,0.0,1.44,2.787,-1.0,0.000182,0.16241693133361204,64338.35736108617,0.10977411563199282,0.11266133448692847,0.11930075349871681,617.0924971153354,0.6598203921568627,56.89794300220631,70.19736193713501,13247.221951822788,0.13748317490331308,5.003279320987654,1.7529380669536414,98.33841263022993,0.44454298110872065,0.1169341990763498,0.14110780279698185,85.16297885852688,0.13084884469775587,5.1052812149220745,0.14660805485482284,0.14787844486458784
21,221,38.9134,6.72364,37,9.10046,0,110,119,12,139,10,0.99814,45.72383,0.0,0.0,1.57143,8.285,5.99403,0.0,0.0,121.0,44.08463,0.0,1.44,3.097,-1.0,0.00018,0.1622538882891452,64357.90184442391,0.11033536516776907,0.11249202730736975,0.11913138729942585,616.9225855403307,0.6606749411764705,56.75009720413773,70.21977774661421,13256.018261688607,0.13695347639674457,5.208912037037037,1.5395819803506834,98.32973864428105,0.4445429811087191,0.11652473675783985,0.14048866556051703,88.67996309315961,0.13189324102188008,5.129792499754252,0.14644057491645915,0.14832936125423674
22,222,38.8137,7.10166,37,8.36874,0,110,119,12,139,10,0.99982,45.65304,0.0,0.0,1.35714,8.284,5.82492,0.0,0.0,122.0,44.0601,0.0,1.46,3.26,-1.0,0.000233,0.16239714696079202,64335.8353910578,0.11000859520239034,0.11231452640741786,0.11928004159137094,616.7366886211504,0.6611262745098039,56.90715121045524,70.24973263270846,13201.503719543001,0.13630176547357306,5.1341628086419755,1.6745195913208808,98.3400650036814,0.4445429811087187,0.11640121019076774,0.14024329688364542,87.10910779914911,0.13281527580389174,4.975057789255321,0.1458289868544182,0.14809774647987475
23,223,38.8195,7.12399,37,9.1058,0,110,119,12,139,10,0.99863,45.62508,0.0,0.0,2.17857,8.288,6.15024,0.0,0.0,123.0,44.0661,0.0,1.43,3.297,-1.0,0.000272,0.16260624317540864,64301.77967058862,0.11000596311402967,0.11215099526290062,0.11903549636854988,616.5403062419896,0.6621619607843138,56.896317093460645,70.31951458194155,13201.863507918612,0.13580151628262616,5.116657021604938,1.4330853699437212,98.34173145320499,0.4445429811087196,0.11646662174923925,0.1401191509586752,89.73827552356495,0.13414287178206705,5.128017059593051,0.14568838363126757,0.14792987108724664
24,224,38.9133,6.87425,37,8.81078,0,110,119,12,139,10,0.99765,45.73236,0.0,0.0,1.96429,8.298,6.16509,0.0,0.0,123.0,43.99795,0.0,1.45,3.264,0.125,0.000178,0.16305171819395864,64253.6580294218,0.1100143281420745,0.11224403882352364,0.11889777842689545,616.278115254216,0.6614250980392157,56.93413232873987,70.31313575919266,13343.802359910605,0.13496686178510045,4.938802083333333,1.4955611401534572,98.31941029366794,0.4445429811087202,0.11669799642838752,0.1398978745966554,88.42089730218183,0.13536598080849763,5.096174566242737,0.14577018649216858,0.14768362997330414
25,225,39.0082,7.35037,37,8.7085,0,110,119,12,139,10,0.99771,45.79861,0.0,0.0,2.14286,8.297,5.94797,0.0,0.0,123.0,44.05698,0.0,1.45,3.526,-1.0,0.000406,0.1636531771348388,64289.16560938414,0.1100812511269069,0.11230077627379989,0.11921211422949822,616.0485817370414,0.6624682352941176,57.06163420500579,70.33073601588151,13412.515636081045,0.1346287505149098,6.040171682098766,1.605617097656983,98.31805496442638,0.4445429811087205,0.11693780165602508,0.1395317844767288,90.20586341767827,0.1359379370249654,5.0095122993527275,0.14591827380237543,0.1474464902230203
26,226,39.0599,7.50985,37,9.29074,0,110,119,12,139,10,0.99709,45.90065,0.0,0.0,1.82143,8.299,6.35778,0.0,0.0,124.0,44.10892,0.0,1.45,3.58,-1.0,8.5e-05,0.16426531423927776,64320.99829036617,0.11028999134909383,0.11233677392685601,0.11973119117173177,615.8272265044741,0.6627870588235293,57.01384574984327,70.30925960662957,13480.465253988761,0.1346027630332451,5.741512345679013,1.0038315611767168,98.30270404066977,0.444542981108721,0.11699150894822151,0.1391887691090167,90.28835801200927,0.13636277623059428,5.074884638049044,0.1457048974955017,0.14742500439073936
27,227,39.1285,7.65886,37,9.12625,0,110,119,12,139,10,0.9943,45.96627,0.0,0.0,1.85714,8.277,6.49328,0.0,0.0,123.0,44.15756,0.0,1.44,3.669,-1.0,0.000109,0.16479183081249693,64306.48908064754,0.11042759747239835,0.11238242723390604,0.12026652240370082,615.6003224081841,0.6633392549019607,57.03900956518856,70.26153064888243,13521.092635219711,0.13457185500337254,5.713252314814815,1.2759931462120506,98.28708749020788,0.4445429811087204,0.11699162299035816,0.13872954361325732,89.1718306551235,0.13680757707197272,5.137523107419523,0.14578212261743656,0.14738769010574088
28,228,39.1207,7.87923,37,9.73739,0,110,119,12,139,10,0.99713,45.94825,0.0,0.0,1.71429,8.28,6.61721,0.0,0.0,123.0,44.15788,0.0,1.43,3.747,-1.0,0.000686,0.16502916860259606,64330.141135624894,0.11054176936354529,0.11246893711273129,0.12034433764385362,615.4005006436755,0.6634488431372547,57.0207186098452,70.40548730681678,13531.501734784886,0.1344519364392389,5.655623070987654,1.1283649970587841,98.28623231939898,0.44454298110871965,0.11715057029112484,0.13824051465037193,85.62954069273073,0.13738835397275498,5.203714973997615,0.1460418336932979,0.14741622846971641
29,229,39.446,8.18624,37,10.2384,0,111,118,12,139,10,0.99701,46.34841,0.0,0.0,2.35714,8.256,6.83253,0.0,0.0,124.0,44.4089,0.0,1.45,3.918,-1.0,2.8e-05,0.1652666873107278,64276.321754253724,0.11103422629115133,0.1125792626131542,0.12023261218973753,614.8195343480469,0.6695972941176469,56.66703909414787,70.04706042530182,13913.490857926907,0.13450384006650953,5.911458333333333,1.014346623794156,98.21355445878076,0.4445429811087222,0.11736296653223532,0.1378442704740902,86.96340661838234,0.13802405599011855,5.335434397582389,0.14607759567195291,0.14731321381892212
30,230,39.7613,8.43895,38,10.0793,0,111,118,11,138,10,0.99462,46.74088,0.0,0.0,3.03571,8.245,7.09786,0.0,0.0,124.0,44.66322,0.0,1.45,3.56,-1.0,6.3e-05,0.165469252623571,64382.32164298565,0.11286967562440522,0.11271106616307097,0.12009710733341095,613.9255180826503,0.6777580392156863,56.06441752115885,69.89907298939387,14264.750943233894,0.13431077681638948,7.381124614197531,1.4374166007441898,98.1411816998593,0.444542981108722,0.1176390586075435,0.1374778695222954,86.58062329836895,0.13864473226148324,5.334751963381472,0.14669814278045773,0.1474190739253291
31,231,39.8856,8.39491,38,10.475,0,111,118,12,138,10,0.99506,46.87455,0.0,0.0,3.32143,8.196,7.28504,0.0,0.0,124.0,44.71992,0.0,1.45,3.463,-1.0,7.5e-05,0.1654890081998503,64327.113601694204,0.11314533887101512,0.11285431514589028,0.1199718401854966,613.1087722403716,0.678727843137255,56.02327775366513,69.96588134970334,14324.297820193542,0.1341591273195398,7.56712962962963,1.6100434617666408,98.14955354045986,0.44454298110872187,0.11779382346807288,0.13723467122737398,86.05473812881141,0.13902394694844403,5.248605935087076,0.14699378690166381,0.1478292550685524
32,232,39.7991,8.19763,38,10.2025,0,111,118,11,138,10,0.9985,46.7925,0.0,0.0,2.89286,8.191,7.24493,0.0,0.0,124.0,44.67181,0.0,1.43,4.287,0.125,0.000346,0.16549953353084307,64411.74976779693,0.1137047971395694,0.11304009066624776,0.11998777347929078,612.098259670162,0.6784137254901961,56.83267475646219,69.78286540959331,14184.346339710823,0.1341380104613991,7.421682098765432,1.6700419252161918,98.1488364547932,0.44454298110872154,0.11770465358153251,0.13701380523940332,87.14757910587785,0.1394654845256252,5.453471927453997,0.1473179224872352,0.14821390320450378
33,233,39.5724,8.13663,37,10.5971,0,111,116,11,139,10,1.00016,46.51357,0.0,0.0,2.75,8.204,7.09375,0.0,0.0,124.0,44.26418,0.0,1.44,3.661,-1.0,5.7e-05,0.16541027159861635,64387.433607660794,0.1134845428180422,0.11322677308064709,0.12002699932828323,610.3302412476468,0.6694752941176471,59.930542745707946,70.70041778841741,13820.34212215444,0.13410758288886393,7.673707561728395,1.7009627519773252,98.18362697553054,0.44454298110872004,0.11764054954209567,0.13686127896843955,89.24790878293409,0.13973107365712192,5.711098276033999,0.14788548390621045,0.14859011613561227
34,234,39.5176,8.06071,37,9.5893,0,111,116,10,139,10,1.00018,46.47246,0.0,0.0,2.75,8.157,7.02986,0.0,0.0,125.0,44.23288,0.0,1.44,3.731,-1.0,0.00059,0.16536225120715184,64405.390230379606,0.11338556941675791,0.11443750216015991,0.11986848255541728,608.7168709234192,0.6692023529411765,60.006826895254626,70.6823886604065,13733.46569313878,0.13416622045532106,7.488425925925926,1.8625749816604857,98.19221072899907,0.4445429811087196,0.11768348314497115,0.13682996496931893,89.71253460267148,0.14007417217138,4.989040780187971,0.14883260249486688,0.14882619173746012
35,235,39.5477,8.34374,37,9.446,0,111,116,11,139,10,0.99918,46.4991,0.0,0.0,2.75,8.185,6.95561,0.0,0.0,125.0,44.17921,0.0,1.46,3.548,-1.0,0.000309,0.1653099867808089,64346.97250868009,0.11330189464361232,0.11457878411443446,0.11980155362661474,607.2620137252945,0.6688992156862746,60.01411230770158,70.7956381750632,13784.758345351112,0.1336971757431496,7.760609567901234,1.930298116185257,98.18421296521518,0.4445429811087205,0.1178563852147055,0.13685427172390274,88.25235779869917,0.14048163811020178,4.946813392266938,0.1497561739357244,0.14896705757471018
36,236,39.6287,8.6087,38,9.54592,0,111,116,11,139,10,0.99683,46.59774,0.0,0.0,2.75,8.136,7.20287,0.0,0.0,125.0,44.06606,0.0,1.44,3.435,-1.0,0.000285,0.16523428102207227,64373.86504626151,0.11313686847433992,0.11502850735288285,0.11980682271031752,605.911959356122,0.6662129411764706,60.11793065954137,70.78348090768635,13830.99378881519,0.13338798433194168,7.533179012345679,2.004769911952356,98.18879327966464,0.4445429811087204,0.11827541711902716,0.13689322660729547,88.93708701245993,0.1408582173631252,4.978314147792928,0.15079162961588047,0.14906540428741766
37,237,39.6749,8.63154,38,9.61285,0,111,116,11,139,10,0.99679,46.67838,0.0,0.0,2.75,8.108,7.42814,0.0,0.0,126.0,43.95153,0.0,1.45,4.105,-1.0,0.000339,0.16523435498089187,64467.52909904861,0.11291054156047155,0.11497406132389683,0.11982646432996176,604.6922206490898,0.664723137254902,60.0833485921224,70.82058139807467,13865.647982931261,0.13297140876489594,7.297839506172839,1.8412269998689719,98.176650441135,0.44454298110872115,0.11885933899945778,0.13685430911378857,86.83844990391098,0.14127214860550252,5.05181889660493,0.1513883782409584,0.14919223756336747
38,238,39.7188,8.72363,38,9.86942,0,111,116,11,139,10,1.00087,46.74087,0.0,0.0,2.35714,8.137,7.44444,0.0,0.0,126.0,43.83863,0.0,1.44,3.754,-1.0,0.000527,0.16520047840698643,64487.7115244281,0.11272030703733325,0.11498993703329799,0.11982517080575661,603.5701165185525,0.6629654901960784,60.061071513611594,70.82091022657244,13967.423440154047,0.1325187840709107,7.018229166666667,1.5014047970501778,98.15862078897355,0.444542981108722,0.11946522876703435,0.13694177628436652,86.77239915010594,0.14163217532484168,5.034960722320348,0.15186130350279922,0.14932876360910283
39,239,39.8199,8.89244,38,9.75648,0,111,116,11,139,10,1.00378,46.82985,0.0,0.0,2.07143,8.132,7.52779,0.0,0.0,126.0,43.7004,0.0,1.45,3.29,-1.0,0.000148,0.16510394397755918,64537.145763494555,0.1125007582703943,0.11525083792377368,0.11985217618956134,602.5214965697293,0.6608462745098038,60.04976060655382,70.84347391649325,14056.43372855149,0.13221542275820755,6.86670524691358,1.556254574810635,98.14770837254653,0.44454298110872087,0.11986271296189413,0.13706954691633805,87.95088354487707,0.1419218053457525,5.0821253750954725,0.15204631271457672,0.1493795151182205
40,240,39.5928,9.0088,38,10.5694,0,111,116,11,139,10,1.0017,46.65913,0.0,0.0,2.42857,8.089,7.67167,0.0,0.0,126.0,43.62567,0.0,1.44,3.567,0.125,0.000168,0.16503326444836522,64350.5732259307,0.11220283709942859,0.11559697329238416,0.11978903175286194,601.5640664730513,0.6600058823529412,60.22613092116368,70.79275599590548,13845.37605490349,0.13162320191315155,7.017361111111111,1.8211463547926965,98.1779938671342,0.4445429811087207,0.12013045682256687,0.1372275542243962,87.90621964564848,0.14226696397119615,5.124067763125389,0.15222110894359933,0.1493820750749264
41,241,39.7946,9.31853,38,10.4618,0,111,116,10,139,10,1.00435,46.83401,0.0,0.0,1.92857,8.027,7.77842,0.0,0.0,125.0,43.58463,0.0,1.43,3.379,-1.0,0.000239,0.16493413866014292,64444.90726418369,0.11191260007541672,0.1158639537128333,0.11978107841919977,600.6975455852806,0.6606886274509804,59.97451273600261,70.8227920494178,14032.526396624842,0.13146796047309955,6.653935185185185,1.5544168743598235,98.1658412438187,0.4445429811087205,0.12058170721050837,0.1374874213468835,87.62528883695002,0.14285297313966222,5.130740286232939,0.15227823083795547,0.14928786513804806
42,242,39.7658,9.48221,38,11.1301,0,111,116,11,139,10,1.00759,46.81051,0.0,0.0,2.57143,8.092,8.04995,0.0,0.0,125.0,43.63246,0.0,1.43,3.197,-1.0,0.000184,0.1648752662176728,64507.351758155084,0.111589410761741,0.11610396923403363,0.11969059508568197,599.8975280919034,0.6609583137254891,60.192966979226945,70.98901950579881,13980.860990377785,0.13113396496587337,6.694299768518518,1.4832814539720098,98.16218314811992,0.44454298110872115,0.12128346048317486,0.13774531695741618,86.79713163451953,0.14318359245405587,5.170981450137353,0.1523333956380891,0.14925441934832046
43,243,39.8195,10.542,38,10.4598,0,111,116,11,139,10,1.00232,46.87456,0.0,0.0,1.82143,8.132,8.1869,0.0,0.0,126.0,43.71005,0.0,1.44,3.134,-1.0,4.8e-05,0.1648332919871236,64426.90549969538,0.11122458133292608,0.11610217517072818,0.11966119044234637,599.1514629118459,0.6627858823529411,60.10561813542872,71.11230432540012,14074.357089756262,0.13086220428414186,6.876832561728395,1.5747374267533385,98.14233889602059,0.4445429811087214,0.1216816643637215,0.1379373444055219,86.77512261836097,0.14343338450126916,5.215296718538372,0.1527180217282798,0.14914982071840116
44,244,39.6665,10.8558,38,10.6075,0,111,116,11,139,10,1.0003,46.75715,0.0,0.0,2.78571,8.086,9.12238,0.0,0.0,126.0,43.58635,0.0,1.45,3.15,-1.0,0.000347,0.16479120582963197,64424.211818720614,0.1109357763707428,0.11584975262793927,0.11962888660083802,598.3822795893424,0.6617294117647059,60.14106618622203,71.44957881881017,13900.917040225984,0.13019847352711894,7.10474537037037,1.7795864426575416,98.15925317213856,0.44454298110871987,0.12163688567832409,0.1382012050976232,85.78963688666356,0.14375195375099104,5.212225659777836,0.15270535581488245,0.14905534058284456
