,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,blockiness,cubcol.0.6,cubcol.0.5,cubrow.0.5,uhdhdsim,fft,cubcol.0,noise,tone,color_fulness,staticness,contrast,saturation,cubcol.1.0,cubcol.0.3,temporal,blur,cubrow.0.6,cubrow.0,cubrow.1.0,movement,cubrow.0.3
11,111,66.9472,22.6934,44,39.9044,0,122,118,12,135,16,0.97567,62.1158,0.0,0.0,0.17857,6.126,19.41361,0.0,0.0,125.0,33.8479,0.00708,0.6,11.173,-1.0,0.02357,2.6442360078181983,0.22491675865209068,0.22237878816214465,0.12670686587162236,81.74603206174802,68967.86454056167,0.06072645747765202,0.8085406576054265,0.5123666666666667,81.34855391926195,456.078257753431,87.19841962762618,43.381802029079864,0.09585996655677843,0.3119805075699884,6.458547748830209,70623.66823125863,0.09140194813606684,0.022725273658682158,0.030040320911783436,10.76514274691358,0.0436149211270983
12,112,66.3982,23.5656,44,37.3611,0,122,118,12,135,17,0.98628,61.68817,0.0,0.0,0.17857,6.084,19.47436,0.0,0.0,125.0,33.652,0.00701,0.59,12.925,-1.0,0.025985,3.0966606716861724,0.22385064116789308,0.2199063527889658,0.12782999426071756,81.95506895463498,69815.21580878837,0.060949997589941886,0.8041054055189653,0.5120819607843137,80.68837539599247,450.5882166258696,85.28447014210506,43.336717958803526,0.09567975519824479,0.31339987477582754,6.439986971665086,63864.28027088183,0.09260294643125987,0.022261541542086892,0.03008617793167595,9.715181327160494,0.0440252783901714
13,113,66.0903,23.6136,44,37.9581,0,122,118,11,135,17,0.9842,61.42063,0.0,0.0,0.21429,6.099,20.22196,0.0,0.0,125.0,33.46697,0.00688,0.58,14.712,-1.0,0.021286,3.2613442574679246,0.22294957184139597,0.2179736287295067,0.12870326894874345,82.0042522454576,69724.22968491892,0.061601149755541484,0.7986409496040751,0.5121831372549019,79.89823012144994,445.7280686718927,86.16437560835774,43.27697961124373,0.09545012412020262,0.3077820415080785,6.46468369341576,63728.6496579367,0.09403489992918855,0.022040205872089054,0.030036939673338495,8.698784722222221,0.043455177330463904
14,114,66.3252,22.8529,44,39.9048,0,122,118,11,135,17,0.96346,61.6515,0.0,0.0,0.0,6.097,20.26131,0.0,0.0,125.0,33.576,0.00729,0.57,14.289,-1.0,0.024371,2.1859517756694458,0.22100761948641023,0.2158711733384154,0.1250430913070395,81.986647452363,68497.59257400317,0.06527827280304065,0.7986409496040743,0.5163952941176471,79.67911452511055,441.47503794674356,86.24809624543822,43.27983206289786,0.09456741086557471,0.30215354799564975,6.4619078991636565,64656.5018513086,0.0942214449649207,0.021838426725169315,0.029899542259603715,8.613088348765432,0.04401598054559503
15,115,66.3742,22.4474,44,36.1515,0,122,118,11,135,17,0.96938,61.71114,0.0,0.0,0.03571,6.136,19.61632,0.0,0.0,125.0,33.70171,0.00727,0.58,17.165,-1.0,0.025454,1.97326267619981,0.2187367038983205,0.2141770008084696,0.12304703247406884,81.8288258406492,68184.98213417112,0.06916688703910644,0.8052938277337621,0.5224113725490196,79.19126500086969,437.6879109219403,86.06526659313417,43.42835602936921,0.09415331237154916,0.29860913748780843,6.414884036692956,66221.70048514959,0.09473110775493422,0.021873051845889866,0.02984277667651107,9.69068287037037,0.04423993226055812
16,116,66.4549,22.9034,44,38.5504,0,122,118,12,135,17,0.98424,61.7985,0.0,0.0,0.14286,6.157,19.2673,0.0,0.0,125.0,34.00595,0.00726,0.57,16.328,0.12912,0.018941,2.2658523504775605,0.21695765155775176,0.21201216423394031,0.12212550087103083,81.80446173525857,68472.98087449135,0.07304856242594744,0.8123816985844946,0.5268537254901962,79.64867724823478,434.141153480218,88.36746154271636,43.47957733531057,0.09413827685307043,0.29677959837598844,6.461282331494574,66212.34403045663,0.09495130774980813,0.02203095006986059,0.029820748105052246,10.895785108024691,0.04439747692323317
17,117,66.3421,22.6795,44,41.1002,0,122,118,12,135,17,0.9866,61.72122,0.0,0.0,0.21429,6.089,19.66158,0.0,0.0,125.0,34.32438,0.00746,0.58,15.12,-1.0,0.020255,1.8741331498450418,0.21449437106590882,0.21017949461515253,0.12145448911915634,81.81240118693665,68561.65487871238,0.07717598193266749,0.8091348687128318,0.532284705882353,80.07189101471933,430.78778554881404,88.4441652349221,43.59015834478684,0.09390529301695302,0.29348796600204163,6.5131459957997935,64185.247960729546,0.09477207215945835,0.021890526193675833,0.029853040323593427,11.02199074074074,0.0436965738053619
18,118,67.2814,22.4216,45,40.5654,0,122,118,12,135,18,0.99278,62.51367,0.0,0.0,0.0,5.936,19.4716,0.0,0.0,125.0,34.52454,0.00726,0.58,15.864,-1.0,0.02803,1.9663176984552226,0.21075371188975836,0.20982661769921693,0.12012063508464937,81.5844720654586,69130.33894794619,0.07972115902893755,0.8151935357351244,0.536593725490196,80.11298627346832,427.74209939146016,85.52365964816329,43.76026370201582,0.09431348151016278,0.2894915523614108,6.497774998059838,67322.71362497374,0.09557962787318985,0.02200483435713297,0.03003513588313474,10.8125,0.043213233442174974
19,119,67.9816,22.5024,45,42.093,0,122,118,12,135,18,0.98657,63.13024,0.0,0.0,0.14286,5.847,19.25454,0.0,0.0,125.0,34.53179,0.00771,0.57,11.43,-1.0,0.029419,2.2593491718433403,0.20815146428930206,0.21000511797720994,0.11958824308608496,81.58566002862517,70267.16419751126,0.08199735321635862,0.8151935357351241,0.5393160784313726,80.12238206454376,425.07419221457155,86.14394679328392,43.91657436041184,0.0954482259383767,0.2864579392046599,6.464249878506364,67987.62842722534,0.09684968632810832,0.02215426825292205,0.03195066798603236,10.488184799382717,0.04284236271430711
20,120,68.765,22.0728,46,42.1472,0,122,118,12,135,18,0.97645,63.78036,0.0,0.0,0.03571,5.768,19.32484,0.0,0.0,125.0,34.54849,0.00745,0.57,11.381,-1.0,0.031909,2.322283896587286,0.206013571299099,0.20965140466934723,0.11871521862926036,81.61418561907473,70885.84116638772,0.08515998625403069,0.8113524947560605,0.5396536274509803,79.62290623465283,422.68973974971004,84.31916274297987,44.00656975640191,0.09594932316787745,0.2839474302551563,6.4340548234525805,71585.83021091243,0.09913950378310037,0.022158003653023343,0.03401437624298781,11.773003472222221,0.04292377074870711
21,121,70.439,21.5537,46,43.2969,0,122,118,12,135,18,0.97264,65.19807,0.0,0.0,0.35714,5.558,18.95484,0.0,0.0,125.0,34.46655,0.0074,0.56,10.411,-1.0,0.023759,1.984217200532521,0.20467740964900272,0.20879517347480955,0.11709559663905034,81.51796783727832,72722.70589828312,0.08816330444085733,0.8069172426695964,0.5372039215686275,79.85724702534426,420.5260767074191,83.763802432647,44.00127702877845,0.09588073338705487,0.2817092647102867,6.419384921074425,77568.49568797863,0.09922091034044644,0.022354766549322946,0.034829634300489055,11.713348765432098,0.043361898663949856
22,122,71.6939,21.6537,46,39.6603,0,122,118,12,135,18,0.96824,66.27376,0.0,0.0,0.46429,5.398,18.50655,0.0,0.0,125.0,34.36917,0.00759,0.58,10.171,-1.0,0.02315,2.959002465423349,0.20293136653579794,0.20936713232619292,0.11676818856468552,81.54224674325047,73417.58967335454,0.09123836226734293,0.8129759096918927,0.5344341176470588,80.05596169062504,418.55809269723085,88.01081884742628,43.97019318003713,0.09628043857722647,0.2798682333145461,6.425393709114612,79722.06275486061,0.101051278802098,0.022706760899280736,0.035518517606181944,11.42944637345679,0.04354004191246339
23,123,70.9595,21.948,46,42.4285,0,122,118,12,135,18,0.95406,65.73812,0.0,0.0,0.0,5.593,18.59038,0.0,0.0,125.0,34.24165,0.00709,0.59,10.144,-1.0,0.016681,1.8034530905745383,0.20163658356545913,0.2092012360167046,0.11707569052395689,81.52367316600345,72755.11446911556,0.09448879833469506,0.8174111617783595,0.5325513725490196,80.31018116112683,416.7582591720125,85.57176704285925,43.896081241560566,0.09623833913188642,0.27770690792413855,6.445177660236873,76419.5980560262,0.10384264845575085,0.02264577120031148,0.03630536284877238,11.374710648148149,0.04317936108298747
24,124,69.7919,22.0791,46,41.2919,0,122,118,12,135,18,0.96112,64.75914,0.0,0.0,0.17857,5.673,18.84409,0.0,0.0,125.0,34.08135,0.00708,0.59,9.366,0.13182,0.016276,4.418889513680726,0.20056023100722659,0.20885086039265122,0.1144433072445138,81.66517781211235,71631.47081783705,0.09746254966037812,0.8151935357351254,0.5298450980392158,81.01204867094279,415.1186140709079,85.5452999571678,43.82494439019097,0.09615317704521843,0.2748912742265139,6.492224632414249,71758.78139094432,0.10520901919349397,0.023044382164755725,0.0371291500427458,11.598427854938272,0.04391492214530779
25,125,69.0277,22.7249,46,39.9329,0,122,118,12,135,18,0.96304,64.12749,0.0,0.0,0.10714,5.7,18.95498,0.0,0.0,125.0,34.03789,0.00653,0.59,7.819,-1.0,0.010511,2.7271705849200703,0.19949147937550443,0.20843976980817835,0.11331644083609331,82.03982336544199,71228.70620253692,0.10033241245688775,0.8234698288006402,0.5277396078431372,82.00816979047084,413.65349002886666,85.99677665015801,43.72643647370515,0.09596779082451468,0.27236875838479724,6.546999747748312,70273.71711319427,0.10748102622589407,0.02332944839541663,0.03798167545090245,12.347270447530864,0.04481084308808988
26,126,68.5611,22.6085,46,38.1315,0,122,118,12,135,18,0.9642,63.7332,0.0,0.0,0.21429,5.604,19.50757,0.0,0.0,125.0,34.04241,0.00671,0.58,7.757,-1.0,0.010382,3.0012755745870505,0.19848735149370764,0.20734578271408138,0.11194376935848988,81.88550599127953,71293.70717243082,0.10276856947744388,0.8234698288006447,0.5293090588235294,82.55068231408947,412.3064512284873,85.75824025137874,43.72955265751591,0.0958093415347704,0.2684814195346047,6.605247251141625,68487.73461990719,0.11174983404315983,0.023359345970543646,0.03911465537244559,12.627266589506172,0.04518357622808637
27,127,68.7767,22.0598,47,41.5026,0,122,118,12,135,18,0.9635,63.9467,0.0,0.0,0.21429,5.525,19.40875,0.0,0.0,125.0,34.04613,0.00703,0.58,8.234,-1.0,0.005015,2.430248241360098,0.1975800174993317,0.206373434842902,0.11114723636579134,81.82581175094286,71785.72689873089,0.10584033956393775,0.8234698288006461,0.5274407843137255,82.95086585657043,411.1272231839602,85.18308288068323,43.6189345371576,0.09571028113833382,0.26481952523246405,6.577054932735484,68205.99995073727,0.11287889238348611,0.023934638398244227,0.04024555866167761,12.428096064814815,0.04554021838187954
28,128,68.4773,22.1998,47,39.4981,0,122,118,12,135,18,0.96435,63.73335,0.0,0.0,0.14286,5.545,18.9398,0.0,0.0,125.0,34.01176,0.00691,0.57,8.61,-1.0,0.005624,2.111404546086699,0.19702877968701632,0.20560362973377852,0.11059581026121322,82.04071779139598,71702.0991796061,0.10928286005876235,0.825687454843878,0.5257215686274511,83.57705783203748,410.12111607862295,85.29991947871159,43.524008480119114,0.09575201823004938,0.2630263880827424,6.522909335060211,65997.64961077539,0.1120926476884327,0.024461701225254595,0.0408597255225475,12.20606674382716,0.045773691018277836
29,129,67.6926,22.4072,47,40.0298,0,122,118,12,135,18,0.97634,63.03954,0.0,0.0,0.03571,5.665,19.06003,0.0,0.0,125.0,33.74811,0.00667,0.58,8.946,-1.0,0.005124,3.1266193105782825,0.19655231497879544,0.20600585796045906,0.11088620310335254,81.93789937866525,70817.695883538,0.111643906464108,0.8250932437364876,0.5207654901960784,83.21596446234425,409.29000271384865,84.84958433778365,43.5055455337336,0.0956842100992809,0.2607855057338443,6.524696401377158,66509.71168817827,0.11109838503158898,0.024459044861417503,0.040251698386313775,12.269579475308642,0.04591881320774862
30,130,66.8033,22.3723,46,44.2605,0,123,118,12,135,18,0.97515,62.22747,0.0,0.0,0.07143,5.818,19.2358,0.0,0.0,125.0,33.48704,0.00657,0.55,8.274,-1.0,0.005485,2.4440542550674658,0.19651652668362543,0.20577083959561712,0.11230373214054055,82.09241135740348,71768.3478642303,0.11363402584461771,0.8234698288006458,0.5158854901960784,82.835857841856,408.50016842979835,85.78650575567414,43.42707372594763,0.09546854040746748,0.25914212902201256,6.57029943882257,61094.724074815516,0.11060058499943394,0.024479862285527315,0.039888231907763756,12.787133487654321,0.046145399932343935
31,131,65.677,22.245,45,44.4569,0,123,118,12,135,18,0.98024,61.14146,0.0,0.0,0.0,6.084,19.20537,0.0,0.0,125.0,33.26673,0.00688,0.56,8.829,-1.0,0.00587,2.1804809134965284,0.19659636533212235,0.2052514734208727,0.11418210639806248,82.11991139916564,70462.54537936756,0.11584753823060613,0.8129759096918937,0.5098039215686275,82.32546426134607,407.62665268234844,86.58510679179274,43.26044473530334,0.09540651946911034,0.25867196106699725,6.612039889629948,60198.057382975305,0.11006483129664309,0.024130123059867198,0.03955116645647728,13.157648533950617,0.04619529404955112
32,132,65.1444,22.2002,44,39.7583,0,123,118,12,135,17,0.9735,60.62192,0.0,0.0,0.25,6.246,19.09314,0.0,0.0,125.0,33.08257,0.0069,0.57,8.615,0.12834,0.004699,2.2654629205174226,0.19694401918317522,0.2059431835076051,0.1150613124093129,82.18292105461914,69731.53131533261,0.11784055209287943,0.8129759096918966,0.5075776666666666,82.2148742030937,406.58779392851983,85.75859032250032,43.16564263237847,0.09537358396017187,0.25821838847014483,6.614617223107506,57369.15437944163,0.10945337820790664,0.023958113061187312,0.039212071686284634,13.319299768518519,0.04637720188255214
33,133,65.5556,22.3055,44,39.659,0,123,118,12,135,17,0.9674,60.94941,0.0,0.0,0.10714,6.102,19.05684,0.0,0.0,125.0,32.8493,0.00635,0.54,8.23,-1.0,0.005062,2.0497241803778716,0.19645225172154993,0.20680794528009414,0.11637371695528785,82.16786898512711,70536.24754760071,0.1200616760372878,0.8129759096918842,0.5028397254901956,81.72725889257,405.4040393954386,86.60298555169425,42.94672327865789,0.09528055227779351,0.26330446134136587,6.60162974114707,58981.58376267262,0.10936595045074012,0.02383711880984634,0.03889340763118456,13.396122685185185,0.04658097505862255
34,134,65.2741,22.6626,44,41.0304,0,123,118,12,135,17,0.97251,60.70463,0.0,0.0,0.60714,6.003,19.14482,0.0,0.0,125.0,32.73659,0.0061,0.56,8.205,-1.0,0.003727,2.203852533998595,0.19579575125789878,0.20647093751583703,0.1173285125164997,82.36585259832697,70904.3837362889,0.12255060491555496,0.8030762016905334,0.5009686274509804,81.66652058053427,404.1565631613089,87.57406824438092,42.98447521821952,0.09506138042054532,0.26337763512857887,6.58235263831588,57522.591623331304,0.10935430107022519,0.023669895442833665,0.03858349997157393,13.627025462962964,0.046742633040096265
35,135,65.6285,23.0039,44,41.2568,0,123,118,12,135,17,0.96637,61.00526,0.0,0.0,0.21429,5.918,19.4594,0.0,0.0,125.0,32.65234,0.00624,0.56,8.346,-1.0,0.004731,2.164492816676766,0.19499442736925718,0.2066626972345495,0.11589083615508909,82.35071616019006,70749.02220037149,0.12482759486161385,0.7986409496040738,0.5012325490196079,81.48227541872902,402.8689790927689,85.51434032394508,42.853863563066646,0.0948419709769747,0.26427005352546784,6.55977112329935,58433.60246870118,0.10942576428814646,0.023525515035719445,0.03840288614787142,14.048659336419753,0.04689917081965527
36,136,65.9398,23.3799,44,38.682,0,123,118,12,135,17,0.98277,61.30281,0.0,0.0,0.42857,5.802,19.74825,0.0,0.0,125.0,32.53868,0.00632,0.56,7.517,-1.0,0.004835,2.0212703418063365,0.19458015716533356,0.206006892543238,0.11453938043525068,82.32302706528364,71688.91961335157,0.13287186750437696,0.796423323560839,0.5011227450980393,81.35403803162755,401.57067544011164,89.60396987921946,42.89017872751495,0.09474927024248034,0.26215843768417463,6.495687177142399,58105.02580006743,0.1102227920928387,0.023390310289643022,0.038187432186011304,14.177131558641975,0.0471805307582556
37,137,66.192,23.6109,45,40.4816,0,123,118,12,135,18,0.9799,61.57672,0.0,0.0,0.39286,5.583,20.06777,0.0,0.0,125.0,32.57887,0.00586,0.54,7.932,-1.0,0.004668,2.639954015345192,0.1940286109878072,0.20599398801883356,0.11352110254820921,82.40274743187524,72008.2739194786,0.1448563831327931,0.7986409496040733,0.5045082352941177,81.02983383913008,400.2559315984162,86.49694314690751,42.93832322108892,0.09472462025591696,0.26217759480984243,6.450725220518044,57699.407057507815,0.11054270331591601,0.02326925836767604,0.03799915867487132,14.020399305555555,0.0474344442037677
38,138,65.1039,24.0225,45,39.7292,0,123,118,12,135,18,0.96947,60.68342,0.0,0.0,0.64286,5.511,20.26689,0.0,0.0,125.0,32.56318,0.00569,0.56,7.868,-1.0,0.004397,2.8833239546360727,0.19377464847942008,0.20581928802156185,0.11333752262544153,82.83865817404752,72037.61252840422,0.15652161494305453,0.798640949604076,0.5055549019607843,80.90005531000966,398.9147938287514,88.82969638727256,43.05011494954427,0.09475892797679077,0.26020919420506683,6.455429118514637,53557.50234959122,0.11082486004038117,0.023184741703686146,0.03776876159248308,13.93113425925926,0.04774982594192385
39,139,63.7583,24.2223,44,37.6898,0,123,118,12,135,18,0.96727,59.52456,0.0,0.0,0.17857,5.595,20.62828,0.0,0.0,125.0,32.613,0.00525,0.57,7.503,-1.0,0.0027,1.715801170374055,0.19370536364355606,0.2059003684362273,0.11323024074382469,83.25848425265195,71989.56873515004,0.16334585280416672,0.7986409496040751,0.5107239215686273,81.19951883702291,397.55447071346924,87.7820255182881,43.21141071084105,0.09466607991219245,0.2582960447895885,6.493832531745801,48982.302737129045,0.11071811453998741,0.02311867201288354,0.03761019722874495,13.936197916666666,0.04775973935773273
40,140,63.395,23.816,45,39.0556,0,123,118,12,135,17,0.9712,59.26318,0.0,0.0,1.32143,5.615,20.80058,0.0,0.0,125.0,32.77138,0.00489,0.58,8.09,0.12551,0.004815,1.662415743500437,0.19437334723863492,0.20706989586806807,0.11334736934574227,83.35560770041262,72093.00527786855,0.1694121919592439,0.812975909691897,0.5132227450980392,81.42132410914827,396.21727348316523,86.41030844591226,43.44734719358844,0.09464485811009718,0.25635774810181233,6.5041371691464205,47189.03948959725,0.11106827208397248,0.023013182889588774,0.0374301119366155,13.941213348765432,0.04789918861251298
41,141,63.9485,24.1138,46,40.8382,0,123,118,12,135,18,0.97652,59.89698,0.0,0.0,0.82143,5.666,20.45435,0.0,0.0,125.0,32.92147,0.00555,0.59,6.765,-1.0,0.004158,2.4168626071430896,0.19571530349106855,0.2077868289218525,0.11254050337397896,83.18570874944365,72010.22575879452,0.17594185395255346,0.8234698288006433,0.5176793921568592,81.87706751103909,394.90013745531706,86.45197907932499,43.34822101357542,0.09472111217785997,0.2547335869698918,6.4635422293600096,47171.91457345615,0.11246967419501461,0.022988944252527024,0.037304601625682804,13.82204861111111,0.047933393446626726
42,142,63.6767,24.3763,47,41.3559,0,123,118,13,135,18,0.98328,59.78223,0.0,0.0,0.25,5.659,20.70417,0.0,0.0,125.0,33.03414,0.00535,0.6,7.088,-1.0,0.00386,3.209734859856756,0.19552323591659201,0.2093532115445362,0.1119519594294256,83.41342220097803,72138.6712471091,0.18471477958440752,0.8267166586723057,0.5211752941176471,82.12321793114667,393.654367899875,85.74792963566085,43.2603870909891,0.09458837844192378,0.2533183250573293,6.444153963560303,45639.28406520899,0.11453169254793392,0.02303551743956206,0.037140705150446464,13.640094521604938,0.04812310163822641
43,143,63.8253,24.215,48,42.7864,0,123,118,13,135,19,0.98133,60.0364,0.0,0.0,0.46429,5.749,20.93257,0.0,0.0,125.0,33.14158,0.00546,0.61,6.75,-1.0,0.003351,2.7049408681807545,0.19611676119900157,0.21113893785249924,0.11198077032426709,83.2977379353555,71935.63993390724,0.1864179941234353,0.8400224149316982,0.5236644313725471,82.14735002289592,392.4873864487162,89.45296030530109,43.322764455536266,0.09474880436946385,0.2519669904899197,6.433458405579938,44775.12290163202,0.11616653958100442,0.023118292825028974,0.03706715759223413,13.67920524691358,0.048314402353918144
44,144,63.9872,23.9083,49,40.8111,0,123,118,13,135,19,0.97176,60.2816,0.0,0.0,0.78571,5.662,20.79561,0.0,0.0,125.0,33.29534,0.00554,0.63,6.579,-1.0,0.003903,2.262306200516779,0.19818850864629392,0.21310968249666468,0.11228386369037596,83.3755070765464,72083.67753340125,0.18669713096847615,0.8400224149316918,0.5293596078431372,82.27231828695105,391.4284084053,85.75003650311196,43.38049712004485,0.09492661145032297,0.2508704400331878,6.370557146776058,44893.39712604773,0.11757271366765153,0.023345333389207423,0.03704642367778644,13.416425540123457,0.04854172555430018
