,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.3,cubcol.0.6,blockiness,cubrow.0.5,cubcol.1.0,cubcol.0.3,contrast,staticness,uhdhdsim,movement,cubcol.0,tone,cubrow.1.0,cubcol.0.5,cubrow.0.6,temporal,color_fulness,fft,saturation,noise,blur,cubrow.0
10,10,56.8739,22.5347,28,36.3993,0,123,118,8,136,11,0.98679,51.72765,0.0,0.0,0.14286,8.657,19.78302,0.0,0.0,124.0,31.67651,0.0027,0.42,11.678,-1.0,0.243995,0.03188922349770983,0.23362592965975018,3.0403786769403975,0.07302045147496662,0.1167503682003248,0.19095804230518823,85.35696104805814,440.59435733976363,83.7061943770646,10.624180169753087,0.23064577929829216,0.4943321568627451,0.023458168147028943,0.1679930855851406,0.060020011451054865,6.553676804309913,77.55869529789457,65392.39467800482,44.70702145423418,0.44897823319518276,43035.60435958549,0.012276491176374199
11,11,58.0579,21.967,28,35.3639,0,123,118,8,135,11,0.98998,52.72196,0.0,0.0,0.10714,8.92,19.34889,0.0,0.0,124.0,32.05428,0.00302,0.42,10.755,-1.0,0.279486,0.031996032104495864,0.2258489686096908,3.0115396009718265,0.07262186898784567,0.11772142428010232,0.1880041648533907,84.7705910284029,436.3831671063304,83.45794308379479,11.53125,0.22216997094123558,0.49945337254901945,0.02273700471679693,0.16492888972443362,0.059067576568509465,6.550185118759666,76.97610031848089,65312.86227509253,44.54676178355276,0.44897823319518043,47249.105821408,0.012160688259109223
12,12,58.6168,21.4072,27,33.7577,0,123,118,8,135,11,1.00412,53.16787,0.0,0.0,0.17857,9.091,18.86807,0.0,0.0,123.0,32.41046,0.0034,0.41,10.86,-1.0,0.312891,0.03202162815140162,0.21902484187039684,2.8297721599595436,0.07178488331993019,0.11880801140634187,0.18679133910013804,85.13316597831887,432.1087110088446,83.25668644830357,10.271315586419753,0.2146637888238021,0.5024129411764704,0.02203940528990447,0.16738531178615346,0.058106095839448264,6.510776829543884,76.06494056518143,64798.324921069754,44.49841647677951,0.44676060715195204,49898.24347056675,0.012060269254113262
13,13,58.6732,21.3599,27,33.9923,0,123,118,8,135,11,0.99994,53.19679,0.0,0.0,0.32143,9.001,18.38232,0.0,0.0,123.0,32.30817,0.00311,0.41,17.443,-1.0,0.327335,0.03218899545044146,0.21342475517308743,2.130482505721812,0.07047216189003669,0.12066227475371144,0.18537315345623645,87.29978867641728,427.8114900169045,83.26484899874538,9.223524305555555,0.2078058150987748,0.49950666666666665,0.021458710491624292,0.16922108292987612,0.0573874757699864,6.432221231558179,75.04979435114494,64777.7948308112,44.421226784035014,0.4445429811087187,49734.8402008522,0.011957434216924691
14,14,59.2285,20.9241,27,33.594,0,123,118,8,135,11,0.98929,53.69924,0.0,0.0,0.28571,8.826,18.33573,0.0,0.0,123.0,32.03253,0.00333,0.42,32.037,-1.0,0.309121,0.03156301552035318,0.20889664212296086,2.180170540189243,0.07057065608210587,0.12245646258064669,0.1964944014073824,86.72407444906122,423.50552314352956,83.3828068870099,8.790943287037036,0.20176377161348547,0.4944850980392157,0.020938072651508374,0.17079535926394213,0.057670174967249715,6.379982683714423,74.56569454447819,64875.732115444895,44.17727868350936,0.44232535506548715,52156.44237904523,0.01190263272563414
15,15,59.2595,20.3896,28,32.3457,0,123,118,8,135,11,0.99689,53.76989,0.0,0.0,0.35714,8.831,17.95341,0.0,0.0,122.0,31.71538,0.00359,0.41,32.346,-1.0,0.32336,0.030758920196245338,0.20528841136926473,2.2325084868272764,0.06939052426578296,0.12291703759772186,0.21393172343565323,89.35080129156059,419.25606304754405,82.92502033736996,9.706163194444445,0.19705742031867823,0.4842156862745097,0.020476969734120182,0.1735370478009799,0.057201165214416407,6.353590213681952,73.7167847651476,64805.19864229466,44.02076118375049,0.44454298110872253,47707.61625928104,0.011857693365284184
16,16,59.5777,20.3747,28,31.5067,0,123,118,8,135,11,1.00783,54.08038,0.0,0.0,0.10714,8.764,17.49528,0.0,0.0,122.0,31.53127,0.0038,0.41,29.77,0.12963,0.322872,0.030311248063075488,0.20134681545422287,2.611581180634401,0.06839042214213077,0.12257088498287147,0.22413869677179657,87.5131352827681,415.0435397736436,82.64580434380488,10.38575424382716,0.19236121049803653,0.47507568627450986,0.020064987657688327,0.1752876505605056,0.05769090756023538,6.35508750411259,72.83274503413165,64906.8381047847,43.7770155918451,0.4445429811087264,49064.68277903222,0.011777275498263757
17,17,60.4034,20.5393,28,31.5357,0,124,118,8,135,11,0.98403,54.83132,0.0,0.0,0.07143,8.647,17.48651,0.0,0.0,123.0,31.20362,0.00401,0.41,33.104,-1.0,0.306215,0.030895353732230044,0.19805700998619818,2.240614413590183,0.06811398395076401,0.12226357859055005,0.23165408238572127,85.6327304735168,410.9128379417439,82.40615532363954,10.316792052469136,0.18785075917777896,0.4666607647058809,0.019678435926266762,0.17684538530940988,0.05744858662768156,6.382513702294687,72.65380166045773,65069.256798447575,43.57349028410734,0.44676060715195254,54353.57399505454,0.011952344281747386
18,18,59.4843,20.8968,28,32.2731,0,124,118,8,135,11,0.96209,54.07534,0.0,0.0,0.35714,8.452,17.62599,0.0,0.0,123.0,31.06686,0.00405,0.41,28.277,-1.0,0.311773,0.031939652486364975,0.19650508393349275,2.1203541822480214,0.06704344846382536,0.1219006014283001,0.22926341771734807,87.99532466283084,407.04025392728414,82.81402928587747,10.38425925925926,0.18430450666707182,0.465490588235294,0.019326066217813912,0.178817951671026,0.05768203118287842,6.428300840621172,72.32578251207899,65121.54349777863,43.51612043969425,0.4467606071519558,48177.92027903137,0.011897808822164886
19,19,59.3887,21.6894,28,34.7244,0,124,118,8,135,10,0.96258,54.00347,0.0,0.0,0.28571,8.74,17.93322,0.0,0.0,124.0,31.20885,0.00409,0.41,29.325,-1.0,0.274535,0.03340644333858551,0.19818592256054696,1.9755676904640838,0.06673567292608255,0.12182080073577824,0.22575983633167007,87.38661640411941,403.3652305901378,82.92142098081895,10.553674768518519,0.18054789311404332,0.47042156862745094,0.019010155945142194,0.1804674982779543,0.05866202955291018,6.506657062609127,71.81213409028308,65109.90808472372,43.399250360182776,0.4467606071519568,50053.99607741253,0.011824186026665292
20,20,58.6797,22.5362,28,35.8835,0,123,118,8,135,10,0.97623,53.4186,0.0,0.0,0.39286,8.549,18.61238,0.0,0.0,124.0,31.34298,0.00382,0.41,29.129,-1.0,0.262818,0.03264271955369706,0.19899537652348304,2.243012727448372,0.06622669828256049,0.12208294426707458,0.22147805018502859,85.66499454918964,399.9441310315595,83.14362888235513,12.000819830246913,0.17686926460350896,0.4729376470588236,0.018721219973744936,0.1804917132668992,0.058839345444216026,6.590147498029304,72.24803233448233,66170.60666848195,43.32546356577932,0.448978233195183,47436.090090563346,0.011785360258786317
21,21,57.8287,22.8426,28,35.9868,0,123,118,8,135,11,0.97939,52.72468,0.0,0.0,0.28571,8.587,19.34125,0.0,0.0,124.0,31.43077,0.00357,0.41,23.014,-1.0,0.270563,0.031888026525475024,0.19679671673489407,3.1681024347531657,0.06629267248042787,0.12215927690414209,0.22059040715890574,84.97834428618961,396.85096125407335,83.49877209827783,12.711323302469136,0.17333543152011177,0.47381580392156863,0.018474842241909466,0.1808270589695672,0.0582497519015668,6.633697351723965,72.22967008079445,66550.16309972138,43.301361460744594,0.45281927417424556,44275.78428980162,0.011732477188646869
22,22,58.2896,23.0915,28,37.1358,0,123,118,8,135,11,0.96732,53.16063,0.0,0.0,0.17857,8.396,19.60132,0.0,0.0,125.0,31.49047,0.00371,0.4,21.303,-1.0,0.255061,0.03227359833396037,0.19447636166910642,1.576193774471083,0.06639682816067309,0.12271295223635066,0.21984381090072674,88.30422274143785,393.92379839792557,83.36065879562125,12.847270447530864,0.1701255187388505,0.47712745098039216,0.018224901623091913,0.18090326525389822,0.0579329103677706,6.665241359983243,73.2032530052399,66722.15223460953,43.163718894675924,0.4528192741742478,45003.42538544909,0.011719577649280132
23,23,58.227,23.0901,29,36.8986,0,123,118,9,134,11,0.97967,53.15405,0.0,0.0,0.46429,8.347,19.81547,0.0,0.0,126.0,31.43456,0.00327,0.4,19.534,-1.0,0.269158,0.03311843487073209,0.19297177552392153,2.729035417923238,0.06652344081811201,0.12326269885457425,0.2204041435064069,88.24012540859674,390.9712350055999,83.56312300058165,12.848572530864198,0.1673411460223234,0.4754099215686274,0.018008302085401086,0.18068913178216595,0.058902324509793685,6.6623810009524265,73.74475000457902,67209.87068939726,43.047733636549964,0.45281927417424833,42847.521202266784,0.011713009974607757
24,24,59.1816,22.9303,29,38.5819,0,123,118,9,134,11,0.99608,53.98955,0.0,0.0,0.53571,7.674,19.81358,0.0,0.0,127.0,31.38929,0.00329,0.4,17.731,0.13002,0.271078,0.03578470114925166,0.19061432283569038,2.0458178940221927,0.0692286918376138,0.12303526121189007,0.21860674398609017,89.96899172438161,387.97010564781306,83.83324257694811,13.337046682098766,0.16469228581074752,0.47521450980392144,0.017837360406331902,0.18052707394722778,0.061635812233306324,6.648511000782098,76.01462657941694,67816.06732192889,42.89177882818528,0.45281927417425166,43006.23168951183,0.011692915834441766
25,25,61.3403,22.3842,31,37.9455,0,123,118,9,134,11,0.97023,55.89485,0.0,0.0,1.10714,6.84,19.67782,0.0,0.0,126.0,31.47217,0.00356,0.4,18.529,-1.0,0.237513,0.038421321355862584,0.19115824146188742,2.464540699594137,0.07280070406293719,0.12332087085519572,0.21751704063890243,89.73143666673752,385.04039033024236,83.4363454162663,14.086275077160494,0.16203943420602113,0.4741138627450978,0.0176922954005862,0.17939148015252573,0.06867637519797104,6.6291806341077795,78.09779219824102,69338.04231989755,42.82053817937403,0.45887794119654063,48936.153092526634,0.011704673875193201
26,26,62.5333,21.706,31,37.71,0,123,118,9,134,11,0.99107,56.97469,0.0,0.0,1.75,6.533,19.21301,0.0,0.0,126.0,31.63024,0.00345,0.4,16.836,-1.0,0.240065,0.04038088889283269,0.19264554619775195,1.8945345637052091,0.07852919248354838,0.12361661760936592,0.21892810446780442,89.37961974015857,382.3628603925865,83.38246521152448,14.061342592592593,0.15948526630843246,0.4741843137254901,0.017529648423966118,0.17956953612653076,0.07309783467616883,6.598815097664007,79.34818156509098,70496.97157717985,42.88870220419801,0.46553081932623064,48682.533708897696,0.011694966479370746
27,27,63.8778,21.28,33,36.045,0,123,118,10,134,12,1.00431,58.19077,0.0,0.0,1.0,5.832,18.63211,0.0,0.0,126.0,31.83076,0.00404,0.39,20.683,-1.0,0.21953,0.04091444577982452,0.19351859649450082,1.886313169199049,0.0876658817287121,0.12382977995698113,0.22227646013418806,87.66803868526006,379.9334857696049,83.20474664256436,13.474971064814815,0.1573360700750649,0.4771639215686275,0.017366757757646012,0.18028582843322716,0.08059538798648391,6.5718040918265155,80.51325483444488,72015.77569159372,43.062316141010804,0.46715423426206426,51578.587570957105,0.01169805297307455
28,28,63.8659,20.8522,33,37.2316,0,123,118,10,134,12,1.00544,58.19432,0.0,0.0,0.64286,5.589,18.26629,0.0,0.0,126.0,31.96393,0.00423,0.39,23.816,-1.0,0.231866,0.040827048952227406,0.19421189451663906,2.1234457437292775,0.09014196831203097,0.12383371687300265,0.23128878418264212,87.57579291221279,377.74093755429305,83.27935619876354,13.051890432098766,0.15527110232714988,0.47720666666666667,0.01723211736437507,0.18114651939957205,0.08563751082648008,6.53322998026638,81.24592256457956,72952.02889187017,43.2023339919102,0.4671542342620693,50574.41656446706,0.011710436915753838
29,29,64.2814,20.8847,33,37.0877,0,123,118,10,134,12,1.03235,58.56949,0.0,0.0,0.75,5.767,17.90348,0.0,0.0,126.0,32.07289,0.00462,0.4,22.106,-1.0,0.232364,0.04162626542098094,0.19488835495744192,1.8494878833570412,0.08971345408780583,0.12402388811467496,0.23738372911580488,85.97194914651898,375.7741086430451,83.18943568233502,13.073013117283951,0.15310353982995367,0.4761125490196078,0.017112605067629242,0.18225215373132317,0.084547455249231,6.506256522689773,82.06095305684302,73637.92626168595,43.317015282901714,0.4671542342620714,51427.45887609582,0.011726348186903424
30,30,62.6118,21.3434,33,35.5489,0,123,118,10,134,12,1.03225,57.15116,0.0,0.0,0.25,6.378,17.93099,0.0,0.0,126.0,32.13001,0.0038,0.41,21.792,-1.0,0.244673,0.04212192888420496,0.19532057541615355,2.579186808654085,0.08987699233063011,0.12442256474492527,0.241559370195964,86.1954513789204,374.05295078562676,83.27865663332675,13.134645061728396,0.15149333162044604,0.4721274509803922,0.016984401275995948,0.1830434251165785,0.08460984812709361,6.529973429007127,82.4203740019935,70921.22362520872,43.27540833273052,0.46715423426206665,47539.09807145217,0.011746862413590112
31,31,60.3284,21.4192,32,36.8492,0,122,118,10,134,12,0.99918,55.19156,0.0,0.0,0.5,6.77,18.3283,0.0,0.0,126.0,32.3324,0.00306,0.4,20.19,-1.0,0.237413,0.04348747976608248,0.19524008130775664,2.1044536859476497,0.0898647825854723,0.12352902164733638,0.23836625000923242,87.89917877308686,372.55363253163813,83.6046984248133,13.347849151234568,0.1494619762228693,0.4760549019607843,0.016895313638075022,0.18313544005235893,0.0840913848736409,6.593176451953538,83.17800809293745,69281.15708158365,43.23421223958333,0.4738071123917536,43163.24782473154,0.011766831688899528
32,32,60.5,21.0777,33,37.8147,0,122,118,10,134,12,0.99335,55.39916,0.0,0.0,0.75,6.81,18.39231,0.0,0.0,125.0,32.75237,0.0038,0.39,18.159,0.12629,0.228682,0.04456169150719408,0.19530776597816552,2.434182611650684,0.08952261790942406,0.12191663243073271,0.23773265191831372,87.68793176266833,371.2581239563489,83.78808278442634,13.574556327160494,0.14830405902422436,0.4832282352941165,0.016806390391475363,0.1831323921078556,0.08477189293259545,6.6457292746990975,83.87922152006932,70628.28882739779,43.37827159740307,0.47764815337081806,42887.26200722664,0.011776173070152381
33,33,61.5394,21.3259,33,37.2105,0,122,118,10,134,12,0.97552,56.32174,0.0,0.0,0.67857,6.267,18.10223,0.0,0.0,125.0,33.16398,0.00346,0.4,17.344,-1.0,0.20778,0.04496041650798449,0.19548137876116406,2.7321855272303157,0.09074228025549294,0.12070981424468606,0.2377688837921232,87.13476523731948,370.1281382344932,83.62056429554436,13.708526234567902,0.14756039652095332,0.49106039215686265,0.016750032228426536,0.18339900472488116,0.08806995920062399,6.640264269432447,84.02406477124168,71990.2074267794,43.42994784131462,0.4814891943498838,45373.62972638795,0.011774755769925548
34,34,61.8543,21.7518,33,38.3248,0,122,118,10,134,13,1.01924,56.64656,0.0,0.0,0.21429,6.246,18.31092,0.0,0.0,125.0,33.5084,0.00356,0.4,16.205,-1.0,0.19038,0.04481095277385884,0.19542827486968115,2.5395264392846513,0.09085636224233476,0.11957394910053158,0.2392342427045854,88.358359193136,369.1952850107932,83.36125316660423,13.950135030864198,0.14613534580224471,0.49989609803921553,0.016679191345099795,0.1836684315434501,0.09195365740966262,6.670575869677788,83.90706183651842,71072.91819744854,43.49276394314236,0.4865186575437371,44490.68853728568,0.011772265007855248
35,35,62.3832,21.565,34,38.7786,0,121,118,10,134,13,1.0348,57.10126,0.0,0.0,0.46429,6.484,18.6719,0.0,0.0,125.0,33.9347,0.00373,0.39,15.381,-1.0,0.209152,0.04457775476626338,0.19581537500037444,3.7707597483612205,0.09086018686520103,0.11855868524741202,0.2406771288526929,88.90829498612,368.4390656639058,83.33639606168076,14.194926697530864,0.14542896713514342,0.5114203921568627,0.01661709431917419,0.18399252259733404,0.09572064594013378,6.659258591400391,84.4614935700925,71724.33403189894,43.77382066514757,0.4859244464363346,46758.1709466047,0.01181822361058651
36,36,62.7046,21.1797,34,39.7844,0,121,118,10,134,13,0.99863,57.39006,0.0,0.0,0.0,7.041,18.51318,0.0,0.0,125.0,34.01049,0.0041,0.4,17.088,-1.0,0.221926,0.04433495793684685,0.1961160043368814,3.352132266773189,0.0907477562067379,0.11745364808134541,0.2402145783559349,89.84203240567595,367.8347027477808,83.4163330510209,14.07986111111111,0.14489209096772676,0.514423137254902,0.0165554982337504,0.18476005966102058,0.0958589893307441,6.619343868716507,84.23156450747798,71432.64493049636,44.00962019555363,0.4859244464363501,46770.64336841959,0.01183080552734148
37,37,63.2077,20.9278,34,36.0615,0,121,118,10,134,13,1.00307,57.83096,0.0,0.0,0.28571,6.883,18.17754,0.0,0.0,125.0,33.91646,0.00422,0.4,14.995,-1.0,0.218504,0.044119604461133194,0.19652323790370532,4.1314170931747505,0.09126053909761801,0.11606304927013805,0.24406116457735258,85.15012481815387,367.3683458378277,83.23960858850099,13.974971064814815,0.14469395976900687,0.5142109803921568,0.01651366714821025,0.18540425946838904,0.09673626972174897,6.576571517175548,84.03580046155213,71376.59329314776,44.23643022702064,0.49035969852280276,50281.07199208077,0.011913738039545685
38,38,62.856,20.7757,34,36.1612,0,121,118,10,134,13,1.0285,57.52817,0.0,0.0,0.17857,6.792,17.96128,0.0,0.0,125.0,33.9097,0.00403,0.4,14.107,-1.0,0.191525,0.04404696803175054,0.19682319059714123,3.4809748190442518,0.09209266025864558,0.11578521998292707,0.24240652774232105,84.62298233879625,367.0451970899134,83.34210330935537,14.088927469135802,0.14521534663817115,0.5164709803921568,0.016480797825442286,0.1859990421809032,0.09765657900377847,6.509681118942688,83.31344578842138,70515.8209669616,44.43658503779658,0.4919831134586364,48760.390086759784,0.011970988391020392
39,39,63.1688,20.8576,34,34.7945,0,121,118,10,135,14,1.08334,57.82114,0.0,0.0,0.39286,6.597,17.82911,0.0,0.0,124.0,33.87499,0.00407,0.41,15.98,-1.0,0.183261,0.04484168356796958,0.19714562371605177,3.418905612068653,0.0921282735247773,0.11601416836445945,0.2432869378309989,87.2782860169802,366.80020628338923,83.32099613623583,14.099344135802468,0.14589998446532204,0.5182133333333332,0.01646250148929288,0.18682431975717997,0.09899193205526462,6.473096949513297,82.79882877926306,70208.4150671235,44.60737063560957,0.49198311345864115,50043.86390258005,0.012109310310954916
40,40,63.7238,21.2323,34,35.0818,0,121,118,10,135,14,1.01889,58.32139,0.0,0.0,0.57143,6.564,17.90625,0.0,0.0,124.0,33.78131,0.00462,0.41,13.906,0.12551,0.179587,0.04469888980592374,0.1967124031250889,3.077749854357448,0.09233463868308577,0.11655681986737068,0.24813378270774547,86.27793592418504,366.5804760019439,83.31201627455398,13.905574845679013,0.14461406759136428,0.5167292745098038,0.01647758768386731,0.18797659394784913,0.10014671377528067,6.475022443039103,81.58531862998214,70231.88013971716,44.636313732759454,0.4958241544376998,51167.32353519821,0.012284915352117246
41,41,64.3157,21.5949,35,35.8418,0,121,118,10,135,14,0.9991,58.86659,0.0,0.0,0.42857,6.529,18.22894,0.0,0.0,123.0,33.77944,0.00464,0.41,15.835,-1.0,0.184011,0.04497681875971136,0.19695991458744969,3.4589796854197408,0.09312668001030985,0.11829991133357198,0.25291988683308664,84.93266524177804,366.4121515895385,82.83611241505446,13.32397762345679,0.14263241881881578,0.5183760980392155,0.01653557820554377,0.1903655984479372,0.10218286151714875,6.4521733615862304,80.37296525089988,70428.74081666618,44.625715090904706,0.49641836554509783,53947.07735504935,0.01256990362495323
42,42,66.5163,22.0305,36,36.9237,0,121,118,10,135,14,0.98786,60.79834,0.0,0.0,0.67857,6.244,18.54,0.0,0.0,122.0,34.06217,0.00561,0.41,16.417,-1.0,0.18219,0.04502456242679389,0.19698964963330998,4.340965592478232,0.09403328606081365,0.11952614154124036,0.25813071776561164,84.4627038153483,366.3257778361138,82.21669936952884,13.49122299382716,0.14123633386240073,0.5254733333333332,0.016615143204180678,0.1936363888425004,0.10420978581249087,6.420892993489904,80.41216465752774,70742.81283314273,44.87630283685378,0.5002594065241617,62848.81004086271,0.01284303927316174
43,43,67.0208,22.6926,37,35.3869,0,121,118,10,135,14,0.93013,61.32226,0.0,0.0,0.60714,5.951,18.91706,0.0,0.0,121.0,34.31198,0.00445,0.42,15.528,-1.0,0.195625,0.04530374067320405,0.19704170811213864,5.90741858834592,0.09427723437649767,0.12071941735079846,0.26037178219734647,87.04872111898928,366.35400637732704,82.81107156695582,13.696421682098766,0.1397249354297795,0.5309007843137256,0.016711757606461684,0.20029971471340488,0.10758523524300279,6.373292330591218,80.87969331904374,71331.52739491286,45.12275563934703,0.5024770325673932,59604.51615094872,0.013168155967545435
44,44,68.3525,23.5831,39,38.8176,0,121,118,10,135,15,0.92027,62.56521,0.0,0.0,0.71429,5.607,19.48832,0.0,0.0,121.0,34.55669,0.00444,0.43,15.855,-1.0,0.199255,0.04563392229542125,0.1973634166072353,7.333133684782082,0.09624494834985671,0.12217519343275149,0.25945218725490576,87.39362732893404,366.4749902611373,82.7580348300488,13.658179012345679,0.13834346858364113,0.5334811764705882,0.016776893821794557,0.20392372113728233,0.1098242851924382,6.330289318321261,80.75896879636426,72920.18488611617,45.29353031111352,0.5046946586106229,59262.2632441165,0.013568557006403234
