,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0,cubcol.0,cubcol.0.3,cubcol.0.5,color_fulness,cubrow.0.6,movement,cubrow.0.5,uhdhdsim,staticness,fft,blur,cubcol.0.6,cubrow.1.0,noise,temporal,blockiness,tone,saturation,cubrow.0.3,contrast,cubcol.1.0
10,310,66.4402,3.73381,31,4.28706,0,107,131,7,125,6,0.98536,59.65927,0.0,0.0,4.78571,3.935,3.22805,0.0,0.0,125.0,59.19538,0.00029,0.29,1.473,-1.0,7.896973,0.10313113207678705,0.005227155591899755,0.10810266789262944,0.2222446441289188,161.38948532041726,0.13143900991683227,1.3919753086419753,0.15262718902575692,89.81916207598375,540.458356891576,69711.88103535469,60444.31116949163,0.22483826787126857,0.10738852379528052,0.20793653046654303,2.6162645534191236,1.6164818375723504,0.8551698039215687,32.608580789448304,0.2627625943326106,93.80491924001166,0.005562935114030431
11,311,66.5061,3.70568,31,4.01441,0,107,131,7,125,6,0.98315,59.71908,0.0,0.0,4.25,3.933,3.17457,0.0,0.0,126.0,59.27214,0.00021,0.29,1.509,-1.0,7.944656,0.10296345205658142,0.005259518669696727,0.10950539682457705,0.2222800747355784,161.89782610436222,0.13117049116721113,1.4598283179012346,0.15290823147573454,89.80830130732042,540.5026563066294,69828.76429084994,60683.5021578196,0.2249233506813096,0.10731533580392082,0.20793653046654262,2.611692674350717,1.7004930129594775,0.8565835294117649,32.58095032491802,0.26314996099062726,94.31266647313193,0.005562727380451931
12,312,66.5045,3.72006,31,4.27138,0,107,131,7,125,6,0.98714,59.72704,0.0,0.0,4.35714,3.953,3.15036,0.0,0.0,126.0,59.27721,0.00039,0.29,1.392,-1.0,7.985164,0.10301947360600841,0.0052589847559525804,0.11055212051582038,0.22234987165959155,161.5093615379979,0.13109539128862374,1.308545524691358,0.15291920715644727,89.81790837680904,540.4467477703525,69801.53981071155,60467.75249968269,0.2249519793558364,0.10696117001858642,0.20793653046654384,2.6145359914065214,2.025389148181402,0.8560407843137257,32.544004652235245,0.2636271520765835,93.7239689843189,0.005581538239418062
13,313,66.5574,3.7675,31,4.24997,0,107,131,7,125,6,0.99458,59.78354,0.0,0.0,4.28571,3.947,3.16611,0.0,0.0,126.0,59.33354,0.00035,0.29,1.455,-1.0,7.922268,0.10307191504287898,0.005184010811496732,0.11132945997694281,0.22243511835305707,161.28483991263317,0.13112130476623976,1.1242283950617284,0.15313279654506115,89.80961327302629,540.4350613298947,69796.83919751833,60656.762415920726,0.22487918178436753,0.10713063861552408,0.20793653046654345,2.6204399877056272,1.8462142674853423,0.8563533333333335,32.59755716206115,0.26415698637669105,94.33645523690711,0.005583672331936431
14,314,66.5875,3.75557,31,3.99962,0,107,131,7,125,6,0.98061,59.82072,0.0,0.0,4.28571,3.945,3.20073,0.0,0.0,126.0,59.34184,0.00031,0.29,1.591,-1.0,8.00103,0.10314359221732199,0.005193799831768914,0.11187236792639606,0.22246974169976944,161.8490014262585,0.1315705643810496,1.1070601851851851,0.1532742352562909,89.79045428461559,540.3188880086635,69746.20063109939,60624.99193405885,0.22488816170144932,0.10738074122819138,0.20793653046654337,2.6111172675262333,1.9194149743137852,0.8565686274509805,32.569606262960555,0.2644303160133347,94.36091734001829,0.005531344991833423
15,315,66.5657,3.62792,31,4.05542,0,107,131,7,125,6,0.98156,59.79871,0.0,0.0,4.28571,3.941,3.1922,0.0,0.0,126.0,59.34451,0.00032,0.29,1.435,-1.0,7.831465,0.10319262170293192,0.005154601768380877,0.1124407270750734,0.222510996341124,161.8853306880704,0.13127324795888057,1.6314621913580247,0.15333863523197552,89.7917949800089,540.2846048005259,69696.38629017006,60503.46548349563,0.2249286335999967,0.106903821511209,0.20793653046654356,2.6125260892233073,2.2654177002976947,0.8554227450980394,32.717343554084685,0.26497476302865086,93.27845433013167,0.005506331977543239
16,316,66.5849,3.43053,31,4.0095,0,107,131,7,125,6,0.98509,59.84229,0.0,0.0,4.35714,3.951,3.08302,0.0,0.0,126.0,59.29898,0.00029,0.29,1.357,0.46219,7.93644,0.10316722362168991,0.005222045117179553,0.11323853631772442,0.2223968160518001,160.7024695456445,0.13116917743538706,1.6032503858024691,0.15343025695212567,89.81588544527443,540.1171427782518,69675.04114691523,60499.211548134226,0.2248765842450855,0.10609448200915199,0.21177757144560513,2.5890679269180006,1.8657064132664558,0.854090588235294,32.575362594039355,0.26541925390942644,90.49380006838855,0.00554055109204392
17,317,66.6441,3.32804,31,4.08429,0,107,131,7,125,6,0.99161,59.92327,0.0,0.0,4.53571,3.952,2.91007,0.0,0.0,126.0,59.30834,0.00036,0.28,1.437,-1.0,7.858387,0.10320353630793468,0.005111955561468331,0.11414322338485686,0.2224138597873593,160.64396438538574,0.1312112671675631,1.4642650462962963,0.153558296698889,89.77445562583435,540.0268395448903,69743.0001636656,60502.8974476218,0.22475436007354802,0.10575458817655549,0.21399519748883636,2.522013899405849,1.8818973845570115,0.8538007843137256,32.51654391818576,0.26612232599519314,94.11767123874228,0.005479984920353934
18,318,66.5845,3.34205,31,4.16558,0,107,131,7,125,6,0.98909,59.87147,0.0,0.0,4.89286,3.959,2.8183,0.0,0.0,125.0,59.28341,0.00032,0.29,1.323,-1.0,7.91143,0.10325140926586124,0.005154635302147117,0.11511329083685114,0.22241464374059922,161.16401081145503,0.13115489868207136,1.3263406635802468,0.15358684097021386,89.7777940483487,539.8190405516376,69535.51520118502,60295.36770798945,0.22468813433197915,0.10582238678679531,0.21399519748883478,2.4777451443831757,1.6718089809027894,0.854030980392157,32.495570618429305,0.26694342176807034,94.00708789832525,0.005470701017690626
19,319,66.7619,3.31472,32,4.0976,0,107,131,7,125,6,0.99377,60.05751,0.0,0.0,3.92857,3.938,2.83468,0.0,0.0,125.0,59.35837,0.00035,0.29,1.452,-1.0,7.861628,0.10335269015741069,0.005159466422530032,0.11602037775508484,0.22239985425253894,161.23464395021728,0.13123484934106644,1.1912615740740742,0.15372580627794136,89.71846342688633,539.6759928852166,69808.48621155805,60719.02429916269,0.22462361117466492,0.10587318285055537,0.21621282353206547,2.457722839554932,1.7453114764410442,0.8554376470588236,32.54512400686005,0.2675056354180889,94.43266168293127,0.005455128748688688
20,320,66.734,3.26186,32,3.99014,0,107,131,7,125,6,0.9838,60.04916,0.0,0.0,5.14286,3.975,2.80713,0.0,0.0,125.0,59.34323,0.00032,0.28,1.474,-1.0,7.931292,0.103382945154084,0.005120190368925166,0.1167773352538847,0.2223426162640766,161.3547870876816,0.1312934238612972,1.5705054012345678,0.1538347538556476,89.7406045790582,539.4623191696179,69697.6069758903,60539.46631310732,0.22444106760131913,0.10577655405078866,0.2139951974888359,2.448981545371035,1.8395450821575798,0.8549388235294118,32.550687813464506,0.2677793378370502,94.44850057161547,0.005424844517425851
21,321,66.8309,3.12477,32,3.8146,0,107,131,7,125,6,0.98198,60.13309,0.0,0.0,4.25,3.967,2.76706,0.0,0.0,126.0,59.37107,0.00025,0.29,1.548,-1.0,7.848445,0.10338004795647907,0.005096483050109467,0.11719778257454871,0.22239547908226678,160.89896665405945,0.13153572727590443,1.4475790895061729,0.15387676834163308,89.72004614933125,539.3135399874859,69767.56587451462,60807.603934490704,0.22434472490960639,0.10569756388178345,0.2162128235320637,2.4495278713857234,1.8549675506460557,0.8559427450980394,32.45389603979794,0.26795825782535676,90.85081065833295,0.005426538012405451
22,322,66.8231,2.928,32,3.86658,0,107,131,7,125,6,0.98167,60.1319,0.0,0.0,4.35714,3.955,2.64279,0.0,0.0,125.0,59.37257,0.00027,0.28,1.405,-1.0,7.922878,0.10340619671715934,0.005099168757640894,0.1179026827944997,0.2223234751021691,161.02289214319057,0.13167480056862005,1.3332851080246915,0.1539748355210842,89.74235295460646,539.1170114654323,69605.9920043891,60674.64313015084,0.22424657759859065,0.10566414748702457,0.21621282353206484,2.426383356912433,1.8790526404974301,0.8560031372549021,32.62786620340229,0.2680806299397187,94.43605258256537,0.0054338416299235
23,323,66.9227,2.63694,32,3.88987,0,107,131,7,125,6,0.98502,60.24377,0.0,0.0,4.53571,3.925,2.47527,0.0,0.0,126.0,59.39388,0.00033,0.29,1.519,-1.0,7.912728,0.10340090249001661,0.0050642308125981965,0.11858856012693413,0.22224128551698202,161.09673301766455,0.1319115760304045,1.2370756172839505,0.15408117900985777,89.70067883810225,538.9626881308382,69785.22819113609,60848.76242403,0.224199440861324,0.10567513414459756,0.21621282353206403,2.3529016116455788,1.7660548596607568,0.8557501960784315,32.49208351417824,0.26812892664262983,94.04753210896324,0.005411077651488298
24,324,66.9064,2.50377,32,3.63181,0,107,131,7,125,6,0.98374,60.24273,0.0,0.0,4.67857,3.948,2.21634,0.0,0.0,126.0,59.36658,0.00029,0.28,1.478,0.4537,7.909774,0.10340983688631251,0.0050600016691071375,0.1191888060901622,0.2222662572070588,160.83319169872857,0.13219601637002712,1.205054012345679,0.1541784913775144,89.71325296773216,538.7700592112585,69693.60917249482,60767.7970923544,0.22410604244070345,0.10571821061305785,0.21621282353206542,2.257889367719805,2.110748330539763,0.8560407843137257,32.63134219322675,0.26820302344804114,94.02314398398174,0.005393694279562754
25,325,66.9609,2.67062,32,3.37584,0,107,131,7,125,6,0.98426,60.28832,0.0,0.0,4.07143,3.952,2.10367,0.0,0.0,126.0,59.40587,0.00035,0.29,1.532,-1.0,7.915411,0.10346686634563808,0.005102360163435055,0.1199283322466444,0.2222732086390752,160.84527325440945,0.13257107695006162,1.4007523148148149,0.15424317958854103,89.70608295819885,538.635925794756,69726.59498873634,60973.77853072853,0.22400126010599267,0.10582751722254016,0.2162128235320648,2.202076617367149,1.8374073431249367,0.8561082352941176,32.60206377947772,0.2682544308277182,94.42487175903955,0.0053901869641362135
26,326,66.8717,2.87692,32,3.52018,0,107,131,7,125,6,0.98409,60.2199,0.0,0.0,4.14286,3.948,2.2492,0.0,0.0,126.0,59.38857,0.00025,0.29,1.486,-1.0,7.951046,0.10351028296104674,0.005073206350265292,0.12026885815612884,0.22231031143997323,161.25395423394093,0.132917532672216,1.304639274691358,0.15429899190481125,89.71718592094544,538.4714789106126,69702.55572616724,60673.28818995782,0.22388816867570677,0.10595805333671156,0.21621282353206592,2.2236256419124083,1.9286928042486424,0.856270980392157,32.659424581645446,0.2683269801427985,94.19731457166863,0.005366403016376123
27,327,66.8844,3.02103,32,3.63516,0,107,131,7,125,6,0.97419,60.24065,0.0,0.0,4.64286,3.954,2.4331,0.0,0.0,126.0,59.41885,0.00033,0.29,1.579,-1.0,7.808507,0.10357940850101033,0.005055603981728852,0.12075003959637778,0.22228828013657276,160.8796210236019,0.13321460762776188,1.2630690586419753,0.1543688865721756,89.71014078169999,538.3617536826217,69646.52886741134,60755.03517982204,0.2238637578718553,0.10630297997594708,0.21621282353206625,2.235397178703037,1.83791724034056,0.8565835294117649,32.6230325581115,0.2683933395138234,92.30287981899333,0.005346198483672766
28,328,66.8224,3.16691,32,3.81013,0,107,131,7,125,6,0.97446,60.19265,0.0,0.0,4.17857,3.929,2.55734,0.0,0.0,126.0,59.40213,0.00032,0.29,1.467,-1.0,7.94096,0.10359061627849285,0.005060137684788928,0.12127842030219478,0.22225306947588705,161.2737612683026,0.13349315207007673,1.2672646604938271,0.15438520706779674,89.7153077499303,538.2239191274074,69719.66552069133,60579.00917163059,0.22376991126816095,0.10646549787321505,0.2162128235320662,2.2448521142071907,1.8759275587362652,0.8568066666666668,32.68988715277778,0.26842317957401773,92.68083001344156,0.005355817575652086
29,329,66.8932,3.39901,32,3.72132,0,107,131,7,125,6,0.97834,60.27661,0.0,0.0,4.25,3.927,2.68254,0.0,0.0,125.0,59.43652,0.00034,0.28,1.605,-1.0,7.877611,0.10359212717762419,0.005025449695547116,0.1216939013304978,0.22225610597886414,161.77206239964016,0.13369610367577284,1.3842110339506173,0.15443376914121754,89.69474924950816,538.1252721127606,69751.54687235867,60809.80010342927,0.22376048980030308,0.10652401935520085,0.21621282353206614,2.216502114355497,1.7706830571763168,0.8568207843137257,32.70625776126061,0.2684317099775622,90.64587414357375,0.005332483697107506
30,330,66.8112,3.56567,32,3.63241,0,107,131,7,125,6,0.97735,60.18886,0.0,0.0,3.75,3.914,2.88342,0.0,0.0,126.0,59.41728,0.00033,0.29,1.428,-1.0,7.931527,0.10357648364349804,0.00502741830939132,0.12149790404575045,0.22220316666614845,161.35597425116288,0.13394233392219362,1.5861786265432098,0.15445424639970995,89.73083072488015,538.0208973953227,69641.91494065721,60506.60386669619,0.22366405537276793,0.10678160504934371,0.21621282353206486,2.2248473715972725,1.7631943651025865,0.856270980392157,32.758469946590466,0.26834077233604886,91.32336411624007,0.005333620988535637
31,331,66.8587,3.64007,32,3.78546,0,108,131,7,125,6,0.97548,60.24899,0.0,0.0,4.35714,3.91,3.0311,0.0,0.0,126.0,59.44644,0.00034,0.29,1.479,-1.0,7.915859,0.10354466923244837,0.005002012707203519,0.12104885697136462,0.2221743193954693,160.8966830890412,0.1341244985389195,1.6125096450617284,0.15446165973929765,89.70476374009124,537.9520788425395,69555.52590807882,60718.16226487142,0.2235651674147368,0.10687897723399732,0.2162128235320655,2.2711386984625843,1.8197108112744265,0.8565835294117649,32.68394112292631,0.26837300254805835,91.69286297978677,0.005309605569255577
32,332,66.821,3.59812,32,4.02146,0,108,131,7,125,6,0.97312,60.20633,0.0,0.0,3.85714,3.913,3.09088,0.0,0.0,126.0,59.4368,0.0003,0.29,1.468,0.45602,7.954744,0.10357089996669826,0.004970957646005696,0.12014692970363185,0.22221779744661385,161.18839041370114,0.1343595681910427,1.6173804012345678,0.1544190807823852,89.73698299075771,537.88989915268,69718.84153980631,60547.09244196272,0.22346175920729616,0.10689930916311616,0.2162128235320655,2.2789959761844734,1.881020313178536,0.856270980392157,32.84472938820168,0.2683302590600435,90.28111702765784,0.005308650832291689
33,333,66.9085,3.52691,32,3.98834,0,108,131,7,125,6,0.96905,60.28427,0.0,0.0,3.89286,3.914,3.05918,0.0,0.0,126.0,59.45904,0.00031,0.29,1.642,-1.0,7.961896,0.10358987011564622,0.004939534056220918,0.11894464864269326,0.2221853323338838,160.3747574247322,0.13477633518426782,1.5852141203703705,0.15431519575291405,89.70937467841665,537.8562179306707,69765.19713944515,60858.11816376574,0.22335994958521588,0.10709077934179226,0.2162128235320658,2.2874901265275236,1.977867426929235,0.8565835294117649,32.72596684208623,0.2683334149860155,94.00848189342854,0.005305943721674987
34,334,66.8451,3.39407,32,3.99499,0,108,131,7,125,6,0.97552,60.2218,0.0,0.0,3.75,3.914,2.99477,0.0,0.0,126.0,59.45018,0.0004,0.29,1.51,-1.0,8.002055,0.10366458654796644,0.004929999452688243,0.11775005634132547,0.22218662338238523,160.91176642913302,0.1354004459528486,1.6092303240740742,0.15431865258352193,89.73692728725513,537.8160523406939,69620.28157402006,60594.43356382606,0.22323791520374256,0.10695724029891934,0.21621282353206606,2.269808106147867,1.9323809449694789,0.856270980392157,32.877931948061345,0.26838523196002584,88.37251048811252,0.005305601413500275
35,335,66.9303,3.33141,32,3.79937,0,108,131,7,125,6,0.98547,60.30278,0.0,0.0,4.57143,3.911,2.88197,0.0,0.0,126.0,59.47052,0.00026,0.28,1.643,-1.0,7.9666,0.10366698457897108,0.004904962873371201,0.11652225003272301,0.22215435115953713,160.6262944572393,0.1356889776083336,1.7201967592592593,0.15425890320203967,89.70444104427743,537.8089004834925,69776.65094359605,60902.82814840926,0.22307889517184562,0.10701153956737237,0.21621282353206617,2.261172215424699,1.7825660870748743,0.8560627450980394,32.716741491247106,0.26849368247859506,92.58234824954661,0.005310531500023773
36,336,66.9356,3.33745,32,4.0396,0,108,131,7,125,6,0.99058,60.3145,0.0,0.0,3.64286,3.929,2.82684,0.0,0.0,126.0,59.46091,0.00035,0.28,1.55,-1.0,7.991859,0.10365787869637959,0.004911129024446706,0.11522603449951745,0.22214002867862243,161.46557571031215,0.13697993378910056,1.7332175925925926,0.1542862895563352,89.69527019706624,537.7905250022394,69638.72289570782,60786.7849272076,0.22300582859374501,0.10692588483436144,0.2162128235320666,2.26753788800974,1.8122542814062579,0.856270980392157,32.813844468858505,0.2686757003130721,94.5071012715267,0.005331769114746295
37,337,67.0091,3.36778,32,3.94066,0,108,131,7,125,6,0.99115,60.36589,0.0,0.0,3.78571,3.956,2.83363,0.0,0.0,126.0,59.47242,0.00033,0.29,1.585,-1.0,7.951441,0.10365934002955335,0.0049115360220888665,0.11388393767653328,0.22211937961447423,161.05240901042845,0.13785466967652615,1.73828125,0.1542743834252814,89.6797741566864,537.7841031915668,69733.36996624389,61027.02909917261,0.22285456433310338,0.10689227713835364,0.2162128235320658,2.3133961740873294,1.756816024326962,0.8563533333333335,32.86809850622107,0.2687934353410792,92.68262106050895,0.0053181582387029115
38,338,67.0064,3.16942,32,4.09314,0,108,131,7,125,6,0.9902,60.3635,0.0,0.0,3.78571,3.93,2.85895,0.0,0.0,126.0,59.44428,0.00035,0.29,1.538,-1.0,7.956973,0.1036359043492538,0.00490752637707193,0.1125984186858178,0.22212724690505925,161.11622905549905,0.13764044979287957,1.7952353395061729,0.15427881856947498,89.67116616504663,537.7769051891823,69563.8854183764,60904.073497101665,0.22279714052398983,0.10713898355632608,0.21621282353206595,2.3305272409770743,1.6560140346941654,0.8560407843137257,32.84927744924286,0.2689393965825031,94.40509172995661,0.005334934642977903
39,339,67.045,2.85676,32,3.90553,0,108,131,7,125,6,0.98835,60.41608,0.0,0.0,4.14286,3.92,2.68987,0.0,0.0,126.0,59.44036,0.00029,0.29,1.459,-1.0,8.018182,0.10363981891279543,0.004910360438290158,0.11134834917811343,0.22209101222361627,160.37232732363037,0.13773887329347054,1.8628954475308641,0.15433919119194597,89.66336568487087,537.7806028419866,69745.38384661697,61023.866805868965,0.2226938680988263,0.10719276695830991,0.21621282353206497,2.3057704328693807,1.6122035055208706,0.8554823529411766,32.72934732319396,0.26909504271694373,94.46813927829108,0.005324576577909689
40,340,67.073,2.55557,32,4.01767,0,108,131,7,125,6,0.98344,60.43836,0.0,0.0,3.53571,3.933,2.41429,0.0,0.0,125.0,59.41496,0.00029,0.29,1.543,0.45473,7.957413,0.10365588292166537,0.004899262041272748,0.1101580772548434,0.22210382697934164,161.0498400358788,0.13785242762091715,1.9438657407407407,0.1543253422794937,89.65887053968731,537.7736694274395,69772.62816107755,60985.397111588536,0.22259886979396137,0.1073891437277288,0.21621282353206628,2.225646919813867,1.6958160973043288,0.8551698039215687,32.77330563392169,0.26932942270587745,90.69531176289938,0.00533954995288883
41,341,67.1422,2.4164,32,3.58614,0,108,131,7,125,6,0.98229,60.51194,0.0,0.0,4.32143,3.939,2.1479,0.0,0.0,125.0,59.42385,0.00033,0.28,1.527,-1.0,8.012128,0.1036680730420647,0.004910956994399726,0.10904569951581446,0.22208549475261982,161.27031179670632,0.1380525692166225,1.919511959876543,0.15436535521537936,89.64935252727449,537.7869901083602,69745.2841787808,61156.993407730566,0.2225313563599183,0.10748082930870198,0.2162128235320662,2.129745404964907,1.6904789859943,0.8554823529411766,32.79780371395159,0.2694732698530774,93.27064336770106,0.005334081727663092
42,342,67.0999,2.2893,32,3.54932,0,108,131,7,125,6,0.98976,60.47327,0.0,0.0,3.57143,3.937,2.02542,0.0,0.0,126.0,59.37692,0.00037,0.28,1.513,-1.0,7.932842,0.10369761188727299,0.004899308914999672,0.10795613971960201,0.22205953945828316,161.0529287731543,0.13818148392340812,1.8420621141975309,0.1543410976085097,89.63826545938701,537.7940535624185,69586.55004479192,61010.17488158178,0.2224673850314649,0.10763934963947396,0.21621282353206625,2.0749094738917355,1.6796747881869905,0.8549019607843138,32.785798437801404,0.2696594119005223,94.23575435442591,0.005340922171328729
43,343,67.1662,2.49888,32,3.35972,0,108,131,7,125,6,0.98844,60.5473,0.0,0.0,4.35714,3.927,1.91709,0.0,0.0,126.0,59.39107,0.00029,0.28,1.548,-1.0,7.942517,0.10371191273701838,0.0048963326891118585,0.10692450999733137,0.22205549146379594,160.96012290813403,0.13835238628903496,1.7769097222222223,0.15427127865714885,89.65428473390433,537.8169428463679,69743.8664672034,61138.003967179,0.22237386568999076,0.107777234636702,0.21621282353206608,2.0667443312891023,1.8058696848993119,0.8552145098039217,32.81271531846788,0.2698889876076274,94.0895361245232,0.00533205052762116
44,344,67.1409,2.69782,32,3.55692,0,108,131,7,125,6,0.9916,60.52104,0.0,0.0,4.21429,3.959,2.09562,0.0,0.0,125.0,59.34164,0.00032,0.29,1.572,-1.0,7.987252,0.10370399607118683,0.004885770834771145,0.10592156695589344,0.22207810277092324,160.3865968111764,0.13849477368404026,1.6956500771604939,0.15423911299533954,89.6641406762417,537.8353531030951,69872.41028920894,61087.813460924146,0.22227737925193283,0.10783883771651116,0.21621282353206564,2.1583485270450486,1.8299914491810598,0.8546113725490196,32.7253101490162,0.2701693332490337,93.89357699595479,0.005334401410886013
