,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,temporal,cubrow.0,cubrow.1.0,contrast,cubcol.0.3,tone,staticness,color_fulness,cubrow.0.3,uhdhdsim,cubcol.0.5,cubrow.0.6,cubrow.0.5,movement,cubcol.1.0,cubcol.0,noise,blockiness,cubcol.0.6,saturation,fft,blur
10,10,56.7184,12.1872,82,18.3662,0,90,124,31,128,21,0.98593,62.59516,0.0,0.0,0.07143,3.947,11.04561,0.0,0.0,118.0,34.92902,0.00829,2.14,1.253,-1.0,0.0,6.206752675468401,0.12466461681001337,0.08484989079721279,89.04101669641977,0.22886435326422108,0.440956859681661,212.0193776995808,145.28980605692237,0.15823013686985313,83.15956722289494,0.19055963725974975,0.18318980975118393,0.19803488811209238,4.2563657407407405,0.10654321487218585,0.19562815672336573,2.201727067326097,6.298942955323469,0.19399850050459438,35.78288871859327,70002.8435456544,17053.01790859121
11,11,56.6761,12.5972,81,17.4441,0,90,124,31,128,21,0.98008,62.58141,0.0,0.0,0.14286,3.96,10.46244,0.0,0.0,116.0,34.94255,0.00839,2.16,1.209,-1.0,0.0,5.881815679752845,0.12351023822551067,0.08480544455594098,89.81907251413244,0.22770363020096818,0.4418998485198002,210.61241731648056,145.21756772604363,0.15963285308475422,83.17615752092621,0.19261607894159244,0.1837183635614783,0.19802728876580414,4.259741512345679,0.10783246085481717,0.19217148135048753,2.206756530519957,6.861816521459763,0.1948451706542436,36.006097299081304,70027.38276541563,16780.481266869803
12,12,56.7345,11.9524,81,17.971,0,90,124,31,128,21,0.98391,62.62844,0.0,0.0,0.03571,3.959,10.81536,0.0,0.0,116.0,34.95384,0.00827,2.13,1.161,-1.0,0.0,6.000083509578311,0.1202338706843926,0.08502237571000011,88.25918343284569,0.22807099850822632,0.4425725661084199,209.26318982149147,145.3627964791166,0.16000547452893402,83.18056176619315,0.19135727676358666,0.18378463893182187,0.19801670337859406,3.544849537037037,0.1084289546479056,0.19092569948088906,2.1980452447334,6.461380540696663,0.19512870687171346,35.88801744249132,69717.9393887407,16910.83777119647
13,13,56.6045,12.0184,81,17.8838,0,90,124,31,128,21,0.98491,62.50492,0.0,0.0,0.07143,3.963,10.25598,0.0,0.0,117.0,34.96175,0.00828,2.13,1.181,-1.0,0.0,5.841034364940656,0.11765225004699818,0.08466060807966547,88.35099334456116,0.22960625538634988,0.4425725661084199,208.04492487519963,145.26296131639606,0.16020665905652776,83.17860567476009,0.19252147825089996,0.18437358327884712,0.1978210874301134,3.2194251543209877,0.10902590461212983,0.1922069979168589,2.200697863497662,6.7846714737971,0.1951089257205432,35.73710067183883,69568.35752375831,16678.506477261933
14,14,56.5836,12.4041,81,16.9099,0,90,124,31,128,21,0.97982,62.4952,0.0,0.0,0.03571,3.95,10.31339,0.0,0.0,117.0,34.95312,0.00797,2.14,1.336,-1.0,0.0,5.809304386719784,0.11513833460413052,0.08428945953084752,85.95663257443182,0.2261397290147934,0.4451533226297579,206.88480536265425,144.75025845421138,0.1604298928706897,83.17277563286513,0.1922511106238296,0.18425267776004559,0.1978255387643963,2.993634259259259,0.10976545781381762,0.19374911002745374,2.2029154895408944,6.54023340932505,0.1946595622564775,35.708636436933354,69279.46992207598,16442.655988026036
15,15,56.1766,12.4738,81,18.7902,0,90,124,31,128,21,0.97943,62.08108,0.0,0.0,0.03571,3.953,10.64458,0.0,0.0,117.0,34.93994,0.00802,2.13,1.194,-1.0,0.0,6.099439822824992,0.11350823690047031,0.08394068339259968,85.95834872892127,0.22503586202980888,0.44782901890657434,205.77782633018595,145.29660401402955,0.16123216682482613,83.29697719055481,0.19385793146186697,0.1836655002456323,0.19765432761977972,4.544849537037037,0.11031713799442172,0.19676237577656833,2.1835510662592195,5.596769052230222,0.19369045452613323,35.676067022629724,69212.73276022206,16124.918529179871
16,16,56.062,12.7412,81,18.6809,0,90,124,30,128,21,0.98518,62.01131,0.0,0.0,0.03571,3.956,10.70478,0.0,0.0,117.0,34.94121,0.0084,2.13,1.129,0.125,0.0,5.945514503788833,0.11210787065903008,0.0837626348608863,87.53911900947122,0.22471550596210485,0.4452935053102654,204.71143096911584,144.95502898871752,0.16085102686997377,83.24805267222595,0.19245900445603759,0.18362977213923218,0.19758468440694435,4.799864969135802,0.11106026642622964,0.19829547502661704,2.190798155496307,6.467425465852291,0.19293547835097777,35.8027217535325,68966.83046442861,15814.701127788978
17,17,55.8788,12.0305,80,18.7879,0,90,124,30,128,21,0.98224,61.83949,0.0,0.0,0.03571,3.958,10.93425,0.0,0.0,117.0,34.95214,0.00882,2.12,1.174,-1.0,0.0,6.113940106975799,0.11188063111428959,0.08338222017030367,81.44847025049773,0.22441085935558674,0.44794344245444057,203.61918112781245,144.71764609506693,0.16075472176432745,83.3108568300363,0.19210979363105588,0.18408241349095597,0.19675900142032715,5.101176697530864,0.11197483540837902,0.20065390754715118,2.1825218624307805,5.98405085944361,0.19290557752730442,35.5662271005136,68875.83388622229,15662.190777196573
18,18,55.9315,11.8742,80,16.9294,0,90,124,30,128,21,0.9869,61.87564,0.0,0.0,0.0,3.944,10.32393,0.0,0.0,117.0,34.97206,0.00808,2.14,1.154,-1.0,0.0,5.989152762301625,0.11158562944492666,0.08325910274754551,88.60051949118963,0.22372576890963886,0.45088116990080723,202.5975083076099,145.02444549560727,0.1618549339213906,83.26631198984694,0.1915513506375504,0.18508714913796184,0.19605379478829263,4.890287422839506,0.11301958517927395,0.20123419447837415,2.1803042363875513,5.538692028177869,0.19256375741489387,35.73442718129099,68997.86019639438,15694.117722466995
19,19,56.1822,11.6978,81,17.1135,0,90,124,31,128,21,0.98666,62.12157,0.0,0.0,0.0,3.898,10.18781,0.0,0.0,117.0,34.98715,0.00825,2.14,1.182,-1.0,0.0,5.785268831717928,0.11034902096380604,0.08292794688522584,86.57554294890164,0.22183716926735159,0.45363143466666456,201.60583832518103,144.5477705907574,0.162391323595701,83.17917799500393,0.1910010451236602,0.18678240440248361,0.19539358487051137,4.730324074074074,0.11405802751535513,0.20304626682375096,2.186957114517243,5.3375384882195025,0.1927790420118619,35.39061124825183,69049.17945956199,15846.60922324722
20,20,55.7573,11.8423,80,16.741,0,90,124,31,128,21,0.98799,61.7313,0.0,0.0,0.0,3.949,10.0334,0.0,0.0,117.0,34.98326,0.00839,2.13,1.183,-1.0,0.0,5.674684862581274,0.10927743826531691,0.08323514008999981,88.57512897932719,0.22256630256949084,0.4561442636216839,200.67798516853887,143.95832138308324,0.16258477098733348,83.23046769353637,0.19182542628940696,0.1881189234235575,0.1950881319902229,5.969569830246914,0.11503826973296305,0.20745371333165458,2.184145277366611,5.659267593833198,0.1930576009541946,35.42834133572049,68835.08358219743,15251.157813531185
21,21,55.7809,11.7924,80,17.398,0,90,124,30,128,21,0.98761,61.73063,0.0,0.0,0.0,3.933,10.16173,0.0,0.0,117.0,34.99563,0.00861,2.13,1.177,-1.0,0.0,5.678056972800494,0.10892529948104392,0.08294493280060966,86.7746517891079,0.22255058770615302,0.45699277809457917,199.80554455208528,143.77044035740548,0.16278874481622477,83.24816713719537,0.19290707388565737,0.1890798793198552,0.19500949409785864,5.5873842592592595,0.11593866115339198,0.2131253936532678,2.1823626440444204,5.859037622844446,0.19374388059839603,35.10039473168644,68818.86031693273,15132.663269320372
22,22,55.6841,11.6864,80,17.6638,0,90,124,30,128,21,0.98234,61.6604,0.0,0.0,0.0,3.904,10.11702,0.0,0.0,117.0,34.9896,0.0084,2.12,1.209,-1.0,0.0,6.0663062645203505,0.10800112314759325,0.08320030244613318,87.43137174221081,0.22231681540828388,0.4598174972582845,199.00948970885457,144.22885396257058,0.16312229551263663,83.26717476430667,0.19407012806123816,0.18928361761619403,0.1947780904270436,5.534529320987654,0.11653984934081658,0.21275345972228318,2.1786808214517195,4.813415181091374,0.19547012794074367,35.16114731776862,68671.55134240785,14974.726168173398
23,23,55.7799,11.5302,80,17.1158,0,90,124,30,128,21,0.98328,61.75339,0.0,0.0,0.03571,3.928,10.02433,0.0,0.0,117.0,34.9756,0.00887,2.13,1.214,-1.0,0.0,6.102747117204121,0.1080934008586816,0.08335929634262926,89.17852424463419,0.22273091127537947,0.45980019736409083,198.25768087936612,144.37577818132854,0.16302553568625122,83.23264852363499,0.194420089427819,0.18891056487704055,0.194470960112088,5.617332175925926,0.11678536160834097,0.20836217235643797,2.183116073538182,5.367682484203617,0.19804840149621053,35.43269969798901,68600.91858337352,15023.180416920568
24,24,55.7939,11.7889,80,16.6048,0,90,124,30,128,21,0.98274,61.80306,0.0,0.0,0.07143,3.894,9.88772,0.0,0.0,117.0,34.97995,0.0082,2.14,1.267,0.125,0.0,5.97567355592794,0.10745312138214703,0.08349299130880858,80.26974290110613,0.22466201409341705,0.46272898599307954,197.50567125634151,143.86845682346993,0.1629461213660339,83.24075188943763,0.19376184978374492,0.18880574774303133,0.19418467584551027,5.953703703703703,0.11662183981859854,0.2071935183792908,2.189174740560474,5.052462377203758,0.19923643821926879,35.259849265769674,68715.6488490878,15029.31895504998
25,25,55.5932,12.0049,80,16.6444,0,90,124,30,128,21,0.97418,61.60548,0.0,0.0,0.07143,3.88,10.10933,0.0,0.0,116.0,34.94766,0.00761,2.12,1.275,-1.0,0.0,6.238019767923151,0.10746056923233085,0.08387940344179776,86.56691414172626,0.22377791947198492,0.4654992387543254,196.7504347775326,144.20639392524754,0.16303458650355568,83.3088101557292,0.1931301090410468,0.18814614926625325,0.19385264990620943,7.238859953703703,0.11610223412575733,0.2047086440108476,2.178680821451718,5.147467264672192,0.19998693190542918,35.26179881154755,68639.58459359338,14806.51745407426
26,26,55.665,11.6775,81,17.9177,0,90,124,30,128,21,0.98177,61.72287,0.0,0.0,0.0,3.895,10.29419,0.0,0.0,116.0,34.93937,0.00813,2.14,1.194,-1.0,0.0,6.190306784307846,0.10809235207797604,0.08318587865744484,87.21524087409072,0.22456380037413845,0.4661603229834679,196.01507482346688,144.28682352564215,0.16290711595882787,83.20794004821727,0.19256109252799217,0.18775101858714113,0.1940405275528212,7.418885030864198,0.1157598206564213,0.20172542191315496,2.1863629034098455,4.952449446088936,0.1993386204778371,35.0797991340543,68560.21938883352,14894.80831949802
27,27,55.782,11.9385,81,17.1137,0,90,124,30,128,21,0.98252,61.86528,0.0,0.0,0.0,3.903,10.01243,0.0,0.0,116.0,34.93301,0.00834,2.13,1.345,-1.0,0.0,6.026447892637495,0.10804011852551171,0.08316399651310132,88.27093679154616,0.22467871607501858,0.4713697692456749,195.29666767229017,144.40918082100197,0.16264537754621494,83.21013582725175,0.19162949676076813,0.18751542979193153,0.1939930025726445,7.308641975308642,0.1156920972929259,0.19933914122489918,2.1813334402159854,4.964946717333221,0.19870825356997715,35.17672936710311,68672.58904035605,15004.963298210287
28,28,55.8481,11.8536,81,17.0269,0,90,124,30,128,21,0.97992,61.97716,0.0,0.0,0.0,3.91,10.23836,0.0,0.0,116.0,34.94135,0.00875,2.14,1.34,-1.0,0.0,6.233005521559412,0.10778996120373463,0.08326304775177625,88.5757438815897,0.22484993293551137,0.47657249134948115,194.56321413652273,144.7302263454526,0.16214220631279855,83.21368776061743,0.19074781574094568,0.18683151139090934,0.1931368356136231,7.120949074074074,0.11569078843980155,0.19772167929025047,2.1863629034098433,5.359756467075487,0.19824323721413245,35.120701919367285,68620.4824519537,15147.187212898476
29,29,55.8838,11.9268,81,16.9609,0,91,124,30,128,21,0.97863,62.0784,0.0,0.0,0.07143,3.918,10.16689,0.0,0.0,116.0,34.93127,0.00854,2.13,1.229,-1.0,0.0,6.2311116461643525,0.10778410616273344,0.083286886591438,90.87673778286111,0.22580682251527234,0.4818459029111881,193.83328738864316,144.44061482156508,0.1615216880396637,83.20453504861355,0.19026514050176468,0.18611556015356773,0.1922813191857748,7.46875,0.11568590386799887,0.19490669890891374,2.187986318345677,5.2139324103454205,0.19820904888471344,34.93860258879485,68604.07483168592,15143.922337107077
30,30,56.105,12.3345,81,16.404,0,91,124,31,128,21,0.98724,62.34357,0.0,0.0,0.10714,3.912,10.23044,0.0,0.0,116.0,34.9314,0.00856,2.13,1.237,-1.0,0.0,6.24688189966516,0.10806417609256722,0.08316653025260835,81.71861929308167,0.22495439391167826,0.4861075948235294,193.12178537289716,144.6748583401194,0.16094609025657988,83.17033394331709,0.18969991668564112,0.18559858600601564,0.19135452301285227,8.39940200617284,0.11546646336030567,0.19211196312653017,2.1890155221741074,5.314614756870499,0.19785207927336543,35.08276555567612,68657.6060764489,15314.074415437433
31,31,56.1031,11.9447,82,16.6763,0,91,124,31,128,21,0.98248,62.39688,0.0,0.0,0.0,3.886,10.57663,0.0,0.0,115.0,34.92169,0.00805,2.14,1.237,-1.0,0.0,6.512990849115997,0.1077646354822759,0.08285054010750026,86.46836271629442,0.22382117543491228,0.49068662673125707,192.43122371485933,144.6874131675144,0.16037574638588867,83.19509839009262,0.1891887698942769,0.18506144972656235,0.1907705035970084,8.332561728395062,0.11513207469964525,0.18973598419297866,2.191827359324746,4.56606210107994,0.19814295498068768,34.86108605655623,68583.57997598383,15362.126029757601
32,32,56.1849,11.9139,82,17.2397,0,91,124,31,128,22,0.98495,62.5495,0.0,0.0,0.0,3.859,10.24519,0.0,0.0,115.0,34.89932,0.00854,2.12,1.327,0.125,0.0,6.28353047837231,0.10791253826850668,0.08262257226793955,89.64936945638152,0.22334676407900525,0.493329117219531,191.77623566061442,145.10620729964396,0.16014831246885938,83.1331666235375,0.18929310065414368,0.18480530907254103,0.19062350050277505,8.383487654320987,0.1148715022388906,0.18849232231516397,2.2007774726908473,4.799757797771467,0.199358793774775,35.02167181321133,68743.775697674,15362.297534042571
33,33,56.1239,12.0753,82,17.2854,0,91,124,31,128,22,0.98162,62.58303,0.0,0.0,0.0,3.881,10.21684,0.0,0.0,115.0,34.8884,0.00826,2.13,1.281,-1.0,0.0,6.116922662798208,0.10805700659983768,0.08278640651392183,91.44551514593574,0.22369082610841015,0.49461568627450986,191.14900979338,145.48646197043104,0.16022713470295993,83.14278558121985,0.18880467502425466,0.18457701362370443,0.19029437118145,8.388117283950617,0.11463974721766954,0.18691839432970062,2.1891747405604742,4.839470279091589,0.20016441864388448,34.89205084906684,68692.41955568458,15286.331367111741
34,34,56.2185,12.3667,82,15.8866,0,91,124,31,128,22,0.98788,62.73241,0.0,0.0,0.03571,3.897,10.3586,0.0,0.0,115.0,34.86751,0.00892,2.11,1.295,-1.0,0.0,6.023152800906336,0.10879609083409268,0.0834230805258752,92.21500568305397,0.2224137850576803,0.4942952941176471,190.56621082202855,145.94211732033483,0.1600695770076595,83.11783362001778,0.18898754860340175,0.18475072353427782,0.19018033700848305,8.170090663580247,0.11468273458652488,0.18447543174457431,2.1968568225186007,4.684662644614141,0.20032531651220734,34.75067477756076,68672.25239960058,15319.219391095085
35,35,56.4717,12.1822,83,18.09,0,91,124,31,128,22,0.98749,63.02035,0.0,0.0,0.0,3.924,10.61473,0.0,0.0,116.0,34.87182,0.0079,2.14,1.315,-1.0,0.0,6.166274751893855,0.10946293195509274,0.08438487695135759,85.90439983586812,0.22204581533453438,0.494035294117647,190.0206903264947,146.0070672906759,0.15943162537206004,83.11530591938768,0.18885040555350885,0.18491313509080048,0.1899034160858968,8.649353780864198,0.11477106058979004,0.18244699122787478,2.1907981554963065,3.9145072462686015,0.20037826588991578,34.793715112003284,68703.8234685314,15718.034468982954
36,36,56.9063,12.4596,83,17.7706,0,92,124,31,128,22,0.98279,63.47302,0.0,0.0,0.0,3.92,10.45417,0.0,0.0,116.0,34.8908,0.00826,2.14,1.238,-1.0,0.0,6.076628460885699,0.10988566866539128,0.08526439606115381,84.42893819766155,0.22236319262974139,0.49406509803921567,189.48765320900208,146.085651950682,0.15897899340687033,83.05498781857521,0.18825912516425153,0.18531276632426777,0.18982180638991827,8.402874228395062,0.11490533434736064,0.1799603186689974,2.1934507742605747,4.894905699085333,0.2003811877651793,34.535409432870374,68823.22491016338,16185.395777274363
37,37,57.2841,12.4224,84,17.5841,0,92,124,31,128,22,0.98359,63.91773,0.0,0.0,0.0,3.904,10.69145,0.0,0.0,116.0,34.89518,0.00826,2.1,1.257,-1.0,0.0,6.197661072123717,0.11078307999037104,0.08547038574569656,89.94204767048437,0.22200223147824258,0.4945929411764706,188.9966597932153,146.64558303500513,0.15859916676384223,82.98531717253269,0.18777560370686563,0.1857389307502149,0.18986120760486797,8.119695216049383,0.11478541567962387,0.17762592249662715,2.1946391964753693,5.594012262297857,0.2005438547551835,34.35014136043596,69109.09918972079,16759.79813047445
38,38,57.2976,12.2729,84,17.3865,0,92,123,31,128,22,0.98274,64.00927,0.0,0.0,0.0,3.963,10.65954,0.0,0.0,117.0,34.88258,0.0084,2.12,1.295,-1.0,0.0,6.158543119641323,0.11196138416224269,0.08548470029958544,91.04164858049445,0.2224366565368901,0.4940572549019608,188.5486875097694,146.57839602403212,0.15822553253369903,83.04055858351535,0.18818550727291544,0.18643101889172453,0.19007415836042704,7.901379243827161,0.11457772577726456,0.17565796143530027,2.191233148217341,4.52944995921197,0.20079577839051554,34.68071680893133,69239.790316027,17038.443165348093
39,39,57.8504,12.5221,85,17.5751,0,92,123,32,128,23,0.98558,64.58378,0.0,0.0,0.0,3.936,10.53234,0.0,0.0,117.0,34.9068,0.00837,2.12,1.26,-1.0,0.0,6.097002534956455,0.11368409926792217,0.08563292697494734,90.84025345700267,0.22271247690360202,0.4939525490196065,188.14611596107056,147.28301887126503,0.1580196532346625,82.93668012111971,0.1882986456652863,0.18706830700099944,0.19045636497746155,7.9154128086419755,0.11445921157207195,0.17341600738768023,2.201292074605068,5.437788993857785,0.2009762164659273,34.58411831325955,69647.63244412083,17671.908215151198
40,40,58.1275,13.2228,85,17.2165,0,92,124,32,128,23,0.98295,64.91895,0.0,0.0,0.07143,3.941,10.74892,0.0,0.0,118.0,34.92571,0.00831,2.14,1.198,0.125,0.0,6.24519210649412,0.11506464983688597,0.08592724757406714,89.17545281866866,0.22271157840271047,0.49324666666666667,187.77797208193857,147.37844144697468,0.15777366763725925,82.90159575962957,0.1887291589038223,0.187499915137221,0.19074672186941194,8.281153549382717,0.11444605634958482,0.17134342277552428,2.2073507416273523,5.1666352094456265,0.20081505645361822,34.36809662241995,69788.97991968287,18242.366866222612
41,41,58.2501,12.8988,86,18.5125,0,93,124,32,128,23,0.98003,65.14473,0.0,0.0,0.07143,3.933,11.3521,0.0,0.0,122.0,34.91951,0.0077,2.13,1.253,-1.0,0.0,6.411441412534963,0.11652407412706418,0.08561613885291831,90.94605230984307,0.2230088717892188,0.493216862745098,187.45763163853405,147.62498675566016,0.15752560643455416,82.91065323243623,0.1888805388971883,0.18771345926825728,0.1909574243785816,8.244405864197532,0.11446810029420511,0.1693697494959123,2.193015781539535,5.8696369017768,0.20038681913674372,34.415796727309996,69916.15231870816,18528.129350908723
42,42,58.4714,12.9941,86,18.6125,0,93,123,32,128,23,0.99092,65.46497,0.0,0.0,0.03571,3.951,11.0803,0.0,0.0,120.0,34.91169,0.00849,2.12,1.241,-1.0,0.0,5.808030384699143,0.11816608738635502,0.0859484202300129,89.03821557349964,0.22116445491918463,0.49318627450980407,187.17868486909643,148.0587558874196,0.15764681971008404,82.8826074019694,0.18968324060303413,0.18824167348263518,0.19133172351057323,8.216483410493828,0.11475511688843955,0.16744448995056938,2.198915230175467,5.259297291358895,0.20020453179281958,34.47436862521701,69871.51897238512,18951.41172709878
43,43,59.0167,13.1458,87,18.9398,0,93,123,32,128,24,0.9832,66.06093,0.0,0.0,0.03571,3.944,11.16358,0.0,0.0,121.0,34.92972,0.00846,2.14,1.326,-1.0,0.0,5.813387692735569,0.12000585197885927,0.0857859246030897,87.97028363954158,0.21894155056048636,0.49318627450980396,186.95375447392152,148.29203941749915,0.1576531429195742,82.83612863439453,0.19134098192103668,0.18872930027666984,0.19167192164199898,8.129340277777779,0.11516229521985184,0.16558829443307677,2.20453890447673,4.867217733833942,0.19997439566241831,34.40013235586661,70320.27021569932,19853.80440525609
44,44,59.4659,13.3515,87,18.0957,0,93,124,33,128,24,0.98504,66.52301,0.0,0.0,0.0,3.995,11.29677,0.0,0.0,121.0,34.95121,0.00815,2.12,1.332,-1.0,0.0,6.032400994141157,0.12186576920205658,0.08591421416894952,92.98701092861694,0.21692931390802614,0.4923905882352942,186.73399377382717,148.69622258718871,0.1575889529954592,82.78431519921875,0.19319799867173326,0.18909593055843424,0.1919126925431747,8.230854552469136,0.11545802520600801,0.16380102964647328,2.202915489540892,4.8100083272503875,0.19942164720794778,34.22388863269193,70405.01805330011,20555.714030566254
