,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.5,tone,color_fulness,cubcol.0.6,noise,uhdhdsim,saturation,fft,cubrow.1.0,temporal,staticness,cubcol.1.0,cubcol.0.3,cubcol.0,cubrow.0.3,movement,contrast,cubrow.0,blockiness,cubrow.0.6,blur,cubcol.0.5
10,110,90.3068,13.4601,100,15.0944,0,104,125,28,127,18,0.97926,91.54934,0.0,0.0,5.10714,3.513,11.3899,0.0,0.0,125.0,45.47421,0.00387,0.51,4.599,-1.0,0.068073,0.24243814630619412,0.6170814509803881,163.1139361254115,0.31510767372142773,0.7865236155594889,81.28491629734799,30.75021117410542,73873.17418535567,0.12701369296221793,3.8666910702587725,286.8219969789453,0.2465199261149353,0.279261142171144,0.35999834923872776,0.3285378991480964,3.7075135030864197,96.4514857470604,0.31348271649571785,3.582859535277062,0.2523644329694499,66626.28891900233,0.319316615266459
11,111,90.3367,13.6222,100,15.6802,0,104,125,28,127,18,0.98502,91.60465,0.0,0.0,5.39286,3.531,11.55822,0.0,0.0,125.0,45.524,0.00344,0.51,4.539,-1.0,0.069367,0.2416571789854249,0.6175243137254902,163.15864944283115,0.3184095895421439,0.7903646565385448,81.24306257836224,30.750800615475505,73816.71733278871,0.1275627650726799,3.9286941631962264,285.8727853054959,0.2456243263032712,0.28021232427551046,0.3591825479240496,0.3268832200594577,4.370756172839506,95.32722429563705,0.31353428190146865,2.4398483664923147,0.25237596761914816,66619.5816491117,0.3181685698024836
12,112,90.408,13.8522,100,15.9703,0,104,125,28,127,18,0.98896,91.66961,0.0,0.0,5.82143,3.518,11.69838,0.0,0.0,124.0,45.55633,0.00351,0.52,4.813,-1.0,0.06896,0.2407056940973256,0.6175541176470588,163.20692817845284,0.3240872806951474,0.79036465653855,81.22688526120994,30.757385630666473,73938.1745763232,0.12929473848616296,3.915492748292883,284.9548514295453,0.24477750054458347,0.282596962196076,0.36027099370863824,0.3253882142832139,4.159191743827161,95.39584514166056,0.3134810679139694,2.301007021497634,0.25143463115910225,66978.72103955834,0.3179021699211726
13,113,90.4397,13.8842,100,18.3904,0,104,125,28,127,18,0.98736,91.72582,0.0,0.0,6.89286,3.527,11.89789,0.0,0.0,124.0,45.58669,0.00387,0.51,4.824,-1.0,0.063184,0.2398063884610107,0.618001568627451,163.19994961824665,0.32904226055781716,0.7896908362379703,81.23710972472651,30.795326515480326,73832.17510229128,0.1320046087516295,4.132755678223039,284.0410231191304,0.24336645499446913,0.2829321221527729,0.35919918597590156,0.32375669335490587,3.673996913580247,95.86463267600726,0.31349217160757287,2.6951520539725187,0.25052381575303195,67067.80506930758,0.317322724827709
14,114,90.5423,13.8867,101,17.7221,0,104,125,28,127,18,0.9877,91.85339,0.0,0.0,5.42857,3.536,11.92026,0.0,0.0,124.0,45.59994,0.00378,0.51,4.507,-1.0,0.071944,0.23835859174294796,0.6182929411764706,163.21845980534704,0.33202909733274666,0.7919880714743849,81.21969710575974,30.795011355553143,73788.56718661409,0.1341441997040625,4.0062810165527,283.14684834630305,0.2421513150029595,0.2823976142773748,0.3578541588543933,0.32227676719747467,3.6242283950617282,97.15769202141666,0.31353659943164486,4.262071949864099,0.249108596432163,67386.22796301462,0.3165057003267751
15,115,90.6107,14.082,101,17.9292,0,103,125,28,127,18,0.98763,91.95812,0.0,0.0,6.82143,3.544,11.92074,0.0,0.0,124.0,45.59999,0.00392,0.51,4.874,-1.0,0.068105,0.23728135751835613,0.6182623529411765,163.2952729579135,0.3353777923595997,0.7903646565385508,81.2493095250029,30.823467866874037,73825.24194011682,0.13597035137722474,4.018266627836788,282.2622229024766,0.24081368251638338,0.2823083491046103,0.35696321922457214,0.3212842617402964,4.6264467592592595,97.01923956571717,0.3135276267988513,3.5917370407727405,0.2475927155074952,67579.39151993374,0.3155262846618329
16,116,90.692,14.2679,101,18.0603,0,103,125,28,127,18,0.98006,92.07448,0.0,0.0,6.53571,3.525,12.08977,0.0,0.0,124.0,45.61077,0.00377,0.51,4.53,0.13117,0.066131,0.2365139765450195,0.6184854901960785,163.2888030195798,0.3353280045376891,0.7964233235608393,81.21186196194479,30.837877815152392,73896.29990620587,0.13749897620212453,4.066126902678165,281.41637998112594,0.23924319476779007,0.28218367069358996,0.35590507331542665,0.32071059417959435,5.126736111111111,97.16574326413938,0.31348595749672603,2.2135364370582007,0.24596919337818335,67896.02919335256,0.3148563375433128
17,117,90.723,14.354,101,17.7773,0,103,125,28,127,18,0.98842,92.10589,0.0,0.0,5.78571,3.523,12.24943,0.0,0.0,124.0,45.64742,0.00333,0.51,4.639,-1.0,0.074623,0.23521148722938648,0.6186937254901961,163.35422545741721,0.3350329510116957,0.7925822825817833,81.20764803505011,30.87738526897666,73979.27874919762,0.1394742340185394,4.157343311289291,280.5559996498732,0.23792091951978928,0.282427745926634,0.3546651891165141,0.32047777011333567,5.190827546296297,94.04346327932663,0.3132687952916601,2.3282397541128685,0.24463452674037303,68030.1890323715,0.31506393391235016
18,118,90.7222,14.5579,101,17.6705,0,103,125,28,127,18,0.98374,92.12054,0.0,0.0,6.25,3.524,12.32215,0.0,0.0,125.0,45.68354,0.0033,0.51,4.564,-1.0,0.068812,0.2344230709735447,0.6188960784313667,163.41765557655472,0.33374938836534535,0.7970175346682415,81.19186326104767,30.957540441442422,73973.6622538697,0.14100001011825564,4.160331410595513,279.7078792866143,0.23699220098963347,0.2823807982660273,0.353654992281265,0.32002617452579457,5.163387345679013,97.21805864806203,0.3130324151254866,3.386700361002766,0.2443130617368706,68043.27372621706,0.31526981801778753
19,119,90.6985,14.5552,101,18.2782,0,103,125,28,127,18,0.98212,92.09907,0.0,0.0,5.71429,3.526,12.49915,0.0,0.0,124.0,45.71304,0.00376,0.51,4.637,-1.0,0.0715,0.23428122557778436,0.619183137254902,163.47308907852843,0.3316693149602654,0.7970175346682341,81.23983986856882,30.98041751060957,73942.78670500068,0.14292653386957932,4.260363785931592,278.8643441971448,0.23625865593160655,0.28230308066477533,0.35285279968891387,0.31957376867412457,5.061101466049383,94.61266794584697,0.312865030641307,4.050305327506903,0.24396805424675666,67968.51223053884,0.315128200019897
20,120,90.7794,14.4826,101,19.0977,0,103,125,28,127,18,0.98347,92.17239,0.0,0.0,6.17857,3.525,12.49647,0.0,0.0,125.0,45.75088,0.00384,0.52,4.37,-1.0,0.073185,0.23386501209352734,0.6192427450980392,163.5055462342723,0.3300836483904346,0.7992351607114653,81.23800112733271,31.035758501217693,73942.44060103988,0.14439289234828923,4.2800727557479545,278.06997550190636,0.2354500433852194,0.28257163522316936,0.352200656813661,0.3192087460429477,6.171682098765432,94.01369655709217,0.3127099300771077,4.058344169877913,0.24365036544952023,68384.36687049673,0.313667301156134
21,121,90.8206,14.4547,101,18.3845,0,103,125,28,127,18,0.99353,92.19819,0.0,0.0,5.78571,3.538,12.43285,0.0,0.0,125.0,45.78067,0.00349,0.51,4.335,-1.0,0.073873,0.23439142882644612,0.619526274509804,163.48735246979487,0.3291126830041071,0.7986409496040703,81.20240595239986,31.123487119321467,73982.3079643372,0.14614472025542322,4.136891218748846,277.2690990719409,0.23474572847905462,0.2830782766608096,0.3516765498479754,0.3186613075944747,6.259741512345679,94.43740405786755,0.3126541046656116,2.676123925315364,0.24353795380134752,68412.86445784259,0.31214836493975495
22,122,90.8395,14.5481,101,19.1163,0,103,125,28,127,18,0.99057,92.25602,0.0,0.0,6.92857,3.525,12.41039,0.0,0.0,124.0,45.78129,0.00351,0.51,4.617,-1.0,0.0684,0.23538675545203622,0.6195176470588235,163.54597188852682,0.32787315401690686,0.8024819905831322,81.21226186344177,31.14286954903308,74022.19271054464,0.14729897908591824,4.068296592634055,276.48744861294347,0.23337889002679818,0.2834258079142606,0.3516545024731998,0.3181474169807381,6.21802662037037,97.2403655199506,0.31255756829733705,4.4163639038611215,0.24322221788120568,68493.74906514099,0.31224565985455516
23,123,90.8285,14.5768,101,18.4409,0,103,125,28,127,18,0.98806,92.27889,0.0,0.0,5.78571,3.513,12.48871,0.0,0.0,124.0,45.78575,0.00407,0.51,4.509,-1.0,0.062768,0.23619385785626945,0.6192725490196078,163.55328756603575,0.32599868990215125,0.8046996166263631,81.22534549527579,31.209047482337482,74022.4028422344,0.14805271886320873,4.251698628715807,275.7291560727338,0.2321091468922548,0.2834084728425708,0.3517502208518929,0.31780736926806114,6.134741512345679,94.63468262382904,0.3123868299666879,2.771763497720758,0.2433081916472527,68434.4627068322,0.31201012235637793
24,124,90.7867,14.5582,101,18.1085,0,103,125,28,127,18,0.98572,92.23722,0.0,0.0,6.03571,3.523,12.51381,0.0,0.0,124.0,45.79535,0.00356,0.51,4.328,0.12886,0.070169,0.23689072578381412,0.6191623529411765,163.60671745212863,0.3243734335480894,0.802481990583137,81.22543321446025,31.267104537398726,74071.04698862869,0.1489509327701356,4.119308039030561,274.9732013362224,0.23103315228432156,0.28347148370911107,0.35209380743720065,0.3173033426879726,6.432291666666667,94.57137539003334,0.3122388424335934,2.3758354838765614,0.2436557726698713,68551.5297100074,0.31199827016698817
25,125,90.7482,14.6135,101,18.9123,0,103,125,28,127,18,0.98609,92.17221,0.0,0.0,6.60714,3.519,12.50032,0.0,0.0,124.0,45.80876,0.00394,0.51,4.485,-1.0,0.075295,0.23730812380650898,0.6190054901960785,163.6167756917826,0.3233696491197204,0.798640949604074,81.24446495059539,31.354725778838734,74120.835549586,0.14928952403080264,4.093151599213751,274.2270564202335,0.22992655621161487,0.28349516222986776,0.3523394791496097,0.31679485093754395,7.131751543209877,94.62362213941721,0.3120963952318097,4.016305364906997,0.2440592246692035,68632.71490645171,0.3114265701440686
26,126,90.7521,14.5305,101,18.9097,0,103,125,28,127,18,0.98466,92.16713,0.0,0.0,5.67857,3.515,12.54345,0.0,0.0,124.0,45.8056,0.00371,0.51,4.768,-1.0,0.07152,0.23762326100406664,0.6192137254901962,163.6658296483114,0.32229754259195315,0.7996701534325056,81.22308517857276,31.383004459334007,74210.66636597527,0.1495149551750566,4.182545399764423,273.48974977059316,0.22900344798300099,0.2835769240017323,0.3515700715328982,0.3165522145322272,7.173707561728395,93.7756671933511,0.3119723825100295,4.789556915681193,0.24396403665946098,68617.91464292874,0.31068285863385076
27,127,90.6889,14.4325,101,19.1797,0,103,125,28,127,18,0.98381,92.1077,0.0,0.0,6.35714,3.516,12.47948,0.0,0.0,124.0,45.78287,0.00381,0.51,4.739,-1.0,0.06866,0.23805980263099782,0.6192184313725491,163.6890563289498,0.32173681319114367,0.7947999086250079,81.22286490005955,31.38127456476659,74222.43942194317,0.15032395155737097,4.168551213478492,272.76183266464557,0.22833694154394676,0.2836234526303412,0.350951063491459,0.31621203323841807,7.078510802469136,93.1421428640937,0.3120156252101424,4.365584818125726,0.24398072566757092,68241.69733123071,0.30984547287461844
28,128,90.6132,14.4282,101,18.9538,0,103,125,28,127,18,0.9776,92.04821,0.0,0.0,6.14286,3.532,12.39251,0.0,0.0,124.0,45.74199,0.0038,0.51,4.685,-1.0,0.070218,0.23771137791560118,0.6184321568627451,163.7480894675131,0.3216014691398644,0.8046996166263641,81.25842417714351,31.376684683340567,74212.5119399876,0.1501208028235034,4.133715229022218,272.0591760980781,0.22828838584438896,0.28359257809659966,0.35086442624416014,0.3162721613281674,7.044126157407407,96.74687631529538,0.31195170226770214,4.530722418225038,0.24401898057474244,68103.2290823613,0.30931312375185477
29,129,90.6228,14.4566,101,18.3815,0,103,125,28,127,18,0.98073,92.05006,0.0,0.0,6.71429,3.521,12.38415,0.0,0.0,124.0,45.72731,0.00386,0.51,4.611,-1.0,0.073183,0.23745122483665146,0.6184462745098039,163.74857371170953,0.3212665283998665,0.7998293718188668,81.25740638068794,31.384325003918306,74191.73813988487,0.15008571448491922,4.174992626622946,271.35591525923286,0.22827196821556858,0.28369755296584415,0.3512258809524228,0.31610382248046265,7.402536651234568,96.82093874097252,0.3119057101581089,4.537915244146909,0.24398704116180828,68077.31789476682,0.30893189940706184
30,130,90.5728,14.4422,101,18.0236,0,103,125,28,127,18,0.97713,92.01475,0.0,0.0,7.67857,3.536,12.41086,0.0,0.0,124.0,45.71512,0.00357,0.51,4.667,-1.0,0.06331,0.2376246565472027,0.6181345098039216,163.6692147922379,0.321271384246406,0.8018877794757402,81.2483204066625,31.360867535626447,74232.44560832181,0.1500034233504493,4.260661252751689,270.676115735118,0.22813213245275873,0.28369332672047715,0.35165124807439985,0.31611404290479367,7.74146412037037,96.89782797771676,0.3117736709713598,3.946892997680175,0.24401477469119692,68000.7393133359,0.3072203866109361
31,131,90.5845,14.4811,101,18.8565,0,103,125,28,127,18,0.98538,92.01601,0.0,0.0,7.78571,3.515,12.40317,0.0,0.0,124.0,45.71835,0.00356,0.51,4.446,-1.0,0.079552,0.23761121008233305,0.618096862745098,163.62907414178545,0.32101395877277905,0.8030762016905326,81.2279163106054,31.340553566261576,74067.02535484116,0.1500960774975849,4.146952746076244,269.99692115760394,0.22799991542309378,0.2838128497018901,0.3517099832466775,0.31634214154736257,7.68041087962963,97.01103797353016,0.3116834269315197,2.477515197183295,0.2443177672253671,68044.27573687842,0.30611451974902076
32,132,90.6075,14.5104,101,19.4181,0,103,125,28,127,18,0.98369,92.02219,0.0,0.0,5.42857,3.516,12.43524,0.0,0.0,124.0,45.72159,0.00381,0.51,4.743,0.12976,0.074357,0.23701907530611993,0.6181196078431372,163.59615286202563,0.3204247778124308,0.8024819905831385,81.23535718379247,31.290976818696954,74193.5322789343,0.1502085701170973,4.241152491180493,269.3371792115705,0.2278402531920225,0.2838730062751047,0.3521018770987211,0.31634386776001744,7.599344135802469,94.72618107721904,0.3115933926322862,4.191863853384151,0.2446366736870948,68132.56189586189,0.30482432418346883
33,133,90.5075,14.3729,101,19.4767,0,103,125,28,127,18,0.9764,91.9239,0.0,0.0,6.60714,3.522,12.46,0.0,0.0,124.0,45.71082,0.00366,0.51,4.505,-1.0,0.060379,0.2363732578091092,0.6181109803921568,163.61507980599313,0.32007294659280594,0.8030762016905362,81.26468223891244,31.240068035361208,74201.46168944101,0.1499527254036435,4.286158629810278,268.69202480203404,0.22765629492030987,0.28373353016221653,0.351851419222818,0.3165538784551054,7.591579861111111,92.82634338483095,0.3115392797902982,2.768612575993503,0.2447001777308018,67969.34301738975,0.30355708601156417
34,134,90.429,14.2233,101,18.5877,0,103,125,28,127,18,0.97242,91.8436,0.0,0.0,6.64286,3.516,12.34188,0.0,0.0,124.0,45.70593,0.00307,0.51,4.281,-1.0,0.062298,0.2358662750515174,0.6183270588235295,163.59810454146722,0.3197150240318729,0.8046996166263626,81.26023810523508,31.18783588173949,74064.84151101527,0.150304702004366,4.236961056201667,268.06334278244486,0.22763297967663745,0.2837413165530828,0.35193925110899643,0.3168217752096748,7.820023148148148,89.12622785579757,0.31152824708894367,4.579678132969596,0.24501395783267774,67609.22261394735,0.3027361907990819
35,135,90.4799,14.166,101,18.0428,0,103,125,28,127,18,0.97838,91.86855,0.0,0.0,5.89286,3.504,12.21028,0.0,0.0,124.0,45.71238,0.0036,0.51,4.296,-1.0,0.061978,0.23540089200996836,0.618178431372549,163.53658607446135,0.3197649019247215,0.7986409496040728,81.25629986678626,31.158602302457076,74032.39665230353,0.15028372321415648,4.120489724655026,267.45512732591607,0.22754973573915205,0.2838191490589555,0.3521998708237144,0.3172709480997335,7.976900077160494,94.32192949558058,0.3115875736938491,4.17992668274891,0.24503706445638107,67885.37964060978,0.3026348101115617
36,136,90.3999,14.176,101,18.0125,0,103,125,28,127,18,0.98128,91.78171,0.0,0.0,5.89286,3.507,12.16075,0.0,0.0,124.0,45.7179,0.0037,0.51,4.525,-1.0,0.063793,0.23487120647971146,0.6185435294117647,163.53208563982994,0.3202552634909693,0.7970175346682383,81.25204173406215,31.136552410361208,74122.1110297404,0.15013506194490486,4.169947415963814,266.8740074675382,0.2272731978534865,0.28397395382220675,0.35273748440252584,0.317755943651938,7.979793595679013,94.95196138384432,0.3115541309413933,3.730897663567018,0.2450896630250314,67804.86494752877,0.3015839343870823
37,137,90.2977,13.9429,101,17.9483,0,103,125,28,127,18,0.97663,91.68884,0.0,0.0,4.46429,3.497,12.17795,0.0,0.0,124.0,45.72154,0.00404,0.51,4.434,-1.0,0.063571,0.23427497697935354,0.6186466666666667,163.5955654997869,0.32082707577726527,0.8002643645399056,81.24963284061003,31.104295330283083,74037.54268072937,0.15008076406277107,4.413220014787361,266.30032540480715,0.22708352286633807,0.2839009358966854,0.3529755796193525,0.3183176758221627,7.962673611111111,96.23498860403787,0.31133762993081743,4.10644487496405,0.24516931641617176,67445.0053657941,0.30114253714383604
38,138,90.2321,13.9848,101,17.336,0,103,125,28,127,18,0.98722,91.628,0.0,0.0,5.07143,3.515,11.97959,0.0,0.0,124.0,45.7176,0.00379,0.51,4.54,-1.0,0.066891,0.23384642591488186,0.618178431372549,163.60164893586378,0.32079474310537187,0.8002643645399075,81.23765614825257,31.092623486930943,74042.24380929019,0.1500853886771869,4.127848713157253,265.7523597536785,0.2272447931090147,0.2840044668133408,0.3534906629464003,0.31902733297396035,8.023244598765432,96.35021209467995,0.3112486306368722,4.565840738178488,0.24499084841121077,67126.3608644595,0.30043758954150396
39,139,90.2785,13.8816,101,18.3052,0,103,125,28,127,18,0.98486,91.68056,0.0,0.0,5.03571,3.502,12.00581,0.0,0.0,124.0,45.72282,0.00347,0.51,4.362,-1.0,0.066637,0.23331463149810028,0.6181870588235294,163.57405480686987,0.3201013020878528,0.7970175346682394,81.21752419223759,31.07899927209925,74121.82721622371,0.15006094420331106,4.095413069662516,265.21695919523364,0.22739203726495266,0.28450759742715326,0.3546655821855265,0.31972487256430465,8.140673225308642,94.38522845224188,0.31114574502111847,4.380365824160863,0.2449532473666827,67370.11369725547,0.30043498878614844
40,140,90.2836,13.7703,100,18.0432,0,103,125,28,127,18,0.98071,91.65718,0.0,0.0,6.21429,3.514,11.91757,0.0,0.0,124.0,45.7254,0.00338,0.51,4.772,0.1286,0.061568,0.2329701199180622,0.6181635294117647,163.5115557293803,0.31930735150037104,0.7974525273892722,81.23171551768672,31.057676527235245,74004.60088566324,0.15008011925330936,4.074114806719778,264.704713849849,0.227495512519202,0.28490989608557515,0.35608603014338563,0.32040564711949976,8.24435763888889,96.91280534531829,0.31111722509204165,2.5074813720988947,0.24493923052584812,67211.14734248345,0.30062181446714725
41,141,90.2952,13.7298,100,17.0044,0,103,125,28,127,18,0.97763,91.64462,0.0,0.0,6.0,3.509,11.82277,0.0,0.0,124.0,45.73831,0.00367,0.51,4.816,-1.0,0.064747,0.2330100423867392,0.618653725490196,163.49368144148664,0.31842998148303336,0.7953941197324047,81.24944764953949,31.017593572169172,74053.81685310185,0.1501612795786613,4.217683716796221,264.1886350027684,0.2276117477990392,0.28463414493951045,0.35719705869942037,0.3211768400695149,8.235773533950617,97.07575744124158,0.31102969275090253,2.7185692068058547,0.2447582562090002,67207.10837187259,0.3013590425666621
42,142,90.3112,13.6871,101,17.3891,0,103,125,28,127,18,0.97838,91.66489,0.0,0.0,6.85714,3.506,11.78773,0.0,0.0,124.0,45.74955,0.0034,0.51,4.885,-1.0,0.059702,0.23306826378808074,0.618663137254902,163.5104702609992,0.31750534220435445,0.7942056975176133,81.24315380077226,31.03219604492187,74045.00007884878,0.15029835901444613,4.250767620855361,263.67764020139964,0.22775396127003902,0.28435408003568224,0.358219490058658,0.32204049580718924,8.271122685185185,97.16068858014776,0.3109131777890662,2.021455539351772,0.2446325121824349,67138.00737568107,0.3010587340952148
43,143,90.2777,13.6588,101,17.0242,0,103,125,28,127,18,0.98254,91.65032,0.0,0.0,4.85714,3.53,11.75617,0.0,0.0,124.0,45.74731,0.00309,0.51,4.79,-1.0,0.059307,0.23329876824968382,0.6189905882352942,163.45215921490063,0.31664192669669183,0.7970175346682424,81.2441692472634,31.015478817033177,73953.44881705998,0.1504785294346657,4.233538684627635,263.17066254526503,0.2279275073139581,0.28394720870775236,0.3591210245589416,0.3228440985776758,8.393856095679013,97.06450294332409,0.3107747974820071,3.0916427994772775,0.2443467466269697,67141.5588704506,0.30099463516198316
44,144,90.2361,13.8831,100,17.1027,0,103,125,28,127,18,0.9802,91.60316,0.0,0.0,5.03571,3.524,11.73391,0.0,0.0,124.0,45.74534,0.00309,0.5,4.609,-1.0,0.059288,0.23319626689604375,0.6192286274509804,163.46611579772105,0.3159086662442299,0.7931764936891789,81.22692745588895,31.013166074399596,73959.40857351755,0.15071576266382686,4.044807310365172,262.6607407934554,0.22826658403707875,0.28366799698663364,0.3601998686608097,0.32359042555168926,8.400270061728396,97.02773310964756,0.3106358761427932,1.8900192504610567,0.24425071675124715,66896.81599768304,0.3012620078771971
