,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,tone,temporal,cubcol.0,cubcol.0.3,cubrow.0.3,contrast,saturation,movement,cubrow.0,uhdhdsim,cubcol.0.5,cubcol.0.6,cubcol.1.0,cubrow.0.6,color_fulness,cubrow.1.0,cubrow.0.5,blur,fft,staticness,blockiness,noise
10,10,48.9441,18.1847,30,19.8062,0,118,113,13,137,13,1.00398,45.27358,0.0,0.0,4.92857,5.155,16.32874,0.0,0.0,128.0,26.84254,5e-05,0.32,1.454,-1.0,1.300455,0.387976862745098,4.714368963446564,0.07771337135972183,0.11506692405937198,0.18579596376249072,87.38528653409325,61.6384166199484,7.305989583333333,0.24242398868873996,96.24297377711285,0.07450556512576634,0.07863533611905503,0.08296930269644673,0.09419323722801774,76.63505142883095,0.07058588500127222,0.10577124250807796,19135.33235713062,66459.48975096937,501.0285793723699,1.0084205797316967,0.32099279623325416
11,11,48.6767,18.2747,29,19.4526,0,118,113,13,137,13,1.00211,45.04911,0.0,0.0,5.82143,5.282,15.61706,0.0,0.0,127.0,27.05752,4e-05,0.32,1.393,-1.0,1.352552,0.39338392156862756,4.551920799002433,0.07803042689632589,0.1149726927007997,0.1856504864209963,89.1838421833527,61.75895464861835,7.585021219135802,0.24219002801106285,96.32444659719317,0.0805259823309346,0.0826462417707152,0.08248291363183474,0.0928091261948723,77.52827666882038,0.07120266050607037,0.10392919937364557,18707.545124826403,66266.20219606065,497.6808637007445,1.2300933502030535,0.31936938129741566
12,12,49.2098,18.2937,30,17.8482,0,118,113,13,137,14,1.00041,45.58293,0.0,0.0,5.0,5.217,15.68696,0.0,0.0,127.0,27.11978,2e-05,0.31,1.444,-1.0,1.266168,0.3933870588235295,4.422714202055774,0.07808202672943114,0.11492168180516177,0.18562861912761658,88.92416182121407,61.92810830952209,6.973958333333333,0.2422670299503299,96.1645732509511,0.0800024123527529,0.08199738882174382,0.08461719677154596,0.09202665075264047,76.5507629815943,0.07237043540953682,0.10256164329931079,19357.532991240772,66334.3004389769,494.8746726179301,1.2107056386809538,0.3209927962332551
13,13,49.3028,17.4186,30,18.9688,0,118,113,13,137,14,1.00332,45.69259,0.0,0.0,3.96429,5.306,15.70533,0.0,0.0,127.0,27.1541,3e-05,0.32,1.65,-1.0,1.27979,0.3965027450980392,4.497923689374032,0.07788373909561624,0.11512791077794345,0.18588427473488436,89.10683724761397,61.99742352520978,6.412326388888889,0.24202858246349884,96.1376994419648,0.08289085291167324,0.0852266872717988,0.08598677953274458,0.09136930001662612,75.85184788441296,0.07283842844687413,0.10286613117639015,19450.918423260355,66523.3900962574,492.49735967743993,1.2456031468697228,0.320992796233255
14,14,50.0982,17.2614,31,18.5905,0,118,113,13,138,14,1.00196,46.39256,0.0,0.0,4.53571,5.358,14.95157,0.0,0.0,126.0,27.21799,6e-05,0.32,1.594,-1.0,1.329642,0.3995346666666666,4.240987649239024,0.07818958167998863,0.11554936161503179,0.18622443491571752,87.58280137042696,62.078478212709776,6.087577160493828,0.24186780836197155,96.00670191553183,0.08458267828031024,0.0913400892571954,0.09223562295703652,0.09089083507006188,75.88315939035294,0.07315774936817787,0.10117363092968608,20481.39437859793,66604.13280947668,490.500066451848,1.0572501184054002,0.3209927962332548
15,15,50.3417,17.4958,31,18.0135,0,117,113,13,138,15,1.00086,46.64517,0.0,0.0,4.85714,5.378,14.81495,0.0,0.0,126.0,27.22106,2e-05,0.32,1.754,-1.0,1.303177,0.4024690196078431,4.287207413771045,0.07852444158129894,0.11530198589888305,0.18677341341388984,87.86884005817724,62.40222601243007,6.997395833333333,0.24178783931811343,95.94685198342017,0.08499547319152574,0.08865338585915238,0.09131914784589654,0.09034924841041572,76.85971006558488,0.0733551272012685,0.09965314382323914,20749.705073868055,66484.91336574651,488.84658996949037,1.2384774685377904,0.3209927962332555
16,16,50.4183,16.4705,31,17.2205,0,117,113,13,138,15,1.0016,46.71121,0.0,0.0,5.35714,5.415,15.01583,0.0,0.0,125.0,27.30592,6e-05,0.31,1.587,0.34234,1.300335,0.4062155098039215,4.192514560164503,0.07876354128042364,0.11531853130578805,0.18744905039502494,88.17151683021252,62.628161395037615,7.665702160493828,0.24181035127732795,95.92198595817919,0.0856443043910715,0.08779613100557732,0.0913489600526921,0.0900986375282103,77.97007049883926,0.07380649481048056,0.09863566578084179,20832.59460241626,66409.98449272607,487.4739147473726,1.0162454205514295,0.32099279623325555
17,17,52.5401,16.7338,32,21.1961,0,117,113,13,138,16,0.99907,48.63069,0.0,0.0,4.5,5.319,14.14804,0.0,0.0,125.0,27.69992,6e-05,0.31,1.629,-1.0,1.297994,0.4087200000000001,4.36685774146672,0.07903421798037828,0.11577535806195106,0.18807624113707508,88.11571880859124,62.96311913007572,7.866174768518518,0.24186771913733132,95.62359316588443,0.09251666141237615,0.08712977939126397,0.08921638775589986,0.09005011366777577,79.14700351272384,0.07488704979063648,0.10137435822578274,23794.201613625733,67194.92563618334,486.4284654380235,1.0605343959806146,0.3209927962332594
18,18,51.252,16.8602,32,19.3233,0,117,113,13,138,16,1.00503,47.49528,0.0,0.0,5.17857,5.387,14.37297,0.0,0.0,125.0,27.95988,4e-05,0.31,1.665,-1.0,1.275503,0.4182972549019609,4.250182212113094,0.07925168093124799,0.11634180893330605,0.18886210466376158,86.20360366940139,63.136580478997885,7.82740162037037,0.2419194937746456,95.78251169182568,0.09544544170668505,0.08701091168153079,0.08813016443026925,0.08966413993281068,80.11502287135036,0.07693599932147223,0.09950898404005735,21838.489961397645,66715.68774994912,485.8111457735689,1.2653673952225615,0.32321042227648317
19,19,50.8055,17.8695,31,19.0315,0,117,113,13,138,16,1.00194,47.10952,0.0,0.0,5.89286,5.374,14.47834,0.0,0.0,125.0,28.06847,8e-05,0.32,1.503,-1.0,1.247811,0.42949647058823537,4.291284836334393,0.07944754897018783,0.1165303275065894,0.18964171973197283,85.76811119227521,63.15630632565345,8.05295138888889,0.241922562237056,95.81378100762932,0.09286625734031452,0.08748655445776247,0.08692311154202569,0.0888861840079116,80.66263145091456,0.07846835818425187,0.09829877459958762,21316.635375398982,66690.32412714628,485.36705937236644,1.0693747019575357,0.32321042227648517
20,20,50.6051,18.7043,31,19.0991,0,116,113,13,138,16,1.00338,46.97425,0.0,0.0,7.39286,5.323,15.34199,0.0,0.0,125.0,28.03604,8e-05,0.32,1.713,-1.0,1.243531,0.4306058823529413,4.434558811989744,0.07961887518084346,0.11691311724775372,0.18992752158158768,88.42238297165854,63.09053868423273,9.955005787037036,0.24200472113880428,95.84137192737423,0.09138942252031387,0.08932507719011393,0.08581189464635838,0.08818070445777164,80.96180883431236,0.07968648931315683,0.09733604810660508,21319.848425657074,66672.99373860513,484.8283749501704,0.8912577529518362,0.3232104222764877
21,21,50.4308,19.1147,31,19.4737,0,116,114,13,138,17,1.00125,46.84115,0.0,0.0,6.46429,5.296,16.05574,0.0,0.0,125.0,28.02086,7e-05,0.32,1.606,-1.0,1.247572,0.4282686274509804,4.61778695960749,0.07976215357734384,0.11707232909093582,0.19045946067256816,89.40945909792332,63.028828938802086,10.534095293209877,0.2419743158236325,95.83949912570773,0.09097037051935865,0.08845808045724016,0.08512202577423092,0.0875560113200363,81.15082262696887,0.07991269812813441,0.09653240074100429,21240.70761040327,66470.54559343585,484.39077576237656,1.0690052114052508,0.3232104222764894
22,22,50.0442,19.0347,31,19.6072,0,116,114,13,138,17,0.99683,46.53597,0.0,0.0,4.17857,5.259,16.40197,0.0,0.0,125.0,28.05307,5e-05,0.32,1.726,-1.0,1.253505,0.42614841176470575,4.73837236938016,0.0796725720604567,0.11694971510119904,0.19045058259178285,88.05528873634707,63.12664022563417,11.128954475308642,0.24200074347971948,95.86188954786151,0.09029607409135701,0.08821063542280015,0.08453891434876015,0.08695865839116665,81.32827495261257,0.07990822271629093,0.09599973329362134,20735.96440843406,66425.51649413908,484.0564846843336,1.367450339335265,0.3254280483197129
23,23,49.7608,19.2143,31,20.4323,0,116,114,13,138,17,1.00154,46.27317,0.0,0.0,3.28571,5.275,16.33527,0.0,0.0,125.0,27.96909,6e-05,0.32,1.696,-1.0,1.237336,0.42526156862745107,4.695293332874814,0.07978545517590661,0.11678835013338337,0.19056262828176532,91.28948779131768,62.985849451135714,11.685378086419753,0.24212672572271898,95.94340915854391,0.08988645589587287,0.08719241125893658,0.08522233480661562,0.08646885302343033,81.34060267874244,0.07954961442837657,0.09569489348486934,20306.095057250932,66373.06552541551,483.59076731602477,1.039787476144312,0.32542804831971567
24,24,49.5674,19.6929,31,21.048,0,116,114,13,138,17,0.99916,46.1008,0.0,0.0,4.32143,5.267,16.48705,0.0,0.0,125.0,27.86686,6e-05,0.32,1.554,0.34902,1.226756,0.42397574509803904,4.852870064737602,0.07992683507179488,0.11651312139011383,0.19064948978547766,92.67183792509454,62.7422065263913,12.201822916666666,0.24207345429435248,95.9820452102089,0.09042500702573072,0.0865857527858411,0.08403567595256128,0.08603667183114277,81.08069639744451,0.07917413180203689,0.09502840407274923,20074.85264903722,66409.72840215941,482.8488612087273,0.8270618329489087,0.32542804831971034
25,25,49.5654,20.3579,31,22.9821,0,116,114,13,138,17,1.0003,46.10957,0.0,0.0,3.82143,5.25,16.89525,0.0,0.0,125.0,27.90057,7e-05,0.32,1.714,-1.0,1.174076,0.4255294117647059,4.826202034752266,0.08000635007382381,0.11624064639813132,0.1907208593596508,87.70966058031266,62.630987285095976,13.113715277777779,0.2420881446436451,95.98620206178337,0.09404684792448474,0.0867430736999682,0.08364360473724783,0.08568375325779286,81.30367545453284,0.0787147347946387,0.09452890948298065,20150.108037062317,66503.34452256522,481.8871787666984,0.8106129629873785,0.3254280483197191
26,26,49.7943,21.0204,31,22.0472,0,116,114,13,138,16,0.99866,46.31287,0.0,0.0,3.28571,5.245,17.46304,0.0,0.0,126.0,28.05034,4e-05,0.31,1.572,-1.0,1.179972,0.42945098039215684,4.922089203484392,0.08003933734303723,0.11579653616319696,0.1909637859430632,87.98438445717797,62.4217783610026,13.520302854938272,0.24218912628704067,95.9748663790204,0.09222089549716733,0.08743647318196587,0.08294792891866287,0.0853393755291692,81.41725572860427,0.0783803589471832,0.0944076416885902,20464.037228563822,66565.9962962701,480.8289146786151,1.1532451899493321,0.32542804831971983
27,27,49.8249,21.622,31,22.8075,0,116,114,13,138,16,0.99882,46.33489,0.0,0.0,4.60714,5.245,18.0345,0.0,0.0,125.0,28.18772,3e-05,0.42,1.556,-1.0,1.171982,0.4345113725490196,5.020654068056325,0.08011750599024466,0.11545115865846785,0.19104123274330415,86.96138082822041,62.188844092098286,13.714409722222221,0.24225581807580548,95.99446341687587,0.09166253681845422,0.08725077225065003,0.0824199799085282,0.08499363855459427,81.32035272514155,0.0783484602767536,0.09364016821997583,20546.04419594426,66720.06266224313,479.58836678817835,1.2174536004709762,0.3314867153420088
28,28,49.1343,22.0534,30,24.545,0,116,114,13,138,16,0.99979,45.71137,0.0,0.0,3.53571,5.247,18.55038,0.0,0.0,125.0,28.26473,5e-05,0.42,1.611,-1.0,1.184699,0.43574149019607833,5.058040509046192,0.0802063537108356,0.11593169380117521,0.1912057530225283,88.36741927011666,62.14743757836613,13.892843364197532,0.2423585748796334,96.0390371168341,0.09106379507163648,0.08762134540767294,0.08223355132176875,0.08492089641024729,81.09942736813859,0.07844227751290814,0.09308066134453506,19982.92913595465,66640.82156043603,478.28111502768263,1.2042238680025634,0.3353277563210781
29,29,48.5722,22.5117,30,25.1746,0,116,114,13,138,16,0.99941,45.19117,0.0,0.0,5.89286,5.349,18.92142,0.0,0.0,125.0,28.33848,6e-05,0.42,1.662,-1.0,1.189492,0.4372727843137246,5.162333703690736,0.08023824161315718,0.11529746213540659,0.19152002853016525,85.94244271650803,61.91121626488957,15.128858024691358,0.24247033169066184,96.09906685813976,0.0906216153069324,0.08739510817209174,0.08225460373950805,0.08470972539590856,80.94148996670795,0.07826006724995059,0.09256349140463643,19519.625128451964,66684.51377553311,477.1300770134912,1.2697506868868307,0.3331101302778375
30,30,48.1422,22.6967,30,25.0814,0,116,114,12,138,16,1.00155,44.80608,0.0,0.0,4.10714,5.33,19.31331,0.0,0.0,124.0,28.43983,5e-05,0.32,1.541,-1.0,1.218976,0.44275607843137255,5.20926772482558,0.08027727582074051,0.11507898861032388,0.19185962837647047,90.52358588200198,61.87764353811005,15.455922067901234,0.24253142455945534,96.18928920868748,0.09001698772500585,0.08712183256271996,0.08292619370100927,0.08470057241682642,81.1562751729074,0.07818232740830026,0.09206685958214939,19092.0316383173,66648.5033457223,476.1156016279028,1.0665621366118305,0.33311013027784037
31,31,48.3215,22.83,30,23.7877,0,117,114,12,138,16,0.9984,44.97623,0.0,0.0,5.57143,5.284,19.47255,0.0,0.0,123.0,28.46684,0.00012,0.32,1.519,-1.0,1.278065,0.4482211764705881,5.230424538838266,0.08035662056727458,0.11505373157375355,0.1919541571645842,89.95699740249755,61.63707478841146,15.575231481481481,0.24261717007314298,96.16779698074795,0.08941064072819452,0.0865180686547643,0.08395150010790049,0.0848757908865198,81.083625000956,0.07783599769459176,0.09151565357873523,19200.05504249912,66572.73382882241,475.1333244891694,1.1042898443914324,0.3331101302778512
32,32,48.7439,23.0901,30,25.5128,0,117,114,12,138,16,1.00204,45.37642,0.0,0.0,5.67857,5.193,19.59587,0.0,0.0,121.0,28.49229,8e-05,0.31,1.527,0.30298,1.289881,0.4527019607843137,5.291734424690134,0.0802285917417948,0.11510346876960856,0.1921316121560991,92.02115732976104,61.53826150776427,15.420380015432098,0.2427318614800975,96.1592863243444,0.08895303004256745,0.08623557391361433,0.08443102093106929,0.08514857427048024,80.83167415571506,0.07754730403980599,0.09087273331630549,19745.54505820949,66552.38626392593,474.08856163234435,1.1950194506567595,0.3331101302778438
33,33,48.9352,19.6695,30,25.6331,0,117,114,12,138,16,0.99864,45.57932,0.0,0.0,5.85714,5.283,19.81912,0.0,0.0,123.0,28.87429,7e-05,0.42,1.573,-1.0,1.259098,0.4645827450980393,5.218255564168284,0.08007904961430376,0.11528913403612537,0.19236375725820135,88.61350598570267,61.64284223391686,15.756462191358025,0.24276836831445175,96.18630933543488,0.08853397093059184,0.08582554368399167,0.08485920018716071,0.0853393422731497,82.01337243555326,0.07839300847895868,0.09005251237195655,19730.743326243093,66528.55752094423,473.2275995887104,1.247726291343331,0.3375453823642955
34,34,48.4897,21.8675,30,24.4172,0,118,114,13,138,16,0.99806,45.15992,0.0,0.0,4.57143,5.162,16.88649,0.0,0.0,124.0,28.88726,7e-05,0.31,1.692,-1.0,1.240226,0.46124952941175995,5.241442433352693,0.07989232868796252,0.11524895839920875,0.1923328243418913,92.38194802741741,61.491584683641975,15.573302469135802,0.24257115625314082,96.26280219099644,0.08807344525619866,0.08543736122266998,0.08504266827155478,0.08561873473707465,81.41064244628791,0.07822012334074599,0.08942513143646395,19140.460984087975,66345.08748329223,472.454698879481,0.9989604067029215,0.33532775632106865
35,35,47.2815,21.7169,29,26.4579,0,118,114,12,138,16,0.99815,43.99434,0.0,0.0,3.60714,5.235,18.76313,0.0,0.0,125.0,28.81321,7e-05,0.31,1.547,-1.0,1.300169,0.45388274509803916,5.199388074477865,0.07962697059134734,0.11535690228956785,0.19145901452160338,89.23536709261536,61.65540699899933,14.997492283950617,0.24233762334731654,96.47686529454762,0.0877049395151095,0.08537156163293864,0.08497965612536124,0.0858736062801414,80.52334330322728,0.07867606926100999,0.08897003499916453,18138.60413348714,66379.53766832684,471.74766591981574,1.2496030477570312,0.3254280483197134
36,36,45.8879,21.2089,28,25.3634,0,118,114,12,138,16,0.99697,42.63778,0.0,0.0,5.32143,5.301,18.63484,0.0,0.0,126.0,28.83267,0.0001,0.31,1.499,-1.0,1.314042,0.44849754901960676,5.031645132478793,0.07941948173030432,0.11540324610173354,0.18985242873824876,86.94895212703145,61.97303093804254,14.117283950617283,0.24210434221953325,96.67409290088854,0.08736603769989318,0.08511869586587222,0.08502485098239111,0.08617025884428534,80.27772718250054,0.07925519299859977,0.08868816811160096,16818.599727720557,66151.65309623601,471.1720190864819,1.2245067679547903,0.3232104222764846
37,37,44.8101,20.8356,28,22.8511,0,117,113,12,138,16,1.00018,41.59998,0.0,0.0,3.57143,5.377,18.2024,0.0,0.0,125.0,28.8899,5e-05,0.31,1.573,-1.0,1.294758,0.44186352941176477,4.922796385603941,0.07936073622175273,0.1154996136310773,0.18774654132811577,87.60427612435205,62.284095858350206,13.437837577160494,0.24190850047592366,96.79243561019817,0.08698342962239852,0.08469577964199719,0.08516673457238583,0.08683732083895708,80.5015580931844,0.0785048234436253,0.08860086285875558,15807.106230771004,65920.22138987044,470.7126685610075,1.1134444202244118,0.3209927962332561
38,38,45.268,20.3196,28,19.4423,0,117,113,12,138,16,0.99345,41.96743,0.0,0.0,5.82143,5.345,17.88265,0.0,0.0,125.0,28.92681,5e-05,0.31,1.568,-1.0,1.303522,0.4407525490196078,4.746164962833031,0.07930553080791282,0.1155126675114873,0.18596209429816565,92.13894667788178,62.424512509946474,12.847608024691358,0.2418393217948798,96.75674063416308,0.08661715039435568,0.0843979247673707,0.08507665348874666,0.08710008665732394,80.13079051284558,0.07831913231924796,0.08856279581359298,16377.987300443634,65986.0124026811,470.2833977785644,1.0888266010757972,0.32099279623325455
39,39,46.1273,19.4221,28,20.3563,0,117,113,12,138,16,0.99793,42.73428,0.0,0.0,4.14286,5.191,17.43965,0.0,0.0,125.0,28.6619,6e-05,0.31,1.526,-1.0,1.302853,0.43434980392156863,4.648773065791931,0.0792783916976473,0.11536136550944061,0.1847902384758638,89.21400134880184,62.306899647653836,12.132716049382717,0.2418933717366494,96.55272260777849,0.08621021178910307,0.08411390490908252,0.0847462703048935,0.08750163197833624,79.32865343385198,0.07810075334276603,0.08839609726109204,17196.746727604168,66205.58038965982,469.70173974171547,0.8904684468321546,0.3209927962332549
40,40,46.7126,18.4298,29,23.233,0,117,113,12,138,15,0.99329,43.29417,0.0,0.0,7.28571,5.221,16.67164,0.0,0.0,125.0,28.37571,5e-05,0.32,1.513,0.30723,1.258441,0.42898784313725485,4.795306739358499,0.07929685921182007,0.1155179649857465,0.18403504378673408,87.72204567660904,62.143909407250675,11.756992669753087,0.24179012930433177,96.48268354796203,0.08574921494167752,0.08377216692908428,0.084564029299235,0.08775656654455241,78.88448659997279,0.07770874868157333,0.08809974438151895,17390.03650131133,66168.129298052,468.9805391044321,0.9299718918913794,0.3209927962332558
41,41,47.6889,18.069,29,22.3636,0,117,113,12,138,15,0.99689,44.21066,0.0,0.0,6.35714,5.287,15.81438,0.0,0.0,125.0,28.27839,5e-05,0.31,1.451,-1.0,1.298796,0.42538235294117643,4.7337365918085865,0.07935068421651488,0.11605907550931392,0.18353256921469452,87.07033223225267,62.02651318208671,11.413242669753087,0.2417897776884476,96.43049505943098,0.0853707988425595,0.08352446932835207,0.08398988106533632,0.08805159945486352,79.07913091741165,0.07747158491572527,0.08791198290652924,18170.689304355037,66157.2847544315,468.1293756884718,1.1514661596471485,0.32099279623325583
42,42,48.7593,18.2498,29,20.8325,0,117,113,12,138,15,1.00143,45.17714,0.0,0.0,5.21429,5.159,15.50089,0.0,0.0,125.0,28.0185,8e-05,0.32,1.471,-1.0,1.333376,0.4192619607843137,4.659791114189633,0.07958223679344222,0.11549508836027887,0.1834098841417191,88.50058294859558,62.15493661385996,11.516541280864198,0.2418484997590255,96.27630179954662,0.08499751728229675,0.08334026809087781,0.08337211977870704,0.08874592888467554,79.4728878480742,0.077380551454121,0.08783326979637185,19356.927107249965,66371.47402221145,467.2065379326324,1.3176707302428756,0.32099279623325466
43,43,49.4897,17.9778,30,20.1341,0,117,113,12,138,15,1.00057,45.82531,0.0,0.0,4.32143,5.139,15.65935,0.0,0.0,125.0,27.72762,5e-05,0.31,1.549,-1.0,1.320432,0.41597521568627427,4.786445054825145,0.07978049620332524,0.11507446201015803,0.1833774288899145,89.23643636735964,62.41283049406828,11.644675925925926,0.24184588066686116,96.1573321799372,0.0845994690643907,0.08314691784307875,0.08292492089755332,0.08865941719324467,79.67015300991702,0.07726301320743077,0.08769413750705812,20328.219268975703,66572.83844320626,466.27630845159706,1.6240647830828703,0.3209927962332548
44,44,50.1479,17.7151,30,21.0782,0,117,113,12,138,15,0.99965,46.37441,0.0,0.0,6.25,5.139,15.43016,0.0,0.0,125.0,27.4639,8e-05,0.32,1.519,-1.0,1.31211,0.41620378431372307,4.721954938650308,0.08000431254961515,0.11466349119346438,0.18341007669576606,88.81734192701705,62.7718046211902,11.897183641975309,0.24195541793710104,96.11683174391216,0.0842561284388522,0.08302984898849687,0.08372692959840028,0.0886164331074648,79.99520561708488,0.07706396760917035,0.08773203195503622,21287.79310694101,66770.7410198604,465.38181417152157,1.4601310682616853,0.32099279623325483
