,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,saturation,noise,blur,cubrow.0,movement,contrast,staticness,cubcol.0.6,cubcol.0.3,tone,cubcol.1.0,cubrow.0.6,blockiness,cubrow.0.5,cubrow.1.0,color_fulness,cubcol.0.5,uhdhdsim,temporal,cubcol.0,fft,cubrow.0.3
10,410,51.4793,20.4797,42,19.3377,0,119,114,19,137,18,1.00244,52.39242,0.0,0.0,2.5,5.216,17.32013,0.0,0.0,127.0,29.64084,2e-05,1.61,1.341,-1.0,0.0,59.89171233000579,0.5642521250051352,24211.261453312527,0.24364439857909043,7.324025848765432,87.3343831980316,515.2997348999066,0.0931248724068358,0.13904639275714903,0.455795784313725,0.12660635715595175,0.11543617286052289,1.2370761955708145,0.13943343685947993,0.10896174978083704,87.2287908701904,0.09034423422299066,95.35229875647417,5.13639208300936,0.08585265477779161,67552.34564888923,0.21869893882339075
11,411,51.6682,20.4039,42,20.0962,0,119,113,19,137,18,1.00175,52.62058,0.0,0.0,3.5,5.169,17.59018,0.0,0.0,127.0,29.5622,2e-05,1.61,1.419,-1.0,0.0,60.01774032027634,0.5703107920274091,24600.12359491919,0.24479341988734532,8.100935570987655,87.57965349700935,511.5072149551809,0.09461244020949185,0.14047499293749607,0.45007152941176454,0.12629646560323232,0.11518418234920105,0.597002860075683,0.1407767387512349,0.10943133114209107,87.56738779260834,0.08968245866049059,95.29878678920512,5.234004927492762,0.08603180572034147,67672.62496083564,0.2189721254218822
12,412,51.9629,20.2896,42,18.6672,0,119,114,19,137,18,1.00766,52.9118,0.0,0.0,3.71429,5.125,17.52307,0.0,0.0,126.0,29.5051,4e-05,1.61,1.527,-1.0,1e-06,59.980826860592686,0.5680931659841842,25172.102382450965,0.2458198871262199,7.765721450617284,87.99255951239729,507.91104308819456,0.09231497218995324,0.1407854470957907,0.44445019607843145,0.12594030649442287,0.11599308460197308,0.7548743200363554,0.1402969113024035,0.10934535349207584,87.77961871391928,0.08940834782212702,95.26906314842236,5.223223853041479,0.08635673232428355,67758.83394914222,0.2188414777512767
13,413,52.2096,20.6495,43,18.8954,0,119,114,19,137,19,1.00313,53.16504,0.0,0.0,3.75,5.184,17.42626,0.0,0.0,126.0,29.44795,4e-05,1.61,1.544,-1.0,1e-06,59.90652974446614,0.5680931659841838,25612.458129895407,0.24695795000750856,7.243393132716049,87.29259361061816,504.6932030097697,0.09216986729595968,0.14175478492151256,0.4435871568627451,0.12563738137566285,0.1165398265917355,1.1885169406639788,0.13974929881683468,0.10901228265588198,87.9394376870998,0.08938496281757141,95.2642735012874,4.94471138870537,0.08662903049464543,68014.858516864,0.21900214267778798
14,414,52.5379,20.8125,43,19.4296,0,119,113,19,137,19,1.00327,53.50692,0.0,0.0,3.21429,5.199,17.73629,0.0,0.0,126.0,29.45018,3e-05,1.62,1.392,-1.0,0.0,60.102998709973,0.5703107920274132,25951.34681128355,0.2482559546050984,6.896797839506172,85.41037615355846,501.8942265516789,0.09627883623081254,0.14186415576453676,0.4469658823529412,0.12548348507362142,0.11636543011194324,1.243792606821839,0.13926875709689265,0.10892960563478087,88.1707423050211,0.08924557163859864,95.22311094761314,5.1329340028509485,0.08686560361583115,68069.90294818788,0.21900173411514667
15,415,52.7283,21.0286,43,18.6129,0,119,114,19,137,19,1.00428,53.69341,0.0,0.0,3.07143,5.164,17.87719,0.0,0.0,126.0,29.50256,4e-05,1.61,1.407,-1.0,4e-06,60.02407215259693,0.5680931659841896,26115.096101594416,0.24953478283349442,8.17505787037037,85.78570056315512,499.2611293302598,0.09778338547607615,0.14238300536574705,0.4507086274509804,0.125331412160498,0.11617472890332636,1.011206690804268,0.13866885676782392,0.10906926715314459,88.2695384161318,0.08922990440962598,95.20143407353129,5.045258658821526,0.08703933186185628,67972.12604881283,0.21931667287878476
16,416,54.2265,20.3716,44,20.8514,0,119,114,19,137,19,1.00157,55.08245,0.0,0.0,2.28571,5.132,18.06417,0.0,0.0,126.0,29.67276,1e-05,1.61,1.48,0.12577,0.0,60.021407892674574,0.5741518330064811,28314.637801829675,0.25040745430892425,8.972029320987655,83.95463698918212,496.84697115943294,0.09928333289054841,0.1426370240007487,0.4516194705882352,0.12508664242449483,0.11593228311145448,1.1400440581655886,0.13819484760423664,0.10930277499102234,88.5729056554502,0.08979481390476175,94.98709497142721,4.9814997891375,0.0871852643287223,68365.91953486354,0.2195167224858557
17,417,53.8336,22.197,44,20.7802,0,119,114,19,137,19,1.00074,54.80071,0.0,0.0,2.85714,5.205,17.50622,0.0,0.0,126.0,29.74594,2e-05,1.61,1.533,-1.0,3e-06,59.82641413182388,0.5703107920274225,27608.481417313604,0.2510466405807019,9.036072530864198,83.67910186029813,494.7636560430544,0.09915622525666326,0.14253101038373714,0.4530811764705882,0.12504996223624235,0.1158598104505753,1.4904905698468305,0.13774055215553316,0.1091285000458553,88.56411663271517,0.09038127706632286,95.06143089201841,5.137172902311225,0.0872351245324687,68274.41720715909,0.2196491323485301
18,418,53.471,23.1055,44,20.9545,0,119,114,19,137,19,1.00077,54.51015,0.0,0.0,3.21429,5.206,19.07122,0.0,0.0,126.0,29.72334,2e-05,1.6,1.33,-1.0,0.0,59.60971238878038,0.5741518330064862,27011.099317877688,0.25166117610395006,9.341001157407407,84.79500451639635,492.9520955812693,0.10259180079497127,0.1423696578735857,0.45426,0.125091542064655,0.11585067155144588,2.096219138797275,0.1371804891097199,0.10885149388461651,88.59000125025304,0.09186844845607121,95.10710115223951,5.16733147977886,0.08725751774730175,68104.55487434297,0.21963286860107575
19,419,53.4658,23.757,43,20.6305,0,119,114,19,137,19,0.99866,54.51018,0.0,0.0,2.78571,5.199,19.84546,0.0,0.0,126.0,29.73455,2e-05,1.61,1.554,-1.0,0.0,59.33187376422646,0.5725284180706477,26900.08174128917,0.252274444464169,9.71701388888889,87.09687338802026,491.29273570012646,0.10481013425569806,0.14229150704716478,0.45498666666666665,0.12513182884487759,0.11576038171991837,1.659872671467146,0.136561840829671,0.10871793769355362,88.53287459632898,0.09530939969717982,95.1108119689919,5.140519339070721,0.0872644225387572,68056.64483133753,0.21981393481374464
20,420,53.4394,24.2401,43,20.3608,0,119,114,19,137,19,0.99814,54.47715,0.0,0.0,2.46429,5.201,20.40584,0.0,0.0,126.0,29.79194,2e-05,1.61,1.463,-1.0,0.0,59.12237756046248,0.5763694590497125,26827.444797150394,0.2527085108361147,11.08960262345679,85.58759026499294,489.6578563293374,0.10544500850506261,0.14222454263641848,0.4558839607843136,0.1252245840630175,0.1157315966626684,1.4550502535968972,0.13616360084438314,0.10892171610885523,88.68064262395454,0.09916008024742298,95.12453947815118,5.172318925752902,0.0873039178881814,68089.93538213728,0.21984882001053252
21,421,53.0537,24.2968,43,20.7057,0,119,114,19,137,19,1.00165,54.15425,0.0,0.0,3.67857,5.312,20.81917,0.0,0.0,127.0,29.75888,0.0,1.62,1.509,-1.0,1e-06,59.15322386188272,0.5763694590497104,26167.17343212741,0.25310023964589184,11.540268132716049,84.48080334652049,488.0255116985839,0.10438551007205471,0.14205068056068848,0.4542254901960785,0.1253479497662982,0.11566120993102644,1.2027340822384327,0.13538624523013057,0.10921881583848904,88.1358143592407,0.1013016231347605,95.15887176644206,5.36363005434054,0.0873133239694976,67928.34667552917,0.2198635282800885
22,422,52.4048,23.6845,43,23.3033,0,119,114,19,137,19,1.00319,53.52278,0.0,0.0,2.82143,5.35,20.87185,0.0,0.0,127.0,29.63333,2e-05,1.61,1.446,-1.0,0.0,59.458366111472806,0.5725284180706504,25412.37395274961,0.25355294154934166,11.85059799382716,86.55270628123526,486.4613032991454,0.10437489915258896,0.1419635254314154,0.4480301960784313,0.1256492511970351,0.11563180099734623,0.9998271455288957,0.13431079036265808,0.10995181358659575,87.21919570789967,0.09955058353795501,95.2180896792003,5.1825531255776,0.08734208857910762,67876.17485115949,0.2195679786133335
23,423,52.5639,23.5709,43,20.3959,0,119,114,19,137,19,0.99818,53.57561,0.0,0.0,2.03571,5.29,20.34827,0.0,0.0,127.0,29.68258,2e-05,1.61,1.445,-1.0,7e-06,59.53875129605517,0.5741518330064824,25583.303924124943,0.25386762564150694,11.82421875,87.93170675567659,485.170316620536,0.10347046867072335,0.14193355575696834,0.44295349019607777,0.12572236305272386,0.11567798219448978,1.3393144884470114,0.1333482777354612,0.10999950094026466,86.8005270325929,0.09959459780897542,95.19408989077327,5.218321687778545,0.08732727488265635,67980.00238061986,0.21919435842688267
24,424,53.0284,23.5544,43,23.7148,0,119,114,19,137,19,0.99931,54.03059,0.0,0.0,2.71429,5.296,20.25075,0.0,0.0,126.0,29.825,1e-05,1.61,1.547,0.125,0.0,59.450652699411656,0.5763694590497113,26186.778501087134,0.25423854981929794,12.060378086419753,87.63103960760449,484.18849351801583,0.1027677725151339,0.14185004692599476,0.44296745098039214,0.12693717922990433,0.1156104565825014,1.4280905813594094,0.13245837260301463,0.11096003003197541,87.1376468923447,0.10140789445938952,95.10828031350786,5.244701651703427,0.087350096423485,68073.80328747637,0.21889766812496675
25,425,53.0751,23.641,43,21.152,0,119,114,19,137,18,0.99961,54.06717,0.0,0.0,3.92857,5.279,20.23585,0.0,0.0,127.0,30.02527,2e-05,1.61,1.456,-1.0,0.0,59.148741922260804,0.5741518330064825,26557.164580135992,0.25464649388440647,12.705922067901234,85.08445210468078,483.0665843409921,0.10211268785399198,0.141992355441972,0.447241568627451,0.1266954524232879,0.11571695151282704,1.4701823692817644,0.13168754724320786,0.11210089866611932,86.51769688531644,0.10269666742445582,95.09653963842204,5.26012276101094,0.08738594157318519,68114.65511200426,0.21894449252925227
26,426,53.1411,24.2124,43,22.516,0,119,114,19,137,19,0.99597,54.16388,0.0,0.0,3.42857,5.27,20.30748,0.0,0.0,127.0,30.06946,4e-05,1.6,1.435,-1.0,1e-05,59.07504140594859,0.5763694590497112,26738.316642803347,0.25506347126261186,12.542148919753087,86.81497943023562,481.64782986654507,0.10159203323047283,0.14202396618125407,0.4506674509803922,0.12675597455602233,0.11563912328445872,1.3165472829586622,0.13093922519761345,0.11389828540069412,86.12265665414576,0.10246586482200594,95.0779622501899,5.348833496415508,0.08746830977396622,68151.30417792324,0.21892929113384157
27,427,53.2869,23.9458,43,21.8678,0,119,114,19,137,19,0.99611,54.35571,0.0,0.0,2.64286,5.154,20.80006,0.0,0.0,127.0,30.07365,4e-05,1.61,1.585,-1.0,0.0,58.90005267107929,0.5763694590497117,26982.03432445217,0.25540097238539533,12.713686342592593,83.75044190632516,479.9391118368435,0.1009867028674347,0.14239139469115478,0.45355843137254914,0.1267102587094509,0.11631378485736076,1.1350118305021915,0.13031903189383554,0.11452465656465577,85.5484519653215,0.10252961949775206,95.06674780297774,5.3028608994707565,0.08749504718067355,68166.66690074404,0.2189537003323002
28,428,52.5859,24.058,43,23.6002,0,119,114,19,137,18,0.9944,53.66356,0.0,0.0,3.32143,5.244,20.56557,0.0,0.0,127.0,30.09738,0.0,1.62,1.591,-1.0,1e-06,58.97560515227141,0.57636945904971,25967.198452910594,0.2557639218090476,12.55102237654321,85.43703548698612,478.28287189487014,0.10033072618178836,0.14273521434718686,0.4569244313725487,0.12739382058955717,0.1167818010339511,1.3513693264353654,0.12981332240313737,0.11569992241989407,85.33524827797788,0.10262410774310686,95.12581340076582,5.332290720813684,0.08748967997827892,67959.16624952258,0.21833656955361908
29,429,51.1369,24.2314,42,25.6079,0,119,114,18,137,18,0.99596,52.22356,0.0,0.0,3.14286,5.202,20.6624,0.0,0.0,127.0,30.01536,0.0,1.61,1.482,-1.0,0.0,59.35191571270978,0.5741518330064804,24233.62739043735,0.25609242988379965,12.589023919753087,85.67021690038494,476.8255658529321,0.09978077614035143,0.1422908901369352,0.4563007647058809,0.12710340920468446,0.11648424939175672,1.1626390108909765,0.12929006464507956,0.11612145807397704,84.82945986077728,0.10291924066097496,95.30374254957728,5.3248156236796715,0.08748164604523957,67912.81955344729,0.2169533458398186
30,430,50.3697,23.652,41,23.3527,0,119,114,18,137,18,0.99451,51.39296,0.0,0.0,2.82143,5.22,20.81525,0.0,0.0,127.0,29.75911,1e-05,1.6,1.542,-1.0,2e-06,59.71486070421007,0.5703107920274154,23469.603705251106,0.2564266522207076,12.511525848765432,86.3745054893009,475.5832189947349,0.0995779218996868,0.14202929886440502,0.44668313725490194,0.12660215800440752,0.11662035710926988,1.200146700300662,0.12877099381927326,0.11739989981239791,84.66946365928185,0.10329915255004962,95.42419890435959,5.293614701702638,0.08738583979483246,67794.93632461032,0.21433229643176688
31,431,50.6123,22.9186,41,23.3696,0,119,114,18,137,18,0.99668,51.58969,0.0,0.0,2.57143,5.209,20.31547,0.0,0.0,127.0,29.42738,1e-05,1.61,1.415,-1.0,6.2e-05,59.67771289966725,0.570310792027418,23753.402858031117,0.2567129519581022,12.635416666666666,86.86120197208635,474.3278190097284,0.09925807075183722,0.14162767989097905,0.4365701960784315,0.12596495310921757,0.11704944700245681,1.343898806183813,0.12827357634503134,0.1179899273353944,84.800080844142,0.10304068736987297,95.40236196357236,5.23522156642267,0.08724087298007352,67786.56553388188,0.21214918934342572
32,432,51.1808,21.7818,42,23.518,0,119,114,18,137,18,0.99861,52.11827,0.0,0.0,3.32143,5.082,19.68381,0.0,0.0,128.0,29.03192,4e-05,1.62,1.41,0.125,0.0,59.66340524178965,0.5703107920274161,24470.9140459147,0.25693794941792153,12.70876736111111,88.9604224824883,473.0635633249986,0.09888008201122535,0.14127056797057247,0.4330321568627451,0.1263098384061119,0.11706024304380463,1.214827786933985,0.1277744685505089,0.11801310273731512,84.89745078065437,0.10283971111632592,95.30762132716161,5.2714409295772855,0.08714230271313299,67941.66727438648,0.21095389096919187
33,433,51.6829,19.31,42,23.0071,0,119,114,18,137,19,0.99953,52.56793,0.0,0.0,2.03571,5.062,18.71501,0.0,0.0,128.0,28.62052,1e-05,1.6,1.765,-1.0,1e-06,60.120594919463734,0.5703107920274212,25137.07399194839,0.2571367913048212,12.746768904320987,86.72296464943469,471.970298912121,0.09879576053616572,0.140981680521628,0.4302760784313726,0.12662475021724812,0.11827748934119428,1.2222873842314235,0.1268718030549253,0.1187648429354635,85.47675117336377,0.10244945098157329,95.27261305982964,5.256841117679193,0.08716326641270396,67986.09675631869,0.21081885046450188
34,434,50.7712,20.8482,41,19.7959,0,118,114,18,137,18,1.00196,51.71718,0.0,0.0,4.14286,5.107,16.58754,0.0,0.0,128.0,28.13287,0.0,1.6,1.912,-1.0,6e-06,60.147994241596734,0.5725284180706484,24127.790185924212,0.25736168442002166,12.875289351851851,87.17764454416907,470.92022398211213,0.09899660479373872,0.1406104964558151,0.4217890196078431,0.1268388999518282,0.12003874854271834,0.8459328331128138,0.12625666144071823,0.11839296978179405,84.41894671436016,0.10214908524923225,95.40984755402549,5.215839822133567,0.08699899091480064,67863.07007147743,0.21030773913860865
35,435,49.1624,20.1452,40,23.1171,0,118,114,17,137,18,0.99848,50.24555,0.0,0.0,1.92857,5.204,17.90978,0.0,0.0,128.0,27.95049,2e-05,1.61,1.569,-1.0,5e-06,60.41789603527681,0.5680931659841887,22111.636934493945,0.25746852910429685,12.120177469135802,84.48483195666147,469.9148152168346,0.0987925996462858,0.14060640224427648,0.41466466666666385,0.12677668104728215,0.12070246045327788,0.9510447135551325,0.1257732128305046,0.11846184338769462,83.81841908259184,0.10191813876502862,95.6081100666461,5.315183992775567,0.08683341773705959,67633.44522476896,0.20880695324920875
36,436,47.2569,19.8413,39,21.9683,0,118,113,17,138,18,0.99878,48.46263,0.0,0.0,4.07143,5.274,17.29582,0.0,0.0,128.0,27.52367,2e-05,1.61,1.764,-1.0,0.0,60.99892434956114,0.5620344989618966,20028.680981786907,0.25736694537795773,11.523485725308642,88.35565440579676,469.0821973888894,0.09876310477561787,0.14051389467856534,0.4043807843137255,0.12670172177148947,0.1202098007017853,0.7700851452328243,0.12534296011590326,0.11831492057132793,83.23650631767869,0.10171625875741655,95.87778748807081,5.284280746391816,0.08674014705466068,67275.01924946171,0.2068171273721073
37,437,46.4832,19.8099,39,21.1046,0,118,113,17,138,18,0.99995,47.77811,0.0,0.0,4.21429,5.276,17.03144,0.0,0.0,129.0,27.2033,3e-05,1.61,2.239,-1.0,1e-06,61.09732470100309,0.562034498961896,19076.19124552439,0.25721493520504934,11.18383487654321,87.69173180154473,468.3500715161182,0.09858493435893904,0.14044301073555465,0.39470588235294113,0.12592409926762196,0.11985010983052928,1.1455091437186693,0.12521982240604929,0.11809156576694499,83.36970313633182,0.10154115985193989,96.00202064248008,5.074700249869819,0.08668742672364313,67015.94009473962,0.2047909090639055
38,438,47.5462,19.8906,39,20.3039,0,118,113,17,138,18,0.99997,48.75494,0.0,0.0,4.03571,5.291,17.00823,0.0,0.0,128.0,27.13305,3e-05,1.62,2.185,-1.0,3e-06,61.05998380684559,0.5620344989619023,20252.687141202478,0.25704442955610896,11.01929012345679,87.21464910685273,467.5834329268305,0.09849236259635291,0.1404323172275001,0.39258039215686275,0.12568037778400548,0.11967818451503712,1.2884981459176215,0.12567221794672123,0.11805220172328912,83.14908342510917,0.10136601086746395,95.89219360272477,5.003782037983067,0.0866691503153805,67167.43875411773,0.20351550282772324
39,439,49.5017,19.3658,40,21.8968,0,118,113,17,138,18,1.00037,50.48795,0.0,0.0,4.14286,5.199,17.08537,0.0,0.0,128.0,27.09941,0.0001,1.63,1.959,-1.0,1e-06,61.21394480010609,0.5642521250051319,22667.388014915534,0.2570213703006039,10.884500385802468,88.55611680530677,466.80864948979774,0.0986679605013602,0.14077009709253271,0.3924729411764705,0.1253787512899415,0.1198465432789907,1.55205388981478,0.1257478495766689,0.11823641068623686,82.96207929639317,0.10116384535869338,95.62780096118608,5.109489980426844,0.08663822087660203,67530.6931434031,0.2027366686970361
40,440,50.1862,18.845,41,20.437,0,119,113,17,138,19,1.0003,51.14001,0.0,0.0,4.03571,5.174,16.63472,0.0,0.0,129.0,26.85794,0.0001,1.61,1.887,0.14172,0.0,61.40154200424382,0.5703107920274143,23498.334722571803,0.2569850139057999,10.208670910493828,87.72860323871596,466.06981898545274,0.09842503123882972,0.1413195835503018,0.39027921568627455,0.12510682123322422,0.11971714790023115,1.234010666129656,0.1255062623416942,0.11810413112554612,82.67150532408976,0.100990951616678,95.52607294843085,5.232209486178195,0.08664827634065424,67659.9771440143,0.2025052111328327
41,441,49.9299,18.1039,40,17.9828,0,119,113,17,138,18,0.99871,50.83327,0.0,0.0,5.0,5.169,16.18402,0.0,0.0,129.0,26.6313,2e-05,1.62,2.238,-1.0,5e-06,61.54978302378713,0.5658755399409601,23323.85346134438,0.25692158294251166,9.97265625,89.92125042508673,465.4378109957091,0.09795974518678184,0.14113403343741285,0.38680352941176466,0.12489669072456432,0.1193636088130822,1.2003232441685594,0.1253361882385239,0.11778961624536184,81.64441481719882,0.10078955471669215,95.56898767784892,5.152825820880152,0.08665443987476143,67550.65807176068,0.20197937424819912
42,442,49.9415,18.5708,40,17.4961,0,119,113,18,138,18,1.00072,50.86549,0.0,0.0,4.17857,5.177,15.54597,0.0,0.0,129.0,26.70557,2e-05,1.61,1.928,-1.0,0.0,61.80785548834153,0.564252125005125,23102.121649546607,0.2568837992051325,9.647762345679013,83.91648292468449,464.9702063340129,0.09764397832819338,0.14121061114204797,0.3899458823529411,0.1247791759008946,0.11916581777460558,1.0197469024699248,0.12507871868351259,0.11775901280721691,81.04347698856247,0.10067478940160104,95.57203886426409,4.809363288871154,0.08665387660583151,67567.807352016,0.20192148745943536
43,443,49.944,19.2022,41,17.9763,0,119,113,18,138,18,1.00488,50.93409,0.0,0.0,4.14286,5.254,15.94694,0.0,0.0,129.0,26.84013,2e-05,1.6,1.634,-1.0,0.0,61.89127001350309,0.5703107920274172,22909.255114208365,0.2569190342264599,9.302806712962964,85.16401261464455,464.68367951202436,0.09757110078908049,0.14125947136453224,0.393629019607843,0.12462089322266157,0.11891719965268815,1.2779740349572593,0.12463491281163527,0.11742230178722837,80.96032339220127,0.10049517566355656,95.53622181305067,5.2834316998768305,0.08663286601118611,67512.07668763115,0.20193669239397397
44,444,50.208,19.5952,41,15.493,0,119,113,18,138,18,1.00316,51.1495,0.0,0.0,4.17857,5.239,16.48199,0.0,0.0,128.0,27.03592,2e-05,1.6,1.375,-1.0,2e-06,61.798718676155,0.568093165984183,23350.0423842496,0.2569709798502784,9.215374228395062,86.49406531663834,464.4523938612188,0.09746003341248627,0.14141871660665745,0.39605215686274514,0.12435674774727636,0.11878800485947696,1.0023839656726485,0.12443156587895315,0.11713683986292611,80.8197291521934,0.1002464390944831,95.51140692080175,4.875658243389005,0.08663535904272847,67550.35843858388,0.20203139568470468
