,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0.3,color_fulness,cubcol.0.5,cubrow.0.3,tone,cubrow.0,saturation,cubrow.1.0,contrast,temporal,staticness,cubcol.0.6,cubcol.1.0,noise,blockiness,cubrow.0.5,uhdhdsim,cubcol.0,fft,blur,cubrow.0.6,movement
14,414,44.5035,28.4634,27,38.1638,0,118,123,7,130,6,0.9874,41.98802,0.0,0.0,4.5,9.039,24.29474,0.0,0.0,125.0,53.32451,0.00027,0.28,3.875,-1.0,3.320922,0.13204742062905486,91.06653431338523,0.16107545747310206,0.06657580865034732,0.8354576470588235,0.026828817907687718,28.914028403199747,0.03294533657998912,90.2605769104565,6.600600548263516,303.198923078564,0.1477828399876739,0.0731163028570794,0.25537666281646065,2.3802031514626583,0.08907287434191084,96.60273974053302,0.11313012496584746,64138.3943790464,13396.232345332268,0.0824095707544905,13.175925925925926
15,415,44.9622,28.7089,27,38.2952,0,118,123,7,130,6,0.98301,42.42875,0.0,0.0,3.39286,9.057,24.45051,0.0,0.0,125.0,54.04144,0.00033,0.28,4.131,-1.0,3.241794,0.12848963256936896,90.37245298032929,0.16295320007349312,0.06641964584108581,0.8474317647058823,0.026932844686122868,28.521371346932874,0.03396555807800569,92.36115462912906,6.613952713693317,300.353018778106,0.15021666756941449,0.07876140057597499,0.2592177037955214,2.5379748571693863,0.0884357751793605,96.55736195805757,0.1160673417000256,64159.697075278105,13580.973660478043,0.08260944104469403,14.289110725308642
16,416,45.2611,28.8722,27,39.2451,0,119,123,7,130,6,0.97706,42.72946,0.0,0.0,4.46429,9.108,24.65266,0.0,0.0,125.0,54.63637,0.00029,0.29,4.629,0.42323,3.176842,0.12510965590204243,89.19601946943044,0.16392877259677638,0.06630468343815006,0.8514117647058823,0.02686672204926623,28.090231059510028,0.034938510271916814,88.83624159065175,6.63066245850531,297.4968065116427,0.15398341991248254,0.0836705587546188,0.25921770379551873,2.5997490218379995,0.08775262191228796,96.46712924701927,0.11502325286818188,64180.729309703005,13836.107976868765,0.08272945299224554,17.15890239197531
17,417,45.3686,28.8494,27,40.1116,0,119,123,7,130,6,1.00276,42.85591,0.0,0.0,3.57143,8.954,24.79446,0.0,0.0,125.0,55.04058,0.00031,0.28,4.642,-1.0,3.18289,0.12237524538397306,88.550226266223,0.16333916077515767,0.06620930853325302,0.8527521568627451,0.02690959078390266,27.844153510199654,0.038550978974219566,93.58210999202188,6.675410269774026,294.59527033742654,0.15520549941194195,0.087587178259999,0.2614353298387491,2.368111714490842,0.0870161812075474,96.47880563838939,0.11513497818827295,64083.172610752605,13868.725125399145,0.0831958545495172,17.25877700617284
18,418,45.5434,28.8676,28,39.6499,0,119,123,7,130,6,0.99431,43.03415,0.0,0.0,5.21429,8.991,24.77524,0.0,0.0,125.0,55.43923,0.00025,0.28,3.254,-1.0,3.149879,0.12051466219798525,87.14227577412396,0.1631168991386893,0.06614227876545686,0.8509960784313726,0.027046042769252543,27.653669004087096,0.04140657005566322,89.41039878298406,6.696040912010539,291.6182451208228,0.15783100464680722,0.09093960322374264,0.26143532983874634,2.182072539168247,0.08629675339857554,96.45962179676211,0.11264667319542733,63999.44864490879,13904.28695949021,0.08344028918321303,17.264564043209877
19,419,45.6181,28.6499,28,39.0329,0,120,123,7,130,6,0.98722,43.09312,0.0,0.0,4.25,8.933,24.79664,0.0,0.0,125.0,55.88709,0.0002,0.28,3.359,-1.0,3.182904,0.11813014543723155,87.00994945856348,0.1629331540518702,0.06618711753002814,0.8457729411764707,0.02716925219560745,27.30337750470197,0.04150133329925239,91.06748231018013,6.710443748244516,288.50163462651955,0.15959505871593083,0.09385276821733995,0.26143532983874335,1.8867855294575386,0.08576131124004327,96.4223173003362,0.11085808994897389,64005.36618206206,13907.15227505091,0.08357389344887997,17.391203703703702
20,420,45.5425,28.5448,27,39.8614,0,121,123,7,130,6,0.9909,43.01778,0.0,0.0,5.57143,8.887,24.60897,0.0,0.0,125.0,56.33427,0.00018,0.28,3.081,-1.0,3.174167,0.11730409911435664,85.60933646497739,0.16061267193257348,0.06625487734976156,0.8443137254901961,0.027341729120716432,26.879028131932387,0.041806672618283906,90.4075201623389,6.721258958283835,285.3965826768438,0.1604811851819731,0.09623965803340996,0.25537666281646115,1.9875108944750342,0.08526192318647415,96.46728004555852,0.10987920308591176,63886.394892107695,13922.579375464333,0.082645153908158,19.25511188271605
21,421,45.7211,29.344,28,41.7432,0,121,123,7,130,6,0.98159,43.20301,0.0,0.0,4.53571,8.844,24.51117,0.0,0.0,125.0,56.70309,0.0002,0.28,2.997,-1.0,3.071129,0.11660544825006879,85.51736121075493,0.15913403869562998,0.06624337623860325,0.8424168627450981,0.027466828664082617,26.603813642337,0.04211194886222896,89.90204784503462,6.732302522015955,282.31657964960334,0.15999335406554493,0.09857036999222682,0.2592177037955207,2.182417542959763,0.08494133022666941,96.44286627972497,0.11061071379540253,63944.71894796929,14033.574072200889,0.08179560385233076,20.34230324074074
22,422,46.5048,29.6862,28,42.9016,0,121,123,7,130,6,0.99648,43.93468,0.0,0.0,3.35714,8.937,25.21406,0.0,0.0,125.0,56.81242,0.00019,0.28,3.169,-1.0,3.002198,0.11534167191814976,84.37106914544458,0.15831576103255782,0.06611014043172445,0.8408456274509805,0.027538892224056803,26.275701263804496,0.0430456583490907,88.4359464755789,6.747727443327431,279.3672021829964,0.1605251057022371,0.10168095590443134,0.2614353298387477,2.288303447960129,0.0847745957114964,96.23807360295385,0.1126790823046196,64026.44817545558,14795.08337390634,0.08122955345189378,20.627555941358025
23,423,46.1996,30.1249,28,43.6984,0,122,123,7,130,6,0.99264,43.72237,0.0,0.0,4.10714,8.911,25.48067,0.0,0.0,125.0,56.70238,0.00019,0.28,3.51,-1.0,2.968108,0.11464831343799478,83.8276842126462,0.15814397382143922,0.06610564391374579,0.8373635294117648,0.02776671590395668,26.06827742965133,0.04366525691312994,87.68681741762043,6.769890639503221,276.5905423496248,0.160916313457077,0.10565568315720887,0.26143532983875006,1.7299312823928612,0.08470970378199567,96.32325687791136,0.11465758476752189,64028.34880127823,14219.351182412747,0.08079701534854351,20.79422260802469
24,424,46.2191,30.3686,28,42.6565,0,122,123,7,130,6,0.98982,43.79935,0.0,0.0,4.14286,8.978,25.85434,0.0,0.0,125.0,56.5743,0.00016,0.28,3.947,0.40882,2.905484,0.11571645019207204,83.64559617637559,0.15805674428728866,0.06599647840126104,0.8358972549019608,0.027915358500788332,25.88759961540316,0.04402812153549532,90.71447050424501,6.807260167755626,273.9936033516574,0.16113581637576102,0.10891040851845127,0.26143532983875134,1.9741990765116997,0.08463662212239569,96.39527250707935,0.1174945675039942,64112.0525700467,14264.516677555219,0.08127337765658645,21.431712962962962
25,425,46.3857,30.4537,29,40.7571,0,122,123,7,130,6,0.98635,43.97724,0.0,0.0,5.89286,8.931,26.05225,0.0,0.0,125.0,56.44619,0.00018,0.28,3.743,-1.0,2.853162,0.11621690864954963,82.29491243545199,0.15677120505537084,0.06578367656828742,0.8341113725490197,0.027994633253530084,25.818534945264275,0.04404200385679454,87.42818265537782,6.834629024536371,271.5517509650656,0.16368642933508026,0.1131560116467022,0.26143532983875434,1.944980420501846,0.0844699381503096,96.28882107861104,0.1181053340271912,64221.37582204169,14351.070549731461,0.08145874004609131,22.43330439814815
26,426,46.422,30.3938,29,42.2919,0,122,123,7,130,6,0.98359,44.02988,0.0,0.0,4.14286,8.967,26.12872,0.0,0.0,125.0,56.23519,0.00014,0.28,4.229,-1.0,2.774214,0.11554147765566151,82.13154384059655,0.1566475416164021,0.06572506831116645,0.8303011764705883,0.028135651239152546,25.82402584876543,0.043574564824376355,86.58279081499145,6.848435115324272,269.2230686389831,0.1652698302657015,0.11650701147477209,0.26143532983875545,2.0283457234482594,0.084362230212764,96.26249810466115,0.11943769516514481,64159.5270639434,14347.197025462507,0.08141557191732979,23.074122299382715
27,427,46.4468,30.0798,29,44.5558,0,123,123,7,130,6,0.98715,44.03298,0.0,0.0,3.64286,9.01,26.0774,0.0,0.0,125.0,56.13531,0.00016,0.28,4.682,-1.0,2.721416,0.11524385957104595,81.54732356619577,0.15732466925994992,0.06556234861881508,0.8289176470588235,0.028174652647579134,25.933731267481676,0.04327331474325027,87.35227456828318,6.841945357457494,267.055936993729,0.16625679231808055,0.11846584728445136,0.26143532983875933,3.693937262850076,0.08429661563063398,96.30316077278158,0.12236911773358361,64111.10535447441,14351.24964685446,0.08120082391082484,23.094425154320987
28,428,46.4151,30.0782,29,43.0396,0,123,123,7,130,6,0.98671,44.00275,0.0,0.0,3.53571,8.931,25.81182,0.0,0.0,125.0,56.04717,0.00019,0.29,4.652,-1.0,2.678022,0.11768106987352633,82.08378651247278,0.15735016953030928,0.06529364203297082,0.8288874509803921,0.028481768259795506,25.752923659336417,0.04342493794108309,85.76409518118027,6.840021004768846,264.9910533440538,0.16771397062870796,0.12158428532809186,0.26749399686104725,3.2381050564053386,0.08383979790222061,96.23888261253363,0.1243979033800031,64201.047108012615,14280.013313654998,0.08147254205005039,23.072193287037038
29,429,46.258,30.3627,29,42.3406,0,123,123,7,130,6,0.98863,43.894,0.0,0.0,3.35714,9.059,25.8039,0.0,0.0,125.0,56.04134,0.00022,0.29,5.61,-1.0,2.694083,0.11704286130070839,82.27324063336684,0.1595826212684128,0.0648835384308774,0.8308368627450979,0.028544881893525442,25.96267417625145,0.043805221031699766,90.92736809413181,6.858545005771517,263.00799886396214,0.167832719138164,0.12394464036156236,0.2658705819252072,3.4967163857368497,0.08369025584244792,96.37176761152914,0.1234646082552789,64096.8709745037,14141.222994162892,0.08147242318428252,23.184510030864196
30,430,46.3488,30.3085,29,43.1064,0,123,123,7,130,6,0.98626,44.01181,0.0,0.0,4.42857,8.993,26.05595,0.0,0.0,125.0,56.14157,0.00015,0.28,4.936,-1.0,2.614591,0.11536874766598536,82.12571266442274,0.16098453605526145,0.06469988470429054,0.8342533333333333,0.02871872685256997,25.83155615535783,0.044042610383897375,88.14529152999506,6.847462162894634,261.0004644493753,0.1687481258371442,0.12643637971394994,0.2674939968610504,3.845152261514509,0.08372225199282707,96.33823864427727,0.1252130691298474,64110.00407954184,14141.406046501106,0.08175655674847121,23.825520833333332
31,431,46.4567,30.3962,29,43.6857,0,123,123,8,130,6,0.9995,44.11803,0.0,0.0,4.42857,8.933,26.01033,0.0,0.0,125.0,56.28558,0.00017,0.28,4.567,-1.0,2.593248,0.11428194291864344,83.00536020326642,0.16346835212495936,0.06440236302716902,0.8370658823529413,0.02883724603644222,25.820276707778746,0.04425294595062435,90.71923191737022,6.8260200863036875,258.8946798397835,0.16941328364904268,0.12846229132513598,0.2697116229042714,4.90465880120587,0.08404043458973749,96.30189768397152,0.12618959194592272,64006.47282382602,14299.742889497655,0.08153861708924152,24.36675347222222
32,432,46.4254,30.5807,30,44.0834,0,123,123,8,130,6,0.99201,44.10034,0.0,0.0,4.28571,9.096,26.07856,0.0,0.0,125.0,56.41905,0.00017,0.28,3.605,0.40419,2.57299,0.11417850662792092,83.76625076427972,0.16231583235869793,0.0641884267277053,0.8384498039215688,0.02892865326254335,25.850033983772185,0.04487881759309523,93.27283949884234,6.8181093350602255,256.70528886021475,0.1699940908239964,0.13105879112216326,0.2697116229042748,3.6114305465681262,0.08425629654490534,96.36532682740834,0.12649417111836112,64069.18804527592,14033.55605246432,0.0814031251882064,24.700569058641975
33,433,46.5383,31.0801,30,44.0373,0,123,123,8,130,6,0.99472,44.21249,0.0,0.0,4.17857,9.212,26.24141,0.0,0.0,125.0,56.44232,0.00015,0.28,3.117,-1.0,2.509904,0.1126191414405493,84.21839148226051,0.1622058005833016,0.0641411861794477,0.8389407843137255,0.028933430793606465,25.765993283118732,0.04520199422477599,88.87129845979314,6.812660690142461,254.45317645707013,0.17042376565339093,0.1329976418576578,0.26971162290427503,3.0620168674774026,0.08452966955445661,96.28582673395383,0.1267731353358375,64145.77491589898,14115.160327537718,0.0814544806616643,25.035831404320987
34,434,46.4378,31.2306,30,44.8817,0,123,123,8,130,6,0.98947,44.16179,0.0,0.0,5.35714,9.28,26.68881,0.0,0.0,125.0,56.45742,0.00015,0.29,3.274,-1.0,2.4278,0.11163988101269191,84.74777462157172,0.16178046304001453,0.06392306087442313,0.839886274509804,0.029031482083999697,25.608404842423806,0.04571398482464964,90.1297987142385,6.839283275138747,252.1565453275252,0.17073935153487893,0.13445511807060603,0.26971162290427536,2.8575760299357276,0.08505544616849094,96.32884707588389,0.1268548135031052,64143.81187902533,13890.205576788028,0.08123674740636766,25.39771412037037
35,435,46.4095,31.7486,30,43.636,0,123,123,8,130,6,0.9983,44.17315,0.0,0.0,4.10714,9.195,26.8151,0.0,0.0,125.0,56.51874,0.00019,0.29,3.116,-1.0,2.345835,0.11165688110208304,85.60026860024963,0.1627891692715351,0.06366442104602336,0.8404596078431373,0.02911590695874434,25.47745203088831,0.04662048647256921,90.44200241769235,6.8766192677806695,249.81141661994454,0.17153805186833393,0.13601177591962677,0.2735526638833458,2.3656820644932934,0.0856911069275896,96.35783627534009,0.12594652926357205,64163.48606148564,13759.12249301692,0.08097860014275976,25.978443287037038
36,436,46.695,31.6835,30,45.442,0,124,123,8,130,6,1.00197,44.43539,0.0,0.0,3.82143,9.198,27.29391,0.0,0.0,125.0,56.74071,0.00022,0.29,3.331,-1.0,2.260439,0.11378698974569461,85.95948074635855,0.16401270294097886,0.06339731319454103,0.8400937254901961,0.029301555254029454,25.32894125102479,0.04711126506003806,92.3300015792696,6.903840577880853,247.40410183409944,0.17260584735435405,0.13725139574730555,0.2757702899265631,2.031059723607875,0.0862243496285121,96.2995776321418,0.12411056015209469,63999.46738838543,14160.966289833867,0.08075264009579049,26.18407600308642
37,437,46.222,31.2652,29,46.8047,0,124,123,8,130,6,0.99448,43.96773,0.0,0.0,4.35714,9.091,27.22334,0.0,0.0,125.0,57.04639,0.00019,0.29,2.945,-1.0,2.194499,0.11584967891718667,85.68556902482571,0.16483214252584238,0.06302891107125246,0.8393435294117647,0.02936519228521259,24.866942794234664,0.04768689794451425,91.90365126505988,6.925791418560434,244.92134913245425,0.17271760791448074,0.13851984283380203,0.26971162290428013,2.162027159516638,0.08651859986737968,96.37753798436565,0.12286774987842054,64190.31275561524,13836.102430637717,0.08056117499222755,26.05121527777778
38,438,46.0544,31.7188,29,47.3005,0,125,123,8,130,6,0.98794,43.78847,0.0,0.0,4.64286,9.078,26.84235,0.0,0.0,126.0,57.38713,0.00019,0.28,2.889,-1.0,2.132109,0.11362197530127101,85.47743894981129,0.1642239590215621,0.06277991001668512,0.8387176470588236,0.029473831215994846,24.709126790364582,0.047895609466252945,89.3267147699415,6.960097774740713,242.38128447021825,0.17184039687389624,0.139740284876359,0.2674939968610526,4.092278539122559,0.08694516773994501,96.4650303126807,0.12220379325112557,64135.44101001721,13764.248942857825,0.08042053343050935,26.397038966049383
39,439,45.7399,32.4694,29,46.0625,0,125,123,7,130,6,0.99559,43.50608,0.0,0.0,4.60714,9.211,27.22962,0.0,0.0,125.0,57.60346,0.00015,0.28,2.887,-1.0,2.071745,0.1121847407409972,84.62139712487294,0.1639055068240262,0.06259252183848506,0.8364854901960784,0.029663921314887272,24.454168060679496,0.048157380269526116,91.22240456734745,6.970956406232404,239.763814110802,0.17116732694187092,0.14039274502474514,0.26971162290427847,1.4908738255402818,0.08722159340632964,96.48063486355392,0.1210929615293258,64082.76619102882,13552.13906536858,0.08018842845187812,26.979359567901234
40,440,45.4531,32.5965,29,44.9279,0,126,123,7,130,6,0.99676,43.24027,0.0,0.0,4.92857,9.398,27.8713,0.0,0.0,126.0,57.83096,0.00012,0.28,3.0,0.40265,2.056253,0.1114706195600789,85.02561427444591,0.16398614175712273,0.062360114607500405,0.8353843137254902,0.029679485667786134,24.057364381389853,0.04841205583416308,91.85592985112855,6.980248822036443,237.07792723144306,0.17079222076021236,0.14080511322411587,0.2674939968610495,2.3723899016432903,0.08739305951448889,96.61164988186346,0.11973858047875993,63951.57937022234,13301.355172652557,0.08015876093121632,27.54021990740741
41,441,44.9286,31.9944,28,44.5194,0,126,123,7,130,6,0.99536,42.68233,0.0,0.0,5.10714,9.31,27.98691,0.0,0.0,126.0,58.10774,0.0002,0.28,2.689,-1.0,1.986318,0.11177645163375732,83.93509059420774,0.16309365143629545,0.062162428273253544,0.8341858823529412,0.029926806209826958,23.87733742042824,0.048545618998748076,90.90948693935374,6.979428270387302,234.3477166775648,0.1699649677808948,0.14074645077373393,0.26749399686104924,2.830272114042955,0.08750037579076435,96.66773637922216,0.11872908429115422,63897.858352386706,13186.564738282801,0.08010024040235608,27.93504050925926
42,442,44.3842,32.17,28,46.7202,0,127,123,7,130,6,0.99777,42.109,0.0,0.0,6.25,9.48,27.46108,0.0,0.0,125.0,58.44223,0.00022,0.29,2.757,-1.0,1.913206,0.11120614974428784,83.20762849530533,0.161928743542962,0.061947223371514,0.8314627450980392,0.03004104586973827,23.595643408504532,0.04848728026088035,88.68827385350573,6.986395348941242,231.6215490468685,0.16936526371985716,0.13891715798648274,0.2636529558819842,2.0510487197822505,0.08770704773275931,96.75888559981075,0.11801927800720899,63754.27283794462,13041.108046016288,0.0798701722944655,28.575279706790123
43,443,43.8537,32.2828,27,44.4732,0,127,123,7,130,5,1.00172,41.56795,0.0,0.0,4.07143,9.544,27.60606,0.0,0.0,125.0,58.82058,0.00024,0.28,2.478,-1.0,1.914789,0.11188723328417871,81.95813983554639,0.16080384140670562,0.06174118949278338,0.8309341176470588,0.030242631765481403,23.259310687029803,0.04846103983292655,93.32183134842887,6.991967002150138,228.90450906012842,0.16875801433225268,0.13765572502390092,0.26143532983875367,1.9145099572732251,0.08795723646813769,96.84270136900827,0.1166986860507623,63528.15039480805,12547.630598620717,0.07991839171634617,29.310233410493826
44,444,43.504,32.8429,27,45.8537,0,127,123,7,130,5,0.99506,41.20746,0.0,0.0,5.5,9.542,27.7003,0.0,0.0,125.0,59.39488,0.00016,0.28,2.946,-1.0,1.862122,0.11116951045639487,80.49313244616866,0.15979614975024467,0.06157638260759394,0.8314705882352942,0.03045533894671955,22.997286761248553,0.04852231574900901,93.05605738809645,7.011905064146321,226.22007380325948,0.16795389924468246,0.13633852355179346,0.26143532983875,2.5033182785524564,0.08816322837595314,96.96260283211713,0.1156588745091083,63489.09801254439,12151.81007937791,0.07974038733651083,29.982301311728396
