,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0.6,cubcol.1.0,cubcol.0,color_fulness,uhdhdsim,cubcol.0.3,cubrow.0,blockiness,noise,cubcol.0.5,movement,tone,temporal,fft,cubrow.0.5,contrast,cubrow.1.0,blur,cubrow.0.3,staticness,cubrow.0.6,saturation
10,110,35.6476,8.23854,33,8.90251,0,109,117,9,136,9,0.99409,41.40168,0.0,0.0,2.57143,8.207,6.47586,0.0,0.0,128.0,45.80019,0.0,1.45,3.502,-1.0,0.000204,0.11405413598480257,0.16075847086946823,0.07640044130700427,63.005379973279716,98.89317382566453,0.0956491018685142,0.10236061178143736,1.3002934105620925,0.43626668804319557,0.10327334830083253,2.6241319444444446,0.6848886274509803,4.6264822519127184,64619.868111298376,0.12443907628456592,88.43870034600319,0.1671012040461611,10556.605954405271,0.09060825082824667,533.4359660515172,0.12485083870135509,57.225121392144096
11,111,35.7291,8.61767,33,9.7851,0,109,118,9,136,9,0.9948,41.51712,0.0,0.0,3.46429,8.232,7.10061,0.0,0.0,128.0,45.96225,0.0,1.44,3.489,-1.0,0.000944,0.11545341476821734,0.159221243139901,0.07607786144598895,62.63865683638423,98.87928835107196,0.09561501165737239,0.10182644465733243,2.022809705735536,0.43626668804319424,0.10230666512554656,3.402391975308642,0.6879231372549021,5.1916072168286345,64585.59625747412,0.12381792994683441,92.46962494938307,0.16742280425569556,10660.471210962602,0.08986896591772436,532.4463639931403,0.12499139650051833,55.57604396490403
12,112,35.9207,8.68985,34,10.6422,0,109,119,10,136,9,0.99741,41.84407,0.0,0.0,3.17857,8.273,7.47784,0.0,0.0,129.0,46.53856,0.0,1.42,3.646,-1.0,0.000112,0.11628969012533111,0.15730080094175788,0.07591697530946426,62.67574089166962,98.83549776437854,0.09571657278757266,0.10143325990098188,1.7433632844273501,0.4407019401296508,0.10165895316289683,10.84447337962963,0.6954270588235294,5.687632245330879,64550.6083271277,0.12323900967142275,88.36083489902877,0.1677310905410505,10905.247837805895,0.08947497038861588,529.8545309563807,0.12513162018757315,49.710489908854164
13,113,36.0425,8.64641,34,9.72312,0,109,119,10,136,9,1.006,41.94232,0.0,0.0,2.57143,8.23,7.47601,0.0,0.0,130.0,46.50274,0.0,1.42,3.405,-1.0,7.4e-05,0.11729606682941199,0.15492939430934516,0.07550118385522409,62.831853493730776,98.82510767391554,0.09556981741594965,0.10096571272582558,1.2902975366135683,0.4384843140864268,0.10092545483818827,9.449266975308642,0.6948458823529411,4.849085870244635,64458.356546639254,0.1227490573771722,90.05737953902437,0.1679711544654422,11001.656541454378,0.08922275734862625,527.9273209086768,0.12531830230854504,49.89798425745081
14,114,36.2406,8.32321,34,9.64632,0,109,119,10,136,9,1.00564,42.11347,0.0,0.0,3.89286,8.199,7.43804,0.0,0.0,129.0,46.50814,0.0,1.43,3.396,-1.0,0.000121,0.11836346841070924,0.1519834520326144,0.075462937480071,62.72371256430013,98.80688189819601,0.09544605490308318,0.10071302654671936,1.7132464020790326,0.4384843140864245,0.10017307970464663,3.0394000771604937,0.6952274509803921,4.768193579363999,64397.84521947006,0.12262307577651478,91.02589297414433,0.16857078678735182,11125.22998765218,0.089018444367433,526.4894082862481,0.12548080954002047,49.845020623854644
15,115,36.2907,8.58381,34,8.93004,0,109,119,10,136,9,1.00407,42.15833,0.0,0.0,3.57143,8.218,7.15547,0.0,0.0,129.0,46.48481,0.0,1.42,3.613,-1.0,0.000255,0.11926930692345157,0.14933277663366476,0.0754200949260992,62.74592112166759,98.80165191811736,0.09542934136085969,0.1005354592680347,1.7467533450050414,0.4384843140864269,0.09959792930854137,4.475405092592593,0.6949098039215686,4.636789174666953,64344.83008821084,0.12250656188093105,88.89099388892683,0.1687988359231678,11161.633247117465,0.08894734141695873,525.3931792949003,0.12564639623277188,49.87098919903791
16,116,36.2351,8.53824,34,9.07116,0,109,119,10,136,9,1.00337,42.08934,0.0,0.0,3.07143,8.257,7.38109,0.0,0.0,129.0,46.40569,0.0,1.45,3.789,0.125,0.000149,0.1199287785200134,0.14712522120824173,0.07542730206036179,62.704393096531525,98.80655048561314,0.09549862401005986,0.10012108002233926,1.525362681603004,0.4378901029790286,0.09904471732382251,4.332224151234568,0.694352549019608,4.696327250909347,64388.20616867941,0.1220239688895595,84.28816285163482,0.16845939132683385,11111.899638777699,0.08902209208769889,524.5460765426186,0.12570633749891647,49.9399540277175
17,117,35.93,8.62107,33,9.13396,0,109,119,10,136,9,1.00261,41.71704,0.0,0.0,2.0,8.306,7.37739,0.0,0.0,129.0,46.07369,0.0,1.45,3.232,-1.0,0.000115,0.1201601738994047,0.14506013714283583,0.07581439998026536,64.46665386170827,98.85296877294456,0.09560168751175696,0.09990013097532877,1.3434722009191573,0.44070194012965147,0.09857327170932313,4.069299768518518,0.6922058823529412,5.120281596661967,64532.24870630522,0.12161923120697615,88.204840163458,0.168452506364722,10909.929073511432,0.08900088874976693,523.070130645788,0.1254407484515292,48.88923042203173
18,118,35.6121,8.48693,33,9.27552,0,109,120,10,135,9,1.00628,41.31849,0.0,0.0,2.17857,8.247,7.4413,0.0,0.0,129.0,45.80413,0.0,1.45,3.747,-1.0,0.000234,0.11990085949453062,0.1441966574679176,0.07589864820540355,70.86129310383127,98.89296519561368,0.09551378954916777,0.0996651906171583,1.5292774834919824,0.43242564706413816,0.09818095493004758,4.114101080246914,0.6895150196078428,5.117004075616565,64521.392250889105,0.12117275711276337,89.21921658849925,0.16897482706573846,10663.193775691578,0.08898324114586502,521.2862137024422,0.12532855733009496,47.8710858380353
19,119,35.6252,8.92999,33,8.75158,0,109,120,10,135,9,1.0092,41.31929,0.0,0.0,2.17857,8.21,7.30852,0.0,0.0,129.0,45.79015,0.0,1.45,3.718,-1.0,7.4e-05,0.1196844348723673,0.14355291071073237,0.07578257252725336,70.83539084313627,98.90199622039674,0.09546587356171758,0.09965952053466184,1.035099139283222,0.4362666880432031,0.09780083696618315,4.071228780864198,0.6887517647058823,4.72978012078764,64708.14588415423,0.1208837649271596,89.32070922596314,0.16943477253038214,10637.21618492274,0.08875624519148438,519.74845273738,0.1252514436864544,47.812445934907885
20,120,35.703,8.95095,33,9.28655,0,109,120,10,135,9,1.00789,41.42954,0.0,0.0,3.07143,8.194,7.69693,0.0,0.0,129.0,45.77268,0.0,1.44,3.175,-1.0,0.00027,0.11946192303273598,0.14195943857192786,0.0759448161231642,70.85516930665304,98.87866776474623,0.09578084435025659,0.0995833821555214,1.2726678324136187,0.4362666880432,0.09753842172319645,5.775414737654321,0.6879113725490196,4.886354611323545,64498.94823083314,0.12050059381598244,88.24593268994464,0.16955973780251188,10722.131278988401,0.0885934738031599,518.4586626235349,0.12528622072075896,47.81115138677903
21,121,35.5864,8.89279,33,8.56059,0,109,120,10,135,9,1.00361,41.36654,0.0,0.0,3.46429,8.25,7.72816,0.0,0.0,129.0,45.77389,0.0,1.42,3.291,-1.0,0.000218,0.1190412333901053,0.14049696489343214,0.07655764570043833,70.66585386547153,98.8918136775745,0.09547870639922089,0.10153389300235949,1.785426801654188,0.43848431408642535,0.09726337067903264,5.779755015432099,0.6877686666666666,4.782116069117126,64468.61998211743,0.1201562645754891,89.3451098815903,0.16964662402762806,10630.837924521855,0.08853002069230456,517.3615961999321,0.12545959005371374,47.795630560980904
22,122,35.6249,8.80062,33,8.38265,0,109,120,10,135,9,1.0008,41.39258,0.0,0.0,2.96429,8.244,7.66996,0.0,0.0,129.0,45.68664,0.0,1.44,3.625,-1.0,0.000222,0.11876425299035619,0.13931623380133873,0.07769135877739976,70.24592003740098,98.89466225414444,0.09534547597006503,0.10114137261854354,2.091078755270957,0.4384843140864266,0.09710917785709093,5.69579475308642,0.6861399019607832,4.796225538633298,64475.12177295895,0.11991474471140567,89.21706487027738,0.16982280564464194,10644.733366958142,0.08837017115576887,516.4315703555136,0.12580688475157717,47.67235103654273
23,123,35.4875,8.69662,33,8.33736,0,109,120,10,135,9,0.9971,41.31775,0.0,0.0,2.75,8.23,7.58066,0.0,0.0,129.0,45.6623,0.0,1.45,3.47,-1.0,5.9e-05,0.11861210333010232,0.1387172390214005,0.07889931294657915,70.57487237027209,98.91171718473825,0.09532513367565774,0.1021823637182652,1.4525094376420984,0.43848431408642613,0.09707012501590971,5.452932098765432,0.686192156862745,4.774926070787011,64573.91183162548,0.11985199337031965,91.34174650335572,0.16989523921624078,10524.457981438158,0.08838900791267584,515.6156669800567,0.1262288819124917,47.67145057960793
24,124,35.2526,8.63107,33,8.5717,0,109,119,10,135,9,0.9961,41.13027,0.0,0.0,1.89286,8.255,7.48901,0.0,0.0,128.0,45.59355,0.0,1.44,2.712,0.125,6.9e-05,0.11815844792314242,0.138553366113989,0.07984009156048626,70.48560401277558,98.9557479166111,0.09525923410242368,0.10267866408030923,1.7673130238376749,0.43626668804320184,0.09698915765768432,5.168065200617284,0.6842002352941167,4.86405195434928,64589.209332869636,0.11951112199464807,91.14173366015032,0.1700398829769406,10332.900489001282,0.08832014500988711,514.8921320712944,0.12666479576120843,47.90033015498408
25,125,35.1994,8.83876,33,8.48105,0,109,119,10,135,9,1.00177,41.10077,0.0,0.0,1.82143,8.257,7.45035,0.0,0.0,129.0,45.64075,0.0,1.45,3.083,-1.0,0.000592,0.11774174967977558,0.13854764689623406,0.08003757949348592,70.58210192340735,98.95897580511141,0.09524564642874236,0.10326772686074516,1.7584229161475753,0.43626668804319807,0.09688809125282094,6.383246527777778,0.6833043137254903,4.907261550068622,64542.205957621285,0.1191168092997153,90.88558215003984,0.17028680989676126,10281.258330104922,0.08839047008662135,514.2297247514032,0.12705690250296472,47.85231489016686
26,126,35.3457,8.80741,33,8.03192,0,109,119,10,135,9,1.00337,41.26053,0.0,0.0,1.75,8.211,7.64084,0.0,0.0,129.0,45.74529,0.0,1.44,3.106,-1.0,4.3e-05,0.11731553951343003,0.1384248487640497,0.0806200619198079,70.53242522234487,98.94834166589554,0.09511805640809977,0.10278152011545767,1.0627000424752375,0.4384843140864239,0.09678535373895365,6.466483410493828,0.6848451372549018,4.886471085112227,64813.471514948615,0.11878821942001055,88.45026819041423,0.17068936465725404,10344.74306869843,0.08838797593244573,513.6278411605778,0.12747316844653578,47.93636877742814
27,127,35.4487,8.49255,33,7.79937,0,109,119,10,135,9,1.00003,41.41189,0.0,0.0,1.46429,8.247,7.63102,0.0,0.0,129.0,45.81413,0.0,1.44,2.554,-1.0,0.000101,0.11707786142474116,0.13829716215291682,0.08210345177677034,70.70481938318206,98.92130563757695,0.0950126433616781,0.10286903599343587,1.3360295085913052,0.4384843140864237,0.09680318004222369,6.3125,0.6853666666666666,4.826176620698517,64576.925206378284,0.1184369295545199,88.53789428923892,0.1709864273377095,10417.29442201297,0.08844559126810933,513.1204047248395,0.1278613586146653,47.88356357150608
28,128,35.5359,8.52224,33,7.87783,0,109,119,10,135,9,0.9951,41.50228,0.0,0.0,1.60714,8.282,7.34653,0.0,0.0,129.0,45.85143,0.0,1.45,3.219,-1.0,0.000372,0.11689461268163125,0.13807912183234963,0.08383793316503327,70.68844588055279,98.89921427021285,0.09503250609919069,0.10300488246130912,1.1910315317557318,0.438484314086426,0.09680398368353484,6.241174768518518,0.6864074509803921,4.775148275793408,64494.83040636162,0.11813845864398526,89.60544370949299,0.17109280013317205,10491.246657166277,0.08857776771065123,512.6820748344617,0.12818002699092346,48.0881473870925
29,129,35.7132,8.34517,33,7.57312,0,109,119,10,135,9,0.99592,41.67944,0.0,0.0,2.46429,8.291,7.34828,0.0,0.0,129.0,45.84099,0.0,1.44,2.502,-1.0,0.000202,0.11653920462217074,0.13774126003305176,0.08569997896162082,70.9594216615099,98.87746146739269,0.09511706025043377,0.10301061099146559,1.0308402723971624,0.4384843140864257,0.09685988901615579,6.1848476080246915,0.6863160784313725,4.752419448253691,64619.03568406988,0.11778734836273255,93.89052525459938,0.17117536117639812,10603.846141760974,0.088784073452901,512.2799558139781,0.12841700168787876,48.121014441972896
30,130,35.7352,8.45596,33,7.7174,0,109,119,10,135,9,1.00131,41.71147,0.0,0.0,3.89286,8.349,7.18041,0.0,0.0,129.0,45.81676,0.0,1.45,2.782,-1.0,0.000304,0.11615278512571187,0.13803300598715115,0.08760642300450244,71.0831122907629,98.8740149444742,0.09510237143314983,0.10300609654961289,1.802869835534673,0.4384843140864299,0.0969555675093538,6.822530864197531,0.6872784313725488,4.777942873708713,64678.87563996136,0.11761984887476618,89.7736455469134,0.1709855672167827,10580.136891794384,0.08911509399710357,511.94644491547,0.12870496084393757,48.13855413743007
31,131,35.8067,8.20738,33,7.84243,0,109,119,10,135,9,1.00199,41.79241,0.0,0.0,3.60714,8.337,7.27332,0.0,0.0,129.0,45.8045,0.0,1.44,2.883,-1.0,0.000148,0.11587632332272634,0.138570214516058,0.08905641751620728,70.94318584417984,98.85388224638683,0.09502345810602797,0.10297228653124182,1.8556299422496734,0.43848431408642913,0.09734116508009756,6.584008487654321,0.6864074509803921,4.837400640720979,64813.439616051626,0.11738364108196196,87.96681394786958,0.17080254494798494,10646.987367166068,0.08943357793444912,511.6614781946443,0.12897525989386663,48.096582860122496
32,132,35.8662,7.80694,33,7.80877,0,109,119,10,135,9,1.00106,41.83398,0.0,0.0,2.42857,8.264,7.06589,0.0,0.0,129.0,45.76198,0.0,1.42,2.831,0.125,0.000353,0.11560391606813093,0.13826638312486725,0.0911655060268356,71.0708876068349,98.84897146664302,0.09493903361986926,0.10299535044996158,1.5243180018270386,0.44070194012965375,0.09717911831198561,6.356143904320987,0.6858419607843138,4.8348961626971665,64707.090391660044,0.11715770954622338,89.08331188495033,0.17081295715442302,10729.85509564056,0.08960584439041398,511.4094786387761,0.12919210680410673,48.35048251681858
33,133,35.8534,7.08745,34,7.71675,0,109,119,10,135,9,0.99976,41.8577,0.0,0.0,2.17857,8.263,6.7225,0.0,0.0,129.0,45.71563,0.0,1.43,2.68,-1.0,0.000121,0.11546247598264021,0.13751584502304423,0.09315210594578853,70.70572124440189,98.84210345329913,0.09491170743527448,0.10296743053181172,0.8757931234944942,0.43848431408642047,0.09710191252439995,6.356770833333333,0.6854375294117636,4.822311827124485,64686.564408678394,0.11682349443841333,87.9174596396762,0.17044428361233732,10743.203608326063,0.08986070738778432,511.2116250867166,0.12937951717050497,48.43870054645303
34,134,35.8363,7.01896,33,7.58883,0,109,119,10,135,9,1.00427,41.8753,0.0,0.0,2.64286,8.264,6.09341,0.0,0.0,129.0,45.69157,0.0,1.44,2.426,-1.0,0.000376,0.1153082439394147,0.13717681222727487,0.09459309094746784,70.35308773096085,98.84282778945169,0.09505530885404496,0.10290848955197765,1.5814711033538533,0.43848431408642946,0.09705726764576432,6.488908179012346,0.6860427450980378,4.7926062887097505,64696.795784465416,0.11649011443621203,90.87755735963862,0.1699679866347044,10718.972131124314,0.09014084810171359,511.01033671975676,0.12955180325718493,48.663574972270446
35,135,35.8443,6.83369,33,7.55847,0,109,119,10,135,9,1.00595,41.86205,0.0,0.0,4.96429,8.241,6.04113,0.0,0.0,129.0,45.65186,0.0,1.44,3.019,-1.0,0.000117,0.11510904068177985,0.1369524767922094,0.0976406547006042,70.36972834933052,98.85460744350085,0.09502875820462851,0.10278739177375357,1.5825090807199078,0.43626668804320134,0.09699736606640803,7.0023630401234565,0.6862380392156848,4.870787657275091,64687.42248624092,0.11620987127556638,88.048210205792,0.16978356925913074,10716.042570046686,0.09027797823034593,510.8149389590837,0.1297470280977449,48.493410463686345
36,136,35.9722,6.79528,34,7.60368,0,109,119,10,135,9,1.00115,41.98014,0.0,0.0,3.64286,8.19,5.88907,0.0,0.0,129.0,45.68457,0.0,1.44,2.937,-1.0,8.6e-05,0.11480382120071074,0.13676420321145694,0.10015596010683946,70.4171187108266,98.83381096125397,0.09502574724973871,0.10261111727984805,0.9603509994973842,0.43848431408642674,0.09698606479030454,7.268711419753086,0.6856117647058823,4.843239751433565,64694.45692664595,0.11585375280100145,89.63828127331351,0.16966211140812207,10823.312229461548,0.09045854087898447,510.64878543350704,0.1298948510282129,48.4602764741874
37,137,36.0721,6.91023,34,7.52219,0,109,119,10,136,9,0.99428,42.09531,0.0,0.0,3.42857,8.207,5.85342,0.0,0.0,129.0,45.72017,0.0,1.44,2.83,-1.0,4.6e-05,0.1144966075204053,0.13649077373973167,0.10228085757217864,70.41133742520725,98.81691108404195,0.09483892247909735,0.10246657453756469,1.4258801146003541,0.43626668804320556,0.09700460014786724,7.2758969907407405,0.6865047058823529,4.870754225033225,64637.26566039676,0.11558582903873463,88.57227740629052,0.16951171672169774,10883.355879445962,0.09068810464413689,510.4839155508371,0.13003433618583704,48.71500613365644
38,138,36.1133,6.92555,34,7.85474,0,109,119,10,136,9,0.9938,42.13885,0.0,0.0,3.67857,8.215,5.94976,0.0,0.0,129.0,45.74427,0.0,1.45,2.958,-1.0,0.000223,0.11417186002606969,0.1362195483052796,0.10384423838208014,70.24639421715725,98.80292876138442,0.09460753589681499,0.10229613961475849,1.5680789748219317,0.438484314086425,0.09710909365006558,7.379484953703703,0.6874341176470588,4.918898550499175,64673.77645794447,0.1153560485228036,86.91894165584623,0.1693228639432743,10883.027624956909,0.09087504744765945,510.3271332784663,0.1301666698152707,48.473457618995944
39,139,36.152,6.98687,34,7.62108,0,109,119,10,136,9,0.99987,42.16101,0.0,0.0,3.32143,8.237,5.95523,0.0,0.0,129.0,45.72109,0.0,1.43,2.762,-1.0,7.4e-05,0.11389263888333209,0.13586332065552154,0.10471351180418505,70.32452578533598,98.81043662978192,0.09448882190214418,0.10210705857072264,1.08296298113342,0.4362666880431995,0.09709069690610833,7.504677854938271,0.6872486274509805,4.908152366368812,64591.18806793767,0.1151684515164702,88.10962913852293,0.16912804454552685,10912.902979668408,0.09110409829665676,510.18977209823373,0.13032535608978799,48.489861193998365
40,140,36.2062,7.49933,34,8.21939,0,109,119,10,136,9,1.00033,42.25717,0.0,0.0,2.78571,8.244,6.00996,0.0,0.0,129.0,45.73347,0.0,1.43,2.916,0.125,0.000277,0.11361581742950391,0.13583754157310018,0.10527765436554647,70.37089646691021,98.78949509631603,0.09453685455429868,0.10186218453187117,1.7300550893078621,0.43848431408642724,0.09702617013286216,8.003231095679013,0.6869800000000001,4.981109876379545,64645.62105135613,0.1148816622092309,91.95105284387165,0.16896843366163466,10952.730875764566,0.09128580828505004,510.036981470544,0.13059409798142227,48.59191159848814
41,141,36.3006,8.2856,34,8.46944,0,109,119,10,136,10,0.99999,42.3778,0.0,0.0,2.82143,8.223,6.46142,0.0,0.0,128.0,45.77725,0.0,1.44,3.059,-1.0,0.000248,0.11352769929227377,0.1363021374658315,0.10569715179042725,70.371290769449,98.76866259854964,0.0946867450731224,0.10163037043513733,1.0586842517775332,0.4362666880432036,0.0969805900421135,8.496672453703704,0.6878282352941176,5.125864532370916,64603.611836082026,0.11465463976751507,88.46701241542956,0.16870652849179185,11054.807913944558,0.09152296881663625,509.8400499790747,0.13093386650896519,48.560143364800346
42,142,36.1655,8.46027,34,9.61138,0,109,120,10,136,9,1.00074,42.14471,0.0,0.0,2.96429,8.264,7.19081,0.0,0.0,128.0,45.27247,0.0,1.45,2.941,-1.0,0.000243,0.11312740129827216,0.13632045731164777,0.10629442230239615,64.28998590262806,98.82439629134608,0.09478143615407136,0.10139605366391972,1.282686037463056,0.44070194012964975,0.09693243321158355,8.874180169753087,0.6727149019607843,5.501808297943968,64659.031933738595,0.11431916944680662,92.58374359797926,0.16847831116711484,10959.164487192971,0.09164869139368939,509.708989435303,0.13118455960443132,49.269865624698596
43,143,36.3068,8.70008,34,9.32127,0,109,120,10,136,9,1.00642,42.22266,0.0,0.0,2.57143,8.28,7.30918,0.0,0.0,127.0,45.15435,0.0,1.45,2.651,-1.0,0.00024,0.11262888503767865,0.13596327418779652,0.10721245527727956,63.35690954345067,98.81977286754271,0.09485722110460479,0.10109577812199608,1.1948312487571218,0.4384843140864245,0.09697136547249124,9.19777199074074,0.6676988235294118,5.238450807824575,64638.71399551502,0.11397234220593773,93.06418730161127,0.16816823109149404,11025.329340378103,0.09180326982396579,509.5776748617121,0.13147011007872098,49.37241015022183
44,144,36.5199,8.87209,34,9.84532,0,109,120,11,136,9,1.00937,42.46634,0.0,0.0,2.07143,8.277,7.5201,0.0,0.0,128.0,45.31346,0.0,1.45,2.927,-1.0,1.6e-05,0.11203147284090377,0.1358740498632585,0.10836842140361276,64.36028182954442,98.79623441299758,0.0949471747180433,0.10086091992514355,1.3875781894392556,0.43848431408642585,0.09695341927545365,9.519097222222221,0.6700682352941176,5.516071350660371,64637.97574510343,0.11368699763368774,89.03360096622663,0.16811992680469742,11190.565398088069,0.09198756376950863,509.51153954667484,0.1318662537775052,48.60500816062645
