,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,color_fulness,cubrow.0,blockiness,cubcol.0,cubrow.0.5,uhdhdsim,staticness,contrast,cubrow.0.3,blur,movement,fft,temporal,cubrow.1.0,cubcol.0.5,tone,saturation,cubrow.0.6,cubcol.1.0,cubcol.0.3,noise,cubcol.0.6
10,310,22.1539,24.1828,11,25.4264,0,117,117,3,140,7,0.99554,20.8131,0.0,0.0,12.92857,12.224,21.00135,0.0,0.0,104.0,32.84436,0.0,0.28,2.907,-1.0,6.236117,88.71665390141716,0.039265922171431634,0.677600221366362,0.013987322924445178,0.05393822472856899,103.24505746105338,632.5353336568286,89.2632838220082,0.05421741592866726,2208.034720782339,14.249083719135802,61726.59180906161,6.234461987052621,0.036621980180882266,0.03205803461116602,0.4891149019607844,54.831175815911934,0.05786753173880591,0.07291802522665664,0.06209630726437697,0.16049639811663122,0.028520986109352206
11,311,23.5558,23.8818,11,24.6611,0,117,117,4,140,7,0.98784,22.04953,0.0,0.0,15.07143,11.528,20.75934,0.0,0.0,106.0,33.29093,1e-05,0.28,2.67,-1.0,6.414953,89.83168926375902,0.03849841506091928,0.8212410465412231,0.013900929491349924,0.052195797055412926,103.02685627660308,620.3473970377271,92.0984169590026,0.06057838590924482,2554.7435262316512,16.061824845679013,61635.333803851616,6.215832636106148,0.03556598833865048,0.03492206182500552,0.5034286274509804,54.10979979715229,0.056307780265119386,0.07147829040975133,0.06283069386596958,0.16049639811662944,0.028266057680254617
12,312,24.0859,23.5823,12,25.2587,0,117,117,4,139,7,1.01555,22.57239,0.0,0.0,12.39286,11.759,20.49453,0.0,0.0,108.0,33.50577,0.0,0.28,2.525,-1.0,6.280956,90.94616317792499,0.037341978347322474,0.684924400643338,0.013773648523237184,0.05112444241548452,102.86685615057652,608.3934072194401,87.45901180154078,0.06467559496478527,2646.859663814523,14.095775462962964,61594.370462480765,6.135331658532014,0.03557986901504097,0.03801231912942844,0.509221568627451,53.52495885778357,0.05463029750461175,0.06978360003914125,0.0654743668312072,0.16049639811663005,0.03482350967080947
13,313,24.7429,23.5944,12,25.8973,0,117,117,4,139,8,0.99467,23.21038,0.0,0.0,14.85714,11.382,20.23782,0.0,0.0,114.0,33.71952,0.0,0.28,2.421,-1.0,6.063839,91.39632770141945,0.03607002291189527,0.7131684765537506,0.013659214238910361,0.05099676302100209,102.71129742631871,597.2904161210917,87.96203902032696,0.06652027725182076,2820.4594045600898,12.78419174382716,61609.18869849755,6.125880576765448,0.03599740585301243,0.03883378256526718,0.5131431372549019,53.33002236448689,0.05396875179563509,0.06822166774781892,0.06731499141463147,0.1649316502030945,0.04041108580549789
14,314,25.2255,23.5797,13,26.5491,0,116,117,4,139,8,1.00963,23.67827,0.0,0.0,19.25,10.766,20.25633,0.0,0.0,108.0,33.96213,0.0,0.28,2.184,-1.0,5.882445,91.66312841788792,0.03487914814203767,0.4582281894511645,0.01349370826920739,0.05106807717559411,102.62503833579896,587.0826280426998,91.03804814544846,0.06775650466664931,2966.440063759754,12.887104552469136,61574.65677268669,6.095907197049604,0.035699566543112564,0.039463030716296456,0.5178666666666667,53.318033477406445,0.0541823954784828,0.06652791738763619,0.06889334963859059,0.18532527731319318,0.037082879361191756
15,315,25.7955,23.5353,13,27.4233,0,116,118,4,139,8,0.99909,24.25124,0.0,0.0,9.5,10.537,20.2492,0.0,0.0,107.0,34.1206,0.0,0.28,2.456,-1.0,5.812307,91.98856957684262,0.03380914084704406,0.9921568587940366,0.013341749372900601,0.0514607315582223,102.54811880625654,577.9005927465817,89.55589415249108,0.0678481491227943,3132.0700964500816,15.207320601851851,61529.03807572798,6.115587796332435,0.03535173333426248,0.039630324784903186,0.5184337254901961,53.39003179102768,0.054689945954696444,0.06559196443770685,0.06968131092676585,0.18532527731319634,0.03652066241395675
16,316,27.0702,23.2624,14,25.075,0,116,118,4,139,8,0.99665,25.43921,0.0,0.0,12.67857,10.028,20.20092,0.0,0.0,110.0,34.05339,0.0,0.28,2.345,0.48624,5.637154,92.1664550053403,0.03284726027204712,1.161210473329599,0.014568806492104099,0.054330841781309945,102.3240173588253,569.3706957891358,88.47857041762536,0.0682337612291163,3682.9884297791295,15.891010802469136,61613.80669688261,6.192382994989554,0.034996690374523944,0.0392817118450971,0.5166780392156862,53.310435730733985,0.05593892653037936,0.06402551226003649,0.07014318135637894,0.18532527731319978,0.03677736718462543
17,317,28.0983,23.1079,14,25.5519,0,116,118,4,139,9,0.99811,26.37425,0.0,0.0,13.10714,10.034,19.96141,0.0,0.0,110.0,34.14913,1e-05,0.27,2.945,-1.0,5.486453,92.52253727227375,0.03196059434057262,0.842341910868123,0.014961579118481973,0.05649347881250479,102.14628709498987,561.4255800434587,87.6569596775453,0.0687693034086757,4062.8013733567104,15.14134837962963,61547.96003744731,6.135450386626825,0.03515897510986624,0.03885490082736324,0.5173850980392156,53.10920150191696,0.057688106672045165,0.06246162831965388,0.07242094973629806,0.18532527731319948,0.03731571804532625
18,318,28.3892,23.158,14,24.346,0,116,118,4,139,9,1.00555,26.65089,0.0,0.0,12.10714,10.089,19.83794,0.0,0.0,109.0,34.22605,0.0,0.28,2.384,-1.0,5.633973,92.89529195597214,0.03116417709678494,1.0478356660357995,0.016293496789993308,0.05958480434630971,102.0621730356282,554.4192525123443,88.73639068177667,0.06963800155598847,4099.152084837904,14.293113425925926,61569.42109960802,6.02102027775901,0.035058963183075165,0.03850733622220728,0.5161752941176471,52.9273983048804,0.05911745387342371,0.06124700552939581,0.07448095980383987,0.18532527731319962,0.04001329791879555
19,319,28.0007,22.3989,14,25.5607,0,116,118,4,139,9,0.99366,26.33814,0.0,0.0,13.28571,10.206,19.89124,0.0,0.0,118.0,34.12026,0.0,0.27,2.621,-1.0,5.463577,93.13580019709394,0.03047822127338594,0.7980418091345951,0.01761698480906533,0.06014885567703258,101.97508366712671,548.6936102424665,88.98961781371474,0.0701642556314402,3873.990601369601,13.507716049382717,61687.04614924977,6.001784205096625,0.034553335530481434,0.03788358839351128,0.5111029607843136,52.927006097487464,0.0590238582650329,0.06050676897133661,0.07576010128616524,0.18532527731319992,0.043395267092235755
20,320,28.3673,21.3477,14,24.4322,0,116,118,4,139,9,1.01311,26.64956,0.0,0.0,12.35714,10.213,19.23977,0.0,0.0,112.0,34.01631,0.0,0.27,2.745,-1.0,5.404147,93.7419876138244,0.030053545663293234,0.8007527909397222,0.01872222476716567,0.06243335108303782,101.92040553731941,544.1232430402117,87.71716703264042,0.0706962682338176,4162.0114088081755,14.972945601851851,61705.097505759164,5.890890222140513,0.03414184413964039,0.037269307062582094,0.5062654901960784,52.83642107174721,0.058283190279429596,0.05937781864362726,0.07723616322207048,0.18532527731320014,0.04608482766645067
21,321,28.7565,20.6914,14,22.8172,0,116,118,4,139,9,0.99504,27.00758,0.0,0.0,11.71429,10.173,18.33815,0.0,0.0,113.0,33.92126,0.0,0.28,3.055,-1.0,5.190016,94.03763853914546,0.029534757712673495,0.6797274604427909,0.019509514651722636,0.06388057031519237,101.85550828582224,540.6556159584254,90.93444141391718,0.07104181443594773,4446.926877703235,14.687162422839506,61751.99982472052,5.770885451251039,0.03346680539276735,0.036949471965208605,0.5039843137254902,52.80766013816552,0.05916018738879287,0.05865172576552199,0.07792192360727658,0.18532527731320048,0.04896845682658079
22,322,29.3496,20.0804,14,23.6036,0,116,118,5,139,9,1.0143,27.52939,0.0,0.0,8.53571,9.941,17.78857,0.0,0.0,111.0,33.82618,0.0,0.28,3.056,-1.0,5.183417,94.57970213089672,0.028899481936999323,1.114531147513953,0.0205829399462078,0.0641160023718313,101.768448730105,538.2982876949394,89.96400006743487,0.07116603210185204,4774.111626623174,13.62475887345679,61803.48960198233,5.723931207739678,0.03284164818462357,0.03674095551011172,0.5002552941176471,52.728198958031925,0.05860112635712299,0.05827470750315104,0.07893167200723988,0.18532527731320014,0.05226811622324181
23,323,29.7814,19.351,14,22.6701,0,116,118,5,139,9,0.99188,27.90153,0.0,0.0,10.25,10.004,17.27643,0.0,0.0,113.0,33.87555,0.0,0.28,2.993,-1.0,5.276277,95.52490437804816,0.02836556414489002,0.8773253756381595,0.022435116573108618,0.06497517910316337,101.63473970788608,537.0273747945032,89.26970988594591,0.07119557565090542,5212.775061677155,12.578269675925926,61960.14335804325,5.647796057635401,0.032334229651719365,0.03693267276712672,0.5017556862745098,52.85453965928819,0.05857558856526385,0.058088043809503935,0.07892231438036677,0.18532527731320025,0.05379030600421012
24,324,30.0738,18.8851,15,22.6937,0,116,118,5,139,9,0.99727,28.21383,0.0,0.0,10.92857,10.071,16.65405,0.0,0.0,108.0,33.75265,2e-05,0.28,3.093,0.4573,5.030952,96.82816604522228,0.02788716653180451,0.7433077220961284,0.02303917730154604,0.06583358342545761,101.50133324269929,536.61191975403,86.66926865539618,0.07138383655404931,5406.933027666855,12.559172453703704,62033.778826120426,5.62371480231051,0.03196588325295494,0.03720877328727825,0.49839529411764694,52.87079064639998,0.05812015743952139,0.058478221355557865,0.07864494175970599,0.1875429033564302,0.05454025518060012
25,325,30.5214,18.3299,15,20.168,0,116,118,5,139,9,0.99772,28.67913,0.0,0.0,9.71429,9.895,16.25464,0.0,0.0,110.0,33.59948,0.0,0.28,3.997,-1.0,4.868885,97.59366041451972,0.027476676315302363,1.060736867363952,0.026249921518986804,0.0653609202666057,101.4328097858282,536.9085723115512,86.99324218612539,0.07154227260990058,5739.743479256627,12.539158950617283,62031.33055234218,5.516463868960002,0.03161021082736093,0.03754524366854811,0.4943458823529413,52.89313478823061,0.05784280022426175,0.05862555249483687,0.0782204603727821,0.18754290335643012,0.054921358770677116
26,326,30.7402,17.1992,15,19.9414,0,116,118,5,139,9,0.99473,28.8568,0.0,0.0,8.96429,9.88,15.78921,0.0,0.0,114.0,33.21645,4e-05,0.28,4.279,-1.0,4.915594,97.75278554623168,0.02714159306078761,1.1667405322165043,0.02615149519643296,0.06638040358279693,101.34834185252484,537.7318477700272,90.51425418389852,0.07144681142777752,5763.493394912885,10.886766975308642,62014.90331969399,5.434230412740625,0.0313249260480869,0.0377279521299619,0.4935352941176472,52.90760803222656,0.05747363383938975,0.05871110457578935,0.07849940238998139,0.19138394433549277,0.05608187957494848
27,327,30.6769,17.1765,15,19.562,0,116,118,5,139,9,1.00448,28.79053,0.0,0.0,6.42857,9.863,14.81629,0.0,0.0,113.0,32.98727,2e-05,0.28,4.029,-1.0,5.039985,98.0640240355427,0.02693414731425459,1.1775423725892582,0.02662190804756452,0.06575140887411131,101.39153048474952,538.9880427002262,90.61273817252956,0.07129357644334133,5731.10509605709,9.902681327160494,61964.750443504076,5.225081082497461,0.03108037320049384,0.03811075333756634,0.4904050980392156,52.87553556465808,0.05706814619150845,0.05962640455999172,0.07848812528771859,0.18532527731320414,0.056816214910224594
28,328,30.3,17.2169,15,19.6995,0,117,118,5,139,9,0.98711,28.42213,0.0,0.0,11.64286,9.86,14.7938,0.0,0.0,113.0,32.79034,1e-05,0.28,3.991,-1.0,4.937077,98.22262478087363,0.02737546260702534,1.0299367666619559,0.0270041674153918,0.06564790132125524,101.51184193588713,540.5377081875048,90.8989269571477,0.07105993623417989,5441.171421470433,9.25217013888889,62067.04503793721,5.083859151741205,0.030830498032270393,0.03854079914213024,0.4911176470588236,52.87837012020158,0.05672143114860242,0.05993826776292101,0.07876895801439299,0.18532527731320078,0.05799211765120954
29,329,30.3362,17.4901,15,18.8004,0,117,118,5,139,9,1.00293,28.4645,0.0,0.0,12.89286,9.754,14.80926,0.0,0.0,107.0,32.69859,0.0,0.28,4.492,-1.0,4.95054,98.03270130072669,0.028089349333208766,1.0246018767511844,0.02806480809713498,0.06532020509613387,101.50959675209712,542.1652354163201,86.93384818811235,0.07139185029126946,5500.923777770331,8.849633487654321,62182.46928809544,5.009557785526875,0.030638586879086438,0.03886138144771728,0.4926572549019608,52.68653813114873,0.05672400294213059,0.06069220901671931,0.07906505970345551,0.18532527731320117,0.05746721987233966
30,330,30.1832,17.9391,15,17.6288,0,117,118,4,139,9,0.99944,28.33426,0.0,0.0,13.46429,9.746,15.03811,0.0,0.0,109.0,32.52867,0.0,0.28,4.637,-1.0,5.000743,97.16309492375078,0.028002383008671052,1.3952900750716792,0.029291366844555484,0.06508151896391898,101.55490189799085,543.593610130746,88.14170387198396,0.07145583885654096,5318.634068902424,8.86935763888889,62215.30303597984,5.052621423552609,0.03037609752386691,0.03905610974411196,0.49089960784313735,52.284970883969905,0.05801444317968946,0.06167510556283673,0.07834312716759038,0.18532527731320067,0.05718216876987956
31,331,30.2624,18.5093,15,18.795,0,117,118,4,139,9,0.99521,28.40797,0.0,0.0,12.14286,9.815,15.42616,0.0,0.0,114.0,32.572,0.0,0.28,4.002,-1.0,4.864037,96.60380185446009,0.027471692204841955,0.9026401432148101,0.030919744521381787,0.06467784970964321,101.54879950058542,544.7396705910951,86.35110665006519,0.07236333865735471,5409.939003508817,8.678674768518519,62226.64505899326,5.090702290165745,0.0301997974596334,0.039218644142187696,0.49158156862745117,51.91212105456694,0.05898321379417146,0.06308737047380174,0.07722955098847126,0.18532527731320123,0.0579656201123349
32,332,29.944,19.1611,15,20.0567,0,117,118,5,138,9,0.99984,28.11673,0.0,0.0,10.14286,9.761,15.93749,0.0,0.0,118.0,32.98691,0.0,0.28,4.295,0.52984,4.739077,97.00744489874873,0.027147357927611943,1.0505979431265655,0.03073979552052398,0.06467509630058046,101.63426500518439,545.6665347810819,90.5890154004406,0.0732615883398475,4958.752095691813,8.576726466049383,62204.26306562392,5.145210357401686,0.029964682133955044,0.039325497852236296,0.49629725490196075,51.791392008463546,0.0596612368908354,0.06375464342565568,0.07640122924839768,0.1853252773132016,0.059853549783813194
33,333,29.934,19.7864,15,22.3659,0,117,118,5,138,9,0.99595,28.13199,0.0,0.0,10.42857,9.764,16.48343,0.0,0.0,117.0,33.1837,0.0,0.28,4.462,-1.0,4.7401,97.59761492297818,0.02683451136193501,0.9995083079664668,0.030820673505978845,0.06467729982264098,101.6805873167195,546.4790453763503,90.49495633630971,0.07298815725657544,4846.530942432323,8.735725308641975,62166.74753626018,5.228835219563113,0.029770874155478036,0.03942958644320946,0.4977011764705883,51.70526367941021,0.059839586465727825,0.06415558290673429,0.0760753744488542,0.1853252773132005,0.06063294128790518
34,334,29.9623,20.1365,15,22.9669,0,117,118,5,138,9,0.98282,28.18799,0.0,0.0,8.57143,9.635,17.01167,0.0,0.0,115.0,33.30467,0.0,0.28,3.994,-1.0,4.571867,98.13826651527722,0.026551739865843162,0.783412696184766,0.030650708284414362,0.06463122781537389,101.71066809770207,547.120477541527,89.92378199120594,0.07275140900363432,4909.12026358435,9.494116512345679,62173.87191711345,5.29028470580918,0.02950771063870124,0.039554303246732786,0.4959372549019607,51.461919713903356,0.05976898115884502,0.06509396686830532,0.07545422955342443,0.18532527731320245,0.06212756728029176
35,335,29.9991,20.5833,15,21.941,0,117,118,5,138,9,1.00767,28.23347,0.0,0.0,9.78571,9.569,17.3078,0.0,0.0,115.0,33.38779,0.0,0.28,4.258,-1.0,4.482304,98.90308473804545,0.026273514429401665,0.8302182408219575,0.03047169055216152,0.06506762156994382,101.72003027029758,547.6595358338444,86.82392252767696,0.07253639727150792,4910.848635903786,9.93701774691358,62116.32634395373,5.406205249701799,0.02932931090095648,0.04001089014753834,0.4913865294117622,51.28784857855903,0.06030070922037766,0.06542735730831215,0.07477815100693216,0.1913839443354919,0.06246524809724658
36,336,29.4782,21.1594,15,22.5132,0,117,118,5,138,9,1.01032,27.7975,0.0,0.0,11.35714,9.643,17.68494,0.0,0.0,114.0,33.34304,1e-05,0.28,4.385,-1.0,4.365974,99.33555690519692,0.026016746976836775,1.3083870553717312,0.030278309548069485,0.06542782190079248,101.8022236922258,548.0754745100159,89.10980335402984,0.0723677690335429,4609.316147842508,10.342544367283951,61911.91212480475,5.505129263334197,0.02917726534758778,0.0409889125062898,0.4891882352941177,51.16125469443239,0.06054670983428845,0.06516494837639346,0.07413021596982132,0.19138394433549286,0.06197034747174097
37,337,28.5627,21.7006,15,23.0086,0,117,118,5,138,8,1.00216,26.99197,0.0,0.0,10.5,9.767,18.17486,0.0,0.0,120.0,33.41129,0.0,0.28,4.973,-1.0,4.151368,99.50442472866176,0.025756855411276865,1.0632467898294113,0.030022222569989803,0.06628955285478187,101.98088266255299,548.3060500432401,87.8601039572973,0.07261524383357729,4247.351477047355,11.142602237654321,62030.02240587239,5.700975562452722,0.029059376209351055,0.04250410870636562,0.4860396078431372,51.0480672577281,0.060883878243537685,0.06528853917050093,0.07360815174325228,0.1913839443354944,0.06135077168067019
38,338,28.5068,22.6488,14,25.6663,0,118,118,5,138,8,1.00714,26.94167,0.0,0.0,7.82143,9.694,18.63539,0.0,0.0,122.0,33.57456,0.0,0.28,3.038,-1.0,3.961245,99.87436288816612,0.025511830249537976,1.1077866054308052,0.02979737257149417,0.06755834424858621,101.95819843320983,548.2328896850598,89.8150139791187,0.0724447349263787,4323.913417188152,12.591869212962964,62074.584516545656,5.878237536607366,0.028861186477526002,0.04404817239047225,0.4872011764705882,50.78818370677807,0.0613388889914145,0.06504079233148999,0.07294389198044063,0.1936015703787246,0.06096532213670735
39,339,28.1825,22.9937,14,27.0462,0,118,118,5,138,8,0.99706,26.67833,0.0,0.0,10.57143,9.901,19.44375,0.0,0.0,122.0,33.8249,0.0,0.28,4.054,-1.0,3.759553,99.87311057852467,0.025273025132386398,0.9474221837769974,0.029730484471312945,0.06669893633021978,102.01178788676981,547.7700886248505,91.1628699536329,0.07231562633132829,4199.706339352988,13.425491898148149,62087.1893409644,5.971312928732658,0.028682242454352892,0.045564085905122835,0.4904411764705882,50.62421483169367,0.06278363680162781,0.06484797572547685,0.07212852222592131,0.19360157037872197,0.06075497981892578
40,340,29.1115,23.1856,15,26.9855,0,118,118,5,138,9,1.0043,27.51203,0.0,0.0,9.60714,9.556,19.7428,0.0,0.0,117.0,34.26521,0.0,0.28,3.587,0.51762,3.698688,100.03943418209295,0.025041011639104053,1.009288155557931,0.02950624305762448,0.06662437066563176,101.82698610162149,546.9938112794352,91.84719800485665,0.07257956785761073,4621.873811033948,14.146894290123457,62030.2773608704,5.974292155822084,0.028550749884252043,0.04657196684370558,0.49627333333333323,50.253228646737554,0.0637705420339444,0.06471542165871672,0.07139447880099618,0.19360157037872586,0.06053797173783306
41,341,29.3242,23.8876,15,25.3294,0,118,118,5,138,9,0.99714,27.73101,0.0,0.0,8.64286,9.717,19.9194,0.0,0.0,115.0,34.57913,0.0,0.28,3.066,-1.0,3.824746,99.87492165605734,0.024817792452520353,1.1654056367967573,0.02956673412079986,0.06720741032658578,101.79318109448623,546.066439725075,91.28018959721182,0.07239915126624684,4493.33501150525,14.281201774691358,61970.905946076426,5.9139792545894165,0.02844078452820427,0.04856355323481375,0.49822980392156857,50.12548715096933,0.0650941735903997,0.06463682985780543,0.0706832452433933,0.1913839443354949,0.060610001328029225
42,342,29.4629,24.2652,15,27.3256,0,118,118,5,138,9,1.01228,27.79406,0.0,0.0,9.75,10.169,20.52148,0.0,0.0,119.0,34.80044,0.0,0.27,2.873,-1.0,3.79314,98.93902835722446,0.024599883370563992,1.202807203168288,0.029445798159062835,0.06785717819815097,101.78043910214984,545.1280369998673,90.47429438198147,0.07214651382334367,4555.724969119589,14.578896604938272,61897.54244541543,5.788772286138168,0.028251041548680415,0.05092258233856794,0.49981411764705874,49.952395215446565,0.06489421117615905,0.06415292302120441,0.06996601643590293,0.191383944335494,0.060403199997704514
43,343,28.7729,24.1522,15,25.9047,0,118,118,5,138,9,1.00324,27.11053,0.0,0.0,10.71429,10.265,20.8365,0.0,0.0,120.0,35.03851,0.0,0.28,3.033,-1.0,3.734138,98.75753211417592,0.024375526698011053,1.4648897124405003,0.029563640223616284,0.06733359639355209,101.92732011113385,544.0422025481485,89.3369526837252,0.07170229948170617,4165.174918071211,15.521942515432098,62028.245011825,5.801200394950733,0.02840926668861283,0.05168369411590144,0.5003796078431372,49.91822475857205,0.06515062460186094,0.06419743279783119,0.0692532790104189,0.18532527731320084,0.06042774287656379
44,344,27.7398,24.3117,14,26.3273,0,118,118,5,138,9,0.99985,26.14591,0.0,0.0,15.67857,10.534,20.73017,0.0,0.0,121.0,35.08267,0.0,0.28,2.729,-1.0,3.850911,97.96906169944822,0.024158103843123214,1.0599867222050798,0.029730614627703555,0.06698885298939353,102.07548731806457,542.7868956336418,90.37772929979562,0.07131101292639722,3763.291639454996,16.188126929012345,62241.04839075106,5.947075517266964,0.028614996023512435,0.05124655964197824,0.4981474509803921,49.88743402928482,0.06556713826471804,0.06503775145891848,0.06856616172328689,0.185325277313201,0.06075131657783542
