,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,blur,saturation,staticness,cubrow.1.0,fft,cubrow.0.3,cubrow.0.6,cubcol.1.0,cubrow.0.5,color_fulness,tone,cubcol.0.6,cubcol.0.3,temporal,contrast,cubrow.0,cubcol.0,blockiness,cubcol.0.5,uhdhdsim,noise,movement
10,210,67.737,20.7652,42,42.1325,0,123,118,11,135,16,0.98711,62.2211,0.0,0.0,1.25,5.271,17.22247,0.0,0.0,124.0,33.57048,0.00294,0.43,6.31,-1.0,0.185284,52732.90219124792,42.80975925775222,536.8710796100972,0.07575687119350413,76635.89437581348,0.1588191977882574,0.19680940083784015,0.12452533488172292,0.23009314313420337,85.00766815282238,0.5167188235294118,0.3173613797985361,0.223548737841903,5.479220957459986,88.47096989241969,0.17219048101647824,0.31811386643014783,2.455394709358616,0.18080836932913852,83.18008600523946,0.45281927417424633,9.95679012345679
11,211,65.0645,21.1621,40,37.9708,0,123,118,10,135,15,0.97464,59.75634,0.0,0.0,0.42857,5.907,17.82317,0.0,0.0,124.0,33.41177,0.00289,0.42,7.416,-1.0,0.165016,48572.08248514291,42.87174761736834,532.1536703362037,0.07356764503865153,74417.0152792053,0.15264514639933033,0.1928475153577476,0.12364095131153262,0.22252849110723474,84.38412981186858,0.514501568627451,0.3130230436823199,0.22197011852087448,5.67563955477353,87.42261653292748,0.1654095066136825,0.31301039646540024,2.5121391315682096,0.18067257353612007,83.36103714871649,0.4445429811087242,11.57957175925926
12,212,63.5802,21.218,38,38.7166,0,123,118,10,135,15,0.98508,58.34064,0.0,0.0,1.64286,6.442,18.16388,0.0,0.0,124.0,33.26296,0.00281,0.4,6.897,-1.0,0.184984,45607.59229481408,42.97230718165268,527.7246450729862,0.07101195998705216,73463.7475495314,0.1472142126324829,0.18825957584065467,0.12206764180423037,0.21569999338240847,84.30555914046695,0.5110674509803921,0.3083403631329337,0.2218648227110389,5.825730605553038,87.61585873343343,0.1594856388708908,0.305282141188189,2.192461332044582,0.18036636134464848,83.35276742142858,0.4445429811087161,11.384211033950617
13,213,63.2991,21.3116,37,34.8723,0,123,118,10,135,14,0.99099,57.94578,0.0,0.0,1.25,6.465,18.21178,0.0,0.0,124.0,33.18973,0.00287,0.4,6.7,-1.0,0.177893,47480.04621077522,42.94065913447627,523.262261234732,0.06910660138067427,74476.74477124008,0.14243188907909354,0.1868188372103347,0.12108115961468015,0.21060063664189296,84.42304992987951,0.5084654901960785,0.30688587628952474,0.2207473124455775,5.907255926596081,84.62620227269213,0.15417715233803472,0.2996075739327955,1.4019255359400167,0.18043460761220878,83.32516036305043,0.4324256470641352,10.44237075617284
14,214,63.9885,21.121,37,36.6664,0,123,118,10,135,14,0.99664,58.44734,0.0,0.0,0.67857,6.549,18.28942,0.0,0.0,124.0,33.35102,0.00281,0.39,8.037,-1.0,0.192206,51870.152109650284,42.89111064392843,518.751934434645,0.06736288459519837,77155.65709811985,0.138246556036955,0.1850040085815069,0.11967050543512367,0.20669759953286806,84.86564670191919,0.5134487450980387,0.30716787148467783,0.22033828756416204,5.972740301064571,87.67126332757569,0.1493799928716386,0.29465198015845484,1.3945907560159587,0.1803406529557528,83.20493284667126,0.43020802102090566,10.104311342592593
15,215,64.225,21.0559,37,34.037,0,122,118,10,135,14,1.00211,58.64366,0.0,0.0,0.5,6.408,18.12531,0.0,0.0,124.0,33.53542,0.00289,0.39,8.288,-1.0,0.184448,51433.44748418455,42.88427056206597,514.20320937792,0.06572436715782445,77267.28619672295,0.13463832302108927,0.18622732898353786,0.11665540201915747,0.20242502031846807,84.76799104746316,0.5175224901960779,0.312500800197788,0.2191668778641982,5.974527171487256,86.36621160235433,0.14502620310451567,0.2912781005892831,2.152287117589746,0.1807228826787879,83.25540038672062,0.4302080210209023,12.645399305555555
16,216,63.8799,20.8365,37,37.4099,0,123,118,10,135,14,0.98951,58.31761,0.0,0.0,0.57143,6.437,18.07393,0.0,0.0,124.0,33.59873,0.00318,0.4,7.02,0.13465,0.178336,50220.45070890689,42.803233205536266,509.56450387349236,0.0642612598496916,76810.53175961644,0.1316436588373434,0.18515314157606722,0.1154880039387977,0.19904982602550028,84.55502847009485,0.5190937254901961,0.3148153939439389,0.21811939001830752,5.926664604207101,85.81122352047258,0.1410693043264489,0.2945689211936221,2.0160874146865044,0.17965959294121964,83.28740920689256,0.430208021020902,13.138358410493828
17,217,64.6652,20.5612,37,33.5289,0,122,118,10,135,14,0.98203,58.95489,0.0,0.0,0.5,6.378,17.88657,0.0,0.0,124.0,33.68788,0.003,0.39,8.459,-1.0,0.200457,52646.65232458562,42.9206036226249,504.86475705548196,0.0629385430041861,77000.82775187951,0.12919717744116618,0.18299275771995904,0.11464842136882421,0.1948238979997173,84.25798949807309,0.5199192156862746,0.31702532348399753,0.21768868600186106,5.884346906492385,87.45221745847468,0.13748627653534115,0.3035299157555578,1.4447483691241214,0.17964558783978216,83.10625750492542,0.43020802102089944,12.485773533950617
18,218,65.1603,20.4992,37,35.4461,0,122,118,10,135,14,0.99599,59.34091,0.0,0.0,0.28571,6.138,17.6491,0.0,0.0,124.0,33.6985,0.00333,0.39,7.661,-1.0,0.19758,54346.054672144914,43.131990409191744,500.2035737590242,0.061709694006925324,77498.53239201165,0.1265640441044901,0.18195648417176322,0.11340033908301267,0.1907421933260422,84.18568591784332,0.5188772549019608,0.31701889898103064,0.21627492951611166,5.870009659841779,87.38707808413062,0.13422661681065412,0.311333568727831,1.117348206747013,0.17898352606363652,82.98685374346691,0.43020802102089944,11.768229166666666
19,219,65.1625,20.6512,37,33.7513,0,122,118,10,135,14,0.99245,59.3283,0.0,0.0,0.39286,6.342,17.59571,0.0,0.0,124.0,33.59202,0.00325,0.4,7.356,-1.0,0.186876,55385.36428388189,43.1929281729239,495.6789157199485,0.060557602114729284,77546.50770845654,0.1239548189275075,0.1817751835388985,0.11250856004804692,0.18669896526424473,83.78485969598655,0.5186003921568628,0.3198953700936694,0.21541411995650955,5.867252561210123,87.57839943573319,0.1311417796798674,0.3184024675883946,2.284000257556151,0.17904573738475002,82.90184076379998,0.43020802102090094,11.275077160493828
20,220,65.0313,20.6158,37,32.8256,0,123,118,10,135,13,1.0013,59.18437,0.0,0.0,0.53571,6.69,17.72423,0.0,0.0,124.0,33.37497,0.00306,0.39,7.723,-1.0,0.214164,55368.361316670635,43.207761411313655,491.27104278008545,0.059479771134104034,76823.72253650932,0.1217368875110862,0.18215897234478404,0.11194614436482828,0.18315866176877954,83.0683291175365,0.5178917647058823,0.3241315804250663,0.2145693350252935,5.852822024960625,85.98719521772976,0.128308660080382,0.3238363060154627,1.6465163935509315,0.18148534079189274,82.83369106674954,0.43020802102089556,13.264949845679013
21,221,65.4475,20.2794,37,30.3569,0,123,118,10,135,13,1.01383,59.53109,0.0,0.0,0.07143,6.733,17.69495,0.0,0.0,124.0,33.15499,0.00325,0.39,7.454,-1.0,0.20649,58073.22636805548,43.25429695035204,486.9535672657566,0.05849138793126999,76470.6977110017,0.11951274043007323,0.18371217006074653,0.11115235102701541,0.17967747678058735,82.26536235216176,0.5165227450980393,0.32510367451668937,0.213622025266605,5.803425161239615,84.35327460739511,0.12569440731479362,0.32642468002191866,1.1122203243785849,0.18233657003084414,82.59119193411543,0.42799039497767216,12.849295910493828
22,222,65.7432,20.4187,36,30.5677,0,123,118,10,135,13,1.00995,59.78151,0.0,0.0,0.39286,6.588,17.40976,0.0,0.0,124.0,33.02314,0.00308,0.39,8.171,-1.0,0.198466,59723.788769713996,43.125167658299574,482.7049668946655,0.05759704297685259,76388.047899015,0.1174807888760674,0.18312102776235686,0.11029635616620151,0.1759652103929506,81.18324392662495,0.5157043137254903,0.32437262776981224,0.2133144404933054,5.760103174444613,88.35670320598628,0.1232741674224295,0.330663361913413,1.9320976059276613,0.18334306745573128,82.61456265075545,0.4279903949776718,12.58449074074074
23,223,65.4341,20.2083,36,31.3969,0,123,118,10,135,13,0.99266,59.50788,0.0,0.0,0.32143,6.744,17.52733,0.0,0.0,123.0,32.91422,0.00294,0.39,7.829,-1.0,0.201536,60551.53675002135,43.12137895748939,478.5142590375024,0.056712264145605776,74658.06445050982,0.11541275276236833,0.18544590200148953,0.10966919223627294,0.17279607472888717,80.35385734481201,0.5126439215686275,0.322831828201611,0.21410799473444092,5.726430056287915,87.70404955841482,0.1210003466395388,0.33692874780957643,1.7614473565464273,0.18813042674851396,82.70933425305532,0.42577276893444377,12.239535108024691
24,224,65.5432,20.0553,36,32.2343,0,123,118,9,135,13,0.99061,59.59089,0.0,0.0,0.32143,6.69,17.34582,0.0,0.0,123.0,32.7753,0.00326,0.39,8.061,0.12899,0.214173,60880.92252709748,43.212123164424185,474.3180289586066,0.05594065815828599,74645.81365004163,0.11356639423555746,0.18574042432378535,0.10906366817690488,0.1696619361236649,79.35523629087017,0.5091597647058818,0.32081683239243086,0.21343054477557866,5.6899959476035535,86.82984046993587,0.11887424562003526,0.34067576438090263,1.3968203294829045,0.18671121596145684,82.64798887503133,0.424149353998609,12.060378086419753
25,225,65.4409,20.3171,35,29.422,0,123,118,9,135,13,0.98297,59.46634,0.0,0.0,0.21429,6.843,17.21496,0.0,0.0,123.0,32.80651,0.00321,0.39,7.942,-1.0,0.21575,62058.18056985981,43.180972440743155,470.01798726710456,0.05520403083901475,74321.45521946556,0.11176054599891211,0.18745338645522833,0.10859054235000401,0.16672016980652715,78.64666798115974,0.5066956862745098,0.3187288244987687,0.21289167017453267,5.671320299457896,86.27566099449302,0.11685466801132426,0.3375902949937221,1.2128422091984048,0.187026970788979,82.59478898434088,0.42414935399860526,13.132523148148149
26,226,64.6941,19.9868,35,29.1157,0,123,118,9,135,13,0.98599,58.86036,0.0,0.0,0.39286,6.859,17.43809,0.0,0.0,123.0,32.90794,0.00325,0.39,7.686,-1.0,0.211251,58182.98423213874,43.14224111297984,465.66273763909214,0.05446994233723738,72947.9603436629,0.1100281230534807,0.18290042031095716,0.10814717153102629,0.16387826266136557,77.59687575638284,0.507389411764706,0.314644317889995,0.21418888979208356,5.68491313609708,87.76500574062092,0.1149064343883983,0.3315173062542346,2.1006866161110724,0.18656783595112345,82.7838700487593,0.42414935399860926,13.192418981481481
27,227,64.0229,19.9098,35,28.502,0,123,118,9,135,13,1.01096,58.27419,0.0,0.0,0.85714,6.834,17.1546,0.0,0.0,122.0,32.88097,0.00332,0.39,7.813,-1.0,0.210486,56492.46677005688,42.988250167281535,461.3077080327709,0.05377576309013031,71715.86340910943,0.10840872746457944,0.18029148612857737,0.10733943594271715,0.16164105405875057,77.31117411250884,0.5035031372549019,0.31046056722130044,0.2149592136386293,5.667891613132714,89.94677223784633,0.11309999590723359,0.32697910300473765,1.3713173029304828,0.1867124094597618,82.77365518111552,0.4219317279553802,12.829523533950617
28,228,63.6588,19.4517,34,28.6326,0,123,118,9,135,12,0.99586,57.92685,0.0,0.0,1.17857,6.971,17.09338,0.0,0.0,121.0,32.53502,0.00323,0.39,8.054,-1.0,0.207087,55082.44848376521,42.84807332356771,457.08610298237363,0.05314762340355975,70776.31077979616,0.10687204999994376,0.17812825602742324,0.10679250602955012,0.16020691386296124,76.8299805426632,0.4950262745098039,0.30641969064233643,0.21494342893268745,5.63341219114851,87.23840698689986,0.11134248037649912,0.3231015665810429,2.9693462264363597,0.18693311910951077,82.65359735324421,0.4219317279553807,12.410108024691358
29,229,62.7947,19.5623,33,28.8568,0,123,118,9,135,12,1.00675,57.12849,0.0,0.0,0.5,7.116,16.69399,0.0,0.0,121.0,32.29463,0.00317,0.4,8.786,-1.0,0.208356,54046.41945669006,42.74009723427855,453.0034562693301,0.052551268526374706,70372.05918295367,0.10539046987480905,0.1758973602032854,0.10620971577179036,0.15834840368115094,76.46548678711353,0.48774470588235297,0.3026498526207839,0.2158094554900299,5.604102600143229,85.86976704069966,0.10962701802545717,0.31938790235840514,2.235823296579961,0.18718391896240252,82.83911091932104,0.41809068697631724,12.162808641975309
30,230,62.2302,19.6085,33,27.6476,0,124,118,9,135,12,1.01324,56.6082,0.0,0.0,0.5,7.453,16.78745,0.0,0.0,121.0,32.17769,0.00333,0.39,7.614,-1.0,0.197124,53252.785274798625,42.47971278061101,449.03698411374063,0.05198900830764364,69694.28444171957,0.10384682575962623,0.17369125088717008,0.10540497466939044,0.15697484451073154,76.4393362743098,0.4849015686274511,0.2994751997626312,0.214624723893991,5.621248019941615,87.30604546451413,0.10794031260757288,0.3156234155287443,1.8468300176287813,0.1860135111880583,83.02985046172701,0.4158730609330859,12.585744598765432
31,231,62.029,19.2342,33,27.9768,0,124,118,9,135,11,0.99889,56.41578,0.0,0.0,0.85714,7.609,16.82515,0.0,0.0,122.0,32.10346,0.00336,0.39,8.025,-1.0,0.215863,52759.01716349822,42.27433061011043,445.2092723033869,0.05142931497042085,69074.5162027854,0.1024219360950642,0.1719972886568217,0.10489567828856801,0.155619088914027,76.88874456527402,0.48356288235294115,0.29622971413946003,0.21334750286766846,5.678761899314404,88.11054527348948,0.10640778401648043,0.312010947642005,1.5118545267280918,0.1854057275885346,82.87509921741746,0.413655434889856,12.601996527777779
32,232,62.5642,19.5033,33,28.0221,0,123,118,9,135,11,0.99757,56.91196,0.0,0.0,0.5,7.671,16.50483,0.0,0.0,122.0,32.17105,0.00337,0.39,7.658,0.13092,0.199233,53521.652737519296,42.09105145489728,441.5280601065745,0.050961111543649226,68903.6303787659,0.10107195370696886,0.17020949689905907,0.10440061765405549,0.15357352408927025,77.37590887309673,0.48481570588235284,0.2930799730748686,0.21345942776288396,5.644246878605337,85.88919467787545,0.10497622384041155,0.30857776258805386,2.276230739259998,0.1848767761424431,82.7341390717943,0.413655434889856,12.766927083333334
33,233,62.8393,20.0549,33,30.7033,0,123,118,9,135,11,1.01205,57.18041,0.0,0.0,0.21429,7.69,16.7352,0.0,0.0,122.0,32.3958,0.00339,0.39,7.695,-1.0,0.205922,54014.91623452686,41.99405265148775,438.0570994228361,0.05049101750296934,69386.1665126295,0.09981841178991913,0.16814753317201225,0.10399287071559184,0.15166993771139753,77.97799768943717,0.4886721568627451,0.29004258049356635,0.21266493175095225,5.676701340642637,87.20474820865041,0.10355193721109272,0.3051121852351053,1.6396631133125894,0.18473293073442187,82.83910636929426,0.41971410191214886,12.738956404320987
34,234,63.2303,20.3145,34,31.1593,0,123,118,10,135,12,0.97979,57.54329,0.0,0.0,0.42857,7.848,17.21097,0.0,0.0,122.0,32.61782,0.00367,0.39,7.84,-1.0,0.198638,55574.99625324587,41.95460849338107,434.7425494717984,0.0500034720755634,70863.44874671607,0.09866600535170016,0.16672507012276067,0.10357975289901569,0.1498173856034059,78.49440774245285,0.49370313725490195,0.28765368887354137,0.21302682466948122,5.727298446799677,86.82647010362388,0.1022427222113224,0.30198494403927806,1.8921451507579397,0.18433512201011232,82.80314630073346,0.42193172795537004,13.189621913580247
35,235,63.5743,20.4823,34,31.1267,0,123,118,10,134,12,0.97581,57.8634,0.0,0.0,0.5,7.691,17.43317,0.0,0.0,120.0,32.74755,0.00363,0.39,8.174,-1.0,0.205251,56527.40074642149,41.934600830078125,431.53751797053644,0.04967621751004928,71636.22678282387,0.09750204469439103,0.16612704714566046,0.10317562485453131,0.14937890962363976,79.83629664317064,0.5004440784313726,0.28499832826835486,0.21244445962795652,5.755187402202036,87.81783308084924,0.1009904946845952,0.29901733244502776,1.5308409900760889,0.18396767148981766,82.75453308034389,0.4241493539985977,13.687789351851851
36,236,63.5698,20.6898,35,30.1712,0,123,118,10,134,12,0.99041,57.89936,0.0,0.0,0.53571,7.592,17.57429,0.0,0.0,120.0,32.86413,0.00348,0.39,7.363,-1.0,0.195644,55684.29663381335,41.86894282588252,428.49347189535047,0.04934792755338232,71286.84823252553,0.09642336080406402,0.1648721290709587,0.10278347025372331,0.14730740437192924,80.35491938669747,0.506338549019608,0.28376865237629384,0.2120444344522389,5.789165904724789,87.76596061457707,0.09978972516813565,0.296218795780561,1.4554540033660277,0.1839385785679882,82.71975294536028,0.4241493539986085,13.875
37,237,64.0292,20.7706,35,32.9257,0,123,118,10,134,12,0.99962,58.33363,0.0,0.0,0.53571,7.752,17.75355,0.0,0.0,124.0,33.16056,0.00356,0.39,7.84,-1.0,0.201675,56598.947677640535,41.771169026692704,425.6283560068626,0.04890506363088792,71482.3264119957,0.0954167563321682,0.16427692065109942,0.1022824270018426,0.1457332374395357,80.92969009432034,0.512292549019608,0.2820511749027132,0.20967306986401218,5.775095419908965,86.39715960431849,0.09865070987155564,0.2933896505217786,2.0735271145406,0.18413512176255672,82.68843380683812,0.42414935399861425,14.028645833333334
38,238,64.9836,20.4879,36,32.297,0,123,118,10,134,13,1.00097,59.18495,0.0,0.0,0.21429,7.733,17.82323,0.0,0.0,124.0,33.35369,0.0037,0.39,7.536,-1.0,0.201982,60444.77740929202,41.700544757607545,422.9905051559203,0.04852551352015092,72822.6476612207,0.09443270464006782,0.1634976599132106,0.10218717432597933,0.14424937803006974,81.38895560016476,0.5149270588235295,0.27883394293684144,0.20897220896466862,5.797065343424742,88.3094494288732,0.09754890265745597,0.29051219483003404,2.3608795807531915,0.18450253100376615,82.499099527393,0.42414935399861614,13.928626543209877
39,239,65.6926,20.221,37,30.8026,0,123,118,10,134,14,0.99433,59.82745,0.0,0.0,0.28571,7.67,17.57952,0.0,0.0,123.0,33.52731,0.00404,0.39,7.723,-1.0,0.190403,62399.21899355704,41.56127590603298,420.5756292566686,0.048148589835918035,74291.02561039623,0.093564202885964,0.16200802436479314,0.10183751808522581,0.14296167310971025,81.90715015630659,0.5170125490196078,0.27645897083337434,0.20843196764048963,5.791677824396393,87.98333793068524,0.09648558854143938,0.2874947030032805,2.4969389993245286,0.18497898399745094,82.3774629476026,0.4279903949776713,14.034288194444445
40,240,65.5002,20.6447,37,32.0024,0,123,118,10,134,14,1.0008,59.70628,0.0,0.0,0.28571,7.757,17.35436,0.0,0.0,123.0,33.65496,0.00379,0.39,7.816,0.12809,0.185829,60016.189279839586,41.63567342875916,418.4264563055088,0.04778952880921143,73798.8244396862,0.09274854769366042,0.16134805944630157,0.10159621297299062,0.1424281745182492,81.89526624418832,0.520192549019608,0.27407716919852104,0.20868142949876764,5.7713858540151275,89.2503558453041,0.09545973368549972,0.28475843516058486,2.4940420032571264,0.18594158369858166,82.4254348113132,0.43020802102090006,14.21629050925926
41,241,65.685,20.8285,37,31.7651,0,123,118,10,134,15,0.99599,59.91236,0.0,0.0,0.17857,7.627,17.71694,0.0,0.0,123.0,33.73133,0.00373,0.39,8.386,-1.0,0.184526,60382.804694530125,41.58542585961612,416.53309730358876,0.04742869597137123,73973.89727004977,0.09201616838574657,0.16082872153196204,0.10140719757757317,0.1412252481454784,81.96715433033619,0.5195161176470587,0.27190321778304494,0.2090902809384359,5.823588338323654,89.12032551489,0.09450756318274281,0.2820884220342109,1.4113270028913407,0.187159648531108,82.45819609534479,0.4302080210209061,14.233458719135802
42,242,66.0042,20.8856,38,31.6878,0,123,119,10,134,15,1.00751,60.22896,0.0,0.0,0.25,7.314,17.87504,0.0,0.0,123.0,33.7316,0.00383,0.39,10.417,-1.0,0.174642,61615.45131882344,41.615214595088254,414.8583120635252,0.047047377584499665,74244.19318366211,0.09114235948178857,0.16079448397846588,0.10124054399491814,0.14026924598251708,81.91947542190752,0.5198441568627443,0.26974413284284776,0.20998099562098102,5.861538774001714,85.416133728233,0.09356924561800532,0.27951439440521325,2.0030587667558466,0.18851319876769246,82.45979535880724,0.43020802102090566,14.116512345679013
43,243,65.6473,20.6797,38,33.2478,0,123,119,10,134,15,1.01055,59.91791,0.0,0.0,0.5,7.041,17.92626,0.0,0.0,124.0,33.64688,0.00377,0.39,10.073,-1.0,0.175917,61267.46616849591,41.63884235900125,413.3321350116681,0.0466621095341909,74932.73489445186,0.09034718260069838,0.16026868013093698,0.10090208392606381,0.1391081329737934,81.58179663877468,0.5187674509803922,0.26789306917661193,0.21070058215431353,5.874744899680059,87.33833281897441,0.09264326398216297,0.2770487896327188,2.597494509118729,0.19135647485051843,82.61315875458793,0.43020802102090233,14.165219907407407
44,244,65.6366,20.4607,38,31.6641,0,123,119,10,135,15,1.00791,59.89942,0.0,0.0,0.35714,6.935,17.74988,0.0,0.0,124.0,33.49753,0.0039,0.39,9.608,-1.0,0.169381,60744.80232672803,41.63053234712577,411.9583606133069,0.04632371153880672,73411.18438444758,0.08954412384539234,0.15908184122750804,0.10074236938766797,0.1379749612953773,80.88553195158943,0.5163933333333333,0.2665225693625362,0.21134304763269032,5.859253356076122,85.38324002316331,0.09181150836593405,0.2745610351209213,2.0612822321868327,0.1938798291053417,82.65293382072782,0.43020802102090966,14.434268904320987
