,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,staticness,saturation,fft,color_fulness,cubcol.0.3,cubrow.1.0,cubcol.1.0,cubcol.0.6,movement,cubcol.0,cubrow.0.5,blockiness,cubrow.0.6,contrast,tone,cubrow.0,cubrow.0.3,noise,uhdhdsim,temporal,cubcol.0.5,blur
35,35,48.7592,3.53989,31,6.36748,0,117,133,8,125,7,0.98348,46.90738,0.0,0.0,3.28571,5.134,3.02853,0.0,0.0,128.0,55.44046,7e-05,0.72,1.025,-1.0,0.0,612.5616891525547,33.612704430097416,66130.68250270207,162.86968345764524,0.043117040642934576,0.15924443981485825,0.02500246477435623,0.14514291611625785,0.6726466049382716,0.019834152705429316,0.25005573313119894,2.701335488788447,0.1469376978473109,90.88458425031546,0.7718862745098038,0.10709838655715473,0.21623451233297383,0.5372056197653234,92.2573553547623,3.3672088951107204,0.1551547006495823,22363.875162472697
36,36,49.5876,3.61244,31,5.89254,0,117,133,8,125,7,0.98867,47.55835,0.0,0.0,4.5,5.034,2.99255,0.0,0.0,128.0,55.44467,5e-05,0.73,1.035,-1.0,0.0,612.6085198746263,33.55331100652247,66304.85806936995,162.90611418287259,0.04308445660889605,0.15826075512475715,0.025010833290953622,0.14542904301874826,0.6304012345679012,0.019794633713965178,0.25038511018456316,2.7344030154424726,0.14741074385468314,90.70155548678582,0.7728686274509804,0.10725874734729723,0.21651409383550532,0.5372056197653218,92.10642284615714,3.33097736957571,0.15525446311557542,23781.540750979693
37,37,49.0126,3.79862,31,6.05942,0,117,133,8,125,7,0.98214,47.17724,0.0,0.0,3.32143,5.089,3.05483,0.0,0.0,128.0,55.46183,5e-05,0.73,1.052,-1.0,0.0,612.6863682431452,33.57441466531636,66000.35550512862,162.85687318128495,0.0431284249966453,0.1572833772517045,0.024974484607128547,0.14560860041270274,0.7383777006172839,0.01977349109367107,0.2505381049092691,2.6875427769556115,0.14783376001945028,89.5918986068932,0.7719756862745099,0.10734792721368348,0.2166918706893162,0.5372056197653333,92.19844986694888,3.3601468332879656,0.15555708429179546,22303.13697332286
38,38,48.3848,3.7994,31,5.79605,0,117,133,8,125,7,0.98796,46.72551,0.0,0.0,3.17857,5.207,3.21581,0.0,0.0,128.0,55.41853,5e-05,0.73,1.06,-1.0,0.0,612.7445672678947,33.58461036211179,65888.19203083408,162.9010058850129,0.04311743479303011,0.156419215579259,0.024984900341415893,0.14582109879326693,1.0511670524691359,0.019807292079029235,0.25061813488970414,2.426692237220142,0.1481924237057093,88.99887640625985,0.7717454901960784,0.10727997577315147,0.21663718019355246,0.5432642867876197,92.2225399113515,3.456673752105909,0.15589556086379,21174.70068669116
39,39,48.6564,3.86171,31,5.79929,0,117,133,8,125,7,0.99322,46.89121,0.0,0.0,3.14286,5.147,3.21463,0.0,0.0,128.0,55.43268,6e-05,0.73,1.061,-1.0,0.0,612.8174983521029,33.54543502242477,66128.04896754165,162.90065714875826,0.043034167457735015,0.15554203306154718,0.024946604662045457,0.1459953692800282,1.2999131944444444,0.019819341908459884,0.25073966488336236,2.7141931038019047,0.1485114622621696,88.95152705813109,0.7716701960784313,0.107312661350245,0.21670542664269682,0.5416408718517763,92.22143951890929,3.494942632339424,0.15593685666180518,22095.281646775205
40,40,49.4714,3.95061,31,6.19842,0,116,133,8,125,7,0.98717,47.59153,0.0,0.0,3.07143,5.061,3.27148,0.0,0.0,128.0,55.43591,4e-05,0.73,1.092,0.125,0.0,612.8928428712553,33.481803423092686,66310.85001897605,162.9451526057245,0.042963874091419156,0.15468865951677932,0.02502227289215226,0.14617478387507654,1.5777874228395061,0.019816977679478456,0.25097839836404956,2.6908906589797676,0.14880231042522257,85.08871278857163,0.7714478431372549,0.10740234732729177,0.21689894616475222,0.5454819128308407,92.07508510559286,3.5281804323285173,0.1557407167545701,23481.67414153011
41,41,48.9418,4.13916,31,6.83728,0,117,133,8,125,7,0.98318,47.27507,0.0,0.0,3.71429,5.167,3.3494,0.0,0.0,128.0,55.443,5e-05,0.73,1.064,-1.0,0.0,612.9784295651109,33.545988106433256,65873.56598154106,162.93381417306318,0.04302038186791005,0.15369134543648874,0.025020309653439498,0.1463629164573856,1.7781153549382716,0.019806568198690335,0.25106785787310926,2.653797303405954,0.14903584056728272,90.40466357137865,0.7714399999999999,0.10746625308469811,0.21701165820135793,0.5454819128308397,92.11835084843109,3.5728114299010643,0.1555207060569141,21889.072348576086
42,42,48.2687,4.22261,31,5.90882,0,117,133,8,125,7,0.98557,46.75201,0.0,0.0,3.53571,5.271,3.51054,0.0,0.0,128.0,55.40397,3e-05,0.73,1.044,-1.0,0.0,613.0499224373162,33.54663067099489,65776.86151120283,162.9461847478873,0.043045171052892614,0.15270188599795678,0.02499918094574511,0.14643381959045337,2.0111882716049383,0.01985350902858101,0.2509939522538417,2.6447352146841503,0.14929390676871573,88.89457853466712,0.7697733333333333,0.10743966805602272,0.21701886850550323,0.5454819128308439,92.13690196770217,3.6717772018759596,0.1555402779528011,20709.095672484964
43,43,48.6338,4.26008,31,6.18576,0,117,133,8,125,7,0.99699,46.94866,0.0,0.0,3.46429,5.187,3.58373,0.0,0.0,128.0,55.43176,7e-05,0.73,1.041,-1.0,0.0,613.124658326247,33.53344443992332,65999.40455076341,162.94486784434588,0.04299615961292981,0.15177526136884173,0.025000922078790757,0.146494820281419,2.247974537037037,0.019840052739439704,0.2510749301251103,2.85405327061821,0.14949280810027818,90.83172052860297,0.7694309803921568,0.10742944603026619,0.21705290471379965,0.5416408718517863,92.18894725694744,3.681347661095302,0.15551002828651012,21884.733576949264
44,44,49.567,4.23082,31,6.13532,0,117,133,8,125,7,0.99605,47.7528,0.0,0.0,2.78571,5.041,3.6154,0.0,0.0,128.0,55.42128,7e-05,0.73,1.037,-1.0,0.0,613.187267401494,33.39355770158179,66246.77626957708,162.97887195661886,0.0429440114008888,0.15094494725967617,0.02496737348533976,0.14665623428920332,2.341290509259259,0.019817310467749424,0.2512362377847823,2.712048781843381,0.1498277198621122,89.1803931695437,0.7680619607843137,0.10747512646523832,0.21716726493553207,0.5432642867876126,91.97395484872357,3.688524392132716,0.1555911146924141,23305.543807367
