,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0,noise,cubrow.0.3,cubrow.0,cubcol.0.3,staticness,tone,uhdhdsim,blockiness,fft,color_fulness,contrast,cubrow.0.6,cubrow.0.5,temporal,cubcol.1.0,cubcol.0.6,saturation,blur,cubrow.1.0,movement,cubcol.0.5
10,10,47.334,9.69474,47,19.1336,0,88,123,12,128,6,1.00718,45.38172,0.0,0.0,0.10714,5.16,8.72031,0.0,0.0,116.0,33.93143,0.00096,0.41,1.24,-1.0,1.303031,0.1446050749507901,0.5002594065241587,0.09428209126528467,0.09800834832131176,0.1735796582199214,210.70343805975028,0.3801491337485583,86.5106532218714,3.426219375594484,71106.97172724824,151.49405652631953,87.94063911319728,0.11304688970555134,0.17183537001146795,3.986366720575973,0.06875540987358547,0.12105713239129778,38.998913800274885,13752.411417316074,0.05432619663497773,3.6904417438271606,0.13334932338110397
11,11,47.2718,10.0,47,18.0016,0,88,123,12,128,6,0.99513,45.33683,0.0,0.0,0.21429,5.187,8.31683,0.0,0.0,114.0,33.94692,0.00072,0.41,1.198,-1.0,1.27681,0.1412306692406228,0.5024770325673907,0.09733826384632152,0.09765102500576306,0.17278748649796047,209.84457938602807,0.3825011130119184,86.5362129110542,3.234327558902322,71177.73447933738,151.10309000560486,86.1733125739327,0.11276002218574163,0.17153899781159457,3.7934634233223288,0.06954274671552857,0.12109338924761509,39.23750776126061,13440.370948342495,0.054813804824382785,3.790895061728395,0.13505261024258108
12,12,47.3536,9.51804,47,18.9073,0,88,123,12,128,6,1.00077,45.3987,0.0,0.0,0.35714,5.151,8.57876,0.0,0.0,115.0,33.95775,0.0009,0.42,1.173,-1.0,1.254442,0.1397722935137131,0.5024770325673882,0.09819494633689063,0.09320945265068714,0.17357432101145306,209.00182518477212,0.3831974569903883,86.56515276211736,2.0477409901488617,70592.95900084391,151.3255421437435,86.94083565695036,0.11232265441258035,0.1712738378471489,3.8819691039765365,0.0697296166508905,0.12103301480654391,39.10986290448978,13541.154193671695,0.05518468787071387,3.1964216820987654,0.13438224893017967
13,13,47.2217,9.60369,47,18.6486,0,88,123,12,128,6,1.00386,45.27862,0.0,0.0,0.17857,5.215,8.15939,0.0,0.0,115.0,33.96703,0.00088,0.42,1.228,-1.0,1.303691,0.14041804021399482,0.4980417804809381,0.09783197242813804,0.09021239931892851,0.17502056165471616,208.21232646405196,0.38575886828758177,86.59272769313415,3.3220009065350427,70315.08714557094,151.227492299288,84.38414877388809,0.11315595409537071,0.1710009960716141,3.743914085901701,0.06989386704058634,0.12017297714332205,38.94256535282841,13297.868269797722,0.055558092684511756,2.9113136574074074,0.135865940645989
14,14,47.1519,9.76876,47,17.7543,0,88,123,12,128,6,0.99251,45.21855,0.0,0.0,0.14286,5.194,8.23555,0.0,0.0,115.0,33.95963,0.00095,0.42,1.148,-1.0,1.289563,0.14088989527296805,0.5024770325673902,0.09740400214895985,0.08759869424982299,0.1707249852336002,207.42237210947258,0.3851839973425605,86.56839327168618,3.2135747898227507,70036.70805925339,150.6327829555671,79.13725121873553,0.11261674652762144,0.17087001820754058,3.7314954320918337,0.07016170405640092,0.11924159180500282,38.90100964204765,13030.238618113242,0.05480017986999144,2.7416570216049383,0.13552405747467633
15,15,46.7819,9.91009,46,19.0461,0,89,123,12,128,6,0.98977,44.87513,0.0,0.0,0.03571,5.171,8.37813,0.0,0.0,115.0,33.95258,0.00092,0.41,1.156,-1.0,1.26852,0.144186495784752,0.4980417804809308,0.09814091412967747,0.0856236273513397,0.17029874680051948,206.68129934175178,0.38723489833678204,86.6766181303662,3.0435376882314515,70125.32016949782,151.34302491738754,86.02049250735136,0.11226499428254423,0.1703488343854861,3.9083174364295408,0.07070175020067479,0.11816209100375905,38.883511955355424,12826.792622186187,0.054417488107045664,4.134307484567901,0.1380704686908745
16,16,46.5671,10.0299,46,18.8207,0,89,123,12,128,6,1.00685,44.69167,0.0,0.0,0.07143,5.227,8.50003,0.0,0.0,115.0,33.95202,0.00109,0.42,1.188,0.13207,1.332165,0.14547675708512497,0.49804178048093206,0.09710020339184405,0.08382378669823125,0.16969129067097297,205.94969272872345,0.3885299510034602,86.65331825100944,2.6328915235053,69830.64624935338,150.77520847499704,86.73542907261836,0.11254788270290096,0.17012766201982787,3.857018318588594,0.07114745175659387,0.11735035583296793,39.01429032690731,12463.022334676263,0.054750826267233044,4.330391589506172,0.13637724063982457
17,17,46.3446,9.42953,46,19.7681,0,89,123,12,128,6,0.99555,44.49497,0.0,0.0,0.07143,5.18,8.60382,0.0,0.0,115.0,33.96704,0.00096,0.41,1.243,-1.0,1.307409,0.14874668986803552,0.4974475693735349,0.0965015601447503,0.08283585378097261,0.16942406456420045,205.17514461998417,0.3959516213148789,86.77628134979507,2.7770835614067777,69597.99490919673,150.61375445110448,87.52952368709407,0.11308225867660425,0.168878298791086,3.9490818421290452,0.07154640437129918,0.11711129917590338,38.75377099307967,12271.279363749927,0.0546615963038901,4.607976466049383,0.1362143736487056
18,18,46.3986,9.39819,46,17.3404,0,89,123,12,128,6,1.00899,44.528,0.0,0.0,0.21429,5.174,8.08791,0.0,0.0,115.0,33.98776,0.00079,0.41,1.219,-1.0,1.281468,0.1484157151595028,0.49641836554509916,0.09776311003434557,0.0813092258348538,0.16917352013818504,204.45244793506274,0.40150742366782,86.72574175615884,2.8190523264255596,69682.90315179665,150.8648961144933,91.2918441053774,0.11385289050012991,0.16791479162551,3.8469053845667482,0.07202751192085818,0.11646813626095136,38.94170407895688,12254.822403543425,0.05443693858967358,4.481288580246914,0.13567834749090335
19,19,46.6346,9.2938,46,17.1446,0,89,123,12,128,6,1.00157,44.75131,0.0,0.0,0.0,5.125,8.05747,0.0,0.0,115.0,33.99934,0.0009,0.41,1.212,-1.0,1.268861,0.15009510620830208,0.49804178048092856,0.09806824811156528,0.07956231424295215,0.16665486962402043,203.7113777684321,0.40439172871972306,86.60634732145644,2.646492541451934,69760.30429130132,150.40394579714658,82.80561313627382,0.11530445579555954,0.1672357546939212,3.723856830827691,0.07243985611035066,0.11625502089285329,38.53638298128858,12387.395709761277,0.053922287553902805,4.363329475308642,0.13514493514340906
20,20,46.1486,9.40996,46,16.9776,0,89,123,12,128,6,1.01332,44.33258,0.0,0.0,0.0,5.159,7.96612,0.0,0.0,115.0,33.99962,0.0009,0.41,1.23,-1.0,1.254834,0.15476512525625324,0.49641836554509977,0.0978927868052852,0.07841093435329873,0.16745066879104525,203.00239265343862,0.40723197162322183,86.69197738549909,2.0329326280445748,69343.17908960275,149.46025530566894,80.84094331067217,0.11631159453312351,0.16701243692301906,3.6500485112552217,0.0726114014981707,0.11618295939312293,38.56622408643181,11780.3607987396,0.05444075020389102,5.606529706790123,0.13619248710103382
21,21,46.1515,9.23002,46,17.7145,0,89,123,12,128,6,1.01259,44.33112,0.0,0.0,0.0,5.18,8.07233,0.0,0.0,115.0,34.01279,0.00087,0.41,1.228,-1.0,1.246019,0.16010714482142674,0.49582415443769784,0.09764373214697412,0.07813582715813559,0.16784563713876693,202.30167641281858,0.41367889945098024,86.693163985573,2.297843892097187,69252.72750133395,149.41672749277933,84.88710384156249,0.11699872103136665,0.16687333687776587,3.6601613518257876,0.07262834120186136,0.11638632787014146,38.19469668541425,11668.564943036376,0.05428310889827976,5.266010802469136,0.13787492055047967
22,22,46.0253,9.0924,46,18.2474,0,89,123,12,128,6,0.99519,44.22404,0.0,0.0,0.14286,5.123,7.9193,0.0,0.0,115.0,34.00657,0.00077,0.42,1.173,-1.0,1.271357,0.1584073153873472,0.49582415443770295,0.09787395178463595,0.0769026874043841,0.1673814345965729,201.6493010065443,0.4220651824682814,86.7652801126732,1.5137166132135302,69255.41002016353,149.72947602240325,82.46092318831299,0.11722800780694065,0.16656428373378515,3.8081441419089637,0.07257121177191869,0.11808476195052897,38.260731261453515,11519.04955838111,0.054649838421800837,5.234326774691358,0.1402040349601442
23,23,46.1287,8.98564,46,17.5933,0,89,123,12,128,6,1.00452,44.3161,0.0,0.0,0.17857,5.101,7.79865,0.0,0.0,115.0,33.99438,0.001,0.42,1.383,-1.0,1.309661,0.15434040500772114,0.4958241544377005,0.09763618703487854,0.07686197894469803,0.16791010024525715,201.04497800492902,0.4177300468373703,86.69619318090282,2.625238116081121,69107.29117605159,149.95107734634598,83.30241906205745,0.11716488983420871,0.16613218288833087,3.817791372069478,0.07233736090292509,0.12107622253595018,38.57124479317371,11545.09773090692,0.054518869085275895,5.2632619598765435,0.140556988575544
24,24,46.106,9.06801,46,17.1359,0,89,123,12,128,6,1.00509,44.30686,0.0,0.0,0.17857,5.085,7.70383,0.0,0.0,115.0,33.99727,0.00097,0.41,1.172,0.1322,1.258435,0.15390720076724385,0.4980417804809319,0.09736992175116543,0.07582195458266378,0.1704813048050914,200.43672800818672,0.43227907654901976,86.70384016956328,2.8741906956285956,69138.20026837788,149.3764443684592,89.22818292570014,0.11723657935913812,0.16571963339362647,3.758984265165434,0.07209196864969855,0.12269753775223537,38.3478084611304,11546.167462618665,0.05491429045182925,5.502218364197531,0.1394365692410475
25,25,45.8843,9.29675,46,16.6426,0,89,123,12,128,6,0.98551,44.11142,0.0,0.0,0.03571,5.087,7.77494,0.0,0.0,115.0,33.9663,0.00081,0.42,1.186,-1.0,1.266318,0.15152544886991198,0.49804178048093056,0.09740258133767277,0.07550937588031333,0.16891289138915425,199.84531948429162,0.4241077543836985,86.78713399231697,3.054537742002431,69047.20739238567,149.82174007152466,84.47968331403077,0.11695361731894302,0.1652951398327603,3.8959543950293036,0.07183847734539778,0.12404709746903887,38.33196927294319,11290.817239448914,0.05544450037305037,6.715133101851852,0.13880041709009325
26,26,45.9537,9.03977,46,18.2676,0,89,123,12,128,6,0.99763,44.16858,0.0,0.0,0.03571,5.094,7.96899,0.0,0.0,114.0,33.95734,0.00075,0.42,1.211,-1.0,1.309131,0.1488136032979945,0.50025940652416,0.09690180311737583,0.07608728792115857,0.1696576466824942,199.2599225027339,0.43484750685428664,86.6822681688039,1.8543276906635018,69046.1865250015,149.93448709779997,83.20377895192105,0.11679457499245009,0.16526333344215577,3.888422074330134,0.07155264477984946,0.12312517440137237,38.13047922393422,11384.052816170748,0.055050519484454837,6.84056712962963,0.1382020237934052
27,27,46.0899,9.07511,46,17.4817,0,89,123,12,128,6,1.00286,44.30349,0.0,0.0,0.03571,5.036,7.74917,0.0,0.0,114.0,33.94879,0.00085,0.42,1.301,-1.0,1.273898,0.14696109613008737,0.5024770325673897,0.09647423564250399,0.0758213191336612,0.16989462883713286,198.68816425214354,0.43993927376855063,86.65110040613145,1.924860317196736,69137.61897488916,149.98152263977636,89.41264631217435,0.11674864109559037,0.16511721261246676,3.8056099195224804,0.07145025253369677,0.12231280627521696,38.22852523238571,11500.489764077145,0.05541256098465854,6.773726851851852,0.13735645238285543
28,28,46.231,8.99612,46,17.4925,0,89,123,12,128,6,0.99907,44.44389,0.0,0.0,0.07143,5.103,7.78261,0.0,0.0,114.0,33.95654,0.00078,0.41,1.176,-1.0,1.301496,0.14644103534605082,0.5024770325673904,0.09610006711256197,0.07515468685847089,0.16994037692643663,198.1313321554731,0.44846519919415606,86.6400190033073,3.253549246762227,69153.58174281624,150.36999091952694,87.30830054792168,0.11648625580435047,0.16422656096824118,3.9585544122797436,0.07142782628580727,0.12174585546535367,38.168290691611205,11652.418909249736,0.05552432659660423,6.619068287037037,0.13662057736114097
29,29,46.2101,9.03005,47,16.7555,0,89,123,12,128,6,0.99463,44.45686,0.0,0.0,0.14286,5.05,7.71652,0.0,0.0,114.0,33.94166,0.00096,0.42,1.147,-1.0,1.205033,0.14366344965327735,0.5063180735464564,0.09556746242694175,0.07487900602076727,0.17072609103222228,197.54543679391492,0.4567569040830449,86.65601363987759,3.268153172799719,69029.64406251216,150.0290255577061,89.4720956497685,0.11619575059329736,0.1633604398067323,3.9417598331914805,0.07150154924991585,0.12145208840765433,37.93004240813079,11617.326425667112,0.05566694899052557,7.001784336419753,0.13615426634213348
30,30,46.4311,9.285,47,16.8116,0,89,123,12,128,6,1.00875,44.67387,0.0,0.0,0.10714,5.057,7.74285,0.0,0.0,114.0,33.93861,0.00091,0.41,1.199,-1.0,1.178167,0.14153225195240499,0.5063180735464571,0.09511386448503086,0.07488602174211546,0.16943104370836634,197.00237192561363,0.4594374298623607,86.63465104853688,1.8540317559806763,69216.59774303157,150.36519528051406,89.44873767439488,0.11602559058163955,0.1624989030834966,3.955132396477083,0.07142587056513737,0.12106506420352221,38.06650722173997,11773.059113772553,0.05534451995961143,7.934510030864198,0.13572443443243273
31,31,46.4364,9.11754,47,17.0836,0,89,123,12,128,6,1.00722,44.71601,0.0,0.0,0.10714,5.04,7.95874,0.0,0.0,114.0,33.92632,0.00069,0.41,1.142,-1.0,1.143374,0.1395844134094525,0.5101591145255178,0.09478251968301049,0.07430484574073445,0.16807431941296266,196.45297891462945,0.46784613797154945,86.64799493698371,2.8969516599323852,69263.83533636517,150.38146105137383,89.59708225365267,0.11575406773631693,0.16186884392929404,4.063233650911955,0.07123257268310744,0.12176626942857743,37.81567665382668,11831.42922312988,0.054823270268818676,7.872299382716049,0.13521736536753037
32,32,46.4626,9.13983,47,17.9135,0,90,123,12,128,6,1.00782,44.77263,0.0,0.0,0.0,5.04,7.81884,0.0,0.0,114.0,33.90067,0.00114,0.42,1.266,0.13066,1.079783,0.13924048483989213,0.5145943666119774,0.09464039447109555,0.0740410148473286,0.16768813740795824,195.942893317335,0.47099010002306807,86.58708369179644,2.3635113357837922,69352.79827649624,150.63463609834133,90.41653380902447,0.1156625605398878,0.16178052465344453,3.9434034962528575,0.07109542570116911,0.1233101112072655,37.944292233314044,11799.648350594425,0.05469664031797045,7.902681327160494,0.13525199893683545
33,33,46.4098,9.31103,47,17.8261,0,90,123,12,128,6,1.00518,44.75623,0.0,0.0,0.07143,5.083,7.83519,0.0,0.0,114.0,33.8865,0.00117,0.42,1.207,-1.0,1.083156,0.1385118703654172,0.5145943666119769,0.09488791605312005,0.07428717772684286,0.16768306071398473,195.4541821916344,0.4780452081384085,86.63175012829939,2.665017708540576,69350.21820558641,151.09028683780937,82.6149447217604,0.11564418927332666,0.16127735113742084,3.8901865807735305,0.07098408925831565,0.12448080571688447,37.80152045355903,11735.390801947771,0.05475322699342,7.891685956790123,0.13501994048615704
34,34,46.4962,9.51026,47,16.4058,0,90,123,13,128,6,1.01733,44.85891,0.0,0.0,0.03571,5.049,7.98516,0.0,0.0,114.0,33.86028,0.00094,0.42,1.181,-1.0,1.077407,0.13633092345752137,0.5145943666119795,0.0946820824807314,0.07503068491729974,0.16592146860502804,194.9971681723759,0.48482313725490206,86.58547331309363,2.2043446769724344,69330.32969127635,151.52682427121206,89.40758743116274,0.11578771251238386,0.16104712611693311,3.879282447119151,0.07096997530913736,0.12483316177231481,37.61855702341339,11728.514961138511,0.055450972305252325,7.664978780864198,0.13556242665841897
35,35,46.8857,9.4236,48,18.8209,0,90,123,13,128,7,1.00619,45.2189,0.0,0.0,0.03571,5.082,8.16193,0.0,0.0,114.0,33.86197,0.00086,0.42,1.243,-1.0,0.92322,0.13490350138573998,0.5145943666119811,0.0939645403931277,0.07581437467909163,0.16549999969563262,194.5628448092413,0.48451764705882366,86.5212450233674,2.3777360066072566,69446.98606004161,151.7077731166519,89.06778929298278,0.11592518670355803,0.16081971506891807,3.9752856615009415,0.07102215125255801,0.12516016509001562,37.62820491084346,12108.748146106598,0.05672528484710837,8.24045138888889,0.13525115973045074
36,36,47.3563,9.64036,48,18.5882,0,90,123,13,128,7,1.00278,45.67196,0.0,0.0,0.03571,5.061,8.08793,0.0,0.0,114.0,33.87702,0.00096,0.42,1.167,-1.0,0.932912,0.13288670268437078,0.5168119926552099,0.09342955311486498,0.07615293253931124,0.16564901272384108,194.14760074009013,0.48451764705882366,86.43571511481709,1.9171706644093498,69540.17533497265,151.7320823169139,89.29428700651526,0.11611060382635086,0.16091848731828615,3.9215682981004765,0.07095883580174547,0.12543278556717635,37.31592343177324,12513.701327493904,0.05780157720296303,7.977430555555555,0.13466119592128548
37,37,47.8225,9.64757,49,18.2354,0,91,123,13,128,7,1.00377,46.11266,0.0,0.0,0.03571,5.041,8.26949,0.0,0.0,115.0,33.87572,0.00079,0.42,1.195,-1.0,0.921307,0.13110901697148056,0.516811992655214,0.09287811090964053,0.07698987696387591,0.16528219381870093,193.75845190728728,0.4847776470588236,86.34064621564484,1.7778729443543027,69938.76748789978,152.3829909085407,86.59639745479838,0.11642349590483676,0.1612430591435028,3.9947937641841036,0.07072681351382397,0.12586806965130776,37.09285293390722,13069.901368685154,0.05798044731805884,7.719955632716049,0.13427015031648673
38,38,47.896,9.59009,49,18.1864,0,91,123,13,128,7,1.00013,46.20918,0.0,0.0,0.0,5.079,8.27692,0.0,0.0,115.0,33.86135,0.00086,0.42,1.236,-1.0,0.896163,0.12965796358502518,0.522870659677504,0.09256332657095456,0.07826516062353835,0.16518396931792917,193.40243546424003,0.48451058823529414,86.42972796778368,1.9746983138139793,70070.73666122733,152.20090361044953,85.80586895628936,0.1169994799572247,0.16179436853515328,3.959492357930533,0.07056539412861856,0.12648269341965987,37.416639916690784,13316.466165344276,0.058102899216381225,7.519820601851852,0.13446476660293274
39,39,48.5268,9.81525,50,18.3581,0,91,123,13,128,7,0.99881,46.79434,0.0,0.0,0.07143,5.037,8.22504,0.0,0.0,115.0,33.87687,0.00102,0.42,1.136,-1.0,0.842906,0.12793895162690605,0.5289293266997985,0.09245083597399208,0.07983301510092966,0.16500694883472355,193.09474942582082,0.4834094117647059,86.2564003766213,1.7798567686312488,70780.65625852863,152.90656919772042,91.71356552443794,0.11745488331738874,0.16258854265751652,3.8912852859559823,0.07048536425528618,0.1266440910833059,37.29812848126447,13998.367527589153,0.058245528277156566,7.540653935185185,0.13470291443758206
40,40,48.8903,10.3821,50,17.3376,0,91,123,13,128,7,0.9966,47.15129,0.0,0.0,0.28571,5.022,8.41919,0.0,0.0,117.0,33.89007,0.00087,0.42,1.196,0.1304,0.826942,0.12637382388277563,0.53114695274303,0.09225643085858573,0.08102015172818075,0.16473460431103173,192.815213248637,0.48343137254901963,86.20706434474644,2.36787640620774,71005.07596214076,152.9464853389717,87.8458055191594,0.1177410035246101,0.1632018973827308,3.9635958155237585,0.07044951138025914,0.1264430118357505,37.005785529996146,14600.130405385542,0.05887476277013244,7.947482638888889,0.13505713915502213
41,41,49.0682,10.3322,51,18.9284,0,91,123,13,128,7,0.99332,47.35435,0.0,0.0,0.10714,5.075,8.90611,0.0,0.0,119.0,33.87903,0.001,0.42,1.222,-1.0,0.768712,0.12486777051545128,0.5377998308727193,0.09223040004326782,0.08271952178099895,0.16560957467319554,192.56993104092925,0.483401568627451,86.18806255592183,2.141703422471208,71193.74310183832,153.02643658306474,89.96570277327349,0.11781629017516997,0.1636934794044991,4.077048045167347,0.07046447215905816,0.12602808982792754,37.038539745189524,14887.846925110924,0.05858957551964107,7.8737461419753085,0.13546140999933723
42,42,49.3107,10.4352,51,19.0675,0,92,123,13,128,7,1.0078,47.60894,0.0,0.0,0.03571,5.091,8.86843,0.0,0.0,118.0,33.86361,0.00118,0.41,1.149,-1.0,0.754381,0.12341110194365018,0.539423245808552,0.09250632255729273,0.08471495451762172,0.16354407163226134,192.36752423570297,0.4833717647058824,86.15654732270269,2.8895246549522247,71140.98309703908,153.54681277941722,92.40404915315749,0.11808967220911701,0.1643110856584122,3.828832149979423,0.07069897726571266,0.12572649267978592,37.08535634735484,15326.431459029895,0.059127638210894964,7.860966435185185,0.1364350788309374
43,43,49.9881,10.5399,51,19.9316,0,92,123,14,128,7,1.00041,48.24208,0.0,0.0,0.03571,5.073,8.95526,0.0,0.0,119.0,33.8751,0.00119,0.41,1.177,-1.0,0.719184,0.12200663362390368,0.5394232458085565,0.09261148886911388,0.08656427599500734,0.16169686434520558,192.19106146023935,0.48369215686274514,86.0553961553671,2.7899981833222918,71670.21792603646,153.75248150240418,87.88330135126577,0.11836836044049599,0.16492034017251567,3.844958824939942,0.0711245179267803,0.12529272366235775,36.94815835835021,16209.94712735069,0.05899267886938326,7.793402777777778,0.1382209722176857
44,44,50.5629,10.6974,52,18.8697,0,92,123,14,128,7,0.99592,48.77832,0.0,0.0,0.07143,5.067,9.04597,0.0,0.0,119.0,33.8951,0.00112,0.42,1.168,-1.0,0.646184,0.12064916460806935,0.5438584978950142,0.09265280315129412,0.08817464255168934,0.16043208674573567,192.03652909293592,0.4830584313725491,85.95399094665498,2.7029857009140783,71875.09492828998,153.94030713524762,92.53809800488769,0.11861141319037216,0.1655027899839829,3.9353316830029605,0.07144246536851094,0.12451532726208005,36.71382009247203,16938.682683303276,0.05921891861351256,7.881751543209877,0.1400163732014173
