,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,blockiness,cubcol.0.3,contrast,cubcol.1.0,temporal,movement,noise,cubcol.0,tone,cubcol.0.5,fft,cubrow.0.5,cubrow.0.3,uhdhdsim,cubrow.0,saturation,cubrow.0.6,color_fulness,cubrow.1.0,staticness,cubcol.0.6,blur
10,10,46.716,17.7309,26,18.4779,0,118,113,12,137,11,1.00252,42.84956,0.0,0.0,5.0,5.194,15.93482,0.0,0.0,129.0,26.47788,4e-05,0.31,1.415,-1.0,1.627043,1.0119672230573074,0.1009828334324982,88.59137011037913,0.07353229021950555,4.639160733052775,7.281201774691358,0.2862642090353301,0.07232920055336911,0.3833019607843138,0.06684118798292747,66199.73501538439,0.10197685597426415,0.17369331532196203,96.61890753432763,0.23052006549569126,61.57129019278067,0.08701391453028644,75.76706129670241,0.06202959037695506,496.0857064624484,0.06797959304213695,17085.337546205737
11,11,46.4904,17.8355,26,18.3621,0,118,113,12,137,12,1.00153,42.68185,0.0,0.0,5.21429,5.275,15.22611,0.0,0.0,127.0,26.6935,2e-05,0.31,1.483,-1.0,1.661864,0.9648392468614156,0.10087028214817409,88.96999281036597,0.07322311162756742,4.485740994220745,7.58617862654321,0.28404658299209945,0.07257973158005762,0.3877890196078431,0.07264201117963912,66030.46578168383,0.10000288395008816,0.17346363241050966,96.69957992952851,0.23011089873803672,61.683661378460165,0.0859083977526676,76.70158864553738,0.06265633371381497,492.73743136191626,0.07279171335224283,16760.204999198624
12,12,46.9988,17.8573,27,16.9839,0,118,113,12,137,12,1.00149,43.17021,0.0,0.0,4.57143,5.29,15.30984,0.0,0.0,127.0,26.75224,4e-05,0.31,1.469,-1.0,1.587677,0.9945505711223849,0.10076939878702443,89.15987721618463,0.07510489376429141,4.384913023482704,6.944540895061729,0.292322876057618,0.07271492237593392,0.38761305882352937,0.0722638500341417,66084.89392463562,0.0986638283512993,0.17342684549496695,96.53323438093625,0.2300998850584299,61.85747424467111,0.08527961806117382,75.71476000042674,0.06383079366204703,489.921637266594,0.07168111426961754,17313.581359490745
13,13,47.1132,16.9741,27,18.3336,0,118,113,12,137,12,1.00196,43.3011,0.0,0.0,5.25,5.364,15.32964,0.0,0.0,127.0,26.78418,5e-05,0.31,1.536,-1.0,1.562503,1.1424513549755113,0.10093841057902608,87.2058401447609,0.07732859821955189,4.448266061681126,6.374035493827161,0.296163917036677,0.07249666133878468,0.390949411764706,0.07574623440026602,66232.97720624707,0.09900578668892475,0.17353705364683386,96.51380249548268,0.22972396465135364,61.92456638665846,0.08465429664050952,74.97413027054112,0.06427041211307319,487.5283121218787,0.07566003030960965,17413.282364401795
14,14,47.9546,16.8043,28,17.8234,0,118,113,12,138,13,1.00215,44.04199,0.0,0.0,4.32143,5.404,14.56923,0.0,0.0,126.0,26.84769,5e-05,0.31,1.53,-1.0,1.591235,1.2489044833822207,0.101585781498251,90.07997518730845,0.08461337624157854,4.213803455791835,6.020592206790123,0.2961639170366807,0.07281035580909904,0.3938050980392158,0.07772715931540082,66372.92306679217,0.09724734642120968,0.17401520361778952,96.34986757679557,0.22979231965648497,62.0064348762418,0.08422233401791657,74.92650634425885,0.0644064448649468,485.5313389965693,0.08212690108150761,18423.719579920362
15,15,48.1781,17.0349,28,17.2461,0,117,113,12,138,13,1.00184,44.27107,0.0,0.0,4.60714,5.467,14.42373,0.0,0.0,126.0,26.84416,4e-05,0.31,1.656,-1.0,1.582918,1.2968447259562625,0.10122400875910949,86.54223469499229,0.08314908665070696,4.257297410748979,6.931423611111111,0.29616391703667894,0.07314910494310661,0.39744078431372554,0.078113335518676,66198.89937346758,0.09570500331183389,0.17452588505957095,96.29248272095776,0.22954016675937478,62.33018399462288,0.08375748001395665,76.0071545750965,0.06461760406778388,483.8751037392557,0.07929670152105141,18641.09251207992
16,16,48.2443,16.0006,28,16.646,0,117,113,12,138,13,1.0007,44.32845,0.0,0.0,4.42857,5.472,14.61967,0.0,0.0,125.0,26.92882,4e-05,0.31,1.568,0.38169,1.607962,0.9354056710377485,0.10133459779375245,84.62670363790777,0.08322655864136372,4.16426396773837,7.615596064814815,0.296163917036681,0.07341998992349355,0.40092235294117645,0.0785511700403672,66157.56575711894,0.09466423457009752,0.17519961266491688,96.27702922386331,0.2295237911725141,62.54659921151621,0.08360070274723219,77.10500451337602,0.06501470462651761,482.4985713392194,0.07844825531847244,18722.819944012823
17,17,50.367,16.2551,29,20.4808,0,117,113,12,138,14,0.99614,46.23935,0.0,0.0,5.14286,5.352,13.74185,0.0,0.0,125.0,27.32474,6e-05,0.3,1.779,-1.0,1.605713,1.101148896274985,0.10220270370287796,87.76407869243107,0.0809214842184396,4.313726770552044,7.7836130401234565,0.2983815430799113,0.07365372562187002,0.40278156862745096,0.08569978858332152,66900.23884934104,0.09754705266847981,0.1758553732444229,95.94602194856316,0.22963361724766299,62.88749468768084,0.08362030266466854,78.19181996504098,0.06625001221147417,481.46706571916326,0.07779572613147613,21565.66908812129
18,18,49.0771,16.3592,29,18.7188,0,117,113,12,138,14,1.00418,45.1014,0.0,0.0,5.5,5.431,13.95899,0.0,0.0,125.0,27.58758,3e-05,0.31,1.586,-1.0,1.566622,1.2219879056509138,0.10299520410072231,86.07602399469978,0.07967367744248875,4.215367547399726,7.756606867283951,0.2983815430799112,0.07397565156894859,0.4126874117647058,0.08903413464943531,66473.81383108828,0.09559694951547619,0.17668939934613312,96.11987065540444,0.22971486961999246,63.06848257559318,0.08323171704713582,79.19743576344086,0.06821137970574842,480.8408394290032,0.07764750947988,19684.2059538279
19,19,48.6043,17.3548,28,18.0629,0,117,113,12,138,14,1.00008,44.70082,0.0,0.0,6.28571,5.419,14.04607,0.0,0.0,125.0,27.69261,5e-05,0.31,1.621,-1.0,1.533157,0.9411912171174337,0.10340115072462432,87.34149273337283,0.07844422210081717,4.264669935402013,7.99609375,0.2983815430799144,0.07416709674323525,0.424115294117647,0.08641191383106103,66421.63360998893,0.09437572836206937,0.1775131517694333,96.16651100898198,0.22965893334329426,63.0929574848693,0.08249225054148675,79.74373576881776,0.06981455046384141,480.40309796479625,0.07822746182589942,19144.769762796972
20,20,48.4076,18.1665,28,18.3672,0,116,113,12,138,15,1.00368,44.55771,0.0,0.0,6.92857,5.355,14.89911,0.0,0.0,125.0,27.65125,4e-05,0.31,1.729,-1.0,1.531251,0.9240914049794073,0.10399768430015145,91.56000836599719,0.07730334682676869,4.416535819457069,9.927999614197532,0.29838154307991643,0.07429380854846052,0.4244346078431372,0.08495261275898244,66438.64880124936,0.09342705651570694,0.177702822313576,96.19426549571942,0.22968831681408386,63.018717636296785,0.08182856484175424,80.04437049883617,0.0711050201676326,479.8774253723073,0.08011347299797905,19152.437795987655
21,21,48.2171,18.5681,28,18.4196,0,116,114,12,138,15,1.00137,44.41669,0.0,0.0,5.42857,5.314,15.59296,0.0,0.0,125.0,27.63015,5e-05,0.31,1.743,-1.0,1.554384,1.078678859274002,0.10413807444477026,88.68686090152056,0.07646249496180534,4.590894559195655,10.481336805555555,0.300599169123142,0.074421342413107,0.422174176470588,0.08450301180711794,66312.22994906471,0.09257905264211506,0.1782878717266841,96.20077009020963,0.22967223182655447,62.94839326834973,0.08125423760964261,80.20301415317473,0.07141532512435378,479.45789194071335,0.07964724080329284,19059.14418063409
22,22,47.8333,18.4656,28,18.4772,0,116,114,12,138,15,0.99668,44.10813,0.0,0.0,3.89286,5.32,15.9328,0.0,0.0,125.0,27.65869,6e-05,0.31,1.671,-1.0,1.473424,1.377106753789198,0.1038638465345819,86.6524904884605,0.07595824099231152,4.713987850616643,11.112847222222221,0.30059916912314316,0.07436603453483433,0.42020745098039214,0.08379533677974327,66145.36071338954,0.09201114122818994,0.17829978352617373,96.21719911511362,0.2296486256543521,63.05317217038001,0.08069615263088947,80.43291792802664,0.07132531824192641,479.14277622284084,0.07963167536852363,18583.800205163217
23,23,47.5122,18.6261,28,19.5311,0,116,114,12,138,15,1.00154,43.81596,0.0,0.0,2.64286,5.338,15.84448,0.0,0.0,125.0,27.5717,2e-05,0.31,1.771,-1.0,1.476946,1.0051749433665988,0.1036129302814802,91.81504670371139,0.07673890697299268,4.681440871322337,11.640480324074074,0.30059916912314294,0.07445834593368388,0.4195192156862745,0.0833514090272738,66141.36171823456,0.09165381975654459,0.17838194859739204,96.29184568591307,0.22968190046676237,62.90666198730469,0.08024857272357815,80.40583917992822,0.07095444592743566,478.69893316566726,0.07864153474549129,18135.771569915923
24,24,47.3142,19.1172,28,19.8102,0,116,114,12,138,15,0.99942,43.63804,0.0,0.0,5.71429,5.286,15.98108,0.0,0.0,125.0,27.46902,4e-05,0.31,1.586,0.39969,1.486433,1.0938168767118004,0.10332483393192644,91.13784797820247,0.07552147994265425,4.82067429139472,12.158805941358025,0.30059916912314266,0.0746174181331708,0.4181768627450981,0.08395162235754952,66180.34806461152,0.09101255770290538,0.17846454062756303,96.34171301992622,0.22962052141562775,62.66574077841677,0.07987177396603463,80.19065254480832,0.07056242761670851,477.97398665508734,0.07814084836451289,17918.379801091432
25,25,47.3177,19.8027,28,21.7537,0,116,114,12,138,15,1.00119,43.64356,0.0,0.0,4.35714,5.279,16.39948,0.0,0.0,125.0,27.50151,5e-05,0.31,1.756,-1.0,1.422734,1.0328043833781526,0.10301408126545533,88.83518407729777,0.07515382823703658,4.812244144366504,13.043595679012345,0.30059916912314316,0.07478533065157936,0.41928701960784187,0.08748717767392471,66244.87807602527,0.0904958545787147,0.17850150954832225,96.34521375997471,0.2296480360643938,62.55879004207658,0.07953851669900822,80.34166729099516,0.07004247303819892,477.0503287216937,0.07827256462966577,17993.876659820522
26,26,47.5483,20.4862,28,20.9111,0,116,114,11,138,15,0.99989,43.85371,0.0,0.0,3.25,5.293,16.98672,0.0,0.0,126.0,27.65281,3e-05,0.31,1.829,-1.0,1.44447,1.0392470063749089,0.10260664358211956,85.61637803861755,0.07438191271689294,4.90275448202943,13.469087577160494,0.30059916912314544,0.07486468165645431,0.42331215686274504,0.08558139886417639,66283.83275422877,0.09025376829468393,0.1787092076324943,96.33409197357459,0.22975371988583598,62.34874131944444,0.07923136078054278,80.52715255547031,0.0697500637458331,476.01781776453805,0.0791886545965778,18264.294025802996
27,27,47.5633,21.1026,28,21.3943,0,116,114,11,138,15,0.99911,43.86653,0.0,0.0,4.10714,5.311,17.57338,0.0,0.0,125.0,27.79156,2e-05,0.31,1.508,-1.0,1.440614,1.1993096477952951,0.1022606587443434,87.32851755986651,0.07391523421556336,5.005232440911355,13.664689429012345,0.30059916912314705,0.07495179031025272,0.42838901960784304,0.08499700684830307,66418.99829136056,0.08953212057340434,0.17876659513126023,96.36390781670663,0.2297611518784998,62.116045539761764,0.07886742234667107,80.45448742705562,0.06964180686922383,474.8000501326664,0.0790961854949964,18329.579254596385
28,28,46.8527,21.5394,27,23.1791,0,116,114,11,138,14,1.00036,43.22461,0.0,0.0,3.28571,5.329,18.10171,0.0,0.0,125.0,27.87163,4e-05,0.31,1.638,-1.0,1.453861,1.1453967233528486,0.10280195834565574,88.18254004471135,0.07367399509761884,5.045269953817438,13.83106674382716,0.3005991691231462,0.07497062777342765,0.4308038235294107,0.08434286710221123,66394.09117437144,0.08896291717118351,0.17889255790652894,96.4123487241157,0.229862466939761,62.07408010223765,0.07878985297284073,80.1871007043026,0.06974817450040792,473.5207414276632,0.07965343314493724,17818.965683221897
29,29,46.2713,22.0097,27,23.4575,0,116,114,11,138,14,1.00031,42.69256,0.0,0.0,5.46429,5.41,18.47753,0.0,0.0,125.0,27.951,3e-05,0.31,1.689,-1.0,1.436212,1.2237941236245025,0.10214906035763113,86.84195223083701,0.07367939235680729,5.1519630358173165,15.102864583333334,0.302816795166377,0.07502589884240085,0.4321427450980392,0.08381204265744822,66392.61048308642,0.08841984847570056,0.17920586215775025,96.49651210141904,0.2299725854911565,61.83962447554977,0.07859700079132642,80.00441291352323,0.06960574640919842,472.3986532577275,0.07925528784908852,17398.96169824954
30,30,45.8246,22.2035,27,23.5719,0,116,114,11,138,14,1.00234,42.29808,0.0,0.0,4.28571,5.421,18.87789,0.0,0.0,124.0,28.0512,5e-05,0.31,1.542,-1.0,1.492535,1.3836392908614983,0.10194272909497279,86.62020341867995,0.07440498573926127,5.199745095173796,15.436824845679013,0.3005991691231484,0.0750053367378892,0.4376721568627451,0.08313113083957485,66401.33632063845,0.08788222501364532,0.17947527331906685,96.59263484394933,0.23003923525438924,61.80436009536555,0.07855165095094914,80.20483105083335,0.06950435062862524,471.39881672962906,0.0789457146620626,17024.081787551022
31,31,45.9897,22.3534,27,22.3401,0,117,114,11,138,14,0.99818,42.4588,0.0,0.0,5.42857,5.38,19.04726,0.0,0.0,123.0,28.08004,5e-05,0.31,1.594,-1.0,1.565327,1.054591694378161,0.10205417358422611,88.024776737488,0.07533211216208065,5.220528377287671,15.536361882716049,0.30281679516637516,0.07503269166638683,0.4428019607843137,0.08245129554554523,66284.52920891925,0.08727260666232912,0.17952645481151056,96.57013987925521,0.230108073621625,61.55647051775897,0.07870218299632367,80.14924592054538,0.0691811345917781,470.43049769204094,0.07833583353728868,17084.275664812674
32,32,46.4133,22.6163,27,24.0472,0,117,114,11,138,14,1.00086,42.85384,0.0,0.0,5.46429,5.257,19.18455,0.0,0.0,121.0,28.10306,6e-05,0.31,1.634,0.36806,1.581043,1.1399114772502243,0.1022936747490065,88.51390670973153,0.07560722622312059,5.273357600179645,15.382908950617283,0.3005991691231487,0.07480647977746793,0.44733529411764705,0.0818996543240776,66282.75078025386,0.08658028131055916,0.17964415063149844,96.56935171404689,0.23021229273629,61.4589257887852,0.07892993750970892,79.96984796689375,0.06895995390712514,469.392842037257,0.07804486289709793,17584.01648466222
33,33,46.61,19.1557,27,23.9534,0,117,114,11,138,14,0.99775,43.05044,0.0,0.0,4.78571,5.335,19.41062,0.0,0.0,123.0,28.48296,5e-05,0.3,1.826,-1.0,1.534434,1.19744160368699,0.10267387002755081,86.07173966718673,0.07602901877815631,5.200671463156991,15.673177083333334,0.30059916912314943,0.07462244125223103,0.45818156862745096,0.08139775794272967,66247.64874084326,0.0857164419700683,0.1798463740354247,96.59779611264626,0.23028049773090434,61.5564852114077,0.07910867822085176,81.18107710736481,0.06991780230025736,468.5311116899595,0.077598424139787,17551.31112772372
34,34,46.159,21.4018,27,22.9288,0,118,114,11,138,14,0.99757,42.63598,0.0,0.0,6.46429,5.23,16.44286,0.0,0.0,124.0,28.50324,2e-05,0.3,1.637,-1.0,1.552516,1.0053989425224217,0.10272573002239598,87.66238503341336,0.07617123440513764,5.199248882940617,15.551793981481481,0.30059916912314705,0.07438303172484059,0.4561658823529412,0.08086901050220963,66074.81415058085,0.08506800809950421,0.1797523300859221,96.68324817667127,0.23021603753877018,61.4084519751278,0.07936203926121126,80.41718682339422,0.06974424663286051,467.7638248047045,0.07715922041479246,17071.393948983517
35,35,44.9777,21.2698,26,25.0644,0,118,114,11,138,14,0.99868,41.50306,0.0,0.0,4.0,5.325,18.36097,0.0,0.0,125.0,28.43805,7e-05,0.31,1.62,-1.0,1.60118,0.7269527951215523,0.10300349171273261,89.00822743796155,0.07606905374362967,5.174531315752738,14.953559027777779,0.3005991691231426,0.07410342486691994,0.4473274509803922,0.08041576198190063,66113.85419649967,0.0845760340608556,0.17891685978066973,96.90258581129953,0.22993497899818935,61.56938171386719,0.07961657698107723,79.60595018004238,0.07010765393612245,467.05647951312045,0.07703791852691441,16210.440866009989
36,36,43.6422,20.7596,25,23.8759,0,118,114,11,138,14,0.99651,40.2102,0.0,0.0,6.03571,5.402,18.2473,0.0,0.0,126.0,28.47349,8e-05,0.3,1.631,-1.0,1.62663,1.1269884754918353,0.10309689307329407,87.70930831567952,0.07605389430491483,5.009904060557213,14.059654706790123,0.2983815430799151,0.07385138596934186,0.4436549019607843,0.07998167372446637,65921.400995945,0.08424428165302052,0.17736661241358664,97.11022713317938,0.2297471799125917,61.892546288761096,0.07981784060008094,79.3673946008185,0.07062173189461324,466.4853327289111,0.07676548671954732,15071.546629417917
37,37,42.6527,20.4118,25,21.2117,0,117,113,11,138,14,0.99848,39.26127,0.0,0.0,3.85714,5.462,17.81429,0.0,0.0,125.0,28.54057,5e-05,0.31,1.574,-1.0,1.616036,0.9314357827984758,0.10316079487447423,88.89429550052259,0.07611266899021908,4.888967161226324,13.351514274691358,0.2983815430799082,0.07373099914333779,0.4375066666666667,0.07953736183431627,65733.61335301274,0.08409043428459476,0.175326891647343,97.21464850169865,0.22960640998321025,62.206858128677176,0.08037235573040194,79.55712514205119,0.06989877704950384,466.0274147848408,0.07632279267067854,14232.041236160903
38,38,43.1373,19.8972,25,18.2429,0,117,113,11,138,14,0.99546,39.65505,0.0,0.0,7.35714,5.445,17.51506,0.0,0.0,125.0,28.58183,5e-05,0.31,1.654,-1.0,1.616603,0.8423032294189794,0.10308030258424682,91.89113119451554,0.07594459093205137,4.726775310440613,12.779465663580247,0.2961639170366801,0.07363756312694288,0.4366460784313717,0.07913222193216662,65808.17850188912,0.08399859568023418,0.17361890640612904,97.18737884983244,0.22959515548351503,62.352553379388496,0.08059925921135465,79.1884759612351,0.06975485118596145,465.59663582152734,0.07599083892758328,14764.505307744896
39,39,43.9483,18.9873,25,19.1825,0,117,113,11,138,14,0.99992,40.37004,0.0,0.0,4.96429,5.281,17.07415,0.0,0.0,125.0,28.313,4e-05,0.31,1.492,-1.0,1.575592,0.801049226901445,0.10291554676947368,91.36911129034674,0.07567851190309294,4.629872863980772,12.066792052469136,0.2961639170366845,0.07360084422640337,0.42928631372549003,0.07869262667414621,65927.05471014997,0.083809319131248,0.17245212190878656,96.96257474271532,0.22967626793429735,62.238988617320125,0.08101392969816658,78.47226359884073,0.06957849369250771,465.01684509324014,0.07567817334066868,15457.366329017106
40,40,44.5068,17.9977,25,21.9479,0,117,113,11,138,14,0.99323,40.89611,0.0,0.0,7.25,5.26,16.29548,0.0,0.0,125.0,28.0193,7e-05,0.31,1.527,0.36844,1.582592,0.894913614255829,0.10310155569974393,88.552872805736,0.07547797106956865,4.747165079543608,11.6875,0.298381543079907,0.0736192977897116,0.4237988235294118,0.07824216540443893,65925.0403360979,0.08345835290631326,0.17172480534050713,96.8804264690736,0.22962255258772651,62.07238223228926,0.08123436231656438,77.97861323387176,0.0692875789825625,464.29025121737453,0.07531929600651398,15577.644383087312
41,41,45.4553,17.6403,26,20.9629,0,117,113,11,138,13,0.99686,41.79144,0.0,0.0,6.10714,5.327,15.44103,0.0,0.0,125.0,27.91418,5e-05,0.31,1.464,-1.0,1.602062,1.2921459217456395,0.10368125189534533,90.82012482779676,0.07491674554301292,4.705703525784673,11.354648919753087,0.2961639170366807,0.07369517506351296,0.4208823529411764,0.07783273772045043,65950.87249965013,0.08322650636822089,0.1712623635457505,96.82442616468678,0.22959508910432389,61.95361422315055,0.08152000248785518,78.21862516235599,0.06910999873423,463.4331867988518,0.07502719073944718,16269.51274969056
42,42,46.5849,17.8019,26,19.5266,0,117,113,11,138,13,1.00135,42.80354,0.0,0.0,4.64286,5.202,15.12989,0.0,0.0,125.0,27.65221,0.00011,0.31,1.569,-1.0,1.617735,1.1314135241846033,0.10307180366236043,89.74811014236262,0.07430534117543751,4.6428542253133775,11.477768132716049,0.2983815430799097,0.07397125830035502,0.41396431372549014,0.07742724816793399,66127.17234635961,0.08314152004218217,0.1711271757392707,96.6406469190876,0.22965476997587403,62.07988296320409,0.08221521800515451,78.57154797327269,0.06903754619710924,462.50460599387765,0.07479645115370857,17446.96396680169
43,43,47.3274,17.5271,26,19.0827,0,117,113,11,138,13,1.00062,43.46358,0.0,0.0,4.07143,5.181,15.27355,0.0,0.0,125.0,27.35949,7e-05,0.31,1.49,-1.0,1.610887,1.5733984135080306,0.10261561434197451,89.62146785130358,0.07380952995316288,4.7504213689809,11.608314043209877,0.29838154307990966,0.07424432110208547,0.4100219607843138,0.07700666010963608,66333.52537446904,0.0830015584462661,0.1710943792236296,96.52280578289167,0.22964169436244428,62.34288966802903,0.08212643274429698,78.8702621045544,0.06897660925503572,461.5684300869281,0.07453869023141542,18359.052329933023
44,44,47.985,17.2568,27,20.1904,0,117,113,11,138,14,1.00125,44.01862,0.0,0.0,6.28571,5.203,15.03985,0.0,0.0,125.0,27.09489,5e-05,0.31,1.464,-1.0,1.612716,1.127458612445781,0.10216618260998882,92.07887240362624,0.07451888926688799,4.7058801342809575,11.848958333333334,0.29616391703668,0.07452119862269108,0.4090733333333334,0.07663548128768528,66502.35029896234,0.0830204982106464,0.17112076292659367,96.45663133185718,0.2297249606631387,62.702539326232156,0.08207851911892526,79.14223062055487,0.06884894824439143,460.66840937869904,0.07437219762130824,19256.68236154206
