,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,blockiness,tone,saturation,cubrow.0.3,cubcol.0.6,cubrow.0.5,cubrow.0,cubrow.0.6,color_fulness,temporal,noise,cubcol.1.0,blur,contrast,movement,staticness,cubcol.0.3,fft,cubrow.1.0,cubcol.0,uhdhdsim,cubcol.0.5
18,418,29.1884,21.7909,16,22.5779,0,122,117,5,136,8,1.0074,28.59836,0.0,0.0,8.96429,10.726,18.39082,0.0,0.0,108.0,34.53108,0.0,0.3,2.856,-1.0,2.177134,0.9940267381253994,0.5056176470588236,46.66788190676842,0.07634943888524459,0.08975756083054752,0.08958249723902652,0.018152189787988774,0.06077092777221624,84.63187683860212,5.719442462967117,0.24710036975093322,0.06328996070471785,5352.624931687001,89.26072279461299,9.457320601851851,438.46227969622606,0.03776769513137018,62446.789389427846,0.03401146323405101,0.03866463251844082,101.29314869921404,0.056829027010740205
19,419,28.6698,22.6173,16,21.5597,0,122,117,5,136,8,1.00735,28.13635,0.0,0.0,9.21429,10.987,18.73929,0.0,0.0,110.0,34.45163,0.0,0.3,3.076,-1.0,2.175061,0.8400207075509288,0.5070709803921569,46.5741742922936,0.07657365251463308,0.08839952089356971,0.08885640380813219,0.017867116653070208,0.06111858173835418,82.24695713380422,5.817313651272721,0.24710036975093064,0.06286535296924345,5119.372037791156,88.4445536633647,9.709056712962964,431.0647909831733,0.037479751207267945,62358.22880435121,0.03560664436952575,0.03917465056141448,101.34996032792144,0.05678749411170319
20,420,28.083,22.4939,16,21.6813,0,122,117,5,136,8,1.0067,27.55194,0.0,0.0,9.78571,11.286,19.4469,0.0,0.0,111.0,34.25429,0.0,0.3,2.786,-1.0,2.089661,0.9918004321943326,0.504330980392157,46.44056098843799,0.07657434880974899,0.08739124891621476,0.08801571406655402,0.01765433598789705,0.061520903796624955,79.38799618908554,5.896195417599435,0.24104170272864014,0.06172609391836315,4991.854904617246,86.28363324377949,11.312837577160494,423.676889347409,0.03718908292642569,62418.56074438198,0.0369917977071322,0.0410682737068427,101.45880604933255,0.0567503866068295
21,421,27.5053,22.459,15,22.7672,0,122,117,5,136,8,1.00043,26.93492,0.0,0.0,7.46429,11.276,19.33885,0.0,0.0,112.0,33.93889,0.0,0.3,2.885,-1.0,2.073111,0.7936761213547222,0.49944901960784316,46.2220775462963,0.07595577373270399,0.0861909425928185,0.08801272848853617,0.01744916055271531,0.061814311796233264,77.5992948452373,5.960185153719239,0.23882407668540986,0.060901948132611836,4667.767016079861,88.87613749117853,12.203655478395062,416.51841669722336,0.0369676235119812,62213.26294914674,0.038103282053362275,0.04090799793228528,101.55932102060038,0.05808848183027592
22,422,27.2685,22.5064,15,23.2037,0,123,117,4,136,8,0.99475,26.66791,0.0,0.0,9.25,11.413,19.31178,0.0,0.0,114.0,33.65558,1e-05,0.3,3.474,-1.0,2.16572,0.6965980301320069,0.4949333333333334,46.00865324043934,0.07515935662095408,0.08507790212133776,0.08947878622507423,0.01724363156645519,0.061108610673547906,76.77761049552079,5.927801804508911,0.23276540966311607,0.060121326328244594,4500.631316419102,84.47461123294495,12.475742669753087,409.5538392318966,0.036834100502480344,62257.25518353381,0.03880569168172611,0.042685065008548025,101.59184904208162,0.05762915567907058
23,423,27.7724,22.6661,15,22.9325,0,123,117,4,136,8,1.00934,27.05878,0.0,0.0,9.35714,11.099,19.36418,0.0,0.0,120.0,33.67587,0.0,0.29,3.784,-1.0,2.233997,0.5771464741367851,0.4927517647058824,45.821085235218945,0.0745756830445557,0.08399467143616637,0.09003421979305717,0.01704249892617954,0.06065666010976202,76.1943723661741,5.956254115764688,0.22448911659759477,0.0593051917133752,4753.349562863698,87.52316214484122,13.214313271604938,402.61413316656984,0.03771803934182986,62036.53754345561,0.0393510852256552,0.0418678294586877,101.50263223593865,0.057108425404723065
24,424,27.8032,23.5633,15,23.1541,0,123,117,4,136,8,1.00313,27.06101,0.0,0.0,8.32143,10.998,19.50857,0.0,0.0,122.0,33.65489,0.0,0.29,3.431,0.39905,2.271375,0.8939858761263823,0.49035686274509804,45.827674583152486,0.07396532769567125,0.08302323575428552,0.09008535900424076,0.016849065212645033,0.06024366282268097,75.74764660738705,5.9854942832282125,0.22833015757665528,0.058388235199313694,4741.966842356761,88.9543309627783,14.298948688271604,395.76528054341003,0.03886089309703953,62175.249458125545,0.03852967160565239,0.042088005546696915,101.5126416881794,0.055814596269585556
25,425,27.1747,24.5883,15,23.1595,0,123,117,4,136,7,1.0048,26.48593,0.0,0.0,8.46429,11.335,20.27824,0.0,0.0,122.0,33.29124,0.0,0.29,3.845,-1.0,2.231125,0.9745856740826772,0.4880337254901961,45.592042711046005,0.07346061562724555,0.08232874207199489,0.08937381042252773,0.016660868289392446,0.060315223012353,75.17067131109177,6.067719410655919,0.22227149055436066,0.05749617524048761,4377.287932218793,92.79467178383331,15.544753086419753,389.34929984747134,0.038272397811283054,62256.71370834194,0.03841911428052671,0.042888738226136036,101.6403561397592,0.05497210484002916
26,426,26.0443,25.1327,14,23.3071,0,124,117,4,136,8,1.00478,25.5215,0.0,0.0,10.67857,11.873,21.14114,0.0,0.0,123.0,32.80738,0.0,0.29,3.796,-1.0,2.20626,0.48915365404901356,0.4787121568627451,45.53836285626447,0.07272468194636633,0.081790063703443,0.08811613869682029,0.016501688720111957,0.05972866793061525,76.18327809034021,6.165156012831422,0.22448911659758972,0.056719739837735955,3888.333023035947,87.85395495693706,16.02830825617284,383.6138389752148,0.03817455583131327,62174.39816022861,0.0383254406648412,0.04338950696187834,101.83195524146056,0.054150898383696106
27,427,25.7415,26.1569,14,23.0098,0,124,117,4,136,8,1.00216,25.32706,0.0,0.0,11.03571,12.402,21.61183,0.0,0.0,123.0,32.62867,0.0,0.29,4.245,-1.0,2.132719,0.5912588165015378,0.4694639215686275,45.66173242639612,0.07190508852952643,0.08140712144435765,0.08695398031760218,0.016474841035791766,0.05994124923705817,78.25142822877547,6.2621113619008515,0.22448911659759174,0.05600430197657803,3816.510730660602,88.51369281128281,16.35474537037037,378.47973914241754,0.038129254971342307,62632.736184767135,0.0382473396472732,0.04489456129647665,101.86724582532561,0.053360194670228865
28,428,25.5072,26.8578,14,23.5961,0,123,117,5,136,8,1.00605,25.1695,0.0,0.0,11.57143,12.861,22.51382,0.0,0.0,123.0,33.05168,1e-05,0.29,4.81,-1.0,2.009839,0.5397353041414623,0.4723850980392157,45.53730152271412,0.07125608177427696,0.08097610429384132,0.0859464833957118,0.016405715927452845,0.06002542359407139,81.47204716950607,6.366062925348436,0.23054778361988323,0.05532602008187785,3652.1839110129927,88.99198283357852,16.608506944444443,373.8668626803946,0.03939010418923926,62666.43380486873,0.03820783731803222,0.047353639633900046,101.87960827792847,0.05259241524684094
29,429,25.6736,27.6826,15,23.2013,0,123,117,5,136,8,1.00478,25.41075,0.0,0.0,13.71429,12.798,23.10994,0.0,0.0,123.0,33.72319,2e-05,0.29,4.214,-1.0,1.932731,0.6336282310891479,0.47811843137254906,45.3663282983097,0.07066137049785905,0.08043457405599512,0.08481538559807679,0.016350717372766346,0.060262737897554014,84.65612120551144,6.4917192995180075,0.23054778361988806,0.054688590167851346,3515.0604578472703,91.69398721583127,17.327256944444443,369.8099736532595,0.04058884883782276,62448.881770087035,0.03816076610084201,0.04772626362501531,101.8786836287272,0.05186564758194405
30,430,26.3865,28.1829,15,24.7064,0,122,118,5,136,8,1.00427,26.10272,0.0,0.0,11.0,11.845,23.80275,0.0,0.0,123.0,34.33651,2e-05,0.29,3.298,-1.0,1.845666,1.2130748630787467,0.4916569999999999,45.03416009596836,0.07005522822918445,0.08003476423704498,0.08385627833685402,0.01628691584402988,0.06129321058560476,86.68954363113244,6.6419252751440006,0.23276540966311696,0.054115452633885584,3756.055445553068,89.45579521726506,18.69796489197531,366.31753084029015,0.04244455658896066,62593.950376744666,0.03795246014824372,0.049197833019704824,101.80356916591316,0.0511974368931774
31,431,26.9573,28.9285,15,25.0265,0,122,118,5,135,8,1.00229,26.59777,0.0,0.0,13.28571,10.913,24.21413,0.0,0.0,123.0,34.92506,0.0,0.29,3.751,-1.0,1.814934,0.9013362841912403,0.5053525490196078,44.61135393307533,0.06943627258965761,0.07932132468517318,0.08286197729455717,0.016220068030988664,0.06205054459418021,89.68622201739691,6.805289783642711,0.2388240766854071,0.05357051635292779,3994.7194721616384,84.405816654274,19.58786651234568,363.35794613316205,0.042547534348014414,62615.82914663637,0.0378878218578815,0.050774207988670376,101.764365907096,0.05052752929227197
32,432,25.5145,30.0274,14,26.3752,0,121,118,5,135,8,1.004,25.23634,0.0,0.0,11.71429,11.322,24.85252,0.0,0.0,123.0,35.11824,1e-05,0.29,3.783,0.38837,1.866912,0.9996733742924233,0.5122054901960784,44.35067598319348,0.06873684323824067,0.07908490593772767,0.08183044589185501,0.016149701595374412,0.06134191046770836,92.75199359116286,6.966498822111245,0.23660645064217503,0.05312306606806052,3466.6408135795295,89.0498042876566,20.306954089506174,360.86961175727805,0.04179804497457269,62538.288830893915,0.03810585229027323,0.05172539178908358,102.00154133453681,0.049908298136474724
33,433,24.4442,30.6947,14,27.6913,0,121,118,5,135,7,0.99778,24.22946,0.0,0.0,7.25,11.476,25.80534,0.0,0.0,121.0,34.78951,1e-05,0.29,3.388,-1.0,1.911063,0.8145276526355435,0.5065866666666667,43.78274799864969,0.06804604707079265,0.07902413651495864,0.08114117341098583,0.016056010116943683,0.062349384387569914,95.69997010558541,7.145847764355726,0.2388240766854075,0.05262980672532042,3402.4974999561805,92.82642630466086,20.811921296296298,358.49220857174214,0.041676177992267985,62396.95701484893,0.03833689044882258,0.0516351614780171,102.19437740492005,0.049431421993680676
34,434,23.3035,30.5198,13,27.7776,0,121,118,5,135,7,1.00011,23.13757,0.0,0.0,12.64286,10.889,26.36993,0.0,0.0,120.0,34.45366,0.0,0.29,3.582,-1.0,1.911408,0.690387891306685,0.4958760784313725,43.44000281816648,0.06715810774096256,0.07895180977785839,0.08044957538795969,0.01600080389549125,0.062051397766966034,98.447562082508,7.276136062004225,0.2327654096631179,0.052139821368467607,3142.1887946704724,91.09025885840373,21.067901234567902,356.0480907533723,0.041652202543837995,62249.50500440744,0.03801916729271049,0.051326567769757525,102.43559407378291,0.049042810836560154
35,435,22.5686,30.2033,12,28.2097,0,121,118,5,135,7,0.99525,22.3918,0.0,0.0,9.96429,12.377,26.22202,0.0,0.0,118.0,34.446,0.0,0.29,3.5,-1.0,1.860525,0.6388046584129657,0.4915266666666666,43.1570395010489,0.06641557765893404,0.07820424473547773,0.07935974689300139,0.015911084811136882,0.06140352506463655,100.68981085966269,7.408857457174517,0.23882407668540873,0.05193615391807643,2859.418835639575,86.78074934979533,21.751880787037038,353.728199490092,0.041162441837665494,62350.76917729929,0.03755179205773234,0.05135800077503691,102.53994755678252,0.04874982965870833
36,436,21.6351,30.1095,12,26.0659,0,121,118,5,134,6,0.99922,21.48722,0.0,0.0,10.75,13.25,25.9607,0.0,0.0,119.0,34.27304,0.0,0.29,3.521,-1.0,2.120137,0.5498719139387108,0.4893321568627451,42.90790152844088,0.06566018753824629,0.0774807517213852,0.07843491400479953,0.015850232597734878,0.06111338683749648,103.09947974172483,7.577389508133606,0.23660645064217575,0.051515545731854205,2696.4077235918203,88.3846447008028,22.69415509259259,351.790141620705,0.04060324280828799,62244.76326907249,0.03723001604996688,0.05087286596350543,102.69274681474283,0.04845242867134423
37,437,20.8544,30.5447,11,24.2631,0,120,118,4,134,6,0.99515,20.64415,0.0,0.0,7.64286,14.453,25.87601,0.0,0.0,118.0,34.10048,0.0,0.29,3.312,-1.0,2.37777,0.7733809769644786,0.492586274509804,42.56557944968895,0.06483686329359448,0.07696407666285499,0.07755908942538577,0.015799910756382967,0.06186285006982002,106.21241086218903,7.649314497481366,0.23276540966311385,0.05132099703021465,2496.2219504178843,87.80830943038893,22.853346836419753,350.18486047039937,0.04024143837144837,62300.26332387208,0.036968969542170195,0.05056754051670788,102.91197831782515,0.048616554926262365
38,438,20.4728,30.3672,11,24.1308,0,120,119,4,134,6,0.99741,20.22117,0.0,0.0,6.60714,14.994,26.24832,0.0,0.0,120.0,34.1043,0.0,0.29,3.876,-1.0,2.466869,0.7136678347567954,0.4940098039215687,42.40360740379051,0.06411770244722967,0.07747398978014326,0.07659868406116518,0.015752954642214687,0.06131902565924235,108.64696447048385,7.743877375005722,0.232765409663115,0.05121189119075452,2365.8754657969434,88.39876725887433,22.608024691358025,348.8436276257322,0.040082122686888176,62241.29706649636,0.036633332803145846,0.050202624909479084,102.98486787144961,0.048667141218606276
39,439,20.4172,30.7111,11,25.6244,0,119,119,4,134,6,0.99873,20.19536,0.0,0.0,11.07143,14.877,26.09455,0.0,0.0,120.0,34.3138,0.0,0.29,3.197,-1.0,2.537221,1.0216747211880925,0.4918066666666667,42.45025785469714,0.06347684039775402,0.07708861569183888,0.07589457416798431,0.015679551379667846,0.060545562673102495,109.81098254998756,7.792849597848086,0.2327654096631155,0.05117713627643351,2146.387921661857,86.18629152698335,23.024305555555557,347.64900776162347,0.03987265438595032,62339.563982575695,0.03636738352207732,0.050450823198498584,103.00189060035423,0.04884917790566285
40,440,21.1271,31.538,12,28.3767,0,119,119,4,134,7,0.99437,21.00249,0.0,0.0,9.07143,13.816,26.38674,0.0,0.0,120.0,34.94008,0.0,0.29,3.159,0.28832,2.487835,0.593109039861758,0.5013180392156863,42.81162742332176,0.06299810871155469,0.07726820242848968,0.07521430349576687,0.015619196332084384,0.06048141179225302,107.90298016234895,7.798556466448836,0.2448827437076944,0.051178924908226765,2150.6091165787443,85.11959079772585,23.645351080246915,346.5140084769431,0.040448152207987906,62414.62651768078,0.036308441438324776,0.05090753986702653,102.7727342378884,0.049029349406706085
41,441,22.1271,30.9825,13,28.01,0,119,119,5,135,7,0.99163,21.98999,0.0,0.0,10.53571,12.79,27.09747,0.0,0.0,121.0,35.24349,1e-05,0.29,2.881,-1.0,2.43061,0.7712540687919244,0.5139352941176472,43.924468994140625,0.06255886393882723,0.07707928958870207,0.0744679533582002,0.015564274777087226,0.06056939328944067,105.73830652860492,7.831183810836981,0.24488274370770222,0.05121462563909268,2325.884347689948,86.97260927462469,24.70167824074074,345.4972653700283,0.040776383687534855,62731.998425649224,0.03655478224024658,0.05255014603329878,102.52718353931586,0.05015690535266539
42,442,22.0167,30.8102,13,29.4686,0,119,118,4,135,8,0.99296,21.87343,0.0,0.0,10.42857,12.947,26.6208,0.0,0.0,120.0,35.49708,0.0,0.29,3.471,-1.0,2.373473,0.7215744279742257,0.5171819607843138,44.7834329487365,0.06231615479982203,0.07713958001665856,0.07395502329314688,0.015518217495795121,0.06000437166710969,103.59569656270702,7.803017856804578,0.24488274370770502,0.0516409129298048,2336.1713086588857,88.89668969860415,25.097463348765434,344.41337397131025,0.04045810941427635,62692.372477846795,0.03653157770602133,0.05234483514142523,102.50121528396696,0.04966081896513771
43,443,23.3032,31.0243,13,28.7466,0,119,118,4,135,8,0.99344,23.00168,0.0,0.0,7.28571,12.04,26.47513,0.0,0.0,120.0,35.45586,0.0,0.29,3.214,-1.0,2.40919,0.7266675868006022,0.5144666666666666,45.21661716037326,0.0622337431593321,0.07740319866093913,0.07324563908291017,0.01546461315998333,0.059945648307907454,103.40368227553779,7.804464550747111,0.24488274370770383,0.05142711636272754,3045.5352051443615,90.16831656534076,25.10961612654321,343.1319064973658,0.04023381785220816,62682.87115757444,0.036397083807765504,0.05214769715669011,102.21142315307992,0.04921129710737048
44,444,23.1779,32.3455,13,26.9897,0,119,118,4,135,8,0.99055,22.85018,0.0,0.0,10.0,11.105,26.65389,0.0,0.0,120.0,35.68242,0.0,0.29,3.125,-1.0,2.36764,1.1236171349070632,0.5143501960784314,45.249182807074654,0.062090881015364745,0.0770396375583132,0.07295967318994348,0.015382719408329828,0.06031803302275084,102.89376427367932,7.782785042862571,0.2448827437077019,0.05127516264470175,2939.9337312812536,89.33517269909828,25.143132716049383,341.6511341221327,0.03996852916014436,62708.368272957836,0.036172417935649875,0.05308029954991804,102.27526969046937,0.048983045869812225
