,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,tone,blur,contrast,cubrow.0,cubrow.0.5,uhdhdsim,staticness,blockiness,cubcol.1.0,noise,cubcol.0.3,cubrow.1.0,temporal,cubcol.0.5,saturation,cubrow.0.3,color_fulness,movement,cubcol.0.6,cubrow.0.6,cubcol.0,fft
15,15,69.4364,7.90001,44,9.75986,0,137,126,2,128,3,0.99722,67.33032,0.0,0.0,8.42857,8.423,6.845,0.0,0.0,132.0,66.7144,0.0,0.3,1.781,-1.0,2.064462,0.2742716727474055,41008.86365786107,89.82325321407708,0.2399465243392702,0.29898681514915837,96.0107380488944,265.8659823065589,2.178530577233086,0.23562606637806288,0.21399519748883822,0.19197472924416203,0.19916057071519497,3.8943388564171997,0.15137927605431195,13.735070122612846,0.16910680122211455,102.55731467228759,4.625626929012346,0.20098709810592724,0.25866356961774617,0.18529568469413304,64068.069398410415
16,16,69.5879,7.68348,45,9.24414,0,137,126,2,128,3,0.99686,67.49364,0.0,0.0,8.71429,8.423,6.80612,0.0,0.0,132.0,66.73359,0.0,0.3,1.812,0.62976,2.106753,0.27404484491810904,41305.1350269547,90.83753668456565,0.23813939314654295,0.2989753400248218,95.99131918740613,265.7854825876185,1.14225249475708,0.23584229976054508,0.21621282353207463,0.19226720270143866,0.20006966556353592,3.8143907222242093,0.15157371509404519,13.774374691056618,0.16926189364332356,102.63996136194538,4.878327546296297,0.2007839451109877,0.2567786155455863,0.1857841595045284,64192.277822793425
17,17,69.6609,7.84146,45,9.21599,0,137,126,2,128,3,0.99862,67.56526,0.0,0.0,8.03571,8.429,6.62234,0.0,0.0,132.0,66.74293,0.0,0.3,1.956,-1.0,2.098585,0.2742716727474055,41404.83327686144,90.88871856744916,0.23645337011128936,0.29923149331632776,95.98134850261864,265.6687493674056,2.049547201195105,0.23639288672742897,0.2162128235320682,0.192327897565286,0.2008976015142791,3.7832182706710293,0.15169654535712468,13.760066279658565,0.1694923864708403,102.38013377975923,4.499614197530864,0.20060151087055997,0.2547824287454896,0.18675380752395973,64238.20849238359
18,18,69.7992,7.97737,45,9.22034,0,137,126,2,128,3,1.00439,67.687,0.0,0.0,9.07143,8.454,6.7546,0.0,0.0,132.0,66.74584,0.0,0.3,1.81,-1.0,2.108404,0.27440656915340317,41764.70665717163,90.89952579695438,0.2349827622840697,0.29939604074548914,95.9563136071459,265.5780558977446,2.1134822475605763,0.2372426619857228,0.22005386451112993,0.1922225223082355,0.20153830368342915,3.8064681083488066,0.15167255162825535,13.80829271858121,0.1696179946003829,102.14582400346049,4.3696469907407405,0.2005634184398748,0.2526937988472536,0.18806914348778164,64303.77711031538
19,19,69.9231,8.17492,45,9.95281,0,137,126,2,128,3,1.00402,67.81439,0.0,0.0,8.14286,8.472,6.87993,0.0,0.0,131.0,66.74231,0.0,0.3,1.95,-1.0,2.088582,0.274268944811996,42017.07678369297,90.91714740298373,0.23415390302582853,0.2995343235008885,95.9511754628938,265.46270814720333,1.1752807717938134,0.23848191071480712,0.2184304495752943,0.19240857364290884,0.20175110448923578,3.8052330518590978,0.1517618705668754,13.767439665617767,0.16948481125924902,102.14546790226777,4.318190586419753,0.20162164998891988,0.2508061313412421,0.18898377736199473,64371.872973188394
20,20,69.8592,8.10343,45,10.2963,0,137,126,2,128,3,1.00431,67.76845,0.0,0.0,9.03571,8.457,7.05562,0.0,0.0,131.0,66.73631,0.0,0.3,1.863,-1.0,2.087679,0.2743267770426765,41778.38185312518,90.97274965029246,0.23343026555206622,0.2997668310646468,95.95991428301605,265.3542408359461,1.0625715359334236,0.2399512202477551,0.22227149055436038,0.19248537178199837,0.202162644762377,3.9000766857304474,0.15133861393309433,13.841984689971548,0.16920823873561677,102.19900237574758,5.59813850308642,0.20324087400541968,0.24882198247379614,0.1897532590508184,64441.90852693318
21,21,69.8858,7.72939,45,10.0555,0,137,126,2,128,3,1.00161,67.82643,0.0,0.0,9.78571,8.44,6.98678,0.0,0.0,131.0,66.76451,1e-05,0.3,2.091,-1.0,2.10321,0.27476856618223827,41834.392573642115,90.99621012237495,0.23284363786319956,0.29993426241449084,95.94461832277224,265.2102184174602,1.0746851435621556,0.24124902115179406,0.22448911659757864,0.19221647794979854,0.2023993234745123,3.8247803846754316,0.1505320845182836,13.817155814465181,0.16879546742684853,101.3964822359722,5.842881944444445,0.20388738755824556,0.24689865313158485,0.1901360281702654,64421.28444245578
22,22,69.8164,7.8088,45,9.747,0,137,126,2,128,3,1.00021,67.76376,0.0,0.0,11.57143,8.432,6.66401,0.0,0.0,132.0,66.76015,0.0,0.3,1.9,-1.0,2.079475,0.27445799073587146,41703.62036766872,91.02553909732055,0.2322083156556918,0.30025682798049813,95.95413839642298,265.0646712247442,1.1435175727212243,0.24214909364198992,0.22227149055436313,0.19236141922298616,0.20270343182844244,3.750457426662489,0.1496649487892687,13.804140820915316,0.1684568728301985,101.95060970146827,5.742476851851852,0.20444488854876747,0.24508469019516918,0.19020352052096404,64418.07825852317
23,23,69.4908,8.06216,45,9.67963,0,137,126,2,128,3,0.99839,67.45929,0.0,0.0,9.85714,8.454,6.72826,0.0,0.0,132.0,66.73234,0.0,0.3,2.081,-1.0,2.055607,0.27404484491810904,41052.920261536,90.06365994716933,0.2320859738894662,0.30055793153596444,95.98677721186839,264.9363082851909,1.3957757210775175,0.24319647282894946,0.2244891165975861,0.1925704535115281,0.2029520598866591,3.8775655046099677,0.1481469646302882,13.807463092568481,0.16801733524373355,101.9734825862349,5.681327160493828,0.20464750668253023,0.2433657847643206,0.19075610527478937,64409.635078661835
24,24,69.5186,8.12564,45,10.451,0,137,126,2,128,3,0.99593,67.4787,0.0,0.0,10.25,8.467,6.95708,0.0,0.0,133.0,66.75906,0.0,0.3,2.1,0.63645,2.080581,0.274241529061131,41049.90507889368,89.91696955731005,0.2314891673854593,0.30080953598306936,95.98505077337778,264.81212323352634,1.3683460097422533,0.24439054040546548,0.2244891165975904,0.19248006295010037,0.20308159980653406,3.9765411317409987,0.1473918227113144,13.863323447145062,0.16749058036013378,101.58813103760878,5.973668981481482,0.20488397347970627,0.2418152471297671,0.1915289288974655,64497.907495249005
25,25,69.5884,8.01728,45,10.3536,0,137,126,2,128,3,0.99632,67.54551,0.0,0.0,9.64286,8.464,7.00768,0.0,0.0,133.0,66.72969,0.0,0.3,1.917,-1.0,2.070691,0.2742716727474055,41181.16204549087,89.96386986308244,0.2305467320938537,0.30114073274660813,95.9889637448906,264.69721801055874,0.9728198873413826,0.24558131244111892,0.22448911659758744,0.19252356422321115,0.2031860725848403,3.9859801444803207,0.14675045595472236,13.867626614040798,0.16675543599922982,101.6453501320587,7.185426311728395,0.20533362722846926,0.2404278583316636,0.19192142247718347,64567.45515042209
26,26,69.5704,8.21234,45,9.98775,0,137,126,2,128,3,0.9967,67.53655,0.0,0.0,10.46429,8.45,6.92141,0.0,0.0,133.0,66.71357,0.0,0.3,2.05,-1.0,2.078083,0.2739400921983859,41209.13435498363,89.91333924022211,0.22963568895444925,0.30135338109549153,95.99825492875641,264.56730834520846,1.2438095141218612,0.24643189573493854,0.22448911659758367,0.19253202277260356,0.20314479997937684,3.9363529177012917,0.14635648561191028,13.892578501760225,0.16592245234733322,101.25952454036948,7.359953703703703,0.2061055428557307,0.23909251409763285,0.19172275620916274,64546.06354438972
27,27,69.6328,8.16408,45,10.2699,0,137,126,2,128,3,0.99867,67.61582,0.0,0.0,11.46429,8.444,7.08605,0.0,0.0,133.0,66.70335,0.0,0.3,2.082,-1.0,2.092509,0.2739687355201852,41358.382439393485,90.03697955776977,0.22935905775519863,0.30145149314382846,95.98949080246183,264.43101791690094,1.0450279811901715,0.2470583114268431,0.2244891165975853,0.19232295843029967,0.20301456952624616,3.9845532266682375,0.14661075423663422,13.84573722180025,0.1649931407408738,101.68322271441248,7.619309413580247,0.20639771055491576,0.23795061915780458,0.19120508658424767,64569.360045965455
28,28,69.7731,8.26217,45,10.385,0,137,126,2,128,3,1.0034,67.74728,0.0,0.0,9.39286,8.446,7.04772,0.0,0.0,132.0,66.72282,0.0,0.3,2.04,-1.0,2.046315,0.27409722127797065,41559.35680149653,90.04415378851607,0.2285467132394175,0.30143927732043213,95.97784828424867,264.2711946650737,1.8743765671342953,0.2478173308305075,0.22448911659758597,0.19199833797617333,0.20292954381646902,3.994567809452069,0.14692075465230076,13.87131585015191,0.16395430096166091,100.992357746029,7.633150077160494,0.20664418486020417,0.2368668035349073,0.19044769773202677,64518.011605380016
29,29,69.6381,8.57163,45,10.3917,0,137,126,2,128,3,1.00484,67.63715,0.0,0.0,8.60714,8.436,7.13803,0.0,0.0,132.0,66.67224,0.0,0.3,1.876,-1.0,2.04393,0.2739687355201852,41335.695343819745,90.01456332031772,0.2274125815037115,0.30110211631230444,95.97762633461612,264.115404139307,2.0065803177599606,0.24878338458472282,0.22448911659758908,0.19184125167419694,0.2027965568831274,3.993322696377968,0.14708961846401236,13.87404058009018,0.1628576101510599,101.12030499034249,7.986207561728395,0.20684746926926664,0.2359414871881538,0.19027783115689725,64555.76915108355
30,30,69.6005,8.13404,45,10.263,0,137,126,2,128,3,1.0009,67.61757,0.0,0.0,9.60714,8.425,7.40695,0.0,0.0,133.0,66.65134,0.0,0.3,2.0,-1.0,2.063724,0.27390694778316094,41267.80050685771,89.98797554100491,0.227052028757331,0.3006979088204921,95.98277147243965,263.96263359625266,2.224542664128786,0.2492946505068682,0.22448911659758863,0.19186836223778597,0.20247885929583226,4.058869004910436,0.14720773541703133,13.896058447567034,0.16181069984773538,101.76340208314767,8.765190972222221,0.20705231027152685,0.2349934166946957,0.19113306340671146,64535.21410542527
31,31,69.7087,8.0801,45,9.84243,0,137,126,2,128,3,0.99817,67.74311,0.0,0.0,9.0,8.432,7.01603,0.0,0.0,133.0,66.6591,0.0,0.3,1.969,-1.0,2.050932,0.2739687355201852,41498.975648455336,90.01901793672754,0.22705944048761514,0.3002301323307557,95.96177012912881,263.82470795849133,1.6236408014094406,0.24959953348433608,0.22448911659758994,0.19167430276408248,0.2021736571564864,3.941031183275697,0.14697838440408686,13.961317085925442,0.16097088011876212,100.96623996763567,8.677131558641975,0.20759297775083438,0.23404229218108868,0.19290878303801592,64607.84388606576
32,32,69.76,8.29963,45,10.4353,0,137,126,2,128,3,0.99751,67.79636,0.0,0.0,10.17857,8.418,6.97422,0.0,0.0,131.0,66.63731,0.0,0.3,1.962,0.62629,2.037387,0.2738755765259522,41555.27574276994,90.95202490456353,0.2265113874059927,0.29986856155823455,95.95200194761104,263.66905335127194,1.4463556711084307,0.250039928663298,0.224489116597591,0.19161912575256385,0.20185546711513913,3.93896351157569,0.1472070730570002,13.90324627911603,0.16023131961163226,101.25083631840847,8.547935956790123,0.20816187858041474,0.23318098440030235,0.19496832245768494,64607.69763644873
33,33,69.6746,9.03089,45,11.078,0,137,126,2,128,3,1.00278,67.70965,0.0,0.0,11.78571,8.422,7.16629,0.0,0.0,131.0,66.60763,0.0,0.3,1.918,-1.0,2.049717,0.27377205137716326,41345.87621953062,89.97547763340678,0.22618497526919226,0.29944943022032894,95.97043578241204,263.5084333381713,1.564093988608671,0.25072115239987597,0.22448911659759008,0.19152164320610784,0.2015245069201232,4.026144424566652,0.14751672514315473,13.902567545572916,0.1596432850463229,101.17780926954053,8.582947530864198,0.20861529871766005,0.23241307256944183,0.19644503446915942,64591.90063684417
34,34,69.6559,9.42297,46,11.995,0,137,126,2,128,3,1.00929,67.71893,0.0,0.0,12.39286,8.442,7.79376,0.0,0.0,133.0,66.60978,0.0,0.3,2.055,-1.0,2.054737,0.27377205137716326,41358.136519847394,90.91593576732004,0.22555162353875266,0.2988916101154014,95.9727725987105,263.3617528728219,1.7464939521233775,0.25191684151685123,0.22448911659759055,0.19159871710016282,0.20099494921446773,4.2213027637082545,0.14745379525751542,13.947083084671586,0.15913032667383867,101.65474848762892,9.063850308641975,0.20879257181403332,0.2318270499261814,0.19716205397283287,64678.98510955232
35,35,69.5743,9.27246,46,12.3149,0,137,126,2,128,3,1.00816,67.63672,0.0,0.0,14.5,8.42,8.13821,0.0,0.0,134.0,66.55593,0.0,0.3,2.1,-1.0,2.025812,0.2735726392987319,41224.6922737791,90.91940917252343,0.22461836390790033,0.2984527303122037,95.98117043812336,263.1976998652103,1.7414095066841269,0.2530170329469398,0.22448911659758894,0.19190889408589556,0.20040765823682782,4.25610543964485,0.14763388029646637,13.928113207404996,0.1586189008508808,100.68865325676656,9.70336612654321,0.20897898587603636,0.23137983233064008,0.197664995631544,64702.07966124269
36,36,69.8382,9.16685,46,12.1952,0,137,126,2,128,3,1.00122,67.90721,0.0,0.0,15.42857,8.418,8.00445,0.0,0.0,133.0,66.57209,0.0,0.3,2.117,-1.0,2.007363,0.27377205137716326,41659.50277572368,90.92797789622425,0.2236477925346763,0.2981719706858783,95.95544203803178,263.02821566951104,2.347790615833539,0.2536626244066808,0.2244891165975915,0.1922485495649577,0.19981720587580656,4.235365732084593,0.14787185871185035,13.949981501073013,0.15825997009831336,101.41549823268173,10.094376929012345,0.20915686751591236,0.2310685202183319,0.1977885562662693,64656.81158900199
37,37,69.9714,9.26216,46,11.8557,0,137,126,2,128,3,0.99621,68.04485,0.0,0.0,14.82143,8.428,7.91163,0.0,0.0,133.0,66.56823,0.0,0.3,2.12,-1.0,2.036657,0.27377205137716326,41874.66355286112,89.98685164200377,0.22251127126585635,0.2979079415482765,95.93813265283762,262.8598234887122,1.9253656862113584,0.2542996947839722,0.22448911659759108,0.19233757471259616,0.1992162644157987,4.2035066593972115,0.14806773716664046,14.009233827944156,0.15794297363742926,100.92277866237505,10.336757330246913,0.20943774474525295,0.23065520423669306,0.19723353181455983,64617.21563740498
38,38,69.912,9.29555,46,12.1118,0,137,125,2,128,3,0.99564,68.01416,0.0,0.0,13.0,8.451,7.9895,0.0,0.0,132.0,66.54899,0.0,0.3,2.511,-1.0,1.993786,0.27374190769088874,41698.31271019252,89.99397226885723,0.22136172315865082,0.2975889933651239,95.94801998746105,262.6890034872315,1.8310682378230605,0.2546827235604672,0.22448911659759452,0.19243624976710802,0.19867249369257098,4.179193476582765,0.14807276601810404,14.049586731710551,0.1575999455565149,101.30816373675741,10.651765046296296,0.20971027450199328,0.2302324349736817,0.19592987641476825,64558.500522790455
39,39,69.8384,9.02907,46,11.7211,0,137,126,2,128,3,0.99657,67.96387,0.0,0.0,11.53571,8.448,8.01542,0.0,0.0,132.0,66.53085,0.0,0.3,2.151,-1.0,2.023695,0.2735726392987319,41545.22350470584,90.98196094162769,0.22071677915427532,0.2970986309759633,95.94322936113612,262.5208326349145,1.799857462526193,0.25468786858673065,0.22448911659759166,0.19298630847371648,0.19813653446384802,4.172204209934241,0.14824839782128985,14.027749520760995,0.15710349428013695,101.08715255686168,10.902247299382717,0.2101358149224277,0.22989466183964255,0.19473111686010425,64545.56161001456
40,40,69.6894,9.57481,46,11.5434,0,137,126,2,128,3,0.99947,67.84683,0.0,0.0,10.25,8.463,7.78741,0.0,0.0,132.0,66.50309,0.0,0.3,1.889,0.61214,2.017195,0.2734599755663213,41247.21540856957,90.91094802216435,0.22026851439684472,0.2966938892466282,95.95894407588501,262.3436585304961,1.7164836792805915,0.2549850833659579,0.2244891165975921,0.1936353247898047,0.19773517938214163,4.104288280770086,0.14819674946555567,14.024008291739005,0.1566913379550905,101.25873235940634,11.101176697530864,0.21098828356162266,0.22968434500442395,0.19345953593090975,64539.05245528176
41,41,69.7571,10.0169,46,11.5225,0,137,126,2,128,3,1.00291,67.88719,0.0,0.0,9.60714,8.448,8.25742,0.0,0.0,132.0,66.51951,0.0,0.3,1.923,-1.0,2.016057,0.2734770251626304,41332.47497758418,89.949413890207,0.22004307132940346,0.2962959896820184,95.94137702528482,262.1723027169771,1.7959132172476844,0.25524709845689464,0.2244891165975925,0.19446694467796272,0.1975286741843719,4.251027112784826,0.14800793139610452,14.047682773919753,0.15631202381857645,101.02642943932003,11.092640817901234,0.21176553703399223,0.2294233342408444,0.1922583889511086,64540.33379652547
42,42,69.8069,9.56576,46,12.0922,0,137,125,2,128,3,0.99858,67.92759,0.0,0.0,10.32143,8.455,8.64373,0.0,0.0,132.0,66.49933,0.0,0.3,1.89,-1.0,2.022618,0.27346515864359927,41533.99766006464,90.99769686221191,0.21976558940706178,0.29586551487326823,95.94980877948447,261.98773091919287,1.3393898778369038,0.25543749272539623,0.22448911659759152,0.19548108006185036,0.19711648598150525,4.36782046119981,0.14811236651358667,14.061580893434126,0.1559224212307854,101.88914788912841,11.24782986111111,0.21233023770893472,0.2290876907932653,0.1910627043301543,64554.58253889399
43,43,69.8493,9.40905,46,11.6013,0,137,126,2,128,3,0.99501,67.96445,0.0,0.0,11.25,8.483,8.25588,0.0,0.0,133.0,66.4998,0.0,0.3,1.89,-1.0,2.01686,0.2734770251626304,41680.03251884708,90.91820711077445,0.21955428242541516,0.2955573363817184,95.93907160945375,261.8024639434174,1.356683799286065,0.25553005766185244,0.22448911659759205,0.19646145360551512,0.1968680743114478,4.297477151036771,0.14807173316632002,14.04385036892361,0.15552864178420112,100.95087350702718,11.464409722222221,0.2128320561082911,0.22885288199977227,0.1898246508009346,64554.7585514069
44,44,69.7234,9.45976,46,12.0224,0,137,125,2,128,3,0.996,67.83539,0.0,0.0,10.25,8.463,8.11298,0.0,0.0,132.0,66.48933,2e-05,0.3,1.958,-1.0,1.990274,0.2735963723367942,41374.27669958823,90.9450533619618,0.2197741963849383,0.2954101014424795,95.96559391668409,261.61956312470573,1.1168177656474985,0.2557394714059898,0.2244891165975921,0.1971965624768638,0.196800496149633,4.22674383634449,0.14777946649391246,14.105639045621142,0.15499009998562227,100.83362224037944,11.530140817901234,0.21345217511112122,0.22869720136011273,0.18863144151367192,64547.859236189724
