,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0,staticness,noise,blur,cubrow.0.3,cubcol.0.5,contrast,cubcol.0.3,movement,fft,cubcol.1.0,cubrow.0.6,color_fulness,cubcol.0.6,cubcol.0,cubrow.0.5,uhdhdsim,saturation,cubrow.1.0,temporal,blockiness,tone
10,10,30.0524,9.49881,19,9.94401,0,108,122,6,136,5,1.0011,29.725,0.0,0.0,8.71429,8.563,8.04136,0.0,0.0,123.0,43.59747,0.0,0.38,1.534,-1.0,1.483159,0.043903332460652596,600.4573795768329,0.31877517019001994,5444.7330158240375,0.05668377053030929,0.0665418642923705,86.76041028515165,0.11138600168735492,5.57055362654321,63438.09412981231,0.09804913623020592,0.12374549672340125,63.73988764251084,0.07525721333210802,0.04060304163899339,0.09427173465080363,101.3350557412381,49.51099537037037,0.11497557651945083,4.569901773382465,0.6923962659588636,0.6578678431372548
11,11,29.6836,9.71917,19,10.806,0,108,122,6,136,5,0.9965,29.3746,0.0,0.0,9.21429,8.518,8.16495,0.0,0.0,124.0,43.5851,0.0,0.38,1.706,-1.0,1.531495,0.047470299721435814,599.4470959481505,0.32099279623324095,5286.740832370902,0.056278055670854546,0.06641651475571256,90.79648867530852,0.1111211873688445,6.250144675925926,63513.30145953039,0.09652727985401899,0.121950764788149,63.49489492391707,0.07451528438206555,0.04039445632508869,0.0937773045364697,101.38900272828704,49.414579791787226,0.11359895564857864,4.60039642640638,1.1973142969263013,0.6541419803921568
12,12,29.5707,9.80635,18,10.4285,0,108,122,6,136,5,0.99781,29.27576,0.0,0.0,6.92857,8.544,8.36254,0.0,0.0,124.0,43.52114,0.0,0.39,1.688,-1.0,1.526246,0.048990723775828145,598.2293584817935,0.3209927962332443,5229.013023722028,0.055734338615588956,0.06619386570631848,90.32534865499518,0.11055027600439946,5.756847993827161,63479.5380798326,0.09523415621890899,0.12115039773546138,63.36342217423564,0.07367400122368313,0.040208634255561634,0.0930676619417054,101.4104722266187,49.362894694010414,0.11276695892395741,4.596073867707958,1.3496899472174944,0.6547137254901961
13,13,29.1311,9.54289,18,10.8087,0,108,122,6,136,5,1.00404,28.88592,0.0,0.0,9.35714,8.641,8.42946,0.0,0.0,124.0,43.46346,0.0,0.39,1.846,-1.0,1.48809,0.049588123122843754,596.8101870811545,0.31877517019001916,5018.955969109674,0.05527687692936287,0.06563258072645425,88.69581527996775,0.10881120919950636,5.260706018518518,63488.41730614116,0.09434682586810228,0.12003241953403046,63.270602444517685,0.07339990923652566,0.040342387279178576,0.09249293198374313,101.47054511528941,49.47371588812934,0.11152374109547573,4.653036166125469,1.2295674688872622,0.6519913725490196
14,14,28.9097,9.04668,18,10.9883,0,108,122,6,136,5,0.99609,28.72001,0.0,0.0,9.0,8.571,8.19843,0.0,0.0,124.0,43.35006,0.0,0.38,1.708,-1.0,1.493993,0.0494002092810565,595.1705679210671,0.3209927962332377,4936.450724129174,0.0550141476000656,0.06524908755528584,90.13573303773502,0.10799085168513688,5.122878086419753,63588.277902757836,0.0933517748986199,0.11938372211105991,63.274476089559535,0.0731895493671191,0.04157591280846434,0.09237038242765112,101.50208049036428,49.257472850658274,0.11090691348356364,4.654743745792218,1.200287912835422,0.645545666666666
15,15,28.9456,8.47233,18,11.1018,0,108,122,6,136,5,0.99788,28.79615,0.0,0.0,8.71429,8.518,7.76437,0.0,0.0,124.0,43.24841,0.0,0.38,1.627,-1.0,1.508656,0.04997268579005079,593.4001459957494,0.3209927962332486,4974.839675834203,0.05465371393171873,0.06483028469346984,93.64349147465033,0.10699607485591317,7.163194444444445,63747.891331256076,0.09236146842886737,0.1187552352966245,63.20922834820518,0.0729097365294222,0.043522881040190003,0.09266044420819938,101.4878865977463,49.20442915551456,0.11035897930918924,4.538466599705906,1.03098460395687,0.6433892549019599
16,16,29.1393,8.22194,19,10.8545,0,107,122,6,136,5,0.99971,28.95809,0.0,0.0,8.28571,8.34,7.27319,0.0,0.0,124.0,43.24537,0.0,0.38,1.585,0.3215,1.511473,0.051831732472400846,591.7822296852837,0.3209927962332459,5087.963579165192,0.054309330572992025,0.06446096569681802,87.22121977477585,0.10618989017028731,6.612847222222222,63804.24728214221,0.09149924172024654,0.1180334420513271,63.21693779189363,0.0727899237337974,0.04590580099441238,0.09179706081520976,101.46840497275365,49.37789502555942,0.1100502311328319,4.46911862849784,1.0282407497474082,0.6447510196078429
17,17,28.9011,8.0834,18,10.9891,0,107,122,6,136,5,0.994,28.73357,0.0,0.0,6.42857,8.299,7.05801,0.0,0.0,124.0,43.24483,0.0,0.39,1.594,-1.0,1.478274,0.052504661970519555,590.3208750760716,0.3209927962332493,4977.509755007037,0.05414105342005802,0.0640301864200671,89.05450564129156,0.10531097522715081,5.849585262345679,63817.46099826699,0.09074349651641278,0.1177143062587179,63.013887798816086,0.07334478367945182,0.0473484739557809,0.09070750743681581,101.50125334038916,49.271961165063175,0.10997273687629547,4.490559262751573,1.1751404706593627,0.6441516470588224
18,18,28.7391,7.84112,18,10.1572,0,107,122,6,136,5,0.99343,28.57291,0.0,0.0,8.82143,8.364,6.93522,0.0,0.0,124.0,43.29688,0.0,0.39,1.64,-1.0,1.441417,0.05274978317893029,588.8031028317137,0.320992796233248,4919.572417805312,0.053829962434388194,0.06375299781781,90.80034714471437,0.10426637864741412,5.24537037037037,63820.43024434592,0.09089513436693779,0.11717467816245368,62.87362233705852,0.07472845219226594,0.049220122847165926,0.089571805975851,101.52143359527244,49.206628681700906,0.1095779758754089,4.4140064672415,1.1428789766457044,0.6429427450980392
19,19,28.5859,7.82242,18,9.85566,0,107,123,6,136,5,0.99243,28.40297,0.0,0.0,8.17857,8.366,6.72348,0.0,0.0,124.0,43.27251,0.0,0.38,1.62,-1.0,1.460464,0.05317055291217571,587.3713904731351,0.316557544146794,4848.891417637591,0.05356761440818647,0.06343686102364667,92.47746799857387,0.10323376429746846,4.977237654320987,63951.99899190899,0.09079569802486843,0.11650680001427137,62.76252116231943,0.07547832224134644,0.05119867709669893,0.08860489081536778,101.56101422720867,49.165155481409144,0.10912262966687446,4.285003873779167,1.336656517600412,0.6417792156862746
20,20,28.9211,7.73355,18,9.53325,0,107,123,6,136,5,1.00143,28.70985,0.0,0.0,7.39286,8.408,6.70796,0.0,0.0,124.0,43.29175,0.0,0.39,1.478,-1.0,1.440163,0.053669260933194025,586.0043143964591,0.3209927962332495,4990.97974918579,0.05321425624775752,0.06309425080971102,92.78081195598294,0.10224990128810592,6.603346836419753,63950.25964196231,0.09135300751325934,0.11610916453146158,62.53849484852009,0.07599123578700075,0.0527573416215973,0.08758114284407291,101.51633763329076,49.19654186861015,0.10898373849028142,4.2836774830820055,1.1870256199182772,0.6420129411764706
21,21,28.9131,7.9559,18,9.38848,0,107,123,6,136,5,0.99951,28.71206,0.0,0.0,4.96429,8.309,6.63639,0.0,0.0,124.0,43.26824,0.0,0.38,1.435,-1.0,1.458215,0.05415899619887398,584.7844103568005,0.31877517019002904,4965.636050288058,0.053064825843532185,0.06274332001305155,92.75059439943183,0.10138235707001873,6.521846064814815,63885.56022271914,0.09119853871526186,0.11570069259442291,62.65534243290949,0.07625521347339613,0.05359888191221181,0.08665502615951716,101.50431911975771,49.466408435209296,0.1084920126403589,4.254294251632732,1.4946865268522325,0.6431211764705882
22,22,28.7114,8.80535,18,10.4193,0,107,123,6,136,5,1.00772,28.4938,0.0,0.0,6.35714,8.343,6.82797,0.0,0.0,124.0,43.14579,0.0,0.38,1.536,-1.0,1.482709,0.054177354712342835,583.6455936640552,0.30887546218867196,4894.687198938271,0.052839751064790316,0.06256926879329354,94.26771197933333,0.10063707694144713,6.438802083333333,63632.385371093704,0.09169087752716716,0.11532075352170615,62.712318211362856,0.07626819798618302,0.05283883957843517,0.08581026818706064,101.56387289519793,49.21187299563561,0.10822663851215916,4.312126743255249,1.1981799512814757,0.6420945098039215
23,23,28.4286,11.6059,18,10.8952,0,107,122,5,136,4,1.00759,28.1691,0.0,0.0,9.14286,8.341,7.55255,0.0,0.0,124.0,42.85807,0.0,0.38,1.361,-1.0,1.487044,0.054705858753928104,581.8110022800684,0.31493412921095115,4783.920244006992,0.05257717668984053,0.06252436456783846,94.13987140671318,0.10007904849064929,7.260513117283951,63747.81172537173,0.09229702365379358,0.11487983146832541,62.13878902130397,0.07667992160490701,0.05186111670460889,0.08500377848739664,101.63123462211144,49.83387398425443,0.10784095726914161,4.910047627908851,0.8019414625494432,0.6390211764705882
24,24,28.235,14.1379,17,10.9976,0,107,120,5,137,4,1.01241,27.92489,0.0,0.0,10.46429,8.323,9.975,0.0,0.0,122.0,42.27312,0.0,0.38,1.525,0.2981,1.671306,0.05540963328504995,577.6330682648743,0.30059916912314694,4681.99993112116,0.052487610668382374,0.06233628558455173,91.8374908455589,0.09964094844331349,10.83810763888889,63750.8431737939,0.09377030958514566,0.11454100342057773,60.73343715531554,0.0765237322863122,0.05149698052756701,0.08440342800601972,101.69164256304619,52.38624120641637,0.1073671517391936,5.803998744612987,1.2080506340447832,0.6358491372549016
25,25,28.0474,16.5528,17,12.9431,0,108,120,5,137,4,1.01214,27.75959,0.0,0.0,11.71429,8.319,12.19694,0.0,0.0,126.0,41.44601,0.0,0.38,1.719,-1.0,1.691239,0.05653937227981246,573.5580309981387,0.30059916912314794,4610.782930711785,0.05232857138625172,0.061688171150268936,93.73620857059603,0.0991820812172668,14.54470486111111,63613.26341978386,0.09276291275676385,0.11320322078505361,60.7457206837395,0.07672504836968314,0.051557407985546165,0.08377190854862183,101.71938561555842,52.50502635814526,0.10696687360991203,5.061302124195594,1.214356858645209,0.6277931764705873
26,26,27.7183,18.0251,17,14.4057,0,109,120,5,137,4,1.00651,27.50586,0.0,0.0,11.21429,8.57,14.26034,0.0,0.0,130.0,41.07884,0.0,0.38,1.718,-1.0,1.704465,0.057162011853796775,569.6108981123323,0.30059916912314794,4423.063212198441,0.05236635425111196,0.061272269355537125,87.50627714655994,0.09896617843643857,16.96387924382716,63656.952039852644,0.09235985971652977,0.11189636273507296,60.65633850519703,0.07640621648589752,0.05160067827946556,0.08305662678363018,101.7643916529366,52.06311637972608,0.10657606628947952,5.5028293525683365,1.2717400033742403,0.6309596078431373
27,27,27.5873,18.3414,17,16.0591,0,109,120,5,137,4,0.99635,27.39012,0.0,0.0,6.21429,8.742,15.50404,0.0,0.0,130.0,40.60465,0.0,0.38,1.573,-1.0,1.662953,0.05645752094034235,565.7590673436811,0.3005991691231489,4321.596658880776,0.05205522240850348,0.06158430604871693,90.91606556757291,0.09864417509371111,18.360918209876544,63770.49499206177,0.09225108936940665,0.11090785872852811,59.97556982449234,0.07591245497105086,0.05251862404331427,0.08245789947178897,101.78593392360867,51.60033124758874,0.10599889078952607,5.871282136701927,1.2367715281951919,0.6221286274509804
28,28,28.2948,20.9006,17,16.3154,0,109,120,5,137,4,1.00133,28.03123,0.0,0.0,7.78571,8.785,15.78087,0.0,0.0,130.0,40.58761,0.0,0.38,1.771,-1.0,1.622231,0.05646654919436995,561.8991124478435,0.3127165031677317,4610.618404537174,0.05189723016502122,0.06076633584080624,90.98248938935754,0.09821518723917624,18.37842399691358,63903.849490699664,0.0923769688125961,0.1104102440297248,58.3984259629604,0.07588798558253386,0.05422094373935866,0.08203101770605752,101.66440378162426,51.41443379720052,0.1049501964163608,6.012746020907099,1.078456197999065,0.6216949019607844
29,29,27.6068,20.4724,17,18.4107,0,110,120,5,137,5,0.99796,27.39657,0.0,0.0,7.64286,8.555,17.99396,0.0,0.0,127.0,40.67479,0.0,0.38,1.611,-1.0,1.532265,0.055996007879332316,558.3676017343718,0.31271650316772376,4408.78559113973,0.051692326030725384,0.060208551998578164,86.0530006144661,0.09696949971875224,17.72853973765432,63751.47845172767,0.09157237865526555,0.11008522853814585,59.867378450966186,0.07562049577098853,0.05540164831380914,0.0811820341591085,101.7973159314583,52.051675490391105,0.10434403271030535,6.400393802787553,1.1436890578897494,0.6299362549019571
30,30,27.2347,20.1408,17,17.467,0,111,120,5,138,5,1.00517,27.06534,0.0,0.0,6.25,8.544,17.61842,0.0,0.0,128.0,41.22353,0.0,0.38,1.955,-1.0,1.263162,0.055768902027715395,555.0370910770429,0.3149341292109598,4281.266212745114,0.05174232341337361,0.05984723262032809,86.44561216385883,0.09549873181081962,18.63396990740741,63674.246192349325,0.09070239004673515,0.10983797991165745,60.38723979707307,0.07561397449391973,0.05702377350522735,0.0805256602724276,101.82856411755915,52.09084178783275,0.10403772386320276,6.209483966721652,1.0947244863438188,0.6321752941176472
31,31,26.0299,20.868,16,20.1062,0,111,120,5,137,5,1.00429,25.90663,0.0,0.0,4.0,8.724,17.36086,0.0,0.0,130.0,41.70116,0.0,0.38,2.037,-1.0,1.261896,0.05546193098504434,551.6853141077107,0.3149341292109571,3825.2267851316005,0.051448659699223236,0.05943728819618163,85.43459640136655,0.09407991469647689,18.22771990740741,63790.88453678537,0.09038278667994858,0.10949572699718783,61.09224400202169,0.07568502710573684,0.059461306167652286,0.0797951659462553,102.0187605737339,51.01947059160398,0.10355693561484695,6.191213163401078,1.0189944591548514,0.6437156862745097
32,32,25.3097,21.2882,16,20.1491,0,112,120,5,137,5,1.00481,25.15681,0.0,0.0,3.57143,8.685,17.93058,0.0,0.0,128.0,41.37168,0.0,0.38,1.712,0.2671,1.34139,0.05512979596757278,548.2445989802671,0.30059916912315193,3607.8792017334904,0.05096874137876078,0.05927531037944754,87.11977769158717,0.09295359380615115,18.88845486111111,63811.79482882501,0.09006211076595713,0.1089614548468587,61.43611461585116,0.07572421688264237,0.06159642084879733,0.07900130216500544,102.15191988151741,50.46592429832176,0.10304903415893227,6.352655899634945,0.5415840069090502,0.6415470588235294
33,33,25.3778,22.5657,16,18.6192,0,112,120,5,137,5,1.00328,25.15764,0.0,0.0,3.46429,8.923,18.3113,0.0,0.0,129.0,41.81509,0.0,0.38,1.526,-1.0,1.408924,0.05489802490744706,544.7758402016525,0.3005991691231456,3586.2968872347797,0.050727835371247254,0.059406798655027085,86.63708887652562,0.09228308994730725,18.844328703703702,63868.937454417006,0.09011600173369108,0.10840882283659078,61.34761056129865,0.07572982545773065,0.0640916196677883,0.07822878612608561,102.14282969555083,49.94834899902344,0.10270735569731076,6.453630742619884,0.5853178611989645,0.6541709803921568
34,34,24.6676,26.0335,15,18.0119,0,113,120,5,137,5,1.00065,24.47359,0.0,0.0,4.64286,8.961,19.44785,0.0,0.0,129.0,41.36362,0.0,0.38,1.625,-1.0,1.440497,0.05445007737335555,541.3558800768296,0.3005991691231451,3341.1407997435995,0.050316004569077366,0.05958179694974616,86.99231814404018,0.09099502310110764,20.613908179012345,63961.30257775915,0.09038505243353717,0.10786111526445688,60.58125325658573,0.07578704871329539,0.06562139116751106,0.07776282681873846,102.2735060638773,49.201927467628764,0.1023920459820517,6.463024841679527,0.6929240056274826,0.6423764705882353
35,35,24.73,28.4683,15,19.479,0,114,120,5,137,5,1.00177,24.41598,0.0,0.0,4.89286,9.059,22.41397,0.0,0.0,129.0,42.46455,0.0,0.38,1.618,-1.0,1.448881,0.05429460493381915,537.8944672122418,0.3005991691231454,3336.1091919067653,0.050231809954533496,0.05977604886923952,86.59040318221342,0.08980150602157937,20.609760802469136,63858.56997496891,0.09086977732213204,0.10722984815131406,61.76485536195397,0.07599613390252453,0.0666206137290496,0.07694648355255626,102.28202742562743,48.4845842903043,0.10210083301817088,6.549907549099374,0.5741358357941118,0.6740168627450981
36,36,25.6237,28.6242,16,20.7081,0,114,120,5,137,5,1.00507,25.30701,0.0,0.0,5.82143,9.511,24.4568,0.0,0.0,130.0,42.39043,0.0,0.37,2.297,-1.0,1.433448,0.0541171536002185,534.60980987265,0.30059916912314666,3555.744681460447,0.050453820022044675,0.05929461208148157,86.42099835963663,0.0887906446132974,20.103395061728396,63974.064468597615,0.09147048483461917,0.10677471491326583,62.411115689411375,0.07613419297807825,0.06819891781092724,0.0765698233968304,102.07618679762705,49.21239330150463,0.101689599015414,6.644699823997229,0.5042386264543959,0.673458431372549
37,37,25.9396,27.8511,16,23.0998,0,113,120,5,137,5,1.00233,25.69989,0.0,0.0,5.42857,9.041,24.56715,0.0,0.0,130.0,42.75602,0.0,0.38,1.994,-1.0,1.367082,0.05406127087543353,531.5460280073336,0.30281679516638293,3678.2727036143956,0.04985886975346589,0.05886101458992794,87.99335812904745,0.08821507083949956,20.92944637345679,64115.34601523877,0.09222625833912017,0.10640934627464935,61.116599978050374,0.07613020076126802,0.07104607548076824,0.07586717041826563,101.97561823290206,49.825164794921875,0.10163206610223507,6.842167909564548,0.7718394800157381,0.6805898627450935
38,38,26.3958,26.6228,16,22.5941,0,113,120,5,137,5,1.00192,26.1414,0.0,0.0,5.21429,9.076,23.91364,0.0,0.0,130.0,43.27445,0.0,0.38,1.444,-1.0,1.387778,0.05395122965165436,528.7055266482008,0.3149341292109565,3846.3988131158317,0.049746790479879656,0.05857707257273073,88.9379426425096,0.08779554455903289,21.178337191358025,64242.255286987835,0.0931888779977839,0.10594241947853991,57.093503945563455,0.07599508892694151,0.07604179601243317,0.07536496334235829,101.89666936527354,50.2301405918451,0.10152863580491185,6.8181541667080205,0.9989190892053211,0.6776541176470589
39,39,26.5865,25.0471,16,21.6246,0,112,120,5,137,5,1.00197,26.2799,0.0,0.0,5.67857,8.802,22.89174,0.0,0.0,130.0,43.27419,0.0,0.38,1.47,-1.0,1.348449,0.053921800397258385,526.2627652248747,0.3149341292109586,3938.8552603357116,0.04934262185386427,0.058161462897654365,89.36629809182108,0.08733568876103458,19.36501736111111,64168.06983377544,0.09409743308963486,0.10535548884783359,54.929753481660825,0.07581808491197237,0.07956299403057664,0.07479589976401295,101.91738271538055,50.40604089807581,0.1012402896485612,6.697179785416344,0.8705850452292213,0.6664101960784314
40,40,27.1114,24.1967,17,21.2934,0,111,120,5,137,5,1.00552,26.68806,0.0,0.0,7.5,8.865,21.55875,0.0,0.0,131.0,44.32354,0.0,0.38,1.704,0.25309,1.420168,0.05365861605482723,524.0944083705822,0.30503442120960517,4090.0174671588516,0.04896880884964883,0.05786593312079044,89.39303818870835,0.08680494212235791,18.61304012345679,63950.0503344413,0.09460495670337571,0.10539968749658812,57.07558928819799,0.07583882372768826,0.08233235846200772,0.07435688180591135,101.83932998724424,50.98930471914785,0.10110075757370474,6.564594903724068,1.1415651190877714,0.6818937647058823
41,41,26.6858,21.8064,16,21.6833,0,110,120,5,137,5,1.00058,26.329,0.0,0.0,4.42857,9.058,20.80108,0.0,0.0,130.0,44.47448,0.0,0.38,1.575,-1.0,1.548729,0.05369978376022574,522.032035568567,0.30059916912314727,3907.240917847351,0.0487570681902121,0.057422350895003714,89.31412185356228,0.08642458882355894,17.985773533950617,63910.16927028333,0.09460563733589107,0.10490108050713823,57.278635302038325,0.07606644895124598,0.08514982405514385,0.07355658999152247,101.90688331786308,51.61461177873022,0.10083286168720723,6.283640176956093,0.7947379510415715,0.6816972549019608
42,42,26.8952,22.8106,17,20.6286,0,110,120,5,137,5,0.99487,26.56412,0.0,0.0,7.75,8.959,18.71123,0.0,0.0,131.0,45.0096,0.0,0.38,1.522,-1.0,1.49131,0.053912578714937036,519.8943843676193,0.3072520472528333,3988.739110956549,0.04853934368388781,0.05709759822152349,88.97662072562493,0.08593692710018046,16.943190586419753,63885.48448741861,0.09471951687488483,0.10454583543577069,57.77317414540388,0.07643042007416127,0.0886610152019175,0.07299733970719884,101.83428936876153,51.673286908938564,0.10053717687431107,6.106745507693149,0.9987991969501823,0.6927843137254903
43,43,27.0826,19.4984,17,20.1024,0,110,120,5,137,5,0.9977,26.70135,0.0,0.0,8.89286,8.681,19.58987,0.0,0.0,130.0,44.58235,0.0,0.39,1.665,-1.0,1.575507,0.05419987492328017,517.5922639058132,0.30281679516637444,4080.742683197564,0.048352990305373066,0.05680002448941616,91.86245340207293,0.08545816612722525,15.985050154320987,63900.379314324804,0.09518542622574958,0.10415334504404686,56.31322073521098,0.07634317692630736,0.092063631831473,0.07234078914414813,101.84279276364036,51.808200035566166,0.10043510359027473,5.993568628524695,1.0121030781982676,0.6824317647058824
44,44,27.6626,18.8329,17,18.4734,0,109,120,5,137,5,0.98664,27.23287,0.0,0.0,7.32143,8.783,16.76245,0.0,0.0,130.0,44.63482,0.0,0.38,1.649,-1.0,1.457643,0.05408543347562081,515.1773134453663,0.30281679516638343,4339.027584729185,0.04817716414304182,0.05662786303915045,89.89656783416069,0.08496977054839742,16.285927854938272,63878.816086927654,0.09571489260489775,0.10371076717950727,56.69888369031978,0.07617018287050792,0.09367476043721665,0.071991992054585,101.71656429259261,52.104563206802176,0.10028939349257564,5.827696060821533,1.1814146382133073,0.6789941176470589
