,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,saturation,cubrow.0.5,movement,cubcol.1.0,cubcol.0.6,blockiness,blur,noise,cubcol.0.3,cubrow.0.3,cubcol.0.5,uhdhdsim,tone,temporal,color_fulness,cubrow.0.6,cubrow.1.0,cubrow.0,fft,staticness,contrast,cubcol.0
10,10,119.801,24.6382,138,43.7203,0,117,129,17,125,12,0.99875,115.94812,0.0,0.0,1.32143,3.794,21.69041,0.0,0.0,128.0,58.07987,0.00429,0.42,4.469,-1.0,0.004292,21.95748844853154,0.32538414790075043,10.52589699074074,0.3810321537928034,0.4219980161754126,1.5552745674995563,190349.96015488857,0.6381445514874416,0.39757470935566164,0.3957993344646152,0.4179289284207886,80.11287054999136,0.888432156862745,5.030466336611946,146.3924259614185,0.3805116618356783,0.3388203296000199,0.17690867345964967,84722.04067451958,210.58113182094377,92.6102332076824,0.2529884787519437
11,11,119.671,25.0345,137,42.7362,0,117,129,17,125,12,0.99609,115.76104,0.0,0.0,1.03571,3.803,21.15343,0.0,0.0,128.0,58.08563,0.00414,0.43,3.982,-1.0,0.005489,21.943058531961324,0.3293292443751794,12.06737075617284,0.38331885016136236,0.42182105284307414,1.7661009883907528,190034.67540237925,0.6337092994009849,0.39163927843269397,0.39369508335132725,0.41800781915719326,80.1381747619819,0.887949019607843,5.001717506586043,146.545362533404,0.3809417829164027,0.3371208282793503,0.17784569051418894,84713.37479281778,209.34265504620157,91.1593835798318,0.25578142057834685
12,12,120.18,25.0459,138,44.5028,0,117,129,17,125,12,0.99837,116.20205,0.0,0.0,1.03571,3.804,21.49794,0.0,0.0,128.0,58.15404,0.00421,0.43,4.334,-1.0,0.005921,21.913666713384934,0.3317978816727009,10.904417438271604,0.38311820499486193,0.42246250953539954,1.7387078448035018,193385.14828332455,0.6359269254442114,0.38608434831648,0.3931035267623866,0.4198868965348121,80.13644541415817,0.887949019607843,5.0344421697335,146.81083859172708,0.38278774967961465,0.3359312923565383,0.1771903853884034,84850.31726878662,208.16484520360785,92.17821415382531,0.2561783436933156
13,13,120.463,24.3648,139,44.6268,0,117,129,17,125,12,0.99831,116.50256,0.0,0.0,0.82143,3.782,21.50389,0.0,0.0,128.0,58.23457,0.00424,0.42,3.775,-1.0,0.005396,22.045659571518133,0.33258312400271917,9.003134645061728,0.3820813134155833,0.41956798311333293,1.5775000099942387,195162.5873146362,0.6359269254442154,0.38352264944576636,0.3915594002977912,0.42008482910036743,80.07871315116981,0.8887227450980392,4.983933162009146,146.52733203808714,0.38494937937032786,0.33364717731469495,0.17665486567942493,84935.58899165363,207.05340552661502,90.23310980466609,0.2593573720833308
14,14,120.001,25.6363,138,44.3608,0,117,129,17,125,12,0.9965,116.09451,0.0,0.0,1.60714,3.818,20.92201,0.0,0.0,128.0,58.26412,0.0038,0.42,4.069,-1.0,0.004355,21.956219331717787,0.3349825216224997,8.376109182098766,0.38237378553212553,0.4172845379727576,2.2916324867920115,192735.84814678557,0.6369561292726476,0.38298687906086093,0.38929095639644723,0.42149109165037274,80.13797692260455,0.8885294117647058,5.085775097877748,146.62316340762214,0.385059496852804,0.3328688416588656,0.17701467446825636,84919.7213704427,205.9907125758978,91.23857799416834,0.26460764706596507
15,15,120.159,24.8596,138,45.6268,0,117,129,17,125,12,0.99766,116.22936,0.0,0.0,1.25,3.776,22.01033,0.0,0.0,128.0,58.31112,0.00382,0.43,3.695,-1.0,0.004721,21.88945723168644,0.33549027236172957,9.862991898148149,0.3819819348209807,0.4166205522125705,1.5095151649623404,193423.3120283161,0.6337092994009799,0.3803327720680439,0.38693205384347085,0.4249143003448146,80.09806808328692,0.8885670588235293,5.166546646480335,146.7293108038422,0.3829490203289774,0.3318376801523313,0.17690642562412173,84904.77244386653,204.91135124476355,92.5573517082487,0.2673453631983044
16,16,120.092,25.0147,138,44.4887,0,117,129,17,125,12,1.00103,116.12227,0.0,0.0,0.60714,3.81,21.34675,0.0,0.0,128.0,58.35521,0.00419,0.42,3.735,0.17451,0.004302,21.80688062126254,0.33670898979906416,10.71045524691358,0.38223294015614456,0.4143139679272803,1.3776550004188022,193130.0607085738,0.6359269254442091,0.37854220101678776,0.38438427520332985,0.4273800284499273,80.10297156009891,0.8890125490196077,5.055984954546118,146.94142837678135,0.38105936690356845,0.33099616730987663,0.1759617829200162,84894.64435485948,203.79580520595152,91.16577653409898,0.26848907547348266
17,17,119.76,25.7298,138,46.6105,0,117,129,17,125,12,1.00062,115.80825,0.0,0.0,0.28571,3.842,21.478,0.0,0.0,128.0,58.36816,0.00374,0.43,3.785,-1.0,0.006495,21.939739839530287,0.33695461011384764,10.617621527777779,0.38130908791122853,0.4134852275542424,1.81627073654065,190871.42755087235,0.6337092994009834,0.3768564651058344,0.38123546635133587,0.42632277537129915,80.13688863324464,0.8893031372549018,5.037597773969705,146.609270844562,0.37874999510110485,0.32965815565424333,0.17311405314981781,84779.25242742967,202.70866724370694,92.51097712100666,0.27045452691094457
18,18,119.27,25.13,137,45.5452,0,117,129,17,125,12,0.99845,115.31764,0.0,0.0,0.67857,3.817,22.09329,0.0,0.0,128.0,58.38124,0.00396,0.42,4.038,-1.0,0.005197,21.96027496714651,0.33671607016286775,10.459394290123457,0.38034075885207724,0.41291620781343996,1.4609383021365052,188816.6054006807,0.6298682584219196,0.3748537539623371,0.37800906999537687,0.4259332379312974,80.19781030378229,0.8889976470588234,5.085863757461953,146.50691003496337,0.3759405001920482,0.3284268426643905,0.17197310118798928,84597.01116754262,201.62611437719974,92.95397100101769,0.26688894413767733
19,19,119.612,24.8451,137,44.8413,0,117,129,16,125,12,1.00511,115.58204,0.0,0.0,0.96429,3.829,21.57596,0.0,0.0,128.0,58.476,0.00365,0.42,3.864,-1.0,0.00521,21.90706738130546,0.3361063511793585,10.217592592592593,0.379577094441148,0.41262338023701356,1.4439661880864738,190431.61452654895,0.6343035105083831,0.37625735425717893,0.3750548384648785,0.4271807410657888,80.14617756351255,0.8893101960784313,5.026203393259322,146.624247654345,0.37495602685142726,0.32766310821474864,0.1697497241091671,84668.48243605005,200.5791672538902,95.7158116788861,0.2663109790871981
20,20,119.503,25.0019,137,45.8098,0,117,129,16,125,12,1.00852,115.44188,0.0,0.0,1.03571,3.832,21.33277,0.0,0.0,128.0,58.57865,0.00388,0.43,4.98,-1.0,0.004514,21.827112080138406,0.33677039245060464,11.706741898148149,0.37802998576983277,0.41165900943795897,1.7874734766422127,190504.39157638172,0.6276506323786922,0.3743954106209521,0.37251229104639727,0.42777786552397307,80.20254498380802,0.8896094117647058,5.033903509422988,146.8615155205828,0.37337473252517056,0.32706402085535013,0.1678136811679311,84680.69951723212,199.5675484704868,91.06715535647257,0.26381709440751033
21,21,119.667,25.2813,137,46.5313,0,117,129,16,125,12,1.00171,115.58922,0.0,0.0,2.17857,3.825,21.46813,0.0,0.0,128.0,58.6436,0.00394,0.43,5.014,-1.0,0.004923,21.867339145990066,0.33804381273593737,11.846064814814815,0.3777523362839407,0.4113315812404182,1.6493162384019764,191360.12859167033,0.6276506323786913,0.37189799685340247,0.3697460752414266,0.4279342323863059,80.17481675114473,0.8893031372549018,4.9791987414380925,146.7941058521164,0.37231026760237584,0.32655241750972547,0.16629326739016106,84809.68516386824,198.57900449934024,90.76508080705896,0.2614466527327709
22,22,119.762,24.5503,137,46.2208,0,117,129,16,125,12,1.00611,115.70101,0.0,0.0,1.35714,3.831,21.70614,0.0,0.0,128.0,58.64385,0.00388,0.42,4.107,-1.0,0.004978,21.77548180097415,0.3394902906339264,11.793643904320987,0.3762371533301394,0.41097490794416575,1.6818761102629314,192213.8131515898,0.6254330063354588,0.368635315357436,0.3677879012912064,0.42873385649765405,80.17917115200325,0.889250588235294,5.122807749659276,146.9796851111252,0.3716184570206011,0.32598648520772344,0.1652704991229097,84715.96391557637,197.59930354092637,95.64020528933617,0.25941726725729886
23,23,120.419,25.3245,138,45.1495,0,117,129,16,125,12,1.01018,116.31554,0.0,0.0,0.78571,3.798,21.07823,0.0,0.0,128.0,58.58445,0.00409,0.43,4.247,-1.0,0.005559,21.730464982397763,0.3414950745320426,11.618393132716049,0.3751628337638472,0.4109639698280858,1.749227537100576,195552.91529512874,0.629868258421924,0.3673449799730467,0.36701846106040026,0.43075344371319224,80.07687687577146,0.8878964705882352,5.127077485937842,147.02565265787422,0.3712084061316447,0.325902168497143,0.16295886909953078,85025.08357985539,196.6498910422185,93.84607684370596,0.2584367097164853
24,24,120.036,24.8408,137,46.6837,0,117,129,16,125,12,1.00089,115.96678,0.0,0.0,1.14286,3.818,21.74028,0.0,0.0,128.0,58.51408,0.00403,0.42,4.618,0.1812,0.005423,21.689490612642263,0.34176230998796975,12.118248456790123,0.3727549644575311,0.40961891340968265,1.8251028262460978,193883.60157899692,0.6282448434860903,0.3653849763732667,0.36539099228284866,0.43293165032800224,80.16747908647518,0.8878964705882352,5.038773976291889,147.25951854895987,0.3714107674314312,0.32612172217510715,0.16106095776089474,84779.72880636508,195.72476582749638,93.91525619892374,0.2573467626647855
25,25,119.879,25.2671,137,44.2463,0,117,129,16,125,12,1.00262,115.78017,0.0,0.0,1.25,3.813,21.32728,0.0,0.0,128.0,58.43677,0.0038,0.42,4.486,-1.0,0.005889,21.76724506896219,0.3419271727370161,12.575713734567902,0.37192356983722985,0.409269407932869,2.1658038148493746,192636.91515344157,0.629868258421923,0.36476820807948035,0.36460844260084546,0.43290741378935754,80.13781841114593,0.8875392156862744,4.972206590731688,147.14142362374162,0.37155869915568324,0.32630358076011406,0.16004630263058303,84845.73320209247,194.82446810022515,93.06132221406216,0.25661895514126576
26,26,119.038,24.3477,137,48.1695,0,117,129,16,125,12,1.00442,115.05543,0.0,0.0,0.92857,3.837,21.69249,0.0,0.0,128.0,58.268,0.00376,0.42,3.907,-1.0,0.005661,21.82065798912519,0.34240554345258856,12.739679783950617,0.37122447360647154,0.4096700065692332,1.8494659053688087,188202.9394377504,0.6316508917441089,0.3638720356128765,0.3638577137014875,0.43320581236186134,80.19865499142021,0.8876286274509803,5.050181788634052,146.93436914125272,0.37100536141318274,0.3262108249886838,0.158100364707312,84781.94374394682,193.95184506136414,95.18291284781438,0.2540982348163886
27,27,119.547,24.9307,137,45.4915,0,117,129,17,125,12,0.99794,115.59195,0.0,0.0,1.07143,3.817,20.90044,0.0,0.0,128.0,58.15923,0.004,0.42,3.778,-1.0,0.00632,21.859915839301216,0.3429978760737061,12.657118055555555,0.371621276056306,0.4088456803601326,1.557467373780657,190004.0196421539,0.6326800955725487,0.3634243838045872,0.36362206844942896,0.43298829641257447,80.11755379649442,0.8882466666666665,5.088825648058445,146.80234676578004,0.3718180952384578,0.3261092699891508,0.15643023491712638,84806.90066754265,193.12012600521504,92.86905779697676,0.2521748705985783
28,28,119.094,24.5509,137,45.277,0,117,129,17,125,12,1.00649,115.19819,0.0,0.0,1.5,3.828,21.39896,0.0,0.0,128.0,58.06888,0.0038,0.42,3.83,-1.0,0.004693,21.881376101646893,0.34464429038508737,12.607156635802468,0.37096830113702606,0.4088104046296659,1.8003146693461818,187347.2119014167,0.630462469529328,0.36241606344752825,0.364677022653788,0.4317882540073897,80.18728677797226,0.887949019607843,4.98201649551921,146.88879153695245,0.3713423016161667,0.32644553608566296,0.15531987686570492,84660.13495716266,192.3352568289455,92.98970010169619,0.2502226081730087
29,29,119.529,24.5852,138,45.2279,0,117,129,17,125,12,1.0071,115.57714,0.0,0.0,1.75,3.786,21.07252,0.0,0.0,128.0,58.07332,0.00398,0.42,3.728,-1.0,0.005737,21.987360259633004,0.3453068074169728,12.934992283950617,0.3714594768038532,0.40874636603117626,2.39764997741448,189245.24373073335,0.6343035105083797,0.36215409678753674,0.3645195428642669,0.43067345602580487,80.09904307528592,0.8876215686274509,4.942544728425805,146.66073422948244,0.37048166220956047,0.32693696852098875,0.15504021200057086,84775.01325763545,191.59193714970027,95.34266518292318,0.24929296583506183
30,30,119.216,24.4863,137,43.2547,0,117,129,17,125,12,1.00324,115.2826,0.0,0.0,1.71429,3.814,21.10407,0.0,0.0,128.0,57.98583,0.0037,0.42,3.772,-1.0,0.005822,22.01057509434076,0.34450169553498683,13.24242862654321,0.37123346338634555,0.4094176567476845,1.9446929094597718,187928.85122943245,0.6359269254442125,0.361644408053691,0.36435269701920847,0.43014401934858004,80.18075700525189,0.8870780392156862,4.973797372322874,146.3738294420387,0.36999820553767915,0.3268998017516885,0.1542567689801986,84621.32853855788,190.90500252379528,95.70995617787402,0.24807876350975405
31,31,119.307,25.6588,137,44.6908,0,117,129,17,125,12,1.0066,115.41997,0.0,0.0,1.25,3.817,21.01933,0.0,0.0,128.0,57.93555,0.00394,0.42,3.602,-1.0,0.007468,22.076255515769677,0.3434225525192047,13.402777777777779,0.37191694913163154,0.40987161090976115,2.2044686505439306,188779.2538803006,0.635926925444211,0.3616179037944993,0.3647116668009634,0.4291192377999437,80.16614603208254,0.8865125490196077,5.052952467558279,146.24977005803646,0.36957313706430756,0.326946573540672,0.1534228595162826,84565.51229178255,190.27637263382016,95.62920034294274,0.24670948965146342
32,32,119.45,24.5608,137,48.265,0,117,129,17,125,12,0.99944,115.61627,0.0,0.0,0.89286,3.817,22.02545,0.0,0.0,128.0,57.96053,0.00398,0.42,3.546,0.18287,0.005439,22.065392011477623,0.34344757345562277,13.505401234567902,0.3722617839390912,0.4106717157588905,1.8242142077560675,189975.4886100093,0.6359269254442123,0.3600205220062601,0.36498563442397186,0.4266729923298602,80.17986847566843,0.885373725490196,5.226425967009548,146.34346233187966,0.36852874401669605,0.3265269577239629,0.15318193751542802,84587.35424410643,189.6601436397804,95.65190943554681,0.24516151104245235
33,33,119.744,24.8954,138,46.1083,0,117,129,17,125,12,1.00911,115.89436,0.0,0.0,1.28571,3.783,21.08319,0.0,0.0,128.0,58.04376,0.00403,0.42,3.625,-1.0,0.005257,22.099259364752122,0.3432255119841519,13.541811342592593,0.3733174135889064,0.4107310993287154,2.2622524561862707,191603.12462119176,0.635926925444218,0.3604115209440556,0.3652911222253277,0.42589664407039496,80.11992792852044,0.8848537254901963,5.031262412759782,146.48516532499485,0.3676819794129003,0.3267247139759144,0.1533997521637441,84796.16800714724,189.07853246446703,95.11577916013303,0.24403958950306248
34,34,119.056,24.5734,137,45.5667,0,117,129,17,125,12,1.01578,115.26215,0.0,0.0,0.5,3.776,21.37132,0.0,0.0,128.0,58.08231,0.00397,0.42,3.862,-1.0,0.007604,21.959563643844042,0.3425781283233069,13.876205632716049,0.373813379506955,0.41117140884218184,2.320052431017609,188725.32537112435,0.6381445514874415,0.35991774398418597,0.36515900483229713,0.42478266433240613,80.18487778124498,0.8850611764705881,5.023039302669505,146.80216164806788,0.3675258891881725,0.3270732901630871,0.15474282716186,84635.07177452986,188.5097505645331,95.10567330008664,0.2433666851762559
35,35,119.422,24.5597,137,44.8056,0,117,129,17,125,12,1.00331,115.59344,0.0,0.0,1.03571,3.796,21.10101,0.0,0.0,128.0,58.1157,0.00417,0.42,3.739,-1.0,0.004812,21.87155415099344,0.3424697028709737,13.989149305555555,0.37406388848083566,0.4111855258549069,3.2731486735287794,190171.01706769722,0.6381445514874399,0.3599397781341147,0.36657531469279636,0.4242448187536393,80.14741684244768,0.8850909803921567,5.005271125201895,146.89752099888648,0.3674662894023008,0.32737053146458495,0.15666065979598637,84653.26245202868,187.94781126480666,95.2046283174057,0.24319761507512214
36,36,119.131,24.9878,137,45.4968,0,117,129,17,125,12,0.99932,115.31752,0.0,0.0,1.10714,3.796,21.08224,0.0,0.0,128.0,58.10118,0.0037,0.42,3.948,-1.0,0.007059,21.90109987612124,0.34165610134578145,14.084153163580247,0.3749675888255429,0.41212453212456723,2.368583184065102,188861.6425466946,0.6381445514874446,0.3598830642961999,0.3666162317233552,0.4247739176144389,80.18149103221734,0.885373725490196,5.0327690017115305,146.6642851694699,0.3678837669887688,0.32775550784061785,0.15887001332270026,84617.59642692808,187.40508700933557,94.87261842769871,0.24303584579001583
37,37,119.774,24.6443,138,45.6469,0,117,129,17,125,12,1.01219,115.90484,0.0,0.0,1.5,3.749,21.45261,0.0,0.0,128.0,58.18498,0.0039,0.42,3.655,-1.0,0.005805,21.928057258511767,0.341927200804285,14.097800925925926,0.375311010526418,0.4125090704843825,2.4689318217097393,192154.9674949703,0.6381445514874436,0.3598957608926725,0.36733072541822587,0.42491493197495817,80.08283290422584,0.886192156862745,5.0337896805584466,146.67033496063982,0.36834909627127427,0.3280173083012318,0.16082261912952095,84874.48147686974,186.87490655309034,95.68232046721603,0.24423820900659315
38,38,119.364,24.6234,137,44.4489,0,117,129,17,125,12,1.00197,115.54237,0.0,0.0,1.07143,3.809,21.15623,0.0,0.0,128.0,58.16666,0.0038,0.42,3.812,-1.0,0.005575,21.883970660927854,0.3420669981270066,14.342544367283951,0.3753761034636083,0.4129638703266511,2.0497376501834235,189996.96095061628,0.6381445514874385,0.35963558025042486,0.3669569699953189,0.424029906641512,80.19153930803924,0.8862674509803921,4.983963254759634,147.01582200040127,0.36840407169959055,0.32847654215538613,0.162673326351403,84606.79224709701,186.36881210277085,95.68173609768178,0.2462242450578249
39,39,119.937,24.6726,138,44.7511,0,117,129,17,125,12,0.99615,116.10347,0.0,0.0,0.85714,3.8,21.13997,0.0,0.0,128.0,58.12348,0.004,0.42,3.468,-1.0,0.006398,21.920359670380016,0.3425140378110453,14.355034722222221,0.3757174854002657,0.41240648842584343,2.5910369279641388,192644.59220929292,0.6381445514874451,0.3589484549573146,0.36736556260639097,0.42391065628810615,80.08038585265564,0.8867576470588234,4.98512376740412,146.99328472912498,0.3688517106573587,0.3288190046666553,0.16361494038386337,84771.64745736882,185.8851578233367,95.49804571705957,0.24865360274895495
40,40,119.423,24.8494,137,45.9604,0,117,129,17,125,12,0.98662,115.67845,0.0,0.0,1.60714,3.851,21.1835,0.0,0.0,128.0,58.06805,0.00387,0.42,3.619,0.1947,0.00593,21.972511197313853,0.34303054155097,14.468219521604938,0.37568582265802125,0.4112479381333102,2.010880076026178,189396.06104441505,0.6381445514874451,0.3580409768204374,0.3683787505732083,0.4238084644917194,80.19778353215725,0.8867584313725491,5.054443479514128,147.15437289453018,0.369606642268722,0.3287633207508241,0.16427908938310035,84537.72967765955,185.41755288816364,95.13308519845377,0.24957581086231645
41,41,120.089,24.8404,139,44.9328,0,117,129,17,125,12,0.98526,116.31594,0.0,0.0,1.07143,3.814,21.33472,0.0,0.0,128.0,58.09417,0.00392,0.42,3.493,-1.0,0.006976,22.062643545645255,0.3436384100019178,14.36574074074074,0.37564700317168165,0.4115792363478544,2.1815885432948647,191476.25541853125,0.6381445514874459,0.35715556407330096,0.3688592485034701,0.4231351281023606,80.07694481125449,0.8870709803921568,5.08494887743845,146.78868272083216,0.36969542930237465,0.3284467222179779,0.16522041181762592,84707.68207534602,184.96630237529857,93.20884718444327,0.2508063263207515
42,42,120.085,24.4748,139,44.1511,0,117,129,17,125,12,1.00062,116.3465,0.0,0.0,1.39286,3.803,21.32713,0.0,0.0,128.0,58.12131,0.00372,0.43,3.686,-1.0,0.006255,22.09415407533999,0.3443354985449081,14.444540895061728,0.37563465843527444,0.41183747229384143,1.6377874430770936,191200.78805460437,0.638144551487448,0.3567007612853784,0.3683897715599654,0.4223324716559041,80.07983084670497,0.8864749019607843,5.044789710967213,146.63882179604207,0.36969560320067346,0.32862948248127105,0.16581950344892582,84623.23692615498,184.53041451020434,95.0195791794607,0.2513979410396117
43,43,120.264,24.8551,139,40.1945,0,117,129,17,125,12,0.99652,116.53953,0.0,0.0,1.39286,3.826,21.01234,0.0,0.0,128.0,58.15437,0.004,0.43,3.476,-1.0,0.007094,22.104575639889564,0.3455062873543277,14.506896219135802,0.37484254846526766,0.41172392506838834,1.566698340147904,192391.92158897527,0.6381445514874481,0.3565462152899333,0.3679125837004213,0.42240341784612534,80.07558290912903,0.8871007843137254,4.9924713123388855,146.46502915419126,0.3701545093250826,0.3288402673207165,0.16731453561190957,84621.21278100407,184.0880822199643,91.0077156990111,0.25170623165581546
44,44,119.866,24.6125,139,41.5607,0,117,129,17,125,12,0.99329,116.19177,0.0,0.0,1.28571,3.809,21.33819,0.0,0.0,128.0,58.11197,0.0038,0.43,3.32,-1.0,0.005457,22.052163583260995,0.34632446714572257,14.58569637345679,0.3746361101421252,0.4117751998614842,1.797576201904657,189892.6662008782,0.6403621775306764,0.35635944944033,0.36797298031325193,0.42231846276288926,80.1145491026405,0.8875839215686274,5.061182448068212,146.6290427244762,0.37071720118447277,0.329114793958758,0.16766932091465844,84523.15361858034,183.65093849696905,95.40823322349397,0.25228540728758747
