,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.3,cubrow.0.5,uhdhdsim,cubrow.0.6,noise,fft,staticness,cubcol.1.0,blockiness,temporal,cubcol.0,saturation,contrast,cubcol.0.6,tone,movement,cubrow.0,cubcol.0.3,cubcol.0.5,color_fulness,cubrow.1.0,blur
19,19,90.5861,14.8829,99,23.3166,0,116,117,25,138,24,1.01163,104.60449,0.0,0.0,0.21429,4.16,13.16247,0.0,0.0,129.0,43.69621,0.00015,3.12,2.152,-1.0,0.0,0.3209961783129646,0.34441046076591875,88.08225292407003,0.3415641945500438,0.8367755850600279,71058.27919103918,585.5424427280236,0.4130036958114065,6.239895152439889,6.402793393971476,0.2137877173109392,54.6554066222391,92.99426253140217,0.25073747708850136,0.6410945882352939,6.450327932098766,0.39768468387444406,0.2641433163357702,0.251148712123114,81.56202727372055,0.28069573609775716,76617.63723754154
20,20,90.6649,15.3608,99,22.5562,0,116,117,25,138,24,1.01033,104.37533,0.0,0.0,0.10714,4.145,12.8971,0.0,0.0,129.0,43.70919,0.00013,3.1,2.13,-1.0,0.0,0.31870898088467686,0.34522594964129794,88.09699257325255,0.3415218031050143,0.8339637479093974,71017.30037503073,584.9411088632833,0.41093000969492366,4.32686764476829,6.353535108261666,0.2117289311497256,54.65197320631992,91.3017402352582,0.2504301815593772,0.6413976470588236,7.74609375,0.3986260538282207,0.26162596547662953,0.25150018134002866,81.44963948154265,0.2806615278593682,76435.89181766415
21,21,90.563,15.7871,98,23.5495,0,116,117,25,138,24,1.01153,104.04439,0.0,0.0,0.14286,4.158,13.30351,0.0,0.0,129.0,43.70983,0.00012,3.11,2.329,-1.0,0.0,0.3163409777759597,0.34558106912185177,88.11597114536399,0.3408459195265629,0.8317461218661673,70898.52154128572,584.3823572913726,0.40924854196249105,4.423990506386724,6.422646549202879,0.21103490333766,54.6381137047285,93.15714672946834,0.2500945666837733,0.6405152941176471,7.654128086419753,0.3987292997269727,0.25925274386760727,0.252593567754179,81.2119785983744,0.2801919069775856,75198.42605177601
22,22,90.2971,16.0242,98,22.8804,0,116,117,25,138,24,1.00542,103.64366,0.0,0.0,0.07143,4.142,13.66527,0.0,0.0,129.0,43.6955,0.00015,3.17,2.323,-1.0,0.0,0.31418324596007685,0.34526130175309194,88.14719385371944,0.34002219073677953,0.8295284958229354,70939.08382849404,583.7863556216085,0.40828047703506287,3.955783384023815,6.545023908509652,0.20941151777149478,54.58632236056857,92.88099431604986,0.25033288398759024,0.6401372549019608,7.417004243827161,0.3992670395015887,0.2565118269635204,0.2537447802657384,81.09605830255667,0.2795830935702757,74474.24852850087
23,23,90.3143,15.8666,97,24.1225,0,116,117,24,138,24,0.99508,103.46118,0.0,0.0,0.03571,4.176,13.86536,0.0,0.0,128.0,43.73665,0.00017,3.13,2.496,-1.0,0.0,0.31135618339252374,0.34440268599448753,88.17860535639319,0.33945103742000116,0.8234698288006471,70975.7147732202,583.1876100966848,0.4082045879381483,3.605216957572309,6.592379704219794,0.2087563630700873,54.59037102593316,91.78302261935642,0.24979712080618552,0.6412156862745098,7.615981867283951,0.3991388137750007,0.2547928915943241,0.25491472356416317,80.44749475581304,0.27880311788844037,74672.22462658152
24,24,89.9513,16.0167,97,23.314,0,116,117,24,138,24,0.99,102.9044,0.0,0.0,0.17857,4.166,13.72517,0.0,0.0,128.0,43.86979,0.00016,3.1,2.635,0.125,0.0,0.3083313035900831,0.34391725333582657,88.20835340924292,0.3389138622154208,0.817411161778352,70877.35336709642,582.553861615399,0.40853671686629056,3.3364769244730446,6.5368360860546675,0.20822808359058245,54.602013858748066,89.01744361209298,0.24940239360754785,0.6438925490196078,8.086323302469136,0.3998830845252307,0.2528365664723619,0.2561326122682313,80.50814945321892,0.2781213335216327,73484.33432096713
25,25,89.965,16.1629,96,24.3893,0,116,117,24,138,24,0.99237,102.73595,0.0,0.0,0.17857,4.174,13.85916,0.0,0.0,127.0,44.06024,0.00015,2.25,2.334,-1.0,0.0,0.30511320145809523,0.34340166616264,88.23210899630938,0.3384372038145844,0.8174111617783487,71136.94835306286,581.8683767213444,0.4088090511166867,5.153192649339434,6.537597236744309,0.21106121958119542,54.58859667365934,92.30854487238364,0.24909377520658926,0.6475164705882352,9.47704475308642,0.4010622200212303,0.2516758623593526,0.25717437599822035,80.91452133570502,0.27741202391889636,73785.68928097238
26,26,90.1467,16.2296,96,23.9103,0,116,117,24,138,24,0.99406,102.70936,0.0,0.0,0.39286,4.191,13.9883,0.0,0.0,129.0,44.21324,0.00012,2.22,2.346,-1.0,0.0,0.3023258184267419,0.34271137499881604,88.2591422266513,0.3378284841243053,0.8151935357351222,71192.37973059255,581.069967863524,0.4086546712724011,6.167100116027333,6.529823679589107,0.214018006412292,54.4764070864077,88.56389336904894,0.24848657401383753,0.6496498039215686,9.765528549382717,0.4022054408868335,0.25199744730916185,0.2590497013028303,80.74252343812167,0.2767169102918645,74981.18802167711
27,27,90.1402,15.8957,96,24.0892,0,116,117,24,138,24,0.99647,102.59041,0.0,0.0,0.25,4.18,14.03838,0.0,0.0,129.0,44.35847,0.00015,2.23,2.21,-1.0,0.0,0.3008747743699126,0.3419403500506476,88.22846554470148,0.33738250596438013,0.813570120799293,71195.65102438707,580.1716343211417,0.407457343084898,7.684469583643676,6.599765019218425,0.21796223101655698,54.619591606987846,92.15537509869071,0.24813547084565465,0.6511333333333333,10.076292438271604,0.4032807056769449,0.2515356746429186,0.25985437902605296,80.74799474870277,0.2762716150968415,74965.01482825598
28,28,89.8958,15.6183,96,25.5252,0,117,117,24,138,23,1.00333,102.23849,0.0,0.0,0.10714,4.195,13.75627,0.0,0.0,129.0,44.39727,0.00026,1.66,2.202,-1.0,0.0,0.2980165539321673,0.3407324671499178,88.26146296838868,0.3370429069694635,0.8091348687128258,71166.31660931672,579.2088925847881,0.4055319639684453,7.5122515568837365,6.6082258137377385,0.2171477647738511,54.573737062053915,92.1273970329514,0.24762636798527277,0.6508076274509803,10.26586612654321,0.4049076656213339,0.25222790476943663,0.26102861971650526,80.88829398828997,0.2766753868015141,74362.83885308454
29,29,89.4289,15.6755,95,25.2511,0,117,117,24,138,23,1.005,101.50296,0.0,0.0,0.10714,4.196,13.50973,0.0,0.0,130.0,44.3325,0.00024,1.66,2.404,-1.0,0.0,0.29555196940176715,0.33990597504241654,88.32901333666904,0.33659222905888225,0.8046996166263698,71016.03651699495,578.2006734275467,0.40380326880087825,7.461874473448269,6.571638221622906,0.2157838647801091,54.60750137140722,92.00824047321133,0.24739683140367272,0.6496250980392158,10.72265625,0.40646340377007223,0.25365449046474936,0.26215505615295087,81.1297463875211,0.2767088521708186,72706.35392161724
30,30,88.8962,16.01,94,27.2418,0,117,117,24,138,23,1.00788,100.70494,0.0,0.0,0.07143,4.196,13.547,0.0,0.0,129.0,44.37331,0.00023,1.66,2.361,-1.0,0.0,0.29348688517689264,0.3390102035950316,88.38166268674668,0.3360780326728364,0.7970175346682402,71068.14744462084,577.0922031351902,0.4028326771113781,5.116580570445924,6.6097676039160245,0.21471928689730738,54.51934268150801,89.62809550182949,0.2469429363712086,0.6487733333333333,11.853250385802468,0.4076586796509488,0.25515668236519895,0.2629795600846882,81.06227062426646,0.2776945317353648,71510.18773744158
31,31,88.0881,16.3131,92,27.5777,0,117,117,24,138,23,1.0056,99.61885,0.0,0.0,0.07143,4.177,13.83721,0.0,0.0,130.0,44.38439,0.00013,1.64,2.118,-1.0,0.0,0.29164759127831263,0.3376860668690505,88.48107403302514,0.33533959012687414,0.7865236155594908,70911.28512459152,575.8038033558953,0.40225055246251684,6.326728034619777,6.689609009393574,0.2134953891731545,54.56693672839506,92.01047226460402,0.24659483152673006,0.6466010392156838,12.058449074074074,0.40845548352149064,0.2562640892130795,0.2639413956118559,80.74437868581543,0.2777273612068856,69610.47988534368
32,32,87.2774,16.4286,92,29.6737,0,117,117,24,138,23,0.99821,98.68392,0.0,0.0,0.25,4.194,14.09178,0.0,0.0,129.0,44.46872,0.00012,1.65,1.782,0.125,0.0,0.2902232488899915,0.33667392118553524,88.54352648918878,0.3347753246560287,0.7865236155594834,70821.20459448014,574.3047603879098,0.4025806320675137,6.4215086443305385,6.688077440840609,0.21195412071622077,54.53220320336612,91.87897244772128,0.24635618968194978,0.6452976470588236,12.230999228395062,0.4085835043266535,0.25729125095569044,0.26480484344487376,80.25730643300209,0.27812430472453537,67873.48512972335
33,33,86.8516,16.2326,91,29.1343,0,117,117,24,138,23,0.99245,98.0253,0.0,0.0,0.25,4.208,14.18804,0.0,0.0,129.0,44.54971,0.00015,1.66,1.836,-1.0,0.0,0.28919227943290554,0.3354982367494246,88.61748447020823,0.33424105177732344,0.7843059895162491,70975.48203484995,572.7013459044147,0.40309723836107364,8.178344231488525,6.63898074233296,0.21019112679945548,54.61653947241513,91.69953383901981,0.24622953434857903,0.6452478431372549,12.274305555555555,0.40865819840774714,0.2582188363141087,0.2655404625618066,80.03144052613357,0.27839800403811055,67588.74267694331
34,34,86.4009,15.6228,90,29.2286,0,117,117,24,138,23,0.98483,97.48024,0.0,0.0,0.17857,4.199,14.02783,0.0,0.0,129.0,44.63748,0.00017,1.67,1.834,-1.0,0.0,0.2884351952521511,0.3345080812126568,88.63919219679524,0.3339312120951716,0.782088363473024,70872.22520445111,570.9358617705002,0.40323526519846764,10.3229603198467,6.639981495690879,0.20832990939920656,54.28476517288773,90.4866554686579,0.24596746630679178,0.6473816078431371,12.60373263888889,0.4083138890123726,0.2592707259902888,0.26630753007261415,81.95981822324704,0.2791383433953671,66602.41696881909
35,35,85.4804,15.4205,89,27.091,0,117,117,24,138,22,0.99126,96.50298,0.0,0.0,0.39286,4.188,13.48344,0.0,0.0,129.0,44.63432,0.00015,1.64,1.771,-1.0,0.0,0.28772987464022615,0.3335583888526897,88.65059158949347,0.3334985106621623,0.7782473224939608,70618.0656904662,569.0799512067539,0.40325390851922405,11.841977772958225,6.453316126639837,0.2063866257247473,54.12493952998408,84.8339471332063,0.24560331594533066,0.648358431372549,13.169849537037036,0.4084860424788152,0.2601510298039838,0.2673909288310697,83.16880573773464,0.2798777735516019,64243.96150640568
36,36,84.6474,15.7293,88,27.1293,0,117,117,24,138,22,1.00347,95.44146,0.0,0.0,0.46429,4.193,13.30647,0.0,0.0,129.0,44.43289,0.00018,1.66,1.806,-1.0,0.0,0.2876286379356719,0.33255412359604125,88.73281558190482,0.332841339317867,0.7683476144926011,70477.0700021059,567.1447746877318,0.4031579474248904,10.562817833935593,6.40148543085514,0.2044860344287442,54.26936604064188,90.91688591001407,0.24573766618239332,0.6464756862745098,13.01490162037037,0.40840495279984274,0.2610927133964095,0.26842192132093,83.12950913983332,0.2805388804417817,62516.06317963796
37,37,84.2635,15.6079,87,23.2277,0,117,116,23,138,22,1.00543,94.86258,0.0,0.0,0.53571,4.188,13.57112,0.0,0.0,129.0,44.01775,0.00018,1.64,1.639,-1.0,0.0,0.28774594604023346,0.331560119145608,88.77351872162835,0.3321226933617548,0.7616947363629109,70221.6891568106,564.8980994048118,0.4026566371461123,8.612862308145475,6.640763164261061,0.202635267978689,55.26763482741368,91.43027658930585,0.24513675314458422,0.6420314117647058,12.539834104938272,0.4075047482440824,0.26209321828557125,0.2693423774988364,83.14872446145661,0.28085479472145547,61134.61702374972
38,38,84.5352,15.8342,87,22.3055,0,118,116,22,138,22,1.00264,95.09671,0.0,0.0,0.25,4.171,13.4666,0.0,0.0,129.0,43.78117,0.00018,1.64,1.767,-1.0,0.0,0.2880954968602839,0.33075965044175903,88.75646710952151,0.33147633342262167,0.7616947363629084,70226.31019906054,562.5475879603961,0.40134349836050387,8.784529140863059,6.405409987083064,0.20105830896936677,55.175863195348676,87.59958331371311,0.24478788398194354,0.6382149019607842,12.63377700617284,0.40639207510511866,0.26329320859581246,0.2702417230500411,82.78862648004109,0.2810832408228283,61487.24406299969
39,39,85.0279,15.5181,87,22.1555,0,118,116,22,138,21,0.992,95.58115,0.0,0.0,0.46429,4.168,13.67292,0.0,0.0,129.0,43.75161,0.00014,1.63,1.923,-1.0,0.0,0.2882651260020586,0.32992606292092824,88.73137366866759,0.33080669755576464,0.7616947363629073,70275.56971019378,560.1701793719801,0.39956792176891287,5.678407213557066,6.486558035895076,0.19984939250755224,55.06102988160687,86.62028858471781,0.24469246672734432,0.6389564705882353,12.810426311728396,0.4055356890230241,0.2644853482673964,0.2709939084402345,83.26076113019076,0.28102481350716346,62420.95245577455
40,40,85.4167,15.5504,87,22.8042,0,118,117,22,138,21,0.99102,95.96974,0.0,0.0,0.64286,4.181,13.39069,0.0,0.0,129.0,43.83854,0.00013,1.63,2.099,0.125,0.0,0.2886237726533879,0.3291211208365287,88.68841164749313,0.33021384592057207,0.7594771103196768,70091.20961243841,557.8295726140595,0.39788953773743657,6.533981167019949,6.416725927155405,0.19814162098572116,54.90345312047887,86.95090785651077,0.24421864885171457,0.64018,13.489824459876543,0.40479896135510757,0.2660450706500556,0.2718124002396562,83.52931093298346,0.28113183186037294,62779.14248436757
41,41,85.5206,15.3418,87,21.501,0,118,117,22,138,21,0.99814,96.17759,0.0,0.0,0.71429,4.187,13.41457,0.0,0.0,128.0,43.92617,0.00012,1.64,1.923,-1.0,0.0,0.28913690716700136,0.32820892218375813,88.70044619522416,0.3296934568124001,0.7600713214270695,70112.81423414029,555.4858345405546,0.3964938598368811,8.872286972146066,6.446916469424322,0.19620033245091326,54.67814805772569,87.57634653133931,0.2436876700580133,0.642018431372549,13.426552854938272,0.404469658170287,0.2676864948802021,0.27239075594976203,84.43508227958196,0.28113896538436106,62739.22087306009
42,42,85.7253,14.7137,87,22.5567,0,118,117,22,138,21,0.99658,96.46449,0.0,0.0,0.71429,4.161,13.23662,0.0,0.0,128.0,44.05212,0.00017,1.67,2.072,-1.0,0.0,0.28984320150975246,0.32746883340861477,88.69383673446634,0.3292965877710872,0.7616947363629087,70071.70356264425,553.240736303643,0.39524095444676777,10.303942680378915,6.409313404863212,0.19448497139652834,54.550198401933834,87.64171470288058,0.24332810248094022,0.6434654901960785,12.89795524691358,0.4042099315891152,0.2693648776761322,0.2730482802358276,84.43435812192274,0.281085008835618,63109.83458884567
43,43,85.8276,14.7001,87,21.9073,0,118,117,22,137,21,0.98479,96.67358,0.0,0.0,0.46429,4.165,12.70309,0.0,0.0,128.0,44.20585,0.00017,1.66,2.027,-1.0,0.0,0.29074804601571164,0.32685871578461867,88.67977573728928,0.3288610806541054,0.7616947363629109,70195.16180288792,551.1429773623297,0.39409729110293784,10.066938547154914,6.3475221786648355,0.19289367913363878,54.30958105016638,87.23179138768839,0.2429615377140289,0.6431309803921568,12.083285108024691,0.40355448667300775,0.27075760128317133,0.2733633242697032,85.26876835913757,0.2810943038589348,63387.583014158634
44,44,85.7471,15.2987,88,20.0167,0,118,117,22,137,21,0.97641,96.68549,0.0,0.0,0.89286,4.172,12.6955,0.0,0.0,129.0,44.29674,0.00019,1.65,2.005,-1.0,0.0,0.2916236719792664,0.3263747504417803,88.71019408743379,0.328466205840718,0.7616947363629124,70117.25036595861,549.2010924664818,0.393209147709109,8.736976227435244,6.3374739627187315,0.19130541560438516,54.18468805006993,87.7659692754756,0.24267904961352726,0.6427545098039215,11.470437885802468,0.4033258547604446,0.27198669736183256,0.27422441371470146,85.70029027390335,0.28111718975431055,63384.74490027319
