,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.1.0,movement,cubrow.0.3,color_fulness,contrast,temporal,cubrow.0.5,tone,cubrow.1.0,blockiness,blur,cubcol.0.6,cubcol.0.5,uhdhdsim,fft,saturation,cubcol.0,cubrow.0,cubrow.0.6,cubcol.0.3,staticness,noise
10,10,34.4587,11.4033,26,11.7636,0,108,122,9,136,7,1.00104,36.38457,0.0,0.0,6.92857,8.491,9.60571,0.0,0.0,124.0,44.54402,0.0,0.41,1.559,-1.0,0.608941,0.11605273058814679,7.125385802469136,0.07465472650537827,66.07775843874481,88.5505128451075,5.564721258534446,0.1135483910637081,0.6657831372549019,0.13869894496747193,1.0762306119466358,8263.74924282882,0.09022593524793522,0.09192273957762088,99.94992531768112,63915.0311737216,50.134543148087864,0.05866164816408558,0.06596970350359692,0.14703550644305483,0.131073648573426,609.0589795174484,0.3623742615608756
11,11,34.1186,11.6571,26,12.4343,0,108,122,9,136,6,0.99807,36.04405,0.0,0.0,6.32143,8.51,9.81542,0.0,0.0,125.0,44.5291,0.0,0.41,1.419,-1.0,0.555334,0.11452231330646713,7.888310185185185,0.07392555400093961,65.7376777470646,89.37029346342094,5.598697908815669,0.11316389859113928,0.662515568627451,0.1368939491000047,1.426148657186498,8092.834429476675,0.08978467119279278,0.0915606760888386,100.01015013414703,63909.34620400304,50.02825890058352,0.058374134786981,0.06863258679049011,0.14508387265893025,0.13078435920060805,607.5790763369674,0.36237426156087454
12,12,33.9154,11.7464,26,12.4886,0,108,122,9,136,6,0.99794,35.87722,0.0,0.0,5.10714,8.549,10.04053,0.0,0.0,125.0,44.46154,0.0,0.41,1.477,-1.0,0.597937,0.11346426974908379,7.1820505401234565,0.07317399296412903,65.5236198562651,91.89650216258286,5.575251342624493,0.11214081719804317,0.6637254901960784,0.13597711355132558,1.2029976496579833,7956.178784239969,0.08939323773766289,0.09089802060988476,100.0424542825385,63927.18212718595,49.970325422875675,0.058417601250021586,0.0700554462463933,0.14399839334853326,0.1305064855087116,605.8858778263467,0.36237426156087826
13,13,33.5995,11.5671,26,12.8063,0,108,122,9,136,6,1.00208,35.58986,0.0,0.0,6.57143,8.523,10.11035,0.0,0.0,125.0,44.405,0.0,0.41,1.595,-1.0,0.592758,0.11261583440147853,6.49194637345679,0.07242257800994392,65.35796636898999,88.24784516554163,5.613204052507116,0.11185183281747979,0.6601612745098039,0.13480067592241585,1.3586121246210248,7791.823836295379,0.08993267568903353,0.09015072648746851,100.08116474380587,63980.51884336522,50.0921630859375,0.059277627480521795,0.07045159462992351,0.14313311796543068,0.12876860504492907,603.98842941594,0.3623742615608747
14,14,33.4022,11.0465,26,12.8406,0,108,122,8,136,6,0.99849,35.4863,0.0,0.0,7.60714,8.508,9.94767,0.0,0.0,125.0,44.30322,0.0,0.41,1.553,-1.0,0.533933,0.11171674003732708,6.243152006172839,0.0720171674927669,65.32878621019167,88.18920422811328,5.628979930605223,0.11202941868628052,0.6563827450980392,0.13405404758399167,1.5847537945687304,7686.23660248075,0.090037623442379,0.08946442155175867,100.10011390654466,64142.97335188049,49.88561371226369,0.060801316603009185,0.07090944264225423,0.14225747405284417,0.1279504461612251,601.8784181360123,0.3645918876041055
15,15,33.5552,10.4493,26,13.0571,0,108,122,8,136,6,0.99888,35.68394,0.0,0.0,7.5,8.443,9.49427,0.0,0.0,125.0,44.21133,0.0,0.41,1.896,-1.0,0.476219,0.11072130811500762,8.340422453703704,0.0716537751020359,65.20788355983858,87.32028763623792,5.51441023692105,0.11234717579018311,0.6548039215686274,0.13354766493733902,1.6189104603563869,7787.675854261782,0.08998109750827359,0.08857206304462052,100.06422312409458,64184.4098107145,49.82611536096643,0.06302695420145697,0.07157006065955103,0.14149758058425363,0.1273255312723252,599.6849469225781,0.36843292858316995
16,16,33.6651,10.1861,26,13.0185,0,107,122,8,136,6,1.00317,35.78329,0.0,0.0,5.14286,8.326,8.9801,0.0,0.0,125.0,44.2097,0.0,0.41,1.678,0.18326,0.502877,0.10992702182427923,7.914737654320987,0.0713279683286005,65.21090990331605,88.60167990511226,5.465069925808954,0.11168744978639122,0.6545449607843137,0.13309848097859964,1.695978187193095,7889.857102866724,0.09066433034579605,0.08790141411640617,100.05358312910727,64299.184854236155,49.984063607675054,0.06561157746435935,0.07355186462969977,0.14092977354667982,0.12669060772901336,597.701068607898,0.3684329285831691
17,17,33.4601,9.98059,26,12.9138,0,107,122,8,136,6,0.99662,35.60414,0.0,0.0,6.67857,8.346,8.75711,0.0,0.0,125.0,44.20881,0.0,0.41,1.864,-1.0,0.484052,0.10930086893610273,6.994405864197531,0.07109757661076427,65.10055026416431,92.03046372947382,5.4643547887613275,0.11063895352162144,0.654532019607843,0.13316502170769792,1.3561777967942221,7764.7495223143405,0.09246631388552319,0.08711708580704372,100.07660354529015,64281.998261751105,49.86749813880449,0.06707258245226376,0.07415297274503717,0.14066556884599507,0.12622242151343369,595.9610487567152,0.3645918876041083
18,18,33.3234,9.73439,26,12.2328,0,107,122,8,136,6,0.99751,35.43358,0.0,0.0,5.60714,8.342,8.5766,0.0,0.0,125.0,44.24695,0.0,0.41,1.706,-1.0,0.508961,0.10938595924076057,6.28858024691358,0.07077284215943218,64.75779053268994,91.38309525187975,5.374623410699726,0.10948106643577592,0.6538933333333333,0.1328907289500035,1.3317160107938617,7713.29732154777,0.09491843862109074,0.08645569503006696,100.10361521405541,64339.67745182321,49.81458781678,0.06937015436622423,0.07456429174554448,0.1401372329058873,0.12551630918653023,594.2114166368631,0.36237426156087876
19,19,33.2164,9.78823,26,11.8315,0,107,123,8,136,6,0.99762,35.29772,0.0,0.0,6.32143,8.305,8.35941,0.0,0.0,125.0,44.2211,0.0,0.41,1.66,-1.0,0.523013,0.10988979972757998,6.002170138888889,0.0704434307636756,64.71760481752663,89.98586485440025,5.255734699838102,0.10860317474944113,0.6525390588235286,0.13278057400968415,1.2486656006695285,7636.89773501348,0.09660133688956575,0.08578182612717668,100.12165650068394,64492.15239392778,49.772228288061825,0.07108168279975337,0.07560640518704809,0.13951465406198105,0.1246672867060641,592.5983184994002,0.36459188760410594
20,20,33.4572,9.72555,26,11.8448,0,107,123,8,136,6,1.00581,35.52845,0.0,0.0,4.57143,8.318,8.40991,0.0,0.0,125.0,44.24013,0.0,0.41,1.643,-1.0,0.522658,0.11051111336818681,7.547405478395062,0.07008820018080515,64.37469897576807,90.31934824383978,5.2735935228786195,0.10760789413826868,0.6529419607843137,0.13299131692324614,1.3556646303344484,7767.424260681901,0.0976219590954392,0.08523261454461527,100.09214229609736,64492.61489005574,49.81251375174816,0.07240632542318867,0.07621880187706709,0.13889436035227226,0.12377499134623278,591.0790158764017,0.3645918876041068
21,21,33.4924,9.91928,26,11.6983,0,107,123,8,136,6,1.00288,35.59538,0.0,0.0,4.32143,8.256,8.36084,0.0,0.0,125.0,44.22562,0.0,0.41,1.715,-1.0,0.523715,0.1113199212399277,7.502121913580247,0.06996573186106855,64.36730186739949,93.30031401581667,5.265449203174787,0.10662738154112515,0.6541237647058815,0.1329654569460593,0.963696499836169,7768.733720628272,0.09810349205263193,0.08477655505630913,100.08613289368822,64428.54343182122,50.08714859573929,0.07338455277789666,0.07677961387721137,0.13826182375195833,0.1230237387153583,589.7265389817258,0.36843292858316956
22,22,33.3049,10.7091,26,12.5557,0,107,123,8,136,6,1.00678,35.36575,0.0,0.0,4.35714,8.253,8.52882,0.0,0.0,125.0,44.09798,0.0,0.41,1.861,-1.0,0.511873,0.11176602363495718,7.353250385802469,0.06988945759194418,64.48169113618529,90.03966318236452,5.341384680351897,0.10580554126348624,0.6540443137254902,0.13280995127714107,1.0693738541585132,7675.6292758139325,0.09790876941603995,0.08445042560832026,100.14076507127426,64196.265341305254,49.78666762363764,0.0725317460440492,0.07669904961964608,0.13777145543278302,0.12228001660275185,588.4851044969655,0.36237426156087915
23,23,32.9756,13.2599,25,13.2812,0,107,122,7,136,6,1.00948,34.92853,0.0,0.0,6.35714,8.239,9.19729,0.0,0.0,125.0,43.81595,0.0,0.41,1.894,-1.0,0.518753,0.11245193453189781,8.019965277777779,0.06960112338267287,63.83001209506256,92.00737016556045,5.7948256661463775,0.10506926288477347,0.6499345098039216,0.13245498825996857,1.154278848530796,7499.556773253632,0.09827403742209581,0.08414800092035252,100.21410373770692,64312.05975514914,50.39098405249325,0.0714281391337425,0.07716960022593634,0.13734616823139947,0.12172080129510823,586.5657277978602,0.36237426156087676
24,24,32.7983,15.7673,24,13.3826,0,107,120,7,137,6,1.01246,34.58583,0.0,0.0,8.96429,8.251,11.40061,0.0,0.0,124.0,43.23469,0.0,0.4,1.53,0.18081,0.654187,0.11422000865114446,11.151957947530864,0.06951370093911612,62.474668711337436,90.62033589548153,6.415586278695246,0.10449145540367505,0.6454349019607843,0.13198093367844407,1.02261097047861,7320.9767221019565,0.09809988782039797,0.08386434232820118,100.29860355207275,64288.85284262109,52.86446974012586,0.07079443132249567,0.07766942920466326,0.13700154065656353,0.12122706378735527,582.3100660314773,0.3601566355176457
25,25,32.6895,18.1617,24,15.367,0,108,120,7,137,6,1.0112,34.39805,0.0,0.0,9.07143,8.219,13.59773,0.0,0.0,127.0,42.4291,0.0,0.41,1.404,-1.0,0.697725,0.1132009429183484,14.65210262345679,0.06940970048503883,62.5281856709896,88.49083645886316,5.945028906452825,0.10385513185307635,0.6388203529411752,0.13173294487311438,1.389961704423375,7232.427671922093,0.0981929680853272,0.08329004782309055,100.35233509182311,64128.19854529865,52.97683395574122,0.07069486370350973,0.07833109292804509,0.13567913173486185,0.1207089883422277,578.1585478443768,0.36015663551764004
26,26,32.3928,19.6621,24,16.8871,0,109,120,7,137,6,1.00536,34.12797,0.0,0.0,7.53571,8.418,15.64727,0.0,0.0,129.0,42.06352,0.0,0.4,1.557,-1.0,0.725384,0.11256085008189033,16.535542052469136,0.06929688630805098,62.75028884469225,87.28226929441948,6.314881441757778,0.1030919297641612,0.641023137254902,0.13159312405095003,1.3476883033276907,6999.3443351908445,0.09804299186579281,0.0830585885860585,100.4123705607138,64133.60667836467,52.53602336365499,0.07059269372371672,0.07862370166364041,0.13428573356996176,0.12040434375262009,574.1283881867232,0.35631559453858314
27,27,32.2552,20.0099,24,18.5034,0,109,120,7,137,6,0.9981,33.94458,0.0,0.0,4.42857,8.424,16.91994,0.0,0.0,129.0,41.5911,0.0,0.4,1.442,-1.0,0.654692,0.11250255909453477,17.789400077160494,0.0689620965587303,62.00716020116184,86.75602987342768,6.629249222061243,0.1024847777303171,0.6354035294117647,0.13123207379645785,1.2831562492427648,6851.237971956309,0.09745433300093603,0.08333044412398308,100.43849054306318,64240.88785068934,52.03677066755884,0.07129367913377554,0.07799946542657579,0.13318524727793823,0.1199927948282463,570.1865608681153,0.3540979684953576
28,28,32.6607,22.4535,24,19.1639,0,109,120,7,137,6,1.00111,34.32423,0.0,0.0,4.67857,8.469,17.21931,0.0,0.0,129.0,41.58361,0.0,0.41,1.469,-1.0,0.643623,0.11249393438616472,17.663242669753085,0.06864091082768187,61.09939532650625,88.04858071055754,6.706009405477131,0.10195816401364363,0.6353447058823529,0.1301878047186035,1.3182600662772908,7068.061511244476,0.09724819391106859,0.08269067346504722,100.36689788597494,64333.59543099839,51.84958978346836,0.07282130477483151,0.07750787460108617,0.13255241132625134,0.11941046911584104,566.2486013866711,0.3563155945385826
29,29,32.191,22.0861,24,20.6952,0,110,120,7,137,6,1.00085,33.89961,0.0,0.0,6.35714,8.438,19.33191,0.0,0.0,128.0,41.66939,0.0,0.4,1.651,-1.0,0.537499,0.11160409943022358,17.067081404320987,0.06843200414779976,62.43166168168693,89.60238472392945,6.997893442674793,0.10111596539789038,0.6373466666666666,0.12977560704784002,1.8384737450111917,6924.733039901914,0.09682848915504355,0.08218550871105719,100.42920203589804,64113.7892023473,52.46979682828174,0.07413918188813187,0.07696771679534214,0.13210967188749673,0.11799539804576276,562.6213041969719,0.3563155945385876
30,30,31.7508,21.5887,24,20.2754,0,111,120,7,138,6,1.00672,33.52737,0.0,0.0,5.35714,8.478,19.00667,0.0,0.0,129.0,42.22191,0.0,0.4,1.601,-1.0,0.43258,0.11080655005338201,18.068962191358025,0.06847415024449836,62.92085273366554,87.72368069527613,6.8663949023104776,0.10044498635568826,0.6407027450980392,0.12948479508227406,1.6434442675973007,6729.011272198991,0.0965426112289039,0.08187698148987613,100.4773907148103,64078.063353180834,52.502899735062215,0.07559718214387257,0.07651745465342243,0.1317283079706448,0.11631956653275191,559.2155669997081,0.3623742615608711
31,31,30.6006,22.2181,23,22.4957,0,111,120,7,137,6,1.00474,32.36513,0.0,0.0,2.32143,8.543,18.60828,0.0,0.0,129.0,42.6619,0.0,0.4,1.35,-1.0,0.442371,0.1104961607332185,17.439043209876544,0.0682032144637596,63.37303348247026,87.73191616186556,6.822584420805091,0.09963676989025316,0.6522372549019608,0.12904193665070618,1.1916601532797628,6139.312239425199,0.09642475244123455,0.08149871016856301,100.65635643350606,64109.084033026396,51.405449384524495,0.07751373073083728,0.07600476628913748,0.13130317144412793,0.11471419044040063,555.7786194147629,0.36015663551764554
32,32,29.8508,22.6603,22,22.7898,0,112,120,7,137,6,1.0063,31.53969,0.0,0.0,4.17857,8.492,19.09679,0.0,0.0,129.0,42.33617,0.0,0.4,1.399,0.16821,0.41072,0.11034728177985656,18.652247299382715,0.06767573250216656,63.750331229817704,86.26461331655388,6.932533999136027,0.09880462051196745,0.6510913725490196,0.1284936561873238,0.9036937662485931,5803.479709817227,0.09621619064680277,0.08131371065421145,100.78470834326355,64142.737282659604,50.855922557689524,0.07927181088239656,0.07552029863188524,0.13066388168773677,0.11346236702572444,552.2479071774409,0.3601566355176438
33,33,29.7822,23.8739,22,21.7292,0,112,120,7,137,6,1.00264,31.31844,0.0,0.0,2.39286,8.702,19.48984,0.0,0.0,129.0,42.74123,0.0,0.4,1.309,-1.0,0.482021,0.11023135316060897,18.415171682098766,0.06737780035930727,63.37657855702122,89.40651184082164,6.980566033469904,0.09790090147685786,0.6631011764705883,0.1281612144470148,0.7033440088818295,5715.118261259481,0.09603768112617582,0.08144999487592001,100.82302884451553,64133.62121663119,50.349159334912706,0.08131298825534847,0.07503504856863097,0.13001928195353415,0.11256129258424111,548.7315176983161,0.35631559453857725
34,34,28.9892,27.2476,22,20.6483,0,113,120,7,137,6,1.00012,30.49425,0.0,0.0,2.32143,8.697,20.57364,0.0,0.0,129.0,42.29181,0.0,0.4,1.612,-1.0,0.492488,0.11044242953130329,19.955439814814813,0.0668957774719758,62.927794679427464,87.73309558935743,6.975390919414643,0.09722931993476634,0.6519688039215682,0.127824736238628,0.8815673557724226,5345.994660822471,0.09596589584096347,0.08163070758767271,100.96649699972545,64342.03361857766,49.593494744948394,0.08264829694096303,0.07432701236085373,0.12933937922165573,0.11116678348937756,545.2525674365447,0.35409796849535496
35,35,28.8202,29.6264,21,21.8901,0,113,120,7,137,6,1.0019,30.16426,0.0,0.0,3.28571,8.748,23.45854,0.0,0.0,129.0,43.35356,0.0,0.4,1.517,-1.0,0.49177,0.11086305906710477,20.080198688271604,0.06664696754067884,63.92374620131643,86.55711651069936,7.022684689229723,0.0962944059887015,0.6833254901960784,0.1275684648037809,0.7692294377508351,5248.212007451037,0.09602750217331293,0.08182655274552741,101.03676167507244,64288.63886216342,48.84727478027344,0.08360852078704356,0.07396938937637632,0.128631177368847,0.1098057322718471,541.740472965338,0.3540979684953522
36,36,29.6217,29.8094,22,23.1266,0,114,120,7,137,6,1.00256,30.93973,0.0,0.0,5.67857,8.995,25.44472,0.0,0.0,129.0,43.29559,0.0,0.4,1.515,-1.0,0.530913,0.11135500956226084,19.825858410493826,0.06669628187916962,64.23494469323401,87.59829500576781,7.1199634412388795,0.09566373083830888,0.6838305882352942,0.127202350412293,0.8110468690879237,5500.181213159547,0.09608239796998895,0.08117707566341394,100.86918517354445,64348.40810057906,49.58722715024595,0.08477567287541088,0.07370284080428574,0.12801236665882923,0.10862995284131066,538.4381618491067,0.3540979684953512
37,37,29.9245,29.0241,22,24.4638,0,113,120,7,137,6,1.00356,31.35344,0.0,0.0,5.10714,8.622,25.58254,0.0,0.0,129.0,43.66456,0.0,0.4,1.542,-1.0,0.530241,0.11208757978814488,20.431182484567902,0.0660486404390593,63.70247666918373,87.36180353840072,7.300701457363349,0.09483422228582822,0.6891745098039215,0.1271335022256721,1.053734373523358,5674.86864191529,0.09590212773988355,0.0805776605932374,100.76944871334013,64479.347817106136,50.16390086986401,0.08722119312378784,0.07352322690243966,0.12749947378477386,0.10790500398645993,535.3322444532239,0.3540979684953541
38,38,30.312,27.8142,22,24.6217,0,113,120,7,137,6,1.00241,31.80239,0.0,0.0,3.96429,8.554,24.91901,0.0,0.0,129.0,44.17762,0.0,0.4,1.87,-1.0,0.545759,0.11308142933292305,20.870707947530864,0.06578539876593503,59.515603030976536,87.45764136335363,7.291613844605852,0.09415908949509189,0.6871200000000002,0.12705563629268682,1.5865100343176664,5871.44391705827,0.0956390643936093,0.08007729692989682,100.69699379432969,64563.938885657284,50.567900669427566,0.09158643271089849,0.07326732865148337,0.12692622578028132,0.10739517220964608,532.4744972090926,0.3540979684953564
39,39,30.5998,26.3176,22,23.0481,0,112,120,7,137,6,1.00327,32.04808,0.0,0.0,4.5,8.447,23.91687,0.0,0.0,129.0,44.17186,0.0,0.4,1.741,-1.0,0.545069,0.11384734564755146,19.080246913580247,0.06544310396418404,57.81343233463103,86.68210871241894,7.222877273979472,0.09338600418818109,0.6751174117647054,0.1267995236147126,0.9414316139672995,6040.038565678671,0.09556872011962043,0.07948243702374903,100.69043569998372,64499.46169938811,50.780346905743635,0.09464756163935664,0.0730870417307694,0.126248063000482,0.10685656717487037,530.0028497538791,0.356315594538582
40,40,31.0637,25.3684,23,22.9387,0,111,120,7,137,6,1.00405,32.44613,0.0,0.0,4.85714,8.519,22.64904,0.0,0.0,130.0,45.18518,0.0,0.4,1.763,0.16062,0.526167,0.11422155714779392,18.268422067901234,0.06510671853388555,59.97256095772576,90.21046795805483,7.139584515395076,0.09277461226343574,0.6938909803921569,0.1267096652229671,0.9331146292251727,6192.823611111054,0.09544868919111688,0.07899852498626933,100.59997919209397,64200.30634797756,51.38103456850405,0.09700456733720368,0.07286596854549862,0.12607048861308848,0.10625317106340326,527.8044982530683,0.3540979684953543
41,41,30.6627,23.0097,23,23.0588,0,110,120,7,137,6,1.00085,32.16762,0.0,0.0,4.35714,8.63,21.81075,0.0,0.0,130.0,45.31786,0.0,0.4,1.589,-1.0,0.569652,0.11431855007033605,17.46759259259259,0.0649960715388244,59.922039244598466,88.24344953595808,6.938117534521846,0.09182802204403175,0.6933388235294117,0.12654986727564826,0.9026163307328051,5997.657013864702,0.09555743979520766,0.0784765082156516,100.64005684457982,64237.80458917611,52.00549580138407,0.09955398893722532,0.07279660943174822,0.12544132611008785,0.1058126152102737,525.7002772122388,0.3563155945385803
42,42,30.7134,24.0253,23,22.3661,0,110,120,7,137,7,0.99469,32.32734,0.0,0.0,6.82143,8.681,19.74945,0.0,0.0,130.0,45.87633,0.0,0.41,1.749,-1.0,0.568158,0.11438013173358653,16.888213734567902,0.06470352276775912,60.63024105296604,92.97887126528049,6.782195464233689,0.09114215432720407,0.702843137254902,0.1262824711434797,0.9673739419407381,6036.25380787137,0.09582664164178108,0.07797979328691951,100.59629756793824,64265.818569837094,52.07057547863619,0.10276173125773552,0.07306055025808628,0.12492720613080761,0.10527553285201213,523.5339110805617,0.3601566355176397
43,43,31.0102,20.8368,23,21.4385,0,110,120,7,137,7,0.99745,32.57285,0.0,0.0,7.10714,8.603,20.63336,0.0,0.0,129.0,45.44388,0.0,0.4,1.67,-1.0,0.651277,0.11459337490837432,15.941502700617283,0.06451241626482343,59.13039204310283,92.14757862340244,6.673990491490389,0.09053868007652391,0.692166274509804,0.12623677729133195,0.8685967949946127,6215.4273589198,0.09593639171002913,0.07752589727986221,100.57462428129168,64248.46777007134,52.21572857138551,0.10594856145266214,0.07338186830123503,0.12432438909790067,0.10466802335107397,521.1887686090517,0.35631559453858347
44,44,31.6353,20.2377,23,20.5538,0,109,120,7,137,7,0.98735,33.14616,0.0,0.0,7.07143,8.642,17.91339,0.0,0.0,129.0,45.49823,0.0,0.41,2.204,-1.0,0.581449,0.11490649416926715,16.150800540123456,0.06435407679440486,59.648390348498694,91.28522226814084,6.562633559781403,0.09020649252569286,0.6866614117647021,0.12608780050951582,1.3900742223747327,6523.1661158307525,0.09582378555540856,0.07718494334441882,100.47183858797142,64307.636058060256,52.5246297577281,0.10775011009539677,0.073058245193187,0.12373092851582695,0.10406804183981165,518.7454696259794,0.35631559453858525
