,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.1.0,saturation,color_fulness,blockiness,cubrow.0,cubcol.0.6,tone,cubrow.0.5,cubrow.0.3,cubrow.0.6,temporal,cubcol.0,cubcol.0.3,cubrow.1.0,noise,staticness,uhdhdsim,cubcol.0.5,movement,blur,fft,contrast
10,10,74.0726,13.4489,77,16.8243,0,115,121,21,131,24,1.02679,72.34466,0.0,0.0,1.21429,3.171,11.4369,0.0,0.0,125.0,58.9471,0.00128,0.61,1.834,-1.0,0.031315,0.13294017153172047,40.55171147099247,146.2065984862912,2.5096584414642544,0.25992805710206823,0.22377143657476875,0.9008725490196079,0.2342575514690202,0.20365632293059713,0.2355597164362562,4.803726202598016,0.08498253657234542,0.15732908257782538,0.29545063774696895,1.042929482204374,468.8283604651689,81.92449893119783,0.31780799679942673,2.9287229938271606,41645.29772606351,77426.37115347009,96.14694490757553
11,11,73.6886,13.5138,77,16.9159,0,115,121,21,131,24,1.02915,71.95929,0.0,0.0,1.07143,3.173,11.56674,0.0,0.0,125.0,58.87811,0.00119,0.61,1.904,-1.0,0.02358,0.1327426213162293,40.58322463800877,146.5671462592214,2.8660873761179646,0.2565387571529369,0.22099916731488514,0.8992662745098039,0.23467287919467814,0.20418201035441116,0.23560613479691395,4.84573442690163,0.08492226791615834,0.15950826271452392,0.29413473477486896,1.0402768634401143,467.86791106953706,81.97617491145068,0.31601937405732916,3.146604938271605,40974.89613335898,77388.80376954818,97.99927453141393
12,12,73.6887,13.5664,77,17.6285,0,115,121,21,131,24,1.02515,71.91946,0.0,0.0,1.21429,3.155,11.63216,0.0,0.0,125.0,58.82619,0.00123,0.62,1.869,-1.0,0.02403,0.13272329869579538,40.75945800027729,146.33999161307014,2.587551626652078,0.2506718343428826,0.21989334323023296,0.8984478431372549,0.2350974766270197,0.20459762510124183,0.23567376356968953,4.88089403772611,0.08492299427657983,0.16125112396499883,0.29294390086535144,1.0386534485042793,466.88979570571047,81.93447031480851,0.3148102685421963,2.871238425925926,40955.31953043613,77520.57843997568,98.02911887189866
13,13,73.6683,13.6503,76,17.3106,0,114,121,21,131,23,1.03312,71.87435,0.0,0.0,0.82143,3.145,11.66341,0.0,0.0,125.0,58.75599,0.00123,0.62,2.053,-1.0,0.029124,0.13283472122454923,40.645965011031535,146.27681593644172,2.5136080634435345,0.24598862460933169,0.21899286494953074,0.8981650980392157,0.2350582495368573,0.20545322177318448,0.23577266068213146,4.905092357724637,0.08486639900034426,0.16204851341263785,0.29144474642038387,1.045741319355005,465.78528085852594,81.93310582063661,0.31198172551935716,2.5627893518518516,41115.15626305997,77562.94287043942,95.99564411203882
14,14,73.9679,13.7265,76,18.2376,0,114,121,21,131,23,1.03175,72.12015,0.0,0.0,0.82143,3.127,11.73549,0.0,0.0,125.0,58.70684,0.00137,0.61,1.745,-1.0,0.029164,0.132672818850629,40.70979874222367,146.1833601441877,2.5144416872570656,0.24209041125120598,0.21773008079318304,0.8982666666666667,0.23517105344069997,0.20623032583637244,0.23589923571541394,4.912885002033924,0.08475581310996089,0.16268068490227192,0.2898084097415751,1.0451471082476071,464.63123406477797,81.88929401238263,0.31200513303401467,3.5035686728395063,41687.36412259462,77771.28122025228,98.22598361638181
15,15,73.6866,13.8823,76,18.1054,0,114,121,21,131,23,1.02587,71.84335,0.0,0.0,0.85714,3.125,11.80179,0.0,0.0,125.0,58.63656,0.00123,0.61,1.818,-1.0,0.028833,0.1326446471318244,40.696968926323784,146.26451798366625,2.3080401838067304,0.2386734262752382,0.2154474165300049,0.8982666666666667,0.23537251131970827,0.2067043119887053,0.23609503686201994,4.9236981362783965,0.08476358148498388,0.16284078308115754,0.28834463135199684,1.045741319355006,463.42828356639035,81.90729891551427,0.3133502744032092,4.880787037037037,41114.79563653832,78142.7492701959,96.0812721198075
16,16,73.2299,14.0982,76,18.7862,0,114,121,21,131,23,1.01795,71.40521,0.0,0.0,0.92857,3.122,11.93548,0.0,0.0,125.0,58.55031,0.00134,0.61,1.727,0.15972,0.02961,0.1326644377598711,40.58773295084636,146.4028612250167,2.818256083010677,0.23626470527994314,0.2134951038053531,0.8969764705882353,0.235572426556382,0.20728524479988042,0.23602656490745902,4.948961926630126,0.08468763466703966,0.16200340797792134,0.28728554071923557,1.0413060672685444,462.1882854744995,82.00496035242912,0.3138770525261837,5.719859182098766,40424.111503919405,77865.4208951031,95.9160565378854
17,17,73.0258,14.2744,75,19.9178,0,114,121,20,131,23,1.0184,71.21524,0.0,0.0,0.60714,3.112,12.12241,0.0,0.0,125.0,58.48907,0.00136,0.61,1.854,-1.0,0.024343,0.13273559924392525,40.66940929271557,146.4761846794946,2.855286291927924,0.23335789506906848,0.21216234749019233,0.8960196078431373,0.23564283209180942,0.20795949827802226,0.2359480385198981,4.992977852509276,0.08463532568923698,0.16178557706555052,0.2873640284807738,1.0451471082475992,460.9524252126371,82.03971455297892,0.3126365607650863,5.687210648148148,39792.14804099471,77734.93286656094,97.65201498035808
18,18,73.3966,14.7291,76,19.453,0,114,121,21,131,23,1.02236,71.58402,0.0,0.0,0.57143,3.099,12.27197,0.0,0.0,125.0,58.42532,0.00128,0.61,1.756,-1.0,0.031639,0.13278809162682134,40.77892878026138,146.51216659841373,3.0159105994120865,0.2318527457648341,0.21141354366265877,0.895947843137255,0.2359030558499904,0.20831663539936202,0.2357768526432102,5.021704691050164,0.08463434754770909,0.16208099335825762,0.28765092776401824,1.0457413193550016,459.7232213689603,81.93280121462666,0.3117443628760353,5.7201003086419755,40044.57259108034,77628.06854538628,97.71709558752919
19,19,73.8459,14.9992,76,20.1217,0,114,121,21,131,23,1.02493,72.0498,0.0,0.0,1.14286,3.103,12.66372,0.0,0.0,125.0,58.35997,0.0012,0.61,1.857,-1.0,0.030011,0.1327498909820106,40.65700634614921,146.60117366163496,2.6544030593791947,0.231740533290713,0.2096032392869598,0.895947843137255,0.23596575783849175,0.20897130462702695,0.23569658102965618,5.0616173880057085,0.08466269242320888,0.16198825803890346,0.2870175631729767,1.0457413193550071,458.48061117488953,81.8782244159267,0.3108870702977553,5.775028935185185,40287.15315771796,77592.67590527548,96.17107757204263
20,20,74.0494,15.2014,76,22.3117,0,114,121,20,131,23,1.01049,72.2219,0.0,0.0,1.75,3.094,12.89688,0.0,0.0,125.0,58.27607,0.00108,0.61,1.732,-1.0,0.027655,0.13271234590359485,40.7346841317636,146.6997016919756,3.048514343918691,0.2303030730336314,0.20792515150881702,0.8953823529411765,0.23612495539955683,0.20991025645498115,0.23570005957812626,5.085404923464473,0.08468260424077845,0.16202607506033884,0.2863157958335495,1.0487123748919946,457.25139921840974,81.82078317769958,0.3106620577170126,6.678047839506172,40247.33430542194,77457.61773639267,97.86010571412803
21,21,74.0945,15.6882,76,23.5713,0,114,121,20,131,23,1.01764,72.23211,0.0,0.0,1.25,3.059,13.07224,0.0,0.0,125.0,58.16032,0.00143,0.6,1.796,-1.0,0.031178,0.13270329717245577,40.405484046465084,146.70732902918013,2.798830708791801,0.228435046878011,0.20628261591794345,0.8951556862745098,0.23620720206194434,0.21054714586453654,0.23559111031908136,5.119483568810127,0.08465956318869405,0.16156292927381488,0.28567093336362,1.0429294822043813,456.04259604301865,81.74148167625509,0.3106697611698284,6.468460648148148,39847.83701566072,78095.7018447286,97.94281128074238
22,22,74.2987,16.4603,76,21.4263,0,114,121,20,131,23,1.01604,72.42708,0.0,0.0,2.0,3.062,13.48435,0.0,0.0,125.0,58.05154,0.00125,0.61,1.938,-1.0,0.027205,0.13273248648290348,40.41930248119213,146.73916941253407,2.9978297658601605,0.227312726302279,0.20508089918088473,0.8932062745098039,0.23620701249111484,0.2111911426339443,0.2357048032652665,5.1590532191781815,0.08465818885884024,0.16143583174703108,0.2850988245527449,1.0457413193550016,454.92656668721287,81.70609979195186,0.3103220639337201,6.518566743827161,39810.832966249174,77826.12264915694,97.38650088836843
23,23,74.4102,17.7936,76,22.649,0,115,121,20,131,23,1.02416,72.57801,0.0,0.0,2.25,3.066,14.14364,0.0,0.0,125.0,58.02859,0.00145,0.61,1.868,-1.0,0.033788,0.13272564917412255,40.33465839904032,146.81523179428237,2.5781222817012064,0.2258618948882497,0.20417009921592957,0.8936211764705883,0.23608716956926545,0.21163253484419917,0.23574996021026903,5.187666171293595,0.08466814902780363,0.16194098827848624,0.28498659759654227,1.0479589453982354,453.87689886976517,81.68798627007077,0.30788834619155564,6.063126929012346,39730.148145311236,76935.51600607211,97.98762403080335
24,24,74.5167,17.5472,76,24.1503,0,115,121,20,131,23,1.01807,72.72957,0.0,0.0,2.25,3.074,15.29235,0.0,0.0,125.0,58.10047,0.00134,0.61,2.026,0.15805,0.036495,0.1326790133663675,40.07763879093123,147.07303506009038,2.326016405963977,0.22413216697225055,0.20388498742731262,0.8951145098039216,0.23603795860546598,0.2119421660083258,0.23572044575120593,5.175754278940131,0.08467198088810038,0.1614723976448453,0.2851044462931752,1.045741319355004,452.84606435430953,81.7045771386003,0.30595677538654303,5.997251157407407,39920.58255014132,76432.13289252047,98.0661944745784
25,25,73.8034,15.7542,76,21.8199,0,115,121,20,131,23,1.02041,72.10129,0.0,0.0,2.46429,3.06,15.07901,0.0,0.0,125.0,58.04529,0.00127,0.61,1.897,-1.0,0.034462,0.13274306666552474,40.17821568618586,147.03328763274587,1.9552182595971892,0.2215964704479372,0.20353550311485777,0.8950576470588235,0.23609885550287402,0.21256683051171843,0.23578059743752677,5.099516400153264,0.08470700187249604,0.1611123342804212,0.285393752745128,1.0429294822043802,451.892139619406,81.7902777969055,0.3031825317903452,6.093315972222222,38190.20687098038,76480.10527434804,97.9628133129136
26,26,73.0855,15.0999,76,21.6774,0,115,121,20,131,22,1.02066,71.47414,0.0,0.0,3.71429,3.055,13.54005,0.0,0.0,125.0,58.00913,0.0012,0.62,1.867,-1.0,0.034183,0.13265589510688022,40.39137399932485,147.14335430925635,2.7544704971300566,0.21962441208551914,0.20258026874017976,0.8968450980392157,0.2361033698065484,0.21313909820194663,0.2358369716495463,5.034279290861311,0.08470881585081148,0.1605743073128598,0.2843505175537057,1.0457413193550051,450.98521509892976,81.80371023743034,0.30110817545368807,6.049189814814815,36301.98596164877,76080.92990980846,96.04705313150829
27,27,72.7226,15.1976,75,19.98,0,115,121,20,131,22,1.01917,71.17249,0.0,0.0,2.17857,3.052,12.97811,0.0,0.0,125.0,58.14442,0.00124,0.61,1.805,-1.0,0.026658,0.13263670383178833,40.3100015145761,147.23321824170503,2.3409158423587084,0.21719085401577556,0.20173648744054115,0.8979568627450981,0.2362232598112637,0.21361629508761368,0.2357734082122875,5.018349495752825,0.08469354032196041,0.16067823523980218,0.2836944538477859,1.045741319355008,450.06718013844744,81.83587669374168,0.29916949619879085,6.571952160493828,35247.15695210691,75933.57859279159,98.25861938697092
28,28,72.5935,15.0444,75,21.0396,0,115,121,20,131,22,1.01987,71.0735,0.0,0.0,1.71429,3.036,13.05984,0.0,0.0,125.0,58.07102,0.00137,0.62,1.877,-1.0,0.035411,0.13259816736245358,40.17908449526186,147.39496415108925,2.38060472076734,0.21529263914219296,0.2016454446973352,0.896498431372549,0.2362818885135901,0.2140058750489699,0.23573167652093807,5.0567985028327,0.08471419507279018,0.1615329146529323,0.2823642683843511,1.0501765714414644,449.1779856154967,81.83454282718104,0.29749320767475157,7.262827932098766,34706.506292944076,75765.1000498716,96.17871885607462
29,29,73.1078,15.1671,76,21.7749,0,115,121,20,131,22,1.02572,71.60365,0.0,0.0,1.42857,3.022,12.92905,0.0,0.0,125.0,57.95419,0.0013,0.61,1.949,-1.0,0.036288,0.13256701394016146,39.967109209225505,147.44170611047736,2.353015522495072,0.21597803300844767,0.2012633698190862,0.8966980392156862,0.23625902423066364,0.21446812248830138,0.2356971833075308,5.110074167029394,0.08470082392444571,0.16230335369256862,0.2817258456691139,1.046335530462402,448.3778989346504,81.7609057896845,0.2952909983581654,8.114438657407407,34831.50494813074,75511.58125486983,96.315790417231
30,30,73.266,14.4926,75,21.0793,0,115,121,20,131,23,1.02602,71.73547,0.0,0.0,1.03571,3.032,13.04086,0.0,0.0,125.0,58.07342,0.00142,0.61,1.856,-1.0,0.029173,0.1326252484706387,40.124501546223954,147.4918583265029,2.91126995555327,0.2141841159662197,0.20078758464068228,0.8992811764705883,0.23635263774791218,0.21499021581816638,0.2357379910751744,5.1447754073204734,0.08468200919449795,0.16269863123885284,0.28155839549423334,1.041306067268547,447.62610576253365,81.74139772852017,0.29287833456025875,8.466145833333334,35262.75740633832,75602.21135493324,98.09590633258144
31,31,73.4149,14.2906,76,19.9979,0,115,121,20,131,23,1.01717,71.87889,0.0,0.0,1.85714,3.029,12.46116,0.0,0.0,125.0,58.07726,0.00147,0.62,2.158,-1.0,0.031865,0.13262942292938365,40.13657576949508,147.74775133828658,3.1478166100464238,0.212229054032514,0.20054632148085363,0.900084705882353,0.23643151485530617,0.21530847945434017,0.23576702123424095,5.117493247667035,0.08470591567754022,0.1638450816749378,0.281176122007608,1.0451471082476074,447.0227863020222,81.79725564216909,0.29043820297737805,7.801552854938271,35477.962639292724,75716.72076477366,96.33053157072622
32,32,74.1636,14.2528,76,20.158,0,115,121,21,131,23,1.01872,72.58736,0.0,0.0,0.92857,3.003,12.2894,0.0,0.0,125.0,58.0437,0.0015,0.61,2.088,0.15908,0.029769,0.13263878252221434,40.038204428590376,147.90052453976253,3.5087154408826096,0.21117185326808896,0.2007075692972625,0.9011588235294118,0.23661179814891528,0.21570321290140532,0.23591524994388374,5.091475892927444,0.08472163437972047,0.16546278647116555,0.28034119437411964,1.0475239526772004,446.5574569772758,81.61650123739005,0.2885252187064883,7.2290219907407405,36525.85731650565,75791.00076953798,98.36802077160162
33,33,74.2712,14.7957,77,21.1939,0,115,121,21,131,23,1.02838,72.6768,0.0,0.0,0.75,3.014,12.25724,0.0,0.0,125.0,58.04743,0.0013,0.61,1.965,-1.0,0.032943,0.13262944166390775,40.061660578221456,148.1532897367799,3.132271991309183,0.21059660491040655,0.20092763471128572,0.9003447058823529,0.2367191257677571,0.21600587880274763,0.23611757241324052,5.088532161780172,0.08472032409146787,0.16720272965537109,0.27982396146925803,1.0479589453982339,446.24052744330737,81.58816636017242,0.28662392826767896,7.013551311728395,37031.93815220251,76011.56186857863,98.33664049200489
34,34,74.1254,15.1223,77,21.6963,0,115,121,21,131,23,1.02822,72.56351,0.0,0.0,1.42857,3.02,12.71785,0.0,0.0,125.0,57.94392,0.00137,0.61,2.019,-1.0,0.041179,0.13265310584768045,40.125848840784144,148.18188157275492,3.368680744819751,0.21091406102295523,0.20091201142289114,0.89778,0.23672202335056683,0.21630477222647015,0.2361955299948059,5.125620633905327,0.08467401502078682,0.1681331434560382,0.27949506236169536,1.0568294495711663,445.98730411225796,81.60468241294011,0.28464320209074573,7.067081404320987,37139.128497970945,76013.72641823033,96.15338294251617
35,35,73.8361,14.8973,77,22.4627,0,115,121,21,131,23,1.01397,72.27494,0.0,0.0,0.5,3.014,13.00002,0.0,0.0,125.0,57.83295,0.0013,0.62,2.01,-1.0,0.029241,0.1326547146480611,40.27935244713301,148.0735400543315,3.735053867702293,0.21028922678467757,0.20099923618407073,0.8945490196078432,0.23681306190942736,0.21668156805768218,0.2363288151299373,5.1496060512705135,0.08468154271412157,0.16884863359200375,0.2788326607107728,1.0540176124205336,445.79658008430647,81.65132104408707,0.28298919254689064,7.155285493827161,36380.09689812885,75721.17518697018,97.63124470698355
36,36,73.0911,15.1372,76,21.8928,0,115,121,20,131,23,1.02608,71.67115,0.0,0.0,0.60714,3.045,12.80878,0.0,0.0,125.0,57.81425,0.00144,0.61,1.978,-1.0,0.032364,0.13263680069905903,40.25358788761092,147.8182214234524,3.6628374563543966,0.20977592270095094,0.20065838042119227,0.8933831372549019,0.2368150367052456,0.21696911820454115,0.23645958818175494,5.203978333582796,0.08464208365621637,0.16883226215274733,0.2787833127827314,1.0639173204218857,445.6177296564726,81.76868287541664,0.2814835507959674,6.753134645061729,35757.69216751864,75465.81673567048,96.00168635920035
37,37,72.5218,14.501,76,21.3305,0,115,121,20,131,23,1.02505,71.19541,0.0,0.0,0.71429,3.034,13.01723,0.0,0.0,125.0,57.76229,0.00147,0.61,1.826,-1.0,0.02612,0.13260797463818536,40.34921095106337,147.7981082022934,3.615538648693259,0.20834880892224952,0.20041013302456434,0.8920490196078432,0.23667995737230732,0.21722026228110136,0.23658788257541333,5.187726518431861,0.08465024135480922,0.16907850485412887,0.27874572550330157,1.0699759874441779,445.43909651127217,81.8428889645375,0.28011509780322386,6.160590277777778,35123.37481655039,75632.66010411942,98.0798713650624
38,38,72.2339,14.0764,76,20.4761,0,115,121,20,131,23,1.02973,70.92276,0.0,0.0,1.57143,3.066,12.46742,0.0,0.0,125.0,57.70924,0.00137,0.61,1.968,-1.0,0.023687,0.13257147021730106,40.304124808605806,147.661680419731,2.940055167262607,0.20674081946207015,0.19968856478741637,0.8902721568627451,0.23644516954640754,0.217364774328119,0.236533189269072,5.1302653025288345,0.08466926683063239,0.16925471571084183,0.27926427170455115,1.0683525725083534,445.19939048920986,81.87507890064573,0.27900105210751075,5.612364969135802,34787.093054990706,75552.0321312057,98.04243524519359
39,39,72.1244,13.8721,76,20.6216,0,115,121,20,131,22,1.03688,70.78516,0.0,0.0,1.0,3.022,12.10277,0.0,0.0,125.0,57.7733,0.00147,0.62,1.939,-1.0,0.030099,0.1325825721600013,40.34324947404272,147.66803349854843,2.452313169471738,0.2055722941172779,0.19887599494612904,0.8902466666666667,0.236278258062713,0.2176074925250768,0.23659630622020172,5.093812800996386,0.08466988892574806,0.1695776560259001,0.2797040450969684,1.0721936134874088,444.85612265078265,81.8502910780473,0.27851183091070175,5.761284722222222,35009.981791921746,75752.54982084633,96.08718940263007
40,40,72.4391,13.3723,76,20.9927,0,115,121,20,131,22,1.03333,71.05529,0.0,0.0,1.28571,3.03,11.92251,0.0,0.0,125.0,57.84323,0.00123,0.62,1.89,0.15779,0.022239,0.13253785207046784,40.25586220070168,147.31909923431093,2.9852848741784004,0.20409514779781057,0.19852321965914313,0.8904917647058824,0.23608229733623357,0.2177840140915359,0.236647043222722,5.0594306697905935,0.08468023684056528,0.17043944731571897,0.28009734576224854,1.0699759874441817,444.4434147916026,81.82485147787884,0.278270278864181,6.054157021604938,35124.56061064457,75873.62709811753,96.23293616570555
41,41,72.0275,13.6604,76,19.2674,0,115,121,20,131,22,1.03486,70.68068,0.0,0.0,1.07143,3.045,11.49898,0.0,0.0,125.0,57.72201,0.00144,0.61,1.641,-1.0,0.02874,0.13256503584700974,40.0518798828125,147.5376701894902,3.1444902495526237,0.2026998450505412,0.19782341414334395,0.8888960784313725,0.23583739843053547,0.21804793377331105,0.236662692942227,5.037440501823677,0.08465083373163845,0.17128344519982425,0.2807077303271332,1.0639173204218828,444.041552949033,81.8967757833346,0.2781768818228045,6.207175925925926,34416.55968138424,75620.71535076843,96.07303731591249
42,42,71.6191,13.3699,75,21.542,0,115,121,20,131,22,1.02676,70.30385,0.0,0.0,0.75,3.073,11.74643,0.0,0.0,125.0,57.71115,0.00148,0.61,1.708,-1.0,0.038034,0.13253585662682998,39.9875693615572,147.73020089132004,2.9893806280526443,0.20126626631365926,0.19700248822403182,0.8886054901960785,0.2357392930876897,0.21831295826209168,0.23671236614284563,5.050250733548565,0.08463428141326398,0.17200698871868905,0.2812348186805927,1.066134946465118,443.6840208952861,81.98279778489712,0.2774599071766799,6.292534722222222,33942.73749603472,75701.01411035156,97.88873117815496
43,43,71.9733,13.1897,75,19.6852,0,115,121,20,131,22,1.03351,70.57453,0.0,0.0,1.10714,3.057,11.49611,0.0,0.0,125.0,57.80239,0.00145,0.6,1.656,-1.0,0.031116,0.1325406408211824,40.00777218665606,147.5790443581176,2.4683949976935056,0.2000651177530212,0.19632064841498334,0.8895490196078432,0.23566992585732205,0.2184737673567604,0.23679413335958188,5.026995395822373,0.08460382317977465,0.1735296338835932,0.28187242728620887,1.064511531529283,443.2946894904054,81.90623384109843,0.2768931687044743,6.294367283950617,34347.435510285926,75667.64107133537,96.35948236150405
44,44,72.2825,13.8421,76,18.6548,0,115,121,20,130,22,1.02691,70.86296,0.0,0.0,0.46429,3.05,11.34275,0.0,0.0,125.0,57.76824,0.00127,0.6,1.89,-1.0,0.032948,0.13254928318737097,39.75151024335696,148.00593683988734,3.077628501146205,0.19873333504592208,0.19563732988901023,0.8889941176470588,0.2356366279794971,0.21871072470925745,0.23685941970881502,5.024851115149967,0.08459148136707272,0.17444529408293458,0.2828995687971316,1.05623523846376,442.8938376650863,81.9356560464382,0.27613206586601013,6.486014660493828,34380.45044290067,75549.36432325128,97.88406844390116
