,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.1.0,movement,noise,color_fulness,staticness,saturation,blur,cubrow.0.6,cubcol.0.3,cubcol.0,contrast,cubrow.1.0,cubrow.0.3,tone,fft,cubrow.0.5,temporal,cubcol.0.5,blockiness,uhdhdsim,cubrow.0,cubcol.0.6
10,210,66.8537,2.53933,31,3.53862,0,106,131,7,125,6,0.98129,60.00605,0.0,0.0,4.0,3.927,2.15833,0.0,0.0,126.0,59.7259,0.00032,0.29,1.396,-1.0,7.37557,0.005551185860481589,0.3434124228395062,0.21399519748883625,162.17145789447133,530.0936413011007,31.67611958068094,60943.11145020337,0.1409256086583473,0.06481799716958396,0.005271240872358073,91.64059976252125,0.10204961051558879,0.26324683389805725,0.8540913725490198,69748.26269638406,0.14927259285257596,1.9754238488780198,0.22186612516406767,1.8963053917120114,89.73297539324324,0.1033111110335968,0.22315774891900111
11,211,66.9301,2.47702,31,3.46626,0,106,131,7,125,6,0.98062,60.07984,0.0,0.0,4.14286,3.938,2.13245,0.0,0.0,126.0,59.78749,0.00029,0.29,1.389,-1.0,7.390285,0.005503557945161382,0.3822337962962963,0.21399519748883553,161.41754734535044,529.967642544814,31.571080525716145,61162.21005212594,0.14104035946739268,0.06708288800989685,0.005250047326720844,93.75458789677553,0.1019429958182972,0.26323845667255674,0.8545964705882354,69878.50443280475,0.1490993853791901,1.9694536269571232,0.22182973489067845,1.8916896039529911,89.70451472038883,0.10339776725404627,0.22431197078060214
12,212,66.9313,2.52385,31,3.42914,0,106,131,7,125,6,0.97931,60.09499,0.0,0.0,4.28571,3.94,2.07827,0.0,0.0,126.0,59.78721,0.00037,0.29,1.334,-1.0,7.354525,0.0055060410403223155,0.35802469135802467,0.21399519748883425,161.09733579600095,529.7331437707522,31.53129389256607,61139.635709527174,0.14137385367413766,0.06951010823100401,0.005258520050824346,93.46291072922283,0.10168516004680775,0.26341146946654864,0.8543286274509805,69866.68112087347,0.14899394809232594,1.9635939897898147,0.2217323763946846,1.7258336424238339,89.73818073283964,0.10332500328837935,0.22528165378297232
13,213,66.969,2.58014,31,3.4168,0,106,131,7,125,6,0.98145,60.11154,0.0,0.0,3.96429,3.949,2.12362,0.0,0.0,126.0,59.83201,0.00031,0.29,1.439,-1.0,7.399316,0.0054645617161284315,0.2942708333333333,0.21177757144560674,160.4424072475345,529.59765992677,31.46976857126495,61176.731585808135,0.14162314512443414,0.07202571067498084,0.005312868026083839,91.56134658843108,0.10181849997075734,0.26338097866483257,0.8547015686274511,69850.69445585922,0.14894437188630394,1.9628036628452172,0.22176210960145606,1.8550305636793183,89.71538827810555,0.1033551757732294,0.2260026612256702
14,214,67.0083,2.64455,31,3.56637,0,106,131,7,125,6,0.98833,60.15364,0.0,0.0,4.21429,3.939,2.17044,0.0,0.0,126.0,59.85738,0.00029,0.29,1.535,-1.0,7.35193,0.005418336163940137,0.283179012345679,0.21399519748883344,161.60527781346934,529.3903351746134,31.62110599470727,61328.87211757016,0.1418181544126107,0.07454039685967502,0.005208314903250341,93.78767858720707,0.10209974123793661,0.2634525463783385,0.8543662745098041,69951.00666157529,0.14890630266515067,2.0163303368405123,0.22187739603080614,1.654530736137265,89.70620993988561,0.10328090115597904,0.22674902303323202
15,215,67.0075,2.82738,31,3.61283,0,106,131,7,125,6,0.98297,60.1402,0.0,0.0,4.0,3.943,2.22601,0.0,0.0,126.0,59.90398,0.00033,0.29,1.392,-1.0,7.421306,0.005387500202302185,0.48119212962962965,0.2079365304665437,161.33857377487487,529.2507028926608,31.669617075978973,61308.14334623889,0.14209189920512097,0.07652774286863365,0.005185905904999101,93.32593054562521,0.10256765245878205,0.2634870150998119,0.8554596078431373,69927.00279605486,0.14892969245094076,2.049317635543045,0.22190685755583597,1.7768924516036935,89.7178415937,0.10331245225948452,0.2277220709576081
16,216,66.9448,3.03857,31,3.69278,0,106,131,7,125,6,0.98687,60.08387,0.0,0.0,4.35714,3.949,2.38582,0.0,0.0,126.0,59.87596,0.00032,0.29,1.417,0.45345,7.415561,0.005395254682569897,0.5659239969135802,0.21399519748882945,160.93366289456532,529.0432109791369,31.56555835111642,61196.48539488052,0.1424086115957643,0.07785510471596145,0.005199024317454539,93.58530693605032,0.10275110654652278,0.26363726570987134,0.8549339999999918,69747.1698498078,0.14890573620937228,2.1188153615930374,0.2219121588650348,1.7539428450642922,89.73747236943649,0.10327424519424884,0.229398955598849
17,217,66.9976,2.97037,31,3.63935,0,106,131,7,125,6,0.99427,60.12961,0.0,0.0,4.32143,3.948,2.57176,0.0,0.0,126.0,59.92072,0.00032,0.29,1.496,-1.0,7.397837,0.005392348263392478,0.7086226851851852,0.2079365304665445,160.6263265260531,528.8744241690893,31.595125174816747,61395.706952195214,0.14260128123873045,0.0781824197548629,0.0051916794396489226,93.6788258671365,0.10263139796731402,0.26363815055050976,0.8559584313725491,69895.84621683018,0.1488783571384728,2.1543760494749846,0.22188075549600153,1.7341184840575365,89.72338445842152,0.1032683101447073,0.23130557721028194
18,218,66.9577,2.76114,31,3.42979,0,106,131,7,125,6,0.99138,60.10333,0.0,0.0,4.46429,3.955,2.50967,0.0,0.0,126.0,59.91385,0.00036,0.29,1.396,-1.0,7.318557,0.0053869936182201995,0.7475405092592593,0.2117775714456058,161.2568577407976,528.6744986326786,31.617929529260707,61247.612712872455,0.14265739909290293,0.07836399037746915,0.00518093522413925,93.47571334045327,0.10252985145993876,0.2637269906807501,0.8549545098039216,69936.86796487989,0.1490053259899359,2.1458073008728964,0.22191533193502055,1.8488724417018791,89.73664133773138,0.10322420187705128,0.2334153576883235
19,219,67.0233,2.38455,31,3.23538,0,106,131,7,125,6,0.98486,60.15714,0.0,0.0,4.14286,3.949,2.32786,0.0,0.0,126.0,59.9532,0.00035,0.29,1.36,-1.0,7.394201,0.0054080325938792514,0.6814718364197531,0.21177757144560364,161.39912189517315,528.5240151992707,31.619215035144194,61371.95458909886,0.14279617717671833,0.07911247242359006,0.005193367065154219,93.70147278910574,0.10285096630365323,0.26372332497993095,0.8560407843137257,69856.48931034702,0.14901992848347523,2.110217053007218,0.22197825040273092,1.8448956534080752,89.73946136288531,0.103240615124522,0.2353572208446092
20,220,67.0022,2.28026,31,3.18189,0,106,131,7,125,6,0.98273,60.14661,0.0,0.0,4.5,3.962,1.99645,0.0,0.0,126.0,59.93927,0.00035,0.29,1.356,-1.0,7.441891,0.00538550612867298,0.8336709104938271,0.21177757144561127,160.9714662615677,528.3443094333037,31.655627026970002,61288.15033879882,0.1428958866435079,0.08075593954723032,0.005197080839126341,93.11084181577199,0.10326350373189194,0.2638469563805859,0.855192549019608,69853.98698951586,0.14905649614119745,2.0378456149851987,0.2219506477815315,1.8223392019739018,89.7476428204328,0.10323649808713117,0.23724401339460305
21,221,67.0666,2.33946,31,3.23352,0,106,131,7,125,6,0.98479,60.21506,0.0,0.0,4.35714,3.95,1.90875,0.0,0.0,126.0,59.96706,0.00035,0.29,1.356,-1.0,7.38003,0.005396588937771499,0.6219135802469136,0.2139951974888323,160.44487912004521,528.2392773986613,31.562539371443382,61476.996515150575,0.14299364412139634,0.0825268295376959,0.005217339907017185,93.63267948462446,0.10358778972591712,0.26389117865283196,0.8562937254901962,69986.713949268,0.1491321076397202,2.0038631350448486,0.22193579180013542,1.83600420828187,89.72244845042901,0.10322680176994296,0.23894084048999228
22,222,67.0851,2.5369,31,3.25185,0,106,131,7,125,6,0.98497,60.22292,0.0,0.0,4.17857,3.935,1.95839,0.0,0.0,126.0,59.97036,0.00039,0.29,1.372,-1.0,7.405222,0.005379209940984209,0.5072820216049383,0.20793653046654367,161.38063650817568,528.1387870049139,31.66380102840471,61399.36234234489,0.14329643498425404,0.08368678421308558,0.005200647163976272,93.71800047562752,0.10381403555021787,0.26391353763236985,0.8554674509803922,69930.93605725949,0.14919441366289166,2.000726422540022,0.22193104367324243,1.90136084279176,89.73906316008618,0.10328118324123968,0.24045780592098892
23,223,67.1425,2.53946,31,3.10242,0,106,131,7,125,6,0.98429,60.28533,0.0,0.0,4.35714,3.961,2.13623,0.0,0.0,126.0,59.99536,0.00029,0.28,1.382,-1.0,7.456654,0.005407000350080259,0.5038097993827161,0.2079365304665455,161.5811777673286,528.0937587319866,31.679066599151234,61608.37511752233,0.1436001489617481,0.08425451980237995,0.005200217338230446,93.67945588284833,0.10377968551251777,0.26388849979004164,0.8557650980392157,69996.25661011552,0.14938008817432266,2.0223374032368744,0.22195776051703017,1.986406545559307,89.70250946663428,0.10320584047432348,0.2417924915682606
24,224,67.1073,2.44324,31,3.33851,0,106,131,7,125,6,0.98232,60.24119,0.0,0.0,4.82143,3.941,2.13526,0.0,0.0,126.0,59.97841,0.00035,0.29,1.406,0.45628,7.435224,0.005430568671467713,0.5360243055555556,0.2139951974888267,162.06432956660524,528.0136774088176,31.767254864728013,61454.48422475803,0.14377165621324464,0.08481551880032981,0.005183278311176826,91.28166239386485,0.1038397920060623,0.26388398887072523,0.8553999999999999,69985.56907712671,0.14960733677102553,2.007227889121789,0.22204472983767348,1.7735041125172424,89.73256331622653,0.10324733220946966,0.24298024407627936
25,225,67.1702,2.39627,31,3.21874,0,106,131,7,125,6,0.98554,60.29828,0.0,0.0,4.39286,3.945,2.05276,0.0,0.0,126.0,59.99339,0.0003,0.29,1.351,-1.0,7.494118,0.0054025737735666655,0.7083333333333334,0.2079365304665429,162.13608324567443,527.9638934192747,31.74263000488281,61623.419711408176,0.14400006557264347,0.08538071695560444,0.005182917452567423,93.2505731203565,0.10391611180557635,0.263851208383256,0.8560776470588236,69927.34057919602,0.14971614041529638,1.9675453561868055,0.22206474570874835,1.8389388366015968,89.70154062353735,0.10320510802526371,0.24407968867024749
26,226,67.157,2.36941,31,3.18113,0,106,131,7,125,6,0.99128,60.28697,0.0,0.0,4.42857,3.979,2.00731,0.0,0.0,126.0,59.96161,0.00032,0.29,1.381,-1.0,7.426906,0.005430194861614028,0.7093942901234568,0.21015415650977562,161.55245927401262,527.8887285982154,31.63667485743393,61450.26627546291,0.14420959906163477,0.08613769134388297,0.005160698288753151,93.90920893225325,0.10401899010914077,0.263816457709163,0.8552827450980393,69952.17866539813,0.14990723372118858,1.9565081296059037,0.2220759155693612,1.958767414034833,89.71949729810189,0.10324438347219848,0.24508204223107014
27,227,67.2191,2.37742,31,3.03007,0,106,131,7,125,6,0.98701,60.35758,0.0,0.0,4.0,3.971,1.98545,0.0,0.0,126.0,59.9828,0.0003,0.29,1.442,-1.0,7.435789,0.005429680536594988,0.7139756944444444,0.20793653046654373,162.04774708837186,527.8303654547389,31.732417542257423,61712.76187960548,0.14443228557540289,0.08708746229809224,0.005174190961339839,93.94311682145847,0.10417941659267747,0.2639024652688945,0.8560407843137257,69935.44331844797,0.15012528696235153,1.9444050095207486,0.22208185691477583,1.9636188321641934,89.68921450796023,0.10324522956581002,0.24604991271829355
28,228,67.1364,2.42999,31,3.0982,0,106,131,7,125,6,0.98642,60.27942,0.0,0.0,4.64286,3.959,1.9915,0.0,0.0,126.0,59.92077,0.00029,0.29,1.366,-1.0,7.417669,0.005400962319350934,0.6962287808641975,0.20793653046654922,161.42493211818115,527.7519409918971,31.566984765323593,61457.34369115418,0.14458474540830862,0.08812896276399985,0.005171059308877514,93.9462237699798,0.1042825602534043,0.2638871106178143,0.8551619607843138,69904.55054174863,0.15029124946231243,1.9629213886670092,0.2220576333266936,1.8059608747921307,89.72612376865033,0.1032772507830327,0.24697970904770208
29,229,67.1937,2.54081,31,3.10185,0,106,131,7,125,6,0.98132,60.33719,0.0,0.0,3.82143,3.957,2.03928,0.0,0.0,126.0,59.93863,0.00028,0.28,1.322,-1.0,7.469988,0.005393208636899606,0.7678433641975309,0.21177757144560563,162.03789691211833,527.6724548915311,31.674452228310667,61651.90843221157,0.14473494974229617,0.08913421105398897,0.005157484082860861,93.88513634405808,0.1042831115667036,0.2638944941519991,0.85604,69907.86962283762,0.15050773371631448,2.0188572175913224,0.22204265126222522,1.9932304396205123,89.71888815733124,0.10328162580974502,0.24783549643746844
30,230,67.1488,2.69355,31,3.14695,0,106,131,7,125,6,0.98256,60.2971,0.0,0.0,3.96429,3.953,2.13521,0.0,0.0,126.0,59.8939,0.00035,0.29,1.347,-1.0,7.410423,0.005399184164579055,0.9423225308641975,0.21399519748883175,161.84911853254513,527.5807974161316,31.579230037736306,61496.53841982714,0.14477766614874146,0.08922207127465621,0.0051719462960407294,93.39130628876327,0.10430188459312796,0.26388104692743897,0.8551996078431374,69863.23707881523,0.1507060424442892,2.0678398809882137,0.2219685182554605,1.8729780626197117,89.72125478560787,0.10330343280162153,0.2486267730945042
31,231,67.2434,2.52815,32,3.28276,0,106,131,7,125,6,0.97793,60.38667,0.0,0.0,3.57143,3.961,2.27107,0.0,0.0,126.0,59.89274,0.00031,0.29,1.536,-1.0,7.427173,0.005383656273393546,1.0571469907407407,0.20793653046654426,161.5944627597826,527.5069677052727,31.572359626675826,61663.836763368505,0.14479016036748382,0.08953731169558288,0.005167462453690519,93.6513468368591,0.10433045568941761,0.26399310044151186,0.8559427450980394,69890.79964104109,0.15092179255826563,2.1346872436831634,0.22203040421234554,1.8545304150685364,89.71646085479456,0.10331246684099032,0.24930155678013374
32,232,67.2548,2.30018,32,3.13064,0,106,131,7,125,6,0.98848,60.39881,0.0,0.0,4.25,3.956,2.12557,0.0,0.0,126.0,59.88088,0.00029,0.29,1.366,0.4528,7.441242,0.0053962750642255,1.1466531635802468,0.21399519748883056,161.97964238022897,527.4246277143151,31.617270952389564,61649.58199027937,0.14487052007794154,0.09004815217934371,0.005179852913281951,93.99670938241948,0.10434522176629724,0.2639695118165073,0.8547968627450979,69813.7077571281,0.15113739155834247,2.0764528356311933,0.22203151769216087,2.058662665086586,89.71636898045632,0.10332399877011728,0.24999049926826478
33,233,67.2865,2.07197,32,2.92334,0,106,131,7,125,6,0.99013,60.42739,0.0,0.0,3.89286,3.974,1.92776,0.0,0.0,126.0,59.87223,0.00032,0.29,1.406,-1.0,7.417649,0.00539396852844501,1.2342303240740742,0.21399519748883508,161.19115461919688,527.3575535920855,31.55618210780768,61604.46826476275,0.1449063597476135,0.09073356735599274,0.005188205136539342,93.74550185526601,0.10434351222048202,0.2639916250202847,0.8551698039215687,69859.3838835992,0.15126492915195786,2.035312453894837,0.22206299112155992,1.9536847434376712,89.67894063122779,0.10331902369389705,0.2505587997689366
34,234,67.2607,2.1362,32,2.89907,0,106,131,7,125,6,0.99095,60.39691,0.0,0.0,4.35714,3.953,1.72054,0.0,0.0,126.0,59.85135,0.00027,0.29,1.342,-1.0,7.553637,0.005375683057724632,1.2800925925925926,0.2117775714456073,161.16752573330825,527.2780899313757,31.550613591700426,61618.34570456961,0.14499558865799614,0.0916377684162386,0.005191272184218965,91.6584401249062,0.10435295166780757,0.2640594875966537,0.8540309803921569,69915.14804083535,0.1513347746947702,1.948167195218288,0.22208043820056986,1.9302772517580364,89.69208252973576,0.10331062806103698,0.2511803674357337
35,235,67.3131,2.26245,32,3.06261,0,106,131,7,125,6,0.98998,60.45668,0.0,0.0,4.67857,3.955,1.77887,0.0,0.0,126.0,59.89817,0.00034,0.29,1.414,-1.0,7.484546,0.005371721263550448,1.3955439814814814,0.20793653046655058,161.94964742867217,527.2411571049748,31.616790206344042,61703.00359989142,0.14504276414216452,0.09248375332465192,0.005199700647379023,91.91130759299504,0.10446588975247713,0.26406270329501297,0.8549019607843138,69798.63103149063,0.15113843155203385,1.9512481826166064,0.22209114095066373,1.7120213754209022,89.6657162379797,0.10332326622936924,0.25172542004618964
36,236,67.2522,2.42885,32,3.27843,0,106,131,7,125,6,0.99075,60.39283,0.0,0.0,3.92857,3.944,1.89187,0.0,0.0,126.0,59.89129,0.00035,0.29,1.354,-1.0,7.526634,0.005384369235421121,1.4710165895061729,0.21177757144560325,162.33945280184113,527.1914507787127,31.69416507673852,61559.122394347054,0.1451555022424698,0.09308628148241473,0.005203663471117204,93.56831737190495,0.10458740252798779,0.2640837751063696,0.8543215686274511,69828.25736836609,0.15096502431615716,1.9577311426372754,0.22210263471504307,1.8472250592002775,89.68559632624925,0.10332934154778356,0.25227221623963364
37,237,67.3074,2.54808,32,3.09532,0,106,131,7,125,6,0.99237,60.44278,0.0,0.0,4.17857,3.943,2.04354,0.0,0.0,126.0,59.91386,0.00032,0.29,1.351,-1.0,7.543595,0.005359043729268386,1.5871431327160495,0.20793653046654315,162.02481066024447,527.1734057074709,31.718193336769385,61706.52817566444,0.14518294697833864,0.09351442158806551,0.005182886665511036,93.96532471152493,0.10473271045387374,0.26405986971173373,0.8549019607843138,69997.54178408225,0.15087140382110575,1.9858895321231482,0.22210361009089327,1.8969030051231017,89.66936311830563,0.10333216100364635,0.2527611091222518
38,238,67.2677,2.67353,32,3.11471,0,106,131,7,125,6,0.99141,60.41395,0.0,0.0,3.89286,3.943,2.13994,0.0,0.0,126.0,59.88362,0.00032,0.29,1.315,-1.0,7.484038,0.005351612281889733,1.7002314814814814,0.20793653046654137,160.81284593597272,527.1265585540003,31.657002013406636,61543.233533082566,0.14526619485765163,0.09392156988857149,0.005223838707856785,93.82586508318344,0.10501864394616973,0.26408292590221005,0.8537560784313727,69990.66135057384,0.15074776975737958,1.9963138774306564,0.22212666713038312,1.9193983599810716,89.69791026707222,0.10334109965256956,0.25327209358898173
39,239,67.3772,2.83946,32,3.22565,0,106,131,7,125,6,0.98432,60.52605,0.0,0.0,4.21429,3.942,2.24994,0.0,0.0,126.0,59.93889,0.00029,0.29,1.393,-1.0,7.482029,0.005329938429600228,1.7972125771604939,0.21177757144561074,161.25223536117593,527.1397280949105,31.683695286880305,61861.90713164342,0.1453426707476098,0.09433480044848819,0.005215104289618477,93.85718495927607,0.10493009059160102,0.26404433578953396,0.8546043137254903,69968.43441526765,0.15070740470202487,2.0271644969350033,0.22207349470341023,1.8220917379202468,89.65251113827537,0.10335789306034761,0.253798248154817
40,240,67.318,3.03863,32,3.55534,0,106,131,7,125,6,0.98655,60.46597,0.0,0.0,3.75,3.951,2.39355,0.0,0.0,126.0,59.89775,0.00036,0.28,1.376,0.45975,7.516354,0.005331964475144936,2.072289737654321,0.20793653046654093,160.46943094399208,527.1316982968498,31.65052230269821,61689.961188721405,0.1454953408805069,0.09481345525561602,0.00520828555051929,93.77102870225937,0.10508420389639041,0.26408902472868734,0.8502145098039217,69906.5717274645,0.15071552642520294,2.070641626432051,0.22208470251436396,2.033625566084915,89.6888501898294,0.1033630579400014,0.2542992856860046
41,241,67.3697,3.19229,32,3.66536,0,107,131,7,125,6,0.98724,60.52437,0.0,0.0,4.28571,3.95,2.57289,0.0,0.0,126.0,59.94833,0.00032,0.29,1.461,-1.0,7.466017,0.005347079738776232,2.183449074074074,0.21177757144560502,161.27339143188334,527.1496231651371,31.828769071602526,61832.1365879389,0.14553713982949681,0.0951092194073949,0.005213896648273991,89.21856960891702,0.10495386575901157,0.26405962817485756,0.8515835294117649,70031.81585279819,0.15064779941683917,2.133471637528341,0.22207717129879495,1.9216556813403622,89.63567161045134,0.1033684269293313,0.2547288602364883
42,242,67.3144,3.35932,32,3.67947,0,107,131,7,125,6,0.98974,60.47858,0.0,0.0,4.78571,3.959,2.70216,0.0,0.0,126.0,59.92439,0.00032,0.29,1.372,-1.0,7.531107,0.0053456484296858986,2.283371913580247,0.20793653046654428,160.5135583237589,527.166567534327,31.762166906286172,61626.22077011871,0.1456357864134227,0.09546268303298226,0.005223597000051695,93.82708144708651,0.1051092359987181,0.26411542308823954,0.8501698039215688,70010.50438491795,0.15056214897092018,2.1691822706381845,0.22207098417602783,2.0243302738343076,89.66012955324943,0.10335395896784783,0.2551489181891276
43,243,67.3512,3.55895,32,3.86446,0,107,131,7,125,6,0.9865,60.5306,0.0,0.0,4.46429,3.956,2.85103,0.0,0.0,126.0,59.88528,0.00037,0.29,1.503,-1.0,7.435753,0.005326710944845595,2.4128086419753085,0.2139951974888333,161.58582328198665,527.2012223631376,31.833960262345677,61727.841333742705,0.14565355069481964,0.09580362754173326,0.005220947785543014,93.75998442736936,0.10514511199008561,0.2641895918595605,0.8476619607843139,69995.42412664936,0.15043929427425895,2.237879268439915,0.22207062328945415,1.77981322236335,89.63769461615257,0.1033652761542024,0.2555447242437065
44,244,67.2817,3.75658,32,4.02704,0,107,131,7,125,6,0.98971,60.47074,0.0,0.0,4.57143,3.946,3.02302,0.0,0.0,126.0,59.8573,0.00035,0.28,1.351,-1.0,7.531762,0.0053263051073650656,2.5542052469135803,0.20793653046654328,161.28252434960177,527.2250097894438,31.796126942575714,61418.02690847045,0.145687741235317,0.09617982938869722,0.00519843473262692,93.98024871506595,0.10524555622509205,0.26420205201826086,0.8469843137254903,69852.69042053765,0.1503247654231082,2.2760020531485057,0.22207124341008128,1.8031131517809078,89.66968293953748,0.10335687961544175,0.2558559337676457
