,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,tone,fft,staticness,blur,cubcol.0.5,cubrow.0.6,cubrow.0,cubcol.0.3,cubcol.0.6,cubcol.0,cubrow.0.3,contrast,uhdhdsim,saturation,cubrow.1.0,cubcol.1.0,cubrow.0.5,blockiness,noise,temporal,color_fulness,movement
10,110,30.7735,6.852,21,7.33091,0,108,117,5,136,5,0.98962,31.00617,0.0,0.0,7.5,8.12,5.26304,0.0,0.0,125.0,44.39349,0.0,0.39,3.418,-1.0,1.144617,0.6676580392156862,63783.72599458587,512.0969383388584,5888.958598538947,0.07447359851843598,0.09745685026123278,0.07941151649761376,0.06328459048314214,0.0729442781345067,0.05406105490971596,0.05281190408028892,91.1267996117019,101.00465781669129,58.78012725453318,0.11854683361881399,0.1355448663811882,0.0856485512541487,0.6796636909923969,0.32926908929877613,3.2161624352922824,59.636065752725116,2.0811631944444446
11,111,30.8918,7.29306,21,8.48783,0,108,117,5,136,5,0.99249,31.15268,0.0,0.0,6.46429,8.162,5.87802,0.0,0.0,126.0,44.57229,0.0,0.39,3.753,-1.0,1.057842,0.6720227450980393,63732.95968793573,511.31555008682926,5965.105757421115,0.07354400443953428,0.09735365730758949,0.07892186108824273,0.06333663002167503,0.07426386967559097,0.05330387348925949,0.05201633668249879,94.50447014699644,100.96857230486405,57.07109955210744,0.11897837883706402,0.13582126435967595,0.08541733847966984,1.1230375934125774,0.3314867153420002,4.003130988316438,59.24217923655646,2.552179783950617
12,112,31.1102,7.29904,21,9.13412,0,108,119,5,136,5,0.9986,31.44513,0.0,0.0,6.60714,8.215,6.3232,0.0,0.0,128.0,45.16782,0.0,0.38,3.546,-1.0,0.981036,0.680186274509804,63789.08244582695,508.8965619952565,6090.195090307409,0.07308398387260066,0.09751402005270504,0.07859120056139021,0.06350754788630877,0.07523740696055047,0.052564797172546605,0.05136550270912561,91.05976910694504,100.91073733222295,50.53641274534626,0.1193912019874987,0.13490862509716953,0.08498814616493401,1.204014522763024,0.3353277563210726,4.8249240216357405,59.164540166437405,12.124180169753087
13,113,31.2407,7.36359,21,8.52334,0,108,119,5,136,5,1.00713,31.54899,0.0,0.0,7.0,8.19,6.25333,0.0,0.0,128.0,45.13072,0.0,0.39,4.665,-1.0,0.997393,0.6796591372548993,63730.94475086004,507.13714500348783,6192.721897674811,0.07251450116604519,0.09759190413755638,0.07808197059519185,0.06334205875569664,0.07602565299685353,0.052434103913561486,0.05081886845380032,93.20566153196158,100.89518769257015,50.78155366874035,0.11965677555306452,0.1328893895324271,0.08455009546313343,1.0222453797900268,0.3314867153420097,3.437232102355464,59.299833923362335,11.208960262345679
14,114,31.5202,7.09656,21,8.3744,0,108,119,5,136,5,1.00932,31.8064,0.0,0.0,5.75,8.174,6.3102,0.0,0.0,128.0,45.13718,0.0,0.39,3.212,-1.0,0.989576,0.6797108823529386,63494.79030563371,505.87765588522893,6307.066623247682,0.07182060959956021,0.09785193809234742,0.0778673763540461,0.0631909154139644,0.0768543881525501,0.05246463293061232,0.05032247451680458,88.65061851738761,100.86091508558376,50.69907030647184,0.12010171244649412,0.12980681888918158,0.08441897132241652,1.3351563482610092,0.33148671534201424,3.3510643146461785,59.13653068243113,2.4966242283950617
15,115,31.6409,7.32832,21,7.5692,0,108,119,5,136,5,1.00385,31.91184,0.0,0.0,6.64286,8.154,6.07833,0.0,0.0,128.0,45.10628,0.0,0.39,3.588,-1.0,0.986518,0.6794196078431373,63495.14472252219,504.94920385201345,6378.402616382331,0.07092733072461871,0.09833482095388486,0.07755197984587218,0.06307657291656611,0.0775984841186964,0.05200925130627993,0.049908275643360596,88.84946956125458,100.84145367116489,50.70988897629726,0.12015717478832103,0.12700238258054333,0.0844327589608101,1.530668213243495,0.3314867153420122,3.248485075461149,59.11894933782385,3.503713348765432
16,116,31.5695,7.27329,21,7.59572,0,108,119,5,136,5,1.00369,31.84581,0.0,0.0,5.21429,8.152,6.2826,0.0,0.0,128.0,45.02113,0.0,0.39,4.011,0.35404,0.975434,0.6790596078431372,63534.31149139623,504.26436891645017,6368.900567019543,0.07033666967461198,0.09849136466554843,0.077068386831804,0.06333513784033797,0.07824686334458088,0.0513090008328024,0.0496953731292013,91.98445496653329,100.8462004271732,50.798784420814044,0.11987143693436278,0.1251157061056715,0.08419623591302357,2.1065236559472544,0.3314867153420115,3.3056095836698876,59.0681384757314,3.5551215277777777
17,117,31.2173,7.28275,21,7.9357,0,108,119,5,135,5,1.00252,31.4788,0.0,0.0,6.35714,8.176,6.26418,0.0,0.0,128.0,44.69241,0.0,0.39,4.155,-1.0,1.028619,0.6773435294117647,63508.942524079524,502.96140466667873,6191.1745373062595,0.07004604536826418,0.09830942119212308,0.07666455645289307,0.06357141374369571,0.07856356421979416,0.0511239529256931,0.04954634771278743,91.31069897414467,100.90566374658502,49.7073008219401,0.11978707711767678,0.12334344395579572,0.08396606504231394,1.2119690027692012,0.33148671534200935,3.9511770512115216,60.82256925924931,3.363425925925926
18,118,30.8415,7.08391,21,7.94167,0,108,119,5,135,5,1.00337,31.07825,0.0,0.0,4.10714,8.144,6.26961,0.0,0.0,128.0,44.42966,0.0,0.39,3.322,-1.0,1.071773,0.6735137254901962,63542.53369043978,501.35558926226594,6007.5336106985,0.06986343183636931,0.09819785227326837,0.07655558439336665,0.06368484891066775,0.07849905432334764,0.05068116270182645,0.049411838571472376,94.36603480600388,100.96991079040626,48.58685491114487,0.1205293579962783,0.12194034977434531,0.0835667994757266,0.9889423097260213,0.33148671534200846,3.949949495366555,66.13364523162035,3.458429783950617
19,119,30.7901,7.50324,21,7.51318,0,108,119,5,135,5,1.01128,31.03232,0.0,0.0,5.0,8.133,6.07303,0.0,0.0,128.0,44.41579,0.0,0.39,4.078,-1.0,1.089009,0.6707979607843082,63682.158792021466,499.9925674229858,5971.173416195015,0.0695529961322156,0.09801202374099936,0.07653455856545252,0.06378249678030487,0.0782431799445717,0.05014261739902948,0.04911519285076687,94.27946865932307,100.99236245681121,48.58044377079717,0.12107472729117986,0.12045756594667179,0.08348131995461028,0.9149137598770176,0.3314867153420083,3.3820202335792593,66.15028632308804,3.4774305555555554
20,120,30.8376,7.58183,21,8.12685,0,108,119,5,135,5,1.00558,31.1156,0.0,0.0,5.42857,8.159,6.44037,0.0,0.0,128.0,44.38332,0.0,0.39,4.388,-1.0,1.061249,0.6693898039215685,63544.20092001252,498.87554338303346,6016.152403451724,0.06921230649195714,0.09776425398380333,0.07642100284736024,0.06448446716171538,0.07786103648753574,0.04986241722561904,0.04891857085400598,88.8282113099337,100.95714470078063,48.510176858784234,0.12110110398993386,0.11848522551420182,0.08320524508490551,1.203305604011103,0.33148671534200874,3.553831776155123,65.62484042646818,4.744888117283951
21,121,30.7096,7.39386,21,7.57127,0,108,119,5,135,5,1.00266,31.02811,0.0,0.0,7.46429,8.212,6.51583,0.0,0.0,127.0,44.38032,0.0,0.39,4.696,-1.0,1.079386,0.6703639215686275,63558.29047460386,497.95756751411136,5934.0749340699695,0.06866930378745968,0.0976575976787943,0.07842221108041873,0.06421339269105066,0.07741289723290015,0.05032009249608541,0.04879913564295531,95.08321162754604,100.97453458263011,48.536259969075516,0.12129490613464136,0.11665256732563989,0.08292380648788227,1.2640030623110452,0.33532775632106854,3.4953182559887375,65.78267554533008,4.987750771604938
22,122,30.7871,7.28807,21,7.26618,0,108,119,5,135,5,0.99937,31.11142,0.0,0.0,9.5,8.163,6.35822,0.0,0.0,127.0,44.28302,0.0,0.39,3.961,-1.0,1.071883,0.6699474509803922,63590.474768915105,497.19906979053184,5957.792508782632,0.06843937162551687,0.09779990592723499,0.077917663290354,0.06414157195286922,0.07725303053138155,0.051124855356808815,0.048665834431123316,94.93524304962725,100.97199635947648,48.393457294982156,0.12162009185032718,0.11522428614041913,0.08270106763958442,1.236517289077606,0.3314867153420094,3.5181131284493827,65.54641225648407,4.9453125
23,123,30.6698,7.13761,21,7.1948,0,108,119,5,135,5,0.99562,31.03186,0.0,0.0,7.35714,8.166,6.25752,0.0,0.0,128.0,44.25914,0.0,0.38,4.527,-1.0,1.081169,0.6695547647058815,63535.70118571902,496.5521247164247,5850.444773653609,0.06836942417954446,0.09800054647902458,0.07878679882896837,0.06416891900687602,0.07710816417945573,0.052463987031069866,0.048628933408578094,94.76278424797871,100.99032210556025,48.42352502139998,0.12198600028824884,0.11415788990075519,0.08272237466153205,1.0981791958159333,0.33148671534201163,3.515443085142546,65.5412710150341,4.693045910493828
24,124,30.3654,6.99603,21,7.33186,0,108,119,5,135,5,0.99545,30.76039,0.0,0.0,4.21429,8.162,6.1238,0.0,0.0,128.0,44.18994,0.0,0.39,3.898,0.33115,1.033518,0.6667172549019609,63720.74249028247,495.98737973072815,5687.304021554003,0.06826931820826487,0.09831818833661372,0.07926568044217587,0.06420177386539394,0.07669911874555879,0.053526389413306494,0.04850440888487184,90.83661469469284,101.04598317930234,48.66316411524643,0.12237302995947562,0.11351768697706538,0.08254150648793611,1.0254604018727835,0.3314867153420099,3.6176925201742467,65.62848150687321,4.322820216049383
25,125,30.3977,7.24158,21,7.22601,0,108,119,5,135,5,1.0066,30.80196,0.0,0.0,4.53571,8.197,6.01976,0.0,0.0,128.0,44.23368,0.0,0.39,3.92,-1.0,1.077542,0.6640921568627451,63659.95614644744,495.50229855371254,5677.351397422029,0.06808160108705143,0.0986586661678722,0.0795014293218762,0.06416464538214324,0.07632632456100513,0.05394949746510493,0.04839619368173213,92.99647608920392,101.04147811902008,48.618719595449946,0.12267335451050683,0.11308088448585886,0.08210265726117813,1.2011407133629535,0.3353277563210704,3.6726098063028494,65.55393734101473,5.320023148148148
26,126,30.6074,7.43573,21,6.95675,0,108,119,5,135,5,1.00808,31.02165,0.0,0.0,5.64286,8.139,6.25189,0.0,0.0,128.0,44.34959,0.0,0.39,3.818,-1.0,1.044161,0.6653701960784315,63895.28374534879,495.0757350069818,5754.092680629618,0.06772773753183291,0.09894302395444184,0.0789580274064469,0.06388202338415383,0.07595106042816656,0.054619230965999924,0.04824377065174835,91.46324949887753,101.01078399388308,48.70546524612992,0.12312107079463734,0.11236401164373813,0.08189447799303985,1.131115754752396,0.33148671534201185,3.6549882851675375,65.67549701365597,5.457175925925926
27,127,30.6088,7.19432,21,6.75575,0,108,119,5,135,5,1.00522,31.06646,0.0,0.0,5.28571,8.198,6.4444,0.0,0.0,128.0,44.40328,0.0,0.39,3.29,-1.0,1.063527,0.6669552941176471,63677.71412084528,494.7420996349202,5764.3335283276565,0.0676081612939839,0.0992627178179818,0.07891528535924239,0.06364084563927314,0.07570396061700187,0.0565010746758651,0.04817882050179175,93.23175597291291,101.0077055476066,48.63778516981337,0.1234547596214654,0.11192831483862443,0.08178119725897978,0.8116840529589716,0.33148671534201185,3.6072641991642387,65.96770701183699,5.391927083333333
28,128,30.7121,7.22711,21,6.68105,0,108,119,5,135,5,1.00027,31.16411,0.0,0.0,5.53571,8.292,6.21908,0.0,0.0,128.0,44.44,0.0,0.39,3.657,-1.0,1.034948,0.667052549019608,63598.74325592828,494.47903733227685,5832.425220654822,0.06763652021963085,0.09950043868914647,0.0788020070562789,0.06349857505547898,0.07550417959041388,0.05825011346212359,0.04830701640272909,95.00536275436677,100.97613418526548,48.868577933605806,0.12360208242628656,0.11145206264134012,0.08148784464027907,1.6640808720096318,0.33148671534201274,3.5414686990786035,66.06202000130186,5.20727237654321
29,129,30.9703,7.02264,21,6.46936,0,108,119,5,135,5,0.99963,31.38678,0.0,0.0,5.46429,8.211,6.21799,0.0,0.0,128.0,44.43243,0.0,0.39,3.121,-1.0,1.031438,0.6672160980392154,63791.17063799967,494.2493045121288,5945.694063779096,0.0677495993825485,0.09951828903567869,0.07868311082796439,0.06346360012008093,0.07511575033535212,0.06005168440506861,0.04857258787285407,93.86001640216918,100.94346367581247,48.909908906913095,0.12387706122338785,0.110982564667198,0.08122980920223204,0.8843846940582071,0.3353277563210693,3.4747426037839753,66.31149783094043,5.282166280864198
30,130,30.9992,7.05914,21,6.50891,0,108,119,5,135,5,1.00359,31.42721,0.0,0.0,7.42857,8.273,6.02352,0.0,0.0,128.0,44.40831,0.0,0.39,3.169,-1.0,1.045242,0.668261568627451,63802.63340536983,494.0939131173816,5919.961469204965,0.0678567356716727,0.09960105139329231,0.07871224457548365,0.0633760240437794,0.07472016858560145,0.06270273482997865,0.04893015751092623,94.77330640210556,100.94624503397866,48.8912607828776,0.12392116976130547,0.11108682693778806,0.08125639007472348,1.3618416068856445,0.3353277563210711,3.4582497340408813,66.40336044996305,5.65162037037037
31,131,31.0028,6.78289,21,6.62631,0,108,119,5,135,5,1.00296,31.4411,0.0,0.0,5.96429,8.314,6.05272,0.0,0.0,128.0,44.39282,0.0,0.39,3.476,-1.0,0.985623,0.6677756862745098,63872.825028453415,493.9858486460505,5929.123481188075,0.06823822221733329,0.0998206149257468,0.07863912070550218,0.06314877535080052,0.07438441667421736,0.06442053622055276,0.04919863324296588,92.93891061642933,100.93711356756536,48.8540182231385,0.12405557445379217,0.11153222270000206,0.08127406401713501,0.9122455450031385,0.33532775632107326,3.468546966956855,66.01689007572625,5.503375771604938
32,132,31.0162,6.35098,21,6.47832,0,108,119,5,135,5,1.00021,31.4326,0.0,0.0,5.21429,8.244,5.82265,0.0,0.0,128.0,44.35265,0.0,0.39,3.49,0.32446,1.047408,0.6668670588235295,63831.273932123586,493.9063825477696,5964.373457733121,0.06783327783403961,0.10002084523995186,0.07855025331333154,0.06300696924452999,0.07409594616865244,0.06689775437801446,0.04941323364733286,90.94056532201566,100.94818555533813,49.10987929355951,0.12462370770457228,0.11108038991442722,0.0812741756532632,1.1211878988462611,0.3353277563210724,3.4395455006481317,66.41351541787269,5.287374614197531
33,133,31.0177,5.58178,21,6.69888,0,108,119,5,135,5,0.99696,31.43084,0.0,0.0,5.75,8.21,5.45213,0.0,0.0,129.0,44.30481,0.0,0.39,3.201,-1.0,1.036992,0.6671050980392158,63809.83397465664,493.88514417045553,5980.703981184447,0.06781129347020726,0.1002098100776515,0.07851823502005109,0.06292758048943066,0.07397544408996877,0.0694242478037243,0.04966353363638833,95.00950500929578,100.9359331566177,49.204865443853684,0.12482969033824298,0.11023227428198869,0.08106064043025407,1.2324073970733032,0.3353277563210734,3.405929167130806,65.87497632179674,5.23755787037037
34,134,31.0481,5.51366,21,6.15417,0,108,119,5,135,5,1.00647,31.47958,0.0,0.0,6.25,8.243,4.78574,0.0,0.0,129.0,44.28781,0.0,0.39,3.203,-1.0,1.02935,0.6685564705882353,63757.23072040865,493.8597834886513,5970.714081840401,0.0678229730656951,0.10052212376258897,0.0784982117107854,0.06297471032030695,0.0738445813813514,0.07070794267687434,0.04988139220277243,93.55555103798874,100.92492907352288,49.47803544409481,0.12455582802285141,0.10966659218178101,0.08083702237482492,1.027379246743361,0.3353277563210706,3.366702668338249,65.51759049016748,5.423466435185185
35,135,31.0899,5.31606,21,6.16724,0,108,119,5,135,5,1.00904,31.51339,0.0,0.0,7.17857,8.163,4.73669,0.0,0.0,128.0,44.25657,0.0,0.39,3.493,-1.0,1.018846,0.6669188431372534,63908.461182663596,493.8421944177293,5994.120033455846,0.06778092659755272,0.10071194415290546,0.07831630680261656,0.0629346608670882,0.07373004795437378,0.07393616335465306,0.050064126212720245,94.25419637511303,100.93095984047474,49.28026251145351,0.12444499232183714,0.10922839400270101,0.0808561744440943,0.8681463233139891,0.3314867153420132,3.4222376057479518,65.65181619919139,5.92529899691358
36,136,31.1715,5.41076,21,6.3009,0,108,119,5,135,5,1.00138,31.58769,0.0,0.0,6.28571,8.198,4.57081,0.0,0.0,128.0,44.2829,0.0,0.39,2.657,-1.0,1.032418,0.6668074509803923,63753.5131306195,493.8460270214407,6057.405939280286,0.06762537099961707,0.10083089928064436,0.07803692674105042,0.06287169813459922,0.0735956487409392,0.07610097047590511,0.0502959615546017,93.08489361390667,100.91051792023775,49.24369265709394,0.12447985297104791,0.10878861399059125,0.08066245351503122,1.0238288066957246,0.3353277563210723,3.4016475588998247,65.78383956629835,6.179542824074074
37,137,31.3315,5.36524,21,6.13347,0,108,119,5,135,5,0.98938,31.74125,0.0,0.0,5.92857,8.209,4.64602,0.0,0.0,129.0,44.31573,0.0,0.39,2.638,-1.0,1.024417,0.6679164705882353,63761.52288323457,493.8517868574275,6111.849970832615,0.0675326527205671,0.10093372502962847,0.07783361841080942,0.06271537709916948,0.0734566313984005,0.07800571054230246,0.05045404545674219,94.2740407327319,100.89113873675997,49.50505574544271,0.12445038841966821,0.1081374090832755,0.08046955941999556,1.3856373593110225,0.33148671534201035,3.4391315806183664,65.60637651204786,6.1694155092592595
38,138,31.3965,5.3393,21,6.30297,0,108,119,5,135,5,0.99203,31.80123,0.0,0.0,7.71429,8.181,4.59763,0.0,0.0,128.0,44.33846,0.0,0.38,2.976,-1.0,1.082315,0.6688163725490172,63731.88644219176,493.87234501454793,6126.469226842128,0.06760182836313561,0.10103737469319508,0.07770626039780568,0.06254420962496327,0.07332424399910939,0.07931035340536308,0.05064656855702741,89.11714447756145,100.89518723195708,49.22304751549238,0.12450516475002528,0.10758552546456635,0.08045691920654331,1.3771575728470107,0.3314867153420118,3.4862792078035536,65.42425731075247,6.257426697530864
39,139,31.362,5.40923,21,6.30926,0,108,119,5,135,5,0.99499,31.77163,0.0,0.0,6.28571,8.167,4.57624,0.0,0.0,128.0,44.31487,0.0,0.39,2.664,-1.0,1.073125,0.6672956862745097,63682.58303907574,493.9059842214981,6105.158857913321,0.06766532547666161,0.10111327858727907,0.07748637165617375,0.062414099737659566,0.07322572927631624,0.07998111592598371,0.050883909176089544,94.12380647013457,100.90835249878951,49.21142672315056,0.1245094133955729,0.10702634131129507,0.0804106540383577,1.4332474252207803,0.3314867153420127,3.477063569280092,65.75898704551219,6.378327546296297
40,140,31.3968,5.80097,22,6.65229,0,108,119,5,135,5,1.00327,31.83087,0.0,0.0,5.57143,8.214,4.63438,0.0,0.0,128.0,44.32791,0.0,0.39,2.738,0.33449,1.036174,0.6675180392156862,63682.58736316917,493.92682430665377,6120.833713905208,0.06763184559588513,0.10138871481793724,0.0772629214954868,0.06237377462025107,0.07306573488113895,0.08036518985327809,0.051002583114443584,88.61831405358872,100.87617105249939,49.353814772617675,0.12462941259613856,0.10666528844449864,0.08015077262439634,0.9332648321565041,0.33754538236429515,3.513623429988975,65.77333167861129,6.90600887345679
41,141,31.5747,6.58841,22,7.06634,0,108,119,5,135,5,1.00118,32.0208,0.0,0.0,6.28571,8.184,4.97202,0.0,0.0,128.0,44.36592,1e-05,0.39,3.37,-1.0,1.012483,0.6674729411764706,63777.43549064669,493.9031281191114,6224.234155364081,0.06749110346235285,0.10172533517734035,0.07716486350586829,0.0623359293756884,0.07323482264822119,0.08068707601777295,0.05120217264902097,92.88834357422962,100.83878821279146,49.32155769253955,0.12456128363883169,0.10696878995889822,0.0800540373411806,1.149867527217886,0.3353277563210732,3.633960783331906,65.86669958699974,7.33960262345679
42,142,31.3628,6.77016,21,8.25286,0,108,119,5,136,5,1.00486,31.75751,0.0,0.0,6.25,8.228,5.69973,0.0,0.0,127.0,43.84072,0.0,0.38,3.178,-1.0,1.062817,0.6561196078431373,63734.0182966085,493.9302187806057,6110.939843290338,0.06733370589305743,0.10190324425294454,0.0770632892757919,0.06227772593844773,0.07293627214111066,0.08098038587671055,0.051420253520884494,94.5851672982961,100.91058893649745,49.88468782401379,0.12449580020010398,0.10670300539989291,0.07987575222922469,1.6488162577458714,0.33148671534201074,4.139461163984736,60.519239101809845,7.769675925925926
43,143,31.373,6.99395,21,8.25281,0,108,120,5,136,5,1.0097,31.78883,0.0,0.0,6.96429,8.356,5.81523,0.0,0.0,126.0,43.71381,2e-05,0.39,3.101,-1.0,1.077511,0.6521980392156863,63729.0848041416,493.9701048943301,6118.529275643505,0.06734812144828338,0.10223249662385578,0.07677338236902724,0.062198066543379955,0.07266581340829636,0.08178298771124365,0.051542348852662546,89.09844242357381,100.89766741746692,49.92739792812018,0.12424888444589428,0.1059672612973356,0.07956052299594599,0.8703817292532838,0.3314867153420096,3.776658203179363,59.66911738483699,8.240644290123457
44,144,31.6067,7.1645,22,8.56852,0,108,120,6,136,5,1.01216,32.0317,0.0,0.0,6.03571,8.327,6.02137,0.0,0.0,126.0,43.8691,0.0,0.39,2.678,-1.0,1.049171,0.653598431372549,63779.973121221614,494.06845978447814,6240.050828632193,0.0673891811967504,0.1026062974399533,0.07650992735358204,0.06214595733907239,0.07233921067906966,0.08307769652496934,0.051706943313727556,88.68443158096679,100.85576788808717,48.91867329161844,0.124218728961153,0.1056118141012501,0.07940502014442337,1.0252731832745783,0.3314867153420089,4.292279692972693,60.52226506278591,8.560522762345679
