,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0.3,cubcol.1.0,blockiness,fft,saturation,color_fulness,cubcol.0,cubrow.1.0,cubrow.0,cubrow.0.3,cubcol.0.5,cubcol.0.6,cubrow.0.5,temporal,tone,uhdhdsim,movement,noise,cubrow.0.6,contrast,blur,staticness
10,10,57.3807,11.4771,67,19.9458,0,88,123,19,128,11,0.99246,57.68194,0.0,0.0,0.14286,4.048,10.3777,0.0,0.0,116.0,34.66033,0.00321,0.55,1.188,-1.0,0.152847,0.2136810831795235,0.08769284513574087,5.565659753409172,69993.26681282169,39.22391707808883,151.05211955329588,0.1773600510297101,0.07331677974498213,0.11549432758034756,0.1359357805758895,0.17180373263255846,0.16817991399611953,0.19142286863125715,4.886614876489827,0.36560319506651295,84.26656797790793,4.134789737654321,0.8444576670181577,0.16305664103571707,84.928342445335,16432.513473138373,213.37865179682123
11,11,57.3501,11.8603,67,19.0818,0,88,123,19,128,11,0.98087,57.66241,0.0,0.0,0.14286,4.058,9.84691,0.0,0.0,115.0,34.67545,0.00309,0.55,1.252,-1.0,0.154599,0.2124284866067395,0.089013944875945,5.840195771843548,70139.77458557677,39.46668064447097,150.61906886432357,0.1739445976539414,0.07329165636062868,0.11424802643953949,0.13776979390237665,0.174032065967328,0.1691092852629384,0.1913774829136801,4.596989650881176,0.3660050816147636,84.28921146951143,4.170958719135802,0.8448926597391916,0.16355141796586925,87.98980012118828,16164.721057188586,212.34280883510098
12,12,57.4106,11.2453,67,19.5737,0,88,123,19,128,11,0.988,57.71423,0.0,0.0,0.17857,4.076,10.17781,0.0,0.0,115.0,34.68616,0.00321,0.55,1.224,-1.0,0.140668,0.21285127081547064,0.08965335717672325,5.336877661457349,69706.66693149804,39.33200770248602,150.88753881053103,0.17296139904584787,0.07364342532970038,0.110565060816729,0.13857749502737154,0.17273212166942303,0.16936262416829342,0.19135332836359803,4.706457105958402,0.36642932788312194,84.29770099117138,3.4723186728395063,0.8450518781255517,0.16366002898378237,87.03222387686121,16276.678894013414,211.33401790630728
13,13,57.2799,11.3219,67,19.6534,0,88,123,19,128,11,0.99112,57.58261,0.0,0.0,0.17857,4.068,9.64409,0.0,0.0,115.0,34.69369,0.00329,0.55,1.227,-1.0,0.155369,0.214364416571373,0.08996778603450305,5.2646540813677225,69524.9951043107,39.16299815236786,150.79152539045091,0.17412490148824783,0.0733004645979046,0.10771128798677379,0.13889591737982193,0.17407849347143348,0.1689749813347271,0.19106090423550395,4.552359301745784,0.3690457498931181,84.29560439702044,3.1528742283950617,0.8460810819539896,0.164409713454596,87.30856276705546,16060.552617251073,210.4053573911275
14,14,57.2554,11.6483,67,18.5505,0,89,123,19,128,11,0.98161,57.56293,0.0,0.0,0.07143,4.053,9.71046,0.0,0.0,115.0,34.68692,0.00307,0.54,1.22,-1.0,0.145565,0.21087610100695506,0.09047747204209115,5.890595968664758,69254.58851868869,39.11406999752845,150.11182727546108,0.175553658140431,0.07277742106041009,0.10483333188872745,0.13912643551872983,0.17371058984628088,0.16842018654553104,0.19101333533553036,4.52637264111843,0.3697046438692811,84.2904655956096,2.951003086419753,0.8444576670181566,0.16418566030981724,84.74216466180155,15809.837844006994,209.50750774086154
15,15,56.8526,11.7517,66,20.4788,0,89,123,19,128,11,0.97963,57.16589,0.0,0.0,0.17857,4.056,9.99355,0.0,0.0,115.0,34.67342,0.00304,0.55,1.186,-1.0,0.139889,0.20989889447955226,0.09128805328532938,4.8788744683805225,69228.5450728777,39.093489847065484,150.91868450168485,0.17892457041542315,0.07217654683833366,0.10291963533566958,0.14005936924875928,0.17550475053253478,0.16735707973649125,0.19063716117393467,4.790395782214367,0.3694180897777776,84.42733806022986,4.473572530864198,0.8378047888884649,0.16366903571708247,84.96294870341241,15508.623145897702,208.6448205658871
16,16,56.7154,11.9744,66,20.3943,0,89,123,19,128,10,0.99041,57.06104,0.0,0.0,0.10714,4.059,10.08239,0.0,0.0,116.0,34.6755,0.00347,0.55,1.201,0.12603,0.160554,0.20948304831862966,0.09210833248596201,5.082238400752929,68951.67627592574,39.22535686728395,150.3341981593071,0.18032059787529783,0.0719613446721762,0.10132339393092625,0.13946332524059324,0.17390226295216105,0.16673906900321117,0.19050220049745353,4.662071822344389,0.3674094407750865,84.3804975157512,4.7253086419753085,0.8378047888884659,0.16380141371811255,80.89477218937415,15193.506069073263,207.81389218600017
17,17,56.5086,11.2792,66,20.7341,0,89,123,19,128,10,0.98378,56.86925,0.0,0.0,0.03571,4.05,10.27316,0.0,0.0,116.0,34.68696,0.00326,0.55,1.222,-1.0,0.151779,0.20935521356794864,0.09321594874974345,4.886089405079555,68766.37522144755,38.95868070625965,150.2420277498499,0.18293935842201178,0.07153484439231879,0.10100456110820917,0.1392685623870957,0.17361980410308198,0.1667675831831628,0.18967193017212106,4.803564485965951,0.37195331110188395,84.45442361409755,5.0141782407407405,0.8378047888884644,0.16446704707671425,82.44274966941423,15025.67729799463,206.9374019036343
18,18,56.5656,11.1613,66,18.4213,0,89,123,19,128,10,0.99495,56.90625,0.0,0.0,0.03571,4.048,9.67598,0.0,0.0,116.0,34.70642,0.00279,0.55,1.274,-1.0,0.154083,0.20885212923312463,0.09430022072065666,4.220767812995082,68950.1802153194,39.151486055350595,150.41687136769104,0.18312245604997637,0.07132875820275418,0.10027187984846024,0.14038775022808658,0.1732371228437977,0.16636525008832034,0.18890354897695924,4.693190201996861,0.3748685338685122,84.41010824664158,4.838782793209877,0.8378047888884638,0.16564016833011175,78.59373589354823,15062.2848361382,206.11884166485117
19,19,56.8292,10.9986,66,18.7874,0,89,123,19,128,11,0.99077,57.16674,0.0,0.0,0.0,4.023,9.57374,0.0,0.0,116.0,34.72183,0.00308,0.56,1.183,-1.0,0.144953,0.20675617929712806,0.09544157927549124,4.798594811129908,69044.64568349646,38.74082909101321,149.96036824820507,0.1848800965817938,0.07084581660242194,0.09874529921778345,0.14096560763470758,0.17275027765686293,0.16632714962284262,0.18823792014942486,4.501352909480582,0.3750255452518263,84.30273104922532,4.682918595679013,0.8394282038243,0.16748310137557482,88.85244209831994,15206.615626542312,205.30882796660524
20,20,56.3806,11.1266,66,18.3589,0,89,123,19,128,11,0.99449,56.76106,0.0,0.0,0.0,4.04,9.43245,0.0,0.0,116.0,34.7197,0.00302,0.55,1.218,-1.0,0.150272,0.207490934363104,0.09619136280480987,4.130531369104664,68743.73052554914,38.7788990162037,149.11435731032455,0.18925546385842326,0.07125563735310698,0.09753058952272925,0.14103574137284297,0.17379864134786943,0.16668226513208761,0.18798510589733133,4.382998805622994,0.3772742810918877,84.36844754572739,5.924286265432099,0.8378047888884654,0.16882299013209878,89.31718813537064,14603.714159132556,204.5336540010708
21,21,56.4115,11.0186,66,19.3272,0,89,123,19,128,11,0.99359,56.7733,0.0,0.0,0.03571,4.051,9.54664,0.0,0.0,116.0,34.73184,0.00329,0.55,1.31,-1.0,0.149995,0.2075174364306453,0.09690669285079347,4.331193818301975,68752.10672863957,38.38430465886623,148.97348873967684,0.1951392477637146,0.070903469905812,0.09725833430711983,0.14112132018248782,0.1750975578928191,0.1674673276597464,0.18795544892439722,4.379343926649363,0.3775654291733949,84.37316412633973,5.543643904320987,0.8378047888884645,0.16977847582474312,88.15589941361432,14486.125917711284,203.77221205957653
22,22,56.3186,10.8983,66,19.343,0,89,123,19,128,10,0.98595,56.68701,0.0,0.0,0.07143,4.02,9.45447,0.0,0.0,116.0,34.7256,0.00298,0.55,1.246,-1.0,0.160104,0.2071427793639457,0.09726234986343646,3.869738644753949,68684.28871234036,38.451122331030575,149.30770312196717,0.194285774619217,0.07135531792893272,0.09609069413513838,0.14150818719121064,0.17654892665477337,0.16951360905978724,0.1877585791996903,4.7059106216338815,0.38279843284890425,84.41379692265278,5.496238425925926,0.8378047888884623,0.1700234235117831,80.17499524280412,14326.655670585706,203.0855028995105
23,23,56.4202,10.7693,66,18.8794,0,89,123,19,128,10,0.98781,56.7865,0.0,0.0,0.17857,4.027,9.34882,0.0,0.0,115.0,34.71234,0.00341,0.55,1.315,-1.0,0.151884,0.20751873364135562,0.09729393815418622,3.9735091520380883,68504.80883218591,38.773595927674094,149.51906798643546,0.1897616813363673,0.07147212611075553,0.09625452806969517,0.14145109794650365,0.17703330722137262,0.17243587963458287,0.18747214193435535,4.74115456929518,0.38393888065205695,84.36484021192882,5.576726466049383,0.8378047888884655,0.16971164032229893,91.00900804963348,14374.033939691542,202.443038681509
24,24,56.4237,10.9609,66,18.2957,0,89,123,18,128,10,0.98871,56.81599,0.0,0.0,0.10714,4.013,9.23579,0.0,0.0,115.0,34.71651,0.00315,0.55,1.22,0.125,0.138883,0.2096430759585601,0.09701731188243745,4.34726848632788,68571.94392451875,38.557366830331304,148.93525848076726,0.18883843303036443,0.07165661024676359,0.09543305525362447,0.14141803806800457,0.1761868272872916,0.1735919583094533,0.18719438355106557,4.636372994012567,0.38970081010073054,84.37279706766904,5.871286651234568,0.8444576670181542,0.1696514484326846,85.48689504684776,14359.13899528307,201.79937166623338
25,25,56.2275,11.186,66,18.3103,0,89,123,18,128,10,0.97282,56.61578,0.0,0.0,0.10714,3.998,9.40015,0.0,0.0,115.0,34.68392,0.00285,0.55,1.221,-1.0,0.141956,0.20852903518409052,0.0966163589715054,4.26494281509798,68507.02885841533,38.54117386429398,149.35654396063495,0.1863143121724163,0.07215250587397391,0.09537158765625077,0.14154495706139392,0.17547093348537715,0.17444564601608986,0.1868854876036055,4.8553863943380495,0.39494430366166855,84.44860608219821,7.1353684413580245,0.8378047888884647,0.16905936485693818,88.81495613006655,14120.225077934958,201.1747675240576
26,26,56.2814,10.9,66,19.8421,0,89,123,18,128,10,0.98365,56.70662,0.0,0.0,0.03571,4.003,9.59164,0.0,0.0,114.0,34.67548,0.00319,0.55,1.269,-1.0,0.168476,0.20933956664847975,0.09627699905822136,4.4411875977817346,68439.12450921843,38.332480724946954,149.48492946182802,0.18333344236434387,0.07144851446927102,0.09613267541895991,0.1413904136270357,0.17494648170307356,0.17368059769591504,0.1870217998735455,4.819755350068762,0.3978700588235293,84.34209266102606,7.31274112654321,0.8450518781255534,0.1686907382254341,91.69983768925759,14219.655594059705,200.54530358465578
27,27,56.4157,11.1063,66,18.7626,0,89,123,18,128,10,0.98431,56.85381,0.0,0.0,0.0,4.016,9.34722,0.0,0.0,114.0,34.66937,0.0032,0.55,1.322,-1.0,0.157329,0.20942385094641405,0.09606462085462622,4.393840890118891,68545.99203512937,38.43084622606819,149.49583249150425,0.1810509832562521,0.07150248097634439,0.0960233126430877,0.14107746318648,0.17396541784424288,0.17287855206694877,0.18695788002514668,4.6885813910383325,0.3996665492041522,84.3302393660538,7.226369598765432,0.8460810819539905,0.16854134869426607,82.33177729302236,14323.439930144386,199.93679622456173
28,28,56.5012,11.02,66,18.5296,0,89,123,19,128,10,0.98241,56.96178,0.0,0.0,0.03571,4.015,9.52644,0.0,0.0,114.0,34.67836,0.00326,0.56,1.203,-1.0,0.151711,0.20950736863506353,0.09597227844508066,4.215313103979903,68539.71186939668,38.373758575062695,149.8835456329781,0.17975692263552998,0.07164533113913256,0.09564001819661014,0.14054567367032497,0.17297667793555543,0.1724305514936456,0.18605683680343307,4.900610258200276,0.4079825850180699,84.33297959668278,7.027681327160494,0.8537631639121109,0.16793589690599364,88.61612527631335,14487.10347336748,199.34223430508527
29,29,56.5359,11.0833,67,18.6715,0,89,123,19,128,10,0.97981,57.04953,0.0,0.0,0.17857,4.032,9.45373,0.0,0.0,114.0,34.66612,0.00327,0.55,1.159,-1.0,0.147551,0.21044633995521705,0.09601833507477432,5.024096640454854,68437.18927681225,38.12924420392072,149.49802143129065,0.17697792890093064,0.0717742419165638,0.09548406529370604,0.13994988657438093,0.1725184595441299,0.1723053426100144,0.1852103141223784,4.8888998217733395,0.42451888043060354,84.32812008618197,7.415219907407407,0.8559807899553441,0.16731265784895988,87.21879575400573,14476.038781561183,198.7159529250393
30,30,56.7831,11.4186,67,17.9414,0,89,123,19,128,11,0.99269,57.31875,0.0,0.0,0.14286,4.013,9.50755,0.0,0.0,114.0,34.6672,0.00317,0.55,1.211,-1.0,0.153739,0.20949251518753303,0.09578003813389713,4.854756259960496,68530.91090479019,38.28284633306809,149.84492456135928,0.17435878005448535,0.07156722845855214,0.0957717203091187,0.139436980654362,0.17191132291312583,0.1719709438453122,0.18428593812919075,4.9102657970872885,0.43825695003460197,84.28860360683514,8.336805555555555,0.8581984159985763,0.1668998121735976,78.70532878924823,14646.88870380166,198.12473607032817
31,31,56.7826,11.1162,67,18.1369,0,90,123,19,128,11,0.98754,57.36308,0.0,0.0,0.03571,4.008,9.79078,0.0,0.0,114.0,34.65644,0.00289,0.56,1.201,-1.0,0.130042,0.20833751475837287,0.09542799804751109,3.9131003120948358,68545.66684732531,38.02612116307388,149.84539840243076,0.17207463431301318,0.07114330027446242,0.09536617692518003,0.13893203046117175,0.1714748487785286,0.17237967032649243,0.18367127271309489,5.105558090138612,0.4440718055209535,84.3087673709415,8.301986882716049,0.8626336680850368,0.16643412512517033,86.2557735613411,14701.62421227503,197.53707120605637
32,32,56.8644,11.1303,68,19.1935,0,90,123,19,128,11,0.99002,57.50284,0.0,0.0,0.0,3.994,9.53438,0.0,0.0,114.0,34.63452,0.00337,0.55,1.222,0.12526,0.121036,0.20783643772658839,0.09511903803884844,3.9698724143349358,68643.66866832509,38.16426802270206,150.12406469295104,0.17101532657874488,0.07094213908566377,0.09544980501160572,0.13868890368362655,0.171597885584442,0.1737635319929153,0.1835232909973421,4.918924041058961,0.45463357711649377,84.23693184036065,8.34032600308642,0.867068920171498,0.1662470400655068,86.44883897615348,14690.177281523238,196.98718166566005
33,33,56.8151,11.3032,68,18.9467,0,90,123,19,128,11,0.98483,57.52214,0.0,0.0,0.03571,4.004,9.54388,0.0,0.0,114.0,34.62297,0.00346,0.56,1.206,-1.0,0.122642,0.20811115345945747,0.09478367452495462,3.3066529782328997,68650.14680789206,38.017300075954864,150.5420041595162,0.16970260447664437,0.07109169702701605,0.09558653053450805,0.13878505022228707,0.17106403931820102,0.17471512951473356,0.18314158852512866,4.806918393510798,0.4546262851518645,84.26008476830526,8.345871913580247,0.8703157500431655,0.16606203359167096,79.07353351191873,14634.711701047005,196.4642677791246
34,34,56.9118,11.5728,68,17.639,0,90,123,19,128,11,0.99651,57.66683,0.0,0.0,0.07143,4.015,9.69665,0.0,0.0,114.0,34.60103,0.00346,0.55,1.215,-1.0,0.121787,0.20667685084653792,0.09468109410922217,4.070515847472309,68628.57959040234,37.83707362045477,150.90649580021585,0.1673947954777632,0.07186259284743164,0.09651158438009785,0.13859225982579151,0.1714135115725554,0.1748898056703257,0.18305692197370643,4.744361975061718,0.4599810288350635,84.22167421212755,8.107349537037036,0.8747510021296229,0.16626229486182126,91.48745605675624,14649.186032435748,195.9689940084347
35,35,57.1985,11.4163,68,19.9764,0,90,123,19,128,11,0.9922,57.97001,0.0,0.0,0.03571,4.018,9.9332,0.0,0.0,114.0,34.60454,0.00336,0.55,1.247,-1.0,0.096507,0.20621506158338285,0.09471439804089858,3.6630054924989164,68637.04260046122,37.8501421139564,151.1445673269891,0.16551527178958209,0.07300325978336429,0.09724256591996171,0.1378189153037372,0.17135375944532313,0.1750272262157091,0.18277483423220495,4.885546636771776,0.47166230639907725,84.21405552114939,8.596981095679013,0.880809669151918,0.1664537411598735,83.7458990128414,15054.407141385764,195.51274151941976
36,36,57.6476,11.6732,69,19.5332,0,90,123,20,128,11,0.9829,58.42646,0.0,0.0,0.03571,4.02,9.79833,0.0,0.0,114.0,34.62302,0.0036,0.55,1.223,-1.0,0.110174,0.2064634176898927,0.09483090681698084,4.041188123744822,68782.18435057135,37.538918765974636,151.17413299501922,0.16318385874212812,0.07399683104528562,0.09770194046730937,0.13730160488242807,0.17081926358190413,0.17507537125420497,0.18275263771600464,4.805473850595292,0.47616343144329104,84.14092574227593,8.364293981481481,0.8852449212383782,0.1668234311878252,86.91676252669566,15511.761051713936,195.05889711756086
37,37,58.0525,11.6505,70,19.4482,0,91,123,20,128,11,0.98559,58.86955,0.0,0.0,0.0,4.016,10.01514,0.0,0.0,115.0,34.6267,0.00325,0.55,1.216,-1.0,0.10563,0.20602802974338458,0.094582156662799,4.0764843487115465,69130.42289147216,37.31279048213253,151.80530695918137,0.16098630741535724,0.07420113673881651,0.09865339544534411,0.13690841894506853,0.17038656762873314,0.1753048160063072,0.18287125007448593,4.9191236308436785,0.48696815169550184,84.05571528603055,8.100742669753087,0.8896801733248408,0.16725759119474387,87.25020370208199,16084.825108285704,194.64706979037567
38,38,58.0886,11.5207,70,19.3407,0,91,123,20,128,12,0.9841,58.96359,0.0,0.0,0.03571,4.043,9.99603,0.0,0.0,115.0,34.61622,0.00344,0.55,1.271,-1.0,0.097356,0.20638183038672095,0.09434509328153867,3.8122619031240337,69178.0256897007,37.654328334478684,151.55747896207453,0.1591548763773735,0.07417791816028577,0.09994381144114818,0.13650473735970453,0.17079581281972836,0.17561532008031447,0.1831271826752033,4.880857348275824,0.4813394839474047,84.12306128475159,7.898099922839506,0.8913035882606742,0.16795846579167367,80.11845865507541,16369.542490889502,194.27184172953187
39,39,58.6563,11.7495,71,19.3316,0,91,123,20,128,12,0.98735,59.54108,0.0,0.0,0.07143,4.018,9.88285,0.0,0.0,115.0,34.63721,0.00342,0.55,1.226,-1.0,0.090028,0.20646693248179926,0.09416758569010526,4.423084618969636,69634.59174186531,37.53664840886623,152.30230497296571,0.15706055255533502,0.07441825619743855,0.10178806381070159,0.13627637585748925,0.17094598712951772,0.17580187592516144,0.18362021623032587,4.806163089139121,0.488133725490196,83.99385093126861,7.917631172839506,0.9056385483484903,0.16857558096118072,85.33931323914925,17006.163317917257,193.93896237469113
40,40,58.9628,12.4019,71,18.7015,0,91,123,20,128,12,0.9855,59.88678,0.0,0.0,0.21429,4.036,10.08104,0.0,0.0,117.0,34.6544,0.00353,0.55,1.191,0.12526,0.100916,0.20641396216493704,0.09403546169948385,4.745259811788465,69841.1649432371,37.24489113136574,152.3441119426878,0.15513777604886295,0.07469820097083635,0.10329551175588167,0.13606039878692228,0.1714721797015105,0.17560919247975898,0.1839919482002519,4.930927721348026,0.487330980392157,83.95140411153939,8.29861111111111,0.9122914264781826,0.16900423160287736,85.68936683932118,17597.03915773285,193.63905824758908
41,41,59.1137,12.2002,72,20.1087,0,91,123,20,128,12,0.97787,60.11078,0.0,0.0,0.10714,4.037,10.6411,0.0,0.0,120.0,34.64876,0.00329,0.56,1.199,-1.0,0.083988,0.20686176541402343,0.09407960508311489,4.228413584836021,70033.03179905943,37.27564795223283,152.37145209953405,0.1532891401302864,0.07446286133432539,0.10491277551428806,0.13584694730470523,0.1717085722577179,0.17514714809507959,0.1842675119969069,5.067969883211612,0.4875901960784313,83.94941285847952,8.260802469135802,0.9139148414140158,0.16921253220376087,92.58269767690999,17903.631705180607,193.37727373077374
42,42,59.3314,12.3008,72,20.4358,0,92,123,21,128,12,0.99306,60.40726,0.0,0.0,0.07143,4.061,10.47015,0.0,0.0,118.0,34.63834,0.0036,0.55,1.197,-1.0,0.091641,0.20492632211551834,0.09441503022695448,4.313604848529553,69974.14299056029,37.32627548406153,152.9034987132615,0.15150041763866,0.07496514779988164,0.1066938519348768,0.13594871549804913,0.17260364275457127,0.17494353735043258,0.18468111885459773,4.577762133788668,0.48732313725490206,83.92111979534305,8.241801697530864,0.9244087605227711,0.16972029757442525,92.15100823039452,18307.367065861297,193.15907341019138
43,43,59.9236,12.4356,73,21.0956,0,92,123,21,128,12,0.98384,61.01897,0.0,0.0,0.03571,4.059,10.55674,0.0,0.0,119.0,34.65549,0.0037,0.56,1.19,-1.0,0.084091,0.2026964815973931,0.09489957695670634,4.133069567272383,70473.91207106411,37.201121389130016,153.09657980518762,0.1497746116411445,0.07477505916789583,0.10862740096985413,0.13595810752076787,0.1743857717411028,0.17462112571817578,0.18510017053553338,4.599674782183176,0.48762862745098035,83.85464922946429,8.153260030864198,0.9304674275450657,0.17017274971909546,88.64141621685806,19233.430989949855,192.96876085820247
44,44,60.395,12.6089,74,20.0575,0,92,123,21,128,13,0.9852,61.49778,0.0,0.0,0.14286,4.069,10.67444,0.0,0.0,119.0,34.67701,0.00353,0.55,1.183,-1.0,0.06534,0.20083943828352954,0.09526178028402012,3.775980234383064,70655.65486592684,36.97326038501881,153.25559716792856,0.14810713049674906,0.07497105655870834,0.1105401819368767,0.1359437536711237,0.17622442103689412,0.17394739833425882,0.18542404062597986,4.801316822410979,0.4884243137254902,83.78976744601324,8.236496913580247,0.9387437206105891,0.17052708670309655,92.01157426921773,19938.550054145748,192.7967318085822
