,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.1.0,staticness,cubcol.0.6,cubrow.0,fft,saturation,uhdhdsim,temporal,cubrow.0.5,cubcol.1.0,noise,tone,contrast,blur,cubcol.0.5,movement,color_fulness,cubrow.0.3,blockiness,cubcol.0.3,cubcol.0,cubrow.0.6
10,10,88.6695,13.5373,107,14.7957,0,105,125,39,127,27,0.98259,94.44654,0.0,0.0,5.71429,3.7,11.95818,0.0,0.0,125.0,45.84859,0.00377,1.78,3.012,-1.0,1e-06,0.17048815549003957,317.1551937112409,0.32373290403270766,0.3195301163638861,73683.5570189978,30.067965660566166,81.11230513740625,4.946711971601916,0.282738619402133,0.2406339161268294,1.3810690756760804,0.6267152941176469,93.86774240078554,66315.48093647593,0.35425660642690726,3.515625,159.46989317494516,0.33450676871000384,2.4555782284637906,0.28039221894492194,0.4106696280983043,0.2680763652815923
11,11,88.6958,13.3999,107,13.9586,0,105,125,39,127,27,0.98978,94.45731,0.0,0.0,4.21429,3.691,11.64989,0.0,0.0,125.0,45.82895,0.00326,1.78,3.138,-1.0,0.0,0.16982498964051648,315.7079284226751,0.32207659058020843,0.31921742838029593,73614.1216176814,30.066678082501447,81.09250296755971,4.599539442719645,0.282097329291856,0.24092313556205033,1.3788514496328481,0.6267215686274511,93.80178484589678,66330.59617662246,0.3556000702753429,4.075713734567901,159.50786974036504,0.33257275644759765,2.5262557734174904,0.27984112093499885,0.4055989931446124,0.26719025844886785
12,12,88.6494,13.8117,107,13.7502,0,105,125,39,127,27,0.98558,94.41466,0.0,0.0,4.10714,3.71,11.527,0.0,0.0,125.0,45.81414,0.00326,1.8,2.926,-1.0,1e-06,0.16930366271998085,314.31291354532163,0.3212665409155133,0.3190513568699841,73693.88486337068,30.035604406286172,81.08242585630107,4.412533935185843,0.28237307691689795,0.24128711698942382,1.3772280346970256,0.6265737254901961,93.80099570619473,66214.7626250479,0.35525971809508594,3.6631944444444446,159.56120730418425,0.33078673603029096,3.5695779500210043,0.28000665470330494,0.40159146827025166,0.26703850782661986
13,13,88.5706,14.0538,107,15.3859,0,105,125,39,127,27,0.99819,94.32925,0.0,0.0,4.67857,3.708,11.88,0.0,0.0,125.0,45.79258,0.00299,1.79,3.123,-1.0,1e-06,0.16831970091572196,312.9792532109193,0.3194842504209649,0.3188474166312456,73553.95097623816,30.026849817346644,81.09515679641353,4.868731939722548,0.2822906243723163,0.24186351469271586,1.3733869937179515,0.6267215686274511,93.74029371977474,65978.57076885985,0.3548640066834546,3.15210262345679,159.54847619886095,0.3298349804637527,2.502972148545789,0.2811419601909986,0.40076701998159703,0.26697874145688194
14,14,88.5774,13.2424,107,15.1946,0,105,125,39,127,27,1.00105,94.32298,0.0,0.0,3.57143,3.709,12.08774,0.0,0.0,125.0,45.76059,0.00344,1.79,3.284,-1.0,1e-06,0.16688808675412578,311.6415679366302,0.3186262213146651,0.3193623927332746,73584.27592154665,29.986082477334104,81.07936778967309,5.0912220114836915,0.2819914264341388,0.2421970752424755,1.377663027418053,0.6266736078431373,92.24631492232382,65931.68986828148,0.3554935715022048,3.2184606481481484,159.6135842051964,0.3292821652597505,2.4453432072196772,0.2813814917303072,0.39735852268573324,0.26658686398322434
15,15,88.5877,13.2451,107,14.9629,0,105,125,39,127,27,1.00237,94.32433,0.0,0.0,3.89286,3.701,11.38899,0.0,0.0,125.0,45.7249,0.00312,1.78,3.1,-1.0,2e-06,0.16558392906097597,310.313025193007,0.318786067753287,0.3200443632226013,73684.6989791511,29.968863028067126,81.09252863708915,4.409374403022361,0.2825273336471894,0.24265678073733576,1.3711693676747265,0.6259779215686265,93.621343782846,66010.13368674218,0.35670649238448093,3.89429012345679,159.59510906398629,0.32916030936484975,3.3085477527521845,0.28169833421173524,0.3955587853451978,0.26637768543129803
16,16,88.5916,13.2263,107,14.8904,0,105,125,39,127,27,0.99213,94.34254,0.0,0.0,3.07143,3.705,11.38574,0.0,0.0,125.0,45.7039,0.00323,1.81,3.2,0.12577,0.0,0.16460957399451953,309.04623152574726,0.31958534239673386,0.3202941304441455,73423.27447973448,29.959241325472608,81.08842928944952,4.658809264347927,0.28281028192705054,0.24317571383966988,1.3804748645686786,0.625903137254902,92.08718927324911,66025.84236530724,0.3573995849377598,4.033371913580247,159.64559889387553,0.32893136989737254,3.3108838005618573,0.2817951812092567,0.3941842285853711,0.2654027676836847
17,17,88.6131,13.0785,107,14.4019,0,105,125,39,127,27,0.98937,94.35719,0.0,0.0,3.32143,3.703,11.37296,0.0,0.0,125.0,45.68281,0.00346,1.8,3.051,-1.0,1e-06,0.16385362952991378,307.7918963887966,0.32083103904165233,0.3204010411779668,73660.69863874561,29.953280225212193,81.10474588859604,4.654728205069104,0.28381874990177913,0.24353912841468087,1.3788514496328474,0.6256650980392158,94.51648122800685,66274.93067113223,0.35779836804445625,3.896363811728395,159.61906362487258,0.3286462995297985,2.8144242561900508,0.2818907524399329,0.3905262930333122,0.2642274697807161
18,18,88.5378,13.1469,106,13.0725,0,105,125,39,127,27,0.99192,94.27144,0.0,0.0,3.32143,3.707,11.2442,0.0,0.0,125.0,45.65629,0.00336,1.79,3.012,-1.0,1e-06,0.16291784089490577,306.54008298316404,0.3223094784947425,0.32035524288989653,73631.11525222541,29.906570999710645,81.11289637335658,4.385914900878369,0.2846364644778155,0.24414614947729998,1.3766338235896225,0.6252039215686274,94.63661888759104,66036.71618626491,0.357410165895433,3.863088348765432,159.56915130045573,0.32866644816847485,2.4150317970687056,0.2820349233364081,0.3873013165219954,0.2628734843897291
19,19,88.536,12.9853,106,14.5298,0,105,125,39,127,27,0.98879,94.25231,0.0,0.0,3.14286,3.699,11.30303,0.0,0.0,125.0,45.63777,0.00307,1.78,3.168,-1.0,1e-06,0.16187926098922215,305.30220054515337,0.32342730362898753,0.3202213166006607,73544.82307978318,29.883657573181903,81.09839886334453,4.516125389671618,0.28568154304096216,0.24490929622034002,1.3794456607402488,0.6251670588235294,91.1212151129854,66197.30551431542,0.3575425225929423,3.7628761574074074,159.60981477373699,0.328929808755647,2.791647308186203,0.28209932259850146,0.38613183914411436,0.26241278339537194
20,20,88.4916,12.8948,106,14.2682,0,105,125,39,127,27,0.99627,94.19538,0.0,0.0,2.82143,3.703,11.16441,0.0,0.0,125.0,45.61856,0.00314,1.79,2.995,-1.0,1e-06,0.16093743406724761,304.0707244200242,0.3246851172950049,0.3202946958994113,73535.51695665067,29.848501888322243,81.08204082747753,4.348602608908494,0.28597188463523476,0.2455263994219499,1.3810690756760795,0.6248992156862746,95.22421225265984,65957.71829049345,0.35628791196628284,4.608699845679013,159.6070840101412,0.329238987594478,4.25876698404445,0.28193191781816035,0.38479724310879915,0.2616577823207711
21,21,88.4922,12.8299,106,13.6668,0,105,125,39,127,27,0.99276,94.1862,0.0,0.0,3.03571,3.698,11.08283,0.0,0.0,125.0,45.60521,0.00329,1.79,2.994,-1.0,2e-06,0.1602378294977104,302.8784798891678,0.3259086238945223,0.32025766176186643,73731.8713498538,29.82518645863474,81.09471128165099,4.427302736030247,0.28607599943837053,0.24645332358272154,1.3794456607402446,0.6248835294117647,93.65634164675964,66178.69738333976,0.3559585414050275,4.654755015432099,159.62823263331592,0.3297207356597662,4.245747931194496,0.2818267649906292,0.3830663031765263,0.2612861617601409
22,22,88.493,12.8109,106,14.0019,0,105,125,39,127,27,0.98913,94.18599,0.0,0.0,5.75,3.687,11.02987,0.0,0.0,125.0,45.59126,0.00327,1.77,3.218,-1.0,0.0,0.15955545260806403,301.6993378739021,0.32712565996054943,0.32009572278403875,73703.74978138771,29.773442021122687,81.13719227555443,4.385229076513329,0.2869199673855839,0.24735590382317682,1.3744161975463929,0.6248694117647059,93.578278823514,66208.46537358653,0.3539827807354986,4.638020833333333,159.57854385801662,0.33022391931202144,3.959606821210268,0.2817040748317176,0.3827150446990538,0.26095770436060467
23,23,88.442,12.706,106,14.0729,0,105,125,39,127,27,0.98607,94.11173,0.0,0.0,3.71429,3.703,11.01368,0.0,0.0,125.0,45.58275,0.00326,1.79,3.312,-1.0,2e-06,0.1589665370027756,300.53929774287974,0.32829271959448875,0.3199309295426794,73670.53301246544,29.732290762442133,81.12779856393897,4.327286984692712,0.2880426277232575,0.24855878013666574,1.374416197546395,0.6245333333333333,93.42991090131285,66168.86099634659,0.35197500515699387,4.562596450617284,159.5477168433389,0.33059067434589884,2.690847146932739,0.2820856759488662,0.38257365005246796,0.2604033803984142
24,24,88.3928,12.5005,106,14.0681,0,105,125,39,127,27,0.99492,94.0492,0.0,0.0,4.03571,3.709,10.93137,0.0,0.0,125.0,45.57018,0.00346,1.79,3.247,0.12641,1e-06,0.15861703325430557,299.3900681278173,0.3296125014553873,0.31981487084023824,73665.98354198136,29.690274273907697,81.13564410897423,4.356423044930231,0.28903025768578633,0.24923055161411575,1.377822245804406,0.6245717647058823,95.8238342961833,65969.61355327809,0.3502487204219072,4.7018711419753085,159.56676996030043,0.3309882287481602,4.119230957528595,0.28249566269295584,0.37941387876247523,0.26020084562172313
25,25,88.4245,12.5605,106,13.4116,0,105,125,39,127,27,0.99169,94.07224,0.0,0.0,3.75,3.707,10.74656,0.0,0.0,125.0,45.56019,0.00326,1.79,3.06,-1.0,2e-06,0.15787679313573852,298.2835487653224,0.33138339267416944,0.31971245705568635,73707.97465730712,29.656481519157502,81.1229922850646,4.281240462877245,0.28943118281759006,0.24982765450853114,1.3744161975463929,0.6244143921568618,95.9033886934071,66151.5207502241,0.3492723120528539,5.194733796296297,159.48600999522895,0.33131807138501035,3.7205888454962164,0.28272198770422224,0.3775140729323593,0.2598433196123017
26,26,88.4094,12.5555,106,13.5426,0,105,125,39,127,27,0.99694,94.05091,0.0,0.0,4.0,3.694,10.79779,0.0,0.0,125.0,45.5476,0.00316,1.8,2.936,-1.0,0.0,0.1570140315891706,297.20735364436763,0.33320561813560307,0.31963368035522255,73653.49627178657,29.60653159059124,81.08549292534228,4.315491447701546,0.2904786013923627,0.2506535898853317,1.3727927826105588,0.6242180392156863,95.59728150539529,66112.46316719809,0.3490698398198692,5.184654706790123,159.51325083038154,0.33172058183219005,3.8270625977618566,0.2823586548249982,0.3756048219795407,0.26032589838276776
27,27,88.4059,12.5236,106,13.685,0,105,125,39,127,27,0.98795,94.04622,0.0,0.0,3.67857,3.712,10.78965,0.0,0.0,125.0,45.54015,0.00343,1.8,3.42,-1.0,0.0,0.15620125043153288,296.1666942527922,0.3354215267794524,0.31938374468520575,73643.96857963869,29.585631005557968,81.13990610818325,4.543051840244413,0.2901575545135881,0.2512419249222616,1.3744958067395714,0.624258431372549,94.2444406132632,66197.0327903111,0.34929233917926983,5.127170138888889,159.5281953107801,0.33200063473792163,3.5725627130230087,0.28219422410765616,0.37421519074741816,0.26020887270173443
28,28,88.4131,12.7421,106,13.6887,0,105,125,39,127,26,0.98722,94.04888,0.0,0.0,4.21429,3.729,10.76208,0.0,0.0,125.0,45.53418,0.00332,1.8,3.18,-1.0,0.0,0.15545527784030652,295.1553299439061,0.3375426942087475,0.31926398561065034,73669.3249820832,29.56383862907504,81.11742582703229,4.341916653545695,0.29000887135016795,0.252083277108098,1.3794456607402468,0.6242498039215686,90.31331064448639,66237.32374600136,0.34852521356701777,5.111689814814815,159.52384768451847,0.33242651829035313,3.0801585723218374,0.2820044300217904,0.3728155124355459,0.2598509306940828
29,29,88.3977,12.7235,106,14.8948,0,105,125,39,127,26,0.99299,94.04892,0.0,0.0,4.89286,3.699,10.94975,0.0,0.0,125.0,45.53001,0.00316,1.8,2.897,-1.0,0.0,0.15518167252901083,294.166008799097,0.33958754038027955,0.31920785800277685,73678.95463527003,29.5673526716821,81.09832575456834,4.4709406591998535,0.2898324188862612,0.25274903627484635,1.3727927826105661,0.6242498039215686,90.30861563063971,66107.16315149172,0.3470677038539437,5.402970679012346,159.5660161936051,0.3325265507761294,2.511987937423873,0.28198424513738507,0.3715012312506138,0.2594591673969743
30,30,88.4244,13.1854,106,14.0385,0,105,125,39,127,26,0.99289,94.10489,0.0,0.0,4.46429,3.713,10.9363,0.0,0.0,125.0,45.55564,0.00329,1.79,3.267,-1.0,0.0,0.1556617197908411,293.2047629831515,0.3410828342499901,0.3190584105848966,73722.75428895476,29.56320265781732,81.1043775157716,4.385516845869051,0.28989724300581843,0.253096109151646,1.3717635787821205,0.6245349019607843,90.26681665805775,66393.45955314422,0.34567487477048175,5.862075617283951,159.63570519372956,0.3324729499618378,2.7726864241262668,0.28189260039456027,0.37071681076104374,0.2594533971776777
31,31,88.4689,13.5166,106,14.1102,0,105,125,39,127,26,0.9864,94.17563,0.0,0.0,5.75,3.715,11.32749,0.0,0.0,125.0,45.56573,0.0033,1.78,2.976,-1.0,1e-06,0.15577567783289686,292.2489945021486,0.3427389343738731,0.3189112285230173,73688.35781631256,29.53921659493152,81.10914737637057,4.550623883198594,0.28982758810911025,0.2536355419794731,1.3727927826105535,0.6245333333333333,94.26140957853826,66463.50668899984,0.34446952607804177,6.012104552469136,159.66732022481028,0.33251856730739937,2.6261096031962543,0.2820587132846794,0.36973566844790784,0.259049168374117
32,32,88.452,13.788,107,15.5419,0,105,125,39,127,26,0.99384,94.17029,0.0,0.0,3.75,3.706,11.61412,0.0,0.0,125.0,45.58479,0.00343,1.79,3.048,0.1259,1e-06,0.1558736445976532,291.3316399202654,0.34415160190791083,0.3187189934407179,73699.87491968682,29.58474486551167,81.08349122548947,4.503508363172038,0.28942675261089446,0.2543009579228799,1.3778222458044163,0.6245333333333333,95.91960768870584,66450.91953299202,0.34364041767211667,6.164014274691358,159.75164260556576,0.33245725639528617,2.3642891945745674,0.2820185720314876,0.3687074623746467,0.25839680298544615
33,33,88.3755,14.0615,106,15.0628,0,105,125,38,127,26,0.98444,94.13671,0.0,0.0,3.75,3.727,11.84597,0.0,0.0,125.0,45.62099,0.00335,1.77,2.909,-1.0,1e-06,0.15556048739937312,290.4219965143403,0.34616704763708844,0.31856111135903126,73409.60413134418,29.590799590687695,81.09607646461049,4.591104557973256,0.28948880947423267,0.25479216514486824,1.372792782610557,0.6246007843137256,95.69831811260194,66251.92602387838,0.34336659149240967,6.339072145061729,159.85689000030513,0.3321970864730391,3.2381700778561657,0.2817931336239002,0.3681170264677851,0.257843607305591
34,34,88.3631,14.1147,106,15.8281,0,105,125,38,127,26,0.98936,94.12757,0.0,0.0,6.53571,3.714,12.07817,0.0,0.0,125.0,45.66885,0.00375,1.76,2.967,-1.0,1e-06,0.1559461824967766,289.5313966289061,0.34805937217772814,0.31843200637370156,73523.69260792244,29.576545056001642,81.11122859214889,4.688917532577729,0.2897740875323755,0.2550052143168662,1.3750104086537878,0.625367450980392,97.20774188651072,66304.2782962779,0.3433576199553055,6.609423225308642,159.89351369628721,0.33185166019852386,3.642659612015425,0.28155402489318604,0.3671441450189974,0.2572763705321238
35,35,88.4392,13.8315,107,14.9413,0,105,125,38,127,26,0.99275,94.22753,0.0,0.0,4.21429,3.688,12.12727,0.0,0.0,125.0,45.63457,0.00336,1.78,3.114,-1.0,1e-06,0.15590933452006084,288.6766983974815,0.34975920309484204,0.31824844672570934,73598.3816704961,29.605163950978973,81.09568404191242,4.813438293704878,0.2894819601970504,0.25525015394813033,1.3750104086537862,0.6247654901960785,97.07388209272496,66612.0769296658,0.34360368712996947,6.886815200617284,159.98102264207085,0.33143389358289416,2.62701275419487,0.28144097270725404,0.3660271558117995,0.2569489731962137
36,36,88.3824,14.2191,107,15.6022,0,105,125,38,127,26,0.98356,94.20506,0.0,0.0,4.14286,3.692,11.88338,0.0,0.0,125.0,45.63034,0.00331,1.79,3.385,-1.0,0.0,0.15567836210789146,287.83374611656814,0.35171441555525385,0.31807797134563787,73550.1557412489,29.64092584303868,81.09146181348268,4.746277866026484,0.2892352315411915,0.25553680881545415,1.3788514496328517,0.6244223529411765,95.89765398192282,66173.2328369118,0.3439032183593383,7.08984375,160.07147141436226,0.331073804443877,3.2396457973502817,0.281329959191539,0.36508622465326335,0.2564522154656719
37,37,88.3913,14.1598,107,17.1405,0,105,125,38,127,26,0.98397,94.24456,0.0,0.0,4.35714,3.71,12.21546,0.0,0.0,125.0,45.68965,0.00362,1.78,2.86,-1.0,0.0,0.15554975892433107,287.0259274770041,0.35386639189765046,0.31800522985279617,73599.65586499359,29.655969125253183,81.11400029987456,4.862282514284211,0.2889794046991336,0.25569081455380643,1.3804748645686804,0.6248239215686274,94.44994724755558,66342.01210615657,0.3437428726171788,7.159625771604938,160.05864473346637,0.3307533519669772,2.3693846067678783,0.2813765453180912,0.36471931024902793,0.2560442010313537
38,38,88.4404,14.2538,107,16.0021,0,105,125,38,127,26,0.98744,94.32684,0.0,0.0,3.5,3.687,12.16531,0.0,0.0,125.0,45.71436,0.00347,1.77,3.177,-1.0,0.0,0.15546146486281698,286.2366026539556,0.3554968176504218,0.31799174196704055,73573.19585924216,29.688881391360432,81.08786839931953,4.574411894529477,0.28860213525383793,0.2558646177471367,1.3815836775902914,0.6243941176470588,92.3303428282719,66403.62955833047,0.3433725602872523,7.341049382716049,160.110261447784,0.330488849786697,3.5999426935280834,0.2814364833570178,0.3641516722846751,0.25596016301195484
39,39,88.3956,15.3455,107,16.2716,0,105,125,39,127,26,0.98076,94.30073,0.0,0.0,3.57143,3.695,12.24445,0.0,0.0,125.0,45.72307,0.00352,1.78,3.113,-1.0,0.0,0.1551970185032644,285.460970697438,0.35609874699589616,0.31795197717906665,73667.49118670178,29.737574636200325,81.0863355272655,4.63452836890233,0.2882545405047743,0.25611409210910624,1.3816632867834817,0.6246243137254902,93.77981289281313,66366.67465130531,0.34305229933331094,7.540364583333333,160.14013520884384,0.3300827102492585,3.5979268298822475,0.2813363123474017,0.36383448235239363,0.2552943947669372
40,40,88.2987,14.4164,107,18.6437,0,105,125,38,127,26,0.99054,94.19566,0.0,0.0,4.57143,3.7,13.18407,0.0,0.0,125.0,45.72468,0.0033,1.8,3.476,0.12577,0.0,0.15480713880472402,284.7039541273762,0.3569970990102036,0.31792559305241086,73687.77854507913,29.740447056146312,81.15391947935584,5.397184977164145,0.2881463027448434,0.256154724381175,1.3810690756760822,0.6248011764705882,93.89660433150782,66289.32044154004,0.34286313774291166,7.7368344907407405,160.1147271329175,0.3296912845656681,3.9446667854964903,0.28122782561564874,0.36344701493987963,0.254681987467849
41,41,88.3076,14.8637,107,16.2618,0,105,125,38,127,26,0.99015,94.19938,0.0,0.0,3.96429,3.667,12.38616,0.0,0.0,125.0,45.71609,0.00319,1.8,3.178,-1.0,1e-06,0.1545384205991695,283.9646302953472,0.35854761808094393,0.3180438065137649,73452.69167991141,29.712842399691358,81.12395992627769,4.586581533486901,0.2876126482123899,0.25638868753246985,1.3810690756760788,0.6245560784313726,93.734079380575,65980.3941508985,0.343254577928094,7.767939814814815,160.16416153361402,0.32935112931856775,2.869111704373374,0.2812857051824528,0.3629627395040878,0.25426329556509863
42,42,88.2718,14.5293,107,18.9614,0,105,125,38,127,26,0.98281,94.17527,0.0,0.0,2.42857,3.687,12.77007,0.0,0.0,125.0,45.70202,0.00396,1.78,3.226,-1.0,0.0,0.15419794458619357,283.25041267598806,0.35871246971502846,0.3179936079009496,73533.0500445185,29.68908465350116,81.10629780050387,5.368377793260533,0.28705537389942054,0.25646338954117825,1.379445660740248,0.6245560784313726,93.78593908176158,65995.05265185062,0.34371467914587106,7.7553530092592595,160.0965106801723,0.3288922042062283,3.2819492290895944,0.2812018743212414,0.3625639045079577,0.25383386680976155
43,43,88.2883,14.2632,107,16.6392,0,105,125,39,127,26,0.99071,94.22232,0.0,0.0,4.17857,3.678,12.48226,0.0,0.0,125.0,45.69608,0.00367,1.79,3.159,-1.0,0.0,0.15388129634122236,282.5441024617866,0.3588325222314301,0.3180298835546756,73456.19880595856,29.679587281780478,81.09010639149506,4.876682517373589,0.2869667797084251,0.2564913864723144,1.3838809128267116,0.6242592156862745,93.69080375220084,65960.72460620459,0.34368105362787016,7.8619309413580245,160.0988934291188,0.328480468113151,3.2321558047171792,0.2811391316387531,0.3627235532949444,0.25336988052280696
44,44,88.1935,14.3738,107,15.5524,0,105,125,38,127,26,0.98721,94.1444,0.0,0.0,3.42857,3.684,12.2627,0.0,0.0,125.0,45.68417,0.00358,1.79,3.155,-1.0,2e-06,0.15368536502581037,281.8641445343371,0.35897674988049805,0.3180476400994286,73384.3800609564,29.649407657576194,81.11074248655383,4.736333491032024,0.28641831098323284,0.2566009198205105,1.3838809128267127,0.6234377843137235,93.46484353238584,65625.71040168827,0.34380740967118634,7.886284722222222,160.01435420250777,0.32808439654597604,3.6405721328265654,0.28102721858754226,0.361859555071468,0.2530492070987557
