,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,blur,cubrow.1.0,contrast,saturation,fft,cubrow.0.6,cubrow.0.3,temporal,cubcol.1.0,uhdhdsim,cubrow.0.5,cubcol.0.6,cubcol.0.5,tone,cubrow.0,noise,blockiness,cubcol.0,movement,color_fulness,staticness,cubcol.0.3
10,110,47.5933,19.9644,26,20.7189,0,118,113,10,138,13,0.99924,43.67034,0.0,0.0,6.07143,5.349,16.3496,0.0,0.0,129.0,26.64665,7e-05,0.31,1.577,-1.0,1.518532,19776.65600951592,0.08466428669386618,85.58156133953423,61.64771562741127,66779.47751441144,0.08798800111479606,0.19179179321555323,4.6273707046909145,0.07565495950564154,96.349636191631,0.0768950128019416,0.08688345483280839,0.0693718046138756,0.4037349019607843,0.2365898299217067,0.3005991691231425,1.338183896253802,0.07921997231400095,7.733603395061729,82.17383653071904,539.5067712039769,0.09358290109372312
11,111,49.767,14.7917,27,22.2721,0,118,113,10,138,13,1.00845,45.62421,0.0,0.0,4.32143,5.328,17.13971,0.0,0.0,128.0,26.82007,0.00014,0.31,1.72,-1.0,1.502176,22677.764394030793,0.08319111151816848,88.64501082117098,61.67014548219281,67398.45882046563,0.08751281424998937,0.19368646062685044,4.795741239288023,0.07584408436368024,96.06821986361439,0.07520453154635966,0.08506187744167432,0.06954715597774247,0.41148862745098036,0.23657979844703134,0.30059916912314294,1.1900445737160223,0.07849260586255502,8.829957561728396,81.91589311101762,534.1589717946331,0.09310039231518807
12,112,50.1925,19.5902,27,16.8911,0,118,113,10,138,13,1.00089,45.9871,0.0,0.0,4.53571,5.282,12.70019,0.0,0.0,126.0,26.67446,2e-05,0.31,1.632,-1.0,1.552855,23231.9294706943,0.08271261261785354,87.87950931471568,61.77111684540172,67506.0674483404,0.08739063986514795,0.19626810061065436,4.558145859100991,0.07566284295172228,96.0090932664472,0.07411173566560961,0.0834319089479697,0.07026400715911173,0.40615450980392154,0.2364032396574874,0.30059916912314355,1.1017375938036498,0.07800268452388727,7.687307098765432,81.37298265963857,529.7460196290416,0.09248468779482777
13,113,48.9512,19.7354,27,20.3423,0,118,113,10,138,13,0.99404,44.82931,0.0,0.0,5.25,5.302,16.81607,0.0,0.0,127.0,26.27148,3e-05,0.31,1.678,-1.0,1.559209,21588.838796803127,0.08254410461161578,89.9242913214259,61.621509504906925,67117.73788461975,0.08732272578611598,0.197851243709508,4.650105627782775,0.07561335717381017,96.14272214981071,0.07372065606088672,0.0820399487482272,0.07568544768518841,0.3882482352941178,0.23631606154547857,0.3005991691231417,1.062509960989108,0.07712435598346394,6.995997299382716,80.52937868102504,526.1800297704835,0.09230157197193756
14,114,46.8824,19.5149,26,20.7268,0,118,113,10,138,13,0.99465,42.91979,0.0,0.0,7.17857,5.249,16.94028,0.0,0.0,127.0,26.03867,2e-05,0.31,1.626,-1.0,1.591615,18919.687482923735,0.0814075675768023,88.21354070632151,61.913810259030186,66626.83299890814,0.08782133816004617,0.19483707075493667,4.633719900301995,0.07555922365048853,96.46249951281797,0.07348385391971889,0.08077917724049843,0.07271000379281954,0.3797243137254902,0.2359973835447503,0.29838154307991177,0.9801538558506466,0.07677673017751817,6.534095293209877,79.59507101501644,523.2032335004253,0.09057129966541481
15,115,44.8268,19.2389,25,19.5103,0,118,113,10,138,13,0.99924,41.03102,0.0,0.0,6.35714,5.283,16.74161,0.0,0.0,127.0,26.04167,5e-05,0.31,1.495,-1.0,1.604705,16893.925187790002,0.08135224172713287,87.95718494410303,62.254838543173705,66264.6153394048,0.09116400660089566,0.18993110480008293,4.599266549904224,0.07553277344214072,96.75211147146629,0.07354572446289327,0.07965181481178554,0.07227889462247038,0.37864313725490195,0.23562425145179744,0.29616391703668027,1.053922733509209,0.07651807419559714,6.515576774691358,79.45807342229958,520.2190771051123,0.08957744696747293
16,116,44.8177,19.5304,25,17.1719,0,118,113,11,138,13,0.99808,41.01532,0.0,0.0,4.89286,5.337,16.50602,0.0,0.0,127.0,26.39901,2e-05,0.31,1.575,0.38323,1.585129,16794.094917419,0.08088929374094632,88.83968780698731,62.29306444709684,66185.81708511364,0.09504126950238069,0.1858481834076178,4.706112226025917,0.0751599772107801,96.79154894555523,0.07355810960643454,0.07871239866129755,0.0725053890704237,0.38632235294117634,0.23535085121589502,0.29616391703667755,0.8949449496937757,0.07604846459216351,6.913242669753086,79.93708781409754,517.4474589437942,0.08854388808527212
17,117,46.1952,18.7941,25,16.8255,0,118,113,11,138,13,1.00184,42.28846,0.0,0.0,5.10714,5.382,16.75787,0.0,0.0,126.0,26.94423,5e-05,0.31,1.597,-1.0,1.527908,17992.17366887518,0.08079419863438217,88.9423025054349,62.20810878423997,66434.59110210776,0.0964928191490702,0.18432704014970128,4.36084351694366,0.07515951360163675,96.64006907972745,0.07408269353317848,0.07791157934953119,0.0723877438760147,0.3998077450980382,0.2352668683969454,0.2961639170366819,1.008584672405736,0.07591173565206877,6.582368827160494,80.83286600260608,514.788506606791,0.08723647499395469
18,118,48.2825,18.8707,27,19.9524,0,118,113,11,138,13,1.00033,44.21977,0.0,0.0,4.35714,5.373,16.12438,0.0,0.0,126.0,27.37316,2e-05,0.31,1.613,-1.0,1.597373,20031.04134360164,0.08018494133000736,87.59265192590671,61.973345909589604,66895.37614603812,0.09590674870895056,0.1848055225615125,4.511772260151119,0.07520386646303877,96.28198826532966,0.0745678400821489,0.07700909126398073,0.07318706276395255,0.41215058823529416,0.2350938437273834,0.2961639170366828,1.126414896249348,0.07590255876888047,6.730854552469136,81.12684662164163,512.202460971315,0.08671094071335832
19,119,48.9378,19.5569,28,20.5649,0,118,113,11,138,14,0.99479,44.8779,0.0,0.0,5.57143,5.329,16.18738,0.0,0.0,126.0,27.65836,3e-05,0.31,1.587,-1.0,1.652859,20289.508169238445,0.07974343927973074,89.38792204373813,61.89139490951726,66733.6713941078,0.09575201818779891,0.1860623595859046,4.714897931708601,0.07495089833225743,96.24952620165784,0.07526903999844034,0.07628286844307583,0.07481434402543839,0.42327372549019604,0.23465014366916195,0.2983815430799117,0.9840467226151716,0.07555630337280517,6.84765625,81.43138850321685,509.8880389648083,0.08513154318922635
20,120,49.5905,19.744,28,18.091,0,118,113,11,138,14,1.00426,45.52675,0.0,0.0,5.17857,5.331,16.77391,0.0,0.0,126.0,27.85411,5e-05,0.31,1.527,-1.0,1.627153,20674.979034885775,0.07885190338608658,88.75566312086585,61.690470000843945,66771.35853458109,0.09603083888299167,0.18737233601545566,4.372889592402909,0.0751493062956829,96.12865647824485,0.07578892915897267,0.07564977261516205,0.07466334956173123,0.4303270588235294,0.2349696840348963,0.2983815430799142,1.102021399144315,0.07558052212209956,8.363425925925926,81.82896403540495,507.7599946836647,0.0846695360378141
21,121,49.4641,19.4811,28,19.7477,0,118,113,12,138,14,0.99905,45.43042,0.0,0.0,3.28571,5.264,16.94074,0.0,0.0,126.0,28.03118,2e-05,0.31,1.55,-1.0,1.611991,20481.326011394878,0.07840677927352682,89.19207005421435,61.69915809160398,66761.03587817035,0.09558512618090584,0.18772008007423296,4.816544249587089,0.07494654232777465,96.0730952213506,0.07574956492807208,0.07495830219326687,0.07410728262697097,0.4336305882352941,0.2344740686786215,0.3005991691231394,1.1711983095626826,0.07551924906591814,8.52806712962963,82.60591485387351,505.7590631709015,0.0839309721244776
22,122,49.0217,19.3026,28,18.8459,0,118,113,12,138,14,1.00162,45.03483,0.0,0.0,4.42857,5.32,16.71605,0.0,0.0,126.0,28.04994,1e-05,0.31,1.494,-1.0,1.644225,19991.384906879615,0.07753433564575277,90.66929657985297,61.89276612835166,66722.70407764433,0.09540197045227435,0.18803002675671043,4.58816718651686,0.07492942947586917,96.1509085512491,0.07646939084367117,0.07452084673002539,0.07340667404758687,0.43535464705882165,0.23463190965317204,0.3005991691231381,0.9827213437653681,0.07577301974837694,8.604311342592593,82.98746956571196,503.8844176910789,0.0834715363995439
23,123,49.2503,19.5322,28,19.7053,0,118,113,12,138,14,0.99614,45.274,0.0,0.0,4.10714,5.294,16.56077,0.0,0.0,126.0,28.05748,2e-05,0.3,1.661,-1.0,1.586522,20273.912005842245,0.07669262749507991,86.89657784212682,61.70839757095149,66891.1422850065,0.09655367509459305,0.18697453317935386,4.582112579431721,0.07507691034661404,96.0562519559781,0.07581625135303212,0.07406761242598321,0.07302869496903015,0.4347168627450981,0.23484212909614777,0.30059916912314183,0.9221857285873724,0.07604950602418742,8.894097222222221,82.56706088617481,502.0045938179086,0.08337529876957203
24,124,49.4266,18.8826,28,21.0155,0,118,113,12,138,14,0.99632,45.44967,0.0,0.0,4.75,5.237,16.76019,0.0,0.0,126.0,27.95373,3e-05,0.3,1.817,0.34285,1.546611,20743.027318577577,0.07685805125731399,85.96314044319305,61.60886882263937,67146.01758208427,0.09568740890357932,0.18602454699450852,4.855427861646201,0.07530911202142508,95.97067136576626,0.07539318736302665,0.07361758554688329,0.07269337422714828,0.43143529411764714,0.2344974051885136,0.3005991691231427,0.9731079200142464,0.0759779837744242,9.546875,82.14230932183305,500.015436519671,0.08346753133512687
25,125,49.4732,18.7692,28,19.4097,0,118,113,12,138,14,0.99743,45.50393,0.0,0.0,5.57143,5.268,16.19906,0.0,0.0,125.0,27.90067,2e-05,0.3,1.699,-1.0,1.552362,20906.395934129047,0.07634408733303145,90.81143351859781,61.675040162639846,67156.35314279547,0.09518638907638712,0.18584737669297693,4.542511212392539,0.07555137549248443,95.9536736978196,0.0767790035549813,0.07325950251649788,0.07410209627908836,0.424836392156861,0.23452689137263644,0.3005991691231422,1.0631288469712956,0.07620655823111523,10.198061342592593,82.29342076780969,497.9413975170752,0.0838106203655443
26,126,49.883,18.3423,29,19.7536,0,118,113,12,137,15,0.99686,45.88948,0.0,0.0,4.17857,5.268,16.10241,0.0,0.0,124.0,27.84757,2e-05,0.31,1.653,-1.0,1.50431,21680.385345686092,0.07704427099795685,84.1664100286568,61.6185508068697,67163.53821279369,0.09481089662143076,0.1858224669896721,4.692312961208569,0.07596622043528566,95.86329626165245,0.07840811596352967,0.07292765402471083,0.07322770542875762,0.42024627450980395,0.23456290900783186,0.3005991691231438,1.0592369400771053,0.07641836930265228,10.339506172839506,82.45532262419961,495.84772835188494,0.08406625405798113
27,127,50.5709,18.2677,29,19.5381,0,118,113,12,137,15,1.00056,46.52312,0.0,0.0,3.64286,5.242,15.73918,0.0,0.0,123.0,27.82881,4e-05,0.3,1.618,-1.0,1.505903,22742.2982242403,0.07764458490201025,85.92484405685016,61.50664077570409,67442.24320613508,0.09463254856936967,0.18563451566747552,4.649127506755873,0.0759587420950786,95.80282807557896,0.07979889608776812,0.0725520200030475,0.07295532624961247,0.413983294117647,0.23438535637967559,0.3005991691231427,1.285419844584147,0.07646074654008955,10.137924382716049,82.66166622793273,493.7901437201443,0.08428495315325547
28,128,51.0765,18.1666,29,19.0416,0,118,113,12,137,15,0.99729,46.97343,0.0,0.0,3.78571,5.233,15.67948,0.0,0.0,123.0,27.77456,5e-05,0.31,1.534,-1.0,1.426122,23417.231951303187,0.07879447222351653,88.86260217586182,61.48222162694107,67558.3291102003,0.09456182475105679,0.18614129241332253,4.641693610423384,0.07576056598958465,95.7437509499103,0.08114337612952613,0.07219322575397612,0.07253640620865077,0.4090588235294118,0.23427101365887207,0.30059916912314316,1.1793467892962635,0.07653367709125823,10.07667824074074,82.9033454663214,491.80525686596087,0.0845508658939407
29,129,50.9888,17.9571,29,18.3161,0,118,113,12,137,15,1.00007,46.88104,0.0,0.0,5.53571,5.199,15.59174,0.0,0.0,123.0,27.72769,2e-05,0.3,1.51,-1.0,1.403288,23426.16309876328,0.07944827711727409,88.69963859796162,61.47705209991078,67296.279026557,0.09426675877029235,0.18713101611779753,4.423804650106572,0.07559355761090454,95.7653597680718,0.08206886349813569,0.07186841549408825,0.07227186231403707,0.40820039215686266,0.23426010622125934,0.30059916912314283,1.1714469709530264,0.07669934868881824,10.055217978395062,83.13071010112071,489.91665887513506,0.0847303962882447
30,130,51.2232,17.6391,29,18.7407,0,118,113,12,137,15,0.99724,47.10669,0.0,0.0,4.35714,5.215,15.41078,0.0,0.0,123.0,27.67396,1e-05,0.31,1.539,-1.0,1.480673,23566.73401093528,0.08067159579374923,89.59613614942238,61.57067908769772,67316.96560896975,0.09401446194400534,0.18804144240683324,4.397957586027625,0.07527437895581912,95.7513761672395,0.08161235507502795,0.07373160676496239,0.07195032859552822,0.4088086274509803,0.23432723488767349,0.30059916912314005,1.462114664946994,0.07681064479389213,10.120322145061728,83.13875818688392,488.187100676526,0.08475861689209585
31,131,51.802,17.6617,29,18.0996,0,118,113,12,137,15,0.99827,47.61464,0.0,0.0,4.85714,5.215,15.13777,0.0,0.0,122.0,27.73962,5e-05,0.3,1.535,-1.0,1.49726,23974.726263657336,0.08136014471763078,90.61247909566065,61.46705589765384,67293.68495631256,0.09380183685493908,0.18896705057432467,4.3696976245784915,0.07515960636172503,95.69703374576261,0.08179321311550138,0.0741550005023121,0.07170148737629038,0.41210590196078273,0.23430965855668448,0.3005991691231406,1.2709858761388606,0.07688077866187473,10.174623842592593,83.25364229907046,486.5882722602375,0.08498419866971167
32,132,53.1442,16.3066,30,19.4165,0,117,113,12,137,15,0.99698,48.83052,0.0,0.0,3.57143,5.228,15.15796,0.0,0.0,123.0,27.99532,3e-05,0.3,1.488,0.38092,1.522066,25452.46254304408,0.0820158666664158,89.28325640478475,61.568708254967206,67426.03568930159,0.09503190683012196,0.18981419931076388,4.215867499477201,0.0751930669151697,95.4529415953312,0.08276322391658224,0.0755455432977829,0.07143400723305705,0.4150149019607842,0.23441989295180693,0.30059916912313905,1.346501345180975,0.07699890155794771,10.156876929012345,83.49104174603194,485.101557179561,0.08508786157791061
33,133,53.7547,16.811,30,18.456,0,118,113,12,137,15,0.99666,49.36796,0.0,0.0,3.32143,5.126,14.00227,0.0,0.0,124.0,28.09492,7e-05,0.31,1.512,-1.0,1.48417,26368.535389325607,0.08123786922795716,89.8242938065847,61.63521585346739,67495.17439907273,0.09851706504468277,0.19045606974413354,4.262700325958892,0.07492105407036553,95.34514588025647,0.08441203148001104,0.07787104334342848,0.0710322998112321,0.41704758823529403,0.23444383480040054,0.30059916912313756,1.1427600976365648,0.0771762117880008,10.512345679012345,83.3149340334229,483.7546662850942,0.08498043711547737
34,134,53.1924,17.1978,30,18.2242,0,118,113,12,137,15,0.99686,48.86506,0.0,0.0,4.71429,5.29,14.43078,0.0,0.0,124.0,28.08064,3e-05,0.31,1.474,-1.0,1.563253,25431.795698146736,0.0808240142257449,91.21160073600787,61.50669427565586,67309.29856847078,0.09893478874727626,0.19111733798459718,4.2211677266598455,0.07459997276444297,95.46105945946394,0.08514741463109532,0.0838944984546433,0.07054253358981791,0.4202011764705883,0.23445157736068767,0.2983815430799156,0.969633639172439,0.07720268063928962,11.072868441358025,83.46438006021675,482.51437828418443,0.08509490987153598
35,135,53.1006,17.6638,30,19.922,0,118,113,12,137,14,0.99802,48.79277,0.0,0.0,5.0,5.32,14.76657,0.0,0.0,125.0,28.16587,2e-05,0.31,1.537,-1.0,1.530843,25409.038105550917,0.08125551142569043,91.48749495184165,61.21729325659481,67261.88345000928,0.09813379936256826,0.19158196605394248,4.266401852525441,0.07438313591585198,95.47372373362124,0.08558143771029329,0.08672644450769006,0.07008151407254537,0.4176556862745099,0.23450357389778304,0.298381543079915,1.0235131476192978,0.0772779989209012,11.381992669753087,84.1192000185319,481.3642075485649,0.08535396758967094
36,136,52.2874,18.5456,30,19.934,0,118,113,12,137,14,0.99743,48.07987,0.0,0.0,4.25,5.381,15.16811,0.0,0.0,123.0,28.15208,5e-05,0.31,1.582,-1.0,1.499962,24051.867374941932,0.0812339044489215,89.0621511275222,61.171476387683256,67020.94861094185,0.0976823227630018,0.19179170273800908,4.423150758795235,0.07366972330031427,95.63728306293169,0.0862005909536009,0.0897889693685354,0.06971011441019052,0.41654196078431366,0.23449885285928834,0.3005991691231413,1.144421122519106,0.07727235788794898,11.646315586419753,84.62813821343285,480.3217438737767,0.08570679448448923
37,137,51.9582,18.782,29,20.6679,0,118,113,12,137,14,0.99781,47.80582,0.0,0.0,2.5,5.356,15.92143,0.0,0.0,123.0,28.10345,2e-05,0.31,1.66,-1.0,1.474773,23623.998742270578,0.08136197522815576,86.61832271069363,61.03687465338059,67071.83754874452,0.09896255759179941,0.19198442290230877,4.58887312514107,0.07368306788373116,95.72809162823006,0.08568657127341131,0.09054809196059671,0.06957349829218071,0.4154298039215686,0.23440075992639478,0.3005991691231415,0.7802733071626989,0.07724762041542942,11.735580632716049,84.60892117205077,479.33858599402146,0.0860276428124803
38,138,51.8259,19.2087,29,19.1039,0,118,113,12,137,14,0.99851,47.67875,0.0,0.0,3.39286,5.3,16.12469,0.0,0.0,124.0,28.01039,4e-05,0.31,1.514,-1.0,1.472861,23584.909239949844,0.08168384678077026,90.46065919780104,60.85144419728974,67122.05196573125,0.10021037718891238,0.19228106985320195,4.454125938876496,0.07313672975772921,95.76705931593051,0.08547713194528989,0.09028344462707161,0.06916598412743344,0.4106027450980392,0.23417341158088822,0.3005991691231416,0.7571784061529508,0.07728246186962408,11.650028935185185,84.4666110152325,478.3595286069576,0.08657231988991425
39,139,51.3018,19.6469,29,19.3736,0,118,113,12,137,14,0.99972,47.21877,0.0,0.0,4.03571,5.358,16.48902,0.0,0.0,124.0,27.9483,3e-05,0.31,1.766,-1.0,1.513983,22718.619336293785,0.08174062168404558,87.9263117113137,60.84545370973187,67057.5530353783,0.1002760139715202,0.1924342203070118,4.585340487136506,0.07293068292566933,95.88402069136083,0.08516915730530375,0.09121760386798017,0.06881721327557964,0.40954549019607833,0.23389897718122682,0.3005991691231421,0.9248340794623159,0.07727725957900922,11.233989197530864,84.42553304017909,477.416821944315,0.08600606489878808
40,140,51.2623,19.8845,29,20.6961,0,117,113,12,137,13,1.00088,47.18202,0.0,0.0,4.85714,5.32,16.86245,0.0,0.0,125.0,27.93034,2e-05,0.31,1.62,0.38066,1.498588,22646.466828831773,0.08123475548768619,88.39471103535934,60.82076027952594,67240.91579838954,0.09958849924061867,0.19268359893950993,4.580387609082244,0.07244736478908712,95.89358905666158,0.08504822212717071,0.09088825880317461,0.07138825103117036,0.4085274509803922,0.23382314159582276,0.3005991691231429,0.9534627217912116,0.07732488797434459,11.037760416666666,84.01707343325882,476.5319902417427,0.08532190170709908
41,141,50.9489,19.9224,29,20.2695,0,118,113,12,137,13,0.99699,46.90503,0.0,0.0,2.57143,5.269,17.06448,0.0,0.0,125.0,27.92073,5e-05,0.31,1.441,-1.0,1.472237,22170.320420242533,0.08088010098935228,86.06789537424322,60.740159399715466,67325.03745433592,0.0995977517171601,0.19293932586629153,4.577070321042209,0.07228377186316265,95.91087838005144,0.0851347574641197,0.09124831361184418,0.07279258132763584,0.409561568627451,0.23362824894948403,0.3005991691231437,0.969827362707479,0.07738505982148557,10.411458333333334,83.61632364300792,475.69459274643094,0.08476634299043323
42,142,50.676,20.1345,29,19.9134,0,118,113,12,137,13,0.99585,46.61787,0.0,0.0,3.92857,5.196,17.09885,0.0,0.0,126.0,27.6287,2e-05,0.31,1.526,-1.0,1.49894,21741.166250670638,0.08099302861046721,86.62548034005718,60.923608662169656,67509.44528154742,0.09992644567714996,0.1930162600810271,4.5285051463586425,0.07249140482677302,96.01268784877578,0.08660607068519553,0.09086336273258928,0.07272085008688246,0.40544745098039214,0.2334196507412466,0.30059916912314383,0.9179352728682459,0.07747956211677376,9.763310185185185,84.09154044450048,474.9579092319103,0.08445219409863298
43,143,50.0159,19.9985,29,20.5696,0,118,113,12,137,13,0.99854,46.00894,0.0,0.0,3.25,5.141,17.27795,0.0,0.0,126.0,27.33405,4e-05,0.31,1.658,-1.0,1.498044,20856.161970717065,0.08190993306403971,86.1635215413378,60.927885079089506,67443.13004817242,0.09923162360902495,0.19274394445980836,4.588950664743139,0.073449144265461,96.13931077797028,0.08632708962658267,0.0902307530357781,0.07369321302485617,0.4035745098039216,0.23314614983218857,0.30059916912314366,1.191493848645259,0.07747093252582427,9.237991898148149,83.7693089649855,474.30654855703835,0.0840509147357175
44,144,49.2771,20.3438,28,21.7785,0,118,113,12,137,13,0.99552,45.33203,0.0,0.0,3.42857,5.179,17.16362,0.0,0.0,125.0,27.21372,2e-05,0.31,1.685,-1.0,1.500236,19989.77066114964,0.08334079562572484,91.01370821866301,60.791844497492285,67285.38517435614,0.09892653159327024,0.19254265044935817,4.553640155286477,0.07358769506647572,96.2350153518053,0.08658752486082126,0.08976364533508784,0.07512875707964345,0.402816862745098,0.2329180871412355,0.30059916912314305,0.8602981362977715,0.07747060216253185,9.411024305555555,83.27043333770894,473.6449083408524,0.08391243619668962
