,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,movement,uhdhdsim,cubrow.0.5,tone,noise,cubcol.0.3,cubcol.0.5,cubrow.0,blockiness,saturation,color_fulness,blur,cubcol.0.6,temporal,cubrow.0.6,cubrow.1.0,cubrow.0.3,fft,contrast,staticness,cubcol.1.0,cubcol.0
17,17,87.4688,13.7172,85,23.6704,0,115,117,17,137,17,1.01063,92.93752,0.0,0.0,0.67857,4.128,11.65669,0.0,0.0,127.0,42.46649,0.00019,0.5,3.68,-1.0,0.18473,6.600887345679013,88.90433605505356,0.30394754098954324,0.6204650980392142,0.607257005268579,0.23720220302728048,0.21218134630129526,0.3565748077043838,3.6196545058357668,55.82225752465519,77.80185908469466,59666.01569366549,0.21596148320222092,5.546610478101188,0.30456899020327816,0.24331726514196275,0.2882656795412446,69802.82175362071,87.33948378140605,573.5674212690084,0.3727812776801168,0.1817739167709747
18,18,87.3726,13.7736,85,24.6239,0,115,117,17,137,17,1.01691,92.85175,0.0,0.0,0.82143,4.149,11.82176,0.0,0.0,127.0,42.53939,0.00019,0.51,2.819,-1.0,0.185996,6.384307484567901,88.90486730957099,0.30464681318534925,0.6221854901960784,0.6050393792253441,0.23458654965462203,0.21187706330212222,0.3566423665601536,5.0500230906733465,55.80793837559076,77.95373290841043,59523.099008283934,0.21513941207909346,5.634556411257774,0.30434643465867495,0.2435508075302195,0.2865053277559609,69538.79049112984,87.63046174658832,572.9047740104005,0.37040960474641577,0.18084116989539276
19,19,87.5179,13.4583,85,24.1594,0,115,117,17,137,17,1.01509,92.86017,0.0,0.0,0.64286,4.157,11.87068,0.0,0.0,126.0,42.5792,0.00016,0.5,2.451,-1.0,0.19632,6.133342978395062,88.94854703083838,0.3050484538548592,0.6220086274509804,0.5989807122030519,0.2321274448582927,0.21229682357605667,0.35681393890013313,6.424904926381549,55.79581988299335,77.87012461927186,59820.70333584948,0.2143745896309832,5.595332888095294,0.3043778858242618,0.24355896005786037,0.2831161731792326,69588.61729137899,85.38921977652201,572.378783391952,0.3685248909408443,0.17913720366477864
20,20,87.5354,13.9381,84,23.1745,0,115,117,17,137,17,1.01102,92.68251,0.0,0.0,0.35714,4.147,11.59846,0.0,0.0,126.0,42.6008,0.0002,0.5,2.216,-1.0,0.202004,7.360339506172839,88.97235191767295,0.30575326016573906,0.6225129411764707,0.5951396712239938,0.23037566328987807,0.21287927206696797,0.3579527966170845,7.959369603931404,55.7954467019917,77.65195237939088,59767.377813400635,0.21405406879108452,5.545280616941542,0.30425187897877304,0.24349452803328772,0.28117608071047084,69634.86564342827,87.78911578824953,571.9806776215684,0.36691431960018905,0.17678461487607167
21,21,87.4192,14.3581,84,24.3042,0,115,117,16,138,17,1.00983,92.45982,0.0,0.0,0.14286,4.145,12.009,0.0,0.0,126.0,42.61449,0.00017,0.51,2.118,-1.0,0.232683,7.239679783950617,88.97519824729687,0.30590131240427937,0.6226619215686262,0.5951396712239916,0.2283829200414126,0.21422381084965178,0.35863507305937925,7.520397067769728,55.76960773232542,77.44448831759652,58671.84965147825,0.21374863870172758,5.624506222611865,0.30359782167102595,0.24300583994631414,0.27904045412941253,69464.14064769902,85.25627758165243,571.6178462339506,0.3654313765699406,0.17589126911594438
22,22,87.2053,14.6134,84,23.8242,0,115,117,16,138,17,1.00269,92.15672,0.0,0.0,0.32143,4.14,12.36886,0.0,0.0,127.0,42.60512,0.00021,0.5,2.071,-1.0,0.247381,7.031587577160494,88.98481527905497,0.30551074227849867,0.6224847058823529,0.5929220451807615,0.22585273705323305,0.21558413032439222,0.3593371932028046,3.8349449702458314,55.71533240801022,77.26772113273715,58193.014861030264,0.21409029691406334,5.737325881929923,0.30291974928555393,0.2422508165589541,0.2773679083012621,69537.32370100432,87.75950534003982,571.222007414507,0.36503682754078365,0.1743206582719252
23,23,87.2292,14.4927,83,24.7114,0,115,117,16,138,17,0.9941,92.05985,0.0,0.0,0.17857,4.155,12.58594,0.0,0.0,126.0,42.65273,0.0002,0.49,1.995,-1.0,0.261009,7.253231095679013,89.00706139833368,0.3046865557234262,0.6235799999999999,0.5884867930943044,0.22481400812543592,0.21673602035564601,0.35958633589290906,3.8528543131291655,55.73936688458478,76.91435757200246,58437.4991663494,0.21376362587077055,5.801773921199968,0.30252041095550425,0.24133469257902518,0.27506068841164344,69519.19385693083,89.15006701819182,570.7979985772737,0.36532930459602253,0.17400478851589726
24,24,86.8611,14.6834,83,24.5159,0,115,117,16,138,17,0.98922,91.55156,0.0,0.0,0.21429,4.154,12.48098,0.0,0.0,126.0,42.79818,0.00015,0.49,2.142,0.15368,0.253193,7.734230324074074,89.04676594413067,0.3043952616092608,0.6259177843137236,0.5884867930942974,0.22341855073184694,0.21788323121816894,0.36041065973827147,5.79238668327747,55.754220844786836,76.9392968770615,57574.78845659691,0.2134415968459281,5.756744917352781,0.30197799603625664,0.24070549773550204,0.27246292609811257,69487.0904286499,85.89085872439321,570.3587263195757,0.3659289860621125,0.17355754583966895
25,25,86.8617,14.8582,82,24.9524,0,115,117,16,138,17,0.99171,91.38319,0.0,0.0,0.57143,4.157,12.64522,0.0,0.0,125.0,42.99412,0.00016,0.48,2.363,-1.0,0.245052,9.092351466049383,89.06883291176783,0.3041187122678907,0.6284015686274509,0.5846457521152364,0.2223274700689803,0.2188608655661167,0.3619314237933911,6.491184988603814,55.76562613028068,77.5300364341765,57864.874953081446,0.21327111758676237,5.76854211713412,0.3013110556912594,0.23995943360828842,0.26966909108202464,69738.04000156374,86.34045633573773,569.8489994926659,0.36645262447166976,0.17619435958348809
26,26,86.984,14.976,82,24.7984,0,116,117,16,138,17,0.9955,91.3382,0.0,0.0,0.60714,4.179,12.79479,0.0,0.0,126.0,43.15369,0.00012,0.48,2.568,-1.0,0.245434,9.455343364197532,89.10223453623622,0.3033116363360811,0.6311368627450981,0.584645752115237,0.2225745278829329,0.22052185950653913,0.3632022051655697,6.003435242299706,55.65067432544849,77.16431150436902,58905.18877421748,0.212637049421799,5.76312009598453,0.3007365203924362,0.2394194340934778,0.2672702295741667,69859.75877238366,88.4842730538214,569.214474267631,0.3663440653593901,0.17972487867604203
27,27,86.9683,14.6154,82,24.9928,0,116,117,16,138,17,0.99775,91.25995,0.0,0.0,0.35714,4.159,12.89453,0.0,0.0,126.0,43.30936,0.00012,0.48,2.438,-1.0,0.230079,9.842833719135802,89.06959553572526,0.3026342377219332,0.632085882352941,0.5846457521152343,0.22221262366662664,0.22118161976297834,0.3645717657870865,8.189132116518072,55.80509101019965,77.27404567605126,59124.37315183912,0.2124343801420507,5.855885679142939,0.3003829328601254,0.2390341248876173,0.26622376586758534,69836.27138193512,87.61659610102566,568.4794337062926,0.3653546004342494,0.18431016277349646
28,28,86.6804,14.3877,81,26.1517,0,116,117,16,138,17,1.0043,90.88381,0.0,0.0,0.39286,4.183,12.59344,0.0,0.0,127.0,43.35243,0.00018,0.49,2.465,-1.0,0.230521,10.104793595679013,89.12131739670242,0.3015289580845671,0.6319709803921569,0.581833914964604,0.22299611421468002,0.2223204997623794,0.3662621993005884,7.907709345633665,55.738039746696565,77.49499707823841,58634.20995811409,0.21201706668230488,5.880892243768706,0.3003460164861436,0.23931085052078432,0.26364235740768566,69655.84159987734,86.21293822092088,567.68329242289,0.36368792833102564,0.18311007996199208
29,29,86.1958,14.4464,81,26.2733,0,116,117,16,138,17,1.00393,90.19276,0.0,0.0,0.14286,4.187,12.38738,0.0,0.0,127.0,43.29319,0.00019,0.49,2.69,-1.0,0.25808,10.567177854938272,89.18863724543596,0.30072927713977127,0.6307,0.5703107920274205,0.224353044544471,0.22335814421495218,0.3679749003618849,7.301791157303509,55.76680425950039,77.83334953867569,57151.72708208232,0.2120764625228149,5.859395606959648,0.29981449677978983,0.23919178534206378,0.26154962092740813,69683.80947397788,85.04592713472013,566.8308302265651,0.36216951045277235,0.18144143378312422
30,30,85.6688,14.7981,80,28.2559,0,116,117,16,138,16,1.0062,89.46332,0.0,0.0,0.42857,4.193,12.43385,0.0,0.0,127.0,43.34857,0.00018,0.49,2.646,-1.0,0.25376,11.71850887345679,89.23795581427919,0.2999576146390586,0.6297486274509804,0.5686873770915851,0.2257939735516325,0.22407692754507552,0.36912140227276324,5.706698014252226,55.68125482253087,77.73750213744314,56254.55796317297,0.21189078466828576,5.8947890657888715,0.29926391568618244,0.24049344666291733,0.2597552210317054,69600.32170927933,84.71530228478551,565.8537718180153,0.36114105190804635,0.1803011017478533
31,31,84.7462,15.1517,78,28.4349,0,116,117,16,138,16,1.00322,88.33707,0.0,0.0,0.71429,4.173,12.73816,0.0,0.0,127.0,43.36288,0.00014,0.49,2.625,-1.0,0.240444,11.85985725308642,89.36387114919626,0.29864860252004527,0.62724,0.5598168729186713,0.22693928116448647,0.22487087060469838,0.3700100223405625,6.155139543131655,55.742750191394194,77.5525185039457,54460.12761573859,0.21169781281127892,5.978120566530358,0.2986888002366799,0.24052095546087846,0.2581951148852558,69457.80748860666,84.88139115412201,564.6978416029542,0.36049199311895963,0.1791811221311947
32,32,84.0105,15.3015,78,30.7805,0,116,117,16,138,16,0.99342,87.49907,0.0,0.0,0.67857,4.178,13.03725,0.0,0.0,127.0,43.46498,0.00013,0.49,2.736,0.15021,0.228928,11.94777199074074,89.42837322028645,0.2977292711384073,0.6261839019607837,0.5598168729186643,0.22745273741893807,0.22563199379016258,0.3704764003380205,7.326217185504633,55.72880930959443,76.89329201038441,53258.80528561303,0.2116025978564748,5.997898026441989,0.2981999041462993,0.24102922954318862,0.25698729355784755,69542.36086571583,84.43315465869608,563.3253075093328,0.3608376075513434,0.17770744998673269
33,33,83.6207,15.1262,77,30.0094,0,116,117,16,138,16,0.98874,86.89225,0.0,0.0,0.46429,4.184,13.16171,0.0,0.0,127.0,43.555,0.00012,0.49,2.671,-1.0,0.223575,11.96339699074074,89.48371660981437,0.2965727958400138,0.6258086274509805,0.5521347909605364,0.22813124182891545,0.22623891804481236,0.3708367031369416,9.284969799632089,55.81631921838831,76.81400705483692,53085.206125597986,0.21163672440952205,5.942564306555836,0.29756647218696985,0.2413912707123543,0.25618975327392424,69594.1721621831,87.36611110516384,561.8566994662652,0.361426025776741,0.17598125743864518
34,34,83.1045,14.5887,76,29.9435,0,116,117,16,138,16,0.98034,86.30524,0.0,0.0,0.57143,4.182,13.01841,0.0,0.0,127.0,43.64504,0.00013,0.49,2.372,-1.0,0.251435,12.399836033950617,89.50675335447661,0.2955339489490946,0.6274597843137248,0.5476995388740735,0.22876965375698818,0.2268856351392245,0.3706981661273904,10.486813496788075,55.46373343762057,79.57950537865065,52204.34911626082,0.2116852159039288,5.958977291887119,0.297374070726507,0.24202028480297588,0.25565580455190823,69540.38001737758,85.25345761374847,560.2144994260341,0.3616170553663065,0.17403758894910776
35,35,82.109,14.403,75,28.3021,0,116,117,16,138,16,0.98568,85.27876,0.0,0.0,0.42857,4.17,12.54533,0.0,0.0,128.0,43.64928,0.00019,0.49,2.045,-1.0,0.300873,12.955439814814815,89.53524630994634,0.2946236668514922,0.6284372549019608,0.5454819128308442,0.22911523745124981,0.22784322280330613,0.3709938912342371,11.773732382137183,55.31887986924913,80.92563995065467,50160.60865915876,0.21137394104807988,5.7619447859250945,0.2970913272021885,0.2426123682110308,0.25507011219282166,69317.48268983791,84.7504806427147,558.4789876268303,0.36150487570216283,0.17224446337966
36,36,81.2541,14.7233,74,27.9668,0,116,117,16,138,16,0.99955,84.24821,0.0,0.0,0.71429,4.174,12.38843,0.0,0.0,127.0,43.45245,0.00021,0.49,2.172,-1.0,0.29961,12.845679012345679,89.6475826358065,0.2937090950824329,0.6271564705882353,0.5372056197653264,0.22967437978393604,0.2288853531235236,0.37098744652180643,10.391560159597356,55.46857461811584,81.07758196969115,48799.19903733892,0.2115727094672467,5.699659804008485,0.2965090407018857,0.2428489011165596,0.25517676846274695,69117.4016234377,86.65794790244887,556.648299827757,0.36136228349681665,0.1705248187842497
37,37,80.8517,14.6476,73,23.982,0,116,116,15,138,15,1.00317,83.72389,0.0,0.0,0.78571,4.175,12.66288,0.0,0.0,128.0,43.03459,0.00019,0.49,2.304,-1.0,0.30384,12.446566358024691,89.69277071411159,0.2927208071356046,0.62372,0.5349879937220882,0.23051247066949784,0.22975608301638903,0.37018503351673315,8.449746382169877,56.547253644024885,81.14097444841784,47685.23496001953,0.2110302569452621,5.995703824024483,0.29582578735349147,0.24279197327395888,0.25553739293209715,68955.08928856543,84.8289408012993,554.5458830171374,0.3607846200402512,0.1689611538188418
38,38,81.1287,14.8674,73,23.437,0,117,116,15,138,15,0.99887,84.02391,0.0,0.0,0.85714,4.167,12.59973,0.0,0.0,127.0,42.79678,0.00019,0.49,2.329,-1.0,0.3292,12.594618055555555,89.6558484671577,0.2918418504636594,0.620978431372549,0.5311469527430295,0.23142916741756916,0.23047006623077684,0.36914471282142197,7.9557159588417115,56.43882657274788,81.03824738219346,47978.76977550348,0.21084852307320945,5.697162249467647,0.2953193170005837,0.24267554817337764,0.25593068785908357,68914.64364524925,84.36960673935963,552.3131031243158,0.35939067520850065,0.16756321793903944
39,39,81.6767,14.5856,73,22.7261,0,117,116,15,138,15,0.9871,84.55433,0.0,0.0,0.71429,4.165,12.79823,0.0,0.0,127.0,42.7559,0.00016,0.48,1.977,-1.0,0.360313,12.779947916666666,89.61677341897021,0.2909891708214954,0.6210466666666667,0.5327703676788563,0.23225110448797534,0.23102539708976758,0.3685135281922391,8.115296075532287,56.30574808002991,81.69632052488977,48900.206070505104,0.21071079467976295,5.7702384704770076,0.2948206171813313,0.24229435415894482,0.2562400506843244,68944.80194612434,85.4861384429003,550.0562398177256,0.3576304813898273,0.16656112460614866
40,40,82.0582,14.6469,73,23.422,0,117,116,15,138,15,0.98612,84.98569,0.0,0.0,1.14286,4.149,12.54213,0.0,0.0,127.0,42.84846,0.00016,0.47,1.852,0.15869,0.368698,13.513358410493828,89.54713971580964,0.2902529333450754,0.6225392156862745,0.5349879937220869,0.23362016129607424,0.23176836973063064,0.3680268360946625,7.117969791430621,56.136447482638886,82.04628015748426,49134.81742160157,0.21033199054069188,5.730921153913788,0.29420333527384684,0.24218660649217974,0.2567037811988162,68723.84805712487,85.9284201787635,547.8238392777608,0.3557941195442987,0.16507463217524795
41,41,82.0943,14.4106,73,22.2367,0,117,116,15,138,15,0.99478,85.11137,0.0,0.0,1.60714,4.191,12.59451,0.0,0.0,127.0,42.93049,0.00019,0.48,1.967,-1.0,0.382998,13.572193287037036,89.57434034292132,0.2893500735374845,0.6239572549019609,0.5311469527430251,0.2353344582260603,0.23221765815937206,0.36774922754761613,8.06236478817826,55.91241794162326,83.14829909976683,49001.47268220143,0.20989008132678155,5.788407925588382,0.29378199064082644,0.2419827579782458,0.2572544974980415,68965.4987648809,84.57443022993357,545.6092722930338,0.354164431526929,0.16338201327986784
42,42,82.3136,13.7752,74,23.1194,0,117,116,15,137,15,0.99351,85.39244,0.0,0.0,1.85714,4.163,12.39654,0.0,0.0,126.0,43.06703,0.00017,0.48,2.287,-1.0,0.40917,12.997299382716049,89.59969118567787,0.2885082227484586,0.6265090196078431,0.5289293266997962,0.2366188747631216,0.2326719528241463,0.36751815886128864,7.512031509517156,55.78850263430748,83.24348467202695,49453.66487028492,0.20958827166929805,5.748223650401128,0.2934735535447297,0.24173217564486998,0.25797808955112356,68795.85276755424,84.70595295071607,543.4730364640855,0.35275598910425043,0.16193143753244893
43,43,82.4178,13.8084,74,22.6735,0,117,117,15,137,15,0.98024,85.56097,0.0,0.0,1.35714,4.147,11.85734,0.0,0.0,126.0,43.22123,0.00015,0.48,2.224,-1.0,0.413667,12.085792824074074,89.56674046024611,0.2879376105350519,0.625552156862745,0.5333645787862576,0.23778739332883958,0.23284117275164076,0.3671323393326853,7.40324047759843,55.54558968249662,83.90214977727626,49567.323690656005,0.20927621815272524,5.66804014139772,0.2930541944703539,0.24164373777335257,0.25884515336819425,68715.04196712589,87.86774350503327,541.4821295829968,0.35165849674312094,0.1606115904147966
44,44,82.3893,14.4305,74,20.2023,0,117,117,15,137,15,0.96992,85.56509,0.0,0.0,1.57143,4.161,11.88889,0.0,0.0,126.0,43.32051,0.00019,0.47,2.47,-1.0,0.455883,11.460599922839506,89.58917941580668,0.28748715346104325,0.6248211764705882,0.5301177489145945,0.23868935477399011,0.23369367585701065,0.3670555710806262,7.189234461039406,55.426378226574556,84.10384341107121,49496.42911597883,0.20899814277623424,5.667570024899552,0.29269121959186234,0.24153185560578241,0.2596047283084734,68716.54341928904,86.48135029979755,539.6532616594752,0.35081722161894996,0.15944138923322002
