,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.1.0,saturation,cubcol.0.3,cubcol.0.6,cubrow.0.5,cubrow.0,contrast,cubcol.0.5,blur,color_fulness,staticness,cubrow.0.6,cubcol.1.0,temporal,uhdhdsim,blockiness,fft,movement,cubrow.0.3,tone,cubcol.0,noise
10,210,70.0537,18.6194,58,21.0065,0,134,125,7,129,6,0.9955,75.22735,0.0,0.0,4.92857,8.416,16.19567,0.0,0.0,132.0,65.1267,0.0,1.19,2.525,-1.0,0.000537,0.17783246170401426,16.582581885067032,0.17044099296057783,0.17185010391711497,0.2428939657811222,0.1703361154015471,89.10404064522687,0.1715481472178106,47472.116261923926,104.50562472995185,320.97660392897035,0.2485347968834264,0.21049714889793827,6.720879639037436,94.87542628581153,2.037847528719529,65516.568393746464,10.842881944444445,0.20935645057615723,0.8114109803921569,0.20747313533673964,0.43242564706412834
11,211,69.995,18.8163,58,21.1013,0,134,125,7,129,6,1.00293,75.17853,0.0,0.0,5.46429,8.415,16.14366,0.0,0.0,130.0,65.08448,0.0,1.17,2.162,-1.0,0.000648,0.1774299865190981,16.599710723500195,0.1685709531831192,0.17249326547679938,0.24576110199274645,0.16885959825260602,85.74505029376522,0.17029946852407424,47373.046263346914,104.70037669274575,319.43275995452984,0.24706048027257452,0.2100353788352376,6.7178203371558345,94.86559700495098,1.6044656590040756,65650.61804290247,12.585310570987655,0.21092871382930187,0.8111203921568627,0.20636607157073797,0.4324256470641323
12,212,69.8948,18.5666,58,21.2794,0,134,125,7,129,6,1.0022,75.12777,0.0,0.0,5.03571,8.431,16.30562,0.0,0.0,130.0,65.02762,0.0,1.18,2.464,-1.0,0.000471,0.1771668058386487,16.62109488028067,0.16689449533551604,0.17222212722335573,0.24602818018280168,0.1706099347620034,88.55088242626107,0.16945197148292623,47179.53589145874,105.24301941110905,317.9160451927037,0.24503089334605038,0.2090549333823905,6.748525847353415,94.86128435462192,1.756816734994017,65596.8617391538,12.024980709876543,0.21311601452506052,0.8110180392156863,0.20525299592217586,0.43242564706413145
13,213,69.9376,19.2376,58,19.8924,0,134,125,7,129,6,1.00242,75.16226,0.0,0.0,5.25,8.403,16.08655,0.0,0.0,131.0,64.99455,0.0,1.18,2.174,-1.0,0.000413,0.1772655138133561,16.585062662760418,0.16549708494936094,0.17268172858701758,0.2451061578173298,0.17053089790174125,86.95592167414532,0.16862201641869695,47313.29871087373,106.97821559446277,316.4089075023162,0.24286887195343568,0.20802562159607996,6.720552574252521,94.86745181103971,1.3489507140873875,65516.76459874387,10.41796875,0.21389313254093034,0.8114827450980392,0.20419780757226433,0.4324256470641323
14,214,69.8139,19.5404,58,22.2301,0,134,125,7,129,6,1.00305,75.04068,0.0,0.0,4.53571,8.434,16.66996,0.0,0.0,131.0,64.95416,0.0,1.17,2.408,-1.0,0.000347,0.17769278694855664,16.601229820722416,0.16369056116559141,0.17272461589384352,0.24406226209152707,0.17014617709376342,88.65167526648449,0.16785516195005504,47112.558395052314,106.54400155881874,314.93436497937046,0.24087673615804348,0.20707314321203568,6.7849883496273,94.86069613828619,1.1344918356377467,65554.98102695461,10.307484567901234,0.2138750077513768,0.8119309803921568,0.20353888104017484,0.43242564706412884
15,215,69.6803,19.446,58,22.1019,0,134,125,7,129,6,1.00288,74.95215,0.0,0.0,4.78571,8.467,16.94123,0.0,0.0,132.0,64.88707,0.0,1.18,2.454,-1.0,0.000715,0.17758010008175404,16.63864606692467,0.16228765738520343,0.172573113022059,0.2441851647441631,0.1691526506857717,89.34049505743616,0.1674006723209826,46821.938528602936,107.19294902612228,313.4730462608417,0.23945976611663883,0.20649376552068366,6.814228435357791,94.86776205032234,1.7550567728335411,65611.33545486192,11.53660300925926,0.21472414058105133,0.8119835294117648,0.20414781565013854,0.43242564706413056
16,216,69.9242,19.7078,58,22.1877,0,134,125,7,129,6,1.00598,75.14384,0.0,0.0,3.64286,8.426,16.8569,0.0,0.0,129.0,64.83769,0.0,1.16,2.26,0.125,0.000322,0.17821391447325244,16.62248945824894,0.16182726019308719,0.1729332670523336,0.2454486762939869,0.16707150649432206,88.5499203286694,0.16699350490440018,47262.634858964164,107.6196911625946,312.05242759709387,0.2382341569451187,0.2065319214255161,6.7932907008908945,94.86808582189636,1.337237373643007,65660.42673934402,13.553578317901234,0.21604657044646552,0.8120929411764706,0.2054733117696204,0.4324256470641319
17,217,69.7777,19.3463,58,22.1474,0,134,125,7,129,6,1.00408,75.01923,0.0,0.0,4.57143,8.418,17.08634,0.0,0.0,130.0,64.77054,0.0,1.17,2.442,-1.0,0.000617,0.1785768462374581,16.623837317949462,0.16257214560137986,0.17276533213969592,0.24679050519103993,0.16442231857582926,87.725144862637,0.16703717054149594,47092.715281517725,107.97090103666794,310.6288651036501,0.23712250322860898,0.20678608105962143,6.827013683682739,94.87592585420914,1.64642215944221,65585.45203272767,13.503086419753087,0.2162388765802815,0.8109698039215687,0.2039866252599297,0.43242564706413256
18,218,69.8399,19.4225,58,22.4717,0,133,125,7,129,7,0.99523,75.09932,0.0,0.0,6.32143,8.426,16.76992,0.0,0.0,131.0,64.73499,0.0,1.16,2.358,-1.0,0.000908,0.1783739801234155,16.657013881353684,0.16364309612253267,0.17275680853579461,0.2478795916123784,0.1612037251806617,88.67878741073454,0.16700652520988105,47238.037899050876,108.6031216330089,309.2497659461556,0.23652676764809014,0.20792105445924142,6.795831594738293,94.85375488267819,1.4178474065124058,65616.00610231447,13.264805169753087,0.21534599521367054,0.8119152941176471,0.20281846628996558,0.43242564706412995
19,219,69.8306,19.5396,58,21.1777,0,133,125,7,129,7,0.99119,75.08391,0.0,0.0,4.07143,8.452,16.8338,0.0,0.0,128.0,64.66068,0.0,1.17,2.475,-1.0,0.000462,0.17888433392382663,16.659622380762926,0.16498624462811873,0.1730703517200866,0.2489836233103457,0.15843657057075966,88.93820757063591,0.16684087829579836,47245.42587087622,108.40058475671769,307.89090744643033,0.23580063102082757,0.20850845361314072,6.822938047747104,94.86483718905828,1.4398035805684393,65625.5284186297,13.103829089506172,0.2139981010240404,0.8114109803921569,0.20227340037344427,0.4324256470641347
20,220,69.8581,19.3342,58,21.4429,0,133,125,7,129,7,0.99803,75.10919,0.0,0.0,2.92857,8.433,16.93311,0.0,0.0,129.0,64.59129,0.0,1.17,2.628,-1.0,0.000971,0.17987815571895596,16.684552793149596,0.16550342289023445,0.17264700395546295,0.24961917867140584,0.15592431567352857,89.28903393561546,0.166985473086919,47330.34070552415,109.10856232536321,306.55094180574844,0.2349039312791361,0.20890765243561799,6.835683665922199,94.86639536331639,1.168804538097308,65687.26905889456,14.97608024691358,0.21313618300421527,0.8105760784313726,0.20271238471404665,0.4324256470641316
21,221,69.7036,19.4705,58,21.1639,0,133,126,7,129,7,1.00232,74.99357,0.0,0.0,6.17857,8.435,16.75589,0.0,0.0,130.0,64.51221,0.0,1.16,2.706,-1.0,0.000543,0.18155535176151613,16.66536740903501,0.1651276623700526,0.1727903746264667,0.25007735287984584,0.1540477611116315,89.79979688766372,0.16734354669937326,47045.81970724458,110.13198352320555,305.2327090483505,0.234203818451147,0.2090854180541524,6.82338642243018,94.87507489372337,1.5102747370685594,65727.76599388884,15.53173225308642,0.21189779353417731,0.8103886274509804,0.2035378578741044,0.43242564706412995
22,222,69.7847,19.0737,58,21.1073,0,133,125,7,129,7,1.00807,75.07219,0.0,0.0,6.0,8.428,16.87519,0.0,0.0,130.0,64.47141,0.0,1.18,2.279,-1.0,0.000449,0.18282290473582383,16.710904910240647,0.16408948638068718,0.1725018857893632,0.24991192298966566,0.15263767207131018,88.38416655712608,0.16770709842009462,47232.950905253616,109.8422322290248,303.92977812389796,0.2334886057348182,0.20853753131222277,6.849051033851362,94.86550555411638,1.60425638948847,65690.66948590048,15.639949845679013,0.21001966444575934,0.8103886274509804,0.2047898316892057,0.43242564706412945
23,223,69.7175,18.9714,58,21.1134,0,133,126,7,129,7,1.00524,75.01246,0.0,0.0,6.07143,8.415,16.52902,0.0,0.0,129.0,64.38173,0.0,1.18,2.5,-1.0,0.001106,0.1839292284838467,16.629620964144483,0.16316422676665082,0.17218420758755665,0.24965360759166252,0.15105725472636897,88.39944255252794,0.16807743504389536,47084.918177109845,110.45049415049641,302.6383435548766,0.23257761844489147,0.20809600261351788,6.805247264842634,94.8786421621717,1.6572828323642237,65658.99175913435,15.449893904320987,0.20824247069710577,0.8094360784313726,0.20527888461046234,0.4324256470641335
24,224,69.7123,18.6852,58,21.26,0,133,126,7,129,7,0.99885,75.0163,0.0,0.0,5.32143,8.437,16.43812,0.0,0.0,130.0,64.34095,0.0,1.18,2.33,0.125,0.000903,0.18420574390447253,16.6816057746793,0.16217652625217574,0.17211006661324568,0.24963808917283917,0.14902691304090712,83.19163679288256,0.16838389777819074,47070.31132106933,110.78318293160679,301.39390436071835,0.2315779912535403,0.20718774186031108,6.814224224452949,94.87999595597516,1.4589284785418728,65609.74814699117,15.870177469135802,0.2063502398329821,0.8094729411764706,0.20465971722882048,0.432425647064135
25,225,69.6203,18.7015,58,21.2364,0,133,126,7,129,7,0.99794,74.9424,0.0,0.0,4.85714,8.409,16.19153,0.0,0.0,129.0,64.27594,0.0,1.17,2.676,-1.0,0.000743,0.18444736088128721,16.694582150306232,0.16177841304552928,0.1717694197483893,0.24997148747559333,0.14728091144873035,87.58849655481178,0.1687600596077714,46896.754475949965,111.23136509186975,300.15959122323983,0.23057418379077504,0.20696062913891636,6.775888094192567,94.88055753369042,1.0687855874478436,65622.67773209716,16.77710262345679,0.20423435208301705,0.8092207843137255,0.20392766563837747,0.43242564706413367
26,226,69.6952,18.9699,58,21.2531,0,133,126,7,129,7,1.00065,75.01106,0.0,0.0,5.75,8.429,16.20088,0.0,0.0,130.0,64.22116,0.0,1.17,2.277,-1.0,0.000495,0.18482697390743666,16.695675885235822,0.16176165723650593,0.17162555638950053,0.25086095697961475,0.14563929557290176,87.98610502479852,0.16905018257422583,46987.661491688006,111.81445266530616,298.96480993578876,0.22971885740333936,0.20661240742113615,6.781806516486416,94.88528814643826,1.2994556728195235,65597.62707753041,16.951099537037038,0.20217755892834507,0.8088419607843137,0.2031826461322045,0.432425647064131
27,227,69.4115,19.085,58,21.5346,0,133,126,7,129,7,0.99995,74.72765,0.0,0.0,6.71429,8.437,16.4386,0.0,0.0,132.0,64.11567,0.0,1.17,2.28,-1.0,0.000292,0.18553618777891717,16.692613201376833,0.16161584863972978,0.17153724675293777,0.2517535933807332,0.14397117502115997,89.31081737998625,0.1696175374411726,46518.622979700944,112.36978744527022,297.77231639173937,0.2290859352664733,0.2065192341926497,6.811575002328439,94.91122276731845,1.471392036374879,65555.29373513839,16.884596836419753,0.20051991391313018,0.8077694117647058,0.20210787923993587,0.4324256470641344
28,228,69.5745,18.6623,58,21.21,0,133,126,7,129,7,0.99855,74.89547,0.0,0.0,4.92857,8.411,16.53468,0.0,0.0,132.0,64.07662,0.0,1.17,2.609,-1.0,0.000327,0.18614645029802682,16.697171058183834,0.16151736174749712,0.1711128455755653,0.25278501525702163,0.14224008146616132,88.53121308678016,0.1697642787258099,46885.55748628256,112.71655595507968,296.6229407978324,0.22821077834201436,0.206539387402567,6.826920121750761,94.87342975836859,1.394829864369327,65588.76075589188,16.903404706790123,0.1994581450303939,0.8085976470588235,0.2006763665276894,0.4362666880431931
29,229,69.4207,19.2235,57,21.841,0,133,126,7,129,7,0.99308,74.76057,0.0,0.0,3.92857,8.453,16.16897,0.0,0.0,131.0,63.98831,0.0,1.17,2.237,-1.0,0.00017,0.18655062333576117,16.704342500663095,0.1612974992980307,0.17112950455082693,0.2539054658490989,0.14052736139935276,89.33102034126608,0.17011127629967954,46565.70346809395,113.42625121862979,295.46629073271316,0.22687621050263534,0.20616994732646263,6.80010634306598,94.89735219356933,1.5099330354508018,65476.85136320229,17.393470293209877,0.1988906221353076,0.8076061764705882,0.19925446361583188,0.4362666880431962
30,230,69.5577,19.0454,57,22.2894,0,133,126,7,129,7,0.99485,74.86533,0.0,0.0,5.85714,8.435,16.65445,0.0,0.0,131.0,63.93689,0.0,1.17,2.009,-1.0,0.000578,0.18662864985748243,16.685992582344713,0.16089249408557008,0.17091270082078752,0.2547839151984432,0.1388943782272315,88.4665449528709,0.17039381374057408,46885.62077904368,113.75530512383972,294.31988799694443,0.22618984550544197,0.20620198731204173,6.851118372121217,94.88776892289061,1.2143682868029806,65402.07593919227,17.933738425925927,0.19859390744468347,0.8080619607843138,0.19746145404809912,0.43626668804318997
31,231,69.4371,19.4226,57,21.4269,0,133,126,7,129,7,1.00019,74.72345,0.0,0.0,7.10714,8.43,16.49896,0.0,0.0,133.0,63.83843,0.0,1.17,2.342,-1.0,0.00063,0.1866565136492061,16.646062403549383,0.16068155519077673,0.17070621953490614,0.25552499047015825,0.13729472059695436,88.53084620252739,0.1707663421619495,46646.07317973174,114.8821427858646,293.1878557220412,0.2260345870046644,0.20592692306940336,6.8458707276579895,94.90090629520785,1.2805908682079419,65374.61925606225,18.070119598765434,0.19829910332607023,0.8073301960784314,0.19637743058564974,0.43242564706413394
32,232,69.4761,19.5267,57,21.895,0,133,126,7,129,7,1.00475,74.72618,0.0,0.0,5.32143,8.436,16.82763,0.0,0.0,133.0,63.77558,0.0,1.17,2.286,0.125,0.000293,0.18693879600029364,16.674676212263694,0.16042406007224946,0.170628521442772,0.2559060883477143,0.13583969059023063,88.50722629824534,0.171332570442548,46729.06201301174,115.17623562752817,292.0755653506683,0.22584729681356355,0.20602715598398844,6.872908971663126,94.8987814393638,1.0287894508596076,65398.575509210736,18.172453703703702,0.19811814776767386,0.8069650980392158,0.19582787587134798,0.43626668804319557
33,233,69.4641,19.0369,57,21.2545,0,133,126,7,129,7,1.00058,74.73366,0.0,0.0,4.21429,8.417,16.9163,0.0,0.0,131.0,63.69337,0.0,1.17,2.33,-1.0,0.0004,0.18700358188318789,16.692316125940394,0.1603621833125183,0.17047329412909804,0.2562728130275998,0.13438586693315474,86.66236541425297,0.17165736807816948,46822.44268540151,115.49834808925347,290.9536960722358,0.22515503398498385,0.2058188908918342,6.878677128774388,94.89801944021372,2.069103069824666,65330.60434612358,18.33714313271605,0.1985143053416941,0.80672,0.19499662409212584,0.432425647064141
34,234,69.4758,19.0266,57,20.3349,0,133,126,7,129,6,0.99997,74.78361,0.0,0.0,4.78571,8.401,16.49298,0.0,0.0,131.0,63.64558,0.0,1.16,2.074,-1.0,0.000783,0.18709190937306497,16.705338843074845,0.16036458812473806,0.1706149698637207,0.25682162291809024,0.13290540158714198,86.07288934698794,0.17210512094873348,46790.071515699805,115.71838076812253,289.8581032124155,0.2245822920839709,0.20603257750208803,6.854467585986944,94.89215894072835,1.4874256480443464,65441.04331589296,18.644917052469136,0.19897907143814156,0.8073984313725491,0.19398767961728303,0.4362666880431927
35,235,69.4366,18.7401,57,21.0989,0,133,126,7,129,7,1.00216,74.72245,0.0,0.0,5.14286,8.411,16.48376,0.0,0.0,131.0,63.5488,0.0,1.16,2.234,-1.0,0.000165,0.18707023503377335,16.693219031816646,0.16023656858088542,0.170560297924036,0.2576289722483418,0.131526353058233,86.20538962984955,0.17257375575324072,46715.395576767296,116.01992753997352,288.76989536057107,0.2240860130389242,0.206276693527304,6.839733269359826,94.89582897023362,1.395818375906273,65436.55871503279,18.88961226851852,0.19935064760127413,0.8070325490196079,0.1932339941130762,0.4362666880431964
36,236,69.5084,19.4931,57,20.435,0,133,126,7,129,7,1.00173,74.73939,0.0,0.0,4.07143,8.375,16.23464,0.0,0.0,131.0,63.47126,0.0,1.16,2.041,-1.0,0.000452,0.18734697274239376,16.661842063621236,0.16004618267923842,0.17052116590650504,0.2585871854873121,0.13022996622086863,87.91831538387262,0.172925847902596,46874.890768600904,116.3702705042996,287.7065984305868,0.22339332602330064,0.2065023871239795,6.807646527797106,94.90714399528096,1.4899573980070235,65609.12220621847,18.85281635802469,0.19945754588643103,0.8063803921568627,0.19307973423246225,0.432425647064135
37,237,69.4627,19.6735,57,21.5423,0,132,126,7,129,7,1.00124,74.66887,0.0,0.0,5.25,8.361,16.88943,0.0,0.0,130.0,63.42238,0.0,1.16,2.043,-1.0,0.000308,0.18816931480434632,16.651753931869695,0.15981423022036353,0.170393711466084,0.2594286823751958,0.1290619825134981,88.14685423123753,0.17299106111602547,46817.98464107572,117.27525706478934,286.6526033184915,0.22294430393996342,0.20682095960517505,6.875926529878728,94.89635779836166,1.7489955257870917,65728.85079085139,18.752121913580247,0.19941481283440607,0.8056564705882353,0.19284749240027677,0.43242564706413544
38,238,69.4588,19.1321,57,22.0033,0,132,126,7,129,7,1.00281,74.72757,0.0,0.0,6.67857,8.371,17.0444,0.0,0.0,130.0,63.35913,0.0,1.17,2.152,-1.0,0.000573,0.18929241403119046,16.649844134295428,0.1598233035467927,0.17002925085028342,0.25999695351317353,0.12803989061572282,88.15510435148077,0.17300170315259675,46806.99424221116,117.83579185724716,285.6072790528557,0.22334832371457297,0.20722878428654953,6.889173241219215,94.88941360987944,1.3659769614434056,65637.92613090089,18.86988811728395,0.19962202393860612,0.8056301960784313,0.1930436270039557,0.43626668804319824
39,239,69.3826,19.13,57,20.9037,0,132,126,7,129,6,1.00216,74.64361,0.0,0.0,6.92857,8.431,16.57885,0.0,0.0,130.0,63.2857,0.0,1.16,2.282,-1.0,0.00071,0.19049679819006654,16.645372932339892,0.15991787367561397,0.1697979283836481,0.26021512892049703,0.12706564097459247,85.98071683476023,0.17285126517551988,46716.255848010034,118.10809259758483,284.57362214751294,0.22397387475689115,0.20811292069030296,6.847991972265442,94.91231017482255,1.2575466665735855,65702.77869023719,19.068528163580247,0.20004551120049455,0.8059252352941176,0.19309472396862729,0.4362666880431966
40,240,69.2991,19.0376,57,21.6218,0,132,126,7,129,7,0.99967,74.53973,0.0,0.0,7.10714,8.44,16.57495,0.0,0.0,129.0,63.21777,0.0,1.16,2.208,0.125,0.000462,0.19119010585019713,16.66525419258777,0.15987285546439992,0.16954325928619984,0.2602347624733148,0.12611749726508598,87.4897339797681,0.17278722456159834,46558.536745111385,118.24991193508916,283.55599573845285,0.22458132555841157,0.2089550869440644,6.8423137480458704,94.93076717173781,1.6024133164366026,65714.84520373873,19.228587962962962,0.20012155178153476,0.8053396078431373,0.19314156824379974,0.4362666880431963
41,241,69.1373,19.1155,57,21.7128,0,132,126,7,129,7,0.99893,74.37099,0.0,0.0,6.5,8.451,16.4959,0.0,0.0,129.0,63.12207,0.0,1.17,2.086,-1.0,0.000389,0.19116075984421493,16.61372168270158,0.15971421183750112,0.16915604592914393,0.26037415256661656,0.12513038845855207,86.86533037654821,0.17261116877432275,46198.61904407589,118.99903943667968,282.5559923274378,0.2251981121441643,0.20990081850649067,6.837446243704243,94.93772817797907,1.6235169503565456,65696.19212887037,19.25491898148148,0.19976518247429428,0.8047478431372549,0.19308033362693544,0.43626668804319646
42,242,69.0026,19.2432,57,21.7614,0,132,126,7,129,7,1.00091,74.2152,0.0,0.0,6.0,8.48,16.56097,0.0,0.0,129.0,63.06164,0.0,1.16,2.043,-1.0,0.000151,0.19100330953432412,16.61524605456694,0.1592619921688989,0.1689558383369983,0.26072020060531237,0.12422527003391189,85.3074901885398,0.17285358333298,45951.765140731884,119.95872662706063,281.5617453069911,0.22563524021813647,0.21068664847583174,6.845454013014047,94.95277635631894,1.5804386819358125,65748.55473439158,19.28100887345679,0.19938409915463104,0.8046760784313726,0.1931293584765534,0.43242564706413683
43,243,69.0263,19.0048,57,21.8409,0,132,126,7,129,7,1.00075,74.22845,0.0,0.0,4.5,8.456,16.67294,0.0,0.0,130.0,62.98387,0.0,1.17,1.976,-1.0,0.000359,0.19022495344995718,16.603364920910494,0.1588881239667034,0.16851676850913616,0.2612161074251586,0.12336610594720825,84.99452589416958,0.17298372342408294,45946.06489170053,119.56856842203595,280.57515490323533,0.2258321978080705,0.21136673425029465,6.858486269727237,94.95435018574312,1.5964048899841699,65697.67035385707,19.45587384259259,0.19928393832232555,0.8045027450980393,0.1936397432494165,0.4362666880431952
44,244,69.0275,19.1338,56,21.7356,0,132,126,7,129,7,1.00516,74.19446,0.0,0.0,4.03571,8.453,16.46857,0.0,0.0,131.0,62.93826,0.0,1.17,2.218,-1.0,0.000549,0.189617262657701,16.620812310112846,0.1588076666676722,0.16815072414443943,0.26154158841410957,0.12256175849281023,86.77825755105313,0.17316275980311474,45988.906066742704,119.98384090992575,279.60356342334376,0.22591195359359167,0.2116829608954323,6.84828801054771,94.95332713156714,1.7190628689871612,65668.78419900901,19.477092978395063,0.19932386389463788,0.804362862745098,0.19370490551531974,0.43626668804319424
