,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,noise,color_fulness,cubcol.0.6,cubrow.0.6,fft,cubcol.1.0,uhdhdsim,cubcol.0.5,blur,blockiness,staticness,movement,saturation,cubrow.1.0,cubrow.0.5,cubcol.0,cubrow.0.3,contrast,cubcol.0.3,temporal,cubrow.0,tone
11,11,65.8747,15.0215,41,16.1798,0,113,122,8,130,8,0.99943,62.82068,0.0,0.0,4.57143,4.432,12.6288,0.0,0.0,126.0,45.80751,0.00024,0.3,3.353,-1.0,1.564743,0.32099279623325594,114.36028283717947,0.13568370626426596,0.1925218017425586,66832.32794496608,0.15952364087042165,92.67734077363421,0.1227308080715968,34649.484468857074,2.791661459955682,393.7734783681933,5.969328703703703,32.07535449369454,0.11039267233952363,0.24159967318299735,0.136656143735098,0.23579385102778694,87.36557302441281,0.21879523658130753,3.8351369339584127,0.09117016680839896,0.6793121960784313
12,12,65.6623,14.996,41,16.2879,0,113,122,8,130,8,0.99804,62.62232,0.0,0.0,5.39286,4.439,12.87996,0.0,0.0,126.0,45.76108,0.00025,0.3,3.324,-1.0,1.622119,0.32099279623325433,113.77944697680257,0.1356103590575589,0.1918311915824681,66819.42531561248,0.1599938403686298,92.69803405656852,0.12488962979076983,34224.79123157667,3.0419279542564444,392.8946587787614,5.649064429012346,32.15020281002845,0.11060522026157431,0.2416663255725624,0.13748541005640044,0.23526844014049741,88.17054630758436,0.21854083661386822,3.85359482327678,0.09083966270881826,0.6787726470588236
13,13,65.627,15.102,41,16.0618,0,113,122,8,130,8,1.00708,62.58316,0.0,0.0,5.28571,4.437,12.86113,0.0,0.0,126.0,45.69836,0.00022,0.3,3.282,-1.0,1.68042,0.32099279623325666,113.33320297894399,0.135362977677093,0.19104441329688251,66852.16758802987,0.16022653663386455,92.67478385647834,0.12458906069972671,33974.67980031571,2.9189198105280245,392.0883432250361,5.218798225308642,32.19842736514998,0.11041151103685833,0.2415562268379562,0.13923874171297462,0.23495447648930132,91.3111766972579,0.2181110960722219,3.877361407956643,0.09093392105782391,0.6789121568627452
14,14,66.0333,15.2969,41,17.2764,0,113,122,8,130,8,1.00148,62.96048,0.0,0.0,4.46429,4.45,12.95483,0.0,0.0,125.0,45.76008,0.00024,0.31,3.222,-1.0,1.638174,0.32099279623325466,112.72887363002775,0.13516100597417693,0.1904955133730114,66861.92856958784,0.16044068701759862,92.58909673070471,0.12204481551211326,33965.01075659668,2.9079078201238913,391.45839366768325,5.115258487654321,32.322654064790704,0.11011893128472831,0.2416056848121821,0.1418289177988437,0.23466750674282252,88.3782400647527,0.2165796869965588,3.9201576287975133,0.09070791965325636,0.6808874509803923
15,15,66.3652,15.4686,41,17.1972,0,113,122,8,130,8,1.00367,63.25993,0.0,0.0,4.39286,4.436,13.12198,0.0,0.0,126.0,45.66095,0.0002,0.3,3.386,-1.0,1.680944,0.3209927962332555,112.9783505564791,0.13523879884668938,0.19008412342651035,66907.79368131299,0.16057486712699,92.50607624978251,0.12014472707398743,33856.73034372377,2.4030735533533374,390.85262618545147,6.435812114197531,32.36438044795283,0.10965048269556996,0.24201092626841553,0.14465919109628841,0.2341641116154014,87.32025424106675,0.21490870077884314,3.930083464483756,0.09065030065430119,0.6800882352941178
16,16,66.645,15.6191,41,16.6582,0,113,122,8,130,8,1.00753,63.5165,0.0,0.0,3.57143,4.464,13.27185,0.0,0.0,125.0,45.56626,0.00026,0.3,3.465,0.41204,1.67806,0.32321042227648195,113.26753292789451,0.13514368913770503,0.1891188463367095,66942.5938277019,0.16061586601306221,92.41870756124791,0.11868182815928813,33726.6668743609,3.3104652072063216,390.2384356558615,7.077835648148148,32.11069497944396,0.10926615054728668,0.24200552692635297,0.14786705792176838,0.2334677435926976,91.56916637323894,0.2135404798650904,3.98257660837996,0.0904465780647498,0.6803807843137255
17,17,67.095,15.9918,41,17.5547,0,113,122,8,130,8,1.00811,63.93356,0.0,0.0,4.35714,4.486,13.40717,0.0,0.0,126.0,45.60599,0.00026,0.3,3.582,-1.0,1.674193,0.32099279623326077,112.54324872911505,0.13512610831853208,0.18812587378352325,66903.69243176134,0.16072512756351162,92.37806581819642,0.11726249244978049,34001.19026769806,3.5929737422690398,389.5460200295241,7.20336612654321,32.411837730878666,0.1083323376098328,0.2416204419414937,0.15223928181888455,0.23286408249335458,90.53592369416371,0.21187945256428536,4.024243061062064,0.09043994986680239,0.682023137254902
18,18,67.3522,16.3013,41,16.6351,0,113,122,8,130,8,1.00642,64.16053,0.0,0.0,1.75,4.504,13.72145,0.0,0.0,126.0,45.57799,0.00024,0.3,3.046,-1.0,1.662612,0.3232104222764847,112.35646192315143,0.13534294906342298,0.18716795354408994,66817.96083715526,0.15910260086868228,92.36083445552488,0.1158364903682173,33916.75841068192,2.6240017616232976,388.638671912776,7.257474922839506,32.199089709623365,0.10753176170322015,0.24110637247346953,0.1555467636291294,0.2322331091362902,87.8514763673099,0.208736019247099,4.079430217592374,0.09055249681704168,0.6831572549019609
19,19,67.513,16.7424,41,18.2134,0,113,122,8,130,8,1.00724,64.29263,0.0,0.0,2.67857,4.536,13.98815,0.0,0.0,125.0,45.49252,0.00018,0.3,3.154,-1.0,1.665408,0.3232104222764872,112.43458843352167,0.13567916986950113,0.18643272773082942,66805.77486386304,0.15787715782159378,92.26866175005327,0.11505240216206501,33998.222148386776,2.4497348695244985,387.4781482659603,7.155430169753086,32.341669153284144,0.10675424303554058,0.24034483687414201,0.15762383434920468,0.23137727256522214,89.73545326272856,0.20653932655069873,4.175940008547742,0.09056067462706811,0.6842050980392157
20,20,67.903,16.9524,41,17.5174,0,113,122,8,130,8,1.01112,64.6548,0.0,0.0,2.71429,4.541,14.37069,0.0,0.0,125.0,45.59046,0.00021,0.3,3.02,-1.0,1.629896,0.3232104222764874,111.74566027083668,0.1359541386265997,0.1860620082090123,66983.74439110598,0.1568817042545858,92.20271129608945,0.11313755004985285,34496.02522363676,2.745688528861987,386.18397455006385,8.747781635802468,32.6826806715977,0.10582285134761309,0.23976248491794944,0.15932394232012514,0.23076462714487095,91.13886653050257,0.20541404466754867,4.2355178128844315,0.09054497183894997,0.6867584313725491
21,21,68.4221,17.1327,41,18.4983,0,112,122,8,131,8,1.01328,65.15759,0.0,0.0,1.96429,4.513,14.54611,0.0,0.0,125.0,45.68317,0.00015,0.3,3.181,-1.0,1.685832,0.3232104222764906,111.84975060977901,0.13618203058669567,0.18580941048682556,67098.15501486344,0.15691362542770237,92.16535809861935,0.11216229183109176,35265.82039413756,3.8477927556194493,384.7957345505801,9.253713348765432,32.6122396963614,0.10495186241946017,0.23909175992220666,0.16209140572708342,0.23024264071083864,86.71378696948443,0.20449240527655152,4.228738651332773,0.09053279953640442,0.6895937254901962
22,22,68.9776,17.3987,41,19.6296,0,112,122,8,131,8,1.01568,65.70419,0.0,0.0,2.17857,4.58,14.70146,0.0,0.0,125.0,45.82719,0.00022,0.3,3.128,-1.0,1.698171,0.3254280483197087,112.71974125716733,0.13663626987485392,0.1851646190735429,67243.92483754116,0.15706543667760278,92.06391910996518,0.11145468874309997,36051.38279537011,3.898768615891119,383.462672112603,9.608796296296296,32.82426226580584,0.10411828054982551,0.2379978427295621,0.1647558350458703,0.229812146081424,89.49626572720031,0.20386272523405366,4.291012175912248,0.09039570932827791,0.6950392156862746
23,23,69.4864,17.3712,42,18.1153,0,112,122,8,131,8,1.02269,66.16069,0.0,0.0,1.78571,4.625,14.93009,0.0,0.0,125.0,46.15398,0.00022,0.3,3.266,-1.0,1.752244,0.32321042227649066,111.62184363723395,0.13722381818253082,0.18468829414941026,67206.86649870082,0.15523226531177947,91.98547199386454,0.11125792799859828,36690.96504037666,3.8111167918478164,382.15249424283263,9.940055941358025,33.17268767180266,0.10377685240398499,0.23697530970951494,0.16695332336112897,0.22949688328361437,89.21137542627969,0.20355735268942698,4.335109237383925,0.09042414661084,0.7038654901960784
24,24,69.7485,17.5097,42,19.9862,0,112,122,8,131,8,1.02396,66.35494,0.0,0.0,2.25,4.681,14.90489,0.0,0.0,125.0,46.43854,0.00019,0.3,2.638,0.41062,1.748171,0.323210422276486,111.50753416382005,0.13787006569202478,0.18428902615422196,67075.74251864645,0.15284862194990437,91.92562097019284,0.1136386952264,37425.395164560556,2.927799748257614,380.7522719337888,10.490065586419753,33.27776082356771,0.1035497603478415,0.23578216812659297,0.1689280239472079,0.22932989941731013,86.37313903948022,0.2033675843859996,4.405398032948181,0.08965639340124233,0.7088670588235295
25,25,69.856,17.6538,42,21.5734,0,112,122,8,131,8,1.02579,66.45025,0.0,0.0,2.53571,4.748,15.0227,0.0,0.0,125.0,46.66771,0.00022,0.3,3.14,-1.0,1.784567,0.3232104222764856,111.31021554045523,0.1381105596694264,0.18402471789532235,67014.02609487168,0.15299140653502916,91.8446395683084,0.11432095108267201,37666.64706978262,3.122156087487063,379.2680636965002,11.974488811728396,33.506599332079475,0.10366548054509636,0.23473776446007696,0.1713635237403128,0.22923584981585285,87.07849193331619,0.20258551070175873,4.546519857830166,0.08903546577661275,0.7133831372549019
26,26,70.2211,18.208,42,20.5947,0,112,122,8,131,8,1.02378,66.90649,0.0,0.0,1.71429,4.764,15.1466,0.0,0.0,125.0,47.07184,0.00032,0.3,3.453,-1.0,1.733403,0.32542804831971606,110.8675040870589,0.13823316744721537,0.18404811796041298,67015.77198678518,0.15595130422846418,91.68838316346864,0.11768203458269642,38223.14669292288,3.315456265466528,377.73514806988584,12.681520061728396,33.82889980740018,0.1036492217340289,0.23376075550682962,0.17291212644974616,0.22924145688885225,86.61605222278276,0.20097491797917516,4.596031774226724,0.08849269465289941,0.7195227450980392
27,27,70.365,18.4967,42,22.9715,0,112,122,8,131,8,1.03181,67.2493,0.0,0.0,3.10714,4.78,15.62109,0.0,0.0,125.0,47.33232,0.00039,0.31,3.704,-1.0,1.756964,0.3276456743629484,110.51252887603552,0.1376998944568664,0.18368900618594072,66905.30421089618,0.16060352890272303,91.5476700240238,0.11792566120233641,38221.60646943321,4.731676609947971,376.04252688737995,13.546537422839506,33.88071319203318,0.10391772163042504,0.2326162351224408,0.17499595828781367,0.22926227678596012,87.30939227280422,0.19883245598169283,4.637357687660342,0.08794935282848759,0.7247019411764678
28,28,70.8879,18.8101,43,24.1679,0,113,122,8,131,8,1.02758,67.95081,0.0,0.0,3.57143,4.809,15.87371,0.0,0.0,125.0,47.43149,0.00062,0.31,3.586,-1.0,1.766186,0.33148671534200763,110.89027082299614,0.1366010008694729,0.18342106164189262,66734.16892617788,0.1691277803728582,91.29230929200591,0.118219919354596,38186.228148366295,4.177836538590567,374.4557532013918,14.06568287037037,34.09691987214265,0.10447849253487551,0.23132889894253053,0.17772235143154413,0.2290156036443827,92.534048925412,0.1975486741609563,4.692811788058185,0.08740502574655855,0.7271821764705816
29,29,71.3231,18.6587,43,23.9468,0,113,122,8,131,8,1.03055,68.4937,0.0,0.0,4.32143,4.795,16.14476,0.0,0.0,125.0,47.48663,0.00073,0.3,3.384,-1.0,1.757144,0.3353277563210719,110.2617773884554,0.13496258067534753,0.18298923682880194,66740.20642260533,0.17548227824168272,91.06622580010452,0.11831389035052346,37938.56834960937,3.84634205978636,373.13701174736786,14.860435956790123,34.24788581000434,0.10446535910272133,0.23024882704654157,0.18048631274122431,0.22865454048944273,91.8703620410322,0.19681318228644337,4.704793784539462,0.08680564206137374,0.7314513725490196
30,30,70.4923,18.5595,43,22.9841,0,113,122,8,131,8,1.02484,67.71179,0.0,0.0,2.03571,4.851,16.01088,0.0,0.0,125.0,47.41476,0.00078,0.31,3.438,-1.0,1.784175,0.33311013027784564,109.64165425694904,0.13337343768184393,0.18263991976191501,66450.05960192913,0.17377432368645296,91.14700373342352,0.11839122232460761,36568.54430064462,4.555023201130734,371.9352678866516,15.689573688271604,34.56751222963687,0.10447047886009435,0.2289397797293515,0.1809442547536736,0.22807907153327173,90.60053468792206,0.1951707077826172,4.819557732284686,0.08632221558202324,0.732538431372549
31,31,68.5602,18.9939,41,24.3278,0,113,122,8,131,8,1.034,65.77265,0.0,0.0,3.03571,4.889,15.92665,0.0,0.0,125.0,47.26284,0.00106,0.3,3.181,-1.0,1.730381,0.3314867153420096,110.85913716371456,0.1319646965095346,0.1823597904503525,66463.24306299092,0.17236008462553723,91.52225361704404,0.11757198168160833,34962.784947702356,2.9045737218671888,370.8992575910094,15.878809799382717,34.4792337299865,0.1044688212682527,0.22746158809358247,0.18167008814772967,0.22757836877712526,90.07458794105003,0.19390364171634814,4.957660224438275,0.08588429841395616,0.7321031372549021
32,32,67.0814,19.2236,41,25.4417,0,113,122,8,132,8,1.03294,64.13957,0.0,0.0,2.46429,4.967,16.29956,0.0,0.0,125.0,47.28307,0.00066,0.3,3.279,0.42091,1.728825,0.3292690892987829,111.04736912485441,0.1305271511833415,0.18161792486076012,66599.33902255713,0.1714391800750065,91.92732958498846,0.11705637285915763,34100.43270598497,4.079922925910512,370.1276965159747,16.517264660493826,35.050201416015625,0.10453015100486918,0.22614511937307108,0.1823215383304311,0.2272833207736859,87.12678266581044,0.1928339176163992,5.023257860638354,0.08555190717625451,0.7354172549019609
33,33,65.7923,19.1261,40,26.8052,0,113,122,8,132,8,1.03601,62.75528,0.0,0.0,4.42857,4.991,16.49709,0.0,0.0,125.0,47.0829,0.00049,0.31,3.557,-1.0,1.693241,0.3254280483197188,112.39008173862963,0.12941596460419574,0.18107996342856175,66554.12724530004,0.17028430042192574,92.22130381305524,0.11675547852135719,32639.67156077953,3.542007906222766,369.55027530469454,17.013985339506174,35.038093849464694,0.10506036470232405,0.22505644588176146,0.182706762436875,0.2270589548934062,90.31248811090488,0.1919524902778399,5.000483274612672,0.08523317974434443,0.7366584313725489
34,34,64.3817,18.7139,39,24.642,0,113,122,8,132,8,1.03211,61.39178,0.0,0.0,2.21429,5.029,16.41624,0.0,0.0,125.0,46.72661,0.00047,0.3,2.931,-1.0,1.747594,0.325428048319715,113.68947075839068,0.12832554039573982,0.18034979882935195,66499.80967074224,0.16818537959965973,92.41058443842189,0.11673559179935668,30983.13981725556,3.210351895011105,369.19374044056633,17.951822916666668,35.37823505166136,0.10506939425344194,0.22362184088380327,0.18302788449681132,0.2268731968415727,89.74331296999559,0.19103214604486743,5.008900722903508,0.0849094170063744,0.735827078431371
35,35,63.4148,18.2006,39,25.5037,0,113,122,8,132,9,1.04024,60.45179,0.0,0.0,4.14286,5.005,16.05958,0.0,0.0,125.0,46.42924,0.00052,0.31,2.781,-1.0,1.707247,0.3254280483197159,114.36123161174325,0.12783112322472195,0.17981052296907918,66356.39424225593,0.1669564386540825,92.6046574878994,0.11675117912279603,30170.080505761078,2.6202067692064976,369.03048336230677,18.53862847222222,35.59978871286651,0.10533625679121597,0.22253659515937854,0.18306984449760108,0.22690109920610288,89.31265068120399,0.190640526588689,5.041948868492193,0.08466236468070092,0.7367549019607843
36,36,62.0802,18.1493,38,25.1543,0,113,122,8,132,9,1.04196,59.31241,0.0,0.0,2.92857,4.984,15.61753,0.0,0.0,125.0,46.04064,0.00058,0.31,3.12,-1.0,1.699527,0.3254280483197168,114.34591697660059,0.1267380814874241,0.17912744580827,66154.13819437195,0.16686060371255598,92.78289644357596,0.1166577972765341,28279.285929010195,2.2968324958593045,368.99452042762294,18.65234375,35.68104402518566,0.10589712750357436,0.221507166298385,0.18336221975031042,0.22695562883424406,90.00895339154239,0.19022582586060857,5.103755620889112,0.08453853012456061,0.7328356862745098
37,37,60.6903,18.1217,38,26.7306,0,113,122,8,132,9,1.02972,58.20593,0.0,0.0,4.25,4.987,15.57673,0.0,0.0,125.0,45.52735,0.00061,0.31,3.087,-1.0,1.731852,0.32926908929877885,116.84075524590112,0.12607251612736506,0.1783871372496369,65846.06133459455,0.16695713130111947,92.808915692309,0.1165909511006089,26243.917072043536,3.332310284996462,369.15055319487925,18.675154320987655,35.909151053722994,0.10640689428938475,0.2206237823153309,0.18360687540920984,0.2269075591532422,88.44766368931754,0.1903131388852737,5.162774849696872,0.084382574803745,0.7287490196078432
38,38,59.4554,18.2439,38,28.3611,0,113,122,8,132,9,1.0327,57.25891,0.0,0.0,4.28571,4.996,15.54905,0.0,0.0,125.0,45.07022,0.00077,0.31,2.606,-1.0,1.726783,0.3314867153420101,117.27654964154698,0.12540843911246335,0.17773907517329512,65638.14901813725,0.16683654335881717,92.92959886025005,0.11649920238964423,24338.299501687517,3.496360864595288,369.4598007639257,19.06221064814815,36.18606360164689,0.10714046373959431,0.21970345879454356,0.1846230002861434,0.22686978031057564,89.64427557112487,0.19075535642213282,5.196960438034513,0.08424110306582665,0.7279882352941176
39,39,58.7882,18.9067,38,26.7573,0,113,122,8,132,9,1.0324,56.87572,0.0,0.0,4.32143,4.993,15.65599,0.0,0.0,125.0,44.63593,0.00077,0.31,2.973,-1.0,1.729931,0.3375453823642989,117.3324056172859,0.12535249358243883,0.17717504686485058,65525.36211340074,0.16616698834867355,92.87071359222749,0.11648817727278388,23232.566100713986,3.4541965974169493,369.75394368308946,19.674382716049383,36.26852059069975,0.10698736514615623,0.21896948907275837,0.18578045211534552,0.2268851182998889,87.24542461626575,0.19155739320785506,5.2863599965007,0.08420006593398786,0.7257654901960784
40,40,58.8286,19.4793,38,29.888,0,113,122,8,132,9,1.03286,57.12773,0.0,0.0,5.32143,4.969,16.22855,0.0,0.0,125.0,44.16517,0.00103,0.31,2.754,0.41229,1.697059,0.3375453823643037,118.28064426968255,0.12572798030493335,0.17662234759192477,65383.47932321727,0.16637523411299115,92.86976513561828,0.11654016266544627,22751.599619286444,3.029032752162806,369.90321025967995,20.752604166666668,36.27151960208092,0.10673491195614954,0.21829252148785724,0.1867649728697403,0.22687042882498065,88.67337716369956,0.19238700475965947,5.415341376926506,0.08423620429573514,0.7186613137254896
41,41,59.2438,20.1964,39,29.4648,0,113,122,8,133,9,1.02591,57.68365,0.0,0.0,4.25,5.023,16.7143,0.0,0.0,125.0,43.9032,0.00082,0.31,2.798,-1.0,1.673384,0.33976300840753315,117.88276151911856,0.12739737006495327,0.17617308126216696,65330.54110879498,0.16544324764565516,92.76888889309629,0.11664486989560417,23274.211309989892,3.957230747118003,369.86719692550133,21.30787037037037,36.66612695764612,0.10667682123966578,0.2172028188568273,0.1876864125035405,0.22675609259972965,92.04260020257927,0.1930854905277666,5.5136419503431995,0.0842187799114622,0.7167690196078431
42,42,59.3469,20.7978,39,31.2655,0,113,122,8,133,9,1.02651,57.87391,0.0,0.0,3.67857,5.041,17.33145,0.0,0.0,125.0,43.59464,0.00106,0.31,2.501,-1.0,1.635169,0.3397630084075332,116.77380924800072,0.12954171135571904,0.17555037602699394,65204.831942048484,0.16304077311841042,92.69753877463276,0.11684357384824141,23196.822035443747,3.1335833037704717,369.5789704673746,22.00491898148148,36.67588391716098,0.10660967215721841,0.2163027228252823,0.1885195213072398,0.22670229907510844,90.1642069861959,0.1938066848283659,5.587107509161609,0.08409912801283652,0.7100603921568628
43,43,59.7031,21.1589,39,30.6823,0,112,122,8,133,9,1.01483,58.23824,0.0,0.0,4.03571,5.034,17.85937,0.0,0.0,125.0,43.29721,0.00108,0.31,2.839,-1.0,1.684212,0.34582167542982506,116.7624731191292,0.1314226059514154,0.17496524085578802,65327.02662937653,0.161524446911205,92.61551458968145,0.11705331998090567,23440.43226628087,3.028576792209979,368.9990251341899,23.065538194444443,36.83818317931375,0.10627648072358141,0.21562148243640256,0.18920545816235215,0.22669942242329374,86.9090437154713,0.19473790407225186,5.6686885775321265,0.08397661874023558,0.7083007843137255
44,44,60.3318,21.4728,39,31.7089,0,112,122,8,133,9,1.00289,58.83608,0.0,0.0,4.25,4.933,18.1623,0.0,0.0,125.0,43.16799,0.00127,0.31,2.471,-1.0,1.692701,0.34582167542982606,116.68032205457008,0.13301457196061015,0.17442831641105871,65289.314322063175,0.1600736685385126,92.54629300677024,0.11738014931344253,24006.891023430122,3.962332954528029,368.13670846689496,24.269868827160494,36.8908644311222,0.10646476902748421,0.21467622035591452,0.18983136805205028,0.22672448756140334,90.42654677963037,0.19569262825160347,5.72678570053713,0.08390868469440614,0.7089843137254901
