,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.3,uhdhdsim,saturation,cubrow.1.0,cubcol.1.0,cubrow.0,movement,cubcol.0.3,noise,cubcol.0.6,blockiness,cubrow.0.6,temporal,staticness,tone,cubrow.0.5,blur,contrast,color_fulness,cubcol.0.5,cubcol.0,fft
11,11,121.139,25.5733,142,39.9354,0,117,129,19,125,14,0.9971,119.96359,0.0,0.0,1.21429,3.676,21.61912,0.0,0.0,128.0,58.42683,0.00252,0.52,5.155,-1.0,0.002975,0.4075606605675857,80.38004641174929,22.268552426938655,0.37391400877544223,0.39795277332580636,0.1929707737545842,12.228925540123457,0.4021744320703998,0.8460810819539947,0.43438949642064123,2.1420977580264573,0.38967907867734897,5.263825643370664,210.56332159942986,0.8968635294117648,0.3450404857158291,188125.87731877586,91.7143896300102,146.69811617998437,0.43403827062866107,0.26542023203399906,82845.05526254831
12,12,121.583,25.5768,143,41.6673,0,117,129,19,125,14,0.99483,120.36003,0.0,0.0,1.42857,3.695,21.96753,0.0,0.0,128.0,58.49237,0.00249,0.52,4.391,-1.0,0.002947,0.40700021237066647,80.38946201910332,22.23961516957224,0.3727241638397922,0.39752852178742915,0.19220838084592407,11.100887345679013,0.396763878747377,0.8466752930613898,0.43490721914084757,1.9664543091653515,0.39165086569865476,5.302738020168945,209.33703197277234,0.89685568627451,0.3480232833003017,191235.4515686271,94.18643726309125,146.9724516451306,0.43552319672812606,0.265560812547917,82998.45132636058
13,13,121.844,24.8937,143,41.6148,0,117,129,19,125,14,0.99949,120.64756,0.0,0.0,0.71429,3.696,21.96811,0.0,0.0,128.0,58.57057,0.00231,0.53,4.525,-1.0,0.003667,0.40547385603606195,80.33366131838848,22.373080971800253,0.37049127103838086,0.3966717778600526,0.19160169401709098,9.195891203703704,0.39431671283695835,0.8482987079972193,0.431865971628248,2.370669224741996,0.3937649370144623,5.248345335586643,208.18546029959717,0.8974290196078433,0.3490057592984081,192848.2647463962,94.89594395831837,146.7388878190646,0.43603907859331514,0.26881095251350945,83068.02868162544
14,14,121.428,26.2073,143,40.9432,0,117,129,19,125,14,0.99912,120.28106,0.0,0.0,1.39286,3.704,21.38257,0.0,0.0,128.0,58.60303,0.00213,0.52,4.306,-1.0,0.00321,0.4030392542198666,80.38315096783258,22.279782518928435,0.369740713185305,0.3968570798286124,0.1916900604315642,8.568045910493828,0.394048808953303,0.8477044968898162,0.4293333072010701,2.6631880421555754,0.3933531316051719,5.375616351397057,207.0882486909143,0.8974290196078433,0.3510704700794737,190588.63643145649,95.77429231191202,146.79486302502977,0.4372833482802218,0.2740701982939846,83013.87072714834
15,15,121.548,25.399,143,42.4791,0,117,129,19,125,14,0.99708,120.37967,0.0,0.0,1.42857,3.689,22.50811,0.0,0.0,128.0,58.64728,0.00221,0.52,4.296,-1.0,0.002342,0.4008175149837304,80.35154379423628,22.21102547351225,0.3691161454866106,0.3959596059420156,0.191932474025777,10.034047067901234,0.3914875465516166,0.8477044968898193,0.42844262028553354,2.1798467787584297,0.3914687873344679,5.439200236165694,205.96642982435782,0.8974290196078433,0.3513002082113239,191228.9507794631,95.82178979334212,146.89357563698235,0.44059961819824667,0.27673995493590986,83026.95658043065
16,16,121.475,25.5559,143,41.3995,0,117,129,19,125,14,1.00015,120.25004,0.0,0.0,0.92857,3.712,21.81572,0.0,0.0,128.0,58.68905,0.00245,0.52,4.266,0.17464,0.002635,0.3983645936498315,80.34506467617152,22.13079570252218,0.36861585821438886,0.3963862018503085,0.19121007605272344,10.907069830246913,0.38964285565595386,0.8460810819539905,0.4260918452769035,1.5934925606553685,0.389464699897913,5.319952954129987,204.8252395825935,0.8977266666666668,0.35257398806296536,190968.50321974157,95.75756604232808,147.15515412749966,0.44282416524632484,0.2777405833489524,82974.61070013861
17,17,121.171,26.2787,142,43.254,0,117,129,19,125,14,1.00002,119.97299,0.0,0.0,0.14286,3.702,21.94968,0.0,0.0,128.0,58.70328,0.00232,0.52,4.253,-1.0,0.003726,0.3952467493280115,80.37798984326764,22.264201411494504,0.3673390518845417,0.3952834454584058,0.18828307807902797,10.82175925925926,0.38820558593404636,0.8482987079972175,0.42480152605392457,2.1148753311095034,0.38712772941295465,5.292741716037652,203.70509631037413,0.8979945098039217,0.3525048557287876,188902.651536325,95.79106077066992,146.8225414976962,0.44194943531663927,0.2798450489646484,82906.18415769721
18,18,120.685,25.6752,142,42.3482,0,117,129,19,125,14,0.99799,119.48273,0.0,0.0,0.64286,3.709,22.57136,0.0,0.0,128.0,58.71574,0.00237,0.51,4.378,-1.0,0.004006,0.3918159437186679,80.42847433930162,22.283031322337962,0.36623911120342195,0.39409282632783754,0.18716354436552,10.65330825617284,0.38629619136454935,0.846081081953991,0.4240497556496998,1.7509710685908324,0.3843373541066348,5.3448875524950825,202.59971863979675,0.8979945098039217,0.35235956648511696,186707.82188992493,94.52856930555826,146.6990833220416,0.44166704443393495,0.27647655244732716,82763.0823817053
19,19,121.027,25.3761,142,41.5706,0,117,129,19,125,14,1.00474,119.73759,0.0,0.0,1.10714,3.725,22.05169,0.0,0.0,128.0,58.8088,0.00202,0.51,4.447,-1.0,0.003456,0.3889649047552151,80.382929018822,22.22432435589072,0.36566490723940526,0.3931533299827335,0.1850451084648495,10.439525462962964,0.387685290935475,0.8460810819539869,0.4236459390024423,1.5291053610245016,0.38333068496625206,5.284853079121617,201.52208746408306,0.8979945098039217,0.351609051372321,188198.23572856333,95.18753264021468,146.86603863796796,0.44321486187966025,0.27567446453660494,82781.6112767418
20,20,120.87,25.5312,141,42.4857,0,117,129,19,125,14,1.00671,119.55493,0.0,0.0,0.96429,3.716,21.79699,0.0,0.0,128.0,58.9087,0.00197,0.52,4.669,-1.0,0.00271,0.38640404098736086,80.43705313863427,22.150449964735245,0.36534017834295096,0.39157712264182093,0.18310053656079248,11.89429012345679,0.3861033677378621,0.8422400409749269,0.4227354457268399,2.168912899732683,0.38174490679347467,5.305727845879115,200.4926597782031,0.8982921568627452,0.35225439897380384,188071.08508723832,94.58620381809416,147.04229708200566,0.4437638662886557,0.27310756390769086,82752.90624250213
21,21,121.042,25.817,142,43.3016,0,117,129,19,125,14,1.00331,119.69884,0.0,0.0,1.82143,3.726,21.93144,0.0,0.0,128.0,58.97256,0.00228,0.52,4.6,-1.0,0.003042,0.3836434599598791,80.41329792134349,22.189050179940683,0.3652722196550586,0.39116764001911286,0.18175378397795486,12.053192515432098,0.38363011645565187,0.8416458298675314,0.42236910134672434,2.0944957775243815,0.3808956626367002,5.2323494906332115,199.48557662884778,0.8979945098039217,0.35326612144437103,188845.02393668637,95.83253797921871,146.97900325638642,0.444029677254676,0.2707663254580433,82929.59171097666
22,22,121.065,25.0537,141,43.2633,0,117,129,19,125,14,1.00418,119.75021,0.0,0.0,1.25,3.729,22.17375,0.0,0.0,128.0,58.97235,0.0021,0.5,4.485,-1.0,0.002686,0.38181659194764433,80.42997000942265,22.09233733754099,0.36498047288124796,0.38952037493844466,0.18079145637418187,11.989583333333334,0.38032249318981326,0.8434284631897239,0.4220371983725108,2.207357074547664,0.38022481284834925,5.401458782273049,198.47902732841956,0.8973992156862747,0.3543899697184469,189549.86527234415,95.805149643205,147.12153597530045,0.44486688633023574,0.2684543190953987,82835.5917577135
23,23,121.736,25.8403,143,42.3528,0,117,129,19,125,14,1.00511,120.39725,0.0,0.0,0.96429,3.695,21.51892,0.0,0.0,128.0,58.91464,0.00226,0.51,5.045,-1.0,0.004063,0.3809727164092341,80.33497941610517,22.048660278320312,0.36519313121152397,0.38839814771872716,0.17854022806693545,11.80714699074074,0.3789969607343224,0.8466752930613822,0.42190303438528165,2.0181895138258263,0.37997348904840095,5.4233361124382995,197.5141365652441,0.8962901960784315,0.3562531809119464,192898.067239176,95.7812230173668,147.20996198777732,0.44699746754771164,0.26757040246700875,83128.43937475534
24,24,121.318,25.335,142,44.0769,0,117,129,19,125,14,1.00086,120.00876,0.0,0.0,1.32143,3.703,22.19242,0.0,0.0,128.0,58.84493,0.00218,0.51,4.61,0.16962,0.003194,0.3794179579088313,80.42413324030437,22.001407199435764,0.3656448984045657,0.3859875135240246,0.17670490397575583,12.342158564814815,0.37704892548338403,0.8438634559107611,0.42071292730283794,2.1453159715747745,0.3803113497684297,5.301525231972081,196.5636239213834,0.8962901960784315,0.35638310176516075,191119.27404304297,94.53398384215808,147.3908695456842,0.44912549381812755,0.2664270932807498,82846.70873229076
25,25,121.212,25.7876,142,41.2505,0,117,129,19,125,14,1.00122,119.86634,0.0,0.0,1.28571,3.709,21.75992,0.0,0.0,128.0,58.7677,0.00208,0.51,4.492,-1.0,0.004262,0.3788378267484053,80.38384239826053,22.078410584249614,0.3658303669682525,0.3850382461200822,0.17588881803324588,12.787133487654321,0.37634656891190366,0.8460810819539845,0.4202942296629966,2.17602185048716,0.3805908048379086,5.244195424290379,195.6511606468379,0.8963882352941178,0.35660110493382563,189894.88823334832,94.64002128883529,147.37135550291708,0.44924406105825787,0.26565093176491766,82985.09775397497
26,26,120.447,24.8541,141,44.951,0,117,129,19,125,14,1.0018,119.20566,0.0,0.0,0.85714,3.713,22.14776,0.0,0.0,128.0,58.60442,0.002,0.51,4.311,-1.0,0.003765,0.3780064189762061,80.43216983453264,22.133704479829763,0.3659043264814058,0.38422561360031315,0.174080284481421,12.968894675925926,0.3752980350385308,0.8416458298675304,0.4206867958447955,2.3359116208876687,0.38006239677254744,5.3403214550542515,194.76057944917216,0.89685568627451,0.35691625631567464,185822.1336456832,95.21512217733968,147.23936231644774,0.4495569805512185,0.26316649653390745,82880.07128173462
27,27,120.986,25.4585,142,42.8559,0,117,129,19,125,14,0.9996,119.77475,0.0,0.0,1.21429,3.704,21.34258,0.0,0.0,128.0,58.49721,0.00224,0.51,4.321,-1.0,0.003233,0.3776574570555078,80.35457997341773,22.175889568564333,0.36606335977079346,0.384712233459941,0.17258003779023157,12.879677854938272,0.37478765424046817,0.8460810819539865,0.41997365016670735,2.2687163640925694,0.3808133694769941,5.398579935164249,193.91272180825806,0.8973992156862747,0.35739346130297167,187836.6476663699,91.6200278636333,147.03889848402818,0.4495043454302935,0.26134487367842657,82869.99529951822
28,28,120.504,25.0619,141,42.231,0,117,129,19,125,14,1.00565,119.35665,0.0,0.0,1.32143,3.704,21.86086,0.0,0.0,128.0,58.40792,0.00226,0.52,4.193,-1.0,0.003366,0.3786170945938794,80.43088197924403,22.20285580482012,0.3665979326752721,0.3839831336264191,0.1716492446308713,12.824266975308642,0.37360400712960296,0.846081081953987,0.41983629726595706,2.193240218165911,0.380508418858766,5.2448990657717856,193.11162567098845,0.8971839215686276,0.35882461396874715,185133.94709900598,90.86060420449385,147.15075092843676,0.44849818061093827,0.25928332225921064,82615.31286676119
29,29,120.943,25.1056,142,42.1675,0,117,129,19,125,14,1.00403,119.75547,0.0,0.0,1.46429,3.675,21.52002,0.0,0.0,128.0,58.41141,0.00229,0.51,4.05,-1.0,0.003216,0.37854876947098837,80.33148774183046,22.312115516191646,0.36727320195358837,0.38441745550799816,0.17162417268430732,13.136188271604938,0.3732077248247638,0.8460810819539972,0.41987701549027745,2.525511051217981,0.3795668856592668,5.1983407537480835,192.34826262859278,0.89685568627451,0.3593690917788059,187176.34953007774,90.9339837895601,146.79072455975768,0.4475761542457206,0.2582656023869226,82899.36406713714
30,30,120.614,25.0097,142,40.705,0,117,129,19,125,14,1.00082,119.44265,0.0,0.0,1.5,3.722,21.55864,0.0,0.0,128.0,58.32581,0.00208,0.51,4.084,-1.0,0.003518,0.3783100081914663,80.42060472392637,22.33433965989101,0.3674435242655644,0.3839971499257059,0.17081421935969687,13.437451774691358,0.37251971335960676,0.8460810819539876,0.420612026168822,2.0962729278811456,0.3791070019978132,5.240601691528271,191.65114400447828,0.8957545098039217,0.3585523229236401,185732.23805052385,88.97227166961275,146.56152993278033,0.44723522601454613,0.2570769836706964,82696.19535853471
31,31,120.733,26.2173,142,41.6108,0,117,129,19,125,14,1.00299,119.60065,0.0,0.0,1.32143,3.723,21.47607,0.0,0.0,128.0,58.27492,0.00221,0.51,4.389,-1.0,0.004756,0.37838611991269067,80.41451814920997,22.39634346667631,0.3675653416824825,0.38452654025283345,0.17008759158518785,13.600646219135802,0.3725285366977985,0.8438634559107604,0.4212034067282959,1.5961806827507725,0.37870556733752814,5.343025123506515,191.00345669798983,0.8954270588235296,0.35744801383191777,186565.41034792422,92.31471755221123,146.56093135097154,0.4464266765351574,0.25590276411390084,82667.22837636893
32,32,120.88,25.0965,142,45.1762,0,117,129,19,125,14,0.99678,119.84642,0.0,0.0,0.5,3.686,22.51297,0.0,0.0,128.0,58.30484,0.00231,0.51,4.388,0.17104,0.003925,0.3785779784536256,80.41887413053178,22.397084554036457,0.36734261826752346,0.3847592790292279,0.1699859193351166,13.733940972222221,0.3710125696747487,0.8547923677405462,0.4221969183709254,1.8163442024538143,0.37764134189402887,5.525738954340166,190.37116270937534,0.8940729411764707,0.3573254633174558,187733.96599424814,93.07068750712229,146.51732080508984,0.4443142406113,0.2542674754830516,82774.64719061376
33,33,121.208,25.4445,143,42.932,0,117,129,19,125,14,1.00741,120.15846,0.0,0.0,1.21429,3.675,21.55207,0.0,0.0,128.0,58.38739,0.00219,0.52,4.506,-1.0,0.003052,0.3790278839420475,80.35360528260296,22.426150851779514,0.367631864751094,0.3856570173441978,0.17035282308797736,13.761911651234568,0.37111582280731475,0.8488929191046131,0.4222875645307867,1.6695861007940707,0.37695360392534905,5.299081122059628,189.77657200866804,0.8937454901960786,0.3570544747869398,189455.53666575142,88.48354655128455,146.5800790548576,0.4438186436621226,0.25334314620054466,82937.39696809273
34,34,120.546,25.1142,141,42.3647,0,117,129,19,125,14,1.01175,119.55895,0.0,0.0,0.64286,3.67,21.8519,0.0,0.0,128.0,58.42616,0.00228,0.52,4.252,-1.0,0.004451,0.37897074731849273,80.41040048631777,22.28172170380015,0.36805567408962986,0.3860459118777777,0.17169918673203985,14.08275462962963,0.37045851206613095,0.8527339600836848,0.42270260679835053,2.2592288395095976,0.37687189606302973,5.2823976338485235,189.198015968923,0.8935074509803923,0.3563610144270432,186689.02715625465,87.75509300196804,146.99252797538642,0.44292438172840565,0.252553250935685,82739.587799673
35,35,120.898,25.0889,142,41.8233,0,117,129,19,125,14,1.00354,119.86533,0.0,0.0,1.14286,3.683,21.57284,0.0,0.0,128.0,58.45918,0.00237,0.5,4.227,-1.0,0.002878,0.380424197615813,80.37122033396344,22.19418278446904,0.36854162445167704,0.3863079107540774,0.1734993207655287,14.221113040123457,0.37024566030359163,0.8493279118256578,0.42278465372691887,3.4290971451809895,0.37676331787008627,5.26585451121486,188.6172728672437,0.893789411764706,0.35625182821356915,188163.0024138774,88.51692463513076,147.04764570997412,0.44254990386502613,0.2523396143617822,82769.53856609203
36,36,120.585,25.5158,142,42.482,0,117,129,19,125,14,0.99898,119.58544,0.0,0.0,1.10714,3.694,21.54469,0.0,0.0,128.0,58.44494,0.00218,0.51,4.319,-1.0,0.004597,0.3805117231981997,80.41217971998725,22.232003859531734,0.36910571059946595,0.3870687784269755,0.17547841859408325,14.279851466049383,0.37011200306682845,0.8505163340404508,0.4236524639400652,1.8373867365337866,0.37727187802667417,5.300637976369724,188.070771769132,0.8940729411764707,0.35533378083619105,186742.3630806344,88.05093710426769,146.9340037503842,0.4432300020314539,0.25211400544222634,82677.89145175903
37,37,121.233,25.1747,143,42.4166,0,117,129,19,125,14,1.01041,120.18116,0.0,0.0,1.28571,3.676,21.91587,0.0,0.0,128.0,58.52654,0.00221,0.51,3.98,-1.0,0.003644,0.38127061098876164,80.3050103680032,22.25147708845727,0.3694799411811034,0.38744559752898916,0.17728903476573377,14.324845679012345,0.3700555859496863,0.8527339600836812,0.4241234774397791,2.512630001311799,0.37771238199369384,5.296810923019446,187.5317078181707,0.8943705882352943,0.3555910523158819,190122.38020569857,91.4625318229626,146.82257230029046,0.4434193612903628,0.25328287649849324,83019.80180744096
38,38,120.777,25.1558,142,41.6324,0,117,129,19,125,14,1.0016,119.77226,0.0,0.0,0.67857,3.704,21.6189,0.0,0.0,128.0,58.50863,0.00228,0.51,4.118,-1.0,0.003632,0.38097632630805894,80.43440340211964,22.206258138020836,0.3700371701859076,0.38743042910183545,0.17896589536193888,14.563850308641975,0.36967723960668913,0.8482987079972227,0.424632347889216,2.631348584067179,0.37777237341031006,5.240389698154977,187.0169463435134,0.8951819607843139,0.35555816210094854,187763.49438958065,90.70819446447744,147.18277219705655,0.44270795704112953,0.2552100453286176,82695.09768067684
39,39,121.412,25.2035,143,42.1853,0,117,129,19,125,14,0.99595,120.38139,0.0,0.0,0.92857,3.72,21.60448,0.0,0.0,128.0,58.46605,0.00223,0.5,4.048,-1.0,0.003873,0.3813173489487707,80.31387154446826,22.24473025475019,0.37040306810850276,0.38777073115397265,0.17992809448996644,14.570746527777779,0.3689442732477846,0.8482987079972245,0.42426260660342296,2.8841661994476824,0.3783202519079355,5.245737939051641,186.52451236693184,0.8957247058823531,0.35588412944071296,190536.07502067657,94.23506890776106,147.1705775507319,0.4426899624624163,0.2577446067942735,82925.50987709353
40,40,120.848,25.3912,142,43.0887,0,117,129,19,125,14,0.9886,119.91092,0.0,0.0,1.32143,3.718,21.64818,0.0,0.0,128.0,58.41183,0.00239,0.51,4.194,0.18364,0.003225,0.38241803727235885,80.4369371819534,22.295280362352912,0.37043853287257433,0.38783550922435556,0.18050220542343867,14.664110725308642,0.3680852132595149,0.8482987079972211,0.4232100082082598,1.7140072258767949,0.37923400494662585,5.32425196462071,186.05829307033335,0.8962901960784315,0.3562502317445352,187272.99012812812,88.7432790620747,147.375787771923,0.44262184789198444,0.25855636813748184,82647.8901964976
41,41,121.563,25.3824,143,42.5031,0,117,129,19,125,14,0.98737,120.59315,0.0,0.0,1.03571,3.708,21.80811,0.0,0.0,128.0,58.43758,0.00225,0.51,3.837,-1.0,0.004292,0.38302400653816143,80.2994785623284,22.383898322964892,0.37027532120112344,0.3878726634578751,0.18128949828711033,14.599633487654321,0.3671491986705474,0.8537631639121089,0.42356636627079564,2.2687404816822827,0.37940677197392586,5.360991291119282,185.5903326938407,0.8965501960784316,0.35681637673250965,189678.66324020035,91.09438399801631,146.94453090416118,0.442058319488052,0.25959590774554603,82829.98460397561
42,42,121.526,24.9994,143,41.3205,0,117,129,19,125,14,0.99977,120.61167,0.0,0.0,1.53571,3.696,21.80157,0.0,0.0,128.0,58.46541,0.00207,0.51,3.899,-1.0,0.003394,0.38261878055720433,80.31176440743587,22.418610749421298,0.37056334995230245,0.3879076649794543,0.18171600500566357,14.671248070987655,0.36675287174903,0.8571692121701441,0.42396654761492913,1.7440036425950804,0.3795677990824627,5.316708481926588,185.1335561115623,0.8960450980392158,0.3575179796049972,189204.3883530735,92.88353956988844,146.86800701217896,0.44135801266023733,0.2601924978657625,82779.45851937917
43,43,121.685,25.3906,144,37.8466,0,117,129,19,125,14,0.99715,120.77191,0.0,0.0,1.28571,3.7,21.47066,0.0,0.0,128.0,58.49781,0.00221,0.51,3.746,-1.0,0.004216,0.38224220005121906,80.30442663357873,22.43035380045573,0.37094054567444396,0.3872332217007319,0.18302830530913816,14.737895447530864,0.36659180881263015,0.8604160420418068,0.4239023574911844,1.6125224326311394,0.38026646849237955,5.2575374408680755,184.69317207957494,0.8965886274509806,0.3586453751952008,190252.2547976312,92.90412787474926,146.7560257157761,0.44140022310823585,0.2604767325123167,82744.7830446479
44,44,121.288,25.1403,143,38.9992,0,117,129,19,125,14,0.9933,120.42846,0.0,0.0,0.89286,3.694,21.80446,0.0,0.0,128.0,58.45598,0.00216,0.51,3.587,-1.0,0.002997,0.38240274297128374,80.35363856795084,22.37131961775415,0.37141863737139497,0.38713728783573487,0.1832042723917353,14.830246913580247,0.36643342398378353,0.860416042041801,0.4239899834035531,1.926007127072895,0.38088998382814165,5.327323605752848,184.2474120982367,0.89685568627451,0.35936580300870785,187705.82190390266,94.15747734882052,146.87015149459057,0.4413818133230038,0.2610452432335203,82669.98933073411
