,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0,fft,cubcol.0.6,cubcol.0,saturation,movement,tone,noise,cubcol.0.5,color_fulness,contrast,blockiness,staticness,cubrow.0.6,cubrow.0.3,cubcol.0.3,uhdhdsim,cubrow.1.0,cubcol.1.0,cubrow.0.5,temporal,blur
10,110,33.7941,7.42443,25,8.15389,0,108,117,6,136,6,0.99133,34.97505,0.0,0.0,4.03571,8.111,5.73984,0.0,0.0,125.0,44.93149,0.0,0.4,3.191,-1.0,0.829189,0.0878081166798783,63901.15562004396,0.08564740456108479,0.0592572872526185,58.94033342526283,2.3815104166666665,0.6723211764705883,0.34803930147305445,0.08469506147751739,60.288490178094904,93.71512207562463,1.3081736080883188,516.7344785895151,0.1074153720802768,0.0648556961155821,0.07511894779026453,100.2579647720286,0.13751601503096839,0.1429109866377476,0.10000051928216869,3.5541432606367502,7525.391449675549
11,111,33.8897,7.84672,25,9.32418,0,108,117,5,136,6,0.99327,35.11169,0.0,0.0,4.85714,8.11,6.37689,0.0,0.0,126.0,45.10595,0.0,0.4,3.392,-1.0,0.796024,0.0872606925805665,63894.14014080424,0.08712386958382648,0.058411442607190715,57.24180245105131,2.951630015432099,0.6776713725490197,0.34803930147305645,0.08379155323123348,60.02600304755503,93.65843138010226,1.484511603261224,515.9083254361179,0.10738784826882815,0.06413009094958584,0.0751341307518686,100.22982636999691,0.13812409682262095,0.14232689013771951,0.0997627258198098,4.290194933734882,7610.261149517747
12,112,34.033,7.85994,25,9.90408,0,108,119,6,136,6,1.00051,35.37482,0.0,0.0,4.46429,8.185,6.79914,0.0,0.0,128.0,45.69898,0.0,0.4,3.715,-1.0,0.735715,0.08689378616661647,63965.00310764505,0.08810289545715848,0.05772257816140289,50.737691997010025,12.132185570987655,0.6852756862745099,0.3518803424521235,0.08320517437392065,59.94879916569592,92.80775105644403,1.821639076956115,513.4303435497304,0.10761220888219418,0.06351790261826157,0.0752443393154661,100.17527061368007,0.13859020675548667,0.14093834943156205,0.09931964500763006,5.030232241205466,7738.333537518612
13,113,34.1416,7.88712,25,9.3037,0,108,119,6,136,6,1.00805,35.45991,0.0,0.0,5.82143,8.189,6.74186,0.0,0.0,129.0,45.65955,0.0,0.39,3.734,-1.0,0.759253,0.08632839432684068,63870.22254406734,0.08898842521185042,0.057671444849077914,50.967307761863424,11.04904513888889,0.6843529411764706,0.3518803424521219,0.08255305381321021,59.98811317134155,92.08484611682084,1.1565408538602575,511.6209200723802,0.10770769981273616,0.06306018878338338,0.07500251453778911,100.1486965230487,0.13893946935389992,0.13869940263171163,0.09888794581122407,3.7893557051610536,7837.083925816954
14,114,34.3796,7.58931,25,9.19169,0,108,119,6,136,6,1.00931,35.67436,0.0,0.0,5.89286,8.126,6.76385,0.0,0.0,129.0,45.66627,0.0,0.4,3.187,-1.0,0.736272,0.08608508614624007,63700.06996687759,0.0898420288871834,0.05752849745164711,50.897831292799964,2.7904128086419755,0.6844254901960785,0.3540979684953494,0.08175687454068367,60.076130862036415,91.75426942828283,1.044291442445205,510.30823201549174,0.10793160593018444,0.0626920173805127,0.07479677890739711,100.13721699414677,0.13980389193396875,0.1357653836304521,0.09869171862957749,3.700734993661767,7950.373473507627
15,115,34.4865,7.82879,25,8.32764,0,108,119,6,136,6,1.00383,35.76812,0.0,0.0,5.89286,8.129,6.50737,0.0,0.0,129.0,45.64024,0.0,0.39,3.52,-1.0,0.752317,0.08585788906295358,63695.50193623393,0.09058762477800249,0.05726508514491032,50.91638127079716,3.958719135802469,0.6846356862745099,0.35188034245212146,0.08101467145678383,59.954793311032944,91.87812417529781,1.6788230076454473,509.32267405748183,0.10835251538563652,0.06234824204388098,0.07463734272000455,100.11793589809386,0.13987851882512103,0.13314104179988848,0.09866717402371393,3.580801036035203,8017.45290371251
16,116,34.4462,7.79346,25,8.32222,0,108,119,6,136,6,1.00421,35.72126,0.0,0.0,5.35714,8.142,6.71574,0.0,0.0,129.0,45.56129,0.0,0.4,3.536,0.25965,0.754761,0.08539538943070489,63723.2115024424,0.09114769957764528,0.05674841528033853,51.000693050431614,3.955343364197531,0.684175294117647,0.35188034245212113,0.08046305048406151,59.831160111093055,90.4994117434622,2.122964714146974,508.5749103297685,0.10850107400413724,0.06225308785771443,0.0748293812700223,100.12286941464878,0.13958705798082144,0.13133676304265907,0.0983168751305116,3.639258577842357,8009.650912815725
17,117,34.1264,7.81389,25,8.68916,0,108,119,6,135,6,1.00276,35.3668,0.0,0.0,4.46429,8.193,6.7166,0.0,0.0,129.0,45.23337,0.0,0.4,4.602,-1.0,0.801909,0.08507286393902783,63716.566826068396,0.09138791884920115,0.05683406281109927,49.91710427366657,3.74975887345679,0.6813794705882328,0.3518803424521198,0.0801159730261577,61.67590121652542,90.76096918862028,1.2265343695745707,507.2223110620746,0.10836902162342464,0.06217244971909441,0.07497146517660135,100.1902732072023,0.1396107577540241,0.1294976328461275,0.09798864387967145,4.220968342995718,7829.37301496554
18,118,33.7515,7.62592,25,8.55419,0,108,119,6,135,6,1.00652,34.94102,0.0,0.0,4.17857,8.145,6.73036,0.0,0.0,128.0,44.96277,0.0,0.4,3.575,-1.0,0.82831,0.08492545475225136,63745.325091013096,0.09127917480300735,0.05655623029744331,48.78890765154803,3.806086033950617,0.6781827450980393,0.34803930147305834,0.07989686383366586,66.83602595432042,90.93331559987668,0.9866113979911749,505.5766226629944,0.10828494488205782,0.06209356774533954,0.07505346415567109,100.25099522781935,0.1402940531370886,0.12816797178167488,0.09752383327472526,4.221915821758946,7608.0112959489625
19,119,33.7245,8.07459,25,8.14297,0,108,119,6,135,6,1.01031,34.91117,0.0,0.0,3.92857,8.137,6.54454,0.0,0.0,128.0,44.95516,0.0,0.39,4.339,-1.0,0.823728,0.08485826441726034,63883.18082563644,0.09095055978368945,0.056150552541461195,48.78163862817082,3.7747878086419755,0.6752407843137255,0.3518803424521197,0.07952524151513428,66.90540076103413,92.12096254252899,1.0697087775714995,504.1594800449711,0.10815392759068025,0.06180453630608235,0.07514565997367138,100.25413294334213,0.14082331108499127,0.12698466707864348,0.09740202661347538,3.7080794102619543,7579.538690597263
20,120,33.8175,8.11428,25,8.95093,0,108,119,6,135,6,1.00727,35.04398,0.0,0.0,3.96429,8.116,6.93785,0.0,0.0,128.0,44.92881,0.0,0.4,4.652,-1.0,0.818456,0.0847249522693113,63749.49986072884,0.0906178908232873,0.0561222733283817,48.731644241898145,5.205246913580247,0.6735374705882353,0.3518803424521202,0.07921874076662819,66.704234239322,93.08283452935481,1.032674759615624,502.9867703049438,0.10801142516034809,0.061590837068764906,0.07571950321341385,100.219882839108,0.14077790247342664,0.12510217533898618,0.09708748408641435,3.880067209920202,7651.525839051038
21,121,33.673,7.98745,25,8.229,0,108,119,6,135,6,1.00408,34.94399,0.0,0.0,6.78571,8.166,6.98213,0.0,0.0,128.0,44.92555,0.0,0.4,4.771,-1.0,0.804456,0.08673198797014343,63771.71181087071,0.09020888042710114,0.056804634302790195,48.74572452498071,5.391251929012346,0.673383784313723,0.35188034245212035,0.07875324474200884,66.63648285257347,91.04933643613309,1.2197760301926153,502.0170014906124,0.10804600109472833,0.061449808613223085,0.07548527850761864,100.23951190410274,0.1409079241499505,0.1233475743958978,0.0967716390719468,3.7944542518920485,7551.166043835157
22,122,33.7538,7.86863,25,8.05626,0,108,119,6,135,6,1.00032,35.02908,0.0,0.0,6.32143,8.138,6.87107,0.0,0.0,128.0,44.83301,0.0,0.4,3.626,-1.0,0.816342,0.08630387681168748,63766.88719067978,0.09001844329271093,0.0577897056918022,48.603228722089604,5.387393904320987,0.6728352941176472,0.3518803424521209,0.07851826248503874,66.37671966795246,91.61120878350548,1.2123202915294142,501.22307117869195,0.10828188797288481,0.061304340953469996,0.07546179126951585,100.24735656249871,0.1411935983649762,0.12197675937571537,0.09649561396489721,3.829026931416433,7585.29414190766
23,123,33.6209,7.74345,25,7.99771,0,108,119,6,135,6,0.99708,34.94942,0.0,0.0,4.78571,8.142,6.75746,0.0,0.0,128.0,44.80662,0.0,0.39,3.932,-1.0,0.838094,0.08724321023968108,63808.398135764335,0.08999909364200107,0.05921900363661357,48.63184102376302,5.12427662037037,0.672872156862745,0.3518803424521219,0.07843693183837416,66.30547429863138,91.19060130265541,1.3906339629058553,500.52798368570376,0.10857917620554798,0.06127790052535357,0.07549460931986492,100.25165265160551,0.14147974375214065,0.12118820772139623,0.09651984552735648,3.8091710952476747,7471.507161565499
24,124,33.3606,7.64666,25,8.118,0,108,119,6,135,6,0.997,34.7164,0.0,0.0,3.75,8.167,6.64911,0.0,0.0,128.0,44.73855,0.0,0.39,3.175,0.2437,0.786523,0.08771395734677787,63888.086409571784,0.08971016807413838,0.06042922113347159,48.8713299786603,4.793547453703703,0.6709011764705883,0.3518803424521199,0.07830869368978469,66.5846963073561,89.35921405166728,1.4341112801172333,499.9078033314992,0.10896457335753681,0.06116776310547985,0.07550323961829576,100.29381402945151,0.1417738106221435,0.12077623579281241,0.09631013520077882,3.916469471493679,7298.35768696884
25,125,33.3646,7.86973,25,8.18905,0,108,119,6,135,6,1.00535,34.72994,0.0,0.0,3.14286,8.162,6.58377,0.0,0.0,128.0,44.78003,0.0,0.4,3.727,-1.0,0.805342,0.08806974052514233,63887.11476268629,0.0891914168820219,0.0609645839805979,48.813795113269194,5.865499614197531,0.667863137254902,0.3518803424521213,0.07809844686895326,66.42991467516356,90.81157302712067,1.6105172498788651,499.376086876082,0.10939003861085135,0.061100601496022235,0.07551080220597059,100.30594128185928,0.14204406151674595,0.1206305591733605,0.09583501656246017,3.9826875057577036,7278.884274607408
26,126,33.5592,7.97828,25,7.55158,0,108,119,6,135,6,1.00895,34.94837,0.0,0.0,3.96429,8.077,6.79284,0.0,0.0,128.0,44.89395,0.0,0.39,3.861,-1.0,0.77361,0.08750124478209835,64124.12798497143,0.08871734082876123,0.06180171084752786,48.91563340175299,5.9468557098765435,0.6698580392156862,0.3518803424521218,0.07785583862195859,66.31865262511509,90.30865532272469,1.3438491783159165,498.9064086829219,0.10977631556346655,0.06094546669455881,0.07529195118252556,100.26654793768452,0.1424055414957362,0.12023729165610478,0.09560969928149574,3.959027331137462,7364.251086206573
27,127,33.577,7.70636,25,7.4412,0,108,119,6,135,6,1.00294,35.01556,0.0,0.0,3.75,8.17,6.91,0.0,0.0,128.0,44.95179,0.0,0.4,3.078,-1.0,0.799365,0.08751408909651924,63897.79783638327,0.08846923287837721,0.06368863820751647,48.83952388057003,5.8229648919753085,0.6710345098039217,0.35188034245212246,0.07779849455527725,66.79717420958812,88.36878511487348,1.5214544160631869,498.52090235444456,0.11017980480620215,0.060938734395864495,0.07510384334823383,100.26074823463931,0.14268721706392223,0.12003991465196151,0.09545720631399102,3.903863983220419,7382.949077751687
28,128,33.6917,7.73997,25,7.37168,0,108,119,6,135,6,0.99859,35.12777,0.0,0.0,4.28571,8.268,6.65509,0.0,0.0,128.0,44.99075,0.0,0.4,3.392,-1.0,0.787436,0.08747100158341269,63874.465295388974,0.08851088357872323,0.06536517223121072,49.085468621901526,5.723234953703703,0.6717301960784313,0.35188034245212174,0.07778546189162035,66.6705090936949,89.74659841596828,1.0744692475712074,498.2101217796883,0.11046275448269599,0.06104192737710985,0.07501233985912073,100.23315296236188,0.1427924275992838,0.11973016847472938,0.09518976913854384,3.853257212519472,7465.420228726537
29,129,33.8925,7.53975,25,7.29493,0,108,119,6,135,6,0.99871,35.30289,0.0,0.0,4.85714,8.194,6.65396,0.0,0.0,128.0,44.98325,0.0,0.39,3.277,-1.0,0.792278,0.08742237218751957,63919.02457415634,0.0882145905964421,0.06738546040913494,49.10484125584732,5.812403549382716,0.6719352941176471,0.35188034245212335,0.07787448291442967,66.99291823926134,93.24128484983477,1.212804323074662,497.94023257592914,0.11051279018935795,0.061222741173284405,0.07500474066065352,100.21998604366446,0.14308707638321908,0.11945580650983632,0.09491987918670745,3.7891482360055364,7561.732049332479
30,130,33.9207,7.60347,25,7.21849,0,108,119,6,135,6,1.00301,35.34535,0.0,0.0,5.75,8.255,6.4675,0.0,0.0,128.0,44.95877,0.0,0.4,3.56,-1.0,0.785531,0.08744983463778587,63967.8722013821,0.0877873339463521,0.06988588887943718,49.105225362895446,6.313030478395062,0.6735721568627451,0.35188034245212263,0.07798130908684457,67.16307504975205,88.60935801932558,1.6223548829828232,497.73509340087185,0.11062897439998513,0.06150623328314043,0.0749643861244825,100.21642049241221,0.14303504797265168,0.11972147306521028,0.09488216335808537,3.79388001807698,7539.174532247949
31,131,33.9475,7.33232,25,7.36062,0,108,119,6,135,6,1.00424,35.37815,0.0,0.0,4.89286,8.268,6.52171,0.0,0.0,128.0,44.94163,0.0,0.4,3.828,-1.0,0.761349,0.08737495405800372,64107.910110835146,0.08742850107442901,0.0716916636457149,49.069887514467595,6.1703317901234565,0.6713996078431372,0.35188034245212335,0.07836176827924778,66.80638229040626,90.79470635841413,1.0610775827007308,497.5742573084075,0.11085147752023769,0.061781965584491984,0.0747887576185811,100.19996175497097,0.14303582231336415,0.1203171730963931,0.09484140255621108,3.810216841482283,7559.205163803885
32,132,33.9598,6.9063,25,7.13965,0,108,119,6,135,6,1.00283,35.37206,0.0,0.0,4.21429,8.222,6.29518,0.0,0.0,129.0,44.89821,0.0,0.4,3.31,0.25553,0.805181,0.08733759530952119,64056.580369227726,0.08724002532618573,0.07406930750609002,49.32931047604408,5.945360725308642,0.6711874509803921,0.3518803424521257,0.07806932754098136,67.27858922122385,92.65951758178899,1.1833095199410444,497.45337577101685,0.11099917823700141,0.06195442345295229,0.07469907582173883,100.22016456140206,0.1433771065070759,0.11993271560882901,0.09477865408434644,3.789215329052703,7606.964511102983
33,133,33.9475,6.14795,25,7.51027,0,108,119,6,135,6,1.00041,35.36773,0.0,0.0,4.96429,8.196,5.92978,0.0,0.0,129.0,44.85225,0.0,0.4,3.029,-1.0,0.773433,0.08732901009215897,63971.28095501096,0.08730464777849441,0.07671507719953861,49.42025248209635,5.916811342592593,0.6712546470588215,0.3518803424521228,0.07802236033178293,66.70947826213596,91.48341860228535,1.1335654461574647,497.39642927979355,0.11117199547579702,0.062142205833192285,0.07468178744461183,100.20510923555972,0.14328345289755143,0.11916892456474727,0.09452209568905012,3.761515989580033,7608.83725559409
34,134,33.991,6.08201,25,7.08875,0,108,119,6,135,6,1.00525,35.42403,0.0,0.0,5.03571,8.205,5.27455,0.0,0.0,128.0,44.83329,0.0,0.4,3.341,-1.0,0.786453,0.08729052728362557,63975.03264272657,0.08725524698330234,0.07803438208712925,49.68449364179446,6.05029899691358,0.6737498039215686,0.3518803424521227,0.07802187729594626,66.62499845331796,90.9676002111179,0.9161203328055908,497.3284683824183,0.11144103826628043,0.06235354317539051,0.07480315247827216,100.19185243258173,0.14283480838644025,0.11872366632744986,0.09425010827918871,3.7221575493621524,7607.351189823645
35,135,34.0315,5.89748,25,6.92849,0,108,119,6,135,6,1.00945,35.46176,0.0,0.0,7.39286,8.145,5.22648,0.0,0.0,128.0,44.80121,0.0,0.4,3.324,-1.0,0.769734,0.08712790094101873,64039.77797001602,0.0870061328300491,0.0812349239886487,49.486913798767844,6.555507330246914,0.6725086274509804,0.3518803424521229,0.07796813329988873,66.71586729098328,88.51889153571713,0.989640588667723,497.2617843326724,0.1115855762902312,0.06250390595385248,0.07480270712616599,100.19496886321926,0.1426734027139104,0.11845563590227486,0.09421688283515278,3.792535936850767,7642.804965248974
36,136,34.1051,5.95745,25,7.15109,0,108,119,6,135,6,1.00127,35.5262,0.0,0.0,4.96429,8.166,5.07563,0.0,0.0,128.0,44.82836,0.0,0.4,2.868,-1.0,0.746758,0.08691524213011474,64011.149951864965,0.08679895005114005,0.08357985603276198,49.4448765884211,6.798369984567901,0.6712945098039216,0.35188034245212263,0.07785715815261529,66.75219111244802,90.91657155944915,0.859210175210398,497.221873740849,0.11168855483179366,0.06266202595329079,0.07480073247450961,100.17977410960313,0.1426295232355054,0.11816230578525143,0.0940161470117829,3.7683750555662026,7706.016622549852
37,137,34.2242,5.95478,25,6.87832,0,108,119,6,135,6,0.99196,35.64484,0.0,0.0,5.0,8.173,5.11903,0.0,0.0,128.0,44.86205,0.0,0.4,3.286,-1.0,0.781761,0.08674552723938599,63998.888444688535,0.08664649724028137,0.08565715829400455,49.722119366681135,6.790123456790123,0.6730662745098038,0.3518803424521258,0.07785034141744117,66.76003808788792,93.56678565679577,1.3083067054194613,497.18380584615085,0.11179904418167073,0.06286622004471332,0.07467225444142306,100.1616249718031,0.14256238060113444,0.11768663216719029,0.09380895853948489,3.79876159225262,7744.835572521037
38,138,34.2948,5.96534,25,6.9872,0,108,119,6,135,6,0.99388,35.71306,0.0,0.0,6.53571,8.134,5.11215,0.0,0.0,128.0,44.88876,0.0,0.4,2.949,-1.0,0.781257,0.08659934428093402,63943.953010509285,0.08645646577833704,0.08717420344986618,49.43159239969136,6.900125385802469,0.6750454901960785,0.35188034245212285,0.07791615057819876,66.60351680678576,93.24167816019933,0.8081161402631938,497.17011464819836,0.11189983858958194,0.06305318717238186,0.0744769565407609,100.16667538964111,0.142511259217477,0.11727880953209632,0.09374293125319837,3.85306895445674,7767.792907077868
39,139,34.2989,6.0305,25,7.0003,0,108,119,6,135,6,0.99807,35.71212,0.0,0.0,4.78571,8.133,5.11925,0.0,0.0,128.0,44.86534,1e-05,0.4,3.154,-1.0,0.778123,0.08639674744364435,63868.91605284419,0.08631310734414721,0.088074264321866,49.42575883276669,7.063271604938271,0.673994117647059,0.351880342452122,0.07795118010607802,66.7835308779756,91.42480295968869,0.8434371303942635,497.16222499203167,0.11198469437773431,0.06323186453460293,0.07433592966153815,100.15751860790812,0.1424355849252086,0.11683015209756246,0.09363443948299836,3.837769759020339,7766.4868512482
40,140,34.3352,6.46402,26,7.61228,0,108,119,6,135,6,1.00407,35.7905,0.0,0.0,4.32143,8.195,5.17305,0.0,0.0,128.0,44.87586,0.0,0.4,2.862,0.26569,0.74218,0.08619674270374077,63870.055269237404,0.08613305029559566,0.08845062789009941,49.55876517590181,7.611496913580247,0.6742678431372549,0.3518803424521238,0.07789407538210508,66.56645984366179,91.28132613547766,1.8004143976553686,497.1375660074549,0.11225821215538248,0.06335240658560276,0.07431610529239224,100.14087409190365,0.1424098292073915,0.11666958199571303,0.0933370163214359,3.893459202657349,7790.574108216966
41,141,34.4781,7.23839,26,7.83442,0,108,119,6,135,6,1.0001,35.94823,0.0,0.0,4.5,8.185,5.54566,0.0,0.0,128.0,44.91633,0.0,0.4,3.928,-1.0,0.709471,0.08611225768811319,63991.3226036759,0.08625585120985459,0.08892057547384435,49.535238948869114,8.060715663580247,0.6749850980392158,0.351880342452124,0.07780451768613565,66.5050221345958,93.15783073479591,0.9754687038369182,497.07306642614293,0.11259638064095774,0.06357238185262408,0.07433162799737965,100.12095134238292,0.1421847435741583,0.11711972103019457,0.09321739848344746,4.008400767989771,7888.184163864597
42,142,34.2934,7.44818,25,9.17252,0,108,119,6,136,6,1.0056,35.68008,0.0,0.0,5.14286,8.203,6.25929,0.0,0.0,127.0,44.39817,0.0,0.4,2.759,-1.0,0.741253,0.08598812865233926,63934.3459558323,0.08593931417311494,0.08935762662385269,50.1022885169512,8.536072530864198,0.6610761176470586,0.3518803424521218,0.07768984753183698,61.25685730617063,94.52700134020628,1.2248363140870406,497.0727749619343,0.11276407959507076,0.06369714136387157,0.07431378633696359,100.17151243188763,0.1419918094654761,0.11691159694624545,0.09297944293320054,4.4831765355916815,7780.836504267397
43,143,34.3731,7.66639,25,9.11359,0,108,120,6,136,6,1.01002,35.75104,0.0,0.0,5.25,8.3,6.40463,0.0,0.0,125.0,44.27242,0.0,0.4,3.071,-1.0,0.75443,0.08567234480062316,63948.916814193755,0.08560211013262516,0.09026720272037868,50.13498339240934,8.951244212962964,0.6572740784313712,0.3518803424521216,0.07769632393370508,60.43548150448623,91.07340091590784,0.9796195199305706,497.07342310378993,0.11306196649380355,0.06382089231454541,0.07428538200060805,100.1581740495753,0.14167695525297672,0.11639541608459175,0.09263995673374432,4.1434855355091145,7814.708409557295
44,144,34.6224,7.83243,26,9.25231,0,108,120,6,136,6,1.01317,36.0205,0.0,0.0,4.5,8.279,6.60284,0.0,0.0,126.0,44.43161,0.0,0.4,3.2,-1.0,0.747816,0.085446722987918,63981.27199466966,0.08519541262340641,0.09157264826193033,49.13269024130739,9.245273919753087,0.6582345098039215,0.35188034245212685,0.07773537447968298,61.49928261409174,94.18001711219569,1.2551725926421446,497.12105475539596,0.11341804258644086,0.06402335283791163,0.07431907659664752,100.13458289321377,0.14158706786037645,0.11617523265048246,0.0924494648333356,4.5742777580137,7960.818618175818
