,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,saturation,cubrow.0.5,color_fulness,tone,noise,fft,cubrow.0.6,blur,cubcol.0.5,cubcol.1.0,cubcol.0,cubcol.0.6,cubcol.0.3,cubrow.1.0,cubrow.0.3,staticness,contrast,movement,uhdhdsim,blockiness,temporal,cubrow.0
10,10,71.4397,7.83239,49,9.01509,0,137,126,3,128,4,0.99479,71.095,0.0,0.0,10.25,8.493,6.96424,0.0,0.0,129.0,67.30365,0.0,0.31,1.78,-1.0,1.804593,14.257704181435669,0.31649465056890186,103.23572611717378,0.3266294129273378,0.30665783614543524,64914.700821614824,0.2812097568483397,45999.10742694432,0.1574978315977364,0.24251125200548804,0.20839464997236026,0.20844909597573236,0.19833084714256577,0.2166647897169741,0.1824983242802053,272.4977788080317,89.49151897426358,4.157214506172839,95.45823846148895,1.092844314975383,4.240971047189158,0.26155301843561607
11,11,71.3927,7.76959,49,8.86302,0,137,126,3,128,4,0.99589,71.07069,0.0,0.0,6.85714,8.504,6.75249,0.0,0.0,129.0,67.30778,0.0,0.32,1.694,-1.0,1.825741,14.34074514883536,0.3164398510922163,103.35704550577168,0.33578178969934863,0.30665783614543296,64902.894513970125,0.2799681210345187,45945.75003978518,0.15723215915237057,0.24240597174058567,0.2094336896256801,0.20919979953173776,0.19978815913844394,0.21599367951735102,0.1827991957195433,272.34344064798046,89.58286892300579,4.388406635802469,95.46561674941259,1.0927457720970217,4.164304519474487,0.25861571779316955
12,12,71.27,7.96466,49,9.04752,0,137,126,3,128,4,0.99521,70.98812,0.0,0.0,7.07143,8.5,6.69943,0.0,0.0,130.0,67.30899,0.0,0.31,1.739,-1.0,1.767456,14.298206470630786,0.31617758832412424,103.12311868532058,0.3356612149542506,0.3066578361454338,64935.209414208635,0.2786261945847612,45567.78692372163,0.15704515698136898,0.2423021387810582,0.20959535422614242,0.20989856478267999,0.2012486501294301,0.2159100439666879,0.1828251951534651,272.17756647467905,89.53939389625697,3.826340663580247,95.46659365956972,1.8468989927644825,4.142421998248619,0.25603681397213135
13,13,71.1352,8.28111,49,9.47663,0,137,126,3,128,4,0.9904,70.88731,0.0,0.0,7.35714,8.545,6.87129,0.0,0.0,129.0,67.30519,0.0,0.32,1.743,-1.0,1.770953,14.306980462721835,0.31581812034231455,102.84186185766839,0.33555951560784536,0.30665783614543574,64945.25103960488,0.27691130911452794,45234.798071978505,0.15705545215546665,0.2427117685702863,0.2087528429450591,0.21021865495025485,0.2024999425799694,0.21588149296394624,0.18290663819401895,271.9922172903905,89.44623726715857,3.4605516975308643,95.46181243627368,2.1669935668045714,4.240318417633493,0.25416304169797016
14,14,71.072,8.11338,49,10.2526,0,137,126,3,128,4,0.99701,70.82917,0.0,0.0,7.53571,8.546,7.14716,0.0,0.0,130.0,67.29202,0.0,0.32,1.738,-1.0,1.776704,14.279217001832562,0.31581619382398596,103.41163870144567,0.33963917944175354,0.30665783614543585,64895.10281223329,0.2754729390755892,45118.83037128122,0.15726107637288267,0.24317117508210848,0.20692230424140892,0.2099893076726757,0.20352604789031917,0.2159457737870752,0.1827138299058372,271.7833909850465,88.46415552355663,3.903742283950617,95.48013202368395,1.2284579221462075,4.315364144762675,0.2526681152530006
15,15,71.0784,7.97764,49,9.32644,0,137,126,3,128,4,0.99589,70.84744,0.0,0.0,5.21429,8.5,6.9942,0.0,0.0,129.0,67.30339,0.0,0.32,1.887,-1.0,1.758338,14.310094385971258,0.31598025297816273,103.21905419417665,0.3356612149542506,0.3066578361454367,64938.578090344185,0.2738136322582901,45148.40506964196,0.15819664008325005,0.24354320991453648,0.20573628552679038,0.20990441272677593,0.20432143540836095,0.21615432330698373,0.1824416836675173,271.6061211332993,90.79930035307393,5.100887345679013,95.4800990566751,2.112204722533437,4.30256513907429,0.2510332649966959
16,16,71.189,7.82641,49,8.97124,0,137,126,3,128,4,0.99468,70.97709,0.0,0.0,6.5,8.507,6.87328,0.0,0.0,129.0,67.32146,0.0,0.32,1.76,0.45023,1.768718,14.349648746443384,0.31603643288687966,103.54662519013078,0.33558603879738785,0.3066578361454362,64896.56955146547,0.2719523990386764,45374.409190923565,0.1587397244733077,0.2445329369587141,0.20562255842946342,0.20973596007909948,0.20480229328146982,0.2166726012881231,0.18221830747755938,271.4541980809269,89.59855009216018,5.437596450617284,95.463583905439,1.2843172618152077,4.210992066717389,0.24938046796836222
17,17,71.2967,7.97628,49,8.93363,0,137,126,3,128,4,0.99865,71.07838,0.0,0.0,6.42857,8.498,6.747,0.0,0.0,129.0,67.33151,0.0,0.32,1.779,-1.0,1.782554,14.332013542269484,0.31635440731480013,103.30811844850807,0.3404989767197252,0.3066578361454359,64954.7221584579,0.2700613057242325,45568.12715943075,0.15895072752008194,0.24603633515500217,0.2060560576950144,0.2096730454405466,0.20517407492569742,0.21729740778926482,0.18211433091087237,271.28139634112654,90.88358429441634,4.974922839506172,95.45132050760088,1.2596572091440454,4.187921079344856,0.2477109038406614
18,18,71.3956,8.09599,49,9.05139,0,137,126,3,128,4,1.00449,71.17404,0.0,0.0,7.78571,8.517,6.87513,0.0,0.0,129.0,67.33584,0.0,0.32,1.926,-1.0,1.781242,14.364664901921778,0.3165582352020033,102.6132790004473,0.3356252540653617,0.3066578361454371,64987.04596401064,0.26800135696549154,45831.28362154216,0.159115885222241,0.24769679073764853,0.20687269246113946,0.20969246588629126,0.20535249659657898,0.2178438306181156,0.1819905348140591,271.11366760111423,88.52959042674979,4.796537422839506,95.43159442182899,2.0757211251721484,4.202808376672532,0.24611769474006728
19,19,71.4563,8.36553,49,9.69975,0,137,126,3,128,4,1.00217,71.23633,0.0,0.0,8.07143,8.514,6.9858,0.0,0.0,129.0,67.3293,0.0,0.32,1.869,-1.0,1.803344,14.347257072542922,0.3167542063647435,103.17176301419221,0.33555951560784536,0.3066578361454345,65045.14508799042,0.2661432263826738,45939.5035102097,0.15939952701798024,0.24930109561044364,0.20729330408022162,0.21052762204990957,0.20589281823132363,0.2182486538787121,0.18179927451279226,270.92818702838883,89.71943321251666,4.7836130401234565,95.43579072377086,1.1870428628971024,4.207408107862976,0.2454533105736984
20,20,71.4526,8.19874,49,9.81351,0,137,126,3,128,4,1.00183,71.24729,0.0,0.0,6.57143,8.513,7.22149,0.0,0.0,129.0,67.32384,0.0,0.32,1.861,-1.0,1.76977,14.417131212022568,0.3170546598319738,103.50974335266494,0.33543894086274734,0.3066578361454365,65101.21370929369,0.2642127060300047,45834.69484056355,0.15907683382222151,0.25069243275287995,0.20751350650970027,0.2117140166271457,0.20604430147015465,0.218760681215429,0.18158502138594493,270.7612717475435,88.53707163680858,6.146942515432099,95.43081824158304,1.0119636447965805,4.309088790716167,0.2450434959908507
21,21,71.4406,7.85757,49,9.59243,0,137,125,3,128,4,0.99978,71.26577,0.0,0.0,7.82143,8.509,7.07072,0.0,0.0,129.0,67.34647,0.0,0.32,1.95,-1.0,1.799152,14.401943253882138,0.3171633588117958,102.66811933506517,0.3356612149542506,0.306657836145438,65129.00281667576,0.26233845156469277,45821.307960542304,0.15851929179400975,0.2521502362439294,0.2075060356646772,0.21201619609906414,0.20590949001208816,0.21905973264398212,0.18120220221548744,270.5528110498486,89.67197823545625,6.4242380401234565,95.41992908172384,1.04430293271025,4.2267881242407,0.24459239121725904
22,22,71.3423,7.98292,50,9.40858,0,137,126,3,128,4,1.0001,71.19816,0.0,0.0,9.64286,8.498,6.77672,0.0,0.0,130.0,67.34335,0.0,0.31,1.752,-1.0,1.750481,14.38670876585407,0.3174120867656102,102.94253287745221,0.33963917944175354,0.30665783614544023,65107.71489881433,0.26051220890764115,45653.45893737079,0.15795655555423546,0.25347734457927024,0.2072105134785716,0.21231935106751576,0.2061496759026147,0.21934800487227918,0.1808664544734112,270.3267655003146,91.01763830633776,6.292872299382716,95.42661663538796,1.402203499594708,4.149548613677596,0.24424082578972853
23,23,71.0963,8.15012,49,9.37312,0,137,126,3,128,4,0.99712,70.97032,0.0,0.0,8.92857,8.511,6.88366,0.0,0.0,130.0,67.32083,0.0,0.32,1.794,-1.0,1.720612,14.384902577341338,0.3175190884700907,103.03530225189238,0.3356612149542506,0.30665783614544,65133.36779869156,0.25876766501980436,45163.41832902517,0.15653002006485714,0.25472241124134787,0.2073175107099019,0.21231319343225413,0.20637834071940744,0.21959279988947966,0.18042748471586925,270.13102072088816,91.02777594738295,6.181761188271605,95.45820938567438,1.0417013451317743,4.287214425425697,0.2439217783765517
24,24,71.1371,8.28709,49,9.8838,0,137,126,3,128,4,0.99501,71.01496,0.0,0.0,8.39286,8.531,7.03253,0.0,0.0,131.0,67.35071,0.0,0.32,1.7,0.44959,1.735514,14.424791877652392,0.3174997828476545,103.02016458886085,0.34048350295963287,0.30665783614544107,65167.35990573329,0.25723217836648127,45188.94515529512,0.1560071388277938,0.2559191581320345,0.20739861989693362,0.21264869282822274,0.20647360158450423,0.21961352329335931,0.17997916937532712,269.94362158116826,91.02917120330878,6.416377314814815,95.44883582701775,0.9474252811051411,4.372174664578521,0.2434814336115724
25,25,71.2112,8.19043,49,9.71871,0,137,126,3,128,4,0.99775,71.06879,0.0,0.0,8.25,8.509,7.14796,0.0,0.0,130.0,67.3237,0.0,0.32,1.7,-1.0,1.73587,14.449302014009453,0.3175277913749401,102.5524593551627,0.3403766721199558,0.3066578361454408,65184.10703839987,0.25586018121642917,45340.132761035326,0.1553311495726663,0.2569987466599999,0.20728247661274377,0.21306026705899708,0.2066849032838641,0.21957909543854173,0.17936755040301966,269.7547269451398,89.62943590029349,7.759403935185185,95.44268053680398,1.0063765084574068,4.3937223406747545,0.2425823075114795
26,26,71.1718,8.31202,49,10.0818,0,137,126,3,128,4,0.99757,71.03165,0.0,0.0,8.07143,8.509,7.06945,0.0,0.0,130.0,67.30478,0.0,0.32,1.81,-1.0,1.789157,14.46412037037037,0.3175020361222043,101.96503440740065,0.3402451245274914,0.3066578361454388,65235.36030266468,0.25452589620942145,45341.38482248399,0.15487725970116847,0.257653783243904,0.20676348809010478,0.2134442485529406,0.20681683853264463,0.21939772348742886,0.17853803451170475,269.55404307195624,89.6700666576464,8.025559413580247,95.45884361454313,1.1634801692470869,4.358036945077507,0.2417363584385121
27,27,71.2686,8.31696,49,9.75716,0,137,126,3,128,4,0.9988,71.15336,0.0,0.0,8.60714,8.509,7.17652,0.0,0.0,130.0,67.30145,0.0,0.32,1.952,-1.0,1.79582,14.43220990969811,0.3174699627905225,102.13811165637544,0.33948589839907767,0.3066578361454379,65208.82109259155,0.2533344176592951,45530.7518174952,0.15476841555468537,0.25829403170567744,0.2061698050135542,0.2136942174075363,0.20671752258123113,0.21922467097365073,0.17763672962224702,269.33864294245063,91.00159529819575,8.27879050925926,95.45808074792768,1.0324440687721246,4.395539089678181,0.24146690414757224
28,28,71.3458,8.36457,50,9.87549,0,137,126,3,128,4,1.00222,71.2283,0.0,0.0,8.10714,8.515,7.18244,0.0,0.0,129.0,67.31845,0.0,0.32,1.864,-1.0,1.751813,14.4584041642554,0.31734404827490215,102.25878513771832,0.33555951560784536,0.30665783614544,65241.3332923322,0.25220869221291214,45617.52881059862,0.1547599492506416,0.25883605165948936,0.20549297651760073,0.2139178482677945,0.2065017772979313,0.2190473187145483,0.17666529082653634,269.1067337028547,91.04977322125042,8.275221836419753,95.45067140917773,1.1714333525943237,4.402804394416567,0.2406004665446393
29,29,71.268,8.70703,50,10.19,0,137,126,3,128,4,1.00374,71.17848,0.0,0.0,7.32143,8.497,7.23046,0.0,0.0,131.0,67.27306,0.0,0.32,1.877,-1.0,1.741078,14.449013980818384,0.31704005613636016,102.1929421105119,0.3404020903498674,0.3066578361454392,65199.47087403919,0.2512199525363117,45496.119845727764,0.15470117734249011,0.25956626977621744,0.20527387543765063,0.21401131846059598,0.2063420600271264,0.21881005388605634,0.17549464694032638,268.8777234282097,89.73421207708549,8.548032407407407,95.45037701825457,1.6807594416191765,4.41046754783249,0.23952722801000245
30,30,71.2185,8.35594,50,10.0076,0,137,126,3,128,4,1.00248,71.14503,0.0,0.0,7.21429,8.463,7.52526,0.0,0.0,131.0,67.24839,0.0,0.32,1.78,-1.0,1.70864,14.452023541485822,0.3166408416674892,102.80602498569937,0.3394017666989623,0.3066578361454408,65241.38185185829,0.2502717227142546,45384.80951722305,0.15472063768757863,0.2599523966997338,0.20604669286517646,0.21418914540161493,0.2061655259153891,0.2183700726519109,0.17441496495750416,268.66092078128645,89.64851876918246,9.40943287037037,95.45690303480896,1.4674560564995451,4.4609646130701135,0.23918105348838942
31,31,71.3252,8.23157,50,9.60016,0,137,126,3,128,4,0.99946,71.26708,0.0,0.0,7.14286,8.451,7.21274,0.0,0.0,130.0,67.25063,0.0,0.32,2.031,-1.0,1.769859,14.539323406454956,0.31626013636361305,102.1327400502381,0.3353372415163421,0.3066578361454422,65252.45659570659,0.24937564005506616,45653.719733964994,0.15449673190176902,0.260451417223336,0.20752024457674823,0.21456513451828813,0.20594889971777974,0.21799287899035671,0.17353653432460975,268.4475766409443,91.02645196526197,9.32595486111111,95.43501884738643,1.4514153883753993,4.356784518576353,0.23919349068830506
32,32,71.3483,8.45498,50,10.1063,0,137,126,3,128,4,0.99951,71.30178,0.0,0.0,8.28571,8.464,7.10877,0.0,0.0,129.0,67.2307,0.0,0.32,1.871,0.45345,1.756144,14.460772667402102,0.31589689651612735,102.5956892305529,0.3402451245274914,0.3066578361454484,65196.790510899955,0.24850554813720657,45638.009003539715,0.15457687372219076,0.26102724220683976,0.20924034112082632,0.21501576330267805,0.2058614769558888,0.21756355606142835,0.17276141908062795,268.2204131681304,89.7547737528129,9.166714891975309,95.42440760387181,1.3198280223315453,4.350402210042893,0.23867906185997584
33,33,71.3006,9.22476,50,10.625,0,137,126,3,128,4,1.00336,71.23976,0.0,0.0,8.85714,8.477,7.29989,0.0,0.0,129.0,67.20166,0.0,0.32,1.702,-1.0,1.716043,14.471453819745852,0.31545260499488625,102.05124570101049,0.33993531921876396,0.306657836145442,65231.62836577369,0.2476855466481427,45522.971713384664,0.15464484431033063,0.2617312956164535,0.2105954060664533,0.2153161358621042,0.2058474271923454,0.2171107488074195,0.17216781680279614,267.9919437767015,89.66497246789204,9.240113811728396,95.43837936182956,1.1400804349522566,4.443716411725608,0.23840923524216012
34,34,71.2595,9.59205,50,11.4436,0,137,126,3,128,4,1.00837,71.23029,0.0,0.0,10.25,8.504,7.96448,0.0,0.0,130.0,67.20562,0.0,0.32,1.845,-1.0,1.742932,14.527793978467399,0.314920987522263,102.6958376268718,0.34011984896578434,0.3066578361454442,65236.485551704944,0.24701645016068316,45454.26461487256,0.15461225054542627,0.2625744869135399,0.21122826784362214,0.2153868353428334,0.20590976541897038,0.21651578483416295,0.171776643936676,267.78171937773504,89.58837650934858,9.69555362654321,95.43892826192958,1.6421892626861574,4.629293604703571,0.23788604029041097
35,35,71.1891,9.43571,50,11.9865,0,137,126,3,128,4,1.00707,71.1685,0.0,0.0,11.82143,8.464,8.28731,0.0,0.0,131.0,67.15198,0.0,0.32,1.657,-1.0,1.773867,14.4968451982663,0.3144065194342692,101.77612690454579,0.33484290133333555,0.3066578361454453,65380.425567769606,0.24645366815195352,45361.41244146472,0.15469206332766988,0.26356683639155737,0.2114792476924515,0.21558868804914552,0.20597702990934258,0.21590180407728984,0.17145354546176708,267.56246099158807,89.70470032339604,10.411747685185185,95.45163093543863,1.796159558179667,4.6783397807794875,0.23707186549843823
36,36,71.4101,9.3897,50,11.6689,0,137,126,3,128,4,1.0004,71.3896,0.0,0.0,12.75,8.477,8.1486,0.0,0.0,130.0,67.17344,0.0,0.31,1.76,-1.0,1.688917,14.527811309437693,0.3140166060889167,102.42392357061892,0.3392484856562864,0.30665783614544123,65319.92926957089,0.24599273433198351,45721.33189513321,0.15485599092308325,0.2643956862528647,0.21144286506767965,0.21580447995070415,0.20620759912201617,0.215379638329637,0.1711645438691862,267.33251361272664,89.69863071425122,10.86574074074074,95.42409417626092,2.1603416217218543,4.657743635928773,0.23611194981848424
37,37,71.5285,9.41511,50,11.591,0,137,126,3,128,4,0.99455,71.51139,0.0,0.0,13.35714,8.486,8.10633,0.0,0.0,130.0,67.16896,0.0,0.31,1.948,-1.0,1.735742,14.595953670548804,0.31363760888195047,102.1414911373407,0.3387096247381765,0.3127165031677322,65316.95488404819,0.24551220627671297,45875.585415179965,0.1550696342084611,0.2649967339331653,0.21072904110954788,0.2161882479121971,0.20628106586922307,0.21487464407730644,0.17093116487213822,267.0921538456044,90.9588055950948,11.126639660493828,95.42192165870107,1.8936824557777876,4.6386946205718065,0.23497975512566965
38,38,71.4937,9.47409,50,11.6192,0,137,125,3,128,4,0.99486,71.51194,0.0,0.0,11.53571,8.49,8.12296,0.0,0.0,130.0,67.15045,0.0,0.32,1.782,-1.0,1.730719,14.62631470480083,0.31325539519221995,102.40565182528832,0.33478334619608063,0.3066578361454482,65237.552681388275,0.24503129893384462,45808.09570679433,0.1551518418938675,0.2654744876182696,0.20947384935727273,0.2165663752004995,0.20646231418928726,0.2143775781152585,0.1705757339137889,266.85541635993866,90.99536904268578,11.470293209876543,95.41439895120966,1.6472316998108703,4.602037539802008,0.2340419965851096
39,39,71.4485,9.18748,50,11.2245,0,137,125,3,128,4,0.99551,71.49649,0.0,0.0,9.14286,8.479,8.17622,0.0,0.0,129.0,67.14032,0.0,0.32,1.939,-1.0,1.719141,14.594483740535782,0.3128082931743666,102.12392816966016,0.3395941537562496,0.30665783614544173,65220.394986415755,0.24460971449205382,45721.237559000954,0.15523951956586426,0.26561876352391484,0.20820536069626483,0.2169705408435025,0.20685651296738033,0.21391127424756815,0.17019969455262515,266.6185244422233,91.00867898298462,11.693624614197532,95.40944088972728,1.3872444992019328,4.584710984732713,0.2334124573451653
40,40,71.3382,9.75994,50,11.1399,0,137,126,3,128,4,0.99792,71.41246,0.0,0.0,8.35714,8.504,7.92753,0.0,0.0,129.0,67.11046,0.0,0.32,1.829,0.45743,1.740262,14.598859998914932,0.3123432945443521,102.14593566936216,0.33953737537255096,0.30887546218866097,65176.92664833247,0.24428413321636855,45479.7940966549,0.1551855364196663,0.2659376000626033,0.20699151436743118,0.21775932604309056,0.2073288939533183,0.21349870188681463,0.1698388538973847,266.379061141571,89.7200299739668,11.877507716049383,95.42077479208689,1.6356326166505601,4.5135696290230305,0.23306435766718525
41,41,71.3793,10.2148,50,11.1024,0,137,126,3,128,4,1.00171,71.42439,0.0,0.0,8.60714,8.51,8.4225,0.0,0.0,130.0,67.12329,0.0,0.31,1.872,-1.0,1.722166,14.638722737630209,0.3118578027285945,102.08557581955861,0.339568735526338,0.30665783614544045,65209.989960034196,0.24396009934155138,45488.447764837205,0.1550710363348704,0.2663252305348241,0.20592783527377792,0.218665796754459,0.20804198009197816,0.21318347855809933,0.16952425992819334,266.14265854318,89.69329288235849,11.888937114197532,95.41300248054054,1.4315146283438633,4.674002360350026,0.23282681706621625
42,42,71.3999,9.76329,50,11.8767,0,137,125,3,128,4,0.9969,71.43773,0.0,0.0,7.35714,8.509,8.82085,0.0,0.0,129.0,67.10796,0.0,0.31,1.793,-1.0,1.697531,14.657961810076678,0.31134746068308483,102.7936833194403,0.3441062518600561,0.30665783614544634,65279.42379222265,0.24363771727275993,45628.85096608416,0.1551890044237092,0.2665218853307499,0.20477414326452012,0.21945114912809646,0.208911824796882,0.21280117649448682,0.16921625655987077,265.9008118213583,89.72054606636215,12.046296296296296,95.42496102484778,1.3063766163063173,4.7911714719966,0.2326005203805632
43,43,71.4545,9.51777,50,11.0754,0,137,126,3,128,4,0.99322,71.49428,0.0,0.0,8.53571,8.523,8.42864,0.0,0.0,130.0,67.1055,0.0,0.31,1.755,-1.0,1.721659,14.633450543438947,0.3109716143310578,101.85987400184226,0.33945303306420804,0.30665783614545034,65247.126752987104,0.24338692860435437,45805.46334359256,0.15523181757809928,0.26667835144731783,0.20363000442491302,0.2200894826958306,0.20978262956293467,0.2124889225332674,0.16887743364447058,265.6562371047533,89.65746028194121,12.231577932098766,95.40536835979941,1.466348577617095,4.703522804054565,0.23255591475447593
44,44,71.3182,9.65454,50,11.3006,0,137,125,3,128,4,0.99633,71.3517,0.0,0.0,7.82143,8.504,8.20965,0.0,0.0,131.0,67.09414,0.0,0.31,1.762,-1.0,1.713469,14.674117665231964,0.31073020904175624,101.61761761707628,0.3395863962445233,0.3066578361454457,65196.87979537194,0.2431650024935764,45475.455190841494,0.15523982680989018,0.2668011091465146,0.2023866246722311,0.22084762927054272,0.2103574386666848,0.21235453968908563,0.16849850746771228,265.4057931731779,90.98042985413723,12.277536651234568,95.42687321695533,1.652709601952517,4.632896925779498,0.23279652648908444
