,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0.5,cubrow.0.5,blur,tone,cubcol.0.6,fft,cubcol.1.0,cubrow.1.0,color_fulness,cubrow.0.3,saturation,cubrow.0.6,cubcol.0,staticness,cubcol.0.3,noise,movement,cubrow.0,temporal,blockiness,contrast,uhdhdsim
10,10,54.3878,22.1108,25,33.5202,0,123,118,7,136,10,0.99732,49.32117,0.0,0.0,0.14286,10.911,19.43559,0.0,0.0,124.0,31.5123,0.00245,0.39,11.537,-1.0,0.330719,0.15839054749806605,0.07026422775590314,40888.02566010789,0.49102980392156853,0.22122391426001498,65516.36059241311,0.10668490330640724,0.02194121084042728,77.13234694507452,0.029746423096702748,44.64495868447386,0.05570857159679512,0.22214462859101056,440.30460427050804,0.1822264215128827,0.37670922164869686,10.560715663580247,0.011808958287863998,6.503526971749534,2.8601260720852943,84.90013877837978,84.11707684932693
11,11,55.6388,21.5315,25,32.6679,0,123,118,7,135,10,0.99817,50.37101,0.0,0.0,0.14286,11.107,18.98306,0.0,0.0,124.0,31.89328,0.00276,0.39,10.595,-1.0,0.388087,0.15564006030338862,0.06985218981251973,45101.287437222694,0.49652784313725495,0.21370854139182732,65210.314492227,0.10759367435739478,0.021275014457242628,76.54492904389083,0.029958269440737175,44.48795855486834,0.054877911105881014,0.21403246517083319,436.117835443001,0.17914884655873134,0.37449159560546813,11.45216049382716,0.01169713609187306,6.49776323446639,2.641871178774055,87.2291809992487,83.84872234003781
12,12,56.2309,20.9578,24,30.9358,0,123,118,7,135,10,1.01013,50.84796,0.0,0.0,0.07143,11.524,18.49366,0.0,0.0,123.0,32.25172,0.00288,0.38,10.671,-1.0,0.425138,0.15832963782660026,0.0690436107036541,47719.59372204858,0.4999749019607843,0.20711572033947584,64727.36729488537,0.10862278423316227,0.020636846657844474,75.61897864914168,0.029969887956176892,44.43712455843702,0.05388750237075922,0.20675738254178594,431.86910227402103,0.17789226642758693,0.3722739695622354,10.183931327160494,0.011608265465091989,6.457759619579344,1.9698895912302858,88.52190478591429,83.62813807216403
13,13,56.3199,20.8974,24,30.9285,0,123,118,7,135,10,1.00202,50.90232,0.0,0.0,0.21429,11.261,17.99516,0.0,0.0,123.0,32.15176,0.00279,0.38,18.001,-1.0,0.431453,0.16027463737503075,0.0678148934026992,47559.80464266011,0.4971779607843111,0.20151925152528435,64564.3936580669,0.11039715540330995,0.02012048770294242,74.6206337673681,0.03009514530510858,44.35953568823543,0.05320208777664214,0.2001251326965498,427.5962990329878,0.17653101813666758,0.3684329285831706,9.144724151234568,0.011502357191718767,6.376348703456065,1.9000657714577767,91.29417218492426,83.6217084119624
14,14,56.8711,20.4776,24,31.0308,0,123,118,7,135,10,0.99089,51.38839,0.0,0.0,0.28571,11.077,17.93694,0.0,0.0,122.0,31.87406,0.00292,0.39,30.272,-1.0,0.411391,0.16170470079179558,0.06779769967731862,49995.98978302418,0.49184705882352936,0.19706796091248474,64845.69098143052,0.11231814867383881,0.019640424708754857,74.08333916097835,0.02949932622044806,44.11467375578704,0.05338613937725459,0.1942608716481665,423.3032646866242,0.18776360892349142,0.36843292858317117,8.712046682098766,0.01145875210813112,6.3210937764242825,1.3664475290809022,88.42776829167467,83.76199796868464
15,15,56.823,19.9543,25,29.9749,0,123,118,7,135,10,1.00091,51.3884,0.0,0.0,0.28571,11.084,17.56819,0.0,0.0,122.0,31.55392,0.00326,0.39,28.573,-1.0,0.428622,0.16460383096321066,0.06674608978049675,45393.99004702528,0.4794008627450963,0.19356262528362245,64543.873554463935,0.11267295965341273,0.019225553537058647,73.22426554831162,0.02873546876574256,43.953712745949076,0.05298753390950499,0.1895543844789489,419.0778694484647,0.20548698517524563,0.37065055462639945,9.642119984567902,0.011413287938751557,6.2941702692934856,1.8844627934242324,90.20142575541492,83.29222121016828
16,16,57.1434,19.9366,25,29.1413,0,123,118,7,135,10,1.01349,51.70451,0.0,0.0,0.0,11.203,17.11988,0.0,0.0,122.0,31.36735,0.00348,0.38,33.08,0.13014,0.428542,0.16627224675693947,0.06580489718222085,46664.37224360173,0.47005307843137245,0.18976107071264708,64795.790744354694,0.11234556343497201,0.018858183834304324,72.41849864753544,0.02833209930215177,43.70607220685041,0.053526357378225836,0.18493373639168753,414.8793121360707,0.2154335374772397,0.3684329285831742,10.31274112654321,0.011338879819899814,6.301569449000474,1.9250301049110212,88.26959356838638,83.02204822206997
17,17,57.9757,20.0953,25,29.0501,0,124,118,7,135,10,0.99122,52.44933,0.0,0.0,0.07143,11.111,17.10924,0.0,0.0,123.0,31.03609,0.00364,0.39,25.546,-1.0,0.410449,0.1679479295668169,0.06544778303452985,51893.347520543735,0.46215294117647054,0.18650055539013152,64980.3495288265,0.11205583414301595,0.01851738919754376,72.16243197159793,0.02899752481594222,43.503055902174964,0.053273319123152384,0.1805439878365621,410.76401680889444,0.222937320739325,0.37449159560546513,10.254581404320987,0.011411145078207443,6.328287412817002,2.014221637515103,88.22548269877326,82.78287779411585
18,18,57.0233,20.4496,25,29.9946,0,124,118,7,135,10,0.96552,51.65943,0.0,0.0,0.21429,10.765,17.24337,0.0,0.0,123.0,30.89721,0.00355,0.39,29.561,-1.0,0.417347,0.16981694549009527,0.06442229826604141,45825.40206752586,0.4610262745098038,0.1847957119761477,65046.67554702149,0.111751012563493,0.01820676299075779,71.82967868484286,0.030066988744364535,43.44349124107832,0.05354635616137089,0.17703631322490174,406.89106450238864,0.22047274350831916,0.3744915956054635,10.328510802469136,0.011378095234028449,6.375875131573362,2.121058547367393,88.89574997159295,83.20664374331442
19,19,56.9545,21.2237,25,32.1671,0,124,118,7,135,10,0.96823,51.61397,0.0,0.0,0.32143,11.035,17.54878,0.0,0.0,124.0,31.03966,0.00378,0.39,27.831,-1.0,0.372596,0.17155689109769323,0.0641419879642657,47789.29277235725,0.4668048235294117,0.1864953666232024,65164.1227620878,0.11173211427764337,0.017917722296514536,71.29381203179481,0.03174723357432921,43.331807831187305,0.05449474612288387,0.17334331197000064,403.2267852498134,0.21685344499227205,0.37670922164868975,10.512731481481481,0.01132815985019128,6.453732256897886,2.426198101736829,87.48772153156222,83.32730004414104
20,20,56.225,22.066,25,33.1641,0,123,118,8,135,9,0.98096,51.01801,0.0,0.0,0.35714,10.817,18.21115,0.0,0.0,124.0,31.17377,0.00332,0.39,25.487,-1.0,0.35843,0.1715839606178534,0.0636438439378566,45137.23224531295,0.4693207843137254,0.18778652012416494,66465.67924339054,0.11210767808031924,0.017657249445220357,71.64067379326397,0.030915272958070145,43.251740443853684,0.054641568311876734,0.169769891376912,399.8150445148366,0.21260396821194313,0.3811444737351555,11.948350694444445,0.011304341319494721,6.5390065584026855,1.3168189053779604,88.30131339510521,83.53425313528558
21,21,55.4067,22.3796,25,33.0868,0,123,118,8,135,10,0.98797,50.35056,0.0,0.0,0.28571,10.854,18.93741,0.0,0.0,124.0,31.26246,0.0034,0.39,23.567,-1.0,0.361829,0.17201549180119735,0.06370261483195491,42181.42661755806,0.47009254901960784,0.18604233964098912,66722.212371218,0.11204771744410173,0.017435785932718974,71.72265505401175,0.030203347149342863,43.23494296603732,0.05402649281941269,0.16630277015196612,396.72535460107105,0.21166516256162052,0.38114447373515636,12.654658564814815,0.011258783530175499,6.583590753777164,3.084947213324664,85.09491784817962,83.87098352786694
22,22,55.8751,22.633,25,34.5173,0,123,118,8,135,10,0.96776,50.78356,0.0,0.0,0.17857,10.414,19.20342,0.0,0.0,125.0,31.31984,0.0034,0.38,20.034,-1.0,0.348731,0.1722609050586969,0.06384327752183526,42790.87996998719,0.47309143137254894,0.18382081600050149,67041.73213203617,0.11264179363941874,0.01720402161771604,72.63870483735302,0.030595746407250973,43.09484354654948,0.05367714235795552,0.1631786696110203,393.80741433673376,0.21082402007687764,0.3827678886709884,12.780960648148149,0.01125005161586992,6.61246589273723,1.7911247340190388,88.38806916705221,83.76417072693192
23,23,55.8033,22.6242,26,34.0711,0,123,118,8,134,10,0.98849,50.7669,0.0,0.0,0.32143,9.941,19.42101,0.0,0.0,126.0,31.26366,0.00282,0.38,21.185,-1.0,0.364846,0.17196671802949376,0.06388117696962227,40712.852589814174,0.47196976470588237,0.18246438305969928,67644.9441305845,0.11323875372510128,0.017024908889118697,73.25657891923197,0.031484191932573756,42.97942870340229,0.05462578205851097,0.16044317875381814,390.8630362939425,0.21134195954961305,0.38498551471421777,12.766396604938272,0.011240646237808644,6.608405190476946,2.865430729299899,89.17111508900521,83.95600563413171
24,24,56.738,22.4671,26,35.773,0,123,118,8,134,10,1.00031,51.58052,0.0,0.0,0.42857,9.082,19.41285,0.0,0.0,127.0,31.21757,0.00275,0.38,19.571,0.13002,0.372795,0.17186074805977158,0.06664093523524627,40768.71184796431,0.4709556862745098,0.18021900023724743,68297.04023637311,0.11306823153148213,0.016881119289580467,75.55913472425115,0.03414518273638516,42.82021096311969,0.057461906787196294,0.15782930180173763,387.8691389442001,0.209711059895629,0.38498551471421466,13.264081790123457,0.011219955561975442,6.592467962857809,1.8371009001994818,86.24846447491045,84.20198095414682
25,25,58.9237,21.9456,28,35.2129,0,123,118,8,134,10,0.97952,53.49443,0.0,0.0,0.92857,7.957,19.27867,0.0,0.0,127.0,31.29746,0.00298,0.38,19.448,-1.0,0.324062,0.17070553582897238,0.07039108408997435,46619.11148157844,0.4708682352941177,0.1808358778397962,70050.97972084701,0.11338798692914344,0.01675968318154967,77.6849906327302,0.036790581029917585,42.740783879786356,0.06450378930513231,0.1552017713510624,384.9482162808071,0.20878150828970432,0.38779735186484704,14.019483024691358,0.01122548491080913,6.571599817218377,1.796805614347841,88.33053372247193,83.81396132579286
26,26,60.1244,21.2903,28,34.8807,0,123,118,9,134,10,0.99479,54.56785,0.0,0.0,1.71429,7.466,18.83492,0.0,0.0,126.0,31.45688,0.00316,0.38,22.041,-1.0,0.331745,0.17082456675661123,0.07597251603206201,46347.109025951504,0.47131515686274417,0.18242621329083453,71301.90507487561,0.11358360685102649,0.016618068094046017,78.92164749518412,0.03891660821168597,42.80504787115403,0.06900681477355738,0.15268749572631327,382.2756425301873,0.21007281414158027,0.39104418173651223,14.013840663580247,0.0112351332503241,6.538175340740368,1.8221445099981568,86.96520108372148,83.74426281635243
27,27,61.4603,20.8632,30,33.4677,0,123,118,9,134,11,1.0155,55.75936,0.0,0.0,1.0,6.439,18.27314,0.0,0.0,127.0,31.65626,0.00356,0.37,24.322,-1.0,0.298513,0.17148653061705116,0.08490706503652633,49202.91894419433,0.4739658823529412,0.18334204338890558,73015.84682897775,0.11372923955239049,0.016468075157636392,80.11177243653005,0.039464243884681234,42.973937799901144,0.07653237733630415,0.15050875553375176,379.8453943899272,0.21352248081495895,0.3932618077797392,13.41454475308642,0.011230922637403848,6.510259306740243,1.5762291963307808,89.09056095436038,83.57226381123175
28,28,61.3958,20.4293,30,34.7015,0,123,118,9,134,11,1.01327,55.71762,0.0,0.0,0.28571,6.242,17.90609,0.0,0.0,126.0,31.78636,0.00388,0.38,23.798,-1.0,0.318181,0.17232426212541962,0.08721354316724904,48238.67928814088,0.4734891960784313,0.18419272989972427,74064.14134170418,0.11359837058594105,0.016356949743804375,80.83552553621632,0.03938055474336459,43.112332190996334,0.08159998703903189,0.14847220612849163,377.6529589542625,0.22291186723928127,0.3954794338229732,12.984712577160494,0.011243954635512943,6.47335737541784,2.0303174593169793,88.79601356567422,83.65062797717705
29,29,61.8313,20.4477,30,34.431,0,123,118,9,134,11,1.0408,56.10613,0.0,0.0,0.57143,6.418,17.53769,0.0,0.0,126.0,31.89555,0.00425,0.38,25.807,-1.0,0.324285,0.17353333507557403,0.08695400659306919,49086.02458606408,0.4713903137254901,0.18494785121774657,74845.1534844131,0.11384713998443399,0.01625074943940968,81.6195190283657,0.04018112179944632,43.22557425793306,0.0807091908067989,0.14641995472395086,375.6947394704636,0.22927262762504075,0.3954794338229713,13.01514274691358,0.011256629294726464,6.445939833387227,1.9079375486421146,85.7068023986444,83.55774790067036
30,30,60.1929,20.8659,30,33.1399,0,123,118,9,134,11,1.05084,54.70996,0.0,0.0,0.10714,7.239,17.55384,0.0,0.0,126.0,31.95471,0.00352,0.38,22.051,-1.0,0.322673,0.1742351823309792,0.08712368492023775,45291.93970004222,0.4672392156862746,0.18537930625755666,71947.67717354113,0.1142848319261556,0.016151499507284835,81.93251442527401,0.04065777639739816,43.184836116837864,0.08066247031784168,0.1448811668230234,373.9699757965305,0.23324664276112003,0.39710284875880514,13.074170524691358,0.011275505373102498,6.468681362829435,2.288989507066821,89.06939545989384,83.64500197663476
31,31,57.9073,20.9255,29,34.5674,0,122,118,9,134,11,1.00673,52.75435,0.0,0.0,0.32143,7.686,17.91588,0.0,0.0,126.0,32.15932,0.0028,0.38,20.918,-1.0,0.319037,0.17439707554166883,0.08711542117961099,41039.685474899255,0.4720062745098038,0.1852379808169692,70155.22624415849,0.11321892280554931,0.016076343925800266,82.8059127726727,0.04218035768393206,43.14553776493779,0.08018538311054708,0.14293504337369015,372.4744252608532,0.23017137201516746,0.3993204748020334,13.271942515432098,0.011300974354837883,6.529467669363827,2.1317798228988156,89.3942207786,83.98950669399626
32,32,58.0391,20.6029,30,35.2561,0,122,118,9,134,11,1.00743,52.92617,0.0,0.0,0.60714,7.817,17.96737,0.0,0.0,125.0,32.5784,0.0033,0.37,18.244,0.12822,0.311524,0.1742697612271718,0.08677851098077895,40689.51143794526,0.4794501960784314,0.18537851389773002,71502.8492536409,0.11168363287120081,0.016000910765873667,83.44170407783474,0.04316332562324505,43.2881366117501,0.08083550763752018,0.14184096000199187,371.18109283508636,0.22971070408945818,0.39932047480204097,13.532359182098766,0.011300673739809454,6.582292011623763,2.3974606232599345,87.67091954929266,84.19668133103728
33,33,59.0594,20.8539,30,34.3945,0,122,118,9,134,11,0.99079,53.82458,0.0,0.0,0.46429,7.172,17.6932,0.0,0.0,125.0,32.99009,0.00299,0.38,22.354,-1.0,0.281646,0.17454179043429083,0.08803868250965129,43035.328342962326,0.487044705882353,0.1855829382472329,73060.49210006227,0.11048081480033184,0.015960204135309523,83.65350700782258,0.04362447088414092,43.33469890076437,0.08419723315522247,0.14118849833561464,370.05879845101987,0.22982807048267687,0.4053791418243353,13.63599537037037,0.01129220298190987,6.575304845340357,1.9762144976827138,87.30648361153908,84.01926005659877
34,34,59.3694,21.2864,30,35.5919,0,122,118,9,134,12,1.03699,54.14777,0.0,0.0,0.07143,7.011,17.90266,0.0,0.0,125.0,33.33346,0.00299,0.37,24.832,-1.0,0.26794,0.1747015561168571,0.08815389100105345,42203.57997624003,0.49569215686274515,0.18555341466916372,71964.01080844858,0.10933902257944782,0.015909132517993484,83.46516685451247,0.04351508813941989,43.4003651936849,0.0880606932114961,0.13989862902399372,369.122634426425,0.23116147458937022,0.4098143939107884,13.87938850308642,0.011296678729215935,6.609215754996241,2.126458462503739,87.3360279290718,83.75248242933019
35,35,59.9363,21.1106,30,36.1591,0,121,118,9,134,12,1.05064,54.63563,0.0,0.0,0.21429,7.451,18.27155,0.0,0.0,125.0,33.76185,0.00317,0.37,23.231,-1.0,0.285919,0.17505467249694037,0.0880603124515445,44407.347163314415,0.5074094117647059,0.18602710133276615,72666.14046937643,0.10832007706396016,0.015845185970933328,84.01629417376878,0.04331726792544746,43.674731219256365,0.09183591393661544,0.13923992109159028,368.37301603946486,0.23266125709940952,0.40981439391078794,14.119212962962964,0.011332323293992284,6.598900895104074,3.0866251071162174,89.09145635575598,83.7309632635303
36,36,60.1813,20.7293,30,37.2438,0,121,118,9,134,12,1.00948,54.86344,0.0,0.0,0.0,7.873,18.12166,0.0,0.0,125.0,33.83462,0.00344,0.37,22.164,-1.0,0.302751,0.17580535640249118,0.08800148673198792,44192.676191101185,0.5102388235294116,0.18632226207233085,72319.55140280076,0.10723447590100824,0.01579877179524957,83.918092166355,0.04305688018360713,43.91145400059076,0.09193203889827146,0.138776040219041,367.76357264044395,0.23220614966205078,0.4098143939107887,14.02319637345679,0.01134491836332137,6.562044970017259,3.0735664837487877,88.63605280830774,83.83435095219869
37,37,60.7157,20.4718,31,33.5565,0,121,118,9,134,12,1.00723,55.3172,0.0,0.0,0.28571,7.788,17.7882,0.0,0.0,125.0,33.74109,0.00368,0.38,18.341,-1.0,0.298178,0.1764252708104965,0.0883602457118825,47873.4872429976,0.510104705882353,0.1868127986841613,72264.98354289183,0.10591117071792969,0.015774934633232082,83.56059373082758,0.04285080434569123,44.14042494032118,0.09279823110667026,0.1387930308988213,367.3032450587052,0.23610653493742492,0.4098143939107928,13.917582947530864,0.011409632588768504,6.521757086090307,1.9627189461287824,85.63096141018437,83.62227114188346
38,38,60.4013,20.3199,31,33.6077,0,121,118,9,134,12,1.0374,55.04207,0.0,0.0,0.14286,7.811,17.56743,0.0,0.0,125.0,33.73491,0.00363,0.38,18.505,-1.0,0.263055,0.17701855540733147,0.08903618956896739,46285.90481268997,0.5128600000000001,0.1871776512254237,71426.46571398436,0.10575524755180561,0.015746587683400568,82.88479400815976,0.0427851526742921,44.345039273485725,0.09375868414250821,0.1394527040363899,366.9782671294121,0.23437479292628044,0.4136554348898523,14.036458333333334,0.011452105988606675,6.455515613919912,2.8836979391411814,86.90292570047325,83.72391302297716
39,39,60.7364,20.4002,31,32.4934,0,121,118,9,135,12,1.09473,55.35279,0.0,0.0,0.25,7.548,17.43698,0.0,0.0,124.0,33.69833,0.00367,0.38,14.903,-1.0,0.258341,0.17782855131339878,0.08896302646168185,47620.16769741262,0.514076862745098,0.18744721527128905,71049.68601199625,0.10612970081916728,0.015738835842199123,82.4071534237693,0.043529245145772895,44.517783459321954,0.09515139258744855,0.14024439215704634,366.7337365389888,0.23531105540715958,0.41587306093308146,14.04513888888889,0.011544828145275495,6.4184381573424565,2.4808730676186435,85.83763455845661,83.70654311255663
40,40,61.2671,20.7584,31,33.0497,0,121,118,9,135,13,1.01753,55.82862,0.0,0.0,0.42857,7.476,17.51102,0.0,0.0,124.0,33.60144,0.00429,0.39,17.016,0.12629,0.243946,0.178963432330154,0.08912349474414133,48685.370865901576,0.5123412352941175,0.18706111042920354,71126.4815963436,0.10679729250662238,0.0157571401371871,81.10765107995286,0.04340802270135196,44.54168456277729,0.09617444475937958,0.13901748290216473,366.51881747874205,0.2401206256011215,0.4158730609330868,13.857831790123457,0.011688801932389107,6.415656223051275,3.0658636776723176,86.99210839829374,83.73772218324694
41,41,61.8394,21.1208,31,33.6637,0,121,118,9,135,13,1.00609,56.35047,0.0,0.0,0.39286,7.342,17.81931,0.0,0.0,123.0,33.59614,0.00394,0.38,16.389,-1.0,0.254308,0.1813373957069533,0.08982799461126624,51565.69100978853,0.5138032745098037,0.18726315521476777,71109.0112124591,0.10870638751996335,0.01582684180098509,79.82581099133446,0.04367966348084873,44.53203648696711,0.09816522755797909,0.13709784140282374,366.347715765275,0.24484682724919554,0.41971410191215136,13.25535300925926,0.01190426595265866,6.391494599970387,3.152331547677905,87.02107802565855,83.22443556526709
42,42,64.1029,21.5535,32,34.5772,0,121,118,9,135,13,1.00145,58.33457,0.0,0.0,0.53571,6.997,18.13063,0.0,0.0,122.0,33.87908,0.00501,0.39,17.716,-1.0,0.253477,0.18441698523431768,0.09076786670815047,60234.56511699188,0.5201748039215683,0.18730025883925766,71624.90532678965,0.10983050137017139,0.015913183042378414,79.79912713352238,0.04368928977522696,44.77715273256655,0.10019363074454281,0.13577444276428444,366.259214408951,0.2501646020440736,0.4241493539986006,13.438898533950617,0.012102993560808097,6.357705045977369,3.2124667922616235,86.88989490556077,82.55462150979683
43,43,64.5658,22.2265,33,32.9445,0,121,118,10,135,13,0.92921,58.80133,0.0,0.0,0.35714,6.615,18.5054,0.0,0.0,121.0,34.12761,0.00374,0.4,15.331,-1.0,0.266769,0.1911481418036214,0.09101003030683347,56898.837708357394,0.5273796078431373,0.18747237824120178,72237.67417030374,0.110978161335597,0.016015174678657353,80.35124504310596,0.04400876028413595,45.01952748239776,0.1034165522944934,0.13430786611946618,366.28709989635655,0.2524400528064877,0.42414935399860915,13.623070987654321,0.012336701286801921,6.307579342589822,6.071313711230198,84.1952529290658,83.1924853177138
44,44,65.835,23.1106,35,36.6959,0,121,118,10,135,14,0.91901,59.97441,0.0,0.0,0.64286,6.159,19.08614,0.0,0.0,121.0,34.36762,0.00363,0.4,15.668,-1.0,0.266788,0.19462025124363683,0.09306541447536534,56589.01636900909,0.5293941176470587,0.18776585295412476,74073.5617917446,0.11253585935027714,0.01609551348738918,80.25120421125123,0.04433635473625492,45.17986721462673,0.10555740952564677,0.1329918578787938,366.41196555926604,0.2515078307072875,0.4279903949776706,13.594376929012345,0.012675114280976646,6.261265104994403,6.846671097422331,86.86005690695407,83.12756517713451
