,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,temporal,cubcol.0,blur,saturation,cubcol.0.6,cubrow.0.3,tone,uhdhdsim,cubcol.0.5,contrast,cubrow.0.6,cubcol.0.3,movement,cubrow.1.0,cubrow.0.5,color_fulness,noise,blockiness,fft,staticness,cubrow.0,cubcol.1.0
10,310,24.1354,25.7115,14,26.9115,0,117,117,4,140,8,0.99305,23.72107,0.0,0.0,12.57143,11.879,22.2734,0.0,0.0,105.0,33.5474,1e-05,0.31,3.448,-1.0,4.256966,6.440348252695497,0.02950061090197064,2875.9848745310833,55.003250310450426,0.03422857921062304,0.06297583909299294,0.5036737254901962,102.34154895865731,0.037616674475983686,87.80188111711696,0.06448696137291379,0.07227587347688955,15.04079861111111,0.03870537206712268,0.06136843059286768,90.46792839180567,0.2327654096631143,0.7774975984399461,62390.86402937373,634.216016918907,0.04808785307728577,0.0820444130422164
11,311,25.1842,25.451,14,26.0111,0,117,117,5,140,8,0.98906,24.6543,0.0,0.0,19.25,11.69,22.08322,0.0,0.0,108.0,33.98281,0.0,0.3,2.655,-1.0,4.419287,6.416824981512601,0.02916172433616561,3171.3714949534146,54.27049839349441,0.03360047617550476,0.06856281064901704,0.519136862745098,102.19448662548821,0.040876936164631644,88.32286155720006,0.06266637624394986,0.07322453718230912,16.75120563271605,0.03774153994361777,0.05951390036502981,91.52901145662855,0.23276540966310622,0.9849542917092057,62294.08000513595,621.9366478553167,0.047136060976057464,0.08069835893635223
12,312,25.8038,25.1302,15,26.7188,0,117,117,5,139,9,1.01466,25.26532,0.0,0.0,12.67857,11.972,21.85703,0.0,0.0,110.0,34.20657,0.0,0.3,2.907,-1.0,4.391518,6.384872555010341,0.028828394136764135,3312.929328614307,53.71723354009934,0.039295584730018984,0.07266400320358848,0.523655431372549,102.02627148158959,0.043880218183116534,89.00679107156552,0.06126916581276,0.07543033098983339,15.151523919753087,0.03773237639122963,0.05859944283999304,92.75915452722288,0.232765409663108,0.7412984441396396,62186.21284510543,609.8499246675641,0.045825921476672575,0.07888300758307716
13,313,26.3366,25.1941,15,27.4276,0,117,117,5,139,9,0.99506,25.77723,0.0,0.0,15.78571,11.835,21.57418,0.0,0.0,116.0,34.43504,0.0,0.3,2.432,-1.0,4.199995,6.434071750364418,0.028678101115252527,3476.1882631420494,53.48978169759114,0.044444732075415314,0.07406763134794002,0.5283432156862742,101.91950790012946,0.04464690456958275,90.19644810930322,0.06057697431020973,0.07748042071866967,14.015432098765432,0.03835690722962621,0.058097366391828595,93.15058712127308,0.23276540966311451,0.7861869689068485,62245.31973082516,598.6548639435293,0.04429508217777128,0.07714109747462272
14,314,26.8122,25.261,16,28.4885,0,116,117,5,139,9,1.01203,26.23112,0.0,0.0,17.42857,10.941,21.64443,0.0,0.0,110.0,34.69026,0.0,0.3,2.466,-1.0,4.189172,6.4639792252238495,0.028098617491016654,3617.923194699503,53.514276198398925,0.04138986237264593,0.07485175827356322,0.5331878431372549,101.85956655786845,0.045554429086494104,88.502419338877,0.06090739660730118,0.07930830466219768,14.00048225308642,0.03758321958576103,0.05826312325255489,93.72772218661231,0.23276540966311554,0.5650853168357177,62116.26613075164,588.3597614232702,0.04285718246027842,0.0753419747221991
15,315,27.4352,25.2915,16,28.5521,0,116,118,5,139,10,1.00147,26.87117,0.0,0.0,13.96429,10.751,21.70881,0.0,0.0,109.0,34.87128,0.0,0.3,3.245,-1.0,4.159986,6.52404072008957,0.02767350476700819,3828.5224094001837,53.58767869737413,0.04066165527342556,0.07498250886638186,0.5327807843137254,101.76325199975315,0.046013185289167174,89.69416012795645,0.06169720420657428,0.07941896994551187,16.65354938271605,0.037112866435048096,0.05843950629116186,94.27801011475199,0.2327654096631165,0.8224583171563588,62122.63110881419,579.0995490359255,0.04157479884196758,0.07405478148013449
16,316,28.7594,24.9828,17,26.4722,0,116,118,5,139,10,0.99353,28.09991,0.0,0.0,12.39286,10.159,21.7287,0.0,0.0,111.0,34.8469,0.0,0.31,3.587,0.41538,4.001881,6.596614323844577,0.02818592933856221,4506.143993034059,53.527849362220294,0.040872190089172186,0.07503933743904041,0.5310580392156863,101.53238819565271,0.04574309716232498,93.45001256607122,0.06332138793664682,0.07951113807892954,17.430555555555557,0.03683220795404482,0.06089366829196332,94.54434888003489,0.2366064506421833,0.7299675744094812,62145.690276495574,570.5186437529842,0.04041502193482215,0.07279971300931379
17,317,29.6583,24.7881,17,26.6636,0,116,118,6,139,11,1.00034,28.91337,0.0,0.0,11.92857,10.27,21.45549,0.0,0.0,113.0,34.92982,0.0,0.3,3.492,-1.0,4.000731,6.586746360947626,0.028049068372441248,4857.717162341887,53.309216911410104,0.041580386846894295,0.07547005351168773,0.530801568627451,101.37388547503255,0.04551188687875617,90.98099053143476,0.06541444444938282,0.08146642726114053,16.73712384259259,0.03654600914903377,0.06276415479548095,95.11470618015768,0.2327654096631179,0.758655852259561,62139.252900572574,562.5151091104294,0.039369635455553685,0.07131615252061518
18,318,29.9006,24.7498,17,25.6252,0,116,118,6,139,11,1.00475,29.15685,0.0,0.0,11.10714,10.314,21.30067,0.0,0.0,111.0,35.00217,0.0,0.29,2.714,-1.0,4.0948,6.532678125214368,0.028470462283868462,4859.549568855675,53.174293235496236,0.044520747905441374,0.07628972508814129,0.5302360784313725,101.30944545522696,0.04520855869380529,88.9636215307961,0.06652116466199143,0.08360274267134686,15.803144290123457,0.036328964810675365,0.06559503760480669,95.82617271581401,0.23660645064218055,0.9576692333842565,62170.34763308918,555.4518503697666,0.038402464930167295,0.07019993974524218
19,319,29.5955,23.8557,17,26.9449,0,116,118,6,139,11,0.99434,28.96427,0.0,0.0,12.85714,10.429,21.2768,0.0,0.0,119.0,34.8906,0.0,0.3,3.275,-1.0,4.053033,6.523154230900353,0.02945899826293992,4622.0087590615385,53.204968676155,0.04802008092698516,0.07677124208791922,0.5258311568627447,101.22186081482062,0.04470636207785306,87.07716177114042,0.06671483204327885,0.08482077568842174,14.994309413580247,0.03593005653796889,0.06648279261663735,96.15052895186778,0.24488274370769822,0.7668224212751615,62343.255010354784,549.6877245651455,0.037606702365144504,0.06964136745658688
20,320,29.9222,22.7391,18,26.1405,0,116,118,6,139,11,1.00814,29.28969,0.0,0.0,9.78571,10.46,20.5037,0.0,0.0,114.0,34.78491,0.0,0.3,2.955,-1.0,3.912631,6.453803792929697,0.029999733765007804,4925.117901354594,53.13966294276862,0.05084061356419937,0.07713410392935593,0.5220595686274497,101.14665444686432,0.04425904687522515,89.68772295449571,0.06606811043856123,0.0863086613034053,16.525848765432098,0.0356855135943404,0.06896157621221621,96.66683681062513,0.24488274370770227,0.9420026042234173,62426.13937278345,545.0897111646764,0.037265595528812,0.06847291930258924
21,321,30.3322,22.0573,18,23.9995,0,116,118,6,139,11,0.99216,29.69883,0.0,0.0,10.60714,10.401,19.54765,0.0,0.0,115.0,34.70196,0.0,0.3,3.169,-1.0,3.710822,6.370232901523319,0.030743630625320737,5204.137918916644,53.12257743176119,0.05387125186741868,0.07739168337250106,0.5212313725490196,101.07471757250657,0.043983017382229,89.20882983424251,0.06699286427391686,0.08707380046224131,16.07055362654321,0.03513966772214054,0.07034777445736552,96.998878874576,0.24488274370770427,0.6935474264985831,62474.4219444381,541.591490074975,0.03667920021647994,0.06764063550738277
22,322,30.796,21.3525,18,24.943,0,116,118,6,139,11,1.01567,30.08815,0.0,0.0,8.42857,10.353,18.98255,0.0,0.0,113.0,34.59615,0.0,0.3,2.899,-1.0,3.700091,6.311878674653798,0.031516456004939644,5493.649162208573,53.01856203432437,0.05710334457603049,0.07760077178782304,0.5182333333333333,101.02377500311611,0.04416780429469037,87.34062152079237,0.06647443985781193,0.0885955070555946,15.136091820987655,0.03462122571545476,0.07117519024689244,97.61470447152765,0.24488274370770302,0.736790147522325,62435.80206211543,539.2134035991984,0.035880861001203565,0.06717799578453773
23,323,31.166,20.6486,18,24.2538,0,116,118,6,139,11,0.9893,30.41614,0.0,0.0,8.82143,10.33,18.38341,0.0,0.0,115.0,34.63596,0.0,0.3,2.948,-1.0,3.73589,6.242457588880455,0.03267764788549414,5980.901140675602,53.13507720570505,0.05895111437787927,0.07775628767393734,0.519036862745098,100.87904624965827,0.044656317065913345,87.04204510603842,0.06671261444929576,0.088959958328628,14.158613040123457,0.034211056939157374,0.07212344550142977,98.44143287412608,0.24488274370770488,0.6941743479080154,62585.12850526215,537.8978084571021,0.035264978345177146,0.06699546438488954
24,324,31.6447,20.2012,18,23.8182,0,116,118,6,139,11,1.00099,30.92699,0.0,0.0,9.42857,10.25,17.79017,0.0,0.0,111.0,34.54319,0.0,0.3,2.9,0.42361,3.308204,6.226957484819285,0.03274576483974618,6278.807880831059,53.21632083845728,0.059881901815025285,0.07793594141185996,0.5135986470588234,100.72250730733481,0.045089850105373946,88.4403528871169,0.06664189774201225,0.08853045108237832,14.113859953703704,0.0340497506642333,0.07316041159912966,99.72981444402191,0.24710036975093455,0.9887773189823249,62668.78002557183,537.4351490673356,0.0347432849251591,0.06742413236100224
25,325,31.9672,19.6348,18,21.9082,0,116,118,6,139,11,0.99943,31.3246,0.0,0.0,9.85714,10.295,17.40784,0.0,0.0,113.0,34.41412,0.0,0.3,3.067,-1.0,3.190928,6.137584323320901,0.03509771907865327,6522.059924651279,53.299092045536746,0.06031512172612119,0.07812164839163085,0.5092443137254902,100.66203720884124,0.04559889483445516,84.76131364629087,0.06673682629895475,0.0883156229538384,14.238088348765432,0.03376763720848247,0.07286483191056739,100.57439187921008,0.24710036975093597,0.73928351141081,62531.94342212427,537.6869039352715,0.03435139790525493,0.06728063375396455
26,326,32.3738,18.548,19,21.4877,0,116,118,6,139,11,0.99653,31.69701,0.0,0.0,8.71429,10.216,16.92967,0.0,0.0,116.0,34.03991,0.0,0.3,3.283,-1.0,3.088971,6.030424539452326,0.03532789922847092,6723.761138983214,53.339298012815874,0.06167787010878201,0.07804971034054574,0.5073588235294118,100.5769076603771,0.0461017330554958,86.61011021398514,0.06641478010287204,0.08877373338058187,12.6171875,0.033691228079069505,0.07405315233002495,100.83226263078308,0.2553766628164558,0.9060816339968956,62692.05223992744,538.477509566021,0.034059155639289074,0.06762503144211399
27,327,32.3587,18.5167,19,21.2698,0,116,118,6,139,11,1.00775,31.67051,0.0,0.0,7.42857,10.083,15.99425,0.0,0.0,114.0,33.81865,0.0,0.3,5.011,-1.0,3.102009,5.8340424365081,0.03601447525618813,6706.721399252704,53.291982203354074,0.062311687945483626,0.0778601512873697,0.5060380392156864,100.59151762766948,0.04652745861496963,87.00010782201181,0.06617766950151663,0.08895757940477547,11.368200231481481,0.03367277721412664,0.0734860778067396,100.91596340681727,0.2471003697509364,1.358002631174302,62622.0277790067,539.714544552134,0.033756124178438845,0.06818600482016138
28,328,31.9937,18.5745,19,21.2781,0,117,118,6,139,11,0.99125,31.32252,0.0,0.0,9.46429,10.038,15.96477,0.0,0.0,114.0,33.62703,0.0,0.3,4.627,-1.0,3.284045,5.678468867622288,0.036354661728478836,6354.214528997993,53.30151009265287,0.06339452388554105,0.07762753195540367,0.5057823529411765,100.73302261874451,0.04698898231542786,88.42080336336579,0.06584098236152941,0.08950015719941394,10.581838348765432,0.033642953446003945,0.07331169199856882,101.00847153778577,0.2471003697509344,1.148612106470972,62746.32611222406,541.2351273487119,0.03398778050450802,0.06905086339035392
29,329,31.9529,18.7838,19,20.576,0,117,118,6,139,11,1.00525,31.28626,0.0,0.0,15.0,10.04,16.00308,0.0,0.0,109.0,33.52457,0.0,0.3,5.113,-1.0,3.334398,5.57794988759846,0.03723700621015939,6378.006946179168,53.10672844780816,0.06312295927420648,0.07796314036320985,0.505255294117647,100.73124763483021,0.047346391766395,89.12812481357626,0.06606375559552104,0.09024641002218402,9.96339699074074,0.03357702738748827,0.07314425691307877,100.7010362480577,0.24710036975093463,1.3046878793471774,62884.96484625097,542.8314166363284,0.03454843810769469,0.0703287893421914
30,330,31.8071,19.2163,19,18.8207,0,117,118,6,139,11,1.00339,31.17875,0.0,0.0,12.10714,10.078,16.17338,0.0,0.0,111.0,33.37902,0.0,0.3,4.586,-1.0,3.322929,5.573619648173913,0.03830310063971731,6200.616419651783,52.686850088614,0.0629433544955479,0.0781155292676941,0.5049158627450979,100.77613744805717,0.04753280854381443,90.06593201174051,0.06717574401494635,0.08994970908125441,9.906057098765432,0.03333299211410831,0.07266793736075833,99.7650238215994,0.24710036975093455,0.8364257196507418,62899.39362169307,544.2259286919473,0.03449069461745006,0.07181436962285609
31,331,31.8386,19.8495,19,20.1839,0,117,118,6,139,11,0.99573,31.16623,0.0,0.0,10.92857,10.127,16.54184,0.0,0.0,115.0,33.42643,0.0,0.3,5.04,-1.0,3.360821,5.585369092314003,0.039104093482665886,6262.591454039848,52.307194650909054,0.06390976733783406,0.07914024161512347,0.506510588235294,100.80107253556712,0.047629768938440245,85.8919590920928,0.06832967553681304,0.08903889941418815,9.754967206790123,0.03323214374982635,0.07228149584627469,99.07181899866333,0.2471003697509341,0.8874712819348587,62839.30551638012,545.3459286127539,0.03394773915351741,0.073059952772771
32,332,31.421,20.5883,19,21.2365,0,117,118,6,138,11,1.00355,30.78083,0.0,0.0,9.64286,10.264,17.11025,0.0,0.0,119.0,33.82484,0.0,0.31,4.129,0.44264,3.206833,5.621499997071795,0.03912517439832494,5744.215010858133,52.158989046826775,0.06604263298025692,0.08006273686786108,0.5114407843137255,100.87694297022446,0.0477591307893058,87.94717077314843,0.06891257453015424,0.0883276249013417,9.531684027777779,0.033051643673361226,0.07216538465491701,99.51699496116876,0.24710036975093594,1.0369390247961712,62752.52407869719,546.2595014583651,0.033571055206102464,0.07329275965809898
33,333,31.4988,21.2105,18,23.3019,0,117,118,6,138,11,0.99553,30.87803,0.0,0.0,9.32143,10.185,17.73825,0.0,0.0,118.0,34.03008,0.0,0.31,4.556,-1.0,3.245167,5.716045580935594,0.03919656876324698,5677.430963427302,52.079422750590766,0.06693418382498936,0.0798079283999364,0.5143031372549018,100.91966905682563,0.04793788085329467,87.55981606181511,0.06913320126543791,0.08807528612311069,9.601514274691358,0.03293841159096696,0.0719940070075476,99.9986353465277,0.2471003697509341,1.1573113385439435,62796.37446891793,547.0489336915002,0.03323747640724579,0.07385436828737828
34,334,31.5477,21.5539,19,24.1469,0,117,118,6,138,11,0.98729,30.97924,0.0,0.0,8.89286,9.983,18.26106,0.0,0.0,118.0,34.16659,0.0,0.3,4.339,-1.0,3.09388,5.775309092992233,0.0389816423036416,5756.885011106377,51.84023840633439,0.06850053095865084,0.07958061121905843,0.5111894117647059,100.93004829224755,0.04817639844812483,86.07319944312013,0.06912903295921963,0.08755154987980147,10.311631944444445,0.0326985990604343,0.07205311063492824,100.42813945744179,0.2471003697509366,1.0213472616536223,62725.64331079127,547.70258706179,0.032905444395101055,0.07423075010110469
35,335,31.5831,22.0377,19,22.9721,0,117,118,6,138,10,1.00791,31.00807,0.0,0.0,9.07143,9.799,18.54528,0.0,0.0,118.0,34.24631,0.0,0.31,4.876,-1.0,3.107397,5.866520755892797,0.038885354098922555,5778.582788205665,51.703736670223286,0.06879183290552147,0.07933556462887266,0.5081721568627451,100.93803109352223,0.04871960766009629,88.23104269548818,0.06946745855383206,0.08681118375057986,10.805459104938272,0.03255465907941847,0.07252396816392805,101.20649808359693,0.24931799579416533,1.3852428109372124,62589.76352836238,548.2083092574454,0.03257181966835226,0.0745463100833318
36,336,31.1579,22.6885,18,23.4964,0,117,118,6,138,10,1.0069,30.64338,0.0,0.0,12.03571,9.757,18.95765,0.0,0.0,117.0,34.2041,0.0,0.31,4.46,-1.0,3.041276,5.940972858085989,0.03858178561239696,5505.702124995179,51.56089820390866,0.06861491878438887,0.07922876037829077,0.5070768627450981,101.01704488929138,0.04966787215513435,91.30684152309024,0.06973280253152404,0.08612524900332608,11.098958333333334,0.03244973546958835,0.07292222395551244,101.40938089438598,0.24710036975093622,1.2522577086908862,62587.13045753801,548.6310157517609,0.032283121308759426,0.07448293275698878
37,337,30.3687,23.2946,18,24.5508,0,117,118,6,138,10,1.00129,29.9627,0.0,0.0,10.64286,9.923,19.5156,0.0,0.0,122.0,34.2804,0.0,0.31,4.508,-1.0,2.929865,6.0701622329609135,0.03830258166211712,5148.297563039177,51.460928457754626,0.06796390947941533,0.0793504948168052,0.5040935882352939,101.15107179074249,0.05113095647976527,86.60355828987875,0.07024927233434672,0.08556635455989506,11.991126543209877,0.03244301184168308,0.07380969213864919,101.5821258155388,0.2592177037955184,1.4693272424820787,62674.005893492234,548.862171917671,0.03199470647985281,0.07472695533299106
38,338,30.3126,24.2668,18,27.0944,0,117,118,6,138,10,1.00328,29.87758,0.0,0.0,9.10714,9.862,20.02041,0.0,0.0,123.0,34.45076,0.0,0.3,4.28,-1.0,2.951615,6.217639940113702,0.038072561912218125,5195.358004782209,51.20888434516059,0.06758327246680627,0.07921644915514885,0.5054243137254901,101.15061712876981,0.052450917170880074,86.5277689942933,0.07088699508328254,0.08485719196983649,13.32397762345679,0.03224490030781577,0.0752569393105781,101.82013528545971,0.25315903677323,1.095712563901377,62701.66372456692,548.7723591990867,0.031711942141206186,0.0746507717836614
39,339,30.0685,24.5569,18,28.5966,0,118,118,6,138,10,1.0003,29.69748,0.0,0.0,10.75,9.933,20.85482,0.0,0.0,123.0,34.69221,0.0,0.3,4.174,-1.0,2.805942,6.3140463946437695,0.03787687009222445,5134.552251597977,51.060174635898925,0.06726722927438332,0.07905410808080937,0.5070901960784314,101.18115920485249,0.053912354822050465,87.66765031217811,0.07238493011945954,0.08406081359453349,14.10450424382716,0.032085168745077886,0.07434398252653981,101.94624216054973,0.25921770379551984,0.9144277419432522,62689.7916363631,548.2923755434435,0.03143284493952411,0.07441966718805443
40,340,30.7784,24.7343,18,28.2218,0,118,118,7,138,10,1.00462,30.30742,0.0,0.0,9.60714,9.69,21.09841,0.0,0.0,120.0,35.12062,0.0,0.3,4.045,0.42593,2.767791,6.36565870317508,0.03780512939729424,5477.491148391607,50.787108056339214,0.06697057352414046,0.07919330493398412,0.5130521568627453,101.07297605645279,0.055076108781759295,88.00882387735285,0.07342765959312936,0.08336247987817552,14.910011574074074,0.031953692919338035,0.07416049015215236,102.11149826949574,0.25921770379551873,1.2284241531111144,62658.82847141833,547.5007380492359,0.03115897792559566,0.07418946705301888
41,341,30.9457,25.364,18,26.4575,0,118,118,7,138,10,0.99797,30.46592,0.0,0.0,8.82143,10.117,21.25854,0.0,0.0,119.0,35.41429,0.0,0.3,4.053,-1.0,2.947979,6.321655824926501,0.03775087295860097,5349.723166806638,50.60832139003424,0.06680710946460736,0.07895219565278738,0.5165896274509805,101.03238523183519,0.05724027500903945,88.51228016777335,0.07466565310042172,0.08270772334815502,15.152295524691358,0.03194812553789169,0.07472473885975059,101.7131017515668,0.25094141072999765,1.2921812588450092,62570.28419802708,546.5751853827993,0.03088234607963969,0.07415706195929458
42,342,31.0328,25.7684,18,28.3542,0,118,118,7,138,10,1.01317,30.46331,0.0,0.0,7.35714,10.289,21.8005,0.0,0.0,122.0,35.60912,0.0,0.3,3.568,-1.0,2.904274,6.238754569437308,0.03767604916968823,5390.066944353891,50.42923369231047,0.06665173013653383,0.07867333801751594,0.5163556862745099,101.02212831400608,0.0590071604419748,90.30524378541642,0.07449222193927156,0.08196638088210874,15.49464699074074,0.031873204740007384,0.07535281895113934,100.91942190558754,0.2471003697509342,1.0283794681776686,62554.03189796349,545.6313756286856,0.030628923413998168,0.07366616974414565
43,343,30.253,25.7951,18,26.9353,0,118,118,6,138,10,1.00333,29.65656,0.0,0.0,10.10714,10.267,22.14087,0.0,0.0,123.0,35.81336,0.0,0.3,3.508,-1.0,2.767113,6.221404516995713,0.03780401823194795,4917.634123933082,50.329742431640625,0.06673166307702393,0.07814971226840958,0.5168905882352941,101.17812780074884,0.059656364229155094,88.8760131730211,0.07470310481263535,0.0812331155465884,16.399305555555557,0.032069275184416074,0.07469506540954737,100.9241045630969,0.2471003697509336,1.2154439451785488,62609.062522236694,544.5336651935081,0.030353829347285557,0.07365393098136365
44,344,29.2602,26.0267,17,27.3301,0,118,118,6,138,10,1.00336,28.72489,0.0,0.0,14.21429,10.432,22.15109,0.0,0.0,124.0,35.86161,1e-05,0.3,3.561,-1.0,2.836413,6.356094842541019,0.03790612338237299,4458.965262345439,50.28710956338011,0.06708795437216404,0.07772012241144509,0.5154776470588236,101.31311729347416,0.059164935459312576,88.43173852195072,0.07508428695619132,0.08056102616121678,17.178867669753085,0.03243352459339228,0.0742249476308796,100.18700266348475,0.2448827437077076,0.811702312829381,62728.98828070949,543.2606456160969,0.030086240890947694,0.0744638844877349
