,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.1.0,noise,tone,contrast,cubcol.1.0,movement,saturation,cubrow.0.5,temporal,cubcol.0.3,blockiness,cubcol.0.6,fft,staticness,cubcol.0.5,cubrow.0.6,cubrow.0.3,cubcol.0,cubrow.0,uhdhdsim,blur,color_fulness
10,210,38.8798,7.21297,33,9.403,0,109,119,9,139,8,0.98708,42.79579,0.0,0.0,2.10714,8.322,6.536,0.0,0.0,122.0,43.54095,0.0,0.42,3.596,-1.0,0.389009,0.13415632004734157,0.39104418173651406,0.6450866666666666,90.29809310897365,0.10946964767317381,3.027295524691358,57.531699474946954,0.11097783451113181,4.564470883998986,0.10085075056268428,1.1936307772184,0.13610983098839288,64076.76180926349,602.4596265226164,0.11838267393214985,0.1550885525821986,0.10188710489036566,0.11901758752200735,0.13354038863458734,98.94450546445893,11541.219596922016,67.9871550826882
11,211,38.6642,7.01984,33,9.29831,0,109,118,9,139,8,0.99245,42.57995,0.0,0.0,2.10714,8.33,6.20271,0.0,0.0,122.0,43.62872,0.0,0.42,3.362,-1.0,0.384502,0.13337029881345014,0.39104418173651984,0.6478823529411764,90.4590110257419,0.10907393836373272,3.1519097222222223,57.799061151198394,0.11216196660793777,4.530679295690795,0.1009156113774033,1.2999095621466021,0.13677614559276327,64070.025723397244,603.1181770452598,0.11636839615512924,0.15517492628258672,0.10176005322243925,0.12006390943780774,0.13471275436323235,98.97412662687215,11383.045638031308,68.23672730713042
12,212,38.7559,6.80699,33,8.54412,0,109,118,9,139,8,0.99628,42.70514,0.0,0.0,2.32143,8.308,6.05077,0.0,0.0,122.0,43.67469,0.0,0.42,3.3,-1.0,0.416717,0.13282940644367205,0.39104418173650973,0.6505258823529412,88.66936268329809,0.10843135976653016,2.945264274691358,57.734281563464506,0.11378008215310001,4.487091754416377,0.10096141286590564,1.7472293343621956,0.1369998429376464,64169.36700061053,603.6604338854147,0.11504111870472365,0.15517392169705133,0.10161222804057042,0.12212126021478628,0.1362677784173356,98.96534211007486,11477.368335973668,68.45709131649181
13,213,38.7655,6.7462,33,8.59635,0,109,118,9,139,8,1.00115,42.75945,0.0,0.0,2.10714,8.297,5.8583,0.0,0.0,121.0,43.71572,0.0,0.41,3.358,-1.0,0.341787,0.13289820925392795,0.39104418173651406,0.6518329411764705,89.03253394611582,0.10762341718206182,2.5964988425925926,58.01611233934945,0.11512589661537107,4.531449459921067,0.1010293844154481,1.5611305820092487,0.13678695302276506,64065.11694570233,604.1402839946217,0.11399695026623559,0.15508271496559556,0.1014698701878036,0.1238353010071077,0.13719695507574553,98.93949497405484,11482.143808875957,68.74927746128806
14,214,38.6924,6.83344,33,8.68129,0,109,118,9,139,8,1.00367,42.72201,0.0,0.0,2.75,8.273,5.80822,0.0,0.0,120.0,43.73708,0.0,0.41,2.815,-1.0,0.436934,0.13307529644823776,0.39104418173651284,0.6527545098039216,90.78151006253101,0.1070806451230231,2.640576774691358,57.76900453920718,0.11617809836333698,4.527225614621973,0.1010482136065879,1.0676226296242792,0.13663719983330488,64064.99439982833,604.5192567474182,0.11309088348230859,0.15485495400401592,0.10147270449661014,0.12379924392255888,0.13809687620594446,98.9417925920756,11423.426379174496,68.88518977780424
15,215,38.77,6.64372,33,8.32435,0,109,118,9,139,8,0.99887,42.77905,0.0,0.0,3.25,8.261,5.88907,0.0,0.0,120.0,43.74474,0.0,0.42,2.96,-1.0,0.394479,0.13390661755448416,0.3910441817365115,0.6523772549019607,90.55312486648046,0.10720741989644171,4.184606481481482,57.88157145182292,0.11725702381268466,4.4974364876153325,0.10110596885018475,1.1534684489690976,0.13634261160328598,64075.95535619021,604.8033161203583,0.11233183936324276,0.15441376366591936,0.10132540640149224,0.12308195916394304,0.13846500571282463,98.94768796346271,11493.450964474352,69.03352684647477
16,216,38.7775,6.52798,33,8.47026,0,109,118,9,139,8,0.99693,42.78715,0.0,0.0,3.10714,8.205,5.7193,0.0,0.0,120.0,43.73002,0.0,0.42,2.505,0.20062,0.426576,0.13481425141757183,0.39104418173651406,0.6521321568627451,88.77260460791899,0.10725112336082022,4.105902777777778,57.89235677836854,0.11822312801746801,4.502438700333099,0.10114663711041647,1.631268931023595,0.13593369873637287,64006.45388585395,604.972823030032,0.11159107638666077,0.15405068808964112,0.10124437274081785,0.1224450302850393,0.13855351781260924,98.95967423939436,11516.102867910753,69.10545704932775
17,217,38.8927,6.72469,33,8.37612,0,109,118,9,139,8,0.99936,42.90688,0.0,0.0,3.0,8.223,5.62132,0.0,0.0,120.0,43.73628,0.0,0.42,2.661,-1.0,0.3929,0.13547590657294617,0.3932618077797356,0.6522333333333333,89.45802618090319,0.10711092696678803,3.869357638888889,57.98850843641493,0.11946033128674932,4.4744333661420495,0.10119036577509918,1.147163304896978,0.1351888974080201,64008.622658532186,605.0846045149997,0.11113795726295847,0.15413414290109234,0.10119925969596173,0.12289259094317813,0.13880596601243178,98.9339101528512,11603.001040485407,69.14748811773697
18,218,38.8891,6.64868,33,8.53442,0,109,118,9,139,8,1.00056,42.89987,0.0,0.0,2.53571,8.276,5.79735,0.0,0.0,120.0,43.70772,0.0,0.42,2.535,-1.0,0.381929,0.13561969107139107,0.3849855147142253,0.6532780392156863,91.99942125080229,0.10685861762140249,3.736062885802469,57.921849191924665,0.1207377153080355,4.483346223276482,0.10140008769644206,1.3890311370794113,0.13453843591857528,64045.7694391883,605.1639998536281,0.11095248099700325,0.15404338606478074,0.10124095898781106,0.12422320265396755,0.1387982169464142,98.94119591540209,11591.844661303337,69.2930785916496
19,219,38.6846,6.46657,33,8.70877,0,109,118,9,139,8,0.9953,42.75211,0.0,0.0,2.0,8.282,5.73782,0.0,0.0,120.0,43.69977,0.0,0.42,2.666,-1.0,0.421606,0.13538019807277327,0.39104418173651295,0.6532980392156863,87.63694914562177,0.1064921333080308,3.506992669753086,58.0584637677228,0.12183765212545743,4.451655120743656,0.10245964354344379,1.6235143540222334,0.13376845411543692,64002.025906479226,605.21987012559,0.11063799068954913,0.1542697322310999,0.10122387670935837,0.12488825246232076,0.13874415064597034,98.96915880967566,11448.343673308284,69.38595673194806
20,220,38.736,6.50718,33,8.80289,0,109,118,9,139,8,0.99308,42.79509,0.0,0.0,2.0,8.289,5.56624,0.0,0.0,120.0,43.69319,0.0,0.41,3.092,-1.0,0.415602,0.13577495663464884,0.39104418173651184,0.6543188235294117,88.28133945598748,0.10584892327349653,5.003954475308642,58.029927948374805,0.12276174332420342,4.51859119386948,0.10268950604555664,1.6027604435314557,0.1329572955740853,63921.05448364426,605.215091256174,0.11058986005365952,0.1541480429349941,0.10121837383674308,0.1244679108265943,0.1385569850407266,98.95571016167301,11536.132130516095,69.39788075229912
21,221,38.7617,6.29015,33,9.01059,0,109,118,9,139,8,0.99721,42.83199,0.0,0.0,2.17857,8.277,5.60274,0.0,0.0,120.0,43.68988,0.0,0.42,2.986,-1.0,0.41594,0.13609383077555864,0.3910441817365145,0.6558658823529412,90.37016876341264,0.10540254304695398,5.241801697530864,57.86411162953318,0.12380850890154252,4.544932672938424,0.10321298789441051,1.312317517098841,0.13239978331132335,63942.96035870916,605.1634691632579,0.11049645159065959,0.15413423875401316,0.10107076745509527,0.12392630937029502,0.13850668282698128,98.94313773086327,11567.850942672601,69.48011904130448
22,222,38.6691,6.65972,33,8.4192,0,109,118,9,139,8,0.9998,42.75589,0.0,0.0,1.85714,8.28,5.41896,0.0,0.0,120.0,43.65917,0.0,0.42,3.246,-1.0,0.4465,0.13581754803408416,0.39104418173651534,0.6558674117647046,89.47712336654223,0.10520180155448722,5.205246913580247,58.011386070722416,0.1247427311774332,4.383833931126906,0.10296925396084448,1.484102487137277,0.1321180023767995,63973.821307925726,605.0779955004482,0.11067953017046891,0.15431894447475233,0.10091878044579074,0.1232812944698826,0.13815537208901982,98.96789840365531,11523.926863775516,69.50329422102322
23,223,38.6595,6.66884,33,9.03992,0,109,118,9,139,8,0.99763,42.71466,0.0,0.0,2.5,8.3,5.73693,0.0,0.0,121.0,43.66268,0.0,0.42,3.423,-1.0,0.436735,0.13566894618773828,0.39326180777973585,0.6569694117647059,91.68538869369854,0.10521004575654157,5.20703125,57.9974476378641,0.1260235177300086,4.536172064184159,0.10295103815562077,1.5561681723902014,0.13209689568379782,63910.341930614275,604.9862954839763,0.1104765321548519,0.15457344927866132,0.1007856762283736,0.12279138900066114,0.13796283611636664,98.96239100720078,11508.794089548976,69.63159218781745
24,224,38.715,6.43206,33,8.82184,0,109,118,9,139,8,0.9967,42.776,0.0,0.0,2.75,8.31,5.74422,0.0,0.0,122.0,43.59325,0.0,0.42,3.386,0.20988,0.388351,0.1355153524659689,0.39326180777974246,0.6566647450980391,89.59592832440816,0.10541014804670398,5.032262731481482,58.03737951208044,0.12718422634381496,4.485836424482277,0.10283962979924041,1.5887291857120749,0.13183575870917033,63895.49817197081,604.8396561256346,0.11040111601901506,0.1550082897969668,0.10083900233786415,0.12187421752844566,0.13794593466898766,98.93900152535933,11594.088848882902,69.55805174652602
25,225,38.8248,6.92146,33,8.74619,0,109,118,9,139,8,0.99725,42.87374,0.0,0.0,2.28571,8.296,5.53981,0.0,0.0,122.0,43.64741,0.0,0.42,4.275,-1.0,0.419018,0.13537414865843414,0.39326180777973785,0.657301411764705,88.4460081378544,0.1056089294719527,6.13329475308642,58.1658903522256,0.12774655981141453,4.414369634740542,0.10287148275466539,1.4746046215633675,0.13160185273958308,63831.26425013234,604.7094029267186,0.1107712609336197,0.15562130635039254,0.10088997513636318,0.12141771377648826,0.13819587353081275,98.92721971087504,11680.697958423962,69.62475493102946
26,226,38.8941,7.06211,33,9.02154,0,109,118,9,139,8,0.99471,42.97415,0.0,0.0,2.14286,8.288,5.96017,0.0,0.0,123.0,43.70032,0.0,0.42,4.154,-1.0,0.409465,0.13540660963364262,0.39326180777973724,0.6577909803921568,92.15400656000682,0.10566372685874936,5.802517361111111,58.13326856825087,0.12820551268536057,4.484469155425988,0.10298035535103638,0.9205891232325021,0.1312491472557349,63862.82127730002,604.5823895703656,0.11132079764124454,0.15628802669660344,0.10090487713127637,0.12139159497046186,0.1380371268948595,98.91935562568776,11753.763917514356,69.56876237454728
27,227,38.9482,7.21146,33,9.12399,0,109,118,9,139,8,0.99413,43.0276,0.0,0.0,2.42857,8.256,6.07915,0.0,0.0,122.0,43.75146,0.0,0.42,3.942,-1.0,0.430303,0.1354346277973124,0.3932618077797378,0.6583321568627452,88.26517790526711,0.10561344238354699,5.723861882716049,58.14088665997541,0.1286882751481253,4.54065323810393,0.10305189264008578,1.2902880040991047,0.1308040721881071,63876.67902310651,604.453840125103,0.11189243635043923,0.15693826661998264,0.10092556515594651,0.12120872631920292,0.13813390531244837,98.90810409441046,11781.256152539328,69.5364459345652
28,228,38.9524,7.45806,33,9.60956,0,109,118,9,139,8,0.99629,43.02595,0.0,0.0,2.46429,8.257,6.20683,0.0,0.0,121.0,43.7538,0.0,0.41,4.151,-1.0,0.43682,0.13546313372137736,0.3932618077797397,0.658866274509804,89.50616731763154,0.10570909700324979,5.631124614197531,58.110027171947344,0.12927686066469404,4.618141028866486,0.10301928080700049,1.433842349712607,0.1303956453625392,63801.97565383536,604.3531079288098,0.11198676609962087,0.15726390988067704,0.10099841978770993,0.12107576055491986,0.1383495757573416,98.89706689564764,11804.474701986896,69.62994599440127
29,229,39.2703,7.76267,33,10.304,0,110,118,9,138,8,0.99417,43.43991,0.0,0.0,2.82143,8.277,6.45298,0.0,0.0,122.0,44.00274,0.0,0.42,4.733,-1.0,0.428511,0.13545723669751075,0.3971028487588024,0.6638007843137255,90.91725293049085,0.10588847104859853,5.858940972222222,57.82773900915075,0.12986242445832866,4.791516117468552,0.10331715180136421,1.4744165533202747,0.12998400490185347,63885.93630371073,603.8621889855428,0.11187266993148647,0.1575246540973275,0.10114688846248944,0.12105774708094715,0.1383798765169019,98.82410125908855,12160.596289673349,69.27819473577614
30,230,39.5997,8.04267,34,10.1925,0,110,118,8,138,8,0.99219,43.85433,0.0,0.0,3.78571,8.234,6.71328,0.0,0.0,122.0,44.25128,0.0,0.42,3.759,-1.0,0.438791,0.13565387093951767,0.3971028487588049,0.6697450980392157,89.50542585443245,0.10612232191240344,7.468557098765432,57.269746380087774,0.13042736033515376,4.785506406469228,0.10511864829367364,1.5029989240524537,0.12965697341857016,63906.48135572212,603.0781350756137,0.11171972517322185,0.15769581426382503,0.10129489990655045,0.12076713940766631,0.13900209021476698,98.73859416138947,12497.882449092156,69.12491140350758
31,231,39.761,8.00953,34,10.3962,0,110,118,8,138,8,0.99344,44.02126,0.0,0.0,4.46429,8.19,6.9231,0.0,0.0,122.0,44.31455,0.0,0.42,4.538,-1.0,0.42571,0.13614340530786412,0.39710284875880486,0.6707172549019607,93.62190488370433,0.10623919857348006,7.683256172839506,57.239716518072434,0.13078349615089763,4.689590000461446,0.10531041527628632,1.515386890606427,0.12941248889130763,63983.74578559931,602.3474258876887,0.11164545906829157,0.15776509981849754,0.10136893510738298,0.12049912917078857,0.13931167737778158,98.73490677104583,12571.174809509825,69.25293797825205
32,232,39.6577,7.85875,34,10.0974,0,110,118,8,138,8,0.99675,43.95506,0.0,0.0,4.03571,8.195,6.89154,0.0,0.0,122.0,44.26885,0.0,0.41,4.315,0.19046,0.407794,0.13655066540385902,0.39710284875880575,0.6703560784313725,87.38733703973315,0.1061192661927332,7.550636574074074,58.13468933105469,0.13121565306921723,4.942791204960344,0.10589813506968847,1.766450640401445,0.12923329704733563,64004.978521220146,601.4450213537436,0.11171334013529001,0.15778683819968317,0.10148182357065413,0.1204625335885963,0.13964918657120254,98.74320820628745,12431.98096773606,69.1013784612431
33,233,39.4583,7.7576,34,10.6053,0,110,116,8,138,8,0.99989,43.68916,0.0,0.0,3.32143,8.187,6.77851,0.0,0.0,122.0,43.86096,0.0,0.42,4.108,-1.0,0.433161,0.13700145569053085,0.39326180777974323,0.6640745098039216,87.66980511861104,0.1058961742078776,7.867476851851852,61.4721204969618,0.1314738984934805,5.326936961758354,0.10562279691155571,1.3876606454894485,0.12910120588328938,63884.37128406129,599.8128076770035,0.1117647807842438,0.1577248487413777,0.10166030282398703,0.12044762248503249,0.14023293042032406,98.77107080036117,12128.963554486712,70.06391637246246
34,234,39.3928,7.70112,34,9.54112,0,110,116,8,138,8,0.99909,43.64068,0.0,0.0,2.46429,8.167,6.67811,0.0,0.0,123.0,43.83222,0.0,0.42,4.046,-1.0,0.431471,0.1372875636653156,0.3932618077797456,0.664187450980392,87.05330397965743,0.10588132302902771,7.726851851851852,61.55462100182051,0.13177756671370233,4.419314770719039,0.10547313601620172,1.6070977581973431,0.129062523269292,64026.9454458673,598.3310723782893,0.11165502450974446,0.1576873727754151,0.10294150434795779,0.12048208347195326,0.1411570295701129,98.77875048844528,12043.506750425757,70.08783631096618
35,235,39.4197,7.98318,34,9.54409,0,110,116,8,139,8,0.99731,43.66286,0.0,0.0,2.82143,8.18,6.6252,0.0,0.0,123.0,43.78227,0.0,0.42,3.784,-1.0,0.404707,0.13749612657071822,0.393261807779741,0.6644333333333332,87.83635028640249,0.10617109621317707,8.029465663580247,61.55888799973476,0.13218324955883246,4.3907638363518515,0.10535348212394048,2.0030856900977443,0.12900402956490903,63922.19126561283,596.99407603523,0.11160762945814544,0.15760778033976375,0.1030864939684394,0.12000873736892434,0.1420820541765709,98.77004151404043,12083.908126153603,70.18373944263077
36,236,39.5373,8.24274,34,9.7622,0,110,116,8,139,8,0.99384,43.78993,0.0,0.0,3.60714,8.13,6.86806,0.0,0.0,124.0,43.66635,0.0,0.42,3.962,-1.0,0.384698,0.13766913941775033,0.39326180777974207,0.6612690196078432,87.77259314844308,0.10661009860633235,7.711516203703703,61.65543845847801,0.1325867197145312,4.4148589941550345,0.1051518137454506,1.8543972786609453,0.12901662630749652,63959.00613234433,595.7654252797813,0.11161537918026358,0.15754946400669537,0.10361754440763268,0.11968752150226254,0.14299997875415357,98.776145173191,12154.006622497624,70.1785730330101
37,237,39.5625,8.27465,34,9.54344,0,110,116,8,139,8,0.99439,43.8615,0.0,0.0,4.35714,8.08,7.09374,0.0,0.0,124.0,43.54426,0.0,0.42,3.688,-1.0,0.406914,0.137889900397862,0.3971028487588049,0.6595376470588235,88.14839293639255,0.10713815029603839,7.464554398148148,61.609466929494594,0.13299173020455093,4.501279789151785,0.10489574988182394,1.7332839192433835,0.12894987086001472,64027.71967954731,594.651759738228,0.11167939331568535,0.1575916499010343,0.10351858848386493,0.11927598444522107,0.14360147319474326,98.75968183305586,12178.468386430948,70.2711891700485
38,238,39.5733,8.35597,34,10.1084,0,110,116,8,139,8,0.99927,43.88004,0.0,0.0,2.96429,8.125,7.11907,0.0,0.0,124.0,43.42739,0.0,0.42,3.705,-1.0,0.432339,0.13813722488792898,0.39326180777974495,0.6574376470588237,87.98725816547972,0.10763978253719157,7.174093364197531,61.59193175516011,0.1333593033058849,4.495205636452216,0.10463260361752053,1.6198420408484482,0.12896468578719708,64061.03949241488,593.6458773116777,0.11172283305606576,0.157550458989617,0.10355606565835371,0.11886918391115764,0.14403198492736852,98.75909174823305,12230.306957990859,70.2651521748635
39,239,39.6975,8.51336,34,9.62089,0,110,116,8,139,8,1.00284,44.00722,0.0,0.0,2.42857,8.113,7.19171,0.0,0.0,124.0,43.29422,0.0,0.42,3.803,-1.0,0.420498,0.1382978301960226,0.3971028487588047,0.6556290196078431,87.02963958386802,0.10787971898201631,7.024016203703703,61.58458587269724,0.13366574428460082,4.535412502053811,0.1043963742437173,1.630856504629993,0.12909269054139536,64092.87117358821,592.6987955146346,0.11178261739867278,0.1574937753156244,0.10382628522523218,0.1185717190509626,0.14420633085574597,98.72808829733552,12351.803041928217,70.22480127510758
40,240,39.4654,8.64673,34,10.6291,0,110,116,8,139,8,1.00181,43.83199,0.0,0.0,2.57143,8.074,7.32323,0.0,0.0,123.0,43.21498,0.0,0.42,3.93,0.1884,0.415335,0.1383774249536779,0.3932618077797445,0.6545874509803922,89.68019887677819,0.10813486083134544,7.185570987654321,61.7780729694131,0.13399835824851267,4.57887272419563,0.10408315563020129,1.5823252585131213,0.1292396266104626,64018.99371899857,591.8421491591693,0.11175064788745602,0.1574297879989143,0.10416762355662965,0.11800291343044927,0.1442588775203393,98.76184383648544,12152.239361510243,70.22372548840617
41,241,39.6827,8.91955,34,10.5704,0,110,116,8,139,8,1.00423,44.01504,0.0,0.0,2.21429,8.023,7.44493,0.0,0.0,124.0,43.17578,0.0,0.42,3.686,-1.0,0.413527,0.1383128717481161,0.3971028487588049,0.6554882352941177,91.94499241938995,0.10854109633680856,6.756992669753086,61.5225830078125,0.1345229955378666,4.598300023315558,0.10376958651386578,1.5661564476874845,0.1294071750912193,64024.56290529276,591.0541576288167,0.11173853701760811,0.15728306228774486,0.1044236374744821,0.11790200778006081,0.14423288293310077,98.74781158029415,12326.81897202694,70.17846987520252
42,242,39.6481,9.07828,34,11.262,0,110,116,8,139,8,1.00782,43.98996,0.0,0.0,3.57143,8.083,7.68415,0.0,0.0,124.0,43.22627,0.0,0.42,3.643,-1.0,0.411784,0.13831579754109868,0.3932618077797437,0.6561937254901961,87.20656884518296,0.10922143828569549,6.808545524691358,61.7484209979022,0.13484491142484967,4.636574241646786,0.10345241981833837,1.687035310937378,0.12960724743466,64065.55914580528,590.350136057002,0.11167242070991341,0.1571842566418568,0.10465415065606622,0.11765357957495255,0.14429533307622688,98.74495698191478,12269.61055049484,70.36144303831396
43,243,39.7071,10.1759,34,10.6531,0,110,116,8,139,8,1.00156,44.06283,0.0,0.0,3.07143,8.099,7.81713,0.0,0.0,125.0,43.30558,0.0,0.42,3.831,-1.0,0.42608,0.13825444607751228,0.39710284875880514,0.6574007843137255,88.6710751000819,0.10958725813193584,7.044801311728395,61.671110176745756,0.13509699344300155,4.681429591295944,0.10312894357331769,1.4776751419579237,0.12969755553389012,64022.35520712376,589.6842546239521,0.11164080335717509,0.15709069604357198,0.10465656758911025,0.11738973800457762,0.1446332180051245,98.72415645938847,12361.044530090803,70.51251598516762
44,244,39.5262,10.5166,34,10.678,0,110,116,8,139,8,0.99808,43.92318,0.0,0.0,3.46429,8.067,8.78731,0.0,0.0,124.0,43.17979,0.0,0.41,3.657,-1.0,0.432698,0.13817531006597036,0.393261807779743,0.6568650980392157,90.29317016543,0.10949456750876868,7.276813271604938,61.69621013123312,0.13534224502794967,4.6873038539208745,0.10287231670053594,1.5346090918259558,0.12995629788536162,64006.061673575765,588.9984889890956,0.11162159562564908,0.15701849690230968,0.10437294400266332,0.11683757908766775,0.14468037623543925,98.75363828986586,12192.600037972901,70.69678554889308
