,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,blur,fft,cubrow.0,cubrow.0.5,cubcol.0.3,cubcol.0.5,blockiness,movement,cubrow.0.6,cubrow.1.0,noise,contrast,cubcol.0.6,tone,cubcol.0,saturation,cubrow.0.3,cubcol.1.0,temporal,color_fulness,uhdhdsim,staticness
10,10,50.3782,18.8006,40,19.0321,0,119,113,18,137,17,1.00414,51.20685,0.0,0.0,3.28571,5.152,16.88726,0.0,0.0,128.0,27.49323,2e-05,1.62,1.417,-1.0,2e-06,23538.188529808594,67790.801182811,0.2651476517921876,0.1284074384572147,0.1427993258660998,0.09486682999512429,1.009516400411847,7.336853780864198,0.12119986365174855,0.10752743047072807,0.5703107920274194,85.16102586605714,0.0979201413121495,0.39774627450980393,0.08456265300027228,60.72193682635272,0.20832092507878128,0.12110762641078772,5.523105402492065,77.62718806609308,95.45581767150422,510.3929107658521
11,11,49.9248,18.8405,40,18.2123,0,119,113,18,137,17,1.00307,50.72574,0.0,0.0,3.28571,5.233,16.14861,0.0,0.0,127.0,27.69143,2e-05,1.6,1.354,-1.0,0.0,22974.739254874876,67559.68822916537,0.2649356571270526,0.1267203991375776,0.1426496925224084,0.09947298150482628,0.99996371795432,7.568721064814815,0.11990571342061396,0.10753628200966406,0.5620344989618972,87.82628103033987,0.10072352830887979,0.40240176470588207,0.08470187566017254,60.83791888201679,0.2081574673200328,0.1203908283805391,5.286612184558056,78.4056669947129,95.58339849205345,507.0620316013769
12,12,50.5961,18.8629,41,16.7883,0,119,113,18,138,18,1.00212,51.49335,0.0,0.0,4.85714,5.202,16.18145,0.0,0.0,127.0,27.76602,0.0,1.62,1.362,-1.0,0.0,23888.8016587348,67702.42036111312,0.2650864454808844,0.12539657366947315,0.1427146718167643,0.09913101277684759,1.069117709143614,7.064477237654321,0.11903547494667326,0.10832500152025637,0.5725284180706469,87.93673667932117,0.1005952611329675,0.4036930392156862,0.08464682342104513,61.03525025167583,0.20808801538139932,0.1215764707061437,4.980604436897349,77.55949600391564,95.39126775463302,504.2747900184265
13,13,50.545,17.9799,41,17.2004,0,118,113,18,138,18,1.00479,51.46965,0.0,0.0,3.85714,5.272,16.19997,0.0,0.0,128.0,27.79887,2e-05,1.61,1.419,-1.0,0.0,23796.628704722072,67750.47960128612,0.26473769683244763,0.12604523259886047,0.14273007148863412,0.10101359577383287,1.182655904087064,6.544849537037037,0.11855967513826854,0.10897881485201102,0.5703107920274174,85.42117113157866,0.10270220944943216,0.4062498039215686,0.08470603617686562,61.098861129195605,0.2083462197753684,0.12234247748233301,5.097654339464426,77.07606211827178,95.39122035562099,501.9245827951298
14,14,51.3245,17.8367,42,17.0531,0,118,113,18,138,18,1.00331,52.1391,0.0,0.0,3.78571,5.321,15.44021,0.0,0.0,127.0,27.86314,1e-05,1.62,1.33,-1.0,0.0,24979.36067767137,67980.98930805821,0.26468677983736405,0.12492075932196975,0.14292808390046685,0.10165881829877411,1.2577798002812437,6.220437885802469,0.11808190114755422,0.10924901969841073,0.5741518330064811,87.97178626613888,0.10798088917483001,0.40813411764705887,0.08496981793683861,61.19425210835021,0.2086822896700214,0.12597447381670993,4.726310832117385,77.26590669688437,95.2754384188914,499.9741389268955
15,15,51.5521,18.084,42,16.4849,0,118,113,18,138,19,1.00187,52.38326,0.0,0.0,3.39286,5.289,15.3179,0.0,0.0,126.0,27.86909,2e-05,1.62,1.417,-1.0,0.0,25312.489960795156,67791.63874210404,0.26462742096305086,0.12390075923406955,0.14266793409335032,0.10212823917451201,1.3160600876128106,7.174720293209877,0.11747850291912962,0.10952034759677244,0.5741518330064815,87.58500760107206,0.10530839314725501,0.4120234117647057,0.08516681302035865,61.523805594738626,0.20901094001125875,0.12498373857070966,4.791722322543119,78.11400027918974,95.22404749614488,498.3625679743149
16,16,51.6557,17.1056,42,15.684,0,118,113,18,138,19,1.00375,52.46904,0.0,0.0,4.53571,5.29,15.53132,0.0,0.0,126.0,27.95712,2e-05,1.61,1.41,0.125,0.0,25427.163826567707,67820.18091569745,0.2647429864811228,0.12323581894102266,0.14234587868092566,0.10260262131381485,0.9098509109477956,7.8424961419753085,0.11703556413757177,0.10997769330735763,0.5725284180706495,87.27291704362031,0.10459170946224002,0.4152933333333334,0.08547936923118611,61.7475665057147,0.2096882367979904,0.12485181047877345,4.701027822039616,79.22453049318233,95.21260808097807,497.03017728158125
17,17,53.7629,17.3776,43,19.979,0,118,113,18,138,20,1.00205,54.33868,0.0,0.0,2.96429,5.313,14.70998,0.0,0.0,126.0,28.34594,0.0,1.62,1.552,-1.0,0.0,28594.469294444447,68461.55464124608,0.26495063130158425,0.1256728942024062,0.14207645521929876,0.1086357449182987,1.2217296727618632,7.995949074074074,0.11687107295799885,0.1103545104913592,0.5763694590497115,84.07047350347422,0.104023677226847,0.41854352941176465,0.08573188269307415,62.08777156876929,0.21034164480690523,0.12268328771725108,4.92600512176138,80.32197121816931,94.94889670331887,496.0225290090813
18,18,52.4578,17.5209,42,18.0654,0,118,113,18,138,20,1.00521,53.19259,0.0,0.0,2.85714,5.332,14.94462,0.0,0.0,126.0,28.59226,4e-05,1.62,1.558,-1.0,2e-06,26515.595963761694,68017.40284731299,0.2649947689502485,0.12422416088813083,0.14214065817735314,0.11016950702218822,1.2364334966062762,7.962432484567901,0.1164478240361194,0.11167656635585167,0.5725284180706484,88.66617069354086,0.10402109011669693,0.42766039215686136,0.08602549097212474,62.24764788592303,0.2111851603739673,0.12163952177668637,4.770455181384988,81.2881118512449,95.10671541918359,495.45498666513936
19,19,51.975,18.5342,42,17.9758,0,117,113,18,138,20,1.00316,52.78383,0.0,0.0,4.5,5.317,15.06007,0.0,0.0,126.0,28.69827,3e-05,1.61,1.495,-1.0,0.0,25909.956399918796,67907.01843315961,0.2650030562664826,0.1233128812265841,0.1420872861607645,0.10757145745539715,1.2252384553338824,8.172887731481481,0.11580329178998318,0.11280988775796522,0.5741518330064814,86.06815944261477,0.10440116149408832,0.4375549019607843,0.08619184164237764,62.2474080780406,0.21173746801187468,0.1204543752716294,4.798554915386232,81.80765244686941,95.13262708838242,495.0607405245514
20,20,51.7901,19.3863,42,17.5847,0,117,114,18,138,20,1.00382,52.63255,0.0,0.0,5.21429,5.313,15.92929,0.0,0.0,126.0,28.67127,0.0,1.62,1.535,-1.0,0.0,25946.10067830279,67919.41099643063,0.2651324005640573,0.12255032723406052,0.14213687315062595,0.10608021013099209,1.2139957687629717,10.044849537037036,0.11514286710403068,0.11371168213588072,0.5703107920274162,86.48347842783387,0.10590181680623896,0.43714705882352944,0.08636205963693884,62.188947889539925,0.21210600057391896,0.11905437549756996,4.925550260015659,81.96002108911824,95.15052471562477,494.5757026902117
21,21,51.6011,19.8114,42,18.007,0,117,114,18,138,21,1.00102,52.46542,0.0,0.0,3.14286,5.284,16.65742,0.0,0.0,126.0,28.67001,3e-05,1.62,1.451,-1.0,0.0,25820.06175995448,67861.13251343995,0.2651632330630303,0.12198780313180596,0.1422276850347001,0.1055411747322487,1.3572165787565882,10.593460648148149,0.11463565384000031,0.11368842004933764,0.5703107920274156,88.55716218515728,0.10502928344254438,0.4353149019607844,0.08648107257283941,62.124714038990156,0.21271832452071532,0.11859591299899974,5.102844688970368,82.20956501049405,95.15846241692473,494.18715755556354
22,22,51.2302,19.7545,41,17.818,0,117,114,18,138,21,1.00061,52.17968,0.0,0.0,3.53571,5.269,17.01815,0.0,0.0,126.0,28.70379,3e-05,1.64,1.388,-1.0,1e-06,25291.380868810927,67688.95225402214,0.26519944483518826,0.12152693600110054,0.1422328001629266,0.10494427389504672,1.2744897821713463,11.153645833333334,0.11412863707382952,0.11361527486712265,0.5703107920274152,86.8175305502769,0.10478332028509046,0.43528431372549015,0.08645914693717911,62.213018723476075,0.21269806016813622,0.11792040500289158,5.2249562047754035,82.34669405591612,95.1828467192412,493.8913604659348
23,23,50.9556,19.9719,41,18.399,0,117,114,18,138,21,1.00163,51.92108,0.0,0.0,3.5,5.255,16.96475,0.0,0.0,127.0,28.62451,2e-05,1.61,1.432,-1.0,0.0,24824.453287181397,67692.98036051345,0.2652878648705013,0.1212248816740515,0.14225955767467713,0.10473225944012489,1.2361331581654467,11.632378472222221,0.11365216013876007,0.11326037801711762,0.5680931659841852,87.20959425461315,0.1038558313325539,0.4350305882352941,0.08654010701007764,62.08467591839072,0.21286030983671536,0.11818617294692368,5.146626166618259,82.3361905564512,95.23952409062392,493.45921988357844
24,24,50.7932,20.4454,41,19.0779,0,117,114,18,139,21,1.0015,51.77404,0.0,0.0,4.60714,5.222,17.15037,0.0,0.0,126.0,28.52769,2e-05,1.63,1.377,0.125,0.0,24590.51481739249,67742.7751118549,0.26517584128338134,0.12049434101134487,0.14228068441445155,0.10514209291698604,0.8003691642911774,12.191550925925926,0.1132071850223773,0.11269233100245801,0.5703107920274156,87.3312356088532,0.10326366661370548,0.43341647058823524,0.08655087291596339,61.8706180902175,0.21291411917805125,0.11734686254137885,5.34272684113858,82.23588406982326,95.26972722580241,492.73282602416157
25,25,50.8639,21.097,41,20.452,0,117,114,18,139,21,1.00076,51.81642,0.0,0.0,3.64286,5.197,17.55097,0.0,0.0,127.0,28.56196,3e-05,1.62,1.484,-1.0,9e-06,24704.38377866363,67748.90364726403,0.2651016069469699,0.12002239965166099,0.1422610871558961,0.10892145842282948,0.9342840185573139,13.217640817901234,0.11295775565030164,0.11220651782431977,0.5703107920274116,86.77423301713715,0.1035646547147842,0.4346933921568626,0.08653157265393371,61.77915973427856,0.21291121583324424,0.1168909206554225,5.266328956589433,82.34034112861862,95.26742949127014,491.7883436480447
26,26,51.0868,21.7603,41,19.9168,0,117,114,18,139,20,1.00248,52.00484,0.0,0.0,3.32143,5.204,18.10868,0.0,0.0,127.0,28.7147,2e-05,1.62,1.435,-1.0,1e-06,25073.81283851263,67827.23087935906,0.26517185652717823,0.11993915132841704,0.14205110691298134,0.10730089106691604,0.8453204939484288,13.578510802469136,0.11263255228386691,0.1117663062132222,0.5703107920274136,86.60003065676375,0.10416045396004774,0.43794901960784305,0.08653034600872948,61.594687756196954,0.21308798811774485,0.1164874203907048,5.354468139540655,82.4730547551672,95.26319278830564,490.7514360489266
27,27,51.1352,22.3473,41,20.8538,0,117,114,18,139,20,1.00293,52.01031,0.0,0.0,3.60714,5.171,18.67831,0.0,0.0,126.0,28.84608,2e-05,1.62,1.574,-1.0,1e-05,25163.064529396965,67977.29075663592,0.2651594399529391,0.11924380871041157,0.14170047528314575,0.10689626117783899,1.0766432666640968,13.737895447530864,0.11229339223134004,0.11169050158886408,0.5703107920274197,87.87981085799248,0.10406648442671357,0.4400422352941177,0.08655352256952516,61.37771455741223,0.21316604517609133,0.11604211047824048,5.444597769241283,82.34281670836411,95.27485971129127,489.5219430457021
28,28,50.5086,22.7681,41,22.5837,0,117,114,18,139,20,1.00251,51.4535,0.0,0.0,3.60714,5.163,19.18211,0.0,0.0,126.0,28.92288,2e-05,1.64,1.449,-1.0,1e-06,24550.07655979568,67917.60795609285,0.2651956339332156,0.11875323673615301,0.1420124776905783,0.10661956052643186,1.2586480634004051,14.026716820987655,0.11210626405774947,0.11168749307972264,0.570310792027413,87.45075785457385,0.10423400111976763,0.4418305882352941,0.08659674069603683,61.31499452944155,0.21341361997877356,0.11601724940019259,5.466518901147689,82.11429931997806,95.29842809981771,488.2422297474037
29,29,49.9671,23.2192,40,22.8705,0,117,114,17,138,20,0.99966,50.91092,0.0,0.0,3.82143,5.133,19.54678,0.0,0.0,126.0,28.99552,2e-05,1.62,1.525,-1.0,0.0,23955.17307382918,67943.67028703143,0.2653135345116371,0.1182908468830665,0.14138388858319234,0.10635402224022447,1.2175072679249168,15.251350308641975,0.11181820710671053,0.11146955300993003,0.5703107920274102,86.7561162640362,0.10408944367619673,0.44403399999999993,0.08662815331613363,61.10093839668933,0.21377252629943144,0.11606008423713247,5.566143123112745,82.08946540733555,95.35267841056154,487.1073041394395
30,30,49.5452,23.3872,40,22.9472,0,117,114,17,138,20,1.00213,50.52999,0.0,0.0,3.21429,5.103,19.93304,0.0,0.0,126.0,29.08971,2e-05,1.6,1.428,-1.0,0.0,23441.532853743603,67896.91573985555,0.26536904312313475,0.11790705218393992,0.14106151843522005,0.10597070577306074,1.046359062339432,15.474778163580247,0.11176860997519718,0.11117768684685546,0.5658755399409586,89.6994953338189,0.10392783563588576,0.4495509803921569,0.08662461099212874,61.038589100778836,0.2141390898290187,0.11673563199985652,5.5915019363603005,82.31931116458196,95.41073620978138,486.10404169601475
31,31,49.7198,23.5105,40,22.223,0,118,114,17,138,20,0.99862,50.67352,0.0,0.0,3.96429,5.065,20.08177,0.0,0.0,125.0,29.1187,2e-05,1.61,1.412,-1.0,0.0,23568.23519764671,67852.33302632344,0.26541895462965825,0.11748258691279723,0.1408535127226592,0.10552735328561196,1.1012438206552806,15.634452160493828,0.11183237120879667,0.11065440168808532,0.568093165984183,90.15120423558211,0.10346228046033247,0.45577215686274514,0.08671613919008721,60.802846461166574,0.21427499296425767,0.1176656729619533,5.611216336792958,82.27602998339324,95.40711481234852,485.1421193279475
32,32,50.1504,23.7388,40,23.3877,0,118,114,17,138,20,1.00198,51.09379,0.0,0.0,4.67857,5.072,20.19238,0.0,0.0,123.0,29.14236,2e-05,1.63,1.435,0.125,0.0,24227.71132695329,67847.15363737052,0.26555770256846806,0.1169590552690588,0.1406122098831098,0.1052453077479154,0.8259913111682012,15.437837577160494,0.11198539529233799,0.11021891953823947,0.5703107920274125,89.4863552991662,0.10325350420234654,0.46094478431372554,0.08660340490958707,60.69427753966532,0.214595409569406,0.11809602002243905,5.695180169274176,82.04763256847333,95.39684120757114,484.12426581082906
33,33,50.2842,20.3506,40,23.494,0,118,114,18,138,20,0.99995,51.28345,0.0,0.0,5.35714,5.097,20.3906,0.0,0.0,125.0,29.51322,3e-05,1.61,1.406,-1.0,0.0,24196.8398232657,67798.98592332203,0.2657079350124245,0.11634165316345864,0.14045453942326033,0.10496065524908718,0.8674162843112527,15.86231674382716,0.11211771006977153,0.110697819896548,0.5703107920274145,87.42670919478356,0.10300266955263765,0.4707788235294118,0.08652105501773316,60.81118981632186,0.21484122675287032,0.11816135386943422,5.601801370487266,83.22828233565207,95.40579222043905,483.2828716971839
34,34,49.8676,22.513,40,22.1547,0,118,114,18,138,20,1.00237,50.88455,0.0,0.0,3.46429,5.067,17.48643,0.0,0.0,126.0,29.52319,2e-05,1.62,1.476,-1.0,1e-06,23496.20248553187,67647.98512901696,0.2655624544291198,0.115864956211896,0.14019244055531083,0.10463781618211444,1.226673370428036,15.61279899691358,0.11224467238972692,0.11036057402856701,0.5703107920274123,87.92889424414219,0.10274989368978556,0.46857803921568636,0.08637881496159407,60.66130178946035,0.2147788990131783,0.11844392665770599,5.750380240491634,82.49381308875374,95.46635406998654,482.5396626563542
35,35,48.6255,22.3295,39,24.6929,0,118,114,17,138,20,1.00111,49.69338,0.0,0.0,3.35714,5.068,19.33469,0.0,0.0,126.0,29.44061,2e-05,1.6,1.355,-1.0,6e-06,22194.457440531925,67590.64628030377,0.2654015088246418,0.11559270066780598,0.14007128481668962,0.10444859867783646,1.2087688922373347,14.92139274691358,0.1124258436291122,0.11063427765856067,0.5658755399409566,85.99760438287065,0.10276182660749807,0.4620890196078432,0.0862413712750855,60.8051298165027,0.2139155155159345,0.11827822217667236,5.628556031889104,81.62068614495632,95.6601739980138,481.8488888128481
36,36,47.1564,21.8084,38,23.7339,0,118,114,17,138,20,0.99948,48.33122,0.0,0.0,3.42857,5.181,19.17344,0.0,0.0,126.0,29.44086,3e-05,1.63,1.335,-1.0,0.0,20555.06522466123,67380.58651171747,0.2651865214949678,0.11551991424712958,0.13991476740082703,0.10426132361686705,1.3839403034236932,14.091338734567902,0.11274505863037601,0.11089518018328492,0.564252125005122,90.35464342225455,0.10255033449205173,0.4573098039215686,0.08614957012742316,61.10378576208044,0.21219759774272265,0.11831248301134444,5.471663024868769,81.20018714708482,95.83282803414606,481.28389002935967
37,37,45.9768,21.4058,38,21.5016,0,118,114,17,138,20,1.00121,47.22276,0.0,0.0,3.03571,5.249,18.72588,0.0,0.0,126.0,29.47859,3e-05,1.61,1.41,-1.0,1e-06,19237.839653921517,67154.08601412567,0.26503429442193877,0.11558919090570595,0.13989069076867014,0.10400731393731101,0.9734649383518,13.46267361111111,0.11333253179651423,0.11015735763088229,0.5642521250051218,86.31319291685979,0.10228402158296139,0.4503403921568627,0.08610392397827073,61.4143446934076,0.21004997488963983,0.1185987175862844,5.430165264344788,81.38400783243833,96.00268990745994,480.82846310940545
38,38,46.4246,20.8727,38,18.2882,0,118,114,17,138,20,0.99935,47.54981,0.0,0.0,3.60714,5.207,18.38095,0.0,0.0,126.0,29.50862,2e-05,1.62,1.329,-1.0,1e-06,19887.85075837511,67240.92229902699,0.26495848971761327,0.11575488772833822,0.13980371109920828,0.10381198112340702,1.2921555729679375,12.94897762345679,0.1137423892208798,0.10977552177116473,0.5598168729186677,86.55287934526295,0.10208901153041022,0.4484050980392158,0.08606246774856974,61.58737879623602,0.20821651689964396,0.11860835221651353,5.236244226621124,81.05174069384526,95.97580898603746,480.3950232482599
39,39,47.4136,19.9926,39,19.4321,0,118,114,17,138,19,1.0011,48.44956,0.0,0.0,4.5,5.144,17.92276,0.0,0.0,126.0,29.25779,0.0,1.62,1.47,-1.0,0.0,20984.526295360833,67500.43862619433,0.265004765190044,0.11576356410131082,0.1396330640017224,0.10360892621572991,1.0582033823319545,12.247444058641975,0.11420691192215982,0.10951871393914413,0.5620344989618994,87.29058515492086,0.10190531236590786,0.4428629607843111,0.08600485577548019,61.447758050612464,0.20699387103082725,0.11837498221269845,5.129631630022006,80.31828606539668,95.77854131858604,479.82664208961864
40,40,48.0763,18.9988,39,21.0731,0,118,114,17,138,19,0.999,49.09688,0.0,0.0,4.42857,5.145,17.17163,0.0,0.0,126.0,28.98592,0.0,1.64,1.38,0.12564,1e-06,21320.68549790192,67403.48514060695,0.26492958421422436,0.11560490763657492,0.13971647051700337,0.10339759670592767,1.1617250967837984,11.844280478395062,0.11456971205288531,0.10909131745727291,0.568093165984182,89.95540131224048,0.10170665370663924,0.43728666666666666,0.08607500638444662,61.266715155707466,0.2061942637209778,0.1181654030375909,5.368136648326203,79.80031080017231,95.7000871298955,479.11692250385795
41,41,48.9887,18.6285,40,20.5913,0,118,114,17,138,19,1.00174,49.97067,0.0,0.0,5.10714,5.14,16.3129,0.0,0.0,126.0,28.89306,1e-05,1.62,1.464,-1.0,4e-06,22170.584777007247,67438.92232207925,0.2649015994822218,0.11548513314281095,0.14021187006379268,0.10326526565157462,1.1181747798559138,11.419849537037036,0.11499669995449474,0.10886536883849555,0.5703107920274122,86.70940895461514,0.10155587324111132,0.43447219607843124,0.08613058679356053,61.134923487533754,0.20570646941621742,0.11764026896278691,5.22092508762347,80.10820517788933,95.64850104927721,478.2896680475087
42,42,50.0687,18.8465,40,19.2463,0,118,114,18,138,19,1.00208,50.92881,0.0,0.0,4.96429,5.106,15.99147,0.0,0.0,126.0,28.64108,2e-05,1.62,1.448,-1.0,2.5e-05,23543.62656845577,67593.0168011075,0.26494350299633107,0.11539935766728686,0.13976094385411267,0.1030973311735125,1.269254929248719,11.501494984567902,0.11570934944674374,0.10880551946116863,0.568093165984186,89.87208509305592,0.10142793332750695,0.42736117647058824,0.08625649853051538,61.24468466676311,0.2055542266246948,0.11719462385329274,5.108591257485734,80.49754533452435,95.51352340699674,477.4035892216738
43,43,50.7662,18.5752,40,18.1839,0,118,114,17,138,19,1.00102,51.52896,0.0,0.0,4.71429,5.114,16.18443,0.0,0.0,126.0,28.35682,2e-05,1.63,1.435,-1.0,1.6e-05,24583.387879472826,67815.7667770458,0.2649238946515946,0.11527561217948565,0.1394607178125674,0.10292025933771791,1.7240017998159454,11.66358024691358,0.115652496724964,0.10862166801475617,0.5703107920274125,89.32300534266696,0.1013115175977586,0.4219207843137255,0.08638438994766522,61.49090576171875,0.20552993982082038,0.1168522854587611,5.271669146999061,80.70380331529753,95.42490646833028,476.4859242993959
44,44,51.383,18.3544,40,19.1537,0,118,114,17,138,19,1.00065,52.00258,0.0,0.0,4.39286,5.05,15.95487,0.0,0.0,126.0,28.10485,2e-05,1.62,1.667,-1.0,0.0,25550.01618248528,68021.68358280243,0.2650258034796755,0.11524291039703853,0.1391863340666979,0.1028051382025903,1.1604519085100171,11.895158179012345,0.11558577906435741,0.10848638710728527,0.5642521250051266,88.09528914163513,0.10123837905248617,0.4212121568627451,0.08648178273703538,61.83487748511044,0.2054661950447499,0.11762078395624226,5.162918418360899,81.18373908130611,95.40359757737407,475.60586185531207
